7569_102232_000004_000000	INDIANA	INDIANA
7569_102232_000026_000014	At another time, seeing some men preparing a contrivance for lifting some large posts, Abe quickly shouldered the posts and took them where they were needed.	At another time, seeing some men preparing a contrivance for lifting some large posts, Abe quickly shouldered the posts and took them where they were needed.
7569_102232_000026_000017	But there is evidence that he felt too large for the life of a farmhand on Pigeon Creek, and his thoughts naturally turned, after the manner of restless boys in the West, to the river, as the avenue of escape from the narrow life of the woods.	But there is evidence that he felt too large for the life of a farmhand on Pigeon Creek, and his thoughts naturally turned, after the manner of restless boys in the West, to the river, as the avenue of escape from the narrow life of the woods.
7569_102232_000026_000019	But in 1828 an opportunity offered for a little glimpse of the world outside, and the boy gladly embraced it.	But in eighteen twenty eight an opportunity offered for a little glimpse of the world outside, and the boy gladly embraced it.
7569_102232_000026_000020	He was hired by Mr. Gentry, the proprietor of the neighboring village of Gentryville, to accompany his son with a flat-boat of produce to New Orleans and intermediate landings.	He was hired by mr Gentry, the proprietor of the neighboring village of Gentryville, to accompany his son with a flat boat of produce to New Orleans and intermediate landings.
7569_102232_000026_000021	The voyage was made successfully, and Abraham gained great credit for his management and sale of the cargo.	The voyage was made successfully, and Abraham gained great credit for his management and sale of the cargo.
7569_102232_000027_000000	The next autumn, John Hanks, the steadiest and most trustworthy of his family, went to Illinois.	The next autumn, john Hanks, the steadiest and most trustworthy of his family, went to Illinois.
7569_102232_000027_000004	His daughter Sarah or Nancy, for she was called by both names, who married Aaron Grigsby a few years before, had died in childbirth. The emigrating family consisted of the Lincolns, John Johnston, Mrs. Lincoln's son, and her daughters, Mrs. Hall and Mrs. Hanks, with their husbands.	His daughter Sarah or Nancy, for she was called by both names, who married Aaron Grigsby a few years before, had died in childbirth. The emigrating family consisted of the Lincolns, john Johnston, mrs Lincoln's son, and her daughters, mrs Hall and mrs Hanks, with their husbands.
7569_102232_000028_000001	He met them with a frank and energetic welcome.	He met them with a frank and energetic welcome.
7569_102232_000028_000003	They numbered men enough to build without calling in their neighbors, and immediately put up a cabin on the north fork of the Sangamon River.	They numbered men enough to build without calling in their neighbors, and immediately put up a cabin on the north fork of the Sangamon River.
7569_102232_000028_000004	The family thus housed and sheltered, one more bit of filial work remained for Abraham before assuming his virile independence.	The family thus housed and sheltered, one more bit of filial work remained for Abraham before assuming his virile independence.
7569_102232_000028_000005	With the assistance of John Hanks he plowed fifteen acres, and split, from the tall walnut-trees of the primeval forest, enough rails to surround them with a fence.	With the assistance of john Hanks he plowed fifteen acres, and split, from the tall walnut trees of the primeval forest, enough rails to surround them with a fence.
