4010_10798_000000_000000	THE HEART WITH THE TREASURE.	THE HEART WITH THE TREASURE.	false	13.2	17.01	22.19107
4010_10798_000003_000002	The Son came forth to _be_, before our eyes and in our hearts, that which he had made us for, that we might behold _the truth_ in him, and cry out for the living God, who, in the highest sense of all is The Truth, not as understood, but as understanding, living, and being, doing and creating the truth. "I am the truth," said our Lord; and by those who are in some measure like him in being the truth, the Word can be understood.	The Son came forth to underscore be underscore, before our eyes and in our hearts, that which he had made us for, that we might behold underscore the truth underscore in him, and cry out for the living God, who, in the highest sense of all is The Truth, not as understood, but as understanding, living, and being, doing and creating the truth. "I am the truth," said our Lord; and by those who are in some measure like him in being the truth, the Word can be understood.	false	116.09	153.25	20.736471
4010_10798_000003_000003	Let us try to understand him.	Let us try to understand him.	true	153.62	155.77	23.269087
4010_10798_000004_000000	Sometimes, no doubt, the Saviour would have spoken after a different _fashion_ of speech, if he had come to Englishmen, instead of to Jews. But the lessons he gave would have been the same; for even when questioned about a matter for its passing import, his reply contained the enunciation of the great human principle which lay in it, and _that_ lies changeless in every variation of changeful circumstance. With the light of added ages of Christian experience, it ought to be easier for us to understand his words than it was for those who heard him.	Sometimes, no doubt, the Saviour would have spoken after a different underscore fashion underscore of speech, if he had come to Englishmen, instead of to Jews. But the lessons he gave would have been the same; for even when questioned about a matter for its passing import, his reply contained the enunciation of the great human principle which lay in it, and underscore that underscore lies changeless in every variation of changeful circumstance. With the light of added ages of Christian experience, it ought to be easier for us to understand his words than it was for those who heard him.	false	156.74	193.63	19.946714
4010_10798_000005_000000	What, I ask now, is here the power of his word _For: For where your treasure is, there will your heart be also_?	What, I ask now, is here the power of his word underscore For: For where your treasure is, there will your heart be also underscore?	false	195.35	208.23	19.831757
4010_10798_000005_000001	The meaning of the reason thus added is not obvious upon its surface.	The meaning of the reason thus added is not obvious upon its surface.	false	208.23	213.03	18.631271
4010_10798_000005_000002	It has to be sought for because of its depth at once and its simplicity.	It has to be sought for because of its depth at once and its simplicity.	true	213.03	218.59	22.54159
4010_10798_000005_000003	But it is so complete, so imaginatively comprehensive, so immediately operative on the conscience through its poetic suggestiveness, that when it is once understood, there is nothing more to be said, but everything to be done.	But it is so complete, so imaginatively comprehensive, so immediately operative on the conscience through its poetic suggestiveness, that when it is once understood, there is nothing more to be said, but everything to be done.	true	219.41	237.22	20.791101
4010_10798_000006_000000	"Why not lay up for ourselves treasures upon earth?"	"Why not lay up for ourselves treasures upon earth?"	true	238.58	241.93	21.969683
4010_10798_000007_000000	"Because there the moth and rust and the thief come."	"Because there the moth and rust and the thief come."	true	242.81	247.27	21.404114
4010_10798_000008_000000	"And so we should lose those treasures!"	"And so we should lose those treasures!"	true	248.12	250.45	19.239002
4010_10798_000009_000000	"Yes; by the moth and the rust and the thief."	"Yes; by the moth and the rust and the thief."	true	251.09	254.52	22.925308
4010_10798_000010_000000	"Does the Lord then mean that the _reason_ for not laying up such treasures is their transitory and corruptible nature?"	"Does the Lord then mean that the underscore reason underscore for not laying up such treasures is their transitory and corruptible nature?"	false	254.52	262.69	21.536638
4010_10798_000011_000000	"No.	"no	false	263.57	264.63	19.88763
4010_10798_000011_000001	He adds a _For_: 'For where your treasure is, there will your heart be also.'"	He adds a underscore For underscore: 'For where your treasure is, there will your heart be also.'"	false	264.63	272.32	20.234068
4010_10798_000012_000000	"Of course the heart will be where the treasure is; but what has that to do with the argument?"	"Of course the heart will be where the treasure is; but what has that to do with the argument?"	true	273.44	278.62	21.170538
4010_10798_000013_000000	This: that what is with the treasure must fare as the treasure; that the heart which haunts the treasure-house where the moth and rust corrupt, will be exposed to the same ravages as the treasure, will itself be rusted and moth-eaten.	This: that what is with the treasure must fare as the treasure; that the heart which haunts the treasure house where the moth and rust corrupt, will be exposed to the same ravages as the treasure, will itself be rusted and moth eaten.	true	279.5	298.18	20.64949
4010_10798_000014_000000	Many a man, many a woman, fair and flourishing to see, is going about with a rusty moth-eaten heart within that form of strength or beauty.	Many a man, many a woman, fair and flourishing to see, is going about with a rusty moth eaten heart within that form of strength or beauty.	true	298.91	309.25	20.288464
4010_10798_000015_000000	"But this is only a figure."	"But this is only a figure."	true	310.55	312.31	23.67685
4010_10798_000016_000000	True.	True.	true	313.1	313.9	20.713451
4010_10798_000016_000001	But is the reality intended, less or more than the figure?	But is the reality intended, less or more than the figure?	true	314.15	319.45	21.63624
4010_10798_000016_000002	Does not _the rust and the moth_ mean more than disease?	Does not underscore the rust and the moth underscore mean more than disease?	false	319.97	324.01	21.678421
4010_10798_000016_000003	And does not _the heart_ mean more than the heart?	And does not underscore the heart underscore mean more than the heart?	false	324.2	327.76	20
4010_10798_000016_000004	Does it not mean a deeper heart, the heart of your own self, not of your body? of the _self_ that suffers, not pain, but misery? of the self whose end is not comfort, or enjoyment, but blessedness, yea, ecstasy?	Does it not mean a deeper heart, the heart of your own self, not of your body? of the underscore self underscore that suffers, not pain, but misery? of the self whose end is not comfort, or enjoyment, but blessedness, yea, ecstasy?	false	328.01	345.46	20.54208
4010_10798_000016_000005	a heart which is the inmost chamber wherein springs the divine fountain of your being? a heart which God regards, though you may never have known its existence, not even when its writhings under the gnawing of the moth and the slow fire of the rust have communicated a dull pain to that outer heart which sends the blood to its appointed course through your body?	a heart which is the inmost chamber wherein springs the divine fountain of your being? a heart which God regards, though you may never have known its existence, not even when its writhings under the gnawing of the moth and the slow fire of the rust have communicated a dull pain to that outer heart which sends the blood to its appointed course through your body?	true	346.1	369.28	19.921135
4010_10798_000016_000006	If God sees that heart corroded with the rust of cares, riddled into caverns and films by the worms of ambition and greed, then your heart is as God sees it, for God sees things as they are.	If God sees that heart corroded with the rust of cares, riddled into caverns and films by the worms of ambition and greed, then your heart is as God sees it, for God sees things as they are.	true	369.77	384.76	19.668484
4010_10798_000016_000007	And one day you will be compelled to see, nay, to _feel_ your heart as God sees it; and to know that the cankered thing which you have within you, a prey to the vilest of diseases, is indeed the centre of your being, your very heart.	And one day you will be compelled to see, nay, to underscore feel underscore your heart as God sees it; and to know that the cankered thing which you have within you, a prey to the vilest of diseases, is indeed the centre of your being, your very heart.	false	385.22	402.91	18.455626
4010_10798_000017_000000	Nor does the lesson apply to those only who worship Mammon, who give their lives, their best energies to the accumulation of wealth: it applies to those equally who in any way worship the transitory; who seek the praise of men more than the praise of God; who would make a show in the world by wealth, by taste, by intellect, by power, by art, by genius of any kind, and so would gather golden opinions to be treasured in a storehouse of earth.	Nor does the lesson apply to those only who worship Mammon, who give their lives, their best energies to the accumulation of wealth: it applies to those equally who in any way worship the transitory; who seek the praise of men more than the praise of God; who would make a show in the world by wealth, by taste, by intellect, by power, by art, by genius of any kind, and so would gather golden opinions to be treasured in a storehouse of earth.	false	404.57	437.74	20.156492
4010_10798_000018_000000	Nor to such only, but surely to those as well whose pleasures are of a more evidently transitory nature still, such as the pleasures of the senses in every direction--whether lawfully or unlawfully indulged, if the joy of being is centred in them--do these words bear terrible warning.	Nor to such only, but surely to those as well whose pleasures are of a more evidently transitory nature still, such as the pleasures of the senses in every direction-whether lawfully or unlawfully indulged, if the joy of being is centred in them-do these words bear terrible warning.	true	439.1	459.7	19.079514
4010_10798_000018_000001	For the hurt lies not in this--that these pleasures are false like the deceptions of magic, for such they are not: pleasures they are; nor yet in this--that they pass away, and leave a fierce disappointment behind: that is only so much the better; but the hurt lies in this--that the immortal, the infinite, created in the image of the everlasting God, is housed with the fading and the corrupting, and clings to them as its good--clings to them till it is infected and interpenetrated with their proper diseases, which assume in it a form more terrible in proportion to the superiority of its kind, that which is mere decay in the one becoming moral vileness in the other, that which fits the one for the dunghill casting the other into the outer darkness; creeps, that it may share with them, into a burrow in the earth, where its budded wings wither and damp and drop away from its shoulders, instead of haunting the open plains and the high-uplifted table-lands, spreading abroad its young pinions to the sun and the air, and strengthening them in further and further flights, till at last they should become strong to bear the God-born into the presence of its Father in Heaven.	For the hurt lies not in this-that these pleasures are false like the deceptions of magic, for such they are not: pleasures they are; nor yet in this-that they pass away, and leave a fierce disappointment behind: that is only so much the better; but the hurt lies in this-that the immortal, the infinite, created in the image of the everlasting God, is housed with the fading and the corrupting, and clings to them as its good-clings to them till it is infected and interpenetrated with their proper diseases, which assume in it a form more terrible in proportion to the superiority of its kind, that which is mere decay in the one becoming moral vileness in the other, that which fits the one for the dunghill casting the other into the outer darkness; creeps, that it may share with them, into a burrow in the earth, where its budded wings wither and damp and drop away from its shoulders, instead of haunting the open plains and the high uplifted table lands, spreading abroad its young pinions to the sun and the air, and strengthening them in further and further flights, till at last they should become strong to bear the God born into the presence of its Father in Heaven.	false	460.58	541	20.980898
4010_10798_000018_000002	Therein lies the hurt.	Therein lies the hurt.	true	541.79	544.51	23.139542
4010_10798_000019_000000	He whose heart is sound because it haunts the treasure-house of heaven may _be tempted of the devil_, but will be first _led up of the Spirit into the wilderness_.	He whose heart is sound because it haunts the treasure house of heaven may underscore be tempted of the devil underscore, but will be first underscore led up of the Spirit into the wilderness underscore.	false	545.72	557.1	19.803843
4010_10798_000020_000000	THE TEMPTATION IN THE WILDERNESS.	THE TEMPTATION IN THE WILDERNESS.	false	557.1	558	22.481188
4010_10798_000021_000000	_Then was Jesus led up of the Spirit into the wilderness, to be tempted of the devil.	underscore Then was Jesus led up of the Spirit into the wilderness, to be tempted of the devil.	false	558	559.29	16.609041
4010_10798_000021_000001	And when he had fasted forty days and forty nights, he was afterward an hungered.	And when he had fasted forty days and forty nights, he was afterward an hungered.	false	559.29	559.29	
4010_10798_000021_000002	And when the tempter came to him, he said, if thou be the Son of God, command that these stones be made bread.	And when the tempter came to him, he said, if thou be the Son of God, command that these stones be made bread.	false	559.29	559.71	22.201128
4010_10798_000021_000003	But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.	But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.	false	559.71	559.71	
4010_10798_000021_000004	Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple, and saith unto him, If thou be the Son of God, cast thyself down; for it is written, He shall give his angels charge concerning thee, and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.	Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple, and saith unto him, If thou be the Son of God, cast thyself down; for it is written, He shall give his angels charge concerning thee, and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.	false	559.71	560.4	17
4010_10798_000021_000005	Jesus said unto him, It is written again, thou shall not tempt the Lord thy God.	Jesus said unto him, It is written again, thou shall not tempt the Lord thy God.	false	560.4	560.52	-20
4010_10798_000021_000006	Again, the devil taketh him up into an exceeding high mountain, and showeth him all the kingdoms of the world, and the glory of them: and saith unto him, All these things will I give thee, if thou wilt fall down and worship me. Then saith Jesus unto him, Get thee hence, Satan; for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve. Then the devil leaveth him; and, behold, angels came and ministered unto him_.--MATT. iv.	Again, the devil taketh him up into an exceeding high mountain, and showeth him all the kingdoms of the world, and the glory of them: and saith unto him, All these things will I give thee, if thou wilt fall down and worship me. Then saith Jesus unto him, Get thee hence, Satan; for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve. Then the devil leaveth him; and, behold, angels came and ministered unto him underscore.--MATT. i v.	false	560.52	561.15	13.730058
4010_10798_000021_000007	1-11.	one to eleven.	false	561.15	566.64	15.867116
