1028_133393_000002_000000	The gates of the Monastery stood wide open, the world lay beyond, and all was ready for departure.	The gates of the Monastery stood wide open, the world lay beyond, and all was ready for departure.
1028_133393_000026_000002	At last he reached a landing-stage, and gazing over the edge and down, beheld the stone pavement far, far below, lit by a faint glimmer of light that entered through the arched doorway.	At last he reached a landing stage, and gazing over the edge and down, beheld the stone pavement far, far below, lit by a faint glimmer of light that entered through the arched doorway.
1028_133393_000026_000003	Otto clutched tight hold of the wooden rail, he had no thought that he had climbed so far.	Otto clutched tight hold of the wooden rail, he had no thought that he had climbed so far.
1028_133393_000028_000000	Then Otto turned and crept down the stairs, frightened at the height to which he had climbed.	Then Otto turned and crept down the stairs, frightened at the height to which he had climbed.
1028_133393_000029_000000	At the doorway he met Mother Hilda.	At the doorway he met Mother Hilda.
1028_133393_000030_000000	Old Ursela seemed nearer to the boy than anyone else about the castle, excepting it was his father, and it was a newfound delight to Otto to sit beside her and listen to her quaint stories, so different from the monkish tales that he had heard and read at the monastery.	Old Ursela seemed nearer to the boy than anyone else about the castle, excepting it was his father, and it was a newfound delight to Otto to sit beside her and listen to her quaint stories, so different from the monkish tales that he had heard and read at the monastery.
1028_133393_000031_000000	But one day it was a tale of a different sort that she told him, and one that opened his eyes to what he had never dreamed of before.	But one day it was a tale of a different sort that she told him, and one that opened his eyes to what he had never dreamed of before.
1028_133393_000032_000000	The mellow sunlight fell through the window upon old Ursela, as she sat in the warmth with her distaff in her hands while Otto lay close to her feet upon a bear skin, silently thinking over the strange story of a brave knight and a fiery dragon that she had just told him.	The mellow sunlight fell through the window upon old Ursela, as she sat in the warmth with her distaff in her hands while Otto lay close to her feet upon a bear skin, silently thinking over the strange story of a brave knight and a fiery dragon that she had just told him.
1028_133393_000032_000001	Suddenly Ursela broke the silence.	Suddenly Ursela broke the silence.
1028_133393_000034_000000	"Nay," said Otto, "but tell me, Ursela, how it was."	"Nay," said Otto, "but tell me, Ursela, how it was."
1028_133393_000036_000000	Otto listened with eyes that grew wider and wider, though not all with wonder; he no longer lay upon the bear skin, but sat up with his hands clasped.	Otto listened with eyes that grew wider and wider, though not all with wonder; he no longer lay upon the bear skin, but sat up with his hands clasped.
1028_133393_000036_000001	For a moment or two after the old woman had ended her story, he sat staring silently at her.	For a moment or two after the old woman had ended her story, he sat staring silently at her.
1028_133393_000036_000002	Then he cried out, in a sharp voice, "And is this truth that you tell me, Ursela? and did my father seek to rob the towns people of their goods?"	Then he cried out, in a sharp voice, "And is this truth that you tell me, Ursela? and did my father seek to rob the towns people of their goods?"
1028_133393_000037_000002	Ah! me, those day's are all gone now." And she fetched a deep sigh.	Ah! me, those day's are all gone now." And she fetched a deep sigh.
1028_133393_000037_000003	"Then we lived in plenty and had both silks and linens and velvets besides in the store closets and were able to buy good wines and live in plenty upon the best.	"Then we lived in plenty and had both silks and linens and velvets besides in the store closets and were able to buy good wines and live in plenty upon the best.
1028_133393_000037_000005	But there is one comfort in it all, and that is that our good Baron paid back the score he owed the Trutz-Drachen people not only for that, but for all that they had done from the very first."	But there is one comfort in it all, and that is that our good Baron paid back the score he owed the Trutz Drachen people not only for that, but for all that they had done from the very first."
1028_133393_000039_000000	Poor little Otto had never dreamed that such cruelty and wickedness could be.	Poor little Otto had never dreamed that such cruelty and wickedness could be.
1028_133393_000039_000001	He listened to the old woman's story with gaping horror, and when the last came and she told him, with a smack of her lips, how his father had killed his enemy with his own hand, he gave a gasping cry and sprang to his feet.	He listened to the old woman's story with gaping horror, and when the last came and she told him, with a smack of her lips, how his father had killed his enemy with his own hand, he gave a gasping cry and sprang to his feet.
1028_133393_000040_000000	"Oh, father!" he cried, "oh, father!	"Oh, father!" he cried, "oh, father!
1028_133393_000041_000000	"Aye," said the Baron, grimly, "it is true enough, and I think me I have killed many more than one.	"Aye," said the Baron, grimly, "it is true enough, and I think me I have killed many more than one.
1028_133393_000041_000001	But what of that, Otto?	But what of that, Otto?
1028_133393_000043_000001	Once he reached out his hand as though to stroke the boy's hair, but drew it back again.	Once he reached out his hand as though to stroke the boy's hair, but drew it back again.
1028_133393_000044_000000	Turning angrily upon the old woman, "Ursela," said he, "thou must tell the child no more such stories as these; he knowest not at all of such things as yet.	Turning angrily upon the old woman, "Ursela," said he, "thou must tell the child no more such stories as these; he knowest not at all of such things as yet.
1028_133393_000045_000000	That night the father and son sat together beside the roaring fire in the great ball.	That night the father and son sat together beside the roaring fire in the great ball.
1028_133393_000046_000000	Otto looked for a while into his father's face.	Otto looked for a while into his father's face.
