176_123270_000006_000000	CHAPTER XVII.	CHAPTER seventeen.
176_123270_000025_000000	I dropped as it were, frantically clutching the double cord with one hand and buttressing myself from the wall with the other by means of my stick.	I dropped as it were, frantically clutching the double cord with one hand and buttressing myself from the wall with the other by means of my stick.
176_123270_000025_000001	One idea overpowered me almost, fear lest the rock should give way from which I was hanging.	One idea overpowered me almost, fear lest the rock should give way from which I was hanging.
176_123270_000025_000003	I made as little use of it as possible, performing wonderful feats of equilibrium upon the lava projections which my foot seemed to catch hold of like a hand.	I made as little use of it as possible, performing wonderful feats of equilibrium upon the lava projections which my foot seemed to catch hold of like a hand.
176_123270_000026_000000	When one of these slippery steps shook under the heavier form of Hans, he said in his tranquil voice:	When one of these slippery steps shook under the heavier form of Hans, he said in his tranquil voice:
176_123270_000028_000000	"Attention!" repeated my uncle.	"Attention!" repeated my uncle.
176_123270_000029_000000	In half an hour we were standing upon the surface of a rock jammed in across the chimney from one side to the other.	In half an hour we were standing upon the surface of a rock jammed in across the chimney from one side to the other.
176_123270_000030_000000	Hans pulled the rope by one of its ends, the other rose in the air; after passing the higher rock it came down again, bringing with it a rather dangerous shower of bits of stone and lava.	Hans pulled the rope by one of its ends, the other rose in the air; after passing the higher rock it came down again, bringing with it a rather dangerous shower of bits of stone and lava.
176_123270_000031_000000	Leaning over the edge of our narrow standing ground, I observed that the bottom of the hole was still invisible.	Leaning over the edge of our narrow standing ground, I observed that the bottom of the hole was still invisible.
176_123270_000033_000000	I don't suppose the maddest geologist under such circumstances would have studied the nature of the rocks that we were passing.	I don't suppose the maddest geologist under such circumstances would have studied the nature of the rocks that we were passing.
176_123270_000033_000001	I am sure I did trouble my head about them.	I am sure I did trouble my head about them.
176_123270_000033_000003	But the Professor, no doubt, was pursuing his observations or taking notes, for in one of our halts he said to me:	But the Professor, no doubt, was pursuing his observations or taking notes, for in one of our halts he said to me:
176_123270_000034_000000	"The farther I go the more confidence I feel.	"The farther I go the more confidence I feel.
176_123270_000034_000002	We are now among the primitive rocks, upon which the chemical operations took place which are produced by the contact of elementary bases of metals with water.	We are now among the primitive rocks, upon which the chemical operations took place which are produced by the contact of elementary bases of metals with water.
176_123270_000034_000003	I repudiate the notion of central heat altogether.	I repudiate the notion of central heat altogether.
176_123270_000034_000004	We shall see further proof of that very soon."	We shall see further proof of that very soon."
176_123270_000035_000002	My silence was taken for consent and the descent went on.	My silence was taken for consent and the descent went on.
176_123270_000036_000000	Another three hours, and I saw no bottom to the chimney yet.	Another three hours, and I saw no bottom to the chimney yet.
176_123270_000036_000001	When I lifted my head I perceived the gradual contraction of its aperture. Its walls, by a gentle incline, were drawing closer to each other, and it was beginning to grow darker.	When I lifted my head I perceived the gradual contraction of its aperture. Its walls, by a gentle incline, were drawing closer to each other, and it was beginning to grow darker.
176_123270_000037_000000	Still we kept descending.	Still we kept descending.
176_123270_000037_000001	It seemed to me that the falling stones were meeting with an earlier resistance, and that the concussion gave a more abrupt and deadened sound.	It seemed to me that the falling stones were meeting with an earlier resistance, and that the concussion gave a more abrupt and deadened sound.
176_123270_000038_000000	As I had taken care to keep an exact account of our manoeuvres with the rope, which I knew that we had repeated fourteen times, each descent occupying half an hour, the conclusion was easy that we had been seven hours, plus fourteen quarters of rest, making ten hours and a half.	As I had taken care to keep an exact account of our manoeuvres with the rope, which I knew that we had repeated fourteen times, each descent occupying half an hour, the conclusion was easy that we had been seven hours, plus fourteen quarters of rest, making ten hours and a half.
176_123270_000041_000000	I stopped short just as I was going to place my feet upon my uncle's head.	I stopped short just as I was going to place my feet upon my uncle's head.
176_123270_000043_000000	"Where?" said I, stepping near to him.	"Where?" said I, stepping near to him.
176_123270_000044_000000	"At the bottom of the perpendicular chimney," he answered.	"At the bottom of the perpendicular chimney," he answered.
176_123270_000045_000000	"Is there no way farther?"	"Is there no way farther?"
176_123270_000046_000000	"Yes; there is a sort of passage which inclines to the right.	"Yes; there is a sort of passage which inclines to the right.
176_123270_000047_000000	The darkness was not yet complete.	The darkness was not yet complete.
176_123270_000047_000001	The provision case was opened; we refreshed ourselves, and went to sleep as well as we could upon a bed of stones and lava fragments.	The provision case was opened; we refreshed ourselves, and went to sleep as well as we could upon a bed of stones and lava fragments.
176_123270_000048_000000	When lying on my back, I opened my eyes and saw a bright sparkling point of light at the extremity of the gigantic tube 3,000 feet long, now a vast telescope.	When lying on my back, I opened my eyes and saw a bright sparkling point of light at the extremity of the gigantic tube three thousand feet long, now a vast telescope.
