4806_26895_000000_000000	II	two	false	14.1	14.91	-30
4806_26895_000005_000004	Yet the very fact that I was full of a strong desire to win caused this gambling for gain, in spite of its attendant squalor, to contain, if you will, something intimate, something sympathetic, to my eyes: for it is always pleasant to see men dispensing with ceremony, and acting naturally, and in an unbuttoned mood....	Yet the very fact that I was full of a strong desire to win caused this gambling for gain, in spite of its attendant squalor, to contain, if you will, something intimate, something sympathetic, to my eyes: for it is always pleasant to see men dispensing with ceremony, and acting naturally, and in an unbuttoned mood....	false	212.52	227.955	18
4806_26895_000006_000000	Yet, why should I so deceive myself?	Yet, why should I so deceive myself?	true	227.955	230.32	19.306324
4806_26895_000006_000001	I could see that the whole thing was a vain and unreasoning pursuit; and what, at the first glance, seemed to me the ugliest feature in this mob of roulette players was their respect for their occupation--the seriousness, and even the humility, with which they stood around the gaming tables.	I could see that the whole thing was a vain and unreasoning pursuit; and what, at the first glance, seemed to me the ugliest feature in this mob of roulette players was their respect for their occupation-the seriousness, and even the humility, with which they stood around the gaming tables.	false	230.42	245.23	21.266808
4806_26895_000006_000002	Moreover, I had always drawn sharp distinctions between a game which is de mauvais genre and a game which is permissible to a decent man.	Moreover, I had always drawn sharp distinctions between a game which is de mauvais genre and a game which is permissible to a decent man.	false	245.6	252.94	19
4806_26895_000006_000003	In fact, there are two sorts of gaming--namely, the game of the gentleman and the game of the plebs--the game for gain, and the game of the herd.	In fact, there are two sorts of gaming-namely, the game of the gentleman and the game of the plebs-the game for gain, and the game of the herd.	false	253.07	259.9	20.019667
4806_26895_000006_000004	Herein, as said, I draw sharp distinctions.	Herein, as said, I draw sharp distinctions.	true	259.97	262.515	23.02551
4806_26895_000006_000005	Yet how essentially base are the distinctions!	Yet how essentially base are the distinctions!	true	262.515	264.66	17
4806_26895_000006_000006	For instance, a gentleman may stake, say, five or ten louis d'or--seldom more, unless he is a very rich man, when he may stake, say, a thousand francs; but, he must do this simply for the love of the game itself--simply for sport, simply in order to observe the process of winning or of losing, and, above all things, as a man who remains quite uninterested in the possibility of his issuing a winner. If he wins, he will be at liberty, perhaps, to give vent to a laugh, or to pass a remark on the circumstance to a bystander, or to stake again, or to double his stake; but, even this he must do solely out of curiosity, and for the pleasure of watching the play of chances and of calculations, and not because of any vulgar desire to win.	For instance, a gentleman may stake, say, five or ten louis d'or-seldom more, unless he is a very rich man, when he may stake, say, a thousand francs; but, he must do this simply for the love of the game itself-simply for sport, simply in order to observe the process of winning or of losing, and, above all things, as a man who remains quite uninterested in the possibility of his issuing a winner. If he wins, he will be at liberty, perhaps, to give vent to a laugh, or to pass a remark on the circumstance to a bystander, or to stake again, or to double his stake; but, even this he must do solely out of curiosity, and for the pleasure of watching the play of chances and of calculations, and not because of any vulgar desire to win.	false	264.66	302.02	21
4806_26895_000006_000007	In a word, he must look upon the gaming-table, upon roulette, and upon trente et quarante, as mere relaxations which have been arranged solely for his amusement.	In a word, he must look upon the gaming table, upon roulette, and upon trente et quarante, as mere relaxations which have been arranged solely for his amusement.	false	302.54	310.87	21.199417
4806_26895_000006_000008	Of the existence of the lures and gains upon which the bank is founded and maintained he must profess to have not an inkling.	Of the existence of the lures and gains upon which the bank is founded and maintained he must profess to have not an inkling.	true	311.12	316.18	19
4806_26895_000006_000009	Best of all, he ought to imagine his fellow-gamblers and the rest of the mob which stands trembling over a coin to be equally rich and gentlemanly with himself, and playing solely for recreation and pleasure.	Best of all, he ought to imagine his fellow gamblers and the rest of the mob which stands trembling over a coin to be equally rich and gentlemanly with himself, and playing solely for recreation and pleasure.	true	316.61	326.32	19
4806_26895_000006_000010	This complete ignorance of the realities, this innocent view of mankind, is what, in my opinion, constitutes the truly aristocratic.	This complete ignorance of the realities, this innocent view of mankind, is what, in my opinion, constitutes the truly aristocratic.	false	326.42	333.76	20.907885
4806_26895_000006_000011	For instance, I have seen even fond mothers so far indulge their guileless, elegant daughters--misses of fifteen or sixteen--as to give them a few gold coins and teach them how to play; and though the young ladies may have won or have lost, they have invariably laughed, and departed as though they were well pleased.	For instance, I have seen even fond mothers so far indulge their guileless, elegant daughters-misses of fifteen or sixteen-as to give them a few gold coins and teach them how to play; and though the young ladies may have won or have lost, they have invariably laughed, and departed as though they were well pleased.	false	333.8	348.87	21
4806_26895_000006_000012	In the same way, I saw our General once approach the table in a stolid, important manner.	In the same way, I saw our General once approach the table in a stolid, important manner.	true	348.87	352.8	20.097496
4806_26895_000006_000013	A lacquey darted to offer him a chair, but the General did not even notice him.	A lacquey darted to offer him a chair, but the General did not even notice him.	false	352.8	356.865	21.994967
4806_26895_000006_000014	Slowly he took out his money bags, and slowly extracted 300 francs in gold, which he staked on the black, and won.	Slowly he took out his money bags, and slowly extracted three hundred francs in gold, which he staked on the black, and won.	true	356.865	362.85	20.835436
4806_26895_000006_000015	Yet he did not take up his winnings--he left them there on the table.	Yet he did not take up his winnings-he left them there on the table.	false	362.85	366.63	23.006157
4806_26895_000006_000016	Again the black turned up, and again he did not gather in what he had won; and when, in the third round, the RED turned up he lost, at a stroke, 1200 francs.	Again the black turned up, and again he did not gather in what he had won; and when, in the third round, the RED turned up he lost, at a stroke, twelve hundred francs.	false	366.63	376.2	23.09738
4806_26895_000006_000017	Yet even then he rose with a smile, and thus preserved his reputation; yet I knew that his money bags must be chafing his heart, as well as that, had the stake been twice or thrice as much again, he would still have restrained himself from venting his disappointment.	Yet even then he rose with a smile, and thus preserved his reputation; yet I knew that his money bags must be chafing his heart, as well as that, had the stake been twice or thrice as much again, he would still have restrained himself from venting his disappointment.	false	376.2	389.2	22.534447
4806_26895_000007_000000	On the other hand, I saw a Frenchman first win, and then lose, 30,000 francs cheerfully, and without a murmur.	On the other hand, I saw a Frenchman first win, and then lose, thirty thousand francs cheerfully, and without a murmur.	false	389.87	395.79	21.575743
4806_26895_000007_000001	Yes; even if a gentleman should lose his whole substance, he must never give way to annoyance. Money must be so subservient to gentility as never to be worth a thought.	Yes; even if a gentleman should lose his whole substance, he must never give way to annoyance. Money must be so subservient to gentility as never to be worth a thought.	false	395.79	405.73	22.084484
4806_26895_000007_000002	Of course, the SUPREMELY aristocratic thing is to be entirely oblivious of the mire of rabble, with its setting; but sometimes a reverse course may be aristocratic to remark, to scan, and even to gape at, the mob (for preference, through a lorgnette), even as though one were taking the crowd and its squalor for a sort of raree show which had been organised specially for a gentleman's diversion.	Of course, the SUPREMELY aristocratic thing is to be entirely oblivious of the mire of rabble, with its setting; but sometimes a reverse course may be aristocratic to remark, to scan, and even to gape at, the mob (for preference, through a lorgnette), even as though one were taking the crowd and its squalor for a sort of raree show which had been organised specially for a gentleman's diversion.	true	405.98	426.03	21.341152
4806_26895_000007_000003	Though one may be squeezed by the crowd, one must look as though one were fully assured of being the observer--of having neither part nor lot with the observed.	Though one may be squeezed by the crowd, one must look as though one were fully assured of being the observer-of having neither part nor lot with the observed.	false	426.03	435.25	23.47673
4806_26895_000007_000004	At the same time, to stare fixedly about one is unbecoming; for that, again, is ungentlemanly, seeing that no spectacle is worth an open stare--are no spectacles in the world which merit from a gentleman too pronounced an inspection.	At the same time, to stare fixedly about one is unbecoming; for that, again, is ungentlemanly, seeing that no spectacle is worth an open stare-are no spectacles in the world which merit from a gentleman too pronounced an inspection.	true	435.26	447.39	21.694748
4806_26895_000008_000000	However, to me personally the scene DID seem to be worth undisguised contemplation--more especially in view of the fact that I had come there not only to look at, but also to number myself sincerely and wholeheartedly with, the mob.	However, to me personally the scene DID seem to be worth undisguised contemplation-more especially in view of the fact that I had come there not only to look at, but also to number myself sincerely and wholeheartedly with, the mob.	true	447.39	459.16	21
4806_26895_000008_000001	As for my secret moral views, I had no room for them amongst my actual, practical opinions.	As for my secret moral views, I had no room for them amongst my actual, practical opinions.	true	459.68	464.31	21.348242
4806_26895_000008_000002	Let that stand as written: I am writing only to relieve my conscience.	Let that stand as written: I am writing only to relieve my conscience.	false	464.31	467.8	21.438324
4806_26895_000008_000003	Yet let me say also this: that from the first I have been consistent in having an intense aversion to any trial of my acts and thoughts by a moral standard.	Yet let me say also this: that from the first I have been consistent in having an intense aversion to any trial of my acts and thoughts by a moral standard.	false	467.96	475.8	20
4806_26895_000008_000004	Another standard altogether has directed my life....	Another standard altogether has directed my life....	true	475.8	478.24	24.584415
4806_26895_000009_000000	As a matter of fact, the mob was playing in exceedingly foul fashion. Indeed, I have an idea that sheer robbery was going on around that gaming-table.	As a matter of fact, the mob was playing in exceedingly foul fashion. Indeed, I have an idea that sheer robbery was going on around that gaming table.	false	478.28	485.625	21
4806_26895_000009_000001	The croupiers who sat at the two ends of it had not only to watch the stakes, but also to calculate the game--an immense amount of work for two men!	The croupiers who sat at the two ends of it had not only to watch the stakes, but also to calculate the game-an immense amount of work for two men!	false	485.625	492.7	22
4806_26895_000009_000002	As for the crowd itself--well, it consisted mostly of Frenchmen.	As for the crowd itself-well, it consisted mostly of Frenchmen.	true	493.01	496.68	22.555565
4806_26895_000009_000003	Yet I was not then taking notes merely in order to be able to give you a description of roulette, but in order to get my bearings as to my behaviour when I myself should begin to play.	Yet I was not then taking notes merely in order to be able to give you a description of roulette, but in order to get my bearings as to my behaviour when I myself should begin to play.	false	496.68	505.57	21.528095
4806_26895_000009_000004	For example, I noticed that nothing was more common than for another's hand to stretch out and grab one's winnings whenever one had won.	For example, I noticed that nothing was more common than for another's hand to stretch out and grab one's winnings whenever one had won.	false	505.7	511.75	17
4806_26895_000009_000005	Then there would arise a dispute, and frequently an uproar; and it would be a case of "I beg of you to prove, and to produce witnesses to the fact, that the stake is yours."	Then there would arise a dispute, and frequently an uproar; and it would be a case of "I beg of you to prove, and to produce witnesses to the fact, that the stake is yours."	true	511.76	519.07	19
4806_26895_000010_000000	At first the proceedings were pure Greek to me.	At first the proceedings were pure Greek to me.	true	519.59	521.71	22
4806_26895_000010_000001	I could only divine and distinguish that stakes were hazarded on numbers, on "odd" or "even," and on colours.	I could only divine and distinguish that stakes were hazarded on numbers, on "odd" or "even," and on colours.	true	521.75	527.47	21.804958
4806_26895_000010_000002	Polina's money I decided to risk, that evening, only to the amount of 100 gulden.	Polina's money I decided to risk, that evening, only to the amount of one hundred gulden.	false	527.57	531.75	23.033913
4806_26895_000010_000003	The thought that I was not going to play for myself quite unnerved me.	The thought that I was not going to play for myself quite unnerved me.	false	531.75	535	20.541567
4806_26895_000010_000004	It was an unpleasant sensation, and I tried hard to banish it.	It was an unpleasant sensation, and I tried hard to banish it.	true	535.25	538.18	21.407787
4806_26895_000010_000005	I had a feeling that, once I had begun to play for Polina, I should wreck my own fortunes.	I had a feeling that, once I had begun to play for Polina, I should wreck my own fortunes.	true	538.37	543.45	21.743155
4806_26895_000010_000006	Also, I wonder if any one has EVER approached a gaming-table without falling an immediate prey to superstition?	Also, I wonder if any one has EVER approached a gaming table without falling an immediate prey to superstition?	true	543.45	549.49	21
4806_26895_000010_000007	I began by pulling out fifty gulden, and staking them on "even." The wheel spun and stopped at 13.	I began by pulling out fifty gulden, and staking them on "even." The wheel spun and stopped at thirteen.	true	549.98	555.765	25.002682
4806_26895_000010_000008	I had lost!	I had lost!	true	555.765	556.81	23.111141
4806_26895_000010_000009	With a feeling like a sick qualm, as though I would like to make my way out of the crowd and go home, I staked another fifty gulden--this time on the red. The red turned up.	With a feeling like a sick qualm, as though I would like to make my way out of the crowd and go home, I staked another fifty gulden-this time on the red. The red turned up.	false	556.94	565.215	22.702799
4806_26895_000010_000010	Next time I staked the 100 gulden just where they lay--and again the red turned up.	Next time I staked the one hundred gulden just where they lay-and again the red turned up.	false	565.215	569.4	24.3585
4806_26895_000010_000011	Again I staked the whole sum, and again the red turned up.	Again I staked the whole sum, and again the red turned up.	true	569.4	572.5	21.874943
4806_26895_000010_000012	Clutching my 400 gulden, I placed 200 of them on twelve figures, to see what would come of it.	Clutching my four hundred gulden, I placed two hundred of them on twelve figures, to see what would come of it.	true	572.66	577.72	21.915247
4806_26895_000010_000013	The result was that the croupier paid me out three times my total stake!	The result was that the croupier paid me out three times my total stake!	false	577.76	581.53	23.31886
4806_26895_000010_000014	Thus from 100 gulden my store had grown to 800!	Thus from one hundred gulden my store had grown to eight hundred!	false	581.6	584.59	22.842165
4806_26895_000010_000015	Upon that such a curious, such an inexplicable, unwonted feeling overcame me that I decided to depart. Always the thought kept recurring to me that if I had been playing for myself alone I should never have had such luck.	Upon that such a curious, such an inexplicable, unwonted feeling overcame me that I decided to depart. Always the thought kept recurring to me that if I had been playing for myself alone I should never have had such luck.	true	585.29	596.02	17
4806_26895_000010_000016	Once more I staked the whole 800 gulden on the "even." The wheel stopped at 4.	Once more I staked the whole eight hundred gulden on the "even." The wheel stopped at four.	true	596.27	600.19	16
4806_26895_000010_000017	I was paid out another 800 gulden, and, snatching up my pile of 1600, departed in search of Polina Alexandrovna.	I was paid out another eight hundred gulden, and, snatching up my pile of sixteen hundred, departed in search of Polina Alexandrovna.	true	600.26	606.79	19.606106
4806_26895_000011_000000	I found the whole party walking in the park, and was able to get an interview with her only after supper.	I found the whole party walking in the park, and was able to get an interview with her only after supper.	true	607.16	611.71	19
4806_26895_000011_000001	This time the Frenchman was absent from the meal, and the General seemed to be in a more expansive vein.	This time the Frenchman was absent from the meal, and the General seemed to be in a more expansive vein.	true	611.75	616.57	18
4806_26895_000011_000002	Among other things, he thought it necessary to remind me that he would be sorry to see me playing at the gaming-tables.	Among other things, he thought it necessary to remind me that he would be sorry to see me playing at the gaming tables.	true	617.03	622.09	17
4806_26895_000011_000003	In his opinion, such conduct would greatly compromise him--especially if I were to lose much.	In his opinion, such conduct would greatly compromise him-especially if I were to lose much.	true	622.19	627.01	23.367165
4806_26895_000011_000004	"And even if you were to WIN much I should be compromised," he added in a meaning sort of way.	"And even if you were to WIN much I should be compromised," he added in a meaning sort of way.	false	627.38	632.68	20.548973
4806_26895_000011_000005	"Of course I have no RIGHT to order your actions, but you yourself will agree that..." As usual, he did not finish his sentence.	"Of course I have no RIGHT to order your actions, but you yourself will agree that..." As usual, he did not finish his sentence.	true	632.84	638.56	21.753672
4806_26895_000011_000006	I answered drily that I had very little money in my possession, and that, consequently, I was hardly in a position to indulge in any conspicuous play, even if I did gamble.	I answered drily that I had very little money in my possession, and that, consequently, I was hardly in a position to indulge in any conspicuous play, even if I did gamble.	false	638.57	647.07	21.298681
4806_26895_000011_000007	At last, when ascending to my own room, I succeeded in handing Polina her winnings, and told her that, next time, I should not play for her.	At last, when ascending to my own room, I succeeded in handing Polina her winnings, and told her that, next time, I should not play for her.	false	647.07	653.82	21.188164
4806_26895_000012_000000	"Why not?" she asked excitedly.	"Why not?" she asked excitedly.	true	653.82	655.6	23.96794
4806_26895_000013_000000	"Because I wish to play FOR MYSELF," I replied with a feigned glance of astonishment.	"Because I wish to play FOR MYSELF," I replied with a feigned glance of astonishment.	false	655.76	660.01	21.551489
4806_26895_000013_000001	"That is my sole reason."	"That is my sole reason."	true	660.08	661.35	18.732105
4806_26895_000014_000000	"Then are you so certain that your roulette-playing will get us out of our difficulties?" she inquired with a quizzical smile.	"Then are you so certain that your roulette playing will get us out of our difficulties?" she inquired with a quizzical smile.	false	661.35	666.82	16.755959
4806_26895_000015_000000	I said very seriously, "Yes," and then added: "Possibly my certainty about winning may seem to you ridiculous; yet, pray leave me in peace."	I said very seriously, "Yes," and then added: "Possibly my certainty about winning may seem to you ridiculous; yet, pray leave me in peace."	true	667.19	675.52	21.30006
4806_26895_000016_000000	Nonetheless she insisted that I ought to go halves with her in the day's winnings, and offered me 800 gulden on condition that henceforth, I gambled only on those terms; but I refused to do so, once and for all--stating, as my reason, that I found myself unable to play on behalf of any one else, "I am not unwilling so to do," I added, "but in all probability I should lose."	Nonetheless she insisted that I ought to go halves with her in the day's winnings, and offered me eight hundred gulden on condition that henceforth, I gambled only on those terms; but I refused to do so, once and for all-stating, as my reason, that I found myself unable to play on behalf of any one else, "I am not unwilling so to do," I added, "but in all probability I should lose."	false	676.01	695.29	23.041706
4806_26895_000017_000000	"Well, absurd though it be, I place great hopes on your playing of roulette," she remarked musingly; "wherefore, you ought to play as my partner and on equal shares; wherefore, of course, you will do as I wish."	"Well, absurd though it be, I place great hopes on your playing of roulette," she remarked musingly; "wherefore, you ought to play as my partner and on equal shares; wherefore, of course, you will do as I wish."	true	695.66	706.81	22.458086
4806_26895_000018_000000	Then she left me without listening to any further protests on my part.	Then she left me without listening to any further protests on my part.	false	707.21	726.51	18.806269
