209_4731_000001_000000	CHAPTER III	CHAPTER three
209_4731_000006_000003	She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea-visit; and having formerly owed much to Mr. Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy-work, whenever she could, and win or lose a few sixpences by his fireside.	She was a plain, motherly kind of woman, who had worked hard in her youth, and now thought herself entitled to the occasional holiday of a tea visit; and having formerly owed much to mr Woodhouse's kindness, felt his particular claim on her to leave her neat parlour, hung round with fancy work, whenever she could, and win or lose a few sixpences by his fireside.
209_4731_000007_000000	These were the ladies whom Emma found herself very frequently able to collect; and happy was she, for her father's sake, in the power; though, as far as she was herself concerned, it was no remedy for the absence of Mrs. Weston.	These were the ladies whom Emma found herself very frequently able to collect; and happy was she, for her father's sake, in the power; though, as far as she was herself concerned, it was no remedy for the absence of mrs Weston.
209_4731_000007_000001	She was delighted to see her father look comfortable, and very much pleased with herself for contriving things so well; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated.	She was delighted to see her father look comfortable, and very much pleased with herself for contriving things so well; but the quiet prosings of three such women made her feel that every evening so spent was indeed one of the long evenings she had fearfully anticipated.
209_4731_000008_000000	As she sat one morning, looking forward to exactly such a close of the present day, a note was brought from Mrs. Goddard, requesting, in most respectful terms, to be allowed to bring Miss Smith with her; a most welcome request: for Miss Smith was a girl of seventeen, whom Emma knew very well by sight, and had long felt an interest in, on account of her beauty.	As she sat one morning, looking forward to exactly such a close of the present day, a note was brought from mrs Goddard, requesting, in most respectful terms, to be allowed to bring Miss Smith with her; a most welcome request: for Miss Smith was a girl of seventeen, whom Emma knew very well by sight, and had long felt an interest in, on account of her beauty.
209_4731_000008_000001	A very gracious invitation was returned, and the evening no longer dreaded by the fair mistress of the mansion.	A very gracious invitation was returned, and the evening no longer dreaded by the fair mistress of the mansion.
209_4731_000009_000000	Harriet Smith was the natural daughter of somebody.	Harriet Smith was the natural daughter of somebody.
209_4731_000009_000001	Somebody had placed her, several years back, at Mrs. Goddard's school, and somebody had lately raised her from the condition of scholar to that of parlour-boarder.	Somebody had placed her, several years back, at mrs Goddard's school, and somebody had lately raised her from the condition of scholar to that of parlour boarder.
209_4731_000009_000002	This was all that was generally known of her history. She had no visible friends but what had been acquired at Highbury, and was now just returned from a long visit in the country to some young ladies who had been at school there with her.	This was all that was generally known of her history. She had no visible friends but what had been acquired at Highbury, and was now just returned from a long visit in the country to some young ladies who had been at school there with her.
209_4731_000010_000000	She was a very pretty girl, and her beauty happened to be of a sort which Emma particularly admired.	She was a very pretty girl, and her beauty happened to be of a sort which Emma particularly admired.
209_4731_000010_000001	She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.	She was short, plump, and fair, with a fine bloom, blue eyes, light hair, regular features, and a look of great sweetness, and, before the end of the evening, Emma was as much pleased with her manners as her person, and quite determined to continue the acquaintance.
209_4731_000011_000001	Those soft blue eyes, and all those natural graces, should not be wasted on the inferior society of Highbury and its connexions.	Those soft blue eyes, and all those natural graces, should not be wasted on the inferior society of Highbury and its connexions.
209_4731_000011_000002	The acquaintance she had already formed were unworthy of her.	The acquaintance she had already formed were unworthy of her.
209_4731_000011_000003	The friends from whom she had just parted, though very good sort of people, must be doing her harm.	The friends from whom she had just parted, though very good sort of people, must be doing her harm.
209_4731_000011_000006	It would be an interesting, and certainly a very kind undertaking; highly becoming her own situation in life, her leisure, and powers.	It would be an interesting, and certainly a very kind undertaking; highly becoming her own situation in life, her leisure, and powers.
209_4731_000013_000000	Upon such occasions poor Mr. Woodhouses feelings were in sad warfare. He loved to have the cloth laid, because it had been the fashion of his youth, but his conviction of suppers being very unwholesome made him rather sorry to see any thing put on it; and while his hospitality would have welcomed his visitors to every thing, his care for their health made him grieve that they would eat.	Upon such occasions poor mr Woodhouses feelings were in sad warfare. He loved to have the cloth laid, because it had been the fashion of his youth, but his conviction of suppers being very unwholesome made him rather sorry to see any thing put on it; and while his hospitality would have welcomed his visitors to every thing, his care for their health made him grieve that they would eat.
209_4731_000014_000000	Such another small basin of thin gruel as his own was all that he could, with thorough self-approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:	Such another small basin of thin gruel as his own was all that he could, with thorough self approbation, recommend; though he might constrain himself, while the ladies were comfortably clearing the nicer things, to say:
209_4731_000015_000000	"Mrs. Bates, let me propose your venturing on one of these eggs.	"mrs Bates, let me propose your venturing on one of these eggs.
209_4731_000015_000002	Serle understands boiling an egg better than any body.	Serle understands boiling an egg better than any body.
209_4731_000015_000003	I would not recommend an egg boiled by any body else; but you need not be afraid, they are very small, you see--one of our small eggs will not hurt you.	I would not recommend an egg boiled by any body else; but you need not be afraid, they are very small, you see-one of our small eggs will not hurt you.
209_4731_000015_000005	Ours are all apple-tarts.	Ours are all apple tarts.
209_4731_000015_000007	I do not advise the custard.	I do not advise the custard.
209_4731_000015_000010	I do not think it could disagree with you."	I do not think it could disagree with you."
209_4731_000016_000000	Emma allowed her father to talk--but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy.	Emma allowed her father to talk-but supplied her visitors in a much more satisfactory style, and on the present evening had particular pleasure in sending them away happy.
209_4731_000016_000001	The happiness of Miss Smith was quite equal to her intentions.	The happiness of Miss Smith was quite equal to her intentions.
