803_139753_000000_000000	"And did they catch Nuth?" you ask me, gentle reader.	"And did they catch Nuth?" you ask me, gentle reader.	false	0	6.75	17.396414
803_139753_000007_000006	Of the Under Pits who shall tell?	Of the Under Pits who shall tell?	true	372.83	375.1	18.765135
803_139753_000007_000007	Their mystery is secret. It is held by some that they are the sources of night, and that darkness pours from them at evening upon the world; while others hint that knowledge of these might undo our civilization.	Their mystery is secret. It is held by some that they are the sources of night, and that darkness pours from them at evening upon the world; while others hint that knowledge of these might undo our civilization.	true	375.23	389.59	18.706135
803_139753_000008_000000	There watched him ceaselessly from the Under Pits those eyes whose duty it is; from further within and deeper, the bats that dwell there arose when they saw the surprise in the eyes; the sentinels on the bulwarks beheld that stream of bats and lifted up their spears as it were for war.	There watched him ceaselessly from the Under Pits those eyes whose duty it is; from further within and deeper, the bats that dwell there arose when they saw the surprise in the eyes; the sentinels on the bulwarks beheld that stream of bats and lifted up their spears as it were for war.	false	390.35	411.97	18.789497
803_139753_000008_000001	Nevertheless when they perceived that that war for which they watched was not now come upon them, they lowered their spears and suffered him to enter, and he passed whirring through the earthward gateway.	Nevertheless when they perceived that that war for which they watched was not now come upon them, they lowered their spears and suffered him to enter, and he passed whirring through the earthward gateway.	true	412.25	426.07	19.01002
803_139753_000008_000002	Even so he came, as foretold, to the City of Never perched upon Toldenarba, and saw late twilight on those pinnacles that know no other light.	Even so he came, as foretold, to the City of Never perched upon Toldenarba, and saw late twilight on those pinnacles that know no other light.	true	426.74	438.34	19.881672
803_139753_000008_000003	All the domes were of copper, but the spires on their summits were gold.	All the domes were of copper, but the spires on their summits were gold.	true	439.07	444.55	17.936426
803_139753_000008_000004	Little steps of onyx ran all this way and that.	Little steps of onyx ran all this way and that.	false	444.71	448.27	18
803_139753_000008_000005	With cobbled agates were its streets a glory.	With cobbled agates were its streets a glory.	true	448.76	452.14	21.133266
803_139753_000008_000006	Through small square panes of rose-quartz the citizens looked from their houses.	Through small square panes of rose quartz the citizens looked from their houses.	true	452.78	457.6	21
803_139753_000008_000007	To them as they looked abroad the World far-off seemed happy.	To them as they looked abroad the World far off seemed happy.	true	458.24	462.73	20.998661
803_139753_000008_000008	Clad though that city was in one robe always, in twilight, yet was its beauty worthy of even so lovely a wonder: city and twilight were both peerless but for each other.	Clad though that city was in one robe always, in twilight, yet was its beauty worthy of even so lovely a wonder: city and twilight were both peerless but for each other.	true	463.49	475.78	18.37352
803_139753_000008_000009	Built of a stone unknown in the world we tread were its bastions, quarried we know not where, but called by the gnomes _abyx_, it so flashed back to the twilight its glories, colour for colour, that none can say of them where their boundary is, and which the eternal twilight, and which the City of Never; they are the twin-born children, the fairest daughters of Wonder.	Built of a stone unknown in the world we tread were its bastions, quarried we know not where, but called by the gnomes underscore a b y x underscore, it so flashed back to the twilight its glories, colour for colour, that none can say of them where their boundary is, and which the eternal twilight, and which the City of Never; they are the twin born children, the fairest daughters of Wonder.	false	476.33	504.28	18.863882
803_139753_000008_000010	Time had been there, but not to work destruction; he had turned to a fair, pale green the domes that were made of copper, the rest he had left untouched, even he, the destroyer of cities, by what bribe I know not averted.	Time had been there, but not to work destruction; he had turned to a fair, pale green the domes that were made of copper, the rest he had left untouched, even he, the destroyer of cities, by what bribe I know not averted.	false	505.22	517.87	17.642076
803_139753_000008_000011	Nevertheless they often wept in Never for change and passing away, mourning catastrophes in other worlds, and they built temples sometimes to ruined stars that had fallen flaming down from the Milky Way, giving them worship still when by us long since forgotten.	Nevertheless they often wept in Never for change and passing away, mourning catastrophes in other worlds, and they built temples sometimes to ruined stars that had fallen flaming down from the Milky Way, giving them worship still when by us long since forgotten.	true	518.48	537.16	17
803_139753_000008_000012	Other temples they have--who knows to what divinities?	Other temples they have-who knows to what divinities?	true	537.5	541.69	17.743513
803_139753_000009_000000	And he that was destined alone of men to come to the City of Never was well content to behold it as he trotted down its agate street, with the wings of his hippogriff furled, seeing at either side of him marvel on marvel of which even China is ignorant.	And he that was destined alone of men to come to the City of Never was well content to behold it as he trotted down its agate street, with the wings of his hippogriff furled, seeing at either side of him marvel on marvel of which even China is ignorant.	true	542.21	560.38	17.815504
803_139753_000009_000001	Then as he neared the city's further rampart by which no inhabitant stirred, and looked in a direction to which no houses faced with any rose-pink windows, he suddenly saw far-off, dwarfing the mountains, an even greater city. Whether that city was built upon the twilight or whether it rose from the coasts of some other world he did not know.	Then as he neared the city's further rampart by which no inhabitant stirred, and looked in a direction to which no houses faced with any rose pink windows, he suddenly saw far off, dwarfing the mountains, an even greater city. Whether that city was built upon the twilight or whether it rose from the coasts of some other world he did not know.	true	560.75	584.74	18.18503
803_139753_000009_000002	He saw it dominate the City of Never, and strove to reach it; but at this unmeasured home of unknown colossi the hippogriff shied frantically, and neither the magic halter nor anything that he did could make the monster face it. At last, from the City of Never's lonely outskirts where no inhabitants walked, the rider turned slowly earthward.	He saw it dominate the City of Never, and strove to reach it; but at this unmeasured home of unknown colossi the hippogriff shied frantically, and neither the magic halter nor anything that he did could make the monster face it. At last, from the City of Never's lonely outskirts where no inhabitants walked, the rider turned slowly earthward.	true	585.35	610.48	18.756697
803_139753_000009_000003	He knew now why all the windows faced this way--the denizens of the twilight gazed at the world and not at a greater than them.	He knew now why all the windows faced this way-the denizens of the twilight gazed at the world and not at a greater than them.	true	610.82	619.12	18
803_139753_000009_000004	Then from the last step of the earthward stairway, like lead past the Under Pits and down the glittering face of Toldenarba, down from the overshadowed glories of the gold-tipped City of Never and out of perpetual twilight, swooped the man on his winged monster: the wind that slept at the time leaped up like a dog at their onrush, it uttered a cry and ran past them. Down on the World it was morning; night was roaming away with his cloak trailed behind him, white mists turned over and over as he went, the orb was grey but it glittered, lights blinked surprisingly in early windows, forth over wet, dim fields went cows from their houses: even in this hour touched the fields again the feet of the hippogriff. And the moment that the man dismounted and took off his magic halter the hippogriff flew slanting away with a whirr, going back to some airy dancing-place of his people.	Then from the last step of the earthward stairway, like lead past the Under Pits and down the glittering face of Toldenarba, down from the overshadowed glories of the gold tipped City of Never and out of perpetual twilight, swooped the man on his winged monster: the wind that slept at the time leaped up like a dog at their onrush, it uttered a cry and ran past them. Down on the World it was morning; night was roaming away with his cloak trailed behind him, white mists turned over and over as he went, the orb was grey but it glittered, lights blinked surprisingly in early windows, forth over wet, dim fields went cows from their houses: even in this hour touched the fields again the feet of the hippogriff. And the moment that the man dismounted and took off his magic halter the hippogriff flew slanting away with a whirr, going back to some airy dancing place of his people.	false	619.85	685.33	19.208988
803_139753_000010_000000	And he that surmounted glittering Toldenarba and came alone of men to the City of Never has his name and his fame among nations; but he and the people of that twilit city well know two things unguessed by other men, they that there is another city fairer than theirs, and he--a deed unaccomplished.	And he that surmounted glittering Toldenarba and came alone of men to the City of Never has his name and his fame among nations; but he and the people of that twilit city well know two things unguessed by other men, they that there is another city fairer than theirs, and he-a deed unaccomplished.	false	685.64	710.85	18.769958
803_139753_000011_000000	THE CORONATION OF MR.	THE CORONATION OF mr	false	710.85	711.18	-20
803_139753_000011_000001	THOMAS SHAP	THOMAS SHAP	false	711.18	711.36	-13
803_139753_000012_000000	It was the occupation of Mr. Thomas Shap to persuade customers that the goods were genuine and of an excellent quality, and that as regards the price their unspoken will was consulted.	It was the occupation of mr Thomas Shap to persuade customers that the goods were genuine and of an excellent quality, and that as regards the price their unspoken will was consulted.	false	711.36	716.25	18.79127
803_139753_000012_000001	And in order to carry on this occupation he went by train very early every morning some few miles nearer to the City from the suburb in which he slept. This was the use to which he put his life.	And in order to carry on this occupation he went by train very early every morning some few miles nearer to the City from the suburb in which he slept. This was the use to which he put his life.	false	716.25	720.54	17.935373
