8075_279239_000001_000000	A PIECE OF ROAST BEEF	A PIECE OF ROAST BEEF
8075_279239_000016_000001	Roast beef is a cosmopolitan habit, and knows no arbitrary boundaries; so I went uptown.	Roast beef is a cosmopolitan habit, and knows no arbitrary boundaries; so I went uptown.
8075_279239_000016_000003	Here, I felt, would be the test.	Here, I felt, would be the test.
8075_279239_000016_000004	Could roast beef come back?	Could roast beef come back?
8075_279239_000016_000005	Surrounded by glittering chandeliers and rich tapestries, snowy table linen and silver service, here was the chance for the ordinary roast beef to become a veritable dainty, with some character, some distinctive touch that should lift it above all that roast beef has ever meant before.	Surrounded by glittering chandeliers and rich tapestries, snowy table linen and silver service, here was the chance for the ordinary roast beef to become a veritable dainty, with some character, some distinctive touch that should lift it above all that roast beef has ever meant before.
8075_279239_000018_000000	But apparently the hotel retainers weren't trained to look through a rough exterior and find the sterling qualities beneath.	But apparently the hotel retainers weren't trained to look through a rough exterior and find the sterling qualities beneath.
8075_279239_000018_000001	They looked through my rough exterior all right, but they didn't stop at my sterling qualities.	They looked through my rough exterior all right, but they didn't stop at my sterling qualities.
8075_279239_000018_000002	They looked right through to the man behind me, and gave him the signal that there was a seat for him.	They looked right through to the man behind me, and gave him the signal that there was a seat for him.
8075_279239_000019_000000	Not to be outdone, however, I got my place in the sun by cleverly tripping my rival as he passed me, so that he fell into the fountain arrangement, while I sat down in the seat pulled out for him by the head waiter.	Not to be outdone, however, I got my place in the sun by cleverly tripping my rival as he passed me, so that he fell into the fountain arrangement, while I sat down in the seat pulled out for him by the head waiter.
8075_279239_000019_000001	And, once I was in, there was nothing for them to do but let me stay.	And, once I was in, there was nothing for them to do but let me stay.
8075_279239_000020_000000	After I had been there a few minutes a waiter came and put on a fresh table cloth.	After I had been there a few minutes a waiter came and put on a fresh table cloth.
8075_279239_000020_000001	Five minutes later another man placed a knife and spoon at my plate.	Five minutes later another man placed a knife and spoon at my plate.
8075_279239_000020_000002	Later in the evening a boy with a basket of rolls wandered by and deposited one on my table with a pair of pincers. Personally, I was rather glad that it was working out this way, for it would make my story all the better, but I might have really been in a hurry for my dinner.	Later in the evening a boy with a basket of rolls wandered by and deposited one on my table with a pair of pincers. Personally, I was rather glad that it was working out this way, for it would make my story all the better, but I might have really been in a hurry for my dinner.
8075_279239_000021_000000	It wasn't long, as the crow flies, before one of the third assistant waiters unloosened enough to drop round and see if there was anything else I wanted besides one roll and a knife and spoon.	It wasn't long, as the crow flies, before one of the third assistant waiters unloosened enough to drop round and see if there was anything else I wanted besides one roll and a knife and spoon.
8075_279239_000021_000001	I looked over the menu as if I were in a pretty captious mood, and then, with the air of an epicure who has tasted to the dregs all the condiments of Arabia and whose jaded palate refuses to thrill any longer, I ordered "roast beef."	I looked over the menu as if I were in a pretty captious mood, and then, with the air of an epicure who has tasted to the dregs all the condiments of Arabia and whose jaded palate refuses to thrill any longer, I ordered "roast beef."
8075_279239_000023_000000	The waiter wasn't very enthusiastic over my order, and something saved me from asking him if they threw in "a side" of mashed potatoes with the meat.	The waiter wasn't very enthusiastic over my order, and something saved me from asking him if they threw in "a side" of mashed potatoes with the meat.
8075_279239_000023_000002	That cheered him up more than anything I had done that evening, and he really got quite fratty and said: "A little salad, sir?" Again I imitated a man who has had more experience with salads than any other three men put together and who has found them a miserable sham.	That cheered him up more than anything I had done that evening, and he really got quite fratty and said: "A little salad, sir?" Again I imitated a man who has had more experience with salads than any other three men put together and who has found them a miserable sham.
8075_279239_000025_000000	"No; that will be all for now," I said, and turned wearily away.	"No; that will be all for now," I said, and turned wearily away.
8075_279239_000025_000001	I wanted to tell him that I had a dinner coat at home that looked enough sight better than his, but there is no use in making a scene when it can be avoided.	I wanted to tell him that I had a dinner coat at home that looked enough sight better than his, but there is no use in making a scene when it can be avoided.
8075_279239_000026_000000	During the next twenty minutes the orchestra played once and I ate my roll.	During the next twenty minutes the orchestra played once and I ate my roll.
8075_279239_000026_000001	Then the roast beef came.	Then the roast beef came.
8075_279239_000027_000000	On a silver platter, with a silver cover, it was placed before me under the best possible scenic conditions.	On a silver platter, with a silver cover, it was placed before me under the best possible scenic conditions.
8075_279239_000027_000001	But the thing that met my gaze when the cover was lifted might just as well have been the same property piece of roast beef that was keeping company with a dab of mashed potato in the Bay State Lunch.	But the thing that met my gaze when the cover was lifted might just as well have been the same property piece of roast beef that was keeping company with a dab of mashed potato in the Bay State Lunch.
8075_279239_000027_000002	It had a trifle more fat, was just a shade pinker, and perhaps a micrometer could have detected a bit more bulk; but, so far as I was concerned or so far as the calories were concerned, it was the same.	It had a trifle more fat, was just a shade pinker, and perhaps a micrometer could have detected a bit more bulk; but, so far as I was concerned or so far as the calories were concerned, it was the same.
8075_279239_000028_000000	As a fitting garniture to such a dish, there was a corsage of watercress draped on the corner of the salver.	As a fitting garniture to such a dish, there was a corsage of watercress draped on the corner of the salver.
8075_279239_000028_000001	At any rate, it could be said for it that it was not intoxicating, and so could never cause any real misery in this world.	At any rate, it could be said for it that it was not intoxicating, and so could never cause any real misery in this world.
8075_279239_000029_000000	I nibbled at my roast beef, but my spirit was broken.	I nibbled at my roast beef, but my spirit was broken.
8075_279239_000029_000001	I had gone through a week of self-denial, ordering roast beef when I craved edibles, eating at restaurants while my family waited for me at home, and here was the result of my researches: Roast beef is roast beef, and nothing can prevent it.	I had gone through a week of self denial, ordering roast beef when I craved edibles, eating at restaurants while my family waited for me at home, and here was the result of my researches: Roast beef is roast beef, and nothing can prevent it.
8075_279239_000029_000002	From the ten-cent order of the Busy Home Restaurant, up through to the piece I was then eating, it was the same grim reality, the only justification for a difference in price being a silver salver or a waiter in a tuxedo.	From the ten cent order of the Busy Home Restaurant, up through to the piece I was then eating, it was the same grim reality, the only justification for a difference in price being a silver salver or a waiter in a tuxedo.
8075_279239_000031_000000	This quite reconciled me, until my check was brought.	This quite reconciled me, until my check was brought.
8075_279239_000032_000000	These investigations may not prove to be much of a contribution to modern science or economics.	These investigations may not prove to be much of a contribution to modern science or economics.
