492_131890_000000_000000	Chapter IX	Chapter nine	true	22.665	23.62	20.605719
492_131890_000011_000000	"Like you, to Bombay."	"Like you, to Bombay."	true	395.7	397.24	23.248203
492_131890_000012_000000	"That's capital!	"That's capital!	true	397.64	398.71	22.438639
492_131890_000012_000001	Have you made this trip before?"	Have you made this trip before?"	true	399.56	401.23	19
492_131890_000013_000000	"Several times.	"Several times.	true	401.48	402.49	19.980839
492_131890_000013_000001	I am one of the agents of the Peninsular Company."	I am one of the agents of the Peninsular Company."	true	402.89	406.87	17
492_131890_000014_000000	"Then you know India?"	"Then you know India?"	true	407.27	408.37	20
492_131890_000015_000000	"Why yes," replied Fix, who spoke cautiously.	"Why yes," replied Fix, who spoke cautiously.	true	408.59	412.39	17.33944
492_131890_000016_000000	"A curious place, this India?"	"A curious place, this India?"	true	413	415.21	17.64184
492_131890_000017_000000	"Oh, very curious.	"Oh, very curious.	false	415.46	417.03	21
492_131890_000017_000001	Mosques, minarets, temples, fakirs, pagodas, tigers, snakes, elephants!	Mosques, minarets, temples, fakirs, pagodas, tigers, snakes, elephants!	false	417.03	423.67	16
492_131890_000017_000002	I hope you will have ample time to see the sights."	I hope you will have ample time to see the sights."	true	423.95	426.4	16
492_131890_000018_000000	"I hope so, Monsieur Fix.	"I hope so, Monsieur Fix.	true	426.68	428.59	16
492_131890_000018_000001	You see, a man of sound sense ought not to spend his life jumping from a steamer upon a railway train, and from a railway train upon a steamer again, pretending to make the tour of the world in eighty days!	You see, a man of sound sense ought not to spend his life jumping from a steamer upon a railway train, and from a railway train upon a steamer again, pretending to make the tour of the world in eighty days!	false	428.78	442.41	17
492_131890_000018_000002	No; all these gymnastics, you may be sure, will cease at Bombay."	No; all these gymnastics, you may be sure, will cease at Bombay."	false	442.41	447.51	17
492_131890_000019_000000	"And Mr. Fogg is getting on well?" asked Fix, in the most natural tone in the world.	"And mr Fogg is getting on well?" asked Fix, in the most natural tone in the world.	false	447.51	454.03	19
492_131890_000020_000000	"Quite well, and I too.	"Quite well, and I too.	true	454.43	456.16	23.998426
492_131890_000020_000001	I eat like a famished ogre; it's the sea air."	I eat like a famished ogre; it's the sea air."	false	456.41	459.94	19
492_131890_000021_000000	"But I never see your master on deck."	"But I never see your master on deck."	true	460.7	462.73	16
492_131890_000022_000000	"Never; he hasn't the least curiosity."	"Never; he hasn't the least curiosity."	true	462.86	465.57	20.923489
492_131890_000023_000000	"Do you know, Mr. Passepartout, that this pretended tour in eighty days may conceal some secret errand--perhaps a diplomatic mission?"	"Do you know, mr Passepartout, that this pretended tour in eighty days may conceal some secret errand-perhaps a diplomatic mission?"	false	465.57	476.05	19.413101
492_131890_000024_000000	"Faith, Monsieur Fix, I assure you I know nothing about it, nor would I give half a crown to find out."	"Faith, Monsieur Fix, I assure you I know nothing about it, nor would I give half a crown to find out."	true	476.78	484.12	19.500244
492_131890_000025_000000	After this meeting, Passepartout and Fix got into the habit of chatting together, the latter making it a point to gain the worthy man's confidence.	After this meeting, Passepartout and Fix got into the habit of chatting together, the latter making it a point to gain the worthy man's confidence.	true	484.94	495.13	19
492_131890_000025_000001	He frequently offered him a glass of whiskey or pale ale in the steamer bar-room, which Passepartout never failed to accept with graceful alacrity, mentally pronouncing Fix the best of good fellows.	He frequently offered him a glass of whiskey or pale ale in the steamer bar room, which Passepartout never failed to accept with graceful alacrity, mentally pronouncing Fix the best of good fellows.	false	495.14	511.03	17
492_131890_000026_000000	Meanwhile the Mongolia was pushing forward rapidly; on the 13th, Mocha, surrounded by its ruined walls whereon date-trees were growing, was sighted, and on the mountains beyond were espied vast coffee-fields. Passepartout was ravished to behold this celebrated place, and thought that, with its circular walls and dismantled fort, it looked like an immense coffee-cup and saucer.	Meanwhile the Mongolia was pushing forward rapidly; on the thirteenth, Mocha, surrounded by its ruined walls whereon date trees were growing, was sighted, and on the mountains beyond were espied vast coffee fields. Passepartout was ravished to behold this celebrated place, and thought that, with its circular walls and dismantled fort, it looked like an immense coffee cup and saucer.	false	512.51	545.61	20.476852
492_131890_000026_000001	The following night they passed through the Strait of Bab-el-Mandeb, which means in Arabic The Bridge of Tears, and the next day they put in at Steamer Point, north-west of Aden harbour, to take in coal.	The following night they passed through the Strait of Bab el Mandeb, which means in Arabic The Bridge of Tears, and the next day they put in at Steamer Point, north-west of Aden harbour, to take in coal.	false	545.61	564.19	20
492_131890_000026_000002	This matter of fuelling steamers is a serious one at such distances from the coal-mines; it costs the Peninsular Company some eight hundred thousand pounds a year.	This matter of fuelling steamers is a serious one at such distances from the coal mines; it costs the Peninsular Company some eight hundred thousand pounds a year.	true	564.74	578.95	18.72154
492_131890_000026_000003	In these distant seas, coal is worth three or four pounds sterling a ton.	In these distant seas, coal is worth three or four pounds sterling a ton.	true	579.29	583.93	14
492_131890_000027_000000	The Mongolia had still sixteen hundred and fifty miles to traverse before reaching Bombay, and was obliged to remain four hours at Steamer Point to coal up.	The Mongolia had still sixteen hundred and fifty miles to traverse before reaching Bombay, and was obliged to remain four hours at Steamer Point to coal up.	false	585.14	595.63	17
492_131890_000027_000001	But this delay, as it was foreseen, did not affect Phileas Fogg's programme; besides, the Mongolia, instead of reaching Aden on the morning of the 15th, when she was due, arrived there on the evening of the 14th, a gain of fifteen hours.	But this delay, as it was foreseen, did not affect Phileas Fogg's programme; besides, the Mongolia, instead of reaching Aden on the morning of the fifteenth, when she was due, arrived there on the evening of the fourteenth, a gain of fifteen hours.	false	595.97	613.87	18.84042
492_131890_000028_000000	Mr. Fogg and his servant went ashore at Aden to have the passport again visaed; Fix, unobserved, followed them.	mr Fogg and his servant went ashore at Aden to have the passport again visaed; Fix, unobserved, followed them.	false	614.15	622.725	19.236876
492_131890_000028_000001	The visa procured, Mr. Fogg returned on board to resume his former habits; while Passepartout, according to custom, sauntered about among the mixed population of Somalis, Banyans, Parsees, Jews, Arabs, and Europeans who comprise the twenty-five thousand inhabitants of Aden.	The visa procured, mr Fogg returned on board to resume his former habits; while Passepartout, according to custom, sauntered about among the mixed population of Somalis, Banyans, Parsees, Jews, Arabs, and Europeans who comprise the twenty five thousand inhabitants of Aden.	false	622.725	646.45	18.90888
492_131890_000028_000002	He gazed with wonder upon the fortifications which make this place the Gibraltar of the Indian Ocean, and the vast cisterns where the English engineers were still at work, two thousand years after the engineers of Solomon.	He gazed with wonder upon the fortifications which make this place the Gibraltar of the Indian Ocean, and the vast cisterns where the English engineers were still at work, two thousand years after the engineers of Solomon.	false	646.91	666.37	18
492_131890_000029_000000	"Very curious, very curious," said Passepartout to himself, on returning to the steamer.	"Very curious, very curious," said Passepartout to himself, on returning to the steamer.	false	667.97	673.57	19
492_131890_000029_000001	"I see that it is by no means useless to travel, if a man wants to see something new." At six p.m. the Mongolia slowly moved out of the roadstead, and was soon once more on the Indian Ocean.	"I see that it is by no means useless to travel, if a man wants to see something new." At six p.m. the Mongolia slowly moved out of the roadstead, and was soon once more on the Indian Ocean.	true	673.73	687.49	13
492_131890_000029_000002	She had a hundred and sixty-eight hours in which to reach Bombay, and the sea was favourable, the wind being in the north-west, and all sails aiding the engine.	She had a hundred and sixty eight hours in which to reach Bombay, and the sea was favourable, the wind being in the north-west, and all sails aiding the engine.	true	687.86	698.89	16
492_131890_000029_000003	The steamer rolled but little, the ladies, in fresh toilets, reappeared on deck, and the singing and dancing were resumed.	The steamer rolled but little, the ladies, in fresh toilets, reappeared on deck, and the singing and dancing were resumed.	true	699.23	709.48	18
492_131890_000029_000004	The trip was being accomplished most successfully, and Passepartout was enchanted with the congenial companion which chance had secured him in the person of the delightful Fix.	The trip was being accomplished most successfully, and Passepartout was enchanted with the congenial companion which chance had secured him in the person of the delightful Fix.	false	709.82	724.51	19
492_131890_000029_000005	On Sunday, October 20th, towards noon, they came in sight of the Indian coast: two hours later the pilot came on board.	On sunday october twentieth, towards noon, they came in sight of the Indian coast: two hours later the pilot came on board.	true	724.64	734.52	19.935385
492_131890_000029_000006	A range of hills lay against the sky in the horizon, and soon the rows of palms which adorn Bombay came distinctly into view.	A range of hills lay against the sky in the horizon, and soon the rows of palms which adorn Bombay came distinctly into view.	false	734.52	745.33	16
492_131890_000029_000007	The steamer entered the road formed by the islands in the bay, and at half-past four she hauled up at the quays of Bombay.	The steamer entered the road formed by the islands in the bay, and at half past four she hauled up at the quays of Bombay.	true	745.34	753.64	15
492_131890_000030_000000	Phileas Fogg was in the act of finishing the thirty-third rubber of the voyage, and his partner and himself having, by a bold stroke, captured all thirteen of the tricks, concluded this fine campaign with a brilliant victory.	Phileas Fogg was in the act of finishing the thirty third rubber of the voyage, and his partner and himself having, by a bold stroke, captured all thirteen of the tricks, concluded this fine campaign with a brilliant victory.	false	755.42	772	17
492_131890_000031_000000	The Mongolia was due at Bombay on the 22nd; she arrived on the 20th. This was a gain to Phileas Fogg of two days since his departure from London, and he calmly entered the fact in the itinerary, in the column of gains.	The Mongolia was due at Bombay on the twenty second; she arrived on the twentieth. This was a gain to Phileas Fogg of two days since his departure from London, and he calmly entered the fact in the itinerary, in the column of gains.	true	773.27	788.1	20
492_131890_000032_000000	Chapter X	Chapter ten	false	788.1	788.22	-20
492_131890_000033_000000	IN WHICH PASSEPARTOUT IS ONLY TOO GLAD TO GET OFF WITH THE LOSS OF HIS SHOES	IN WHICH PASSEPARTOUT IS ONLY TOO GLAD TO GET OFF WITH THE LOSS OF HIS SHOES	false	788.22	789.24	-9
492_131890_000034_000000	Everybody knows that the great reversed triangle of land, with its base in the north and its apex in the south, which is called India, embraces fourteen hundred thousand square miles, upon which is spread unequally a population of one hundred and eighty millions of souls.	Everybody knows that the great reversed triangle of land, with its base in the north and its apex in the south, which is called India, embraces fourteen hundred thousand square miles, upon which is spread unequally a population of one hundred and eighty millions of souls.	false	789.24	791.91	20.581547
492_131890_000034_000001	The British Crown exercises a real and despotic dominion over the larger portion of this vast country, and has a governor-general stationed at Calcutta, governors at Madras, Bombay, and in Bengal, and a lieutenant-governor at Agra.	The British Crown exercises a real and despotic dominion over the larger portion of this vast country, and has a governor general stationed at Calcutta, governors at Madras, Bombay, and in Bengal, and a lieutenant governor at Agra.	false	791.91	800.55	17.964148
