5684_46240_000000_000000	CHAPTER IX.	CHAPTER nine.	false	0	0.63	1
5684_46240_000007_000000	We can, in our ignorance of most of the lowest animals, only say that their bright tints result either from the chemical nature or the minute structure of their tissues, independently of any benefit thus derived.	We can, in our ignorance of most of the lowest animals, only say that their bright tints result either from the chemical nature or the minute structure of their tissues, independently of any benefit thus derived.	false	243.05	254.44	21
5684_46240_000007_000001	Hardly any colour is finer than that of arterial blood; but there is no reason to suppose that the colour of the blood is in itself any advantage; and though it adds to the beauty of the maiden's cheek, no one will pretend that it has been acquired for this purpose.	Hardly any colour is finer than that of arterial blood; but there is no reason to suppose that the colour of the blood is in itself any advantage; and though it adds to the beauty of the maiden's cheek, no one will pretend that it has been acquired for this purpose.	false	254.66	268.72	21.26856
5684_46240_000007_000002	So again with many animals, especially the lower ones, the bile is richly coloured; thus, as I am informed by Mr. Hancock, the extreme beauty of the Eolidae (naked sea-slugs) is chiefly due to the biliary glands being seen through the translucent integuments--this beauty being probably of no service to these animals.	So again with many animals, especially the lower ones, the bile is richly coloured; thus, as I am informed by mr Hancock, the extreme beauty of the Eolidae (naked sea slugs) is chiefly due to the biliary glands being seen through the translucent integuments-this beauty being probably of no service to these animals.	false	269.42	286.6	19.048851
5684_46240_000007_000003	The tints of the decaying leaves in an American forest are described by every one as gorgeous; yet no one supposes that these tints are of the least advantage to the trees.	The tints of the decaying leaves in an American forest are described by every one as gorgeous; yet no one supposes that these tints are of the least advantage to the trees.	false	286.91	296.23	20.125185
5684_46240_000007_000004	Bearing in mind how many substances closely analogous to natural organic compounds have been recently formed by chemists, and which exhibit the most splendid colours, it would have been a strange fact if substances similarly coloured had not often originated, independently of any useful end thus gained, in the complex laboratory of living organisms.	Bearing in mind how many substances closely analogous to natural organic compounds have been recently formed by chemists, and which exhibit the most splendid colours, it would have been a strange fact if substances similarly coloured had not often originated, independently of any useful end thus gained, in the complex laboratory of living organisms.	true	296.51	316.75	21.199636
5684_46240_000008_000000	THE SUB-KINGDOM OF THE MOLLUSCA.	THE SUB KINGDOM OF THE MOLLUSCA.	true	317.72	319.84	21.101114
5684_46240_000009_000000	Throughout this great division of the animal kingdom, as far as I can discover, secondary sexual characters, such as we are here considering, never occur.	Throughout this great division of the animal kingdom, as far as I can discover, secondary sexual characters, such as we are here considering, never occur.	true	321.29	329.56	21
5684_46240_000009_000001	Nor could they be expected in the three lowest classes, namely, in the Ascidians, Polyzoa, and Brachiopods (constituting the Molluscoida of some authors), for most of these animals are permanently affixed to a support or have their sexes united in the same individual.	Nor could they be expected in the three lowest classes, namely, in the Ascidians, Polyzoa, and Brachiopods (constituting the Molluscoida of some authors), for most of these animals are permanently affixed to a support or have their sexes united in the same individual.	true	329.78	345.61	19.604053
5684_46240_000009_000002	In the Lamellibranchiata, or bivalve shells, hermaphroditism is not rare.	In the Lamellibranchiata, or bivalve shells, hermaphroditism is not rare.	true	346.01	350.98	21.997923
5684_46240_000009_000003	In the next higher class of the Gasteropoda, or univalve shells, the sexes are either united or separate.	In the next higher class of the Gasteropoda, or univalve shells, the sexes are either united or separate.	true	351.05	357.25	21.617367
5684_46240_000009_000004	But in the latter case the males never possess special organs for finding, securing, or charming the females, or for fighting with other males.	But in the latter case the males never possess special organs for finding, securing, or charming the females, or for fighting with other males.	true	357.35	365.05	22.853436
5684_46240_000009_000005	As I am informed by Mr. Gwyn Jeffreys, the sole external difference between the sexes consists in the shell sometimes differing a little in form; for instance, the shell of the male periwinkle (Littorina littorea) is narrower and has a more elongated spire than that of the female.	As I am informed by mr Gwyn Jeffreys, the sole external difference between the sexes consists in the shell sometimes differing a little in form; for instance, the shell of the male periwinkle (Littorina littorea) is narrower and has a more elongated spire than that of the female.	true	365.27	381.22	20
5684_46240_000009_000006	But differences of this nature, it may be presumed, are directly connected with the act of reproduction, or with the development of the ova.	But differences of this nature, it may be presumed, are directly connected with the act of reproduction, or with the development of the ova.	true	381.32	389.23	23.771828
5684_46240_000010_000000	The Gasteropoda, though capable of locomotion and furnished with imperfect eyes, do not appear to be endowed with sufficient mental powers for the members of the same sex to struggle together in rivalry, and thus to acquire secondary sexual characters.	The Gasteropoda, though capable of locomotion and furnished with imperfect eyes, do not appear to be endowed with sufficient mental powers for the members of the same sex to struggle together in rivalry, and thus to acquire secondary sexual characters.	true	390.59	404.29	21.217268
5684_46240_000010_000001	Nevertheless with the pulmoniferous gasteropods, or land-snails, the pairing is preceded by courtship; for these animals, though hermaphrodites, are compelled by their structure to pair together.	Nevertheless with the pulmoniferous gasteropods, or land snails, the pairing is preceded by courtship; for these animals, though hermaphrodites, are compelled by their structure to pair together.	true	404.54	415.06	21.645193
5684_46240_000010_000002	Agassiz remarks, "Quiconque a eu l'occasion d'observer les amours des limacons, ne saurait mettre en doute la seduction deployee dans les mouvements et les allures qui preparent et accomplissent le double embrassement de ces hermaphrodites." (2.	Agassiz remarks, "Quiconque a e u l'occasion d'observer les amours des limacons, ne saurait mettre en doute la seduction deployee dans les mouvements et les allures qui preparent et accomplissent le double embrassement de c e s hermaphrodites." (two.	false	415.49	427.83	20
5684_46240_000010_000003	'De l'Espece et de la Class.' etc., 1869, p. 106.) These animals appear also susceptible of some degree of permanent attachment: an accurate observer, Mr. Lonsdale, informs me that he placed a pair of land-snails, (Helix pomatia), one of which was weakly, into a small and ill-provided garden.	'De l'Espece et de la Class.' etc, eighteen sixty nine, p. one hundred six.) These animals appear also susceptible of some degree of permanent attachment: an accurate observer, mr Lonsdale, informs me that he placed a pair of land snails, (Helix pomatia), one of which was weakly, into a small and ill provided garden.	false	427.83	444.79	22.118084
5684_46240_000010_000004	After a short time the strong and healthy individual disappeared, and was traced by its track of slime over a wall into an adjoining well-stocked garden.	After a short time the strong and healthy individual disappeared, and was traced by its track of slime over a wall into an adjoining well stocked garden.	true	445.01	453.82	22
5684_46240_000010_000005	Mr. Lonsdale concluded that it had deserted its sickly mate; but after an absence of twenty-four hours it returned, and apparently communicated the result of its successful exploration, for both then started along the same track and disappeared over the wall.	mr Lonsdale concluded that it had deserted its sickly mate; but after an absence of twenty four hours it returned, and apparently communicated the result of its successful exploration, for both then started along the same track and disappeared over the wall.	true	454.13	468.25	22.000929
5684_46240_000011_000000	Even in the highest class of the Mollusca, the Cephalopoda or cuttle- fishes, in which the sexes are separate, secondary sexual characters of the present kind do not, as far as I can discover, occur.	Even in the highest class of the Mollusca, the Cephalopoda or cuttle fishes, in which the sexes are separate, secondary sexual characters of the present kind do not, as far as I can discover, occur.	true	468.95	480.04	23.821093
5684_46240_000011_000001	This is a surprising circumstance, as these animals possess highly-developed sense-organs and have considerable mental powers, as will be admitted by every one who has watched their artful endeavours to escape from an enemy. (3.	This is a surprising circumstance, as these animals possess highly developed sense organs and have considerable mental powers, as will be admitted by every one who has watched their artful endeavours to escape from an enemy. (three.	false	480.44	492.06	19
5684_46240_000011_000002	See, for instance, the account which I have given in my 'Journal of Researches,' 1845, p. 7.) Certain Cephalopoda, however, are characterised by one extraordinary sexual character, namely that the male element collects within one of the arms or tentacles, which is then cast off, and clinging by its sucking-discs to the female, lives for a time an independent life. So completely does the cast-off arm resemble a separate animal, that it was described by Cuvier as a parasitic worm under the name of Hectocotyle.	See, for instance, the account which I have given in my 'Journal of Researches,' eighteen forty five, p. seven.) Certain Cephalopoda, however, are characterised by one extraordinary sexual character, namely that the male element collects within one of the arms or tentacles, which is then cast off, and clinging by its sucking discs to the female, lives for a time an independent life. So completely does the cast off arm resemble a separate animal, that it was described by Cuvier as a parasitic worm under the name of Hectocotyle.	false	492.06	515.71	22.575283
5684_46240_000011_000003	But this marvellous structure may be classed as a primary rather than as a secondary sexual character.	But this marvellous structure may be classed as a primary rather than as a secondary sexual character.	true	516.02	521.32	19.733236
5684_46240_000012_000000	Although with the Mollusca sexual selection does not seem to have come into play; yet many univalve and bivalve shells, such as volutes, cones, scallops, etc., are beautifully coloured and shaped.	Although with the Mollusca sexual selection does not seem to have come into play; yet many univalve and bivalve shells, such as volutes, cones, scallops, etc, are beautifully coloured and shaped.	false	522.32	533.5	21.148212
5684_46240_000012_000001	The colours do not appear in most cases to be of any use as a protection; they are probably the direct result, as in the lowest classes, of the nature of the tissues; the patterns and the sculpture of the shell depending on its manner of growth.	The colours do not appear in most cases to be of any use as a protection; they are probably the direct result, as in the lowest classes, of the nature of the tissues; the patterns and the sculpture of the shell depending on its manner of growth.	true	533.72	546.52	21.541775
5684_46240_000012_000002	The amount of light seems to be influential to a certain extent; for although, as repeatedly stated by Mr. Gwyn Jeffreys, the shells of some species living at a profound depth are brightly coloured, yet we generally see the lower surfaces, as well as the parts covered by the mantle, less highly-coloured than the upper and exposed surfaces. (4.	The amount of light seems to be influential to a certain extent; for although, as repeatedly stated by mr Gwyn Jeffreys, the shells of some species living at a profound depth are brightly coloured, yet we generally see the lower surfaces, as well as the parts covered by the mantle, less highly coloured than the upper and exposed surfaces. (four.	false	546.65	565.59	21.087017
5684_46240_000012_000003	I have given ('Geological Observations on Volcanic Islands,' 1844, p. 53) a curious instance of the influence of light on the colours of a frondescent incrustation, deposited by the surf on the coast-rocks of Ascension and formed by the solution of triturated sea-shells.) In some cases, as with shells living amongst corals or brightly-tinted seaweeds, the bright colours may serve as a protection. (5.	I have given ('Geological Observations on Volcanic Islands,' eighteen forty four, p. fifty three) a curious instance of the influence of light on the colours of a frondescent incrustation, deposited by the surf on the coast rocks of Ascension and formed by the solution of triturated sea shells.) In some cases, as with shells living amongst corals or brightly tinted seaweeds, the bright colours may serve as a protection. (five.	false	565.59	584.52	21.732887
5684_46240_000012_000004	Dr. Morse has lately discussed this subject in his paper on the 'Adaptive Coloration of Mollusca,' 'Proc. Boston Soc. of Nat.	dr Morse has lately discussed this subject in his paper on the 'Adaptive Coloration of Mollusca,' 'Proc. Boston s o c. of Nat.	false	584.52	589.89	21
5684_46240_000012_000005	Hist.' vol. xiv.	Hist.' vol x i v.	false	589.89	590.01	-20
5684_46240_000012_000006	April 1871.) But that many of the nudibranch Mollusca, or sea-slugs, are as beautifully coloured as any shells, may be seen in Messrs.	april eighteen seventy one.) But that many of the nudibranch Mollusca, or sea slugs, are as beautifully coloured as any shells, may be seen in Messrs.	false	590.01	596.4	19.203566
5684_46240_000012_000007	Alder and Hancock's magnificent work; and from information kindly given me by Mr. Hancock, it seems extremely doubtful whether these colours usually serve as a protection.	Alder and Hancock's magnificent work; and from information kindly given me by mr Hancock, it seems extremely doubtful whether these colours usually serve as a protection.	false	596.4	604.96	19
5684_46240_000012_000008	With some species this may be the case, as with one kind which lives on the green leaves of algae, and is itself bright-green.	With some species this may be the case, as with one kind which lives on the green leaves of algae, and is itself bright green.	true	605.18	611.86	19
5684_46240_000012_000009	But many brightly-coloured, white, or otherwise conspicuous species, do not seek concealment; whilst again some equally conspicuous species, as well as other dull-coloured kinds live under stones and in dark recesses.	But many brightly coloured, white, or otherwise conspicuous species, do not seek concealment; whilst again some equally conspicuous species, as well as other dull coloured kinds live under stones and in dark recesses.	true	612.11	624.43	22.62424
5684_46240_000012_000010	So that with these nudibranch molluscs, colour apparently does not stand in any close relation to the nature of the places which they inhabit.	So that with these nudibranch molluscs, colour apparently does not stand in any close relation to the nature of the places which they inhabit.	true	625.07	632.08	20
5684_46240_000013_000000	These naked sea-slugs are hermaphrodites, yet they pair together, as do land-snails, many of which have extremely pretty shells.	These naked sea slugs are hermaphrodites, yet they pair together, as do land snails, many of which have extremely pretty shells.	true	632.39	639.28	24.686882
5684_46240_000013_000001	It is conceivable that two hermaphrodites, attracted by each other's greater beauty, might unite and leave offspring which would inherit their parents' greater beauty.	It is conceivable that two hermaphrodites, attracted by each other's greater beauty, might unite and leave offspring which would inherit their parents' greater beauty.	true	639.92	648.34	20
5684_46240_000013_000002	But with such lowly-organised creatures this is extremely improbable.	But with such lowly organised creatures this is extremely improbable.	true	648.53	652.51	19.115105
5684_46240_000013_000003	Nor is it at all obvious how the offspring from the more beautiful pairs of hermaphrodites would have any advantage over the offspring of the less beautiful, so as to increase in number, unless indeed vigour and beauty generally coincided.	Nor is it at all obvious how the offspring from the more beautiful pairs of hermaphrodites would have any advantage over the offspring of the less beautiful, so as to increase in number, unless indeed vigour and beauty generally coincided.	false	652.58	665.41	20.453766
5684_46240_000013_000004	We have not here the case of a number of males becoming mature before the females, with the more beautiful males selected by the more vigorous females.	We have not here the case of a number of males becoming mature before the females, with the more beautiful males selected by the more vigorous females.	true	665.57	673.54	21
5684_46240_000013_000005	If, indeed, brilliant colours were beneficial to a hermaphrodite animal in relation to its general habits of life, the more brightly-tinted individuals would succeed best and would increase in number; but this would be a case of natural and not of sexual selection.	If, indeed, brilliant colours were beneficial to a hermaphrodite animal in relation to its general habits of life, the more brightly tinted individuals would succeed best and would increase in number; but this would be a case of natural and not of sexual selection.	false	673.64	687.91	20.162294
5684_46240_000014_000000	SUB-KINGDOM OF THE VERMES: CLASS, ANNELIDA (OR SEA-WORMS).	SUB KINGDOM OF THE VERMES: CLASS, ANNELIDA (o r SEA WORMS).	false	688.37	692.65	20.200842
5684_46240_000015_000000	In this class, although the sexes, when separate, sometimes differ from each other in characters of such importance that they have been placed under distinct genera or even families, yet the differences do not seem of the kind which can be safely attributed to sexual selection.	In this class, although the sexes, when separate, sometimes differ from each other in characters of such importance that they have been placed under distinct genera or even families, yet the differences do not seem of the kind which can be safely attributed to sexual selection.	false	693.56	707.56	21
5684_46240_000015_000001	These animals are often beautifully coloured, but as the sexes do not differ in this respect, we are but little concerned with them.	These animals are often beautifully coloured, but as the sexes do not differ in this respect, we are but little concerned with them.	true	707.96	714.85	21.712967
5684_46240_000015_000002	Even the Nemertians, though so lowly organised, "vie in beauty and variety of colouring with any other group in the invertebrate series"; yet Dr. McIntosh (6.	Even the Nemertians, though so lowly organised, "vie in beauty and variety of colouring with any other group in the invertebrate series"; yet dr McIntosh (six.	false	714.98	723.24	16
5684_46240_000015_000003	See his beautiful monograph on 'British Annelids,' part i.	See his beautiful monograph on 'British Annelids,' part i.	false	723.24	723.24	
5684_46240_000015_000004	1873, p. 3.) cannot discover that these colours are of any service.	eighteen seventy three, p. three.) cannot discover that these colours are of any service.	false	723.24	726.04	16
5684_46240_000015_000005	The sedentary annelids become duller-coloured, according to M. Quatrefages (7.	The sedentary annelids become duller coloured, according to m Quatrefages (seven.	false	726.29	729.21	16
5684_46240_000015_000006	See M. Perrier: 'L'Origine de l'Homme d'apres Darwin,' 'Revue Scientifique', Feb. 1873, p. 866.), after the period of reproduction; and this I presume may be attributed to their less vigorous condition at that time.	See m Perrier: 'L'Origine de l'Homme d'apres Darwin,' 'Revue Scientifique', february eighteen seventy three, p. eight hundred sixty six.), after the period of reproduction; and this I presume may be attributed to their less vigorous condition at that time.	false	729.21	736.84	20.944912
5684_46240_000015_000007	All these worm- like animals apparently stand too low in the scale for the individuals of either sex to exert any choice in selecting a partner, or for the individuals of the same sex to struggle together in rivalry.	All these worm like animals apparently stand too low in the scale for the individuals of either sex to exert any choice in selecting a partner, or for the individuals of the same sex to struggle together in rivalry.	true	737.69	749.47	18
5684_46240_000016_000000	SUB-KINGDOM OF THE ARTHROPODA: CLASS, CRUSTACEA.	SUB KINGDOM OF THE ARTHROPODA: CLASS, CRUSTACEA.	true	750.71	753.76	18.940752
5684_46240_000017_000000	In this great class we first meet with undoubted secondary sexual characters, often developed in a remarkable manner.	In this great class we first meet with undoubted secondary sexual characters, often developed in a remarkable manner.	true	754.76	761.61	22.446299
5684_46240_000017_000001	Unfortunately the habits of crustaceans are very imperfectly known, and we cannot explain the uses of many structures peculiar to one sex.	Unfortunately the habits of crustaceans are very imperfectly known, and we cannot explain the uses of many structures peculiar to one sex.	true	761.61	769.45	22.893631
5684_46240_000017_000002	With the lower parasitic species the males are of small size, and they alone are furnished with perfect swimming-legs, antennae and sense-organs; the females being destitute of these organs, with their bodies often consisting of a mere distorted mass.	With the lower parasitic species the males are of small size, and they alone are furnished with perfect swimming legs, antennae and sense organs; the females being destitute of these organs, with their bodies often consisting of a mere distorted mass.	true	769.79	783.04	19.874746
5684_46240_000017_000003	But these extraordinary differences between the two sexes are no doubt related to their widely different habits of life, and consequently do not concern us.	But these extraordinary differences between the two sexes are no doubt related to their widely different habits of life, and consequently do not concern us.	true	783.26	791.59	21.15893
5684_46240_000017_000004	In various crustaceans, belonging to distinct families, the anterior antennae are furnished with peculiar thread-like bodies, which are believed to act as smelling-organs, and these are much more numerous in the males than in the females.	In various crustaceans, belonging to distinct families, the anterior antennae are furnished with peculiar thread like bodies, which are believed to act as smelling organs, and these are much more numerous in the males than in the females.	true	791.96	805.3	22.324545
5684_46240_000017_000005	As the males, without any unusual development of their olfactory organs, would almost certainly be able sooner or later to find the females, the increased number of the smelling-threads has probably been acquired through sexual selection, by the better provided males having been the more successful in finding partners and in producing offspring.	As the males, without any unusual development of their olfactory organs, would almost certainly be able sooner or later to find the females, the increased number of the smelling threads has probably been acquired through sexual selection, by the better provided males having been the more successful in finding partners and in producing offspring.	false	805.76	823.81	18.80518
5684_46240_000017_000006	Fritz Mueller has described a remarkable dimorphic species of Tanais, in which the male is represented by two distinct forms, which never graduate into each other.	Fritz Mueller has described a remarkable dimorphic species of Tanais, in which the male is represented by two distinct forms, which never graduate into each other.	false	824.51	833.77	21.464546
5684_46240_000017_000007	In the one form the male is furnished with more numerous smelling-threads, and in the other form with more powerful and more elongated chelae or pincers, which serve to hold the female.	In the one form the male is furnished with more numerous smelling threads, and in the other form with more powerful and more elongated chelae or pincers, which serve to hold the female.	false	834.5	844.57	22.77269
5684_46240_000017_000008	Fritz Mueller suggests that these differences between the two male forms of the same species may have originated in certain individuals having varied in the number of the smelling-threads, whilst other individuals varied in the shape and size of their chelae; so that of the former, those which were best able to find the female, and of the latter, those which were best able to hold her, have left the greatest number of progeny to inherit their respective advantages. (8. 'Facts and Arguments for Darwin,' English translat., 1869, p. 20.	Fritz Mueller suggests that these differences between the two male forms of the same species may have originated in certain individuals having varied in the number of the smelling threads, whilst other individuals varied in the shape and size of their chelae; so that of the former, those which were best able to find the female, and of the latter, those which were best able to hold her, have left the greatest number of progeny to inherit their respective advantages. (eight. 'Facts and Arguments for Darwin,' English translat., eighteen sixty nine, p. twenty.	false	844.73	868.59	20.650915
5684_46240_000017_000009	See the previous discussion on the olfactory threads.	See the previous discussion on the olfactory threads.	false	868.59	868.89	-20
5684_46240_000017_000010	Sars has described a somewhat analogous case (as quoted in 'Nature,' 1870, p. 455) in a Norwegian crustacean, the Pontoporeia affinis.)	Sars has described a somewhat analogous case (as quoted in 'Nature,' eighteen seventy, p. four hundred fifty five) in a Norwegian crustacean, the Pontoporeia affinis.)	false	868.89	869.4	100
5684_46240_000018_000000	[Fig.4.	[Fig point four.	false	869.4	869.4	
5684_46240_000018_000001	Labidocera Darwinii (from Lubbock).	Labidocera Darwinii (from Lubbock).	false	869.4	869.4	
5684_46240_000018_000002	Labelled are: a.	Labelled are: a.	false	869.4	869.4	
5684_46240_000018_000003	Part of right anterior antenna of male, forming a prehensile organ. b.	Part of right anterior antenna of male, forming a prehensile organ. b.	false	869.4	869.4	
5684_46240_000018_000004	Posterior pair of thoracic legs of male. c.	Posterior pair of thoracic legs of male. c.	false	869.4	869.4	
5684_46240_000018_000005	Ditto of female.]	Ditto of female.]	false	869.4	869.4	
5684_46240_000019_000000	In some of the lower crustaceans, the right anterior antenna of the male differs greatly in structure from the left, the latter resembling in its simple tapering joints the antennae of the female.	In some of the lower crustaceans, the right anterior antenna of the male differs greatly in structure from the left, the latter resembling in its simple tapering joints the antennae of the female.	false	869.4	879.64	20
5684_46240_000019_000001	In the male the modified antenna is either swollen in the middle or angularly bent, or converted (Fig. 4) into an elegant, and sometimes wonderfully complex, prehensile organ. (9.	In the male the modified antenna is either swollen in the middle or angularly bent, or converted (Fig. four) into an elegant, and sometimes wonderfully complex, prehensile organ. (nine.	false	879.95	889.56	20.180677
5684_46240_000019_000002	See Sir J. Lubbock in 'Annals and Mag. of Nat. Hist.' vol. xi. 1853, pl.	See Sir j Lubbock in 'Annals and Mag. of Nat. Hist.' vol xi. eighteen fifty three, pl	false	889.56	889.71	-4
5684_46240_000019_000003	i. and x.; and vol. xii. (1853), pl.	i. and x.; and vol x i i. (eighteen fifty three), pl	false	889.71	889.83	1
5684_46240_000019_000004	vii.	vii.	false	889.83	889.83	
5684_46240_000019_000005	See also Lubbock in 'Transactions, Entomological Society,' vol. iv.	See also Lubbock in 'Transactions, Entomological Society,' vol i v.	false	889.83	889.92	-20
5684_46240_000019_000006	new series, 1856-1858, p. 8.	new series, eighteen fifty six to eighteen fifty eight, p. eight.	false	889.92	890.01	-20
5684_46240_000019_000007	With respect to the zigzagged antennae mentioned below, see Fritz Mueller, 'Facts and Arguments for Darwin,' 1869, p. 40, foot- note.) It serves, as I hear from Sir J. Lubbock, to hold the female, and for this same purpose one of the two posterior legs (b) on the same side of the body is converted into a forceps.	With respect to the zigzagged antennae mentioned below, see Fritz Mueller, 'Facts and Arguments for Darwin,' eighteen sixty nine, p. forty, foot note.) It serves, as I hear from Sir j Lubbock, to hold the female, and for this same purpose one of the two posterior legs (b) on the same side of the body is converted into a forceps.	false	890.01	900.43	21.719238
