6080_58012_000000_000000	WHAT CO-PARTNERSHIP CAN DO	WHAT c o PARTNERSHIP CAN DO	false	10.68	25.47	23.059505
6080_58012_000009_000000	Standing apart under the broad shadow of an oak, he looked out over long stretches of forest and river, but what he saw was his home in distant Kentucky--the old farmhouse that the sun and the rain and the lichens had softened into a mottled gray.	Standing apart under the broad shadow of an oak, he looked out over long stretches of forest and river, but what he saw was his home in distant Kentucky-the old farmhouse that the sun and the rain and the lichens had softened into a mottled gray.	false	161.66	177.37	24.161058
6080_58012_000009_000001	He saw the gleaming brook that wound its way through the tangle of orchard and garden, and parted the distant blue-grass meadow.	He saw the gleaming brook that wound its way through the tangle of orchard and garden, and parted the distant blue grass meadow.	true	177.68	185.5	26.21132
6080_58012_000010_000000	He saw his aged mother sitting under the honeysuckle trellis, book in hand, but thinking, he knew, of him.	He saw his aged mother sitting under the honeysuckle trellis, book in hand, but thinking, he knew, of him.	true	185.87	193.78	23.459753
6080_58012_000010_000001	And then there was the perfume of the flowers, the droning of the bees in the warm sweet air and the drowsy hound at his father's feet.	And then there was the perfume of the flowers, the droning of the bees in the warm sweet air and the drowsy hound at his father's feet.	true	193.97	202.12	19.848106
6080_58012_000011_000000	But this was not all the young man saw, for Philip Dru, in spite of his military training, was a close student of the affairs of his country, and he saw that which raised grave doubts in his mind as to the outcome of his career.	But this was not all the young man saw, for Philip Dru, in spite of his military training, was a close student of the affairs of his country, and he saw that which raised grave doubts in his mind as to the outcome of his career.	true	202.22	217.15	24.208784
6080_58012_000011_000001	He saw many of the civil institutions of his country debased by the power of wealth under the thin guise of the constitutional protection of property.	He saw many of the civil institutions of his country debased by the power of wealth under the thin guise of the constitutional protection of property.	true	217.46	227.29	21.780277
6080_58012_000011_000002	He saw the Army which he had sworn to serve faithfully becoming prostituted by this same power, and used at times for purposes of intimidation and petty conquests where the interests of wealth were at stake.	He saw the Army which he had sworn to serve faithfully becoming prostituted by this same power, and used at times for purposes of intimidation and petty conquests where the interests of wealth were at stake.	true	227.6	240.31	23.240107
6080_58012_000011_000003	He saw the great city where luxury, dominant and defiant, existed largely by grace of exploitation-- exploitation of men, women and children.	He saw the great city where luxury, dominant and defiant, existed largely by grace of exploitation- exploitation of men, women and children.	true	240.77	251.23	24.297972
6080_58012_000012_000000	The young man's eyes had become bright and hard, when his day-dream was interrupted, and he was looking into the gray-blue eyes of Gloria Strawn--the one whose lot he had been comparing to that of her sisters in the city, in the mills, the sweatshops, the big stores, and the streets.	The young man's eyes had become bright and hard, when his day dream was interrupted, and he was looking into the gray blue eyes of Gloria Strawn-the one whose lot he had been comparing to that of her sisters in the city, in the mills, the sweatshops, the big stores, and the streets.	true	251.72	269.56	21.849752
6080_58012_000012_000001	He had met her for the first time a few hours before, when his friend and classmate, Jack Strawn, had presented him to his sister.	He had met her for the first time a few hours before, when his friend and classmate, Jack Strawn, had presented him to his sister.	true	270.2	278.92	23.721495
6080_58012_000012_000002	No comrade knew Dru better than Strawn, and no one admired him so much. Therefore, Gloria, ever seeking a closer contact with life, had come to West Point eager to meet the lithe young Kentuckian, and to measure him by the other men of her acquaintance.	No comrade knew Dru better than Strawn, and no one admired him so much. Therefore, Gloria, ever seeking a closer contact with life, had come to West Point eager to meet the lithe young Kentuckian, and to measure him by the other men of her acquaintance.	true	279.23	296.11	25.169428
6080_58012_000013_000000	She was disappointed in his appearance, for she had fancied him almost god-like in both size and beauty, and she saw a man of medium height, slender but toughly knit, and with a strong, but homely face.	She was disappointed in his appearance, for she had fancied him almost god like in both size and beauty, and she saw a man of medium height, slender but toughly knit, and with a strong, but homely face.	true	296.75	309.49	22.54602
6080_58012_000013_000001	When he smiled and spoke she forgot her disappointment, and her interest revived, for her sharp city sense caught the trail of a new experience.	When he smiled and spoke she forgot her disappointment, and her interest revived, for her sharp city sense caught the trail of a new experience.	true	310.19	318.94	25.49742
6080_58012_000014_000000	To Philip Dru, whose thought of and experience with women was almost nothing, so engrossed had he been in his studies, military and economic, Gloria seemed little more than a child.	To Philip Dru, whose thought of and experience with women was almost nothing, so engrossed had he been in his studies, military and economic, Gloria seemed little more than a child.	true	319.37	333.49	22.290163
6080_58012_000014_000001	And yet her frank glance of appraisal when he had been introduced to her, and her easy though somewhat languid conversation on the affairs of the commencement, perplexed and slightly annoyed him.	And yet her frank glance of appraisal when he had been introduced to her, and her easy though somewhat languid conversation on the affairs of the commencement, perplexed and slightly annoyed him.	true	333.65	346.45	25.209362
6080_58012_000014_000002	He even felt some embarrassment in her presence.	He even felt some embarrassment in her presence.	true	346.7	349.96	25.189308
6080_58012_000015_000000	Child though he knew her to be, he hesitated whether he should call her by her given name, and was taken aback when she smilingly thanked him for doing so, with the assurance that she was often bored with the eternal conventionality of people in her social circle.	Child though he knew her to be, he hesitated whether he should call her by her given name, and was taken aback when she smilingly thanked him for doing so, with the assurance that she was often bored with the eternal conventionality of people in her social circle.	true	350.24	366.85	25.64216
6080_58012_000016_000000	Suddenly turning from the commonplaces of the day, Gloria looked directly at Philip, and with easy self-possession turned the conversation to himself.	Suddenly turning from the commonplaces of the day, Gloria looked directly at Philip, and with easy self possession turned the conversation to himself.	true	367.58	376.24	22.56586
6080_58012_000017_000000	"I am wondering, Mr. Dru, why you came to West Point and why it is you like the thought of being a soldier?" she asked.	"I am wondering, mr Dru, why you came to West Point and why it is you like the thought of being a soldier?" she asked.	false	376.64	384.43	21.74218
6080_58012_000017_000001	"An American soldier has to fight so seldom that I have heard that the insurance companies regard them as the best of risks, so what attraction, Mr. Dru, can a military career have for you?"	"An American soldier has to fight so seldom that I have heard that the insurance companies regard them as the best of risks, so what attraction, mr Dru, can a military career have for you?"	true	384.68	396.34	28.039492
6080_58012_000018_000000	Never before had Philip been asked such a question, and it surprised him that it should come from this slip of a girl, but he answered her in the serious strain of his thoughts.	Never before had Philip been asked such a question, and it surprised him that it should come from this slip of a girl, but he answered her in the serious strain of his thoughts.	false	396.92	407.68	24.294907
6080_58012_000019_000000	"As far back as I can remember," he said, "I have wanted to be a soldier.	"As far back as I can remember," he said, "I have wanted to be a soldier.	true	408.29	413.29	29.384096
6080_58012_000019_000001	I have no desire to destroy and kill, and yet there is within me the lust for action and battle.	I have no desire to destroy and kill, and yet there is within me the lust for action and battle.	true	413.45	419.47	25.874947
6080_58012_000019_000002	It is the primitive man in me, I suppose, but sobered and enlightened by civilization.	It is the primitive man in me, I suppose, but sobered and enlightened by civilization.	true	419.87	425.56	24.176605
6080_58012_000019_000003	I would do everything in my power to avert war and the suffering it entails.	I would do everything in my power to avert war and the suffering it entails.	true	425.75	430.18	27
6080_58012_000019_000004	Fate, inclination, or what not has brought me here, and I hope my life may not be wasted, but that in God's own way, I may be a humble instrument for good.	Fate, inclination, or what not has brought me here, and I hope my life may not be wasted, but that in God's own way, I may be a humble instrument for good.	true	430.34	441.13	25.19964
6080_58012_000019_000005	Oftentimes our inclinations lead us in certain directions, and it is only afterwards that it seems as if fate may from the first have so determined it."	Oftentimes our inclinations lead us in certain directions, and it is only afterwards that it seems as if fate may from the first have so determined it."	true	441.59	451.15	23.148058
6080_58012_000020_000000	The mischievous twinkle left the girl's eyes, and the languid tone of her voice changed to one a little more like sincerity.	The mischievous twinkle left the girl's eyes, and the languid tone of her voice changed to one a little more like sincerity.	true	451.49	459.19	22.986637
6080_58012_000021_000000	"But suppose there is no war," she demanded, "suppose you go on living at barracks here and there, and with no broader outlook than such a life entails, will you be satisfied?	"But suppose there is no war," she demanded, "suppose you go on living at barracks here and there, and with no broader outlook than such a life entails, will you be satisfied?	true	459.56	471.19	23.099874
6080_58012_000021_000001	Is that all you have in mind to do in the world?"	Is that all you have in mind to do in the world?"	true	471.35	474.22	22.760536
6080_58012_000022_000000	He looked at her more perplexed than ever.	He looked at her more perplexed than ever.	true	474.65	477.22	24.647207
6080_58012_000022_000001	Such an observation of life, his life, seemed beyond her years, for he knew but little of the women of his own generation.	Such an observation of life, his life, seemed beyond her years, for he knew but little of the women of his own generation.	true	477.23	485.95	24.613478
6080_58012_000022_000002	He wondered, too, if she would understand if he told her all that was in his mind.	He wondered, too, if she would understand if he told her all that was in his mind.	true	486.26	491.98	23.234138
6080_58012_000023_000000	"Gloria, we are entering a new era.	"Gloria, we are entering a new era.	true	492.62	495.58	24.92865
6080_58012_000023_000001	The past is no longer to be a guide to the future.	The past is no longer to be a guide to the future.	true	495.8	499.21	21.758192
6080_58012_000023_000002	A century and a half ago there arose in France a giant that had slumbered for untold centuries.	A century and a half ago there arose in France a giant that had slumbered for untold centuries.	true	499.94	506.53	22.939695
6080_58012_000023_000003	He knew he had suffered grievous wrongs, but he did not know how to right them.	He knew he had suffered grievous wrongs, but he did not know how to right them.	true	506.99	512.02	26.211111
6080_58012_000023_000004	He therefore struck out blindly and cruelly, and the innocent went down with the guilty.	He therefore struck out blindly and cruelly, and the innocent went down with the guilty.	true	512.27	517.54	23.447227
6080_58012_000023_000005	He was almost wholly ignorant for in the scheme of society as then constructed, the ruling few felt that he must be kept ignorant, otherwise they could not continue to hold him in bondage.	He was almost wholly ignorant for in the scheme of society as then constructed, the ruling few felt that he must be kept ignorant, otherwise they could not continue to hold him in bondage.	true	517.91	530.415	22.56881
6080_58012_000023_000006	For him the door of opportunity was closed, and he struggled from the cradle to the grave for the minimum of food and clothing necessary to keep breath within the body.	For him the door of opportunity was closed, and he struggled from the cradle to the grave for the minimum of food and clothing necessary to keep breath within the body.	true	530.415	540.1	24.014328
6080_58012_000023_000007	His labor and his very life itself was subject to the greed, the passion and the caprice of his over-lord.	His labor and his very life itself was subject to the greed, the passion and the caprice of his over lord.	true	540.41	547.39	23.146107
6080_58012_000024_000000	"So when he awoke he could only destroy.	"So when he awoke he could only destroy.	true	547.55	550.57	23.591845
6080_58012_000024_000001	Unfortunately for him, there was not one of the governing class who was big enough and humane enough to lend a guiding and a friendly hand, so he was led by weak, and selfish men who could only incite him to further wanton murder and demolition.	Unfortunately for him, there was not one of the governing class who was big enough and humane enough to lend a guiding and a friendly hand, so he was led by weak, and selfish men who could only incite him to further wanton murder and demolition.	false	550.79	565.36	22.948559
6080_58012_000025_000000	"But out of that revelry of blood there dawned upon mankind the hope of a more splendid day.	"But out of that revelry of blood there dawned upon mankind the hope of a more splendid day.	true	565.7	572.26	27.606438
6080_58012_000025_000001	The divinity of kings, the God-given right to rule, was shattered for all time.	The divinity of kings, the God given right to rule, was shattered for all time.	true	572.6	577.96	31.101349
6080_58012_000025_000002	The giant at last knew his strength, and with head erect, and the light of freedom in his eyes, he dared to assert the liberty, equality and fraternity of man.	The giant at last knew his strength, and with head erect, and the light of freedom in his eyes, he dared to assert the liberty, equality and fraternity of man.	true	578.24	588.73	23.738405
6080_58012_000025_000003	Then throughout the Western world one stratum of society after another demanded and obtained the right to acquire wealth and to share in the government. Here and there one bolder and more forceful than the rest acquired great wealth and with it great power.	Then throughout the Western world one stratum of society after another demanded and obtained the right to acquire wealth and to share in the government. Here and there one bolder and more forceful than the rest acquired great wealth and with it great power.	false	589.37	605.83	24.803637
6080_58012_000025_000004	Not satisfied with reasonable gain, they sought to multiply it beyond all bounds of need.	Not satisfied with reasonable gain, they sought to multiply it beyond all bounds of need.	true	606.29	612.34	24.80493
6080_58012_000025_000005	They who had sprung from the people a short life span ago were now throttling individual effort and shackling the great movement for equal rights and equal opportunity."	They who had sprung from the people a short life span ago were now throttling individual effort and shackling the great movement for equal rights and equal opportunity."	true	612.65	622.84	25.871984
6080_58012_000026_000000	Dru's voice became tense and vibrant, and he talked in quick sharp jerks.	Dru's voice became tense and vibrant, and he talked in quick sharp jerks.	true	623.33	628.87	26.42935
6080_58012_000027_000000	"Nowhere in the world is wealth more defiant, and monopoly more insistent than in this mighty republic," he said, "and it is here that the next great battle for human emancipation will be fought and won.	"Nowhere in the world is wealth more defiant, and monopoly more insistent than in this mighty republic," he said, "and it is here that the next great battle for human emancipation will be fought and won.	true	629.36	642.67	23.752699
6080_58012_000027_000001	And from the blood and travail of an enlightened people, there will be born a spirit of love and brotherhood which will transform the world; and the Star of Bethlehem, seen but darkly for two thousand years, will shine again with a steady and effulgent glow."	And from the blood and travail of an enlightened people, there will be born a spirit of love and brotherhood which will transform the world; and the Star of Bethlehem, seen but darkly for two thousand years, will shine again with a steady and effulgent glow."	true	642.89	660.6	23.347923
6080_58012_000028_000000	CHAPTER II	CHAPTER two	false	660.6	660.69	-20
6080_58012_000029_000000	THE VISION OF PHILIP DRU	THE VISION OF PHILIP DRU	false	660.69	660.93	-20
6080_58012_000030_000000	Long before Philip had finished speaking, Gloria saw that he had forgotten her presence.	Long before Philip had finished speaking, Gloria saw that he had forgotten her presence.	false	660.93	661.62	-6
6080_58012_000030_000001	With glistening eyes and face aflame he had talked on and on with such compelling force that she beheld in him the prophet of a new day.	With glistening eyes and face aflame he had talked on and on with such compelling force that she beheld in him the prophet of a new day.	false	661.62	662.67	22.705425
6080_58012_000031_000000	She sat very still for a while, and then she reached out to touch his sleeve.	She sat very still for a while, and then she reached out to touch his sleeve.	false	662.67	662.82	100
6080_58012_000032_000000	"I think I understand how you feel now," she said in a tone different from any she had yet used.	"I think I understand how you feel now," she said in a tone different from any she had yet used.	false	662.82	663	12
6080_58012_000032_000001	"I have been reared in a different atmosphere from you, and at home have heard only the other side, while at school they mostly evade the question.	"I have been reared in a different atmosphere from you, and at home have heard only the other side, while at school they mostly evade the question.	false	663	663.24	32.68422
6080_58012_000032_000002	My father is one of the 'bold and forceful few' as perhaps you know, but he does not seem to me to want to harm anyone.	My father is one of the 'bold and forceful few' as perhaps you know, but he does not seem to me to want to harm anyone.	false	663.24	667.47	18.701303
6080_58012_000032_000003	He is kind to us, and charitable too, as that word is commonly used, and I am sure he has done much good with his money."	He is kind to us, and charitable too, as that word is commonly used, and I am sure he has done much good with his money."	false	667.47	667.47	
