6544_231862_000001_000000	However closely one may study the fair sex, there is no understanding them in the least.	However closely one may study the fair sex, there is no understanding them in the least.
6544_231862_000016_000005	We'll give him rope enough to hang himself, sir, and then pounce out and nab him."	We'll give him rope enough to hang himself, sir, and then pounce out and nab him."
6544_231862_000017_000000	"Well, he won't show much fight if he is Mr. Vrain."	"Well, he won't show much fight if he is mr Vrain."
6544_231862_000018_000000	"I don't believe he is Mr. Vrain," retorted the detective bluntly.	"I don't believe he is mr Vrain," retorted the detective bluntly.
6544_231862_000019_000000	"I am doubtful of that, also," admitted Lucian, "but you know Vrain is now out of the asylum, and, for the time being, has been left to his own devices.	"I am doubtful of that, also," admitted Lucian, "but you know Vrain is now out of the asylum, and, for the time being, has been left to his own devices.
6544_231862_000019_000002	Supposing, after all, this mysterious Wrent proves to be this unhappy man?"	Supposing, after all, this mysterious Wrent proves to be this unhappy man?"
6544_231862_000020_000000	"In that case, he'll have to pay for his whistle, sir."	"In that case, he'll have to pay for his whistle, sir."
6544_231862_000021_000000	"You mean in connection with the conspiracy?"	"You mean in connection with the conspiracy?"
6544_231862_000022_000000	"Yes, and perhaps with the murder of Clear; but we don't know if the so-called Wrent committed the crime.	"Yes, and perhaps with the murder of Clear; but we don't know if the so-called Wrent committed the crime.
6544_231862_000022_000001	For such reason, Mr. Denzil, I wish to overhear what he says to Mrs. Clear.	For such reason, mr Denzil, I wish to overhear what he says to mrs Clear.
6544_231862_000022_000002	It is as well to give him enough rope to hang himself with."	It is as well to give him enough rope to hang himself with."
6544_231862_000023_000000	"Can you trust Mrs. Clear?"	"Can you trust mrs Clear?"
6544_231862_000024_000000	"Absolutely.	"Absolutely.
6544_231862_000024_000001	She knows on which side her bread is buttered.	She knows on which side her bread is buttered.
6544_231862_000026_000000	"Well, sir," said Link, putting his head on one side, and looking at Lucian with an odd expression, "you had better wait till the man's caught before I answer that question.	"Well, sir," said Link, putting his head on one side, and looking at Lucian with an odd expression, "you had better wait till the man's caught before I answer that question.
6544_231862_000026_000001	Then, maybe, you won't require an answer."	Then, maybe, you won't require an answer."
6544_231862_000027_000000	"It is very probable I won't," replied Lucian drily.	"It is very probable I won't," replied Lucian drily.
6544_231862_000028_000000	"I'll call for you at nine o'clock sharp, and we'll go across to the house at once.	"I'll call for you at nine o'clock sharp, and we'll go across to the house at once.
6544_231862_000028_000001	I have the key in my pocket now.	I have the key in my pocket now.
6544_231862_000028_000002	Peacock gave it to me this morning.	Peacock gave it to me this morning.
6544_231862_000029_000000	"I hope it won't prove to be Vrain," said Lucian restlessly, for he thought how grieved Diana would be.	"I hope it won't prove to be Vrain," said Lucian restlessly, for he thought how grieved Diana would be.
6544_231862_000030_000000	"I hope not," answered Link curtly, "but there's no knowing.	"I hope not," answered Link curtly, "but there's no knowing.
6544_231862_000030_000001	However, if the old man does get into trouble he can plead insanity.	However, if the old man does get into trouble he can plead insanity.
6544_231862_000030_000002	His having been in the asylum of Jorce is a strong card for him to play.	His having been in the asylum of Jorce is a strong card for him to play.
6544_231862_000030_000003	Good-day, Mr. Denzil.	Good day, mr Denzil.
6544_231862_000031_000000	"Good-day," replied Lucian, and the pair parted for the time being.	"Good day," replied Lucian, and the pair parted for the time being.
6544_231862_000032_000001	In the first place, he did not wish to see Lydia, for whom he had no great love; and in the second, he was afraid to speak to Diana as to the possibility of her father being Wrent.	In the first place, he did not wish to see Lydia, for whom he had no great love; and in the second, he was afraid to speak to Diana as to the possibility of her father being Wrent.
6544_231862_000033_000000	Diana, as a good daughter should, held firmly to the idea that her father could not behave in such a way; and as a sensible woman, she did not think that a man with so few of his senses about him could have acted the dual part with which he was credited without, in some measure, betraying himself.	Diana, as a good daughter should, held firmly to the idea that her father could not behave in such a way; and as a sensible woman, she did not think that a man with so few of his senses about him could have acted the dual part with which he was credited without, in some measure, betraying himself.
6544_231862_000034_000000	Lucian was somewhat of this opinion himself, yet he had an uneasy feeling that Vrain might prove to be the culprit.	Lucian was somewhat of this opinion himself, yet he had an uneasy feeling that Vrain might prove to be the culprit.
6544_231862_000034_000001	The fact of Vrain's being often away from Mrs. Clear's house in Bayswater, and Wrent absent in the same way from Mrs. Bensusan's house in Jersey Street, appeared strange, and argued a connection between the two.	The fact of Vrain's being often away from mrs Clear's house in Bayswater, and Wrent absent in the same way from mrs Bensusan's house in Jersey Street, appeared strange, and argued a connection between the two.
6544_231862_000034_000002	Again, the resemblance between them was most extraordinary and unaccountable.	Again, the resemblance between them was most extraordinary and unaccountable.
6544_231862_000035_000001	But only Link knew where the woman was to be found, and kept that information to himself--especially from Denzil.	But only Link knew where the woman was to be found, and kept that information to himself-especially from Denzil.
6544_231862_000036_000000	Punctual to the minute, Link, in a state of subdued excitement, came to Lucian's rooms.	Punctual to the minute, Link, in a state of subdued excitement, came to Lucian's rooms.
6544_231862_000036_000001	Already he had sent his two policemen over to the house, into which he had instructed them to enter in the quietest and most unostentatious manner, and now came to escort the barrister across.	Already he had sent his two policemen over to the house, into which he had instructed them to enter in the quietest and most unostentatious manner, and now came to escort the barrister across.
6544_231862_000037_000000	Lucian put on his hat at once, and the two walked out into the dark night, for dark it was, with no moon, few stars, and a great many clouds.	Lucian put on his hat at once, and the two walked out into the dark night, for dark it was, with no moon, few stars, and a great many clouds.
6544_231862_000037_000001	A most satisfactory night for their purpose.	A most satisfactory night for their purpose.
6544_231862_000038_000000	"All the better," said Link, casting a look round the deserted square; "all the better for our little game.	"All the better," said Link, casting a look round the deserted square; "all the better for our little game.
6544_231862_000038_000001	I wish to secure this fellow as quietly as possible.	I wish to secure this fellow as quietly as possible.
6544_231862_000038_000002	Here's the door open--in with you, Mr. Denzil!"	Here's the door open-in with you, mr Denzil!"
6544_231862_000039_000000	According to instructions, a policeman had waited behind the closed door, and at the one sharp knock of his superior opened it at once so that the two slipped in as speedily as possible.	According to instructions, a policeman had waited behind the closed door, and at the one sharp knock of his superior opened it at once so that the two slipped in as speedily as possible.
6544_231862_000039_000001	Link had a dark-lantern, which he used carefully, so that no light could be seen from the window looking on to the square; and with his three companions he went into the back room which had formerly been used by Clear as a sleeping apartment.	Link had a dark lantern, which he used carefully, so that no light could be seen from the window looking on to the square; and with his three companions he went into the back room which had formerly been used by Clear as a sleeping apartment.
6544_231862_000039_000002	Here the two policemen stationed themselves in one corner; and Link, with Lucian, waited near the door leading into the sitting-room, so as to be ready for Mrs. Clear.	Here the two policemen stationed themselves in one corner; and Link, with Lucian, waited near the door leading into the sitting room, so as to be ready for mrs Clear.
6544_231862_000040_000001	In a whisper he conversed with Link.	In a whisper he conversed with Link.
6544_231862_000041_000000	"Have you heard anything of that girl Rhoda?" he asked.	"Have you heard anything of that girl Rhoda?" he asked.
6544_231862_000042_000000	"We have traced her to Berkshire," whispered Link.	"We have traced her to Berkshire," whispered Link.
6544_231862_000042_000001	"She went back to her gypsy kinsfolk, you know.	"She went back to her gypsy kinsfolk, you know.
6544_231862_000044_000000	"So do I, and I hope to make him confess as much to-night.	"So do I, and I hope to make him confess as much to night.
6544_231862_000044_000001	Hush!"	Hush!"
6544_231862_000045_000000	Suddenly Link had laid his clasp on Lucian's wrist to command silence, and the next moment they heard the swish-swish of a woman's dress coming along the passage.	Suddenly Link had laid his clasp on Lucian's wrist to command silence, and the next moment they heard the swish swish of a woman's dress coming along the passage.
6544_231862_000045_000001	She entered the sitting-room cautiously, moving slowly in the darkness, and stole up to the door behind which Lucian and the detective were hiding.	She entered the sitting room cautiously, moving slowly in the darkness, and stole up to the door behind which Lucian and the detective were hiding.
6544_231862_000045_000002	The position of this she knew well, because it was opposite the window.	The position of this she knew well, because it was opposite the window.
6544_231862_000046_000000	"Are you there?" whispered Mrs. Clear nervously.	"Are you there?" whispered mrs Clear nervously.
6544_231862_000047_000000	"Yes," replied Link in the same tone.	"Yes," replied Link in the same tone.
6544_231862_000047_000001	"Myself, Mr. Denzil, and two policemen.	"Myself, mr Denzil, and two policemen.
6544_231862_000048_000001	"He will, if he knows I've betrayed him."	"He will, if he knows I've betrayed him."
6544_231862_000049_000000	"That will be all right," said Link in a low, impatient voice.	"That will be all right," said Link in a low, impatient voice.
6544_231862_000050_000001	He'll see you!"	He'll see you!"
6544_231862_000051_000000	"He won't, Mrs. Clear.	"He won't, mrs Clear.
6544_231862_000051_000001	We'll keep back in the darkness.	We'll keep back in the darkness.
6544_231862_000051_000002	If he shows a light, we'll rush him before he can use a weapon or clear out.	If he shows a light, we'll rush him before he can use a weapon or clear out.
6544_231862_000051_000003	Get back to the window!"	Get back to the window!"
6544_231862_000052_000000	"I hope I'll get through with this all right," said Mrs. Clear nervously.	"I hope I'll get through with this all right," said mrs Clear nervously.
6544_231862_000052_000001	"It's an awful situation," and she moved stealthily across the floor to the window.	"It's an awful situation," and she moved stealthily across the floor to the window.
6544_231862_000053_000000	There was a faint gaslight outside, and the watchers could see her figure and profile black against the slight illumination.	There was a faint gaslight outside, and the watchers could see her figure and profile black against the slight illumination.
6544_231862_000053_000001	All was still and silent as the grave when they began their dreary watch.	All was still and silent as the grave when they began their dreary watch.
6544_231862_000054_000000	The minutes passed slowly in the darkness, and there was an unbroken silence save for the breathing of the watchers and the restless movements of Mrs. Clear near the window.	The minutes passed slowly in the darkness, and there was an unbroken silence save for the breathing of the watchers and the restless movements of mrs Clear near the window.
6544_231862_000054_000001	They saw her pass and repass the square of glass, when, unexpectedly, she paused, rigid and silent.	They saw her pass and repass the square of glass, when, unexpectedly, she paused, rigid and silent.
6544_231862_000056_000001	They paused at the door, and then moved towards the window where Mrs. Clear was standing.	They paused at the door, and then moved towards the window where mrs Clear was standing.
6544_231862_000058_000000	"Yes.	"Yes.
6544_231862_000058_000002	"I am glad you have come."	"I am glad you have come."
6544_231862_000059_000000	"I am glad, also," said the voice harshly, "as I wish to know why you propose to betray me."	"I am glad, also," said the voice harshly, "as I wish to know why you propose to betray me."
6544_231862_000060_000000	"Because you won't pay me the money," said Mrs. Clear boldly.	"Because you won't pay me the money," said mrs Clear boldly.
6544_231862_000060_000001	"And if you don't give it to me this very night I'll go straight and tell the police all about my husband."	"And if you don't give it to me this very night I'll go straight and tell the police all about my husband."
6544_231862_000061_000000	"I'll kill you first!" cried the man with a snarl, and made a dash at the woman.	"I'll kill you first!" cried the man with a snarl, and made a dash at the woman.
6544_231862_000061_000002	The next moment the four watchers were in the room wrestling with Wrent.	The next moment the four watchers were in the room wrestling with Wrent.
6544_231862_000061_000004	However, he could do little against his four adversaries, and, worn out with the struggle, collapsed suddenly on to the dusty floor with a motion of despair.	However, he could do little against his four adversaries, and, worn out with the struggle, collapsed suddenly on to the dusty floor with a motion of despair.
6544_231862_000062_000000	"Lost! lost!" he muttered.	"Lost! lost!" he muttered.
6544_231862_000062_000001	"All lost!"	"All lost!"
6544_231862_000063_000001	Out of the darkness started a pale face with white hair and long white beard.	Out of the darkness started a pale face with white hair and long white beard.
6544_231862_000063_000002	Lucian uttered a cry.	Lucian uttered a cry.
6544_231862_000064_000000	"Mr. Vrain!" he said, shrinking back, "Mr.	"mr Vrain!" he said, shrinking back, "mr
6544_231862_000064_000001	Vrain!"	Vrain!"
6544_231862_000065_000000	"Look again," said Link, passing his hand rapidly over the face and head of the prostrate man.	"Look again," said Link, passing his hand rapidly over the face and head of the prostrate man.
6544_231862_000065_000001	Denzil did look, and uttered a second cry more startling than the first.	Denzil did look, and uttered a second cry more startling than the first.
6544_231862_000065_000002	Wig and beard and venerable looks were all gone, and he recognised at once who Wrent was.	Wig and beard and venerable looks were all gone, and he recognised at once who Wrent was.
6544_231862_000066_000000	"Jabez Clyne!--Jabez Clyne!" he exclaimed in astonishment.	"Jabez Clyne!--Jabez Clyne!" he exclaimed in astonishment.
