667_105002_000000_000000	CHAPTER XXV.	CHAPTER twenty five.	false	0	16.965	21.273268
667_105002_000029_000001	A man of twenty-five is old enough to have made a record, Mr. Steele--" The mayor's tone hardened, so did his manner; and I saw why he had been such a power in the courts before he took up politics and an office.	A man of twenty five is old enough to have made a record, mr Steele-" The mayor's tone hardened, so did his manner; and I saw why he had been such a power in the courts before he took up politics and an office.	true	372.11	385.27	22.785189
667_105002_000029_000002	"Mr. Steele, I do not mean you to disturb my house or to rob me of my wife.	"mr Steele, I do not mean you to disturb my house or to rob me of my wife.	true	385.91	392.4	21.713335
667_105002_000029_000003	What was your life before you met Olympia Brewster?"	What was your life before you met Olympia Brewster?"	true	392.4	395.38	23.536074
667_105002_000030_000000	A pause, the slightest in the world,--but the keen eye of the astute lawyer noted it, and his tone grew in severity and assurance.	A pause, the slightest in the world,--but the keen eye of the astute lawyer noted it, and his tone grew in severity and assurance.	true	395.99	403.69	19.622046
667_105002_000030_000001	"You have known for two years that this woman whom you called yours was within your reach, if not under your very eye, and you forbore to claim her. Has this delay had anything to do with the record of those years to which I have just alluded?"	"You have known for two years that this woman whom you called yours was within your reach, if not under your very eye, and you forbore to claim her. Has this delay had anything to do with the record of those years to which I have just alluded?"	true	403.94	417.82	21.962175
667_105002_000031_000000	Had the random shot told?	Had the random shot told?	true	418.4	420.16	22.04001
667_105002_000031_000001	The secretary's eye did not falter, nor his figure lose an inch of its height, yet the impression made by his look and attitude were not the same; the fire had gone out of them; a blight had struck his soul--the flush of his triumph was gone.	The secretary's eye did not falter, nor his figure lose an inch of its height, yet the impression made by his look and attitude were not the same; the fire had gone out of them; a blight had struck his soul-the flush of his triumph was gone.	true	420.5	435.37	21.457943
667_105002_000032_000000	Mayor Packard was merciless.	Mayor Packard was merciless.	true	436.28	438.01	21
667_105002_000033_000000	"Only two considerations could hold back a man like you from urging a claim he regarded as a sacred right; the fact of a former marriage or the remembrance of a forfeited citizenship--pardon me, we can not mince matters in a strait like this--which would delegalize whatever contract you may have entered into."	"Only two considerations could hold back a man like you from urging a claim he regarded as a sacred right; the fact of a former marriage or the remembrance of a forfeited citizenship-pardon me, we can not mince matters in a strait like this-which would delegalize whatever contract you may have entered into."	true	438.74	455.38	18
667_105002_000034_000000	Still the secretary's eye did not swerve, though he involuntarily stretched forth his hand toward the table as if afraid of betraying a tremor in his rigidly drawn-up figure.	Still the secretary's eye did not swerve, though he involuntarily stretched forth his hand toward the table as if afraid of betraying a tremor in his rigidly drawn up figure.	true	456.11	464.98	18
667_105002_000035_000000	"Was there the impediment of a former marriage?"	"Was there the impediment of a former marriage?"	true	465.71	468.43	19
667_105002_000036_000000	No answer from the sternly set lips.	No answer from the sternly set lips.	true	468.95	471.07	20
667_105002_000037_000000	"Or was it that you once served a term--a very short term, cut short by a successful attempt at escape in a Minnesota prison?"	"Or was it that you once served a term-a very short term, cut short by a successful attempt at escape in a Minnesota prison?"	true	471.74	479.26	18
667_105002_000038_000000	"Insults!" broke from those set lips and nothing more.	"Insults!" broke from those set lips and nothing more.	true	479.78	483.04	20.128248
667_105002_000039_000000	"Mr. Steele, I practised law in that state for a period of three years. All the records of the office and of the prison register are open to me. Over which of them should I waste my time?"	"mr Steele, I practised law in that state for a period of three years. All the records of the office and of the prison register are open to me. Over which of them should I waste my time?"	true	483.89	495.25	21.993973
667_105002_000040_000000	Then the tiger broke loose in the man who from the aggressor had become the attacked, and he cried:	Then the tiger broke loose in the man who from the aggressor had become the attacked, and he cried:	true	496.04	501.43	19
667_105002_000041_000000	"I shall never answer; the devil has whispered his own suggestions in your ear; the devil and nothing else."	"I shall never answer; the devil has whispered his own suggestions in your ear; the devil and nothing else."	true	501.5	507.43	20.973545
667_105002_000042_000000	But the mayor, satisfied that he made his point, smiled calmly, saying:	But the mayor, satisfied that he made his point, smiled calmly, saying:	false	508.1	512.23	18
667_105002_000043_000000	"No, not the devil, but yourself.	"No, not the devil, but yourself.	true	512.54	515.65	23.644407
667_105002_000043_000001	You, even the you of seven years back, would not have lived in any country town if necessity, or let us say, safety, had not demanded it.	You, even the you of seven years back, would not have lived in any country town if necessity, or let us say, safety, had not demanded it.	false	516.11	524.73	20.838285
667_105002_000043_000002	You, with your looks and your ambitions,--to marry at twenty-five a girl from the kitchen! any girl, even if she had the making of an Olympia Packard, if you did not know that it was in your power to shake her off when you got ready to assert yourself, or better prospects offered?	You, with your looks and your ambitions,--to marry at twenty five a girl from the kitchen! any girl, even if she had the making of an Olympia Packard, if you did not know that it was in your power to shake her off when you got ready to assert yourself, or better prospects offered?	false	524.73	540.67	21
667_105002_000043_000003	The cipher and the desirability you expressed of a means of communication unreadable save by you two,--all this was enough to start the suspicion; your own manner has done the rest.	The cipher and the desirability you expressed of a means of communication unreadable save by you two,--all this was enough to start the suspicion; your own manner has done the rest.	false	541.01	551.65	20.738806
667_105002_000043_000004	Mr. Steele, you are both a villain and a bastard, and have no right in law to this woman.	mr Steele, you are both a villain and a bastard, and have no right in law to this woman.	true	552.14	557.38	22
667_105002_000043_000005	Contradict me if you dare."	Contradict me if you dare."	true	557.66	559.36	21.638859
667_105002_000044_000000	"I dare, but will not," was the violent reply.	"I dare, but will not," was the violent reply.	true	560.09	562.63	19
667_105002_000044_000001	"I shall not give you even that satisfaction.	"I shall not give you even that satisfaction.	true	562.88	565.33	22
667_105002_000044_000002	This woman who has gone through the ceremony of marriage with both of us shall never know to which of us she is the legal wife.	This woman who has gone through the ceremony of marriage with both of us shall never know to which of us she is the legal wife.	true	565.73	572.44	20
667_105002_000044_000003	Perhaps it is as good a revenge as the other.	Perhaps it is as good a revenge as the other.	true	573.08	575.26	22
667_105002_000044_000004	It certainly will interfere as much with her peace."	It certainly will interfere as much with her peace."	true	575.36	577.87	18
667_105002_000045_000000	"Oh, oh, not that!	"Oh, oh, not that!	false	578.6	579.84	23
667_105002_000045_000001	I can not bear that!" leaped in anguish from her lips.	I can not bear that!" leaped in anguish from her lips.	false	579.84	583.15	22.531544
667_105002_000045_000002	"I am a pure woman, let no such torture be inflicted upon me. Speak! tell the truth as you are the son of a woman you would have us believe honest."	"I am a pure woman, let no such torture be inflicted upon me. Speak! tell the truth as you are the son of a woman you would have us believe honest."	false	583.34	592.725	21.005604
667_105002_000046_000000	A smile then, cold but alive with gloating triumph, altered the straight line of his lips for an instant as he advanced toward the door.	A smile then, cold but alive with gloating triumph, altered the straight line of his lips for an instant as he advanced toward the door.	false	592.725	600.58	19.354221
667_105002_000046_000001	"A woman over the possession of whom it is an honor to quarrel!" were his words as he passed the mayor with a bow.	"A woman over the possession of whom it is an honor to quarrel!" were his words as he passed the mayor with a bow.	false	601.31	607.75	19.391598
667_105002_000047_000000	I looked to see the mayor spring and grasp him by the throat, but that was left for another hand.	I looked to see the mayor spring and grasp him by the throat, but that was left for another hand.	true	609.08	614.62	21.21492
667_105002_000047_000001	As the secretary bent to touch the door it suddenly flew violently open and Nixon, quivering in every limb and with his face afire, sprang in and seized upon the other with a violence of passion which would have been deadly had there been any strength behind it.	As the secretary bent to touch the door it suddenly flew violently open and Nixon, quivering in every limb and with his face afire, sprang in and seized upon the other with a violence of passion which would have been deadly had there been any strength behind it.	true	615.26	630.4	19
667_105002_000048_000000	It was but child's play for so strong a man as Mr. Steele to shake off so futile a grasp, and he did so with a rasping laugh.	It was but child's play for so strong a man as mr Steele to shake off so futile a grasp, and he did so with a rasping laugh.	true	631.19	639.04	20.231756
667_105002_000048_000001	But the next moment he was tottering, blanched and helpless, and while struggling to right himself and escape, yielded more and more to a sudden weakness sapping his life-vigor, till he fell prone and apparently lifeless on the lounge toward which, with a final effort, he had thrown himself.	But the next moment he was tottering, blanched and helpless, and while struggling to right himself and escape, yielded more and more to a sudden weakness sapping his life vigor, till he fell prone and apparently lifeless on the lounge toward which, with a final effort, he had thrown himself.	true	639.38	655.99	22.067577
667_105002_000049_000000	"Good!	"Good!	true	656.57	657.31	20.96544
667_105002_000049_000001	Good!" rang thrilling through the room, as the old man reeled back from the wall against which he had been cast.	Good!" rang thrilling through the room, as the old man reeled back from the wall against which he had been cast.	true	657.53	663.79	20.028763
667_105002_000049_000002	"God has finished what these old arms had only strength enough to begin.	"God has finished what these old arms had only strength enough to begin.	true	664.28	668.47	21
667_105002_000049_000003	He is dead this time, and it's a mercy!	He is dead this time, and it's a mercy!	true	668.99	671.77	20.84308
667_105002_000049_000004	Thank God, Miss Olympia! thank God as I do now on my knees!" But here catching the mayor's eye, he faltered to his feet again, saying humbly as he crept away:	Thank God, Miss Olympia! thank God as I do now on my knees!" But here catching the mayor's eye, he faltered to his feet again, saying humbly as he crept away:	true	672.44	682.36	20.368681
667_105002_000050_000000	"I couldn't help it, your Honor.	"I couldn't help it, your Honor.	true	682.94	684.52	20.512344
667_105002_000050_000001	I shouldn't have been listening at the door; but I have loved Miss Olympia, as we used to call her, more than anything in the world ever since she came to make my old master's house a place of sunshine, and all I'm sorry for is that God had to do the finishing which twenty years ago I could have done myself."	I shouldn't have been listening at the door; but I have loved Miss Olympia, as we used to call her, more than anything in the world ever since she came to make my old master's house a place of sunshine, and all I'm sorry for is that God had to do the finishing which twenty years ago I could have done myself."	false	684.68	705.3	19.197374
667_105002_000051_000000	CHAPTER XXVI.	CHAPTER twenty six.	false	705.3	705.99	17
667_105002_000051_000001	"BITTER AS THE GRAVE"	"BITTER AS THE GRAVE"	false	705.99	706.23	12
667_105002_000052_000000	But Nixon was wrong.	But Nixon was wrong.	false	706.23	706.5	9
667_105002_000052_000001	Mr. Steele did not die--not this time.	mr Steele did not die-not this time.	false	706.5	707.01	16.149603
667_105002_000052_000002	Cared for by the physician who had been hastily summoned, he slowly but surely revived and by midnight was able to leave the house.	Cared for by the physician who had been hastily summoned, he slowly but surely revived and by midnight was able to leave the house.	false	707.01	710.58	19
667_105002_000052_000003	As he passed the mayor on his way out, I heard Mr. Packard say:	As he passed the mayor on his way out, I heard mr Packard say:	false	710.58	714	-8
