667_105002_000000_000001	THE FINGER ON THE WALL.	THE FINGER ON THE WALL.
667_105002_000022_000001	Steele or Brainard?	Steele or Brainard?
667_105002_000023_000000	"My real name is Brainard; therefore, it is also hers.	"My real name is Brainard; therefore, it is also hers.
667_105002_000023_000001	But I shall be content if she will take my present one of Steele.	But I shall be content if she will take my present one of Steele.
667_105002_000024_000000	"Never!"	"Never!"
667_105002_000028_000000	"I?	"I?
667_105002_000028_000001	Seven years ago I was twenty-five.	Seven years ago I was twenty five.
667_105002_000028_000002	I am thirty-two now."	I am thirty two now."
667_105002_000029_000000	"So I have heard you say.	"So I have heard you say.
667_105002_000029_000001	A man of twenty-five is old enough to have made a record, Mr. Steele--" The mayor's tone hardened, so did his manner; and I saw why he had been such a power in the courts before he took up politics and an office.	A man of twenty five is old enough to have made a record, mr Steele-" The mayor's tone hardened, so did his manner; and I saw why he had been such a power in the courts before he took up politics and an office.
667_105002_000029_000002	"Mr. Steele, I do not mean you to disturb my house or to rob me of my wife.	"mr Steele, I do not mean you to disturb my house or to rob me of my wife.
667_105002_000029_000003	What was your life before you met Olympia Brewster?"	What was your life before you met Olympia Brewster?"
667_105002_000030_000001	"You have known for two years that this woman whom you called yours was within your reach, if not under your very eye, and you forbore to claim her. Has this delay had anything to do with the record of those years to which I have just alluded?"	"You have known for two years that this woman whom you called yours was within your reach, if not under your very eye, and you forbore to claim her. Has this delay had anything to do with the record of those years to which I have just alluded?"
667_105002_000031_000000	Had the random shot told?	Had the random shot told?
667_105002_000031_000001	The secretary's eye did not falter, nor his figure lose an inch of its height, yet the impression made by his look and attitude were not the same; the fire had gone out of them; a blight had struck his soul--the flush of his triumph was gone.	The secretary's eye did not falter, nor his figure lose an inch of its height, yet the impression made by his look and attitude were not the same; the fire had gone out of them; a blight had struck his soul-the flush of his triumph was gone.
667_105002_000032_000000	Mayor Packard was merciless.	Mayor Packard was merciless.
667_105002_000036_000000	No answer from the sternly set lips.	No answer from the sternly set lips.
667_105002_000038_000000	"Insults!" broke from those set lips and nothing more.	"Insults!" broke from those set lips and nothing more.
667_105002_000039_000000	"Mr. Steele, I practised law in that state for a period of three years. All the records of the office and of the prison register are open to me. Over which of them should I waste my time?"	"mr Steele, I practised law in that state for a period of three years. All the records of the office and of the prison register are open to me. Over which of them should I waste my time?"
667_105002_000041_000000	"I shall never answer; the devil has whispered his own suggestions in your ear; the devil and nothing else."	"I shall never answer; the devil has whispered his own suggestions in your ear; the devil and nothing else."
667_105002_000043_000000	"No, not the devil, but yourself.	"No, not the devil, but yourself.
667_105002_000043_000004	Mr. Steele, you are both a villain and a bastard, and have no right in law to this woman.	mr Steele, you are both a villain and a bastard, and have no right in law to this woman.
667_105002_000043_000005	Contradict me if you dare."	Contradict me if you dare."
667_105002_000044_000001	"I shall not give you even that satisfaction.	"I shall not give you even that satisfaction.
667_105002_000044_000002	This woman who has gone through the ceremony of marriage with both of us shall never know to which of us she is the legal wife.	This woman who has gone through the ceremony of marriage with both of us shall never know to which of us she is the legal wife.
667_105002_000044_000003	Perhaps it is as good a revenge as the other.	Perhaps it is as good a revenge as the other.
667_105002_000047_000000	I looked to see the mayor spring and grasp him by the throat, but that was left for another hand.	I looked to see the mayor spring and grasp him by the throat, but that was left for another hand.
667_105002_000048_000000	It was but child's play for so strong a man as Mr. Steele to shake off so futile a grasp, and he did so with a rasping laugh.	It was but child's play for so strong a man as mr Steele to shake off so futile a grasp, and he did so with a rasping laugh.
667_105002_000048_000001	But the next moment he was tottering, blanched and helpless, and while struggling to right himself and escape, yielded more and more to a sudden weakness sapping his life-vigor, till he fell prone and apparently lifeless on the lounge toward which, with a final effort, he had thrown himself.	But the next moment he was tottering, blanched and helpless, and while struggling to right himself and escape, yielded more and more to a sudden weakness sapping his life vigor, till he fell prone and apparently lifeless on the lounge toward which, with a final effort, he had thrown himself.
667_105002_000049_000000	"Good!	"Good!
667_105002_000049_000001	Good!" rang thrilling through the room, as the old man reeled back from the wall against which he had been cast.	Good!" rang thrilling through the room, as the old man reeled back from the wall against which he had been cast.
667_105002_000049_000002	"God has finished what these old arms had only strength enough to begin.	"God has finished what these old arms had only strength enough to begin.
667_105002_000049_000003	He is dead this time, and it's a mercy!	He is dead this time, and it's a mercy!
667_105002_000049_000004	Thank God, Miss Olympia! thank God as I do now on my knees!" But here catching the mayor's eye, he faltered to his feet again, saying humbly as he crept away:	Thank God, Miss Olympia! thank God as I do now on my knees!" But here catching the mayor's eye, he faltered to his feet again, saying humbly as he crept away:
667_105002_000050_000000	"I couldn't help it, your Honor.	"I couldn't help it, your Honor.
