6981_70843_000000_000000	Counter-revolution had begun...	Counter revolution had begun...	false	3.78	22.68	21.184944
6981_70843_000004_000007	From that moment there were no more "neutral" soldiers in Tsarskoye....	From that moment there were no more "neutral" soldiers in Tsarskoye....	true	78.8	82.09	16
6981_70843_000005_000000	Petrograd woke to bursts of rifle-fire, and the tramping thunder of men marching.	Petrograd woke to bursts of rifle fire, and the tramping thunder of men marching.	true	83.15	87.67	19
6981_70843_000005_000001	Under the high dark sky a cold wind smelt of snow.	Under the high dark sky a cold wind smelt of snow.	true	87.92	91.65	17
6981_70843_000005_000002	At dawn the Military Hotel and the Telegraph Agency had been taken by large forces of _yunkers,_ and bloodily recaptured.	At dawn the Military Hotel and the Telegraph Agency had been taken by large forces of underscore yunkers,underscore and bloodily recaptured.	false	91.65	99.73	23.899673
6981_70843_000005_000003	The Telephone Station was besieged by sailors, who lay behind barricades of barrels, boxes and tin sheets in the middle of the Morskaya, or sheltered themselves at the corner of the Gorokhovaya and of St. Isaac's Square, shooting at anything that moved.	The Telephone Station was besieged by sailors, who lay behind barricades of barrels, boxes and tin sheets in the middle of the Morskaya, or sheltered themselves at the corner of the Gorokhovaya and of saint Isaac's Square, shooting at anything that moved.	true	100.7	113.95	19
6981_70843_000005_000004	Occasionally an automobile passed in and out, flying the Red Cross flag.	Occasionally an automobile passed in and out, flying the Red Cross flag.	true	114.41	118.75	20.99182
6981_70843_000005_000005	The sailors let it pass....	The sailors let it pass....	true	118.94	120.4	19.75076
6981_70843_000006_000000	Albert Rhys Williams was in the Telephone Exchange.	Albert Rhys Williams was in the Telephone Exchange.	true	121.37	124.3	22.542347
6981_70843_000006_000001	He went out with the Red Cross automobile, which was ostensibly full of wounded. After circulating about the city, the car went by devious ways to the Mikhailovsky _yunker_ school, headquarters of the counter-revolution.	He went out with the Red Cross automobile, which was ostensibly full of wounded. After circulating about the city, the car went by devious ways to the Mikhailovsky underscore yunker underscore school, headquarters of the counter revolution.	false	124.43	136.54	22.035095
6981_70843_000006_000002	A French officer, in the court-yard, seemed to be in command....	A French officer, in the court yard, seemed to be in command....	true	137.63	140.41	19.577953
6981_70843_000006_000003	By this means ammunition and supplies were conveyed to the Telephone Exchange.	By this means ammunition and supplies were conveyed to the Telephone Exchange.	true	141.14	145.33	17
6981_70843_000006_000004	Scores of these pretended ambulances acted as couriers and ammunition trains for the _yunkers._	Scores of these pretended ambulances acted as couriers and ammunition trains for the underscore yunkers.underscore	false	145.73	151.89	20.54208
6981_70843_000007_000000	Five or six armoured cars, belonging to the disbanded British Armoured Car Division, were in their hands.	Five or six armoured cars, belonging to the disbanded British Armoured Car Division, were in their hands.	true	151.89	157.21	16
6981_70843_000007_000001	As Louise Bryant was going along St. Isaac's Square one came rolling up from the Admiralty, on its way to the Telephone Exchange.	As Louise Bryant was going along saint Isaac's Square one came rolling up from the Admiralty, on its way to the Telephone Exchange.	true	157.73	164.8	19
6981_70843_000007_000002	At the corner of the Gogolia, right in front of her, the engine stalled.	At the corner of the Gogolia, right in front of her, the engine stalled.	false	165.23	169.18	21.405905
6981_70843_000007_000003	Some sailors ambushed behind wood-piles began shooting.	Some sailors ambushed behind wood piles began shooting.	true	169.52	172.54	22
6981_70843_000007_000004	The machine-gun in the turret of the thing slewed around and spat a hail of bullets indiscriminately into the wood-piles and the crowd.	The machine-gun in the turret of the thing slewed around and spat a hail of bullets indiscriminately into the wood piles and the crowd.	false	172.58	179.7	23.15727
6981_70843_000007_000005	In the archway where Miss Bryant stood seven people were shot dead, among them two little boys.	In the archway where Miss Bryant stood seven people were shot dead, among them two little boys.	true	179.7	185.14	23.481035
6981_70843_000007_000006	Suddenly, with a shout, the sailors leaped up and rushed into the flaming open; closing around the monster, they thrust their bayonets into the loop-holes, again and again, yelling... The chauffeur pretended to be wounded, and they let him go free--to run to the Duma and swell the tale of Bolshevik atrocities....Among the dead was a British Officer....	Suddenly, with a shout, the sailors leaped up and rushed into the flaming open; closing around the monster, they thrust their bayonets into the loop holes, again and again, yelling... The chauffeur pretended to be wounded, and they let him go free-to run to the Duma and swell the tale of Bolshevik atrocities....Among the dead was a British Officer....	false	185.87	205.24	21.129387
6981_70843_000008_000000	Later the newspapers told of another French officer, captured in a _yunker_ armoured car and sent to Peter-Paul.	Later the newspapers told of another French officer, captured in a underscore yunker underscore armoured car and sent to Peter Paul.	false	206.36	212.11	17
6981_70843_000008_000001	The French Embassy promptly denied this, but one of the City Councillors told me that he himself had procured the officer's release from prison....	The French Embassy promptly denied this, but one of the City Councillors told me that he himself had procured the officer's release from prison....	true	212.75	220.15	20.900791
6981_70843_000009_000000	Whatever the official attitude of the Allied Embassies, individual French and British officers were active these days, even to the extent of giving advice at executive sessions of the Committee for Salvation.	Whatever the official attitude of the Allied Embassies, individual French and British officers were active these days, even to the extent of giving advice at executive sessions of the Committee for Salvation.	true	221.06	231.73	16
6981_70843_000010_000000	All day long in every quarter of the city there were skirmishes between _yunkers_ and Red Guards, battles between armoured cars.... Volleys, single shots and the shrill chatter of machine-guns could be heard, far and near.	All day long in every quarter of the city there were skirmishes between underscore yunkers underscore and Red Guards, battles between armoured cars.... Volleys, single shots and the shrill chatter of machine guns could be heard, far and near.	false	232.67	242.17	18
6981_70843_000010_000001	The iron shutters of the shops were drawn, but business still went on.	The iron shutters of the shops were drawn, but business still went on.	true	242.51	246.16	19.752918
6981_70843_000010_000002	Even the moving-picture shows, all outside lights dark, played to crowded houses.	Even the moving picture shows, all outside lights dark, played to crowded houses.	true	246.35	251.05	20
6981_70843_000010_000003	The street-cars ran. The telephones were all working; when you called Central, shooting could be plainly heard over the wire.... Smolny was cut off, but the Duma and the Committee for Salvation were in constant communication with all the _yunker_ schools and with Kerensky at Tsarskoye.	The street cars ran. The telephones were all working; when you called Central, shooting could be plainly heard over the wire.... Smolny was cut off, but the Duma and the Committee for Salvation were in constant communication with all the underscore yunker underscore schools and with Kerensky at Tsarskoye.	false	251.39	266.14	21.659607
6981_70843_000011_000000	At seven in the morning the Vladimir _yunker_ school was visited by a patrol of soldiers, sailors and Red Guards, who gave the _yunkers_ twenty minutes to lay down their arms.	At seven in the morning the Vladimir underscore yunker underscore school was visited by a patrol of soldiers, sailors and Red Guards, who gave the underscore yunkers underscore twenty minutes to lay down their arms.	false	267.17	275.95	16
6981_70843_000011_000001	The ultimatum was rejected. An hour later the _yunkers_ got ready to march, but were driven back by a violent fusillade from the corner of the Grebetskaya and the Bolshoy Prospekt.	The ultimatum was rejected. An hour later the underscore yunkers underscore got ready to march, but were driven back by a violent fusillade from the corner of the Grebetskaya and the Bolshoy Prospekt.	false	276.23	285.88	22.857958
6981_70843_000011_000002	Soviet troops surrounded the building and opened fire, two armoured cars cruising back and forth with machine guns raking it.	Soviet troops surrounded the building and opened fire, two armoured cars cruising back and forth with machine guns raking it.	true	286.13	292.54	17
6981_70843_000011_000003	The _yunkers_ telephoned for help.	The underscore yunkers underscore telephoned for help.	false	293.12	295.08	23.581951
6981_70843_000011_000004	The Cossacks replied that they dare not come, because a large body of sailors with two cannon commanded their barracks.	The Cossacks replied that they dare not come, because a large body of sailors with two cannon commanded their barracks.	false	295.08	301.06	19
6981_70843_000011_000005	The Pavlovsk school was surrounded. Most of the Mikhailov _yunkers_ were fighting in the streets....	The Pavlovsk school was surrounded. Most of the Mikhailov underscore yunkers underscore were fighting in the streets....	false	301.7	306.57	22.69858
6981_70843_000012_000000	At half-past eleven three field-pieces arrived.	At half past eleven three field pieces arrived.	false	306.57	310.03	21.597332
6981_70843_000012_000001	Another demand to surrender was met by the _yunkers_ shooting down two of the Soviet delegates under the white flag.	Another demand to surrender was met by the underscore yunkers underscore shooting down two of the Soviet delegates under the white flag.	false	310.25	316.39	18
6981_70843_000012_000002	Now began a real bombardment.	Now began a real bombardment.	true	316.46	318.64	19.953215
6981_70843_000012_000003	Great holes were torn in the walls of the school.	Great holes were torn in the walls of the school.	false	318.77	322.09	17
6981_70843_000012_000004	The _yunkers_ defended themselves desperately; shouting waves of Red Guards, assaulting, crumpled under the withering blast....	The underscore yunkers underscore defended themselves desperately; shouting waves of Red Guards, assaulting, crumpled under the withering blast....	false	322.64	329.17	21
6981_70843_000012_000005	Kerensky telephoned from Tsarskoye to refuse all parley with the Military Revolutionary Committee.	Kerensky telephoned from Tsarskoye to refuse all parley with the Military Revolutionary Committee.	true	329.36	334.18	15
6981_70843_000013_000000	Frenzied by defeat and their heaps of dead, the Soviet troops opened a tornado of steel and flame against the battered building.	Frenzied by defeat and their heaps of dead, the Soviet troops opened a tornado of steel and flame against the battered building.	true	334.97	341.98	20
6981_70843_000013_000001	Their own officers could not stop the terrible bombardment.	Their own officers could not stop the terrible bombardment.	true	342.35	345.43	19
6981_70843_000013_000002	A Commissar from Smolny named Kirilov tried to halt it; he was threatened with lynching.	A Commissar from Smolny named Kirilov tried to halt it; he was threatened with lynching.	true	345.56	350.895	20.086393
6981_70843_000013_000003	The Red Guards' blood was up.	The Red Guards' blood was up.	true	350.895	352.69	21.701563
6981_70843_000014_000000	At half-past two the _yunkers_ hoisted a white flag; they would surrender if they were guaranteed protection.	At half past two the underscore yunkers underscore hoisted a white flag; they would surrender if they were guaranteed protection.	false	353.18	358.72	21.423021
6981_70843_000014_000001	This was promised. With a rush and a shout thousands of soldiers and Red Guards poured through windows, doors and holes in the wall.	This was promised. With a rush and a shout thousands of soldiers and Red Guards poured through windows, doors and holes in the wall.	false	359	366.22	19.768518
6981_70843_000014_000002	Before it could be stopped five _yunkers_ were beaten and stabbed to death.	Before it could be stopped five underscore yunkers underscore were beaten and stabbed to death.	false	366.56	370.12	24.525366
6981_70843_000014_000003	The rest, about two hundred, were taken to Peter-Paul under escort, in small groups so as to avoid notice.	The rest, about two hundred, were taken to Peter Paul under escort, in small groups so as to avoid notice.	true	370.37	376.12	21
6981_70843_000014_000004	On the way a mob set upon one party, killing eight more _yunkers_....	On the way a mob set upon one party, killing eight more underscore yunkers underscore....	false	376.55	381.03	22.510178
6981_70843_000014_000005	More than a hundred Red Guards and soldiers had fallen....	More than a hundred Red Guards and soldiers had fallen....	true	381.03	383.8	12
6981_70843_000015_000000	Two hours later the Duma got a telephone message that the victors were marching toward the _Injinierny Zamok_--the Engineers' school.	Two hours later the Duma got a telephone message that the victors were marching toward the underscore Injinierny Zamok underscore--the Engineers' school.	false	384.62	391.45	21
6981_70843_000015_000001	A dozen members immediately set out to distribute among them armfuls of the latest proclamation of the Committee for Salvation.	A dozen members immediately set out to distribute among them armfuls of the latest proclamation of the Committee for Salvation.	true	391.73	398.5	17
6981_70843_000015_000002	Several did not come back....	Several did not come back....	true	398.81	400.42	23.164234
6981_70843_000015_000003	All the other schools surrendered without resistance, and the _yunkers_ were sent unharmed to Peter-Paul and Cronstadt....	All the other schools surrendered without resistance, and the underscore yunkers underscore were sent unharmed to Peter Paul and Cronstadt....	false	400.7	406.66	21
6981_70843_000016_000000	The Telephone Exchange held out until afternoon, when a Bolshevik armoured car appeared, and the sailors stormed the place.	The Telephone Exchange held out until afternoon, when a Bolshevik armoured car appeared, and the sailors stormed the place.	true	407.33	413.17	16
6981_70843_000016_000001	Shrieking, the frightened telephone girls ran to and fro; the _yunkers_ tore from their uniforms all distinguishing marks, and one offered Williams _anything_ for the loan of his overcoat, as a disguise.... "They will massacre us!	Shrieking, the frightened telephone girls ran to and fro; the underscore yunkers underscore tore from their uniforms all distinguishing marks, and one offered Williams underscore anything underscore for the loan of his overcoat, as a disguise.... "They will massacre us!	false	413.39	425.835	21.449354
6981_70843_000016_000002	They will massacre us!" they cried, for many of them had given their word at the Winter Palace not to take up arms against the People.	They will massacre us!" they cried, for many of them had given their word at the Winter Palace not to take up arms against the People.	true	425.835	432.31	22.413939
6981_70843_000016_000003	Williams offered to mediate if Antonov were released.	Williams offered to mediate if Antonov were released.	true	433.1	436.03	21.438217
6981_70843_000016_000004	This was immediately done; Antonov and Williams made speeches to the victorious sailors, inflamed by their many dead--and once more the _yunkers_ went free....	This was immediately done; Antonov and Williams made speeches to the victorious sailors, inflamed by their many dead-and once more the underscore yunkers underscore went free....	false	436.43	445.3	19.71877
6981_70843_000016_000005	All but a few, who in their panic tried to flee over the roofs, or to hide in the attic, and were found and hurled into the street.	All but a few, who in their panic tried to flee over the roofs, or to hide in the attic, and were found and hurled into the street.	true	445.37	451.99	19.476242
6981_70843_000017_000000	Tired, bloody, triumphant, the sailors and workers swarmed into the switchboard room, and finding so many pretty girls, fell back in an embarrassed way and fumbled with awkward feet.	Tired, bloody, triumphant, the sailors and workers swarmed into the switchboard room, and finding so many pretty girls, fell back in an embarrassed way and fumbled with awkward feet.	true	452.39	462.94	21.713217
6981_70843_000017_000001	Not a girl was injured, not one insulted.	Not a girl was injured, not one insulted.	true	463.1	466	21.296953
6981_70843_000017_000002	Frightened, they huddled in the corners, and then, finding themselves safe, gave vent to their spite.	Frightened, they huddled in the corners, and then, finding themselves safe, gave vent to their spite.	true	466.07	471.64	22.360134
6981_70843_000017_000003	"Ugh! The dirty, ignorant people!	"Ugh! The dirty, ignorant people!	true	471.74	474.165	22.943096
6981_70843_000017_000004	The fools!"...	The fools!"...	true	474.165	475.09	19.248516
6981_70843_000017_000005	The sailors and Red Guards were embarrassed.	The sailors and Red Guards were embarrassed.	true	475.94	478.15	22.584064
6981_70843_000017_000006	"Brutes!	"Brutes!	true	478.55	479.37	21.271656
6981_70843_000017_000007	Pigs!" shrilled the girls, indignantly putting on their coats and hats.	Pigs!" shrilled the girls, indignantly putting on their coats and hats.	true	479.37	483.55	21.485355
6981_70843_000017_000008	Romantic had been their experience passing up cartridges and dressing the wounds of their dashing young defenders, the _yunkers,_ many of them members of noble families, fighting to restore their beloved Tsar!	Romantic had been their experience passing up cartridges and dressing the wounds of their dashing young defenders, the underscore yunkers,underscore many of them members of noble families, fighting to restore their beloved Tsar!	false	484.04	494.08	16
6981_70843_000017_000009	These were just common workmen, peasants, "Dark People."...	These were just common workmen, peasants, "Dark People."...	true	494.3	498.82	23.241169
6981_70843_000018_000000	The Commissar of the Military Revolutionary Committee, little Vishniak, tried to persuade the girls to remain.	The Commissar of the Military Revolutionary Committee, little Vishniak, tried to persuade the girls to remain.	true	500.03	505.99	20.274311
6981_70843_000018_000001	He was effusively polite.	He was effusively polite.	true	506.33	507.91	20.475605
6981_70843_000018_000002	"You have been badly treated," he said.	"You have been badly treated," he said.	true	508.07	510.64	23.490248
6981_70843_000018_000003	"The telephone system is controlled by the Municipal Duma.	"The telephone system is controlled by the Municipal Duma.	true	511.1	514.39	19.709776
6981_70843_000018_000004	You are paid sixty rubles a month, and have to work ten hours and more....	You are paid sixty rubles a month, and have to work ten hours and more....	true	514.52	518.14	20.12044
6981_70843_000018_000005	From now on all that will be changed.	From now on all that will be changed.	true	518.36	520.96	22.655582
6981_70843_000018_000006	The Government intends to put the telephones under control of the Ministry of Posts and Telegraphs. Your wages will be immediately raised to one hundred and fifty rubles, and your working-hours reduced.	The Government intends to put the telephones under control of the Ministry of Posts and Telegraphs. Your wages will be immediately raised to one hundred and fifty rubles, and your working hours reduced.	true	520.97	531.88	20.61766
6981_70843_000018_000007	As members of the working-class you should be happy--"	As members of the working class you should be happy-"	true	532.25	535.15	23.461945
6981_70843_000019_000000	Members of the _working-class_ indeed!	Members of the underscore working class underscore indeed!	false	536.03	538.305	19.768248
6981_70843_000019_000001	Did he mean to infer that there was anything in common between these--these animals--and _us?_ Remain?	Did he mean to infer that there was anything in common between these-these animals-and underscore us?underscore Remain?	false	538.305	544.12	25.65122
6981_70843_000019_000002	Not if they offered a thousand rubles!...	Not if they offered a thousand rubles!...	true	544.52	546.63	19
6981_70843_000019_000003	Haughty and spiteful the girls left the place....	Haughty and spiteful the girls left the place....	false	546.63	549.88	21.511557
6981_70843_000020_000000	The employees of the building, the line-men and labourers--they stayed.	The employees of the building, the line men and labourers-they stayed.	true	550.73	554.2	21.075937
6981_70843_000020_000001	But the switch-boards must be operated--the telephone was vital....	But the switch boards must be operated-the telephone was vital....	true	554.57	557.95	21.421604
6981_70843_000020_000002	Only half a dozen trained operators were available. Volunteers were called for; a hundred responded, sailors, soldiers, workers.	Only half a dozen trained operators were available. Volunteers were called for; a hundred responded, sailors, soldiers, workers.	false	558.38	566.8	19.850786
6981_70843_000020_000003	The six girls scurried backward and forward, instructing, helping, scolding....	The six girls scurried backward and forward, instructing, helping, scolding....	true	566.99	572.05	22.486288
6981_70843_000020_000004	So, crippled, halting, but _going,_ the wires slowly began to hum.	So, crippled, halting, but underscore going,underscore the wires slowly began to hum.	false	573.02	577.9	21.13496
6981_70843_000020_000005	The first thing was to connect Smolny with the barracks and the factories; the second, to cut off the Duma and the _yunker_ schools....	The first thing was to connect Smolny with the barracks and the factories; the second, to cut off the Duma and the underscore yunker underscore schools....	false	578.75	584.98	21.675016
6981_70843_000020_000006	Late in the afternoon word of it spread through the city, and hundreds of bourgeois called up to scream, "Fools! Devils!	Late in the afternoon word of it spread through the city, and hundreds of bourgeois called up to scream, "Fools! Devils!	true	585.53	591.585	20.422564
6981_70843_000020_000007	How long do you think you will last?	How long do you think you will last?	false	591.585	593.085	21.796946
6981_70843_000020_000008	Wait till the Cossacks come!"	Wait till the Cossacks come!"	true	593.085	594.73	23.884848
6981_70843_000021_000000	Dusk was already falling.	Dusk was already falling.	true	595.25	596.92	18.393658
6981_70843_000021_000001	On the almost deserted Nevsky, swept by a bitter wind, a crowd had gathered before the Kazan Cathedral, continuing the endless debate; a few workmen, some soldiers and the rest shop-keepers, clerks and the like.	On the almost deserted Nevsky, swept by a bitter wind, a crowd had gathered before the Kazan Cathedral, continuing the endless debate; a few workmen, some soldiers and the rest shop keepers, clerks and the like.	true	597.23	609.58	22.286636
6981_70843_000022_000000	"But Lenin won't get Germany to make peace!" cried one.	"But Lenin won't get Germany to make peace!" cried one.	false	610.13	613.24	25.331152
6981_70843_000023_000000	A violent young soldier replied.	A violent young soldier replied.	true	613.55	615.225	18.636555
6981_70843_000023_000001	"And whose fault is it?	"And whose fault is it?	true	615.225	616.725	18
6981_70843_000023_000002	Your damn Kerensky, dirty bourgeois!	Your damn Kerensky, dirty bourgeois!	true	616.725	619.08	17
6981_70843_000023_000003	To hell with Kerensky!	To hell with Kerensky!	true	619.08	620.475	22
6981_70843_000023_000004	We don't want him! We want Lenin...."	We don't want him! We want Lenin...."	true	620.475	622.69	19
6981_70843_000024_000000	Outside the Duma an officer with a white arm-band was tearing down posters from the wall, swearing loudly.	Outside the Duma an officer with a white arm band was tearing down posters from the wall, swearing loudly.	false	623.69	628.9	15
6981_70843_000024_000001	One read:	One read:	true	629.24	630.15	26.126583
6981_70843_000025_000000	To the Population of Petrograd!	To the Population of Petrograd!	true	630.15	632.11	18
6981_70843_000026_000000	At this dangerous hour, when the Municipal Duma ought to use every means to calm the population, to assure it bread and other necessities, the Right Socialist Revolutionaries and the Cadets, forgetting their duty, have turned the Duma into a counter-revolutionary meeting, trying to raise part of the population against the rest, so as to facilitate the victory of Kornilov-Kerensky.	At this dangerous hour, when the Municipal Duma ought to use every means to calm the population, to assure it bread and other necessities, the Right Socialist Revolutionaries and the Cadets, forgetting their duty, have turned the Duma into a counter revolutionary meeting, trying to raise part of the population against the rest, so as to facilitate the victory of Kornilov Kerensky.	true	632.42	655.57	22.673355
6981_70843_000026_000001	Instead of doing their duty, the Right Socialist Revolutionaries and the Cadets have transformed the Duma into an arena of political attack upon the Soviets of Workers', Soldiers' and Peasants' Deputies, against the revolutionary Government of peace, bread and liberty.	Instead of doing their duty, the Right Socialist Revolutionaries and the Cadets have transformed the Duma into an arena of political attack upon the Soviets of Workers', Soldiers' and Peasants' Deputies, against the revolutionary Government of peace, bread and liberty.	true	655.91	671.59	20
6981_70843_000027_000000	Citizens of Petrograd, we, the Bolshevik Municipal Councillors elected by you--we want you to know that the Right Socialist Revolutionaries and the Cadets are engaged in counter-revolutionary action, have forgotten their duty, and are leading the population to famine, to civil war.	Citizens of Petrograd, we, the Bolshevik Municipal Councillors elected by you-we want you to know that the Right Socialist Revolutionaries and the Cadets are engaged in counter revolutionary action, have forgotten their duty, and are leading the population to famine, to civil war.	true	672.05	689.98	21
6981_70843_000027_000001	We, elected by 183,000 votes, consider it our duty to bring to the attention of our constituents what is going on in the Duma, and declare that we disclaim all responsibility for the terrible but inevitable consequences....	We, elected by one hundred eighty three thousand votes, consider it our duty to bring to the attention of our constituents what is going on in the Duma, and declare that we disclaim all responsibility for the terrible but inevitable consequences....	false	690.35	706.54	22
6981_70843_000028_000000	Far away still sounded occasional shots, but the city lay quiet, cold, as if exhausted by the violent spasms which had torn it.	Far away still sounded occasional shots, but the city lay quiet, cold, as if exhausted by the violent spasms which had torn it.	true	707.21	716.74	21.798647
6981_70843_000029_000000	In the Nicolai Hall the Duma session was coming to an end.	In the Nicolai Hall the Duma session was coming to an end.	true	717.95	721.36	20.97597
6981_70843_000029_000001	Even the truculent Duma seemed a little stunned.	Even the truculent Duma seemed a little stunned.	true	721.58	724.15	19
6981_70843_000029_000002	One after another the Commissars reported--capture of the Telephone Exchange, street-fighting, the taking of the Vladimir school....	One after another the Commissars reported-capture of the Telephone Exchange, street fighting, the taking of the Vladimir school....	true	724.73	733.06	22.195436
6981_70843_000029_000003	"The Duma," said Trupp, "is on the side of the democracy in its struggle against arbitrary violence; but in any case, whichever side wins, the Duma will always be against lynchings and torture...."	"The Duma," said Trupp, "is on the side of the democracy in its struggle against arbitrary violence; but in any case, whichever side wins, the Duma will always be against lynchings and torture...."	true	733.73	746.14	22.272879
6981_70843_000030_000000	Konovski, Cadet, a tall old man with a cruel face: "When the troops of the legal Government arrive in Petrograd, they will shoot down these insurgents, and that will not be lynching!" Protests all over the hall, even from his own party.	Konovski, Cadet, a tall old man with a cruel face: "When the troops of the legal Government arrive in Petrograd, they will shoot down these insurgents, and that will not be lynching!" Protests all over the hall, even from his own party.	false	747.32	761.68	22.27591
6981_70843_000031_000000	Here there was doubt and depression.	Here there was doubt and depression.	true	762.11	764.26	25.982327
6981_70843_000031_000001	The counter-revolution was being put down.	The counter revolution was being put down.	true	764.27	766.66	20.848282
6981_70843_000031_000002	The Central Committee of the Socialist Revolutionary party had voted lack of confidence in its officers; the left wing was in control; Avksentiev had resigned.	The Central Committee of the Socialist Revolutionary party had voted lack of confidence in its officers; the left wing was in control; Avksentiev had resigned.	false	766.79	777.72	19.41638
6981_70843_000031_000003	A courier reported that the Committee of Welcome sent to meet Kerensky at the railway station had been arrested.	A courier reported that the Committee of Welcome sent to meet Kerensky at the railway station had been arrested.	true	777.72	783.76	23.41362
6981_70843_000031_000004	In the streets could be heard the dull rumble of distant cannonading, south and southwest.	In the streets could be heard the dull rumble of distant cannonading, south and southwest.	true	784.34	789.16	17
6981_70843_000031_000005	Still Kerensky did not come...	Still Kerensky did not come...	true	789.53	791.5	24.730936
6981_70843_000032_000000	Only three newspapers were out--_Pravda, Dielo Naroda_ and _Novaya Zhizn._ All of them devoted much space to the new "coalition" Government.	Only three newspapers were out-underscore Pravda, Dielo Naroda underscore and underscore Novaya z h i z n.underscore All of them devoted much space to the new "coalition" Government.	false	793.52	803.32	22.125021
6981_70843_000032_000001	The Socialist Revolutionary paper demanded a Cabinet without either Cadets or Bolsheviki.	The Socialist Revolutionary paper demanded a Cabinet without either Cadets or Bolsheviki.	true	803.66	809.38	21
6981_70843_000032_000002	Gorky was hopeful; Smolny had made concessions.	Gorky was hopeful; Smolny had made concessions.	true	809.48	812.86	20.24539
6981_70843_000032_000003	A purely Socialist Government was taking shape--all elements except the bourgeoisie.	A purely Socialist Government was taking shape-all elements except the bourgeoisie.	false	813.11	818.32	20.490318
6981_70843_000032_000004	As for _Pravda,_ it sneered:	As for underscore Pravda,underscore it sneered:	false	818.69	820.96	22.973303
6981_70843_000033_000000	We ridicule these coalitions with political parties whose most prominent members are petty journalists of doubtful reputation; our "coalition" is that of the proletariat and the revolutionary Army with the poor peasants...	We ridicule these coalitions with political parties whose most prominent members are petty journalists of doubtful reputation; our "coalition" is that of the proletariat and the revolutionary Army with the poor peasants...	true	821.51	834.52	22
6981_70843_000034_000000	On the walls a vainglorious announcement of the _Vikzhel,_ threatening to strike if both sides did not compromise:	On the walls a vainglorious announcement of the underscore Vikzhel,underscore threatening to strike if both sides did not compromise:	false	835.52	842.5	20.971209
6981_70843_000035_000000	The conquerors of these riots, the saviours of the wreck of our country, these will be neither the Bolsheviki, nor the Committee for Salvation, nor the troops of Kerensky--but we, the Union of Railwaymen...	The conquerors of these riots, the saviours of the wreck of our country, these will be neither the Bolsheviki, nor the Committee for Salvation, nor the troops of Kerensky-but we, the Union of Railwaymen...	true	843.23	855.01	21
6981_70843_000036_000000	Red Guards are incapable of handling a complicated business like the railways; as for the Provisional Government, it has shown itself incapable of holding the power...	Red Guards are incapable of handling a complicated business like the railways; as for the Provisional Government, it has shown itself incapable of holding the power...	true	855.14	863.98	22.322645
6981_70843_000037_000000	We refuse to lend our services to any party which does not act by authority of ... a Government based on the confidence of all the democracy....	We refuse to lend our services to any party which does not act by authority of ... a Government based on the confidence of all the democracy....	true	864.38	872.47	20
6981_70843_000038_000000	Smolny thrilled with the boundless vitality of inexhaustible humanity in action.	Smolny thrilled with the boundless vitality of inexhaustible humanity in action.	true	872.69	877.87	21.214281
6981_70843_000039_000000	In Trade Union headquarters Lozovsky introduced me to a delegate of the Railway Workers of the Nicolai line, who said that the men were holding huge mass-meetings, condemning the action of their leaders.	In Trade Union headquarters Lozovsky introduced me to a delegate of the Railway Workers of the Nicolai line, who said that the men were holding huge mass meetings, condemning the action of their leaders.	false	878.75	890.05	18
