3228_4691_000000_000000	NOW, saith the tale, after Sir Gawaine departed, he rode many journeys, both toward and froward.	NOW, saith the tale, after Sir Gawaine departed, he rode many journeys, both toward and froward.	false	23.04	29.02	27.964712
3228_4691_000001_000000	So they departed and rode by fortune till that they came by the Castle of Maidens; and there the seven brethren espied the three knights, and said: Sithen, we be flemed by one knight from this castle, we shall destroy all the knights of King Arthur's that we may overcome, for the love of Sir Galahad.	So they departed and rode by fortune till that they came by the Castle of Maidens; and there the seven brethren espied the three knights, and said: Sithen, we be flemed by one knight from this castle, we shall destroy all the knights of King Arthur's that we may overcome, for the love of Sir Galahad.	false	92.39	108.7	23.035786
3228_4691_000001_000001	And therewith the seven knights set upon the three knights, and by fortune Sir Gawaine slew one of the brethren, and each one of his fellows slew another, and so slew the remnant.	And therewith the seven knights set upon the three knights, and by fortune Sir Gawaine slew one of the brethren, and each one of his fellows slew another, and so slew the remnant.	false	108.95	118.89	22.704424
3228_4691_000001_000002	And then they took the way under the castle, and there they lost the way that Sir Galahad rode, and there everych of them departed from other; and Sir Gawaine rode till he came to an hermitage, and there he found the good man saying his evensong of Our Lady; and there Sir Gawaine asked harbour for charity, and the good man granted it him gladly.	And then they took the way under the castle, and there they lost the way that Sir Galahad rode, and there everych of them departed from other; and Sir Gawaine rode till he came to an hermitage, and there he found the good man saying his evensong of Our Lady; and there Sir Gawaine asked harbour for charity, and the good man granted it him gladly.	true	118.89	137.14	21
3228_4691_000002_000000	Then the good man asked him what he was.	Then the good man asked him what he was.	true	137.27	139.56	24.243755
3228_4691_000002_000001	Sir, he said, I am a knight of King Arthur's that am in the quest of the Sangreal, and my name is Sir Gawaine.	Sir, he said, I am a knight of King Arthur's that am in the quest of the Sangreal, and my name is Sir Gawaine.	false	139.56	145.53	24.228508
3228_4691_000002_000002	Sir, said the good man, I would wit how it standeth betwixt God and you.	Sir, said the good man, I would wit how it standeth betwixt God and you.	false	145.53	149.01	24.58791
3228_4691_000002_000003	Sir, said Sir Gawaine, I will with a good will shew you my life if it please you; and there he told the hermit how a monk of an abbey called me wicked knight.	Sir, said Sir Gawaine, I will with a good will shew you my life if it please you; and there he told the hermit how a monk of an abbey called me wicked knight.	false	149.01	149.07	4
3228_4691_000002_000004	He might well say it, said the hermit, for when ye were first made knight ye should have taken you to knightly deeds and virtuous living, and ye have done the contrary, for ye have lived mischievously many winters; and Sir Galahad is a maid and sinned never, and that is the cause he shall enchieve where he goeth that ye nor none such shall not attain, nor none in your fellowship, for ye have used the most untruest life that ever I heard knight live.	He might well say it, said the hermit, for when ye were first made knight ye should have taken you to knightly deeds and virtuous living, and ye have done the contrary, for ye have lived mischievously many winters; and Sir Galahad is a maid and sinned never, and that is the cause he shall enchieve where he goeth that ye nor none such shall not attain, nor none in your fellowship, for ye have used the most untruest life that ever I heard knight live.	false	149.07	164.77	22.213923
3228_4691_000002_000005	For certes had ye not been so wicked as ye are, never had the seven brethren been slain by you and your two fellows.	For certes had ye not been so wicked as ye are, never had the seven brethren been slain by you and your two fellows.	true	165.11	172.3	20
3228_4691_000002_000006	For Sir Galahad himself alone beat them all seven the day to-fore, but his living is such he shall slay no man lightly. Also I may say you the Castle of Maidens betokeneth the good souls that were in prison afore the Incarnation of Jesu Christ.	For Sir Galahad himself alone beat them all seven the day to fore, but his living is such he shall slay no man lightly. Also I may say you the Castle of Maidens betokeneth the good souls that were in prison afore the Incarnation of Jesu Christ.	true	172.37	187.36	21.157995
3228_4691_000002_000007	And the seven knights betoken the seven deadly sins that reigned that time in the world; and I may liken the good Galahad unto the son of the High Father, that lighted within a maid, and bought all the souls out of thrall, so did Sir Galahad deliver all the maidens out of the woful castle.	And the seven knights betoken the seven deadly sins that reigned that time in the world; and I may liken the good Galahad unto the son of the High Father, that lighted within a maid, and bought all the souls out of thrall, so did Sir Galahad deliver all the maidens out of the woful castle.	false	187.61	203.11	21
3228_4691_000003_000000	Now, Sir Gawaine, said the good man, thou must do penance for thy sin. Sir, what penance shall I do?	Now, Sir Gawaine, said the good man, thou must do penance for thy sin. Sir, what penance shall I do?	false	203.54	209.8	24.937523
3228_4691_000003_000001	Such as I will give, said the good man. Nay, said Sir Gawaine, I may do no penance; for we knights adventurous oft suffer great woe and pain.	Such as I will give, said the good man. Nay, said Sir Gawaine, I may do no penance; for we knights adventurous oft suffer great woe and pain.	false	209.96	217.93	25.047228
3228_4691_000003_000002	Well, said the good man, and then he held his peace.	Well, said the good man, and then he held his peace.	true	218.09	220.84	23.782051
3228_4691_000003_000003	And on the morn Sir Gawaine departed from the hermit, and betaught him unto God.	And on the morn Sir Gawaine departed from the hermit, and betaught him unto God.	false	221.09	225.345	21.500027
3228_4691_000003_000004	And by adventure he met with Sir Aglovale and Sir Griflet, two knights of the Table Round.	And by adventure he met with Sir Aglovale and Sir Griflet, two knights of the Table Round.	true	225.345	230.62	22.037313
3228_4691_000003_000005	And they two rode four days without finding of any adventure, and at the fifth day they departed. And everych held as fell them by adventure.	And they two rode four days without finding of any adventure, and at the fifth day they departed. And everych held as fell them by adventure.	true	230.75	238.39	23.385092
3228_4691_000003_000006	Here leaveth the tale of Sir Gawaine and his fellows, and speak we of Sir Galahad.	Here leaveth the tale of Sir Gawaine and his fellows, and speak we of Sir Galahad.	false	238.52	242.95	22.78049
3228_4691_000004_000000	CHAPTER XVII.	CHAPTER seventeen.	true	243.65	244.98	27.09612
3228_4691_000004_000001	How Sir Galahad met with Sir Launcelot and Sir Percivale, and smote them down, and departed from them.	How Sir Galahad met with Sir Launcelot and Sir Percivale, and smote them down, and departed from them.	false	244.98	245.25	-20
3228_4691_000005_000000	So when Sir Galahad was departed from the Castle of Maidens he rode till he came to a waste forest, and there he met with Sir Launcelot and Sir Percivale, but they knew him not, for he was new disguised.	So when Sir Galahad was departed from the Castle of Maidens he rode till he came to a waste forest, and there he met with Sir Launcelot and Sir Percivale, but they knew him not, for he was new disguised.	true	245.25	256.42	22.785727
3228_4691_000005_000001	Right so Sir Launcelot, his father, dressed his spear and brake it upon Sir Galahad, and Galahad smote him so again that he smote down horse and man.	Right so Sir Launcelot, his father, dressed his spear and brake it upon Sir Galahad, and Galahad smote him so again that he smote down horse and man.	true	256.46	264.52	22.40189
3228_4691_000005_000002	And then he drew his sword, and dressed him unto Sir Percivale, and smote him so on the helm, that it rove to the coif of steel; and had not the sword swerved Sir Percivale had been slain, and with the stroke he fell out of his saddle.	And then he drew his sword, and dressed him unto Sir Percivale, and smote him so on the helm, that it rove to the coif of steel; and had not the sword swerved Sir Percivale had been slain, and with the stroke he fell out of his saddle.	false	264.8	276.82	22.468178
3228_4691_000005_000003	This jousts was done to-fore the hermitage where a recluse dwelled.	This jousts was done to fore the hermitage where a recluse dwelled.	true	276.95	280.84	26.530735
3228_4691_000005_000004	And when she saw Sir Galahad ride, she said: God be with thee, best knight of the world.	And when she saw Sir Galahad ride, she said: God be with thee, best knight of the world.	true	280.85	286	22.127365
3228_4691_000005_000005	Ah certes, said she, all aloud that Launcelot and Percivale might hear it: An yonder two knights had known thee as well as I do they would not have encountered with thee.	Ah certes, said she, all aloud that Launcelot and Percivale might hear it: An yonder two knights had known thee as well as I do they would not have encountered with thee.	true	286.1	295.06	22.876284
3228_4691_000005_000006	Then Sir Galahad heard her say so he was adread to be known: therewith he smote his horse with his spurs and rode a great pace froward them.	Then Sir Galahad heard her say so he was adread to be known: therewith he smote his horse with his spurs and rode a great pace froward them.	false	295.43	303.78	21.303707
3228_4691_000005_000007	Then perceived they both that he was Galahad; and up they gat on their horses, and rode fast after him, but in a while he was out of their sight.	Then perceived they both that he was Galahad; and up they gat on their horses, and rode fast after him, but in a while he was out of their sight.	true	303.78	311.47	22.579058
3228_4691_000005_000008	And then they turned again with heavy cheer.	And then they turned again with heavy cheer.	true	311.51	313.75	25.88582
3228_4691_000005_000009	Let us spere some tidings, said Percivale, at yonder recluse.	Let us spere some tidings, said Percivale, at yonder recluse.	true	313.91	317.29	21.24529
3228_4691_000005_000010	Do as ye list, said Sir Launcelot.	Do as ye list, said Sir Launcelot.	true	317.36	319.45	18.949152
3228_4691_000006_000000	When Sir Percivale came to the recluse she knew him well enough, and Sir Launcelot both.	When Sir Percivale came to the recluse she knew him well enough, and Sir Launcelot both.	true	319.82	324.42	24.13188
3228_4691_000006_000001	But Sir Launcelot rode overthwart and endlong in a wild forest, and held no path but as wild adventure led him.	But Sir Launcelot rode overthwart and endlong in a wild forest, and held no path but as wild adventure led him.	true	324.42	331.15	23
3228_4691_000006_000002	And at the last he came to a stony cross which departed two ways in waste land; and by the cross was a stone that was of marble, but it was so dark that Sir Launcelot might not wit what it was.	And at the last he came to a stony cross which departed two ways in waste land; and by the cross was a stone that was of marble, but it was so dark that Sir Launcelot might not wit what it was.	false	331.43	341.71	22.29799
3228_4691_000006_000003	Then Sir Launcelot looked by him, and saw an old chapel, and there he weened to have found people; and Sir Launcelot tied his horse till a tree, and there he did off his shield and hung it upon a tree, and then went to the chapel door, and found it waste and broken.	Then Sir Launcelot looked by him, and saw an old chapel, and there he weened to have found people; and Sir Launcelot tied his horse till a tree, and there he did off his shield and hung it upon a tree, and then went to the chapel door, and found it waste and broken.	false	342.02	354.97	21.85251
3228_4691_000006_000004	And within he found a fair altar, full richly arrayed with cloth of clean silk, and there stood a fair clean candlestick, which bare six great candles, and the candlestick was of silver.	And within he found a fair altar, full richly arrayed with cloth of clean silk, and there stood a fair clean candlestick, which bare six great candles, and the candlestick was of silver.	true	355.07	366.28	26.490854
3228_4691_000006_000005	And when Sir Launcelot saw this light he had great will for to enter into the chapel, but he could find no place where he might enter; then was he passing heavy and dismayed.	And when Sir Launcelot saw this light he had great will for to enter into the chapel, but he could find no place where he might enter; then was he passing heavy and dismayed.	true	366.56	376.09	24.587006
3228_4691_000006_000006	Then he returned and came to his horse and did off his saddle and bridle, and let him pasture, and unlaced his helm, and ungirt his sword, and laid him down to sleep upon his shield to-fore the cross.	Then he returned and came to his horse and did off his saddle and bridle, and let him pasture, and unlaced his helm, and ungirt his sword, and laid him down to sleep upon his shield to fore the cross.	true	376.31	386.44	22
3228_4691_000007_000000	CHAPTER XVIII.	CHAPTER eighteen.	true	387.38	388.71	35.469997
3228_4691_000007_000001	How Sir Launcelot, half sleeping and half waking, saw a sick man borne in a litter, and how he was healed with the Sangreal.	How Sir Launcelot, half sleeping and half waking, saw a sick man borne in a litter, and how he was healed with the Sangreal.	false	388.71	389.31	54.75823
3228_4691_000008_000000	AND so he fell asleep; and half waking and sleeping he saw come by him two palfreys all fair and white, the which bare a litter, therein lying a sick knight.	AND so he fell asleep; and half waking and sleeping he saw come by him two palfreys all fair and white, the which bare a litter, therein lying a sick knight.	false	389.31	397.93	25.570906
3228_4691_000008_000001	And when he was nigh the cross he there abode still.	And when he was nigh the cross he there abode still.	true	398.39	401.44	21.152145
3228_4691_000008_000002	All this Sir Launcelot saw and beheld, for he slept not verily; and he heard him say: O sweet Lord, when shall this sorrow leave me? and when shall the holy vessel come by me, wherethrough I shall be blessed?	All this Sir Launcelot saw and beheld, for he slept not verily; and he heard him say: O sweet Lord, when shall this sorrow leave me? and when shall the holy vessel come by me, wherethrough I shall be blessed?	false	401.51	413.89	21.789907
3228_4691_000008_000003	For I have endured thus long, for little trespass.	For I have endured thus long, for little trespass.	true	414.17	417.16	17.11334
3228_4691_000008_000004	A full great while complained the knight thus, and always Sir Launcelot heard it.	A full great while complained the knight thus, and always Sir Launcelot heard it.	false	417.59	421.83	22.795294
3228_4691_000008_000005	With that Sir Launcelot saw the candlestick with the six tapers come before the cross, and he saw nobody that brought it.	With that Sir Launcelot saw the candlestick with the six tapers come before the cross, and he saw nobody that brought it.	true	421.83	428.08	27.50357
3228_4691_000008_000006	Also there came a table of silver, and the holy vessel of the Sangreal, which Launcelot had seen aforetime in King Pescheour's house.	Also there came a table of silver, and the holy vessel of the Sangreal, which Launcelot had seen aforetime in King Pescheour's house.	true	428.33	435.4	17
3228_4691_000008_000007	And therewith the sick knight set him up, and held up both his hands, and said: Fair sweet Lord, which is here within this holy vessel; take heed unto me that I may be whole of this malady. And therewith on his hands and on his knees he went so nigh that he touched the holy vessel and kissed it, and anon he was whole; and then he said: Lord God, I thank thee, for I am healed of this sickness.	And therewith the sick knight set him up, and held up both his hands, and said: Fair sweet Lord, which is here within this holy vessel; take heed unto me that I may be whole of this malady. And therewith on his hands and on his knees he went so nigh that he touched the holy vessel and kissed it, and anon he was whole; and then he said: Lord God, I thank thee, for I am healed of this sickness.	false	435.62	457.36	24.282421
3228_4691_000009_000000	So when the holy vessel had been there a great while it went unto the chapel with the chandelier and the light, so that Launcelot wist not where it was become; for he was overtaken with sin that he had no power to rise again the holy vessel; wherefore after that many men said of him shame, but he took repentance after that.	So when the holy vessel had been there a great while it went unto the chapel with the chandelier and the light, so that Launcelot wist not where it was become; for he was overtaken with sin that he had no power to rise again the holy vessel; wherefore after that many men said of him shame, but he took repentance after that.	false	457.67	475.93	23.104824
3228_4691_000009_000001	Then the sick knight dressed him up and kissed the cross; anon his squire brought him his arms, and asked his lord how he did.	Then the sick knight dressed him up and kissed the cross; anon his squire brought him his arms, and asked his lord how he did.	true	476.06	482.95	24.13644
3228_4691_000009_000002	Certes, said he, I thank God right well, through the holy vessel I am healed.	Certes, said he, I thank God right well, through the holy vessel I am healed.	true	483.05	487.9	23.944563
3228_4691_000009_000003	But I have marvel of this sleeping knight that had no power to awake when this holy vessel was brought hither.	But I have marvel of this sleeping knight that had no power to awake when this holy vessel was brought hither.	true	488.03	493.69	19.695429
3228_4691_000009_000004	I dare right well say, said the squire, that he dwelleth in some deadly sin whereof he was never confessed.	I dare right well say, said the squire, that he dwelleth in some deadly sin whereof he was never confessed.	true	493.91	499.93	22
3228_4691_000009_000005	By my faith, said the knight, whatsomever he be he is unhappy, for as I deem he is of the fellowship of the Round Table, the which is entered into the quest of the Sangreal. Sir, said the squire, here I have brought you all your arms save your helm and your sword, and therefore by mine assent now may ye take this knight's helm and his sword: and so he did.	By my faith, said the knight, whatsomever he be he is unhappy, for as I deem he is of the fellowship of the Round Table, the which is entered into the quest of the Sangreal. Sir, said the squire, here I have brought you all your arms save your helm and your sword, and therefore by mine assent now may ye take this knight's helm and his sword: and so he did.	false	500.27	520.96	23.973118
3228_4691_000009_000006	And when he was clean armed he took Sir Launcelot's horse, for he was better than his; and so departed they from the cross.	And when he was clean armed he took Sir Launcelot's horse, for he was better than his; and so departed they from the cross.	true	521.27	527.53	22.195208
3228_4691_000010_000000	CHAPTER XIX.	CHAPTER nineteen.	true	528.17	529.59	32.74378
3228_4691_000010_000001	How a voice spake to Sir Launcelot, and how he found his horse and his helm borne away, and after went afoot.	How a voice spake to Sir Launcelot, and how he found his horse and his helm borne away, and after went afoot.	false	529.59	530.055	8
3228_4691_000011_000000	THEN anon Sir Launcelot waked, and set him up, and bethought him what he had seen there, and whether it were dreams or not.	THEN anon Sir Launcelot waked, and set him up, and bethought him what he had seen there, and whether it were dreams or not.	true	530.055	536.83	22.336882
3228_4691_000011_000001	Right so heard he a voice that said: Sir Launcelot, more harder than is the stone, and more bitter than is the wood, and more naked and barer than is the leaf of the fig tree; therefore go thou from hence, and withdraw thee from this holy place.	Right so heard he a voice that said: Sir Launcelot, more harder than is the stone, and more bitter than is the wood, and more naked and barer than is the leaf of the fig tree; therefore go thou from hence, and withdraw thee from this holy place.	true	537.02	550.36	22.240076
3228_4691_000011_000002	And when Sir Launcelot heard this he was passing heavy and wist not what to do, and so departed sore weeping, and cursed the time that he was born.	And when Sir Launcelot heard this he was passing heavy and wist not what to do, and so departed sore weeping, and cursed the time that he was born.	true	550.61	558.25	21
3228_4691_000011_000003	For then he deemed never to have had worship more.	For then he deemed never to have had worship more.	true	558.44	561.4	20.837122
3228_4691_000011_000004	For those words went to his heart, till that he knew wherefore he was called so.	For those words went to his heart, till that he knew wherefore he was called so.	false	561.53	565.59	21
3228_4691_000011_000005	Then Sir Launcelot went to the cross and found his helm, his sword, and his horse taken away.	Then Sir Launcelot went to the cross and found his helm, his sword, and his horse taken away.	false	565.59	570.97	24.02531
3228_4691_000011_000006	And then he called himself a very wretch, and most unhappy of all knights; and there he said: My sin and my wickedness have brought me unto great dishonour.	And then he called himself a very wretch, and most unhappy of all knights; and there he said: My sin and my wickedness have brought me unto great dishonour.	true	571.13	579.49	24
3228_4691_000011_000007	For when I sought worldly adventures for worldly desires, I ever enchieved them and had the better in every place, and never was I discomfit in no quarrel, were it right or wrong.	For when I sought worldly adventures for worldly desires, I ever enchieved them and had the better in every place, and never was I discomfit in no quarrel, were it right or wrong.	true	579.71	590.05	21.668638
3228_4691_000011_000008	And now I take upon me the adventures of holy things, and now I see and understand that mine old sin hindereth me and shameth me, so that I had no power to stir nor speak when the holy blood appeared afore me.	And now I take upon me the adventures of holy things, and now I see and understand that mine old sin hindereth me and shameth me, so that I had no power to stir nor speak when the holy blood appeared afore me.	true	590.15	602.17	19
3228_4691_000011_000009	So thus he sorrowed till it was day, and heard the fowls sing: then somewhat he was comforted.	So thus he sorrowed till it was day, and heard the fowls sing: then somewhat he was comforted.	true	602.27	607.54	22.213783
3228_4691_000011_000010	But when Sir Launcelot missed his horse and his harness then he wist well God was displeased with him.	But when Sir Launcelot missed his horse and his harness then he wist well God was displeased with him.	true	607.85	613.03	20.302885
3228_4691_000012_000000	Then he departed from the cross on foot into a forest; and so by prime he came to an high hill, and found an hermitage and a hermit therein which was going unto mass.	Then he departed from the cross on foot into a forest; and so by prime he came to an high hill, and found an hermitage and a hermit therein which was going unto mass.	true	613.07	622.33	22
3228_4691_000012_000001	And then Launcelot kneeled down and cried on Our Lord mercy for his wicked works.	And then Launcelot kneeled down and cried on Our Lord mercy for his wicked works.	true	622.58	627.07	21
3228_4691_000012_000002	So when mass was done Launcelot called him, and prayed him for charity for to hear his life.	So when mass was done Launcelot called him, and prayed him for charity for to hear his life.	true	627.59	632.65	21.728437
3228_4691_000012_000003	With a good will, said the good man.	With a good will, said the good man.	true	633.11	635.11	23.148832
3228_4691_000012_000004	Sir, said he, be ye of King Arthur's court and of the fellowship of the Round Table?	Sir, said he, be ye of King Arthur's court and of the fellowship of the Round Table?	false	635.45	639.99	26.670189
3228_4691_000012_000005	Yea forsooth, and my name is Sir Launcelot du Lake that hath been right well said of, and now my good fortune is changed, for I am the most wretch of the world.	Yea forsooth, and my name is Sir Launcelot du Lake that hath been right well said of, and now my good fortune is changed, for I am the most wretch of the world.	false	639.99	649.39	23.192984
3228_4691_000012_000006	The hermit beheld him and had marvel how he was so abashed.	The hermit beheld him and had marvel how he was so abashed.	true	649.46	652.77	17.382826
3228_4691_000012_000007	Sir, said the hermit, ye ought to thank God more than any knight living, for He hath caused you to have more worldly worship than any knight that now liveth.	Sir, said the hermit, ye ought to thank God more than any knight living, for He hath caused you to have more worldly worship than any knight that now liveth.	false	652.77	660.975	23.42736
3228_4691_000012_000008	And for your presumption to take upon you in deadly sin for to be in His presence, where His flesh and His blood was, that caused you ye might not see it with worldly eyes; for He will not appear where such sinners be, but if it be unto their great hurt and unto their great shame; and there is no knight living now that ought to give God so great thank as ye, for He hath given you beauty, seemliness, and great strength above all other knights; and therefore ye are the more beholding unto God than any other man, to love Him and dread Him, for your strength and manhood will little avail you an God be against you.	And for your presumption to take upon you in deadly sin for to be in His presence, where His flesh and His blood was, that caused you ye might not see it with worldly eyes; for He will not appear where such sinners be, but if it be unto their great hurt and unto their great shame; and there is no knight living now that ought to give God so great thank as ye, for He hath given you beauty, seemliness, and great strength above all other knights; and therefore ye are the more beholding unto God than any other man, to love Him and dread Him, for your strength and manhood will little avail you an God be against you.	false	660.975	694.45	23.439592
3228_4691_000013_000000	CHAPTER XX.	CHAPTER twenty.	true	694.91	696	33.866425
3228_4691_000013_000001	How Sir Launcelot was shriven, and what sorrow he made and of the good ensamples which were shewed him.	How Sir Launcelot was shriven, and what sorrow he made and of the good ensamples which were shewed him.	false	696	696.465	5
3228_4691_000014_000000	THEN Sir Launcelot wept with heavy cheer, and said: Now I know well ye say me sooth.	THEN Sir Launcelot wept with heavy cheer, and said: Now I know well ye say me sooth.	true	696.465	701.71	22.25399
3228_4691_000014_000001	Sir, said the good man, hide none old sin from me.	Sir, said the good man, hide none old sin from me.	true	701.84	704.98	23.893312
3228_4691_000014_000002	Truly, said Sir Launcelot, that were me full loath to discover.	Truly, said Sir Launcelot, that were me full loath to discover.	true	705.23	708.85	23.64059
3228_4691_000014_000003	For this fourteen year I never discovered one thing that I have used, and that may I now wite my shame and my disadventure.	For this fourteen year I never discovered one thing that I have used, and that may I now wite my shame and my disadventure.	true	709.13	716.38	21.930542
3228_4691_000014_000004	And then he told there that good man all his life.	And then he told there that good man all his life.	true	716.72	719.94	24.96638
3228_4691_000014_000005	And how he had loved a queen unmeasurably and out of measure long.	And how he had loved a queen unmeasurably and out of measure long.	true	719.94	723.7	17.82695
3228_4691_000014_000006	And all my great deeds of arms that I have done, I did for the most part for the queen's sake, and for her sake would I do battle were it right or wrong, and never did I battle all only for God's sake, but for to win worship and to cause me to be the better beloved and little or nought I thanked God of it.	And all my great deeds of arms that I have done, I did for the most part for the queen's sake, and for her sake would I do battle were it right or wrong, and never did I battle all only for God's sake, but for to win worship and to cause me to be the better beloved and little or nought I thanked God of it.	false	723.83	739.45	24.14367
3228_4691_000014_000007	Then Sir Launcelot said: I pray you counsel me.	Then Sir Launcelot said: I pray you counsel me.	true	739.73	742.66	27.329819
3228_4691_000014_000008	I will counsel you, said the hermit, if ye will ensure me that ye will never come in that queen's fellowship as much as ye may forbear.	I will counsel you, said the hermit, if ye will ensure me that ye will never come in that queen's fellowship as much as ye may forbear.	false	742.94	749.74	20.700079
3228_4691_000014_000009	And then Sir Launcelot promised him he nold, by the faith of his body.	And then Sir Launcelot promised him he nold, by the faith of his body.	true	750.17	754.12	24.146894
3228_4691_000014_000010	Look that your heart and your mouth accord, said the good man, and I shall ensure you ye shall have more worship than ever ye had.	Look that your heart and your mouth accord, said the good man, and I shall ensure you ye shall have more worship than ever ye had.	false	754.52	761.26	22.607683
3228_4691_000015_000000	Holy father, said Sir Launcelot, I marvel of the voice that said to me marvellous words, as ye have heard to-forehand.	Holy father, said Sir Launcelot, I marvel of the voice that said to me marvellous words, as ye have heard to forehand.	true	761.3	768.07	22.183382
3228_4691_000015_000001	Have ye no marvel, said the good man thereof, for it seemeth well God loveth you; for men may understand a stone is hard of kind, and namely one more than another; and that is to understand by thee, Sir Launcelot, for thou wilt not leave thy sin for no goodness that God hath sent thee; therefore thou art more than any stone, and never wouldst thou be made nesh nor by water nor by fire, and that is the heat of the Holy Ghost may not enter in thee.	Have ye no marvel, said the good man thereof, for it seemeth well God loveth you; for men may understand a stone is hard of kind, and namely one more than another; and that is to understand by thee, Sir Launcelot, for thou wilt not leave thy sin for no goodness that God hath sent thee; therefore thou art more than any stone, and never wouldst thou be made nesh nor by water nor by fire, and that is the heat of the Holy Ghost may not enter in thee.	false	768.17	793.62	22.206078
3228_4691_000015_000002	Now take heed, in all the world men shall not find one knight to whom Our Lord hath given so much of grace as He hath given you, for He hath given you fairness with seemliness, He hath given thee wit, discretion to know good from evil, He hath given thee prowess and hardiness, and given thee to work so largely that thou hast had at all days the better wheresomever thou came; and now Our Lord will suffer thee no longer, but that thou shalt know Him whether thou wilt or nylt. And why the voice called thee bitterer than wood, for where overmuch sin dwelleth, there may be but little sweetness, wherefore thou art likened to an old rotten tree.	Now take heed, in all the world men shall not find one knight to whom Our Lord hath given so much of grace as He hath given you, for He hath given you fairness with seemliness, He hath given thee wit, discretion to know good from evil, He hath given thee prowess and hardiness, and given thee to work so largely that thou hast had at all days the better wheresomever thou came; and now Our Lord will suffer thee no longer, but that thou shalt know Him whether thou wilt or n y l t. And why the voice called thee bitterer than wood, for where overmuch sin dwelleth, there may be but little sweetness, wherefore thou art likened to an old rotten tree.	false	793.62	829.99	23.19431
3228_4691_000016_000000	Now have I shewed thee why thou art harder than the stone and bitterer than the tree.	Now have I shewed thee why thou art harder than the stone and bitterer than the tree.	false	830.27	834.88	18
3228_4691_000016_000001	Now shall I shew thee why thou art more naked and barer than the fig tree.	Now shall I shew thee why thou art more naked and barer than the fig tree.	true	834.98	839.02	22
3228_4691_000016_000002	It befell that Our Lord on Palm Sunday preached in Jerusalem, and there He found in the people that all hardness was harboured in them, and there He found in all the town not one that would harbour him.	It befell that Our Lord on Palm Sunday preached in Jerusalem, and there He found in the people that all hardness was harboured in them, and there He found in all the town not one that would harbour him.	true	839.3	849.46	21
3228_4691_000016_000003	And then He went without the town, and found in midst of the way a fig tree, the which was right fair and well garnished of leaves, but fruit had it none.	And then He went without the town, and found in midst of the way a fig tree, the which was right fair and well garnished of leaves, but fruit had it none.	true	849.71	857.65	24.991768
3228_4691_000016_000004	Then Our Lord cursed the tree that bare no fruit; that betokeneth the fig tree unto Jerusalem, that had leaves and no fruit.	Then Our Lord cursed the tree that bare no fruit; that betokeneth the fig tree unto Jerusalem, that had leaves and no fruit.	true	857.87	864.795	24.699781
3228_4691_000016_000005	So thou, Sir Launcelot, when the Holy Grail was brought afore thee, He found in thee no fruit, nor good thought nor good will, and defouled with lechery.	So thou, Sir Launcelot, when the Holy Grail was brought afore thee, He found in thee no fruit, nor good thought nor good will, and defouled with lechery.	false	864.795	873.31	24.924763
