2229_152864_000000_000000	"A man can do nothing he is not fit to do.--See! did I not tell you Mara would do her part?"	"A man can do nothing he is not fit to do.--See! did I not tell you Mara would do her part?"	false	0	4.71	19.280151
2229_152864_000010_000002	To my ears came presently the drumming of swift, soft-galloping hoofs, and in a minute or two, out of the very disc of the moon, low-thundered the terrible horse.	To my ears came presently the drumming of swift, soft galloping hoofs, and in a minute or two, out of the very disc of the moon, low thundered the terrible horse.	true	125.19	136	21.46523
2229_152864_000010_000003	His mane flowed away behind him like the crest of a wind-fighting wave, torn seaward in hoary spray, and the whisk of his tail kept blinding the eye of the moon.	His mane flowed away behind him like the crest of a wind fighting wave, torn seaward in hoary spray, and the whisk of his tail kept blinding the eye of the moon.	true	136.43	146.86	21.342638
2229_152864_000010_000004	Nineteen hands he seemed, huge of bone, tight of skin, hard of muscle--a steed the holy Death himself might choose on which to ride abroad and slay!	Nineteen hands he seemed, huge of bone, tight of skin, hard of muscle-a steed the holy Death himself might choose on which to ride abroad and slay!	true	147.5	158.8	20.106852
2229_152864_000010_000005	The moon seemed to regard him with awe; in her scary light he looked a very skeleton, loosely roped together.	The moon seemed to regard him with awe; in her scary light he looked a very skeleton, loosely roped together.	false	160.85	167.89	24.968143
2229_152864_000010_000006	Terrifically large, he moved with the lightness of a winged insect.	Terrifically large, he moved with the lightness of a winged insect.	true	168.08	172.39	22.95322
2229_152864_000010_000007	As he drew near, his speed slackened, and his mane and tail drifted about him settling.	As he drew near, his speed slackened, and his mane and tail drifted about him settling.	true	173.21	179.32	21.015224
2229_152864_000011_000000	Now I was not merely a lover of horses, but I loved every horse I saw. I had never spent money except upon horses, and had never sold a horse. The sight of this mighty one, terrible to look at, woke in me longing to possess him.	Now I was not merely a lover of horses, but I loved every horse I saw. I had never spent money except upon horses, and had never sold a horse. The sight of this mighty one, terrible to look at, woke in me longing to possess him.	true	181.31	197.26	19.140804
2229_152864_000011_000001	It was pure greed, nay, rank covetousness, an evil thing in all the worlds.	It was pure greed, nay, rank covetousness, an evil thing in all the worlds.	true	197.75	202.87	22.557333
2229_152864_000011_000002	I do not mean that I could have stolen him, but that, regardless of his proper place, I would have bought him if I could.	I do not mean that I could have stolen him, but that, regardless of his proper place, I would have bought him if I could.	true	203.36	209.86	21.610247
2229_152864_000011_000003	I laid my hands on him, and stroked the protuberant bones that humped a hide smooth and thin, and shiny as satin--so shiny that the very shape of the moon was reflected in it; I fondled his sharp-pointed ears, whispered words in them, and breathed into his red nostrils the breath of a man's life.	I laid my hands on him, and stroked the protuberant bones that humped a hide smooth and thin, and shiny as satin-so shiny that the very shape of the moon was reflected in it; I fondled his sharp pointed ears, whispered words in them, and breathed into his red nostrils the breath of a man's life.	true	210.74	229.21	20.147127
2229_152864_000011_000004	He in return breathed into mine the breath of a horse's life, and we loved one another.	He in return breathed into mine the breath of a horse's life, and we loved one another.	true	230.63	235.9	19.613676
2229_152864_000011_000005	What eyes he had!	What eyes he had!	true	236.54	237.84	20.229795
2229_152864_000011_000006	Blue-filmy like the eyes of the dead, behind each was a glowing coal!	Blue filmy like the eyes of the dead, behind each was a glowing coal!	true	237.84	242.53	22.596087
2229_152864_000011_000007	The raven, with wings half extended, looked on pleased at my love-making to his magnificent horse.	The raven, with wings half extended, looked on pleased at my love making to his magnificent horse.	true	243.2	249.49	19.363216
2229_152864_000012_000000	"That is well! be friends with him," he said: "he will carry you all the better to-morrow!--Now we must hurry home!"	"That is well! be friends with him," he said: "he will carry you all the better to morrow!--Now we must hurry home!"	false	251.3	258.16	21.077423
2229_152864_000013_000000	My desire to ride the horse had grown passionate.	My desire to ride the horse had grown passionate.	true	259.16	261.9	19.794884
2229_152864_000014_000000	"May I not mount him at once, Mr. Raven?" I cried.	"May I not mount him at once, mr Raven?" I cried.	false	261.9	265.51	20.953592
2229_152864_000015_000000	"By all means!" he answered.	"By all means!" he answered.	true	265.67	267.19	21.811367
2229_152864_000015_000001	"Mount, and ride him home."	"Mount, and ride him home."	true	267.23	269.23	18.264507
2229_152864_000016_000000	The horse bent his head over my shoulder lovingly.	The horse bent his head over my shoulder lovingly.	true	270.95	273.55	16.845829
2229_152864_000016_000001	I twisted my hands in his mane and scrambled onto his back, not without aid from certain protuberant bones.	I twisted my hands in his mane and scrambled onto his back, not without aid from certain protuberant bones.	true	273.86	280.24	20.700365
2229_152864_000017_000000	"He would outspeed any leopard in creation!" I cried.	"He would outspeed any leopard in creation!" I cried.	true	281.81	284.68	25
2229_152864_000018_000000	"Not that way at night," answered the raven; "the road is difficult.--But come; loss now will be gain then!	"Not that way at night," answered the raven; "the road is difficult.--But come; loss now will be gain then!	true	286.22	293.88	21.987
2229_152864_000018_000001	To wait is harder than to run, and its meed is the fuller.	To wait is harder than to run, and its meed is the fuller.	true	293.88	297.76	19.707672
2229_152864_000018_000002	Go on, my son--straight to the cottage.	Go on, my son-straight to the cottage.	true	298.55	300.82	22.224897
2229_152864_000018_000003	I shall be there as soon as you.	I shall be there as soon as you.	true	300.86	302.68	17.155363
2229_152864_000018_000004	It will rejoice my wife's heart to see son of hers on that horse!"	It will rejoice my wife's heart to see son of hers on that horse!"	true	303.11	306.91	20.197952
2229_152864_000019_000000	I sat silent.	I sat silent.	true	308.42	309.88	23.111116
2229_152864_000019_000001	The horse stood like a block of marble.	The horse stood like a block of marble.	true	310.25	312.61	26.890406
2229_152864_000020_000000	"Why do you linger?" asked the raven.	"Why do you linger?" asked the raven.	true	312.92	315.16	23.046137
2229_152864_000021_000000	"I long so much to ride after the leopardess," I answered, "that I can scarce restrain myself!"	"I long so much to ride after the leopardess," I answered, "that I can scarce restrain myself!"	true	315.83	321.28	23.205463
2229_152864_000022_000000	"You have promised!"	"You have promised!"	true	322.07	323.65	25.444761
2229_152864_000023_000000	"My debt to the Little Ones appears, I confess, a greater thing than my bond to you."	"My debt to the Little Ones appears, I confess, a greater thing than my bond to you."	true	324.47	329.23	19
2229_152864_000024_000000	"Yield to the temptation and you will bring mischief upon them--and on yourself also."	"Yield to the temptation and you will bring mischief upon them-and on yourself also."	true	330.86	335.5	21.622429
2229_152864_000025_000000	"What matters it for me?	"What matters it for me?	false	336.83	338.37	25.479046
2229_152864_000025_000001	I love them; and love works no evil.	I love them; and love works no evil.	true	338.37	340.9	18
2229_152864_000025_000002	I will go."	I will go."	true	341.06	341.98	24.300537
2229_152864_000026_000000	But the truth was, I forgot the children, infatuate with the horse.	But the truth was, I forgot the children, infatuate with the horse.	true	343.13	347.92	21.996202
2229_152864_000027_000000	Eyes flashed through the darkness, and I knew that Adam stood in his own shape beside me.	Eyes flashed through the darkness, and I knew that Adam stood in his own shape beside me.	true	348.71	353.5	18
2229_152864_000027_000001	I knew also by his voice that he repressed an indignation almost too strong for him.	I knew also by his voice that he repressed an indignation almost too strong for him.	true	353.54	358.81	19.487904
2229_152864_000028_000000	"Mr. Vane," he said, "do you not know why you have not yet done anything worth doing?"	"mr Vane," he said, "do you not know why you have not yet done anything worth doing?"	true	360.11	365.35	20
2229_152864_000029_000000	"Because I have been a fool," I answered.	"Because I have been a fool," I answered.	true	366.53	368.95	21.612284
2229_152864_000030_000000	"Wherein?"	"Wherein?"	true	369.77	370.6	19.50031
2229_152864_000031_000000	"In everything."	"In everything."	true	371.69	372.97	23.359539
2229_152864_000032_000000	"Which do you count your most indiscreet action?"	"Which do you count your most indiscreet action?"	true	374.21	377.17	24.677204
2229_152864_000033_000000	"Bringing the princess to life: I ought to have left her to her just fate."	"Bringing the princess to life: I ought to have left her to her just fate."	true	378.56	382.78	24.568449
2229_152864_000034_000000	"Nay, now you talk foolishly!	"Nay, now you talk foolishly!	true	384.56	386.52	23.591148
2229_152864_000034_000001	You could not have done otherwise than you did, not knowing she was evil!--But you never brought any one to life! How could you, yourself dead?"	You could not have done otherwise than you did, not knowing she was evil!--But you never brought any one to life! How could you, yourself dead?"	true	386.52	395.29	20.764555
2229_152864_000035_000000	"I dead?" I cried.	"I dead?" I cried.	true	396.17	398.35	19.278997
2229_152864_000036_000000	"Yes," he answered; "and you will be dead, so long as you refuse to die."	"Yes," he answered; "and you will be dead, so long as you refuse to die."	true	398.48	403.09	21.103859
2229_152864_000037_000000	"Back to the old riddling!" I returned scornfully.	"Back to the old riddling!" I returned scornfully.	true	404	406.9	22.09888
2229_152864_000038_000000	"Be persuaded, and go home with me," he continued gently.	"Be persuaded, and go home with me," he continued gently.	true	407.48	411.13	20.96605
2229_152864_000038_000001	"The most--nearly the only foolish thing you ever did, was to run from our dead."	"The most-nearly the only foolish thing you ever did, was to run from our dead."	true	411.44	416.68	22.510696
2229_152864_000039_000000	I pressed the horse's ribs, and he was off like a sudden wind.	I pressed the horse's ribs, and he was off like a sudden wind.	true	417.77	421.54	18.896723
2229_152864_000039_000001	I gave him a pat on the side of the neck, and he went about in a sharp-driven curve, "close to the ground, like a cat when scratchingly she wheels about after a mouse," leaning sideways till his mane swept the tops of the heather.	I gave him a pat on the side of the neck, and he went about in a sharp driven curve, "close to the ground, like a cat when scratchingly she wheels about after a mouse," leaning sideways till his mane swept the tops of the heather.	true	421.82	434.17	22.565687
2229_152864_000040_000000	Through the dark I heard the wings of the raven.	Through the dark I heard the wings of the raven.	true	435.68	438.46	22
2229_152864_000040_000001	Five quick flaps I heard, and he perched on the horse's head.	Five quick flaps I heard, and he perched on the horse's head.	true	438.65	442.3	23.952665
2229_152864_000040_000002	The horse checked himself instantly, ploughing up the ground with his feet.	The horse checked himself instantly, ploughing up the ground with his feet.	true	442.79	447.16	26.101597
2229_152864_000041_000000	"Mr. Vane," croaked the raven, "think what you are doing!	"mr Vane," croaked the raven, "think what you are doing!	true	448.16	451.87	20.325516
2229_152864_000041_000001	Twice already has evil befallen you--once from fear, and once from heedlessness: breach of word is far worse; it is a crime."	Twice already has evil befallen you-once from fear, and once from heedlessness: breach of word is far worse; it is a crime."	true	452.03	461.86	20.73147
2229_152864_000042_000000	"The Little Ones are in frightful peril, and I brought it upon them!" I cried.	"The Little Ones are in frightful peril, and I brought it upon them!" I cried.	true	463.19	468.1	18.1912
2229_152864_000042_000001	"--But indeed I will not break my word to you.	"--But indeed I will not break my word to you.	true	468.83	472.18	22.88166
2229_152864_000042_000002	I will return, and spend in your house what nights--what days--what years you please."	I will return, and spend in your house what nights-what days-what years you please."	true	472.34	478.03	22.767572
2229_152864_000043_000000	"I tell you once more you will do them other than good if you go to-night," he insisted.	"I tell you once more you will do them other than good if you go to night," he insisted.	true	479.51	485.41	19.193602
2229_152864_000044_000000	But a false sense of power, a sense which had no root and was merely vibrated into me from the strength of the horse, had, alas, rendered me too stupid to listen to anything he said!	But a false sense of power, a sense which had no root and was merely vibrated into me from the strength of the horse, had, alas, rendered me too stupid to listen to anything he said!	true	486.26	497.98	21.318155
2229_152864_000045_000000	"Would you take from me my last chance of reparation?" I cried.	"Would you take from me my last chance of reparation?" I cried.	true	499.28	503.14	21
2229_152864_000045_000001	"This time there shall be no shirking!	"This time there shall be no shirking!	true	503.27	505.36	23.316675
2229_152864_000045_000002	It is my duty, and I will go--if I perish for it!"	It is my duty, and I will go-if I perish for it!"	true	505.52	509.2	21.521933
2229_152864_000046_000000	"Go, then, foolish boy!" he returned, with anger in his croak.	"Go, then, foolish boy!" he returned, with anger in his croak.	true	510.68	515.13	20.864231
2229_152864_000046_000001	"Take the horse, and ride to failure!	"Take the horse, and ride to failure!	true	515.13	517.39	23.021252
2229_152864_000046_000002	May it be to humility!"	May it be to humility!"	true	517.85	519.52	23.124725
2229_152864_000047_000000	He spread his wings and flew.	He spread his wings and flew.	true	520.55	522.94	20.49034
2229_152864_000047_000001	Again I pressed the lean ribs under me.	Again I pressed the lean ribs under me.	true	523.28	526.06	22.416954
2229_152864_000048_000000	"After the spotted leopardess!" I whispered in his ear.	"After the spotted leopardess!" I whispered in his ear.	true	527.21	530.89	20.973515
2229_152864_000049_000000	He turned his head this way and that, snuffing the air; then started, and went a few paces in a slow, undecided walk.	He turned his head this way and that, snuffing the air; then started, and went a few paces in a slow, undecided walk.	true	531.02	538.66	18.256565
2229_152864_000049_000001	Suddenly he quickened his walk; broke into a trot; began to gallop, and in a few moments his speed was tremendous.	Suddenly he quickened his walk; broke into a trot; began to gallop, and in a few moments his speed was tremendous.	true	539.27	546.19	23.35414
2229_152864_000049_000002	He seemed to see in the dark; never stumbled, not once faltered, not once hesitated.	He seemed to see in the dark; never stumbled, not once faltered, not once hesitated.	true	546.68	552.4	25.332489
2229_152864_000049_000003	I sat as on the ridge of a wave.	I sat as on the ridge of a wave.	true	552.83	555.46	20.940157
2229_152864_000049_000004	I felt under me the play of each individual muscle: his joints were so elastic, and his every movement glided so into the next, that not once did he jar me.	I felt under me the play of each individual muscle: his joints were so elastic, and his every movement glided so into the next, that not once did he jar me.	true	555.65	565.6	20.427229
2229_152864_000049_000005	His growing swiftness bore him along until he flew rather than ran.	His growing swiftness bore him along until he flew rather than ran.	true	566.33	570.73	18.050352
2229_152864_000049_000006	The wind met and passed us like a tornado.	The wind met and passed us like a tornado.	true	571.19	574.21	20.33952
2229_152864_000050_000000	Across the evil hollow we sped like a bolt from an arblast.	Across the evil hollow we sped like a bolt from an arblast.	true	576.41	579.97	21.557325
2229_152864_000050_000001	No monster lifted its neck; all knew the hoofs that thundered over their heads!	No monster lifted its neck; all knew the hoofs that thundered over their heads!	true	580.79	586.18	21.436539
2229_152864_000050_000002	We rushed up the hills, we shot down their farther slopes; from the rocky chasms of the river-bed he did not swerve; he held on over them his fierce, terrible gallop.	We rushed up the hills, we shot down their farther slopes; from the rocky chasms of the river bed he did not swerve; he held on over them his fierce, terrible gallop.	true	586.73	596.98	22.019838
2229_152864_000050_000003	The moon, half-way up the heaven, gazed with a solemn trouble in her pale countenance.	The moon, half-way up the heaven, gazed with a solemn trouble in her pale countenance.	true	597.2	602.41	24.710814
2229_152864_000050_000004	Rejoicing in the power of my steed and in the pride of my life, I sat like a king and rode.	Rejoicing in the power of my steed and in the pride of my life, I sat like a king and rode.	true	602.96	609.37	21.989328
2229_152864_000051_000000	We were near the middle of the many channels, my horse every other moment clearing one, sometimes two in his stride, and now and then gathering himself for a great bounding leap, when the moon reached the key-stone of her arch.	We were near the middle of the many channels, my horse every other moment clearing one, sometimes two in his stride, and now and then gathering himself for a great bounding leap, when the moon reached the key stone of her arch.	true	610.76	624.31	21.747417
2229_152864_000051_000001	Then came a wonder and a terror: she began to descend rolling like the nave of Fortune's wheel bowled by the gods, and went faster and faster.	Then came a wonder and a terror: she began to descend rolling like the nave of Fortune's wheel bowled by the gods, and went faster and faster.	true	624.92	635.2	21.683975
2229_152864_000051_000002	Like our own moon, this one had a human face, and now the broad forehead now the chin was uppermost as she rolled.	Like our own moon, this one had a human face, and now the broad forehead now the chin was uppermost as she rolled.	true	635.78	643.72	20.124588
2229_152864_000051_000003	I gazed aghast.	I gazed aghast.	true	644.24	645.7	23.556492
2229_152864_000052_000000	Across the ravines came the howling of wolves.	Across the ravines came the howling of wolves.	true	647.81	651.13	21
2229_152864_000052_000001	An ugly fear began to invade the hollow places of my heart; my confidence was on the wane!	An ugly fear began to invade the hollow places of my heart; my confidence was on the wane!	true	651.44	657.16	19.894033
2229_152864_000052_000002	The horse maintained his headlong swiftness, with ears pricked forward, and thirsty nostrils exulting in the wind his career created.	The horse maintained his headlong swiftness, with ears pricked forward, and thirsty nostrils exulting in the wind his career created.	true	657.47	665.47	22
2229_152864_000052_000003	But there was the moon jolting like an old chariot-wheel down the hill of heaven, with awful boding!	But there was the moon jolting like an old chariot wheel down the hill of heaven, with awful boding!	true	666.62	672.52	22.535421
2229_152864_000052_000004	She rolled at last over the horizon-edge and disappeared, carrying all her light with her.	She rolled at last over the horizon edge and disappeared, carrying all her light with her.	true	672.92	679.06	19.91411
2229_152864_000053_000000	The mighty steed was in the act of clearing a wide shallow channel when we were caught in the net of the darkness.	The mighty steed was in the act of clearing a wide shallow channel when we were caught in the net of the darkness.	true	680.54	686.92	23.428795
2229_152864_000053_000001	His head dropped; its impetus carried his helpless bulk across, but he fell in a heap on the margin, and where he fell he lay.	His head dropped; its impetus carried his helpless bulk across, but he fell in a heap on the margin, and where he fell he lay.	false	687.32	696.61	21.618038
2229_152864_000053_000002	I got up, kneeled beside him, and felt him all over.	I got up, kneeled beside him, and felt him all over.	true	697.85	701.92	21.342976
2229_152864_000053_000003	Not a bone could I find broken, but he was a horse no more.	Not a bone could I find broken, but he was a horse no more.	true	702.89	707.47	23.347296
2229_152864_000053_000004	I sat down on the body, and buried my face in my hands.	I sat down on the body, and buried my face in my hands.	false	709.43	728.85	17.338167
