2229_152864_000005_000001	THE SEXTON'S OLD HORSE	THE SEXTON'S OLD HORSE
2229_152864_000010_000004	Nineteen hands he seemed, huge of bone, tight of skin, hard of muscle--a steed the holy Death himself might choose on which to ride abroad and slay!	Nineteen hands he seemed, huge of bone, tight of skin, hard of muscle-a steed the holy Death himself might choose on which to ride abroad and slay!
2229_152864_000010_000006	Terrifically large, he moved with the lightness of a winged insect.	Terrifically large, he moved with the lightness of a winged insect.
2229_152864_000010_000007	As he drew near, his speed slackened, and his mane and tail drifted about him settling.	As he drew near, his speed slackened, and his mane and tail drifted about him settling.
2229_152864_000011_000001	It was pure greed, nay, rank covetousness, an evil thing in all the worlds.	It was pure greed, nay, rank covetousness, an evil thing in all the worlds.
2229_152864_000011_000002	I do not mean that I could have stolen him, but that, regardless of his proper place, I would have bought him if I could.	I do not mean that I could have stolen him, but that, regardless of his proper place, I would have bought him if I could.
2229_152864_000011_000003	I laid my hands on him, and stroked the protuberant bones that humped a hide smooth and thin, and shiny as satin--so shiny that the very shape of the moon was reflected in it; I fondled his sharp-pointed ears, whispered words in them, and breathed into his red nostrils the breath of a man's life.	I laid my hands on him, and stroked the protuberant bones that humped a hide smooth and thin, and shiny as satin-so shiny that the very shape of the moon was reflected in it; I fondled his sharp pointed ears, whispered words in them, and breathed into his red nostrils the breath of a man's life.
2229_152864_000011_000005	What eyes he had!	What eyes he had!
2229_152864_000011_000006	Blue-filmy like the eyes of the dead, behind each was a glowing coal!	Blue filmy like the eyes of the dead, behind each was a glowing coal!
2229_152864_000015_000000	"By all means!" he answered.	"By all means!" he answered.
2229_152864_000016_000001	I twisted my hands in his mane and scrambled onto his back, not without aid from certain protuberant bones.	I twisted my hands in his mane and scrambled onto his back, not without aid from certain protuberant bones.
2229_152864_000017_000000	"He would outspeed any leopard in creation!" I cried.	"He would outspeed any leopard in creation!" I cried.
2229_152864_000018_000000	"Not that way at night," answered the raven; "the road is difficult.--But come; loss now will be gain then!	"Not that way at night," answered the raven; "the road is difficult.--But come; loss now will be gain then!
2229_152864_000018_000002	Go on, my son--straight to the cottage.	Go on, my son-straight to the cottage.
2229_152864_000018_000004	It will rejoice my wife's heart to see son of hers on that horse!"	It will rejoice my wife's heart to see son of hers on that horse!"
2229_152864_000019_000000	I sat silent.	I sat silent.
2229_152864_000019_000001	The horse stood like a block of marble.	The horse stood like a block of marble.
2229_152864_000020_000000	"Why do you linger?" asked the raven.	"Why do you linger?" asked the raven.
2229_152864_000021_000000	"I long so much to ride after the leopardess," I answered, "that I can scarce restrain myself!"	"I long so much to ride after the leopardess," I answered, "that I can scarce restrain myself!"
2229_152864_000022_000000	"You have promised!"	"You have promised!"
2229_152864_000024_000000	"Yield to the temptation and you will bring mischief upon them--and on yourself also."	"Yield to the temptation and you will bring mischief upon them-and on yourself also."
2229_152864_000025_000002	I will go."	I will go."
2229_152864_000026_000000	But the truth was, I forgot the children, infatuate with the horse.	But the truth was, I forgot the children, infatuate with the horse.
2229_152864_000028_000000	"Mr. Vane," he said, "do you not know why you have not yet done anything worth doing?"	"mr Vane," he said, "do you not know why you have not yet done anything worth doing?"
2229_152864_000029_000000	"Because I have been a fool," I answered.	"Because I have been a fool," I answered.
2229_152864_000031_000000	"In everything."	"In everything."
2229_152864_000032_000000	"Which do you count your most indiscreet action?"	"Which do you count your most indiscreet action?"
2229_152864_000033_000000	"Bringing the princess to life: I ought to have left her to her just fate."	"Bringing the princess to life: I ought to have left her to her just fate."
2229_152864_000034_000000	"Nay, now you talk foolishly!	"Nay, now you talk foolishly!
2229_152864_000034_000001	You could not have done otherwise than you did, not knowing she was evil!--But you never brought any one to life! How could you, yourself dead?"	You could not have done otherwise than you did, not knowing she was evil!--But you never brought any one to life! How could you, yourself dead?"
2229_152864_000036_000000	"Yes," he answered; "and you will be dead, so long as you refuse to die."	"Yes," he answered; "and you will be dead, so long as you refuse to die."
2229_152864_000037_000000	"Back to the old riddling!" I returned scornfully.	"Back to the old riddling!" I returned scornfully.
2229_152864_000038_000000	"Be persuaded, and go home with me," he continued gently.	"Be persuaded, and go home with me," he continued gently.
2229_152864_000038_000001	"The most--nearly the only foolish thing you ever did, was to run from our dead."	"The most-nearly the only foolish thing you ever did, was to run from our dead."
2229_152864_000039_000001	I gave him a pat on the side of the neck, and he went about in a sharp-driven curve, "close to the ground, like a cat when scratchingly she wheels about after a mouse," leaning sideways till his mane swept the tops of the heather.	I gave him a pat on the side of the neck, and he went about in a sharp driven curve, "close to the ground, like a cat when scratchingly she wheels about after a mouse," leaning sideways till his mane swept the tops of the heather.
2229_152864_000040_000000	Through the dark I heard the wings of the raven.	Through the dark I heard the wings of the raven.
2229_152864_000040_000001	Five quick flaps I heard, and he perched on the horse's head.	Five quick flaps I heard, and he perched on the horse's head.
2229_152864_000040_000002	The horse checked himself instantly, ploughing up the ground with his feet.	The horse checked himself instantly, ploughing up the ground with his feet.
2229_152864_000041_000000	"Mr. Vane," croaked the raven, "think what you are doing!	"mr Vane," croaked the raven, "think what you are doing!
2229_152864_000041_000001	Twice already has evil befallen you--once from fear, and once from heedlessness: breach of word is far worse; it is a crime."	Twice already has evil befallen you-once from fear, and once from heedlessness: breach of word is far worse; it is a crime."
2229_152864_000042_000001	"--But indeed I will not break my word to you.	"--But indeed I will not break my word to you.
2229_152864_000042_000002	I will return, and spend in your house what nights--what days--what years you please."	I will return, and spend in your house what nights-what days-what years you please."
2229_152864_000044_000000	But a false sense of power, a sense which had no root and was merely vibrated into me from the strength of the horse, had, alas, rendered me too stupid to listen to anything he said!	But a false sense of power, a sense which had no root and was merely vibrated into me from the strength of the horse, had, alas, rendered me too stupid to listen to anything he said!
2229_152864_000045_000000	"Would you take from me my last chance of reparation?" I cried.	"Would you take from me my last chance of reparation?" I cried.
2229_152864_000045_000001	"This time there shall be no shirking!	"This time there shall be no shirking!
2229_152864_000045_000002	It is my duty, and I will go--if I perish for it!"	It is my duty, and I will go-if I perish for it!"
2229_152864_000046_000000	"Go, then, foolish boy!" he returned, with anger in his croak.	"Go, then, foolish boy!" he returned, with anger in his croak.
2229_152864_000046_000001	"Take the horse, and ride to failure!	"Take the horse, and ride to failure!
2229_152864_000046_000002	May it be to humility!"	May it be to humility!"
2229_152864_000047_000000	He spread his wings and flew.	He spread his wings and flew.
2229_152864_000047_000001	Again I pressed the lean ribs under me.	Again I pressed the lean ribs under me.
2229_152864_000048_000000	"After the spotted leopardess!" I whispered in his ear.	"After the spotted leopardess!" I whispered in his ear.
2229_152864_000049_000001	Suddenly he quickened his walk; broke into a trot; began to gallop, and in a few moments his speed was tremendous.	Suddenly he quickened his walk; broke into a trot; began to gallop, and in a few moments his speed was tremendous.
2229_152864_000049_000002	He seemed to see in the dark; never stumbled, not once faltered, not once hesitated.	He seemed to see in the dark; never stumbled, not once faltered, not once hesitated.
2229_152864_000049_000003	I sat as on the ridge of a wave.	I sat as on the ridge of a wave.
2229_152864_000049_000004	I felt under me the play of each individual muscle: his joints were so elastic, and his every movement glided so into the next, that not once did he jar me.	I felt under me the play of each individual muscle: his joints were so elastic, and his every movement glided so into the next, that not once did he jar me.
2229_152864_000049_000006	The wind met and passed us like a tornado.	The wind met and passed us like a tornado.
2229_152864_000050_000000	Across the evil hollow we sped like a bolt from an arblast.	Across the evil hollow we sped like a bolt from an arblast.
2229_152864_000050_000001	No monster lifted its neck; all knew the hoofs that thundered over their heads!	No monster lifted its neck; all knew the hoofs that thundered over their heads!
2229_152864_000050_000002	We rushed up the hills, we shot down their farther slopes; from the rocky chasms of the river-bed he did not swerve; he held on over them his fierce, terrible gallop.	We rushed up the hills, we shot down their farther slopes; from the rocky chasms of the river bed he did not swerve; he held on over them his fierce, terrible gallop.
2229_152864_000050_000003	The moon, half-way up the heaven, gazed with a solemn trouble in her pale countenance.	The moon, half-way up the heaven, gazed with a solemn trouble in her pale countenance.
2229_152864_000050_000004	Rejoicing in the power of my steed and in the pride of my life, I sat like a king and rode.	Rejoicing in the power of my steed and in the pride of my life, I sat like a king and rode.
2229_152864_000051_000000	We were near the middle of the many channels, my horse every other moment clearing one, sometimes two in his stride, and now and then gathering himself for a great bounding leap, when the moon reached the key-stone of her arch.	We were near the middle of the many channels, my horse every other moment clearing one, sometimes two in his stride, and now and then gathering himself for a great bounding leap, when the moon reached the key stone of her arch.
2229_152864_000051_000001	Then came a wonder and a terror: she began to descend rolling like the nave of Fortune's wheel bowled by the gods, and went faster and faster.	Then came a wonder and a terror: she began to descend rolling like the nave of Fortune's wheel bowled by the gods, and went faster and faster.
2229_152864_000051_000002	Like our own moon, this one had a human face, and now the broad forehead now the chin was uppermost as she rolled.	Like our own moon, this one had a human face, and now the broad forehead now the chin was uppermost as she rolled.
2229_152864_000051_000003	I gazed aghast.	I gazed aghast.
2229_152864_000052_000000	Across the ravines came the howling of wolves.	Across the ravines came the howling of wolves.
2229_152864_000052_000002	The horse maintained his headlong swiftness, with ears pricked forward, and thirsty nostrils exulting in the wind his career created.	The horse maintained his headlong swiftness, with ears pricked forward, and thirsty nostrils exulting in the wind his career created.
2229_152864_000052_000003	But there was the moon jolting like an old chariot-wheel down the hill of heaven, with awful boding!	But there was the moon jolting like an old chariot wheel down the hill of heaven, with awful boding!
2229_152864_000053_000000	The mighty steed was in the act of clearing a wide shallow channel when we were caught in the net of the darkness.	The mighty steed was in the act of clearing a wide shallow channel when we were caught in the net of the darkness.
2229_152864_000053_000002	I got up, kneeled beside him, and felt him all over.	I got up, kneeled beside him, and felt him all over.
2229_152864_000053_000003	Not a bone could I find broken, but he was a horse no more.	Not a bone could I find broken, but he was a horse no more.
