4926_23281_000000_000000	CHAPTER III.	CHAPTER three.	true	19.26	20.38	10
4926_23281_000051_000000	She turned pale, and could no longer guide her needle--in the fond transport of her heart she imagined that his love for her, was among the sensations to which he alluded.	She turned pale, and could no longer guide her needle-in the fond transport of her heart she imagined that his love for her, was among the sensations to which he alluded.	true	765.65	775.75	12
4926_23281_000051_000001	She was too much embarrassed to reply, and he continued,	She was too much embarrassed to reply, and he continued,	true	775.91	779.56	14
4926_23281_000052_000000	"We have all much to pardon in one another: and I know not whether the officious person who forces, even his good advice, is not as blameable as the obstinate one, who will not listen to it.	"We have all much to pardon in one another: and I know not whether the officious person who forces, even his good advice, is not as blameable as the obstinate one, who will not listen to it.	true	779.93	792.16	10
4926_23281_000052_000001	And now, having made a preface to excuse you, should you once more refuse mine, I shall venture to give it."	And now, having made a preface to excuse you, should you once more refuse mine, I shall venture to give it."	true	792.38	799.39	11
4926_23281_000053_000000	"My Lord, I have never yet refused to follow your advice, but where my own peace of mind was so nearly concerned, as to have made me culpable, had I complied."	"My Lord, I have never yet refused to follow your advice, but where my own peace of mind was so nearly concerned, as to have made me culpable, had I complied."	true	800.27	810.85	10
4926_23281_000054_000000	"Well, Madam, I submit to your determinations; and shall never again oppose your inclination to remain single."	"Well, Madam, I submit to your determinations; and shall never again oppose your inclination to remain single."	true	811.28	817.6	11
4926_23281_000055_000000	This sentence, as it excluded the idea of soliciting for himself, gave her the utmost pain; and her eye glanced at him, full of reproach.	This sentence, as it excluded the idea of soliciting for himself, gave her the utmost pain; and her eye glanced at him, full of reproach.	true	818.18	827.71	13
4926_23281_000055_000001	He did not observe it, but went on.	He did not observe it, but went on.	true	827.84	829.96	12
4926_23281_000056_000000	"While you continue unmarried, it seems to have been your father's intention that you should continue under my immediate care; but as I mean for the future to reside chiefly in the country--answer me candidly, do you think you could be happy there, for at least three parts of the year?"	"While you continue unmarried, it seems to have been your father's intention that you should continue under my immediate care; but as I mean for the future to reside chiefly in the country-answer me candidly, do you think you could be happy there, for at least three parts of the year?"	true	830.96	847.9	14
4926_23281_000057_000000	After a short hesitation, she replied, "I have no objection."	After a short hesitation, she replied, "I have no objection."	true	848.57	852.67	13
4926_23281_000058_000000	"I am glad to hear it," he returned eagerly, "for it is my earnest desire to have you with me--your welfare is dear to me as my own; and were we apart, continual apprehensions would prey upon my mind."	"I am glad to hear it," he returned eagerly, "for it is my earnest desire to have you with me-your welfare is dear to me as my own; and were we apart, continual apprehensions would prey upon my mind."	true	853.79	866.26	12
4926_23281_000059_000000	The tear started in her eye, at the earnestness that accompanied these words; he saw it, and to soften her still more with the sense of his esteem for her, he increased his earnestness while he said,	The tear started in her eye, at the earnestness that accompanied these words; he saw it, and to soften her still more with the sense of his esteem for her, he increased his earnestness while he said,	true	866.72	877.93	10
4926_23281_000060_000000	"If you will take the resolution to quit London for the time I mention, there shall be no means omitted to make the country all you can wish--I shall insist upon Miss Woodley's company for both our sakes; and it will not only be _my_ study to form such a society as you may approve, but I am certain it will be likewise the study of Lady Elmwood----"	"If you will take the resolution to quit London for the time I mention, there shall be no means omitted to make the country all you can wish-I shall insist upon Miss Woodley's company for both our sakes; and it will not only be underscore my underscore study to form such a society as you may approve, but I am certain it will be likewise the study of Lady Elmwood----"	false	879.02	902.35	12
4926_23281_000061_000000	He was going on, but as if a poniard had thrust her to the heart, she writhed under this unexpected stroke.	He was going on, but as if a poniard had thrust her to the heart, she writhed under this unexpected stroke.	true	902.69	909.58	12
4926_23281_000062_000000	He saw her countenance change--he looked at her steadfastly.	He saw her countenance change-he looked at her steadfastly.	true	909.98	913.87	12
4926_23281_000063_000000	It was not a common change from joy to sorrow, from content to uneasiness, which Miss Milner discovered--she felt, and she expressed anguish--Lord Elmwood was alarmed and shocked.	It was not a common change from joy to sorrow, from content to uneasiness, which Miss Milner discovered-she felt, and she expressed anguish-Lord Elmwood was alarmed and shocked.	false	914.36	926.56	17
4926_23281_000063_000001	She did not weep, but she called Miss Woodley to come to her, with a voice that indicated a degree of agony.	She did not weep, but she called Miss Woodley to come to her, with a voice that indicated a degree of agony.	true	926.81	933.4	9
4926_23281_000064_000000	"My Lord," (cried Miss Woodley, seeing his consternation and trembling lest he should guess the secret,) "My Lord, Miss Milner has again deceived you--you must not take her from London--it is that, and that alone, which is the cause of her uneasiness."	"My Lord," (cried Miss Woodley, seeing his consternation and trembling lest he should guess the secret,) "My Lord, Miss Milner has again deceived you-you must not take her from London-it is that, and that alone, which is the cause of her uneasiness."	true	934.19	950.26	17
4926_23281_000065_000000	He seemed more amazed still--and still more shocked at her duplicity than at her torture.	He seemed more amazed still-and still more shocked at her duplicity than at her torture.	true	951.08	956.44	14
4926_23281_000065_000001	"Good Heaven!" exclaimed he, "How am I to accomplish her wishes?	"Good Heaven!" exclaimed he, "How am I to accomplish her wishes?	true	956.51	960.885	16
4926_23281_000065_000002	What am I to do?	What am I to do?	true	960.885	962.11	15
4926_23281_000065_000003	How can I judge, if she will not confide in me, but thus for ever deceive me?"	How can I judge, if she will not confide in me, but thus for ever deceive me?"	true	962.21	968.08	16
4926_23281_000066_000000	She leaned, pale as death, on the shoulder of Miss Woodley, her eye fixed with apparent insensibility to all that was said, while he continued,	She leaned, pale as death, on the shoulder of Miss Woodley, her eye fixed with apparent insensibility to all that was said, while he continued,	true	968.75	977.35	11
4926_23281_000067_000000	"Heaven is my witness, if I knew--If I could conceive the means how to make her happy, I would sacrifice my own happiness to hers."	"Heaven is my witness, if I knew-If I could conceive the means how to make her happy, I would sacrifice my own happiness to hers."	true	977.99	986.62	9
4926_23281_000068_000000	"My Lord," said Miss Woodley with a smile, "perhaps I may call upon you hereafter to fulfil your word."	"My Lord," said Miss Woodley with a smile, "perhaps I may call upon you hereafter to fulfil your word."	true	987.41	993.76	12
4926_23281_000069_000000	He was totally ignorant what she meant, nor had he leisure, from the confusion of his thoughts, to reflect upon her meaning; he nevertheless replied, with warmth, "Do.	He was totally ignorant what she meant, nor had he leisure, from the confusion of his thoughts, to reflect upon her meaning; he nevertheless replied, with warmth, "Do.	true	994.34	1005.16	18
4926_23281_000069_000001	You shall find I'll perform it.--Do.	You shall find I'll perform it.--Do.	true	1005.62	1008.4	17
4926_23281_000069_000002	I will faithfully perform it."	I will faithfully perform it."	true	1008.68	1010.62	17
4926_23281_000070_000000	Though Miss Milner was conscious this declaration could not, in delicacy, be ever adduced against him; yet the fervent and solemn manner in which he made it, cheered her spirits; and as persons enjoy the reflection of having in their possession some valuable gem, though they are determined never to use it, so she upon this, was comforted and grew better.	Though Miss Milner was conscious this declaration could not, in delicacy, be ever adduced against him; yet the fervent and solemn manner in which he made it, cheered her spirits; and as persons enjoy the reflection of having in their possession some valuable gem, though they are determined never to use it, so she upon this, was comforted and grew better.	true	1011.38	1034.53	13
4926_23281_000070_000001	She now lifted up her head, and leaned it on her hand, as she sat by the side of a table--still she did not speak, but seemed overcome with sorrow.	She now lifted up her head, and leaned it on her hand, as she sat by the side of a table-still she did not speak, but seemed overcome with sorrow.	true	1035.11	1044.61	15
4926_23281_000070_000002	As her situation became, however, less alarming, her guardian's pity and affright began to take the colour of resentment; and though he did not say so, he was, and looked, highly offended.	As her situation became, however, less alarming, her guardian's pity and affright began to take the colour of resentment; and though he did not say so, he was, and looked, highly offended.	true	1044.71	1056.49	10
4926_23281_000071_000000	At this juncture Mr. Sandford entered.	At this juncture mr Sandford entered.	true	1056.86	1059.39	10
4926_23281_000071_000001	On beholding the present party, it required not his sagacity to see at the first view, that they were all uneasy; but instead of the sympathy this might have excited in some dispositions, Mr. Sandford, after casting a look at each of them, appeared in high spirits.	On beholding the present party, it required not his sagacity to see at the first view, that they were all uneasy; but instead of the sympathy this might have excited in some dispositions, mr Sandford, after casting a look at each of them, appeared in high spirits.	true	1059.39	1075.57	8
4926_23281_000072_000000	"You seem unhappy, my Lord," said he, with a smile.	"You seem unhappy, my Lord," said he, with a smile.	false	1076.06	1079.26	8
4926_23281_000073_000000	"You do _not_--Mr.	"You do underscore not underscore--mr	false	1079.6	1080.96	6
4926_23281_000073_000001	Sandford," Lord Elmwood replied.	Sandford," Lord Elmwood replied.	true	1080.96	1082.92	8
4926_23281_000074_000000	"No, my Lord, nor would I, were I in your situation.	"No, my Lord, nor would I, were I in your situation.	true	1083.56	1087.18	9
4926_23281_000074_000001	What should make a man of sense out of temper but a worthy object!" And he looked at Miss Milner.	What should make a man of sense out of temper but a worthy object!" And he looked at Miss Milner.	true	1087.61	1092.67	11
4926_23281_000075_000000	"There are no objects unworthy our care:" replied Lord Elmwood.	"There are no objects unworthy our care:" replied Lord Elmwood.	true	1092.95	1096.51	6
4926_23281_000076_000000	"But there are objects on whom all care is fruitless, your Lordship will allow."	"But there are objects on whom all care is fruitless, your Lordship will allow."	true	1096.61	1101.16	11
4926_23281_000077_000000	"I never yet despaired of any one, Mr. Sandford."	"I never yet despaired of any one, mr Sandford."	true	1101.8	1104.7	11
