8479_276730_000004_000000	CHAPTER XII.	CHAPTER twelve.
8479_276730_000015_000004	Even with his boat at our walls, the loss of life (as I think I mentioned to Mr. Fox) in unloading her will more than pay for the good to be accomplished by the expedition, which keeps us, if I can maintain possession of this work, out of position, surrounded by strong works which must be carried to make this fort of the least value to the United States Government.	Even with his boat at our walls, the loss of life (as I think I mentioned to mr Fox) in unloading her will more than pay for the good to be accomplished by the expedition, which keeps us, if I can maintain possession of this work, out of position, surrounded by strong works which must be carried to make this fort of the least value to the United States Government.
8479_276730_000016_000000	"We have not oil enough to keep a light in the lantern for one night.	"We have not oil enough to keep a light in the lantern for one night.
8479_276730_000017_000000	"We shall strive to do our duty, though I frankly say that my heart is not in this war, which I see is to be thus commenced. That God will still avert it, and cause us to resort to pacific means to maintain our rights, is my ardent prayer!	"We shall strive to do our duty, though I frankly say that my heart is not in this war, which I see is to be thus commenced. That God will still avert it, and cause us to resort to pacific means to maintain our rights, is my ardent prayer!
8479_276730_000018_000000	"I am, Colonel, very respectfully,	"I am, Colonel, very respectfully,
8479_276730_000019_000000	"Your obedient servant,	"Your obedient servant,
8479_276730_000022_000000	This frank and manly letter, although written with the reserve necessarily belonging to a communication from an officer to his military superiors, expressing dissatisfaction with orders, fully vindicates Major Anderson from all suspicion of complicity or sympathy with the bad faith of the Government which he was serving.	This frank and manly letter, although written with the reserve necessarily belonging to a communication from an officer to his military superiors, expressing dissatisfaction with orders, fully vindicates Major Anderson from all suspicion of complicity or sympathy with the bad faith of the Government which he was serving.
8479_276730_000024_000000	These facts became known to the Confederate Government, and it was obvious that no time was to be lost in preparing for, and if possible anticipating the impending assault.	These facts became known to the Confederate Government, and it was obvious that no time was to be lost in preparing for, and if possible anticipating the impending assault.
8479_276730_000026_000000	"L.	"L.
8479_276730_000027_000000	"An authorized messenger from President Lincoln just informed Governor Pickens and myself that provisions will be sent to Fort Sumter peaceably, or otherwise by force.	"An authorized messenger from President Lincoln just informed Governor Pickens and myself that provisions will be sent to Fort Sumter peaceably, or otherwise by force.
8479_276730_000028_000000	(Signed) "G.	(Signed) "G.
8479_276730_000031_000000	"If you have no doubt of the authorized character of the agent who communicated to you the intention of the Washington Government to supply Fort Sumter by force, you will at once demand its evacuation, and, if this is refused, proceed, in such a manner as you may determine, to reduce it.	"If you have no doubt of the authorized character of the agent who communicated to you the intention of the Washington Government to supply Fort Sumter by force, you will at once demand its evacuation, and, if this is refused, proceed, in such a manner as you may determine, to reduce it.
8479_276730_000031_000001	Answer.	Answer.
8479_276730_000032_000000	(Signed) "L.	(Signed) "L.
8479_276730_000034_000000	"L.	"L.
8479_276730_000040_000000	(Signed) "L.	(Signed) "L.
8479_276730_000042_000000	"L.	"L.
8479_276730_000043_000000	"The reasons are special for twelve o'clock.	"The reasons are special for twelve o'clock.
8479_276730_000044_000000	(Signed) "G.	(Signed) "G.
8479_276730_000047_000000	"Sir: The Government of the Confederate States has hitherto forborne from any hostile demonstration against Fort Sumter, in the hope that the Government of the United States, with a view to the amicable adjustment of all questions between the two Governments, and to avert the calamities of war, would voluntarily evacuate it.	"Sir: The Government of the Confederate States has hitherto forborne from any hostile demonstration against Fort Sumter, in the hope that the Government of the United States, with a view to the amicable adjustment of all questions between the two Governments, and to avert the calamities of war, would voluntarily evacuate it.
8479_276730_000048_000000	"But the Confederate States can no longer delay assuming actual possession of a fortification commanding the entrance of one of their harbors, and necessary to its defense and security.	"But the Confederate States can no longer delay assuming actual possession of a fortification commanding the entrance of one of their harbors, and necessary to its defense and security.
8479_276730_000049_000000	"I am ordered by the Government of the Confederate States to demand the evacuation of Fort Sumter.	"I am ordered by the Government of the Confederate States to demand the evacuation of Fort Sumter.
8479_276730_000049_000001	My aides, Colonel Chesnut and Captain Lee, are authorized to make such demand of you.	My aides, Colonel Chesnut and Captain Lee, are authorized to make such demand of you.
8479_276730_000049_000002	All proper facilities will be afforded for the removal of yourself and command, together with company arms and property, and all private property, to any post in the United States which you may elect.	All proper facilities will be afforded for the removal of yourself and command, together with company arms and property, and all private property, to any post in the United States which you may elect.
8479_276730_000049_000003	The flag which you have upheld so long and with so much fortitude, under the most trying circumstances, may be saluted by you on taking it down.	The flag which you have upheld so long and with so much fortitude, under the most trying circumstances, may be saluted by you on taking it down.
8479_276730_000050_000000	"Colonel Chesnut and Captain Lee will, for a reasonable time, await your answer.	"Colonel Chesnut and Captain Lee will, for a reasonable time, await your answer.
8479_276730_000051_000000	"I am, sir, very respectfully, your obedient servant,	"I am, sir, very respectfully, your obedient servant,
8479_276730_000052_000000	(Signed) "G.	(Signed) "G.
8479_276730_000058_000000	"Thanking you for the fair, manly, and courteous terms proposed, and for the high compliment paid me,	"Thanking you for the fair, manly, and courteous terms proposed, and for the high compliment paid me,
8479_276730_000066_000001	You are thus to avoid the effusion of blood.	You are thus to avoid the effusion of blood.
8479_276730_000066_000002	If this or its equivalent be refused, reduce the fort as your judgment decides to be most practicable.	If this or its equivalent be refused, reduce the fort as your judgment decides to be most practicable.
8479_276730_000067_000000	(Signed) "L.	(Signed) "L.
8479_276730_000071_000000	"If you will state the time at which you will evacuate Fort Sumter, and agree that in the mean time you will not use your guns against us, unless ours shall be employed against Fort Sumter, we will abstain from opening fire upon you.	"If you will state the time at which you will evacuate Fort Sumter, and agree that in the mean time you will not use your guns against us, unless ours shall be employed against Fort Sumter, we will abstain from opening fire upon you.
8479_276730_000071_000002	You are therefore requested to communicate to them an open answer.	You are therefore requested to communicate to them an open answer.
8479_276730_000097_000000	Inasmuch as it was known to the Confederate commander that the "controlling instructions" were already issued, and that the "additional supplies" were momentarily expected; inasmuch, also, as any attempt to introduce the supplies would compel the opening of fire upon the vessels bearing them under the flag of the United States--thereby releasing Major Anderson from his pledge--it is evident that his conditions could not be accepted.	Inasmuch as it was known to the Confederate commander that the "controlling instructions" were already issued, and that the "additional supplies" were momentarily expected; inasmuch, also, as any attempt to introduce the supplies would compel the opening of fire upon the vessels bearing them under the flag of the United States-thereby releasing Major Anderson from his pledge-it is evident that his conditions could not be accepted.
