1923_161972_000002_000000	THE FIRST QUARREL	THE FIRST QUARREL
1923_161972_000038_000000	"If he wants a cat, a cat he shall have," I said to myself, and calling my unwelcome guest to me with a resolute determination to do my duty by the beast, no matter how distasteful the task, I was just putting a saucer of milk in front of her when the door opened and Dicky came in like a whirlwind.	"If he wants a cat, a cat he shall have," I said to myself, and calling my unwelcome guest to me with a resolute determination to do my duty by the beast, no matter how distasteful the task, I was just putting a saucer of milk in front of her when the door opened and Dicky came in like a whirlwind.
1923_161972_000039_000000	"How do you wear sackcloth and ashes?" he cried, catching me in his arms as he made the query.	"How do you wear sackcloth and ashes?" he cried, catching me in his arms as he made the query.
1923_161972_000039_000001	"If you've got any in the house bring 'em along and I'll put them on.	"If you've got any in the house bring 'em along and I'll put them on.
1923_161972_000039_000003	No nice thing getting angry at your bride, because she doesn't like cats.	No nice thing getting angry at your bride, because she doesn't like cats.
1923_161972_000039_000004	I'll take the beast back tomorrow."	I'll take the beast back tomorrow."
1923_161972_000040_000000	"Indeed, you'll do no such thing," I protested.	"Indeed, you'll do no such thing," I protested.
1923_161972_000040_000001	"You're not the only one who is sorry, I made up my mind before you came back not only to keep this cat, but to learn to like her."	"You're not the only one who is sorry, I made up my mind before you came back not only to keep this cat, but to learn to like her."
1923_161972_000041_000000	Dicky kissed me.	Dicky kissed me.
1923_161972_000041_000001	"You're a brick, sweetheart," he said heartily, "and I've got a reward for you, a peace offering.	"You're a brick, sweetheart," he said heartily, "and I've got a reward for you, a peace offering.
1923_161972_000041_000002	Get on your frills, for we're going to a first night.	Get on your frills, for we're going to a first night.
1923_161972_000042_000000	"Your what?" I was mystified.	"Your what?" I was mystified.
1923_161972_000043_000000	"Evening clothes, goose." Dicky threw the words over his shoulder as he took down the telephone receiver.	"Evening clothes, goose." Dicky threw the words over his shoulder as he took down the telephone receiver.
1923_161972_000043_000001	"Can you dress in half an hour? We have only that."	"Can you dress in half an hour? We have only that."
1923_161972_000044_000000	"I'll be ready."	"I'll be ready."
1923_161972_000045_000000	As I closed the door of my room I heard Dicky ask for the number of the taxicab company where he kept an account.	As I closed the door of my room I heard Dicky ask for the number of the taxicab company where he kept an account.
1923_161972_000045_000001	Impulsively, I started toward him to remonstrate against the extravagance, but stopped as I heard the patter of rain against the windows.	Impulsively, I started toward him to remonstrate against the extravagance, but stopped as I heard the patter of rain against the windows.
