1264_129805_000000_000000	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	"Ah!" said Lord Julian, and he pulled thoughtfully at his lip.	false	0	0.3	-20
1264_129805_000006_000001	His mood was taciturn; his face grim and sneering.	His mood was taciturn; his face grim and sneering.	true	83.33	87.04	20.259264
1264_129805_000006_000002	Let Wolverstone arrive, as presently he would, and all this hero-worship would turn to execration.	Let Wolverstone arrive, as presently he would, and all this hero worship would turn to execration.	true	87.41	93.46	18.995937
1264_129805_000007_000000	His captains, Hagthorpe, Christian, and Yberville, were on the jetty to receive him, and with them were some hundreds of his buccaneers.	His captains, Hagthorpe, Christian, and Yberville, were on the jetty to receive him, and with them were some hundreds of his buccaneers.	false	94.28	102.16	21.5545
1264_129805_000007_000001	He cut short their greetings, and when they plagued him with questions of where he had tarried, he bade them await the coming of Wolverstone, who would satisfy their curiosity to a surfeit.	He cut short their greetings, and when they plagued him with questions of where he had tarried, he bade them await the coming of Wolverstone, who would satisfy their curiosity to a surfeit.	true	102.68	112.3	19.565937
1264_129805_000007_000002	On that he shook them off, and shouldered his way through that heterogeneous throng that was composed of bustling traders of several nations--English, French, and Dutch--of planters and of seamen of various degrees, of buccaneers who were fruit-selling half-castes, negro slaves, some doll-tearsheets and dunghill-queans from the Old World, and all the other types of the human family that converted the quays of Cayona into a disreputable image of Babel.	On that he shook them off, and shouldered his way through that heterogeneous throng that was composed of bustling traders of several nations-English, French, and Dutch-of planters and of seamen of various degrees, of buccaneers who were fruit selling half castes, negro slaves, some doll tearsheets and dunghill queans from the Old World, and all the other types of the human family that converted the quays of Cayona into a disreputable image of Babel.	false	113.33	141.31	20.678265
1264_129805_000008_000000	Winning clear at last, and after difficulties, Captain Blood took his way alone to the fine house of M. d'Ogeron, there to pay his respects to his friends, the Governor and the Governor's family.	Winning clear at last, and after difficulties, Captain Blood took his way alone to the fine house of m d'Ogeron, there to pay his respects to his friends, the Governor and the Governor's family.	false	142.67	153.61	20.114098
1264_129805_000009_000000	At first the buccaneers jumped to the conclusion that Wolverstone was following with some rare prize of war, but gradually from the reduced crew of the Arabella a very different tale leaked out to stem their satisfaction and convert it into perplexity.	At first the buccaneers jumped to the conclusion that Wolverstone was following with some rare prize of war, but gradually from the reduced crew of the Arabella a very different tale leaked out to stem their satisfaction and convert it into perplexity.	true	154.25	168.64	21.815922
1264_129805_000009_000001	Partly out of loyalty to their captain, partly because they perceived that if he was guilty of defection they were guilty with him, and partly because being simple, sturdy men of their hands, they were themselves in the main a little confused as to what really had happened, the crew of the Arabella practised reticence with their brethren in Tortuga during those two days before Wolverstone's arrival.	Partly out of loyalty to their captain, partly because they perceived that if he was guilty of defection they were guilty with him, and partly because being simple, sturdy men of their hands, they were themselves in the main a little confused as to what really had happened, the crew of the Arabella practised reticence with their brethren in Tortuga during those two days before Wolverstone's arrival.	true	169.19	190.57	20.722294
1264_129805_000009_000002	But they were not reticent enough to prevent the circulation of certain uneasy rumours and extravagant stories of discreditable adventures--discreditable, that is, from the buccaneering point of view--of which Captain Blood had been guilty.	But they were not reticent enough to prevent the circulation of certain uneasy rumours and extravagant stories of discreditable adventures-discreditable, that is, from the buccaneering point of view-of which Captain Blood had been guilty.	false	191.63	205.9	19.700058
1264_129805_000010_000000	But that Wolverstone came when he did, it is possible that there would have been an explosion.	But that Wolverstone came when he did, it is possible that there would have been an explosion.	true	206.78	211.18	18.967876
1264_129805_000010_000001	When, however, the Old Wolf cast anchor in the bay two days later, it was to him all turned for the explanation they were about to demand of Blood.	When, however, the Old Wolf cast anchor in the bay two days later, it was to him all turned for the explanation they were about to demand of Blood.	false	211.46	219.4	22.148773
1264_129805_000011_000000	Now Wolverstone had only one eye; but he saw a deal more with that one eye than do most men with two; and despite his grizzled head--so picturesquely swathed in a green and scarlet turban--he had the sound heart of a boy, and in that heart much love for Peter Blood.	Now Wolverstone had only one eye; but he saw a deal more with that one eye than do most men with two; and despite his grizzled head-so picturesquely swathed in a green and scarlet turban-he had the sound heart of a boy, and in that heart much love for peter Blood.	true	219.83	237.07	19.343904
1264_129805_000012_000000	The sight of the Arabella at anchor in the bay had at first amazed him as he sailed round the rocky headland that bore the fort.	The sight of the Arabella at anchor in the bay had at first amazed him as he sailed round the rocky headland that bore the fort.	true	237.56	244.33	20.80028
1264_129805_000012_000001	He rubbed his single eye clear of any deceiving film and looked again.	He rubbed his single eye clear of any deceiving film and looked again.	true	244.73	248.47	19.685368
1264_129805_000012_000002	Still he could not believe what it saw.	Still he could not believe what it saw.	false	248.81	250.77	20.530983
1264_129805_000012_000003	And then a voice at his elbow--the voice of Dyke, who had elected to sail with him--assured him that he was not singular in his bewilderment.	And then a voice at his elbow-the voice of Dyke, who had elected to sail with him-assured him that he was not singular in his bewilderment.	false	250.77	259	18.720955
1264_129805_000013_000000	"In the name of Heaven, is that the Arabella or is it the ghost of her?"	"In the name of Heaven, is that the Arabella or is it the ghost of her?"	false	259.73	263.83	19.571169
1264_129805_000014_000000	The Old Wolf rolled his single eye over Dyke, and opened his mouth to speak.	The Old Wolf rolled his single eye over Dyke, and opened his mouth to speak.	true	264.59	268.96	16.510128
1264_129805_000014_000001	Then he closed it again without having spoken; closed it tightly. He had a great gift of caution, especially in matters that he did not understand.	Then he closed it again without having spoken; closed it tightly. He had a great gift of caution, especially in matters that he did not understand.	true	269.33	278.05	18.559673
1264_129805_000014_000002	That this was the Arabella he could no longer doubt.	That this was the Arabella he could no longer doubt.	true	278.21	280.99	19.684254
1264_129805_000014_000003	That being so, he must think before he spoke.	That being so, he must think before he spoke.	true	281.24	284.5	19.488983
1264_129805_000014_000004	What the devil should the Arabella be doing here, when he had left her in Jamaica?	What the devil should the Arabella be doing here, when he had left her in Jamaica?	true	284.96	289.03	19.554945
1264_129805_000014_000005	And was Captain Blood aboard and in command, or had the remainder of her hands made off with her, leaving the Captain in Port Royal?	And was Captain Blood aboard and in command, or had the remainder of her hands made off with her, leaving the Captain in Port Royal?	false	289.43	296.35	22.370146
1264_129805_000015_000000	Dyke repeated his question.	Dyke repeated his question.	true	297.41	299.11	20.381603
1264_129805_000015_000001	This time Wolverstone answered him.	This time Wolverstone answered him.	true	299.21	301.35	21.564238
1264_129805_000016_000000	"Ye've two eyes to see with, and ye ask me, who's only got one, what it is ye see!"	"Ye've two eyes to see with, and ye ask me, who's only got one, what it is ye see!"	false	301.35	307.57	19.635256
1264_129805_000017_000000	"But I see the Arabella."	"But I see the Arabella."	true	308.57	310.24	25.69439
1264_129805_000018_000000	"Of course, since there she rides.	"Of course, since there she rides.	true	311.15	313.14	21.323423
1264_129805_000018_000001	What else was you expecting?"	What else was you expecting?"	true	313.14	314.62	22.103685
1264_129805_000019_000000	"Expecting?" Dyke stared at him, open-mouthed.	"Expecting?" Dyke stared at him, open mouthed.	true	315.32	318.7	24.129757
1264_129805_000019_000001	"Was you expecting to find the Arabella here?"	"Was you expecting to find the Arabella here?"	true	319.19	321.73	23.391338
1264_129805_000020_000000	Wolverstone looked him over in contempt, then laughed and spoke loud enough to be heard by all around him.	Wolverstone looked him over in contempt, then laughed and spoke loud enough to be heard by all around him.	true	322.67	328.05	20
1264_129805_000020_000001	"Of course.	"Of course.	true	328.05	329.01	20.655943
1264_129805_000020_000002	What else?" And he laughed again, a laugh that seemed to Dyke to be calling him a fool. On that Wolverstone turned to give his attention to the operation of anchoring.	What else?" And he laughed again, a laugh that seemed to Dyke to be calling him a fool. On that Wolverstone turned to give his attention to the operation of anchoring.	true	329.01	339.01	19.60152
1264_129805_000021_000000	Anon when ashore he was beset by questioning buccaneers, it was from their very questions that he gathered exactly how matters stood, and perceived that either from lack of courage or other motive Blood, himself, had refused to render any account of his doings since the Arabella had separated from her sister ships.	Anon when ashore he was beset by questioning buccaneers, it was from their very questions that he gathered exactly how matters stood, and perceived that either from lack of courage or other motive Blood, himself, had refused to render any account of his doings since the Arabella had separated from her sister ships.	true	340.16	357.07	19.809595
1264_129805_000021_000001	Wolverstone congratulated himself upon the discretion he had used with Dyke.	Wolverstone congratulated himself upon the discretion he had used with Dyke.	true	357.59	362.41	20.95923
1264_129805_000022_000000	"The Captain was ever a modest man," he explained to Hagthorpe and those others who came crowding round him.	"The Captain was ever a modest man," he explained to Hagthorpe and those others who came crowding round him.	false	363.71	370.03	19.019896
1264_129805_000022_000001	"It's not his way to be sounding his own praises.	"It's not his way to be sounding his own praises.	true	370.43	373.06	20
1264_129805_000022_000002	Why, it was like this.	Why, it was like this.	true	373.16	374.74	25.256468
1264_129805_000022_000003	We fell in with old Don Miguel, and when we'd scuttled him we took aboard a London pimp sent out by the Secretary of State to offer the Captain the King's commission if so be him'd quit piracy and be o' good behaviour.	We fell in with old Don Miguel, and when we'd scuttled him we took aboard a London pimp sent out by the Secretary of State to offer the Captain the King's commission if so be him'd quit piracy and be o' good behaviour.	false	375.05	388.03	20.70084
1264_129805_000022_000004	The Captain damned his soul to hell for answer.	The Captain damned his soul to hell for answer.	true	388.34	390.91	21.217928
1264_129805_000022_000005	And then we fell in wi' the Jamaica fleet and that grey old devil Bishop in command, and there was a sure end to Captain Blood and to every mother's son of us all.	And then we fell in wi' the Jamaica fleet and that grey old devil Bishop in command, and there was a sure end to Captain Blood and to every mother's son of us all.	false	391.1	399.07	19.650576
1264_129805_000022_000006	So I goes to him, and 'accept this poxy commission,' says I; 'turn King's man and save your neck and ours.' He took me at my word, and the London pimp gave him the King's commission on the spot, and Bishop all but choked hisself with rage when he was told of it.	So I goes to him, and 'accept this poxy commission,' says I; 'turn King's man and save your neck and ours.' He took me at my word, and the London pimp gave him the King's commission on the spot, and Bishop all but choked hisself with rage when he was told of it.	true	399.38	414.94	20.804735
1264_129805_000022_000007	But happened it had, and he was forced to swallow it.	But happened it had, and he was forced to swallow it.	true	415.4	418.33	20.545918
1264_129805_000022_000008	We were King's men all, and so into Port Royal we sailed along o' Bishop.	We were King's men all, and so into Port Royal we sailed along o' Bishop.	false	418.49	422.44	18.815304
1264_129805_000022_000009	But Bishop didn't trust us.	But Bishop didn't trust us.	true	422.9	424.66	20.024557
1264_129805_000022_000010	He knew too much.	He knew too much.	true	424.76	426.04	24.494366
1264_129805_000022_000011	But for his lordship, the fellow from London, he'd ha' hanged the Captain, King's commission and all.	But for his lordship, the fellow from London, he'd ha' hanged the Captain, King's commission and all.	false	426.2	432.07	22.02079
1264_129805_000022_000012	Blood would ha' slipped out o' Port Royal again that same night.	Blood would ha' slipped out o' Port Royal again that same night.	false	432.17	435.58	19.958515
1264_129805_000022_000013	But that hound Bishop had passed the word, and the fort kept a sharp lookout.	But that hound Bishop had passed the word, and the fort kept a sharp lookout.	true	435.77	440.26	20.216242
1264_129805_000022_000014	In the end, though it took a fortnight, Blood bubbled him.	In the end, though it took a fortnight, Blood bubbled him.	true	440.63	444.1	21.65606
1264_129805_000022_000015	He sent me and most o' the men off in a frigate that I bought for the voyage.	He sent me and most o' the men off in a frigate that I bought for the voyage.	false	444.29	447.88	20.693573
1264_129805_000022_000016	His game--as he'd secretly told me--was to follow and give chase.	His game-as he'd secretly told me-was to follow and give chase.	true	448.1	452.56	21.66493
1264_129805_000022_000017	Whether that's the game he played or not I can't tell ye; but here he is afore me as I'd expected he would be."	Whether that's the game he played or not I can't tell ye; but here he is afore me as I'd expected he would be."	false	452.81	459.1	20.73788
1264_129805_000023_000000	There was a great historian lost in Wolverstone.	There was a great historian lost in Wolverstone.	true	460.49	463.39	21.064144
1264_129805_000023_000001	He had the right imagination that knows just how far it is safe to stray from the truth and just how far to colour it so as to change its shape for his own purposes.	He had the right imagination that knows just how far it is safe to stray from the truth and just how far to colour it so as to change its shape for his own purposes.	true	463.64	472.48	20.429352
1264_129805_000024_000000	Having delivered himself of his decoction of fact and falsehood, and thereby added one more to the exploits of Peter Blood, he enquired where the Captain might be found.	Having delivered himself of his decoction of fact and falsehood, and thereby added one more to the exploits of peter Blood, he enquired where the Captain might be found.	true	473.18	483.13	21.22694
1264_129805_000024_000001	Being informed that he kept his ship, Wolverstone stepped into a boat and went aboard, to report himself, as he put it.	Being informed that he kept his ship, Wolverstone stepped into a boat and went aboard, to report himself, as he put it.	true	483.44	490.45	21.357367
1264_129805_000025_000000	In the great cabin of the Arabella he found Peter Blood alone and very far gone in drink--a condition in which no man ever before remembered to have seen him.	In the great cabin of the Arabella he found peter Blood alone and very far gone in drink-a condition in which no man ever before remembered to have seen him.	false	491.45	501.01	18.246916
1264_129805_000025_000001	As Wolverstone came in, the Captain raised bloodshot eyes to consider him.	As Wolverstone came in, the Captain raised bloodshot eyes to consider him.	true	501.71	506.05	20.115952
1264_129805_000025_000002	A moment they sharpened in their gaze as he brought his visitor into focus.	A moment they sharpened in their gaze as he brought his visitor into focus.	true	506.57	510.73	20.89211
1264_129805_000025_000003	Then he laughed, a loose, idiot laugh, that yet somehow was half a sneer.	Then he laughed, a loose, idiot laugh, that yet somehow was half a sneer.	true	511.28	516.46	20.066648
1264_129805_000026_000000	"Ah!	"Ah!	true	517.04	517.785	51
1264_129805_000026_000001	The Old Wolf!" said he.	The Old Wolf!" said he.	true	517.785	519.58	20.188805
1264_129805_000026_000002	"Got here at last, eh?	"Got here at last, eh?	true	519.77	521.41	21.420832
1264_129805_000026_000003	And whatcher gonnerdo wi' me, eh?" He hiccoughed resoundingly, and sagged back loosely in his chair.	And whatcher gonnerdo wi' me, eh?" He hiccoughed resoundingly, and sagged back loosely in his chair.	false	521.69	527.8	18.898008
1264_129805_000027_000000	Old Wolverstone stared at him in sombre silence.	Old Wolverstone stared at him in sombre silence.	true	528.41	531.31	20.426153
1264_129805_000027_000001	He had looked with untroubled eye upon many a hell of devilment in his time, but the sight of Captain Blood in this condition filled him with sudden grief.	He had looked with untroubled eye upon many a hell of devilment in his time, but the sight of Captain Blood in this condition filled him with sudden grief.	true	531.56	539.14	20.437023
1264_129805_000027_000002	To express it he loosed an oath.	To express it he loosed an oath.	true	539.6	541.63	19.751513
1264_129805_000027_000003	It was his only expression for emotion of all kinds.	It was his only expression for emotion of all kinds.	true	541.79	544.96	20.0297
1264_129805_000027_000004	Then he rolled forward, and dropped into a chair at the table, facing the Captain.	Then he rolled forward, and dropped into a chair at the table, facing the Captain.	true	545.3	549.43	20.724556
1264_129805_000028_000000	"My God, Peter, what's this?"	"My God, peter, what's this?"	true	550.28	552.18	15
1264_129805_000029_000000	"Rum," said Peter.	"Rum," said peter.	false	552.18	554.82	16.934238
1264_129805_000029_000001	"Rum, from Jamaica." He pushed bottle and glass towards Wolverstone.	"Rum, from Jamaica." He pushed bottle and glass towards Wolverstone.	true	554.82	559.9	22.792032
1264_129805_000030_000000	Wolverstone disregarded them.	Wolverstone disregarded them.	true	560.36	562.3	18.477562
1264_129805_000031_000000	"I'm asking you what ails you?" he bawled.	"I'm asking you what ails you?" he bawled.	true	563	565.65	22.02507
1264_129805_000032_000000	"Rum," said Captain Blood again, and smiled.	"Rum," said Captain Blood again, and smiled.	false	565.65	569.28	12.113567
1264_129805_000032_000001	"Jus' rum.	"Jus' rum.	false	569.28	570.85	16.391357
1264_129805_000032_000002	I answer all your queshons.	I answer all your queshons.	false	571.01	573.63	20.652748
1264_129805_000032_000003	Why donjerr answer mine?	Why donjerr answer mine?	false	573.63	575.43	19.99564
1264_129805_000032_000004	Whatcher gonerdo wi' me?"	Whatcher gonerdo wi' me?"	false	575.43	577.39	16.055109
1264_129805_000033_000000	"I've done it," said Wolverstone.	"I've done it," said Wolverstone.	true	578.39	580.54	24.639212
1264_129805_000033_000001	"Thank God, ye had the sense to hold your tongue till I came.	"Thank God, ye had the sense to hold your tongue till I came.	true	580.64	583.74	18
1264_129805_000033_000002	Are ye sober enough to understand me?"	Are ye sober enough to understand me?"	false	583.74	586.03	25.516973
1264_129805_000034_000000	"Drunk or sober, allus 'derstand you."	"Drunk or sober, allus 'derstand you."	false	586.94	589.9	19.040768
1264_129805_000035_000000	"Then listen." And out came the tale that Wolverstone had told.	"Then listen." And out came the tale that Wolverstone had told.	false	590.78	595.18	19.554695
1264_129805_000035_000001	The Captain steadied himself to grasp it.	The Captain steadied himself to grasp it.	true	595.4	597.7	20.224077
1264_129805_000036_000000	"It'll do as well asertruth," said he when Wolverstone had finished. "And... oh, no marrer!	"It'll do as well asertruth," said he when Wolverstone had finished. "And... oh, no marrer!	false	598.64	605.715	17.518593
1264_129805_000036_000001	Much obliged to ye, Old Wolf--faithful Old Wolf! But was it worthertrouble?	Much obliged to ye, Old Wolf-faithful Old Wolf! But was it worthertrouble?	true	605.715	611.38	19.846687
1264_129805_000036_000002	I'm norrer pirate now; never a pirate again. 'S finished'" He banged the table, his eyes suddenly fierce.	I'm norrer pirate now; never a pirate again. 'S finished'" He banged the table, his eyes suddenly fierce.	false	611.69	619.99	19.6734
1264_129805_000037_000000	"I'll come and talk to you again when there's less rum in your wits," said Wolverstone, rising.	"I'll come and talk to you again when there's less rum in your wits," said Wolverstone, rising.	true	620.93	625.15	19.143532
1264_129805_000037_000001	"Meanwhile ye'll please to remember the tale I've told, and say nothing that'll make me out a liar.	"Meanwhile ye'll please to remember the tale I've told, and say nothing that'll make me out a liar.	true	625.73	631.36	20.168102
1264_129805_000037_000002	They all believes me, even the men as sailed wi' me from Port Royal.	They all believes me, even the men as sailed wi' me from Port Royal.	false	631.52	634.99	17.530231
1264_129805_000037_000003	I've made 'em.	I've made 'em.	false	635.03	636.69	15.352497
1264_129805_000037_000004	If they thought as how you'd taken the King's commission in earnest, and for the purpose o' doing as Morgan did, ye guess what would follow."	If they thought as how you'd taken the King's commission in earnest, and for the purpose o' doing as Morgan did, ye guess what would follow."	false	636.69	644.02	20.195047
1264_129805_000038_000000	"Hell would follow," said the Captain.	"Hell would follow," said the Captain.	false	644.69	646.95	18.709543
1264_129805_000038_000001	"An' tha's all I'm fit for."	"An' tha's all I'm fit for."	false	646.95	649.53	22.298773
1264_129805_000039_000000	"Ye're maudlin," Wolverstone growled.	"Ye're maudlin," Wolverstone growled.	false	649.53	653.58	23.007914
1264_129805_000039_000001	"We'll talk again to-morrow."	"We'll talk again to morrow."	true	653.58	656.14	22.65304
1264_129805_000040_000000	They did; but to little purpose, either that day or on any day thereafter while the rains--which set in that night--endured.	They did; but to little purpose, either that day or on any day thereafter while the rains-which set in that night-endured.	true	656.3	664.21	19.17137
1264_129805_000040_000001	Soon the shrewd Wolverstone discovered that rum was not what ailed Blood.	Soon the shrewd Wolverstone discovered that rum was not what ailed Blood.	true	664.64	669.28	19.663229
1264_129805_000040_000002	Rum was in itself an effect, and not by any means the cause of the Captain's listless apathy.	Rum was in itself an effect, and not by any means the cause of the Captain's listless apathy.	true	669.44	675.97	20.235424
1264_129805_000040_000003	There was a canker eating at his heart, and the Old Wolf knew enough to make a shrewd guess of its nature.	There was a canker eating at his heart, and the Old Wolf knew enough to make a shrewd guess of its nature.	false	676.31	682.75	19.969545
1264_129805_000040_000004	He cursed all things that daggled petticoats, and, knowing his world, waited for the sickness to pass.	He cursed all things that daggled petticoats, and, knowing his world, waited for the sickness to pass.	true	683.39	689.11	20.130152
1264_129805_000041_000000	But it did not pass.	But it did not pass.	true	689.78	691.27	24.152245
1264_129805_000041_000001	When Blood was not dicing or drinking in the taverns of Tortuga, keeping company that in his saner days he had loathed, he was shut up in his cabin aboard the Arabella, alone and uncommunicative.	When Blood was not dicing or drinking in the taverns of Tortuga, keeping company that in his saner days he had loathed, he was shut up in his cabin aboard the Arabella, alone and uncommunicative.	true	691.73	704.2	19.1536
1264_129805_000041_000002	His friends at Government House, bewildered at this change in him, sought to reclaim him.	His friends at Government House, bewildered at this change in him, sought to reclaim him.	true	704.6	709.54	20.874151
1264_129805_000041_000003	Mademoiselle d'Ogeron, particularly distressed, sent him almost daily invitations, to few of which he responded.	Mademoiselle d'Ogeron, particularly distressed, sent him almost daily invitations, to few of which he responded.	false	710.12	718.06	20.164288
1264_129805_000042_000000	Later, as the rainy season approached its end, he was sought by his captains with proposals of remunerative raids on Spanish settlements. But to all he manifested an indifference which, as the weeks passed and the weather became settled, begot first impatience and then exasperation.	Later, as the rainy season approached its end, he was sought by his captains with proposals of remunerative raids on Spanish settlements. But to all he manifested an indifference which, as the weeks passed and the weather became settled, begot first impatience and then exasperation.	true	718.7	735.46	21.551046
1264_129805_000043_000000	Christian, who commanded the Clotho, came storming to him one day, upbraiding him for his inaction, and demanding that he should take order about what was to do.	Christian, who commanded the Clotho, came storming to him one day, upbraiding him for his inaction, and demanding that he should take order about what was to do.	true	736.22	745.39	21.846651
1264_129805_000044_000000	"Go to the devil!" Blood said, when he had heard him out.	"Go to the devil!" Blood said, when he had heard him out.	true	746	749.17	16.483719
1264_129805_000044_000001	Christian departed fuming, and on the morrow the Clotho weighed anchor and sailed away, setting an example of desertion from which the loyalty of Blood's other captains would soon be unable to restrain their men.	Christian departed fuming, and on the morrow the Clotho weighed anchor and sailed away, setting an example of desertion from which the loyalty of Blood's other captains would soon be unable to restrain their men.	true	749.48	760.12	20
1264_129805_000045_000000	Sometimes Blood asked himself why had he come back to Tortuga at all. Held fast in bondage by the thought of Arabella and her scorn of him for a thief and a pirate, he had sworn that he had done with buccaneering. Why, then, was he here?	Sometimes Blood asked himself why had he come back to Tortuga at all. Held fast in bondage by the thought of Arabella and her scorn of him for a thief and a pirate, he had sworn that he had done with buccaneering. Why, then, was he here?	false	760.85	774.97	19.930435
1264_129805_000045_000001	That question he would answer with another: Where else was he to go?	That question he would answer with another: Where else was he to go?	true	775.37	779.71	19.307335
1264_129805_000045_000002	Neither backward nor forward could he move, it seemed.	Neither backward nor forward could he move, it seemed.	true	780.23	783.82	21.361195
1264_129805_000046_000000	He was degenerating visibly, under the eyes of all.	He was degenerating visibly, under the eyes of all.	true	784.37	787.39	17.25824
1264_129805_000046_000001	He had entirely lost the almost foppish concern for his appearance, and was grown careless and slovenly in his dress.	He had entirely lost the almost foppish concern for his appearance, and was grown careless and slovenly in his dress.	true	787.52	794.44	21.70573
1264_129805_000046_000002	He allowed a black beard to grow on cheeks that had ever been so carefully shaven; and the long, thick black hair, once so sedulously curled, hung now in a lank, untidy mane about a face that was changing from its vigorous swarthiness to an unhealthy sallow, whilst the blue eyes, that had been so vivid and compelling, were now dull and lacklustre.	He allowed a black beard to grow on cheeks that had ever been so carefully shaven; and the long, thick black hair, once so sedulously curled, hung now in a lank, untidy mane about a face that was changing from its vigorous swarthiness to an unhealthy sallow, whilst the blue eyes, that had been so vivid and compelling, were now dull and lacklustre.	false	795.02	817.96	20.472221
1264_129805_000047_000000	Wolverstone, the only one who held the clue to this degeneration, ventured once--and once only--to beard him frankly about it.	Wolverstone, the only one who held the clue to this degeneration, ventured once-and once only-to beard him frankly about it.	true	818.66	826.72	20.336708
1264_129805_000048_000000	"Lord, Peter!	"Lord, peter!	true	827.57	828.97	19.717327
1264_129805_000048_000001	Is there never to be no end to this?" the giant had growled.	Is there never to be no end to this?" the giant had growled.	true	829.13	832.75	19.78949
1264_129805_000048_000002	"Will you spend your days moping and swilling 'cause a white-faced ninny in Port Royal'll have none o' ye?	"Will you spend your days moping and swilling 'cause a white faced ninny in Port Royal'll have none o' ye?	false	833	840.18	20.828724
1264_129805_000048_000003	'Sblood and 'ounds! If ye wants the wench, why the plague doesn't ye go and fetch her?"	's blood and 'ounds! If ye wants the wench, why the plague doesn't ye go and fetch her?"	false	840.18	845.29	20.981031
1264_129805_000049_000000	The blue eyes glared at him from under the jet-black eyebrows, and something of their old fire began to kindle in them.	The blue eyes glared at him from under the jet black eyebrows, and something of their old fire began to kindle in them.	true	846.32	852.73	21.321167
1264_129805_000049_000001	But Wolverstone went on heedlessly.	But Wolverstone went on heedlessly.	true	853.01	855.52	17.709164
1264_129805_000050_000000	"I'll be nice wi' a wench as long as niceness be the key to her favour. But sink me now if I'd rot myself in rum on account of anything that wears a petticoat.	"I'll be nice wi' a wench as long as niceness be the key to her favour. But sink me now if I'd rot myself in rum on account of anything that wears a petticoat.	false	856.13	865.6	21.272915
1264_129805_000050_000001	That's not the Old Wolf's way.	That's not the Old Wolf's way.	true	865.82	867.7	21.019192
