1264_129805_000003_000000	CHAPTER XXV.	CHAPTER twenty five.
1264_129805_000018_000001	What else was you expecting?"	What else was you expecting?"
1264_129805_000019_000000	"Expecting?" Dyke stared at him, open-mouthed.	"Expecting?" Dyke stared at him, open mouthed.
1264_129805_000019_000001	"Was you expecting to find the Arabella here?"	"Was you expecting to find the Arabella here?"
1264_129805_000020_000000	Wolverstone looked him over in contempt, then laughed and spoke loud enough to be heard by all around him.	Wolverstone looked him over in contempt, then laughed and spoke loud enough to be heard by all around him.
1264_129805_000020_000001	"Of course.	"Of course.
1264_129805_000021_000001	Wolverstone congratulated himself upon the discretion he had used with Dyke.	Wolverstone congratulated himself upon the discretion he had used with Dyke.
1264_129805_000022_000001	"It's not his way to be sounding his own praises.	"It's not his way to be sounding his own praises.
1264_129805_000022_000002	Why, it was like this.	Why, it was like this.
1264_129805_000022_000004	The Captain damned his soul to hell for answer.	The Captain damned his soul to hell for answer.
1264_129805_000022_000006	So I goes to him, and 'accept this poxy commission,' says I; 'turn King's man and save your neck and ours.' He took me at my word, and the London pimp gave him the King's commission on the spot, and Bishop all but choked hisself with rage when he was told of it.	So I goes to him, and 'accept this poxy commission,' says I; 'turn King's man and save your neck and ours.' He took me at my word, and the London pimp gave him the King's commission on the spot, and Bishop all but choked hisself with rage when he was told of it.
1264_129805_000022_000007	But happened it had, and he was forced to swallow it.	But happened it had, and he was forced to swallow it.
1264_129805_000022_000009	But Bishop didn't trust us.	But Bishop didn't trust us.
1264_129805_000022_000010	He knew too much.	He knew too much.
1264_129805_000022_000013	But that hound Bishop had passed the word, and the fort kept a sharp lookout.	But that hound Bishop had passed the word, and the fort kept a sharp lookout.
1264_129805_000022_000014	In the end, though it took a fortnight, Blood bubbled him.	In the end, though it took a fortnight, Blood bubbled him.
1264_129805_000022_000016	His game--as he'd secretly told me--was to follow and give chase.	His game-as he'd secretly told me-was to follow and give chase.
1264_129805_000023_000000	There was a great historian lost in Wolverstone.	There was a great historian lost in Wolverstone.
1264_129805_000023_000001	He had the right imagination that knows just how far it is safe to stray from the truth and just how far to colour it so as to change its shape for his own purposes.	He had the right imagination that knows just how far it is safe to stray from the truth and just how far to colour it so as to change its shape for his own purposes.
1264_129805_000024_000000	Having delivered himself of his decoction of fact and falsehood, and thereby added one more to the exploits of Peter Blood, he enquired where the Captain might be found.	Having delivered himself of his decoction of fact and falsehood, and thereby added one more to the exploits of peter Blood, he enquired where the Captain might be found.
1264_129805_000024_000001	Being informed that he kept his ship, Wolverstone stepped into a boat and went aboard, to report himself, as he put it.	Being informed that he kept his ship, Wolverstone stepped into a boat and went aboard, to report himself, as he put it.
1264_129805_000025_000001	As Wolverstone came in, the Captain raised bloodshot eyes to consider him.	As Wolverstone came in, the Captain raised bloodshot eyes to consider him.
1264_129805_000025_000002	A moment they sharpened in their gaze as he brought his visitor into focus.	A moment they sharpened in their gaze as he brought his visitor into focus.
1264_129805_000025_000003	Then he laughed, a loose, idiot laugh, that yet somehow was half a sneer.	Then he laughed, a loose, idiot laugh, that yet somehow was half a sneer.
1264_129805_000026_000000	"Ah!	"Ah!
1264_129805_000026_000001	The Old Wolf!" said he.	The Old Wolf!" said he.
1264_129805_000026_000002	"Got here at last, eh?	"Got here at last, eh?
1264_129805_000027_000000	Old Wolverstone stared at him in sombre silence.	Old Wolverstone stared at him in sombre silence.
1264_129805_000027_000001	He had looked with untroubled eye upon many a hell of devilment in his time, but the sight of Captain Blood in this condition filled him with sudden grief.	He had looked with untroubled eye upon many a hell of devilment in his time, but the sight of Captain Blood in this condition filled him with sudden grief.
1264_129805_000027_000003	It was his only expression for emotion of all kinds.	It was his only expression for emotion of all kinds.
1264_129805_000027_000004	Then he rolled forward, and dropped into a chair at the table, facing the Captain.	Then he rolled forward, and dropped into a chair at the table, facing the Captain.
1264_129805_000029_000001	"Rum, from Jamaica." He pushed bottle and glass towards Wolverstone.	"Rum, from Jamaica." He pushed bottle and glass towards Wolverstone.
1264_129805_000031_000000	"I'm asking you what ails you?" he bawled.	"I'm asking you what ails you?" he bawled.
1264_129805_000033_000000	"I've done it," said Wolverstone.	"I've done it," said Wolverstone.
1264_129805_000035_000001	The Captain steadied himself to grasp it.	The Captain steadied himself to grasp it.
1264_129805_000037_000001	"Meanwhile ye'll please to remember the tale I've told, and say nothing that'll make me out a liar.	"Meanwhile ye'll please to remember the tale I've told, and say nothing that'll make me out a liar.
1264_129805_000039_000001	"We'll talk again to-morrow."	"We'll talk again to morrow."
1264_129805_000040_000002	Rum was in itself an effect, and not by any means the cause of the Captain's listless apathy.	Rum was in itself an effect, and not by any means the cause of the Captain's listless apathy.
1264_129805_000040_000004	He cursed all things that daggled petticoats, and, knowing his world, waited for the sickness to pass.	He cursed all things that daggled petticoats, and, knowing his world, waited for the sickness to pass.
1264_129805_000041_000000	But it did not pass.	But it did not pass.
1264_129805_000041_000002	His friends at Government House, bewildered at this change in him, sought to reclaim him.	His friends at Government House, bewildered at this change in him, sought to reclaim him.
1264_129805_000042_000000	Later, as the rainy season approached its end, he was sought by his captains with proposals of remunerative raids on Spanish settlements. But to all he manifested an indifference which, as the weeks passed and the weather became settled, begot first impatience and then exasperation.	Later, as the rainy season approached its end, he was sought by his captains with proposals of remunerative raids on Spanish settlements. But to all he manifested an indifference which, as the weeks passed and the weather became settled, begot first impatience and then exasperation.
1264_129805_000043_000000	Christian, who commanded the Clotho, came storming to him one day, upbraiding him for his inaction, and demanding that he should take order about what was to do.	Christian, who commanded the Clotho, came storming to him one day, upbraiding him for his inaction, and demanding that he should take order about what was to do.
1264_129805_000044_000001	Christian departed fuming, and on the morrow the Clotho weighed anchor and sailed away, setting an example of desertion from which the loyalty of Blood's other captains would soon be unable to restrain their men.	Christian departed fuming, and on the morrow the Clotho weighed anchor and sailed away, setting an example of desertion from which the loyalty of Blood's other captains would soon be unable to restrain their men.
1264_129805_000045_000002	Neither backward nor forward could he move, it seemed.	Neither backward nor forward could he move, it seemed.
1264_129805_000046_000001	He had entirely lost the almost foppish concern for his appearance, and was grown careless and slovenly in his dress.	He had entirely lost the almost foppish concern for his appearance, and was grown careless and slovenly in his dress.
1264_129805_000047_000000	Wolverstone, the only one who held the clue to this degeneration, ventured once--and once only--to beard him frankly about it.	Wolverstone, the only one who held the clue to this degeneration, ventured once-and once only-to beard him frankly about it.
1264_129805_000049_000000	The blue eyes glared at him from under the jet-black eyebrows, and something of their old fire began to kindle in them.	The blue eyes glared at him from under the jet black eyebrows, and something of their old fire began to kindle in them.
1264_129805_000050_000001	That's not the Old Wolf's way.	That's not the Old Wolf's way.
1264_129805_000050_000002	If there's no other expedition'll tempt you, why not Port Royal?	If there's no other expedition'll tempt you, why not Port Royal?
1264_129805_000050_000003	What a plague do it matter if it is an English settlement?	What a plague do it matter if it is an English settlement?
1264_129805_000050_000004	It's commanded by Colonel Bishop, and there's no lack of rascals in your company'd follow you to hell if it meant getting Colonel Bishop by the throat.	It's commanded by Colonel Bishop, and there's no lack of rascals in your company'd follow you to hell if it meant getting Colonel Bishop by the throat.
1264_129805_000050_000005	It could be done, I tell you.	It could be done, I tell you.
1264_129805_000050_000007	There's enough plunder in the town to tempt the lads, and there's the wench for you.	There's enough plunder in the town to tempt the lads, and there's the wench for you.
1264_129805_000052_000001	And Wolverstone, in terror before that fury, went out without another word.	And Wolverstone, in terror before that fury, went out without another word.
1264_129805_000052_000002	The subject was not raised again, and Captain Blood was left to his idle abstraction.	The subject was not raised again, and Captain Blood was left to his idle abstraction.
1264_129805_000058_000000	"You have a good force here under your command, my Captain," said he.	"You have a good force here under your command, my Captain," said he.
1264_129805_000065_000000	"News has reached us from France that there is war with Spain."	"News has reached us from France that there is war with Spain."
1264_129805_000067_000000	"I am speaking officially, my Captain.	"I am speaking officially, my Captain.
1264_129805_000067_000001	I am not alluding to unofficial skirmishes, and unofficial predatory measures which we have condoned out here.	I am not alluding to unofficial skirmishes, and unofficial predatory measures which we have condoned out here.
1264_129805_000067_000002	There is war--formally war--between France and Spain in Europe.	There is war-formally war-between France and Spain in Europe.
1264_129805_000067_000005	I have letters from him desiring me to equip a supplementary squadron and raise a body of not less than a thousand men to reenforce him on his arrival.	I have letters from him desiring me to equip a supplementary squadron and raise a body of not less than a thousand men to reenforce him on his arrival.
1264_129805_000068_000000	Blood looked at him with a faint kindling of interest.	Blood looked at him with a faint kindling of interest.
1264_129805_000068_000001	"You are offering to take us into the French service?" he asked.	"You are offering to take us into the French service?" he asked.
1264_129805_000068_000002	"On what terms, monsieur?"	"On what terms, monsieur?"
1264_129805_000069_000000	"With the rank of Capitaine de Vaisseau for yourself, and suitable ranks for the officers serving under you.	"With the rank of Capitaine de Vaisseau for yourself, and suitable ranks for the officers serving under you.
1264_129805_000069_000001	You will enjoy the pay of that rank, and you will be entitled, together with your men, to one-tenth share in all prizes taken."	You will enjoy the pay of that rank, and you will be entitled, together with your men, to one tenth share in all prizes taken."
1264_129805_000070_000000	"My men will hardly account it generous.	"My men will hardly account it generous.
1264_129805_000070_000001	They will tell you that they can sail out of here to-morrow, disembowel a Spanish settlement, and keep the whole of the plunder."	They will tell you that they can sail out of here to morrow, disembowel a Spanish settlement, and keep the whole of the plunder."
1264_129805_000071_000002	So that the one tenth in this case may be equal to more than the whole in the other."	So that the one tenth in this case may be equal to more than the whole in the other."
1264_129805_000072_000000	Captain Blood considered.	Captain Blood considered.
1264_129805_000073_000000	"I will consult my officers," he said; and he sent for them.	"I will consult my officers," he said; and he sent for them.
1264_129805_000074_000004	For one fifth of the prizes, the officers would answer for their men; not for less.	For one fifth of the prizes, the officers would answer for their men; not for less.
1264_129805_000075_000001	He had his instructions.	He had his instructions.
1264_129805_000075_000002	It was taking a deal upon himself to exceed them.	It was taking a deal upon himself to exceed them.
1264_129805_000075_000003	The buccaneers were firm.	The buccaneers were firm.
1264_129805_000076_000000	After that followed days of activity in Tortuga, refitting the ships, boucanning meat, laying in stores.	After that followed days of activity in Tortuga, refitting the ships, boucanning meat, laying in stores.
1264_129805_000076_000001	In these matters which once would have engaged all Captain Blood's attention, he now took no part. He continued listless and aloof.	In these matters which once would have engaged all Captain Blood's attention, he now took no part. He continued listless and aloof.
1264_129805_000076_000003	But his consent remained passive.	But his consent remained passive.
