3816_11258_000000_000000	But what is this?	But what is this?	false	0	0.9	30.743153
3816_11258_000007_000001	I wonder what Sir George Tufto would say, if a sentry left his post because a noble lord (not the least connected with the service) begged the sentinel not to do his duty!	I wonder what Sir George Tufto would say, if a sentry left his post because a noble lord (not the least connected with the service) begged the sentinel not to do his duty!	true	184.49	196.78	22.30808
3816_11258_000008_000000	Alas! that the beadle who canes little boys and drives them out, cannot drive worldliness out too; what is worldliness but snobbishness?	Alas! that the beadle who canes little boys and drives them out, cannot drive worldliness out too; what is worldliness but snobbishness?	false	197.96	208.57	20.711021
3816_11258_000008_000001	When, for instance, I read in the newspapers that the Right Reverend the Lord Charles James administered the rite of confirmation to a PARTY OF THE JUVENILE NOBILITY at the Chapel Royal,--as if the Chapel Royal were a sort of ecclesiastical Almack's, and young people were to get ready for the next world in little exclusive genteel knots of the aristocracy, who were not to be disturbed in their journey thither by the company of the vulgar:--when I read such a paragraph as that (and one or two such generally appear during the present fashionable season), it seems to me to be the most odious, mean and disgusting part of that odious, mean, and disgusting publication, the COURT CIRCULAR; and that snobbishness is therein carried to quite an awful pitch.	When, for instance, I read in the newspapers that the Right Reverend the Lord Charles james administered the rite of confirmation to a PARTY OF THE JUVENILE NOBILITY at the Chapel Royal,--as if the Chapel Royal were a sort of ecclesiastical Almack's, and young people were to get ready for the next world in little exclusive genteel knots of the aristocracy, who were not to be disturbed in their journey thither by the company of the vulgar:--when I read such a paragraph as that (and one or two such generally appear during the present fashionable season), it seems to me to be the most odious, mean and disgusting part of that odious, mean, and disgusting publication, the COURT CIRCULAR; and that snobbishness is therein carried to quite an awful pitch.	false	209.3	262.87	21.203856
3816_11258_000008_000002	What, gentlemen, can't we even in the Church acknowledge a republic?	What, gentlemen, can't we even in the Church acknowledge a republic?	true	263.51	268.21	25.911469
3816_11258_000008_000003	There, at least, the Heralds' College itself might allow that we all of us have the same pedigree, and are direct descendants of Eve and Adam, whose inheritance is divided amongst us.	There, at least, the Heralds' College itself might allow that we all of us have the same pedigree, and are direct descendants of Eve and Adam, whose inheritance is divided amongst us.	true	268.67	280.81	20.539955
3816_11258_000009_000000	I hereby call upon all Dukes, Earls, Baronets, and other potentates, not to lend themselves to this shameful scandal and error, and beseech all Bishops who read this publication to take the matter into consideration, and to protest against the continuance of the practice, and to declare, 'We WON'T confirm or christen Lord Tomnoddy, or Sir Carnaby Jenks, to the exclusion of any other young Christian;' the which declaration if their Lordships are induced to make, a great LAPIS OFFENSIONIS will be removed, and the Snob Papers will not have been written in vain.	I hereby call upon all Dukes, Earls, Baronets, and other potentates, not to lend themselves to this shameful scandal and error, and beseech all Bishops who read this publication to take the matter into consideration, and to protest against the continuance of the practice, and to declare, 'We WON'T confirm or christen Lord Tomnoddy, or Sir Carnaby Jenks, to the exclusion of any other young Christian;' the which declaration if their Lordships are induced to make, a great LAPIS o f f e n s i o n i s will be removed, and the Snob Papers will not have been written in vain.	false	281.78	323.35	21.990412
3816_11258_000010_000000	A story is current of a celebrated NOUVEAU-RICHE, who having had occasion to oblige that excellent prelate the Bishop of Bullocksmithy, asked his Lordship, in return, to confirm his children privately in his Lordship's own chapel; which ceremony the grateful prelate accordingly performed.	A story is current of a celebrated NOUVEAU RICHE, who having had occasion to oblige that excellent prelate the Bishop of Bullocksmithy, asked his Lordship, in return, to confirm his children privately in his Lordship's own chapel; which ceremony the grateful prelate accordingly performed.	true	324.11	345.19	22.092308
3816_11258_000010_000001	Can satire go farther than this?	Can satire go farther than this?	true	345.47	347.98	21.580772
3816_11258_000010_000002	Is there even in this most amusing of prints, any more NAIVE absurdity?	Is there even in this most amusing of prints, any more NAIVE absurdity?	true	348.23	354.1	18.99414
3816_11258_000010_000003	It is as if a man wouldn't go to heaven unless he went in a special train, or as if he thought (as some people think about vaccination) Confirmation more effectual when administered at first hand.	It is as if a man wouldn't go to heaven unless he went in a special train, or as if he thought (as some people think about vaccination) Confirmation more effectual when administered at first hand.	true	354.89	369.13	20.204193
3816_11258_000010_000004	When that eminent person, the Begum Sumroo, died, it is said she left ten thousand pounds to the Pope, and ten thousand to the Archbishop of Canterbury,--so that there should be no mistake,--so as to make sure of having the ecclesiastical authorities on her side.	When that eminent person, the Begum Sumroo, died, it is said she left ten thousand pounds to the Pope, and ten thousand to the Archbishop of Canterbury,--so that there should be no mistake,--so as to make sure of having the ecclesiastical authorities on her side.	false	369.92	388.57	19.797749
3816_11258_000010_000005	This is only a little more openly and undisguisedly snobbish than the cases before alluded to.	This is only a little more openly and undisguisedly snobbish than the cases before alluded to.	true	389.18	395.95	22.926205
3816_11258_000010_000006	A well-bred Snob is just as secretly proud of his riches and honours as a PARVENU Snob who makes the most ludicrous exhibition of them; and a high-born Marchioness or Duchess just as vain of herself and her diamonds, as Queen Quashyboo, who sews a pair of epaulets on to her skirt, and turns out in state in a cocked hat and feathers.	A well bred Snob is just as secretly proud of his riches and honours as a PARVENU Snob who makes the most ludicrous exhibition of them; and a high born Marchioness or Duchess just as vain of herself and her diamonds, as Queen Quashyboo, who sews a pair of epaulets on to her skirt, and turns out in state in a cocked hat and feathers.	true	396.68	422.86	21.415234
3816_11258_000011_000000	It is not out of disrespect to my 'Peerage,' which I love and honour, (indeed, have I not said before, that I should be ready to jump out of my skin if two Dukes would walk down Pall Mall with me?)--it is not out of disrespect for the individuals, that I wish these titles had never been invented; but, consider, if there were no tree, there would be no shadow; and how much more honest society would be, and how much more serviceable the clergy would be (which is our present consideration), if these temptations of rank and continual baits of worldliness were not in existence, and perpetually thrown out to lead them astray.	It is not out of disrespect to my 'Peerage,' which I love and honour, (indeed, have I not said before, that I should be ready to jump out of my skin if two Dukes would walk down Pall Mall with me?)--it is not out of disrespect for the individuals, that I wish these titles had never been invented; but, consider, if there were no tree, there would be no shadow; and how much more honest society would be, and how much more serviceable the clergy would be (which is our present consideration), if these temptations of rank and continual baits of worldliness were not in existence, and perpetually thrown out to lead them astray.	true	424.01	466.09	21.115543
3816_11258_000012_000000	I have seen many examples of their falling away.	I have seen many examples of their falling away.	true	466.97	469.93	19
3816_11258_000012_000001	When, for instance, Tom Sniffle first went into the country as Curate for Mr. Fuddleston (Sir Huddleston Fuddleston's brother), who resided on some other living, there could not be a more kind, hardworking, and excellent creature than Tom.	When, for instance, Tom Sniffle first went into the country as Curate for mr Fuddleston (Sir Huddleston Fuddleston's brother), who resided on some other living, there could not be a more kind, hardworking, and excellent creature than Tom.	true	470.15	486.52	22.544453
3816_11258_000012_000002	He had his aunt to live with him.	He had his aunt to live with him.	true	487.01	489.04	19.158327
3816_11258_000012_000003	His conduct to his poor was admirable.	His conduct to his poor was admirable.	true	489.23	491.98	21.11326
3816_11258_000012_000004	He wrote annually reams of the best-intentioned and vapid sermons.	He wrote annually reams of the best intentioned and vapid sermons.	true	492.44	497.17	20.60385
3816_11258_000012_000005	When Lord Brandyball's family came down into the country, and invited him to dine at Brandyball Park, Sniffle was so agitated that he almost forgot how to say grace, and upset a bowl of currant-jelly sauce in Lady Fanny Toffy's lap.	When Lord Brandyball's family came down into the country, and invited him to dine at Brandyball Park, Sniffle was so agitated that he almost forgot how to say grace, and upset a bowl of currant jelly sauce in Lady Fanny Toffy's lap.	true	497.84	514.3	20.095121
3816_11258_000013_000000	What was the consequence of his intimacy with that noble family?	What was the consequence of his intimacy with that noble family?	true	515.15	519.1	19
3816_11258_000013_000001	He quarrelled with his aunt for dining out every night.	He quarrelled with his aunt for dining out every night.	true	519.74	522.84	21.033396
3816_11258_000013_000002	The wretch forgot his poor altogether, and killed his old nag by always riding over to Brandyball; where he revelled in the maddest passion for Lady Fanny. He ordered the neatest new clothes and ecclesiastical waistcoats from London; he appeared with corazza-shirts, lackered boots, and perfumery; he bought a blood-horse from Bob Toffy: was seen at archery meetings, public breakfasts,--actually at cover; and, I blush to say, that I saw him in a stall at the Opera; and afterwards riding by Lady Fanny's side in Rotten Row.	The wretch forgot his poor altogether, and killed his old nag by always riding over to Brandyball; where he revelled in the maddest passion for Lady Fanny. He ordered the neatest new clothes and ecclesiastical waistcoats from London; he appeared with corazza shirts, lackered boots, and perfumery; he bought a blood horse from Bob Toffy: was seen at archery meetings, public breakfasts,--actually at cover; and, I blush to say, that I saw him in a stall at the Opera; and afterwards riding by Lady Fanny's side in Rotten Row.	true	522.84	561.4	20.613714
3816_11258_000013_000003	He DOUBLE-BARRELLED his name, (as many poor Snobs do,) and instead of T. Sniffle, as formerly, came out, in a porcelain card, as Rev.	He DOUBLE BARRELLED his name, (as many poor Snobs do,) and instead of t Sniffle, as formerly, came out, in a porcelain card, as Rev.	true	562.07	573.96	20.028576
3816_11258_000013_000004	T. D'Arcy Sniffle, Burlington Hotel.	T. D'Arcy Sniffle, Burlington Hotel.	true	573.96	577.39	19.164898
3816_11258_000014_000000	The end of all this may be imagined: when the Earl of Brandyball was made acquainted with the curate's love for Lady Fanny, he had that fit of the gout which so nearly carried him off (to the inexpressible grief of his son, Lord Alicompayne), and uttered that remarkable speech to Sniffle, which disposed of the claims of the latter:--' If I didn't respect the Church, Sir,' his Lordship said, 'by Jove, I'd kick you downstairs:' his Lordship then fell back into the fit aforesaid; and Lady Fanny, as we all know, married General Podager.	The end of all this may be imagined: when the Earl of Brandyball was made acquainted with the curate's love for Lady Fanny, he had that fit of the gout which so nearly carried him off (to the inexpressible grief of his son, Lord Alicompayne), and uttered that remarkable speech to Sniffle, which disposed of the claims of the latter:--' If I didn't respect the Church, Sir,' his Lordship said, 'by Jove, I'd kick you downstairs:' his Lordship then fell back into the fit aforesaid; and Lady Fanny, as we all know, married General Podager.	false	578.6	619.05	19.852167
3816_11258_000015_000000	As for poor Tom, he was over head and ears in debt as well as in love: his creditors came down upon him.	As for poor Tom, he was over head and ears in debt as well as in love: his creditors came down upon him.	true	619.05	626.95	21.611454
3816_11258_000015_000001	Mr. Hemp, of Portugal Street, proclaimed his name lately as a reverend outlaw; and he has been seen at various foreign watering-places; sometimes doing duty; sometimes 'coaching' a stray gentleman's son at Carlsruhe or Kissingen; sometimes--must we say it?--lurking about the roulette-tables with a tuft to his chin.	mr Hemp, of Portugal Street, proclaimed his name lately as a reverend outlaw; and he has been seen at various foreign watering places; sometimes doing duty; sometimes 'coaching' a stray gentleman's son at Carlsruhe or Kissingen; sometimes-must we say it?--lurking about the roulette tables with a tuft to his chin.	true	627.08	650.98	21.037169
3816_11258_000016_000000	If temptation had not come upon this unhappy fellow in the shape of a Lord Brandyball, he might still have been following his profession, humbly and worthily.	If temptation had not come upon this unhappy fellow in the shape of a Lord Brandyball, he might still have been following his profession, humbly and worthily.	true	652.25	662.89	21.361792
3816_11258_000016_000001	He might have married his cousin with four thousand pounds, the wine-merchant's daughter (the old gentleman quarrelled with his nephew for not soliciting wine-orders from Lord B. for him): he might have had seven children, and taken private pupils, and eked out his income, and lived and died a country parson.	He might have married his cousin with four thousand pounds, the wine merchant's daughter (the old gentleman quarrelled with his nephew for not soliciting wine orders from Lord b for him): he might have had seven children, and taken private pupils, and eked out his income, and lived and died a country parson.	true	663.26	683.86	21.105145
3816_11258_000017_000000	Could he have done better?	Could he have done better?	true	685.01	686.77	23.061415
3816_11258_000017_000001	You who want to know how great, and good, and noble such a character may be, read Stanley's 'Life of Doctor Arnold.'	You who want to know how great, and good, and noble such a character may be, read Stanley's 'Life of Doctor Arnold.'	false	686.96	705.03	19.534237
