7395_89882_000000_000000	Chap. XIV.	Chap. fourteen.	false	25.335	26.89	25.228024
7395_89882_000020_000000	By this beginning of the epistle it evidently appears that this heresy arose among them in very late times, and that not all their nation, but only some of them, were involved in the same.	By this beginning of the epistle it evidently appears that this heresy arose among them in very late times, and that not all their nation, but only some of them, were involved in the same.	true	1244.34	1255.45	16
7395_89882_000021_000000	After having laid down the manner of keeping Easter, they add this concerning the Pelagians in the same epistle:	After having laid down the manner of keeping Easter, they add this concerning the Pelagians in the same epistle:	true	1255.7	1262.98	19
7395_89882_000022_000000	"And we have also learnt that the poison of the Pelagian heresy again springs up among you; we, therefore, exhort you, that you put away from your thoughts all such venomous and superstitious wickedness.	"And we have also learnt that the poison of the Pelagian heresy again springs up among you; we, therefore, exhort you, that you put away from your thoughts all such venomous and superstitious wickedness.	true	1263.47	1276.78	21.539127
7395_89882_000022_000001	For you cannot be ignorant how that execrable heresy has been condemned; for it has not only been abolished these two hundred years, but it is also daily condemned by us and buried under our perpetual ban; and we exhort you not to rake up the ashes of those whose weapons have been burnt.	For you cannot be ignorant how that execrable heresy has been condemned; for it has not only been abolished these two hundred years, but it is also daily condemned by us and buried under our perpetual ban; and we exhort you not to rake up the ashes of those whose weapons have been burnt.	true	1276.82	1296.04	22.47267
7395_89882_000022_000002	For who would not detest that insolent and impious assertion, 'That man can live without sin of his own free will, and not through the grace of God?' And in the first place, it is blasphemous folly to say that man is without sin, which none can be, but only the one Mediator between God and men, the Man Christ Jesus, Who was conceived and born without sin; for all other men, being born in original sin, are known to bear the mark of Adam's transgression, even whilst they are without actual sin, according to the saying of the prophet, 'For behold, I was conceived in iniquity; and in sin did my mother give birth to me.' "(269)	For who would not detest that insolent and impious assertion, 'That man can live without sin of his own free will, and not through the grace of God?' And in the first place, it is blasphemous folly to say that man is without sin, which none can be, but only the one Mediator between God and men, the Man Christ Jesus, Who was conceived and born without sin; for all other men, being born in original sin, are known to bear the mark of Adam's transgression, even whilst they are without actual sin, according to the saying of the prophet, 'For behold, I was conceived in iniquity; and in sin did my mother give birth to me.' "(two hundred sixty nine)	false	1296.5	1339.77	21.424997
7395_89882_000023_000000	Chap. XX.	Chap. x x.	false	1339.77	1341.36	21.562788
7395_89882_000023_000001	How Edwin being slain, Paulinus returned into Kent, and had the bishopric of Rochester conferred upon him.	How Edwin being slain, Paulinus returned into Kent, and had the bishopric of Rochester conferred upon him.	true	1341.36	1348.75	21
7395_89882_000023_000002	[633 A.D.]	[six thirty three a d]	true	1348.79	1350.88	24.044815
7395_89882_000024_000000	Edwin reigned most gloriously seventeen years over the nations of the English and the Britons, six whereof, as has been said, he also was a soldier in the kingdom of Christ.	Edwin reigned most gloriously seventeen years over the nations of the English and the Britons, six whereof, as has been said, he also was a soldier in the kingdom of Christ.	true	1351.43	1362.79	19
7395_89882_000024_000001	Caedwalla,(270) king of the Britons, rebelled against him, being supported by the vigorous Penda, of the royal race of the Mercians, who from that time governed that nation for twenty-two years with varying success.	Caedwalla,(two hundred seventy) king of the Britons, rebelled against him, being supported by the vigorous Penda, of the royal race of the Mercians, who from that time governed that nation for twenty two years with varying success.	false	1363.01	1376.8	21
7395_89882_000024_000002	A great battle being fought in the plain that is called Haethfelth,(271) Edwin was killed on the 12th of October, in the year of our Lord 633, being then forty-eight years of age, and all his army was either slain or dispersed.	A great battle being fought in the plain that is called Haethfelth,(two hundred seventy one) Edwin was killed on the twelfth of October, in the year of our Lord six hundred thirty three, being then forty eight years of age, and all his army was either slain or dispersed.	false	1377.29	1392.79	21.850468
7395_89882_000024_000003	In the same war also, Osfrid,(272) one of his sons, a warlike youth, fell before him; Eadfrid,(273) another of them, compelled by necessity, went over to King Penda, and was by him afterwards slain in the reign of Oswald, contrary to his oath.	In the same war also, Osfrid,(two hundred seventy two) one of his sons, a warlike youth, fell before him; Eadfrid,(two hundred seventy three) another of them, compelled by necessity, went over to King Penda, and was by him afterwards slain in the reign of Oswald, contrary to his oath.	false	1392.98	1410.52	21.610859
7395_89882_000024_000004	At this time a great slaughter was made in the Church and nation of the Northumbrians; chiefly because one of the chiefs, by whom it was carried on, was a pagan, and the other a barbarian, more cruel than a pagan; for Penda, with all the nation of the Mercians, was an idolater, and a stranger to the name of Christ; but Caedwalla, though he professed and called himself a Christian, was so barbarous in his disposition and manner of living, that he did not even spare women and innocent children, but with bestial cruelty put all alike to death by torture, and overran all their country in his fury for a long time, intending to cut off all the race of the English within the borders of Britain.	At this time a great slaughter was made in the Church and nation of the Northumbrians; chiefly because one of the chiefs, by whom it was carried on, was a pagan, and the other a barbarian, more cruel than a pagan; for Penda, with all the nation of the Mercians, was an idolater, and a stranger to the name of Christ; but Caedwalla, though he professed and called himself a Christian, was so barbarous in his disposition and manner of living, that he did not even spare women and innocent children, but with bestial cruelty put all alike to death by torture, and overran all their country in his fury for a long time, intending to cut off all the race of the English within the borders of Britain.	true	1410.74	1453.9	22.189188
7395_89882_000024_000005	Nor did he pay any respect to the Christian religion which had sprung up among them; it being to this day the custom of the Britons to despise the faith and religion of the English, and to have no part with them in anything any more than with pagans.	Nor did he pay any respect to the Christian religion which had sprung up among them; it being to this day the custom of the Britons to despise the faith and religion of the English, and to have no part with them in anything any more than with pagans.	true	1454.27	1469.02	22
7395_89882_000024_000006	King Edwin's head was brought to York, and afterwards taken into the church of the blessed Peter the Apostle, which he had begun, but which his successor Oswald finished, as has been said before.	King Edwin's head was brought to York, and afterwards taken into the church of the blessed peter the Apostle, which he had begun, but which his successor Oswald finished, as has been said before.	true	1469.33	1482.34	22.864788
7395_89882_000024_000007	It was laid in the chapel of the holy Pope Gregory, from whose disciples he had received the word of life.(274)	It was laid in the chapel of the holy Pope Gregory, from whose disciples he had received the word of life.(two hundred seventy four)	false	1482.68	1489.95	22.66815
7395_89882_000025_000000	The affairs of the Northumbrians being thrown into confusion at the moment of this disaster, when there seemed to be no prospect of safety except in flight, Paulinus, taking with him Queen Ethelberg, whom he had before brought thither, returned into Kent by sea, and was very honourably received by the Archbishop Honorius and King Eadbald.	The affairs of the Northumbrians being thrown into confusion at the moment of this disaster, when there seemed to be no prospect of safety except in flight, Paulinus, taking with him Queen Ethelberg, whom he had before brought thither, returned into Kent by sea, and was very honourably received by the Archbishop Honorius and King Eadbald.	false	1489.95	1512.16	22
7395_89882_000025_000001	He came thither under the conduct of Bassus, a most valiant thegn of King Edwin, having with him Eanfled, the daughter, and Wuscfrea, the son of Edwin, as well as Yffi, the son of Osfrid, Edwin's son.(275) Afterwards Ethelberg, for fear of the kings Eadbald and Oswald,(276) sent Wuscfrea and Yffi over into Gaul to be bred up by King Dagobert,(277) who was her friend; and there they both died in infancy, and were buried in the church with the honour due to royal children and to Christ's innocents.	He came thither under the conduct of Bassus, a most valiant thegn of King Edwin, having with him Eanfled, the daughter, and Wuscfrea, the son of Edwin, as well as y f f i, the son of Osfrid, Edwin's son.(two hundred seventy five) Afterwards Ethelberg, for fear of the kings Eadbald and Oswald,(two hundred seventy six) sent Wuscfrea and y f f i over into Gaul to be bred up by King Dagobert,(two hundred seventy seven) who was her friend; and there they both died in infancy, and were buried in the church with the honour due to royal children and to Christ's innocents.	false	1512.32	1546.48	22.208754
7395_89882_000025_000002	He also brought with him many rich goods of King Edwin, among which were a large gold cross, and a golden chalice, consecrated to the service of the altar, which are still preserved, and shown in the church of Canterbury.	He also brought with him many rich goods of King Edwin, among which were a large gold cross, and a golden chalice, consecrated to the service of the altar, which are still preserved, and shown in the church of Canterbury.	true	1546.97	1560.25	19
7395_89882_000026_000000	At that time the church of Rochester had no pastor, for Romanus,(278) the bishop thereof, being sent on a mission to Pope Honorius by Archbishop Justus, was drowned in the Italian Sea; and thus Paulinus, at the request of Archbishop Honorius and King Eadbald, took upon him the charge of the same, and held it until he too, in his own time, departed to heaven, with the fruits of his glorious labours; and, dying in that Church, he left there the pall which he had received from the Pope of Rome.	At that time the church of Rochester had no pastor, for Romanus,(two hundred seventy eight) the bishop thereof, being sent on a mission to Pope Honorius by Archbishop Justus, was drowned in the Italian Sea; and thus Paulinus, at the request of Archbishop Honorius and King Eadbald, took upon him the charge of the same, and held it until he too, in his own time, departed to heaven, with the fruits of his glorious labours; and, dying in that Church, he left there the pall which he had received from the Pope of Rome.	false	1560.71	1592.62	21
7395_89882_000026_000001	He had left behind him in his Church at York, James, the deacon,(279) a true churchman and a holy man, who continuing long after in that Church, by teaching and baptizing, rescued much prey from the ancient enemy; and from him the village, where he chiefly dwelt, near Cataract,(280) has its name to this day.	He had left behind him in his Church at York, james, the deacon,(two hundred seventy nine) a true churchman and a holy man, who continuing long after in that Church, by teaching and baptizing, rescued much prey from the ancient enemy; and from him the village, where he chiefly dwelt, near Cataract,(two hundred eighty) has its name to this day.	false	1592.72	1613.47	22.485987
7395_89882_000026_000002	He had great skill in singing in church, and when the province was afterwards restored to peace, and the number of the faithful increased, he began to teach church music to many, according to the custom of the Romans, or of the Cantuarians.(281) And being old and full of days, as the Scripture says, he went the way of his fathers.	He had great skill in singing in church, and when the province was afterwards restored to peace, and the number of the faithful increased, he began to teach church music to many, according to the custom of the romans, or of the Cantuarians.(two hundred eighty one) And being old and full of days, as the Scripture says, he went the way of his fathers.	false	1613.84	1641.54	22.163742
