711_187466_000000_000000	CHAP.	CHAP.	false	1.11	3.66	18
711_187466_000010_000003	The singularity of Mynheer Company's health, led us to request an explanation; when we were informed, they found it necessary to make them believe that Mynheer Company was a great and powerful king, lest they should not be inclined to pay that submission to a company of merchants.	The singularity of Mynheer Company's health, led us to request an explanation; when we were informed, they found it necessary to make them believe that Mynheer Company was a great and powerful king, lest they should not be inclined to pay that submission to a company of merchants.	false	435.62	456.79	21
711_187466_000011_000000	The inaugural ceremony at the installation of the young king, was performed by his drinking a bumper of brandy and gunpowder, stirred round with the point of a sword.	The inaugural ceremony at the installation of the young king, was performed by his drinking a bumper of brandy and gunpowder, stirred round with the point of a sword.	false	457.7	468.28	17
711_187466_000011_000001	After being invested with the regal dignity, he came down in state, to pay his respects to the governor.	After being invested with the regal dignity, he came down in state, to pay his respects to the governor.	true	468.68	475.24	19
711_187466_000011_000002	As he was preceded by music, and colours flying, every one turned out to see him. Amongst the rest was a captive king in chains, who was employed blowing the bellows to our armourer, whilst he was forging bolts and fetters for our prisoners and convicts.	As he was preceded by music, and colours flying, every one turned out to see him. Amongst the rest was a captive king in chains, who was employed blowing the bellows to our armourer, whilst he was forging bolts and fetters for our prisoners and convicts.	true	475.82	493.69	20
711_187466_000011_000003	Here the sunshine of prosperity, and the mutability of human greatness, were excellently pourtrayed.	Here the sunshine of prosperity, and the mutability of human greatness, were excellently pourtrayed.	true	494.3	501.22	19
711_187466_000012_000000	By a policy in the Dutch, in supplying the petty princes with ammunition and warlike stores, feuds and dissentions are kindled amongst them; and they are kept so completely engaged in civil war, that they have no time to observe the encroachments of strangers.	By a policy in the Dutch, in supplying the petty princes with ammunition and warlike stores, feuds and dissentions are kindled amongst them; and they are kept so completely engaged in civil war, that they have no time to observe the encroachments of strangers.	false	502.37	519.43	17
711_187466_000012_000001	That domestic strife serves likewise amply to supply the slave trade from the prisoners of both parties.	That domestic strife serves likewise amply to supply the slave trade from the prisoners of both parties.	true	520.13	528.13	21
711_187466_000012_000002	They, however, some time since, made head against the common enemy, and forced the Dutch to retire within their trenches.	They, however, some time since, made head against the common enemy, and forced the Dutch to retire within their trenches.	false	528.65	536.23	18
711_187466_000013_000000	It is the custom, in this climate, to bathe morning and evening.	It is the custom, in this climate, to bathe morning and evening.	true	536.9	540.85	19.130102
711_187466_000013_000001	A fine river, which runs in the centre of the town, is conveniently situated for that purpose; and we availed ourselves of it when our strength would permit.	A fine river, which runs in the centre of the town, is conveniently situated for that purpose; and we availed ourselves of it when our strength would permit.	true	541.01	551.04	18
711_187466_000013_000002	Nature has been profusely lavish, in producing, in the neighbourhood of this place, all the varied powers of landscape that the most luxuriant fancy can suggest.	Nature has been profusely lavish, in producing, in the neighbourhood of this place, all the varied powers of landscape that the most luxuriant fancy can suggest.	false	551.04	562.78	19
711_187466_000013_000003	But, while enjoying the picturesque beauties of the scene, or sheltering in the translucent stream from the fervour of meridian heat, you are suddenly chilled with fear, from the terrific aspect of the alligator, or crested snake, and a number of venomous reptiles, with which this country abounds.	But, while enjoying the picturesque beauties of the scene, or sheltering in the translucent stream from the fervour of meridian heat, you are suddenly chilled with fear, from the terrific aspect of the alligator, or crested snake, and a number of venomous reptiles, with which this country abounds.	false	563.21	584.53	18
711_187466_000013_000004	There is one in particular called the cowk cowk; it is the most disgusting looking animal that creeps the ground, and its bite is mortal.	There is one in particular called the cowk cowk; it is the most disgusting looking animal that creeps the ground, and its bite is mortal.	false	585.26	595.21	21.191776
711_187466_000013_000005	It is about a foot and a half long, and seems a production between the toad and lizard.	It is about a foot and a half long, and seems a production between the toad and lizard.	false	595.43	600.94	19
711_187466_000013_000006	At stated periods it makes a noise exactly like a cuckoo clock.	At stated periods it makes a noise exactly like a cuckoo clock.	true	601.37	606.55	21
711_187466_000013_000007	Even the natives fly from it with the utmost horror.	Even the natives fly from it with the utmost horror.	true	606.98	611.05	18.346743
711_187466_000013_000008	The alligators are daring and numerous.	The alligators are daring and numerous.	true	611.57	614.02	18
711_187466_000013_000009	There are instances of their devouring men and children when bathing in the shallow part of the river above the town.	There are instances of their devouring men and children when bathing in the shallow part of the river above the town.	true	614.45	621.49	17
711_187466_000014_000000	The Governor, Mynheer Vanion, relates a circumstance that happened to him while hunting.	The Governor, Mynheer Vanion, relates a circumstance that happened to him while hunting.	true	622.1	627.79	20.779858
711_187466_000014_000001	In crossing a shallow part of the river, his black boy was snapped up by an alligator; but the Governor immediately dismounted, rescued the boy out of his mouth, and slew him.	In crossing a shallow part of the river, his black boy was snapped up by an alligator; but the Governor immediately dismounted, rescued the boy out of his mouth, and slew him.	true	628.13	639.79	20
711_187466_000015_000000	The natives of Timor are subject to a cutaneous disease during their infancy, something similar to the small pox, but of longer duration.	The natives of Timor are subject to a cutaneous disease during their infancy, something similar to the small pox, but of longer duration.	false	640.31	649.81	19
711_187466_000015_000001	It seldom terminates fatally, and only seizes them once in their lives.[165-1]	It seldom terminates fatally, and only seizes them once in their lives.[one hundred sixty five to one]	false	650.27	656.385	22.393356
711_187466_000016_000000	On the 6th of October, we embarked on board the Rembang Dutch Indiaman, taking with us the prisoners and convicts.	On the sixth of October, we embarked on board the Rembang Dutch Indiaman, taking with us the prisoners and convicts.	true	656.385	665.89	22.898241
711_187466_000016_000001	Our crew became very sickly in passing the Straits of Alice [Allas].	Our crew became very sickly in passing the Straits of Alice [Allas].	false	666.38	671.67	22.459309
711_187466_000016_000002	We had frequent calms and sultry weather until the 12th.	We had frequent calms and sultry weather until the twelfth.	false	671.67	675.88	15
711_187466_000016_000003	In passing the island of Flores, a most tremendous storm arose.	In passing the island of Flores, a most tremendous storm arose.	true	676.61	681.4	19
711_187466_000016_000004	In a few minutes every sail of the ship was shivered to pieces; the pumps all choaked, and useless; the leak gaining fast upon us; and she was driving down, with all the impetuosity imaginable, on a savage shore, about seven miles under our lee.	In a few minutes every sail of the ship was shivered to pieces; the pumps all choaked, and useless; the leak gaining fast upon us; and she was driving down, with all the impetuosity imaginable, on a savage shore, about seven miles under our lee.	false	681.77	701.49	20.7557
711_187466_000016_000005	This storm was attended with the most dreadful thunder and lightning we had ever experienced.	This storm was attended with the most dreadful thunder and lightning we had ever experienced.	false	701.49	707.08	21.174086
711_187466_000016_000006	The Dutch seamen were struck with horror, and went below; and the ship was preserved from destruction by the manly exertion of our English tars, whose souls seemed to catch redoubled ardour from the tempest's rage.	The Dutch seamen were struck with horror, and went below; and the ship was preserved from destruction by the manly exertion of our English tars, whose souls seemed to catch redoubled ardour from the tempest's rage.	true	707.66	724.09	20.572708
711_187466_000016_000007	Indeed it is only in these trying moments of distress, when the abyss of destruction is yawning to receive them, that the transcendent worth of a British seaman is most conspicuous.	Indeed it is only in these trying moments of distress, when the abyss of destruction is yawning to receive them, that the transcendent worth of a British seaman is most conspicuous.	false	724.22	736.87	19
711_187466_000016_000008	Nor would I wish, from what I have observed above, to throw any stigma on the Dutch, who I believe would fight the devil, should he appear in any other shape to them but that of thunder and lightning.	Nor would I wish, from what I have observed above, to throw any stigma on the Dutch, who I believe would fight the devil, should he appear in any other shape to them but that of thunder and lightning.	false	737.63	750.34	20.476053
711_187466_000017_000000	It may be remarked, that the Straits of Alice are not so dangerous as those of Sapy [Sapi], and are for many reasons preferable; but it is so intricate a navigation that a Dutchman bound from Timor to Batavia, after beating about for twelve months, found himself exactly where he first started from.	It may be remarked, that the Straits of Alice are not so dangerous as those of Sapy [Sapi], and are for many reasons preferable; but it is so intricate a navigation that a Dutchman bound from Timor to Batavia, after beating about for twelve months, found himself exactly where he first started from.	false	751.43	772.03	20.560478
711_187466_000018_000000	On the 21st, we got through Alice, and saw three prow-vessels, who are a very daring set of pirates that infest those seas.	On the twenty first, we got through Alice, and saw three prow vessels, who are a very daring set of pirates that infest those seas.	false	772.61	783.61	19.588943
711_187466_000018_000001	On the 22nd, saw the islands of Kangajunk and Ulk, and run through the channel that is between them.	On the twenty second, saw the islands of Kangajunk and u l k, and run through the channel that is between them.	false	783.74	791.76	20.554638
711_187466_000018_000002	Next day we saw the island of Madura.	Next day we saw the island of Madura.	true	791.76	794.71	17
711_187466_000019_000000	On the 26th, saw the island of Java; and on the 30th, anchored at Samarang.	On the twenty sixth, saw the island of Java; and on the thirtieth, anchored at Samarang.	true	795.41	801.94	21.88948
711_187466_000020_000000	Immediately on our coming to anchor, we were agreeably surprised to find our tender here which we had so long given up for lost.	Immediately on our coming to anchor, we were agreeably surprised to find our tender here which we had so long given up for lost.	true	802.73	811.99	21
711_187466_000020_000001	Never was social affection more eminently pourtrayed than in the meeting of these poor fellows; and from excess of joy, and a recital of their mutual sufferings, from pestilence, famine, and shipwreck, a flood of tears filled every man's breast.	Never was social affection more eminently pourtrayed than in the meeting of these poor fellows; and from excess of joy, and a recital of their mutual sufferings, from pestilence, famine, and shipwreck, a flood of tears filled every man's breast.	false	812.69	829.99	20
711_187466_000021_000000	They informed us, the night they parted company with us, the savages attacked them in a regular and powerful body in their canoes; and their never having seen a European ship before, nor being able to conceive any idea of fire-arms, made the conflict last longer than it otherwise would; for, seeing no missive weapon made use of, when their companions were killed, they did not suspect any thing to be the matter with them, as they tumbled into the water.	They informed us, the night they parted company with us, the savages attacked them in a regular and powerful body in their canoes; and their never having seen a European ship before, nor being able to conceive any idea of fire arms, made the conflict last longer than it otherwise would; for, seeing no missive weapon made use of, when their companions were killed, they did not suspect any thing to be the matter with them, as they tumbled into the water.	false	831.02	862.96	20
711_187466_000021_000001	Our seven-barrelled pieces made great havoc amongst them.	Our seven barrelled pieces made great havoc amongst them.	true	863.57	867.46	20.531593
711_187466_000021_000002	One fellow had agility enough to spring over their boarding-netting, and was levelling a blow with his war-club at Mr. Oliver, the commanding-officer, who had the good fortune to shoot him.	One fellow had agility enough to spring over their boarding netting, and was levelling a blow with his war club at mr Oliver, the commanding officer, who had the good fortune to shoot him.	false	867.77	880.09	20.99922
711_187466_000022_000000	On not finding the ship next day, they gave up all further hopes of her, and steered for Anamooka, the rendezvous Captain Edwards had appointed. Their distress for want of water, if possible, surpassed that of our own, and had so strong an effect on one of the young gentlemen, that the day following he became delirious, and continued so for some months after it.	On not finding the ship next day, they gave up all further hopes of her, and steered for Anamooka, the rendezvous Captain Edwards had appointed. Their distress for want of water, if possible, surpassed that of our own, and had so strong an effect on one of the young gentlemen, that the day following he became delirious, and continued so for some months after it.	false	880.73	906.55	20.623405
711_187466_000023_000000	They at last made the island of Tofoa, near to Anamooka, which they mistook for it.	They at last made the island of Tofoa, near to Anamooka, which they mistook for it.	false	907.43	912.22	21
711_187466_000023_000001	After trading with the natives for provisions and water, they made an attempt to take the vessel from them, which they always will to a small vessel, when alone; but they were soon overpowered with the fire arms.	After trading with the natives for provisions and water, they made an attempt to take the vessel from them, which they always will to a small vessel, when alone; but they were soon overpowered with the fire arms.	false	912.53	925.9	18.92619
711_187466_000023_000002	They were, however, obliged to be much on their guard afterwards, at those islands which were inhabited.	They were, however, obliged to be much on their guard afterwards, at those islands which were inhabited.	true	926.36	932.68	17
711_187466_000024_000000	After much diversity of distress, and similar encounters, they at last made the reef that runs between New Guinea and New Holland, where the _Pandora_ met her unhappy fate; and after traversing from shore to shore, without finding an opening, this intrepid young seaman boldly gave it the stem, and beat over the reef.	After much diversity of distress, and similar encounters, they at last made the reef that runs between New Guinea and New Holland, where the underscore Pandora underscore met her unhappy fate; and after traversing from shore to shore, without finding an opening, this intrepid young seaman boldly gave it the stem, and beat over the reef.	false	933.17	955.6	21.101713
711_187466_000024_000001	The alternative was dreadful, as famine presented them on the one hand, and shipwreck on the other.	The alternative was dreadful, as famine presented them on the one hand, and shipwreck on the other.	true	955.94	962.65	21
711_187466_000024_000002	Soon after they had passed Endeavour Straits, they fell in with a small Dutch vessel, who shewed them every tenderness that the nature of their distress required.	Soon after they had passed Endeavour Straits, they fell in with a small Dutch vessel, who shewed them every tenderness that the nature of their distress required.	false	963.08	973.54	21.923765
711_187466_000025_000000	They were soon landed at a small Dutch settlement; but the governor having a description of the _Bounty's_ pirates from our court, and their vessel being built of foreign timber, served to confirm them in their suspicions; and as no officer in the British navy bears a commission or warrant under the rank of lieutenant, where, by seal of office, their person or quality may be identified, they had only their bare _ipse dixit_ to depend on.	They were soon landed at a small Dutch settlement; but the governor having a description of the underscore Bounty's underscore pirates from our court, and their vessel being built of foreign timber, served to confirm them in their suspicions; and as no officer in the British navy bears a commission or warrant under the rank of lieutenant, where, by seal of office, their person or quality may be identified, they had only their bare underscore i p s e dixit underscore to depend on.	false	974.15	1004.53	21.96734
711_187466_000025_000001	They, however, behaved to them with great precaution and humanity.	They, however, behaved to them with great precaution and humanity.	false	1004.72	1008.55	20
711_187466_000025_000002	Although they kept a strict guard over them, nothing was withheld to render their situation agreeable; and they were sent, under a proper escort, to this place.	Although they kept a strict guard over them, nothing was withheld to render their situation agreeable; and they were sent, under a proper escort, to this place.	false	1008.86	1019.05	22
711_187466_000026_000000	This settlement is reckoned next to Batavia, and is so lucrative, that the governor is changed every five years.	This settlement is reckoned next to Batavia, and is so lucrative, that the governor is changed every five years.	false	1019.42	1028.62	21.051413
711_187466_000026_000001	The present governor's name is Overstraaten, a gentleman of splendid taste and unbounded hospitality, who lives in a princely style; and to the _otium dignitate_ of Asiatic luxury, has the happiness to join an honest hearty Dutch welcome.	The present governor's name is Overstraaten, a gentleman of splendid taste and unbounded hospitality, who lives in a princely style; and to the underscore otium dignitate underscore of Asiatic luxury, has the happiness to join an honest hearty Dutch welcome.	false	1028.81	1047.85	21.552044
711_187466_000027_000000	A regiment of the Duke of Wirtemburg is doing duty here, amongst whom were several men of rank and fashion, who shewed us much civility and politeness.	A regiment of the Duke of Wirtemburg is doing duty here, amongst whom were several men of rank and fashion, who shewed us much civility and politeness.	false	1048.22	1058.38	18
711_187466_000028_000000	The town is regular and beautiful, and the houses are built in a style of architecture, which has given loose to the most sportive fancy.	The town is regular and beautiful, and the houses are built in a style of architecture, which has given loose to the most sportive fancy.	true	1058.6	1067.77	20
711_187466_000028_000001	Each street is terminated with some public building, such as a great marine school, for the education of young officers and seamen; an hospital for decayed officers in the Company's service; churches; the Governor's palace, &c.	Each street is terminated with some public building, such as a great marine school, for the education of young officers and seamen; an hospital for decayed officers in the Company's service; churches; the Governor's palace, and c.	false	1068.62	1084.11	20
711_187466_000028_000002	&c.	and c.	false	1084.11	1085.34	-20
711_187466_000028_000003	Here the _utile dulce_ has not been neglected, and those objects of national importance are placed in a proper point of view, as the just pride and ornament of a great commercial people.	Here the underscore utile dulce underscore has not been neglected, and those objects of national importance are placed in a proper point of view, as the just pride and ornament of a great commercial people.	false	1085.34	1098.34	22.127687
711_187466_000029_000000	Such is the effect of early prejudices, that, under the muzle of the sun, a Dutchman cannot exist without snuffing the putrid exhalations from stagnant water, to which they have been accustomed from their infancy. They are intersecting it so fast with canals, that in a year or two this beautiful town will be completely dammed.	Such is the effect of early prejudices, that, under the muzle of the sun, a Dutchman cannot exist without snuffing the putrid exhalations from stagnant water, to which they have been accustomed from their infancy. They are intersecting it so fast with canals, that in a year or two this beautiful town will be completely dammed.	false	1098.71	1122.67	20.610664
711_187466_000030_000000	In a few days, we arrived at Batavia, the emporeum of the Dutch in the East; and our first care was employed in sending to the hospital the sickly remains of our unfortunate crew.	In a few days, we arrived at Batavia, the emporeum of the Dutch in the East; and our first care was employed in sending to the hospital the sickly remains of our unfortunate crew.	false	1122.8	1134.73	21
711_187466_000030_000001	Some dead bodies floating down the canal struck our boat, which had a very disagreeable effect on the minds of our brave fellows, whose nerves were reduced to a very weak state from sickness.	Some dead bodies floating down the canal struck our boat, which had a very disagreeable effect on the minds of our brave fellows, whose nerves were reduced to a very weak state from sickness.	true	1135.37	1147.96	21
711_187466_000030_000002	This was a _coup de grace_ to a sick man on his _premier entree_ into this painted sepulchre, this golgotha of Europe, which buries the whole settlement every five years.	This was a underscore coup de grace underscore to a sick man on his underscore premier entree underscore into this painted sepulchre, this golgotha of Europe, which buries the whole settlement every five years.	false	1148.81	1164.13	22.981468
711_187466_000031_000000	It is not the climate I am inveighing against; it is the Gothic, diabolical ideas of the people I indite.	It is not the climate I am inveighing against; it is the Gothic, diabolical ideas of the people I indite.	true	1165.25	1172.17	19
711_187466_000032_000000	Were they only Dutchmen who supplied the ravenous maw of death, it would be impertinence in me to make any comment on it; but when the whole globe lends its aid to supply this destructive settlement, and its baneful effects arising more from the letch a Dutchman has for stagnant mud than from climate, I hope the indulgent reader will pardon my spleen, when I tell them professionally that all the mortality of that place originates from marsh effluvia, arising from their stagnant canals and pleasure-grounds.	Were they only Dutchmen who supplied the ravenous maw of death, it would be impertinence in me to make any comment on it; but when the whole globe lends its aid to supply this destructive settlement, and its baneful effects arising more from the letch a Dutchman has for stagnant mud than from climate, I hope the indulgent reader will pardon my spleen, when I tell them professionally that all the mortality of that place originates from marsh effluvia, arising from their stagnant canals and pleasure grounds.	false	1173.71	1214.98	20.77345
711_187466_000033_000000	The Chinese are here the Jews of the East, and as soon as they make their fortune, they go home.	The Chinese are here the Jews of the East, and as soon as they make their fortune, they go home.	false	1215.89	1222.48	20
711_187466_000033_000001	Let the amateurs of the Republican system read and learn.	Let the amateurs of the Republican system read and learn.	true	1223.12	1227.25	18
711_187466_000033_000002	Be not surprised when it is observed, that these little great men, those vile hawkers of spice and nutmegs, exact a submission that the most absolute and tyrannical monarch who ever swayed a sceptre would be ashamed of.	Be not surprised when it is observed, that these little great men, those vile hawkers of spice and nutmegs, exact a submission that the most absolute and tyrannical monarch who ever swayed a sceptre would be ashamed of.	false	1227.68	1246.66	21.008503
711_187466_000033_000003	The compass of my work will not allow me to be particular; but I must instance one among many others.	The compass of my work will not allow me to be particular; but I must instance one among many others.	true	1247.24	1255.03	21.149723
