1336_138113_000000_000000	"Unless you should send for me sooner."	"Unless you should send for me sooner."	false	4.71	12.3	17.176468
1336_138113_000032_000001	Only there were certain other changes as well, varying with each individual, and all interesting to note.	Only there were certain other changes as well, varying with each individual, and all interesting to note.	true	881.18	887.14	15
1336_138113_000033_000000	It was only after the first week or two that these changes became marked, although this is the proper place, I think, to speak of them. For, having myself no other duty than to enjoy a well-earned holiday, I used to load my canoe with blankets and provisions and journey forth on exploration trips among the islands of several days together; and it was on my return from the first of these--when I rediscovered the party, so to speak--that these changes first presented themselves vividly to me, and in one particular instance produced a rather curious impression.	It was only after the first week or two that these changes became marked, although this is the proper place, I think, to speak of them. For, having myself no other duty than to enjoy a well earned holiday, I used to load my canoe with blankets and provisions and journey forth on exploration trips among the islands of several days together; and it was on my return from the first of these-when I rediscovered the party, so to speak-that these changes first presented themselves vividly to me, and in one particular instance produced a rather curious impression.	true	888.17	922.24	18
1336_138113_000034_000000	In a word, then, while every one had grown wilder, naturally wilder, Sangree, it seemed to me, had grown much wilder, and what I can only call unnaturally wilder.	In a word, then, while every one had grown wilder, naturally wilder, Sangree, it seemed to me, had grown much wilder, and what I can only call unnaturally wilder.	true	923.39	934.78	17
1336_138113_000034_000001	He made me think of a savage.	He made me think of a savage.	true	935.27	937.12	18.818613
1336_138113_000035_000000	To begin with, he had changed immensely in mere physical appearance, and the full brown cheeks, the brighter eyes of absolute health, and the general air of vigour and robustness that had come to replace his customary lassitude and timidity, had worked such an improvement that I hardly knew him for the same man.	To begin with, he had changed immensely in mere physical appearance, and the full brown cheeks, the brighter eyes of absolute health, and the general air of vigour and robustness that had come to replace his customary lassitude and timidity, had worked such an improvement that I hardly knew him for the same man.	false	938.03	957.58	15
1336_138113_000035_000001	His voice, too, was deeper and his manner bespoke for the first time a greater measure of confidence in himself.	His voice, too, was deeper and his manner bespoke for the first time a greater measure of confidence in himself.	true	957.98	964.9	16
1336_138113_000035_000002	He now had some claims to be called nice-looking, or at least to a certain air of virility that would not lessen his value in the eyes of the opposite sex.	He now had some claims to be called nice looking, or at least to a certain air of virility that would not lessen his value in the eyes of the opposite sex.	true	965.36	975.13	18
1336_138113_000036_000000	All this, of course, was natural enough, and most welcome.	All this, of course, was natural enough, and most welcome.	true	975.74	979.06	13
1336_138113_000036_000001	But, altogether apart from this physical change, which no doubt had also been going forward in the rest of us, there was a subtle note in his personality that came to me with a degree of surprise that almost amounted to shock.	But, altogether apart from this physical change, which no doubt had also been going forward in the rest of us, there was a subtle note in his personality that came to me with a degree of surprise that almost amounted to shock.	false	979.16	994.24	18.165657
1336_138113_000037_000000	And two things--as he came down to welcome me and pull up the canoe--leaped up in my mind unbidden, as though connected in some way I could not at the moment divine--first, the curious judgment formed of him by Joan; and secondly, that fugitive expression I had caught in his face while Maloney was offering up his strange prayer for special protection from Heaven.	And two things-as he came down to welcome me and pull up the canoe-leaped up in my mind unbidden, as though connected in some way I could not at the moment divine-first, the curious judgment formed of him by Joan; and secondly, that fugitive expression I had caught in his face while Maloney was offering up his strange prayer for special protection from Heaven.	false	995.66	1020.55	17
1336_138113_000038_000000	The delicacy of manner and feature--to call it by no milder term--which had always been a distinguishing characteristic of the man, had been replaced by something far more vigorous and decided, that yet utterly eluded analysis.	The delicacy of manner and feature-to call it by no milder term-which had always been a distinguishing characteristic of the man, had been replaced by something far more vigorous and decided, that yet utterly eluded analysis.	true	1022.24	1037.56	17.982641
1336_138113_000038_000001	The change which impressed me so oddly was not easy to name.	The change which impressed me so oddly was not easy to name.	true	1038.05	1042	18
1336_138113_000038_000002	The others--singing Maloney, the bustling Bo'sun's Mate, and Joan, that fascinating half-breed of undine and salamander--all showed the effects of a life so close to nature; but in their case the change was perfectly natural and what was to be expected, whereas with Peter Sangree, the Canadian, it was something unusual and unexpected.	The others-singing Maloney, the bustling Bo'sun's Mate, and Joan, that fascinating half breed of undine and salamander-all showed the effects of a life so close to nature; but in their case the change was perfectly natural and what was to be expected, whereas with peter Sangree, the Canadian, it was something unusual and unexpected.	true	1042.22	1068.73	15.978901
1336_138113_000039_000000	It is impossible to explain how he managed gradually to convey to my mind the impression that something in him had turned savage, yet this, more or less, is the impression that he did convey.	It is impossible to explain how he managed gradually to convey to my mind the impression that something in him had turned savage, yet this, more or less, is the impression that he did convey.	true	1071.11	1082.89	18
1336_138113_000039_000001	It was not that he seemed really less civilised, or that his character had undergone any definite alteration, but rather that something in him, hitherto dormant, had awakened to life.	It was not that he seemed really less civilised, or that his character had undergone any definite alteration, but rather that something in him, hitherto dormant, had awakened to life.	false	1083.71	1094.95	16
1336_138113_000039_000002	Some quality, latent till now--so far, at least, as we were concerned, who, after all, knew him but slightly--had stirred into activity and risen to the surface of his being.	Some quality, latent till now-so far, at least, as we were concerned, who, after all, knew him but slightly-had stirred into activity and risen to the surface of his being.	true	1095.02	1106.38	18.967299
1336_138113_000040_000000	And while, for the moment, this seemed as far as I could get, it was but natural that my mind should continue the intuitive process and acknowledge that John Silence, owing to his peculiar faculties, and the girl, owing to her singularly receptive temperament, might each in a different way have divined this latent quality in his soul, and feared its manifestation later.	And while, for the moment, this seemed as far as I could get, it was but natural that my mind should continue the intuitive process and acknowledge that john Silence, owing to his peculiar faculties, and the girl, owing to her singularly receptive temperament, might each in a different way have divined this latent quality in his soul, and feared its manifestation later.	true	1107.38	1129.17	17
1336_138113_000041_000000	On looking back to this painful adventure, too, it now seems equally natural that the same process, carried to its logical conclusion, should have wakened some deep instinct in me that, wholly without direction from my will, set itself sharply and persistently upon the watch from that very moment.	On looking back to this painful adventure, too, it now seems equally natural that the same process, carried to its logical conclusion, should have wakened some deep instinct in me that, wholly without direction from my will, set itself sharply and persistently upon the watch from that very moment.	false	1129.17	1149.1	19
1336_138113_000041_000001	Thenceforward the personality of Sangree was never far from my thoughts, and I was for ever analysing and searching for the explanation that took so long in coming.	Thenceforward the personality of Sangree was never far from my thoughts, and I was for ever analysing and searching for the explanation that took so long in coming.	true	1149.47	1159.42	16
1336_138113_000042_000000	"I declare, Hubbard, you're tanned like an aboriginal, and you look like one, too," laughed Maloney.	"I declare, Hubbard, you're tanned like an aboriginal, and you look like one, too," laughed Maloney.	true	1160.03	1164.85	20
1336_138113_000043_000000	"And I can return the compliment," was my reply, as we all gathered round a brew of tea to exchange news and compare notes.	"And I can return the compliment," was my reply, as we all gathered round a brew of tea to exchange news and compare notes.	true	1165.43	1172.56	13
1336_138113_000044_000000	And later, at supper, it amused me to observe that the distinguished tutor, once clergyman, did not eat his food quite as "nicely" as he did at home--he devoured it; that Mrs. Maloney ate more, and, to say the least, with less delay, than was her custom in the select atmosphere of her English dining-room; and that while Joan attacked her tin plateful with genuine avidity, Sangree, the Canadian, bit and gnawed at his, laughing and talking and complimenting the cook all the while, and making me think with secret amusement of a starved animal at its first meal.	And later, at supper, it amused me to observe that the distinguished tutor, once clergyman, did not eat his food quite as "nicely" as he did at home-he devoured it; that mrs Maloney ate more, and, to say the least, with less delay, than was her custom in the select atmosphere of her English dining room; and that while Joan attacked her tin plateful with genuine avidity, Sangree, the Canadian, bit and gnawed at his, laughing and talking and complimenting the cook all the while, and making me think with secret amusement of a starved animal at its first meal.	false	1173.41	1212.79	19.220438
1336_138113_000044_000001	While, from their remarks about myself, I judged that I had changed and grown wild as much as the rest of them.	While, from their remarks about myself, I judged that I had changed and grown wild as much as the rest of them.	true	1213.88	1220.35	15
