718_129597_000000_000000	XXI.	twenty one.
718_129597_000030_000003	In the course of about an hour I had really convinced several of the Beast Folk of the truth of my assertions, and talked most of the others into a dubious state. I kept a sharp eye for my enemy the Hyena-swine, but he never appeared. Every now and then a suspicious movement would startle me, but my confidence grew rapidly.	In the course of about an hour I had really convinced several of the Beast Folk of the truth of my assertions, and talked most of the others into a dubious state. I kept a sharp eye for my enemy the Hyena swine, but he never appeared. Every now and then a suspicious movement would startle me, but my confidence grew rapidly.
718_129597_000031_000001	But from that night until the end came, there was but one thing happened to tell save a series of innumerable small unpleasant details and the fretting of an incessant uneasiness. So that I prefer to make no chronicle for that gap of time, to tell only one cardinal incident of the ten months I spent as an intimate of these half-humanised brutes.	But from that night until the end came, there was but one thing happened to tell save a series of innumerable small unpleasant details and the fretting of an incessant uneasiness. So that I prefer to make no chronicle for that gap of time, to tell only one cardinal incident of the ten months I spent as an intimate of these half humanised brutes.
718_129597_000032_000001	Indeed, I may say--without vanity, I hope--that I held something like pre-eminence among them. One or two, whom in a rare access of high spirits I had scarred rather badly, bore me a grudge; but it vented itself chiefly behind my back, and at a safe distance from my missiles, in grimaces.	Indeed, I may say-without vanity, I hope-that I held something like pre eminence among them. One or two, whom in a rare access of high spirits I had scarred rather badly, bore me a grudge; but it vented itself chiefly behind my back, and at a safe distance from my missiles, in grimaces.
718_129597_000033_000003	The Dog-man scarcely dared to leave my side.	The Dog man scarcely dared to leave my side.
718_129597_000034_000000	In the first month or so the Beast Folk, compared with their latter condition, were human enough, and for one or two besides my canine friend I even conceived a friendly tolerance. The little pink sloth-creature displayed an odd affection for me, and took to following me about.	In the first month or so the Beast Folk, compared with their latter condition, were human enough, and for one or two besides my canine friend I even conceived a friendly tolerance. The little pink sloth creature displayed an odd affection for me, and took to following me about.
718_129597_000034_000001	The Monkey-man bored me, however; he assumed, on the strength of his five digits, that he was my equal, and was for ever jabbering at me,--jabbering the most arrant nonsense. One thing about him entertained me a little: he had a fantastic trick of coining new words.	The Monkey man bored me, however; he assumed, on the strength of his five digits, that he was my equal, and was for ever jabbering at me,--jabbering the most arrant nonsense. One thing about him entertained me a little: he had a fantastic trick of coining new words.
718_129597_000035_000000	This, I say, was in the earlier weeks of my solitude among these brutes. During that time they respected the usage established by the Law, and behaved with general decorum.	This, I say, was in the earlier weeks of my solitude among these brutes. During that time they respected the usage established by the Law, and behaved with general decorum.
718_129597_000035_000001	Once I found another rabbit torn to pieces,--by the Hyena-swine, I am assured,--but that was all. It was about May when I first distinctly perceived a growing difference in their speech and carriage, a growing coarseness of articulation, a growing disinclination to talk.	Once I found another rabbit torn to pieces,--by the Hyena swine, I am assured,--but that was all. It was about May when I first distinctly perceived a growing difference in their speech and carriage, a growing coarseness of articulation, a growing disinclination to talk.
718_129597_000035_000004	They held things more clumsily; drinking by suction, feeding by gnawing, grew commoner every day. I realised more keenly than ever what Moreau had told me about the "stubborn beast-flesh." They were reverting, and reverting very rapidly.	They held things more clumsily; drinking by suction, feeding by gnawing, grew commoner every day. I realised more keenly than ever what Moreau had told me about the "stubborn beast flesh." They were reverting, and reverting very rapidly.
718_129597_000036_000003	I cannot pursue this disagreeable subject.	I cannot pursue this disagreeable subject.
718_129597_000037_000000	My Dog-man imperceptibly slipped back to the dog again; day by day he became dumb, quadrupedal, hairy.	My Dog man imperceptibly slipped back to the dog again; day by day he became dumb, quadrupedal, hairy.
718_129597_000038_000000	As the carelessness and disorganisation increased from day to day, the lane of dwelling places, at no time very sweet, became so loathsome that I left it, and going across the island made myself a hovel of boughs amid the black ruins of Moreau's enclosure. Some memory of pain, I found, still made that place the safest from the Beast Folk.	As the carelessness and disorganisation increased from day to day, the lane of dwelling places, at no time very sweet, became so loathsome that I left it, and going across the island made myself a hovel of boughs amid the black ruins of Moreau's enclosure. Some memory of pain, I found, still made that place the safest from the Beast Folk.
718_129597_000040_000001	For them and for me it came without any definite shock.	For them and for me it came without any definite shock.
718_129597_000042_000001	My clothes hung about me as yellow rags, through whose rents showed the tanned skin. My hair grew long, and became matted together.	My clothes hung about me as yellow rags, through whose rents showed the tanned skin. My hair grew long, and became matted together.
718_129597_000042_000002	I am told that even now my eyes have a strange brightness, a swift alertness of movement.	I am told that even now my eyes have a strange brightness, a swift alertness of movement.
718_129597_000043_000001	Five times I saw sails, and thrice smoke; but nothing ever touched the island.	Five times I saw sails, and thrice smoke; but nothing ever touched the island.
718_129597_000043_000002	I always had a bonfire ready, but no doubt the volcanic reputation of the island was taken to account for that.	I always had a bonfire ready, but no doubt the volcanic reputation of the island was taken to account for that.
718_129597_000044_000000	It was only about September or October that I began to think of making a raft.	It was only about September or October that I began to think of making a raft.
718_129597_000044_000001	By that time my arm had healed, and both my hands were at my service again.	By that time my arm had healed, and both my hands were at my service again.
718_129597_000044_000004	There came a season of thunder-storms and heavy rain, which greatly retarded my work; but at last the raft was completed.	There came a season of thunder storms and heavy rain, which greatly retarded my work; but at last the raft was completed.
718_129597_000045_000000	I was delighted with it.	I was delighted with it.
718_129597_000045_000001	But with a certain lack of practical sense which has always been my bane, I had made it a mile or more from the sea; and before I had dragged it down to the beach the thing had fallen to pieces.	But with a certain lack of practical sense which has always been my bane, I had made it a mile or more from the sea; and before I had dragged it down to the beach the thing had fallen to pieces.
718_129597_000045_000002	Perhaps it is as well that I was saved from launching it; but at the time my misery at my failure was so acute that for some days I simply moped on the beach, and stared at the water and thought of death.	Perhaps it is as well that I was saved from launching it; but at the time my misery at my failure was so acute that for some days I simply moped on the beach, and stared at the water and thought of death.
718_129597_000046_000000	I did not, however, mean to die, and an incident occurred that warned me unmistakably of the folly of letting the days pass so,--for each fresh day was fraught with increasing danger from the Beast People.	I did not, however, mean to die, and an incident occurred that warned me unmistakably of the folly of letting the days pass so,--for each fresh day was fraught with increasing danger from the Beast People.
718_129597_000048_000000	At first I did not understand, but presently it occurred to me that he wished me to follow him; and this I did at last,--slowly, for the day was hot.	At first I did not understand, but presently it occurred to me that he wished me to follow him; and this I did at last,--slowly, for the day was hot.
718_129597_000048_000002	It was not afraid and not ashamed; the last vestige of the human taint had vanished.	It was not afraid and not ashamed; the last vestige of the human taint had vanished.
718_129597_000048_000004	At last I had him face to face.	At last I had him face to face.
718_129597_000049_000000	The brute made no sign of retreat; but its ears went back, its hair bristled, and its body crouched together. I aimed between the eyes and fired.	The brute made no sign of retreat; but its ears went back, its hair bristled, and its body crouched together. I aimed between the eyes and fired.
718_129597_000049_000001	As I did so, the Thing rose straight at me in a leap, and I was knocked over like a ninepin. It clutched at me with its crippled hand, and struck me in the face. Its spring carried it over me.	As I did so, the Thing rose straight at me in a leap, and I was knocked over like a ninepin. It clutched at me with its crippled hand, and struck me in the face. Its spring carried it over me.
718_129597_000049_000003	That danger at least was over; but this, I knew was only the first of the series of relapses that must come.	That danger at least was over; but this, I knew was only the first of the series of relapses that must come.
718_129597_000050_000000	I burnt both of the bodies on a pyre of brushwood; but after that I saw that unless I left the island my death was only a question of time. The Beast People by that time had, with one or two exceptions, left the ravine and made themselves lairs according to their taste among the thickets of the island.	I burnt both of the bodies on a pyre of brushwood; but after that I saw that unless I left the island my death was only a question of time. The Beast People by that time had, with one or two exceptions, left the ravine and made themselves lairs according to their taste among the thickets of the island.
718_129597_000050_000001	Few prowled by day, most of them slept, and the island might have seemed deserted to a new-comer; but at night the air was hideous with their calls and howling. I had half a mind to make a massacre of them; to build traps, or fight them with my knife.	Few prowled by day, most of them slept, and the island might have seemed deserted to a new comer; but at night the air was hideous with their calls and howling. I had half a mind to make a massacre of them; to build traps, or fight them with my knife.
718_129597_000050_000002	Had I possessed sufficient cartridges, I should not have hesitated to begin the killing.	Had I possessed sufficient cartridges, I should not have hesitated to begin the killing.
718_129597_000050_000004	After the death of this poor dog of mine, my last friend, I too adopted to some extent the practice of slumbering in the daytime in order to be on my guard at night. I rebuilt my den in the walls of the enclosure, with such a narrow opening that anything attempting to enter must necessarily make a considerable noise.	After the death of this poor dog of mine, my last friend, I too adopted to some extent the practice of slumbering in the daytime in order to be on my guard at night. I rebuilt my den in the walls of the enclosure, with such a narrow opening that anything attempting to enter must necessarily make a considerable noise.
718_129597_000050_000005	The creatures had lost the art of fire too, and recovered their fear of it.	The creatures had lost the art of fire too, and recovered their fear of it.
718_129597_000050_000006	I turned once more, almost passionately now, to hammering together stakes and branches to form a raft for my escape.	I turned once more, almost passionately now, to hammering together stakes and branches to form a raft for my escape.
718_129597_000051_000000	I found a thousand difficulties.	I found a thousand difficulties.
718_129597_000051_000003	But I could think of nothing.	But I could think of nothing.
718_129597_000052_000003	But it sailed strangely.	But it sailed strangely.
718_129597_000052_000005	The head was not kept to the wind; it yawed and fell away.	The head was not kept to the wind; it yawed and fell away.
718_129597_000053_000000	As the day grew brighter, I began waving the last rag of my jacket to them; but they did not notice me, and sat still, facing each other.	As the day grew brighter, I began waving the last rag of my jacket to them; but they did not notice me, and sat still, facing each other.
718_129597_000053_000002	Suddenly a great white bird flew up out of the boat, and neither of the men stirred nor noticed it; it circled round, and then came sweeping overhead with its strong wings outspread.	Suddenly a great white bird flew up out of the boat, and neither of the men stirred nor noticed it; it circled round, and then came sweeping overhead with its strong wings outspread.
718_129597_000054_000000	Then I stopped shouting, and sat down on the headland and rested my chin on my hands and stared.	Then I stopped shouting, and sat down on the headland and rested my chin on my hands and stared.
718_129597_000054_000002	I would have swum out to it, but something--a cold, vague fear--kept me back.	I would have swum out to it, but something-a cold, vague fear-kept me back.
718_129597_000055_000001	One of my spasms of disgust came upon me.	One of my spasms of disgust came upon me.
718_129597_000055_000004	I turned my back upon them, struck the lug and began paddling out to sea.	I turned my back upon them, struck the lug and began paddling out to sea.
718_129597_000055_000005	I could not bring myself to look behind me.	I could not bring myself to look behind me.
718_129597_000056_000001	Then, with such patience as I could command, I collected a quantity of fruit, and waylaid and killed two rabbits with my last three cartridges.	Then, with such patience as I could command, I collected a quantity of fruit, and waylaid and killed two rabbits with my last three cartridges.
