2652_157644_000000_000000	XIII	thirteen	false	1.32	22.56	20.03991
2652_157644_000008_000000	_Come hither, mine host, come hither! Come hither, mine host, come hither! I pray thee, mine host, Give us a pot and a tost, And let us drinke all together._	underscore Come hither, mine host, come hither! Come hither, mine host, come hither! I pray thee, mine host, Give us a pot and a tost, And let us drinke all together.underscore	false	221.31	231.33	19.686636
2652_157644_000009_000000	The scene is a tavern interior.	The scene is a tavern interior.	true	231.33	233.2	16
2652_157644_000009_000001	Around the table are four men and a woman, while a boy approaches carrying two huge measures of ale.	Around the table are four men and a woman, while a boy approaches carrying two huge measures of ale.	true	233.27	238.93	19
2652_157644_000009_000002	One man is smoking furiously, while on the table lie three other pipes--one for each man--and sundry pots and glasses.	One man is smoking furiously, while on the table lie three other pipes-one for each man-and sundry pots and glasses.	true	239.15	245.89	19
2652_157644_000009_000003	The woman is plainly a convivial soul; but there is no pipe for her, and such provision was no doubt unusual.	The woman is plainly a convivial soul; but there is no pipe for her, and such provision was no doubt unusual.	true	246.05	251.71	20
2652_157644_000010_000000	There is direct evidence, too, besides the story in the first paragraph of this chapter, that women disliked the prevalence of smoking.	There is direct evidence, too, besides the story in the first paragraph of this chapter, that women disliked the prevalence of smoking.	true	252.05	258.39	21
2652_157644_000010_000001	In Marston's "Antonio and Mellinda," 1602, Rosaline, when asked by her uncle when she will marry, makes the spirited reply--"Faith, kind uncle, when men abandon jealousy, forsake taking of tobacco, and cease to wear their beards so rudely long.	In Marston's "Antonio and Mellinda," sixteen o two, Rosaline, when asked by her uncle when she will marry, makes the spirited reply-"Faith, kind uncle, when men abandon jealousy, forsake taking of tobacco, and cease to wear their beards so rudely long.	false	258.39	273.34	18
2652_157644_000010_000002	Oh, to have a husband with a mouth continually smoking, with a bush of furs on the ridge of his chin, readie still to flop into his foaming chops, 'tis more than most intolerable;" and similar indications of dislike to smoking could be quoted from other plays.	Oh, to have a husband with a mouth continually smoking, with a bush of furs on the ridge of his chin, readie still to flop into his foaming chops, 'tis more than most intolerable;" and similar indications of dislike to smoking could be quoted from other plays.	false	273.62	288.37	21.563372
2652_157644_000011_000000	On the other hand, it is certain that from comparatively early in the seventeenth century there were to be found here and there women who smoked.	On the other hand, it is certain that from comparatively early in the seventeenth century there were to be found here and there women who smoked.	true	288.74	295.27	20
2652_157644_000012_000000	On the title-page of Middleton's comedy, "The Roaring Girle," 1611, is a picture of the heroine, Moll Cutpurse, in man's apparel, smoking a pipe, from which a great cloud of smoke is issuing.	On the title page of Middleton's comedy, "The Roaring Girle," sixteen eleven, is a picture of the heroine, Moll Cutpurse, in man's apparel, smoking a pipe, from which a great cloud of smoke is issuing.	false	295.82	306.91	19
2652_157644_000013_000000	In the record of an early libel action brought in the court of the Archdeacon of Essex, some domestic scenes of 1621 are vividly represented.	In the record of an early libel action brought in the court of the Archdeacon of Essex, some domestic scenes of sixteen twenty one are vividly represented.	true	307.16	315.58	18
2652_157644_000013_000001	We need not trouble about the libel action, but two of the _dramatis personae_ were a certain George Thresher, who sold beer and tobacco at his "shopp in Romford," and a good friend and customer of his named Elizabeth Savage, who, sad to say, was described as much given to "stronge drincke and tobacco." In the course of the trial, on June 8, 1621, Mistress Savage had to tell her tale, part of which is reported as follows:	We need not trouble about the libel action, but two of the underscore dramatis personae underscore were a certain George Thresher, who sold beer and tobacco at his "shopp in Romford," and a good friend and customer of his named Elizabeth Savage, who, sad to say, was described as much given to "stronge drincke and tobacco." In the course of the trial, on june eighth sixteen twenty one, Mistress Savage had to tell her tale, part of which is reported as follows:	false	315.65	341.44	20
2652_157644_000014_000000	"George Thresher kept a shoppe in Romford and sold tobacco there.	"George Thresher kept a shoppe in Romford and sold tobacco there.	true	341.75	345.315	24.210123
2652_157644_000014_000001	She came divers tymes to his shoppe to buy tobacco there; and sometimes, with company of her acquaintance, did take tobacco and drincke beere in the hall of George Thresher's house, sometimes with the said George, and sometimes with his father and his brothers.	She came divers tymes to his shoppe to buy tobacco there; and sometimes, with company of her acquaintance, did take tobacco and drincke beere in the hall of George Thresher's house, sometimes with the said George, and sometimes with his father and his brothers.	false	345.315	358.23	21
2652_157644_000014_000002	And sometimes shee hath had a joint of meat and a cople of chickens dressed there; and shee, and they, and some other of her freinds, have dined there together, and paid their share for their dinner, shee being many times more willing to dine there than at an inne or taverne."	And sometimes shee hath had a joint of meat and a cople of chickens dressed there; and shee, and they, and some other of her freinds, have dined there together, and paid their share for their dinner, shee being many times more willing to dine there than at an inne or taverne."	false	358.23	371.32	17
2652_157644_000015_000000	Elizabeth was evidently of a sociable turn, and though she turned her nose up at a tavern, there seems to have been little difference between these festive dinners at Mr. Thresher's "shopp," where Mistress Savage indulged her taste for ale and tobacco, and similar pleasures at an inn or tavern.	Elizabeth was evidently of a sociable turn, and though she turned her nose up at a tavern, there seems to have been little difference between these festive dinners at mr Thresher's "shopp," where Mistress Savage indulged her taste for ale and tobacco, and similar pleasures at an inn or tavern.	false	371.75	387.33	17
2652_157644_000016_000000	Some of the references to women smokers occur in curious connexions. When one George Glapthorne, of Whittlesey, J.P., was returned to Parliament for the Isle of Ely in 1654, his return was petitioned against, and among other charges it was said that just before the election, in a certain Martin's ale-house, he had promised to give Mrs. Martin a roll of tobacco, and had also undertaken to grant her husband a licence to brew, thus unduly influencing and corrupting the electors.	Some of the references to women smokers occur in curious connexions. When one George Glapthorne, of Whittlesey, j p, was returned to Parliament for the Isle of Ely in sixteen fifty four, his return was petitioned against, and among other charges it was said that just before the election, in a certain Martin's ale house, he had promised to give mrs Martin a roll of tobacco, and had also undertaken to grant her husband a licence to brew, thus unduly influencing and corrupting the electors.	false	387.33	415.6	20.931067
2652_157644_000017_000000	Women smokers were not confined to any one class of society.	Women smokers were not confined to any one class of society.	true	416.63	420.06	18
2652_157644_000017_000001	The Rev. Giles Moore, Rector of Horsted Keynes, Sussex, made a note in his journal and account book in 1665 of "Tobacco for my wyfe, 3d." As from other entries in Mr. Moore's account book we know that two ounces cost him one shilling, we may wonder what Mrs. Moore was going to do with her half-ounce.	The reverend Giles Moore, Rector of Horsted Keynes, Sussex, made a note in his journal and account book in sixteen sixty five of "Tobacco for my wyfe, three d." As from other entries in mr Moore's account book we know that two ounces cost him one shilling, we may wonder what mrs Moore was going to do with her half ounce.	false	420.06	438.58	21
2652_157644_000017_000002	There is no other reference to tobacco for her in the journal and account book.	There is no other reference to tobacco for her in the journal and account book.	false	438.71	442.575	23.917894
2652_157644_000017_000003	Possibly she was not a smoker at all, but needed the tobacco for some medicinal purpose.	Possibly she was not a smoker at all, but needed the tobacco for some medicinal purpose.	true	442.575	446.98	21.835333
2652_157644_000017_000004	There is ample evidence to show that in the seventeenth century extraordinary medicinal virtues continued to be attributed to the "divine weed."	There is ample evidence to show that in the seventeenth century extraordinary medicinal virtues continued to be attributed to the "divine weed."	true	447.11	455.14	18
2652_157644_000018_000000	In some letters of the Appleton family, printed some time ago from the originals in the Bodleian Library, there is a curious letter, undated, but of 1652 or 1653, from Susan Crane, the widow of Sir Robert Crane, who was the second wife of Isaac Appleton of Buckman Vall, Norfolk. Writing to her husband, Isaac Appleton, at his chamber in Grayes Inn, as his "Afextinat wife," the good Susan, whose spelling is marvellous, tells her "Sweet Hart"--"I have done all the tobakcre you left mee; I pray send mee sum this weeke; and some angelleco ceedd and sum cerret sed." How much tobacco Mr. Appleton had provisioned his wife with cannot be known, but it looks as if she were a regular smoker and did not care to be long without a supply.	In some letters of the Appleton family, printed some time ago from the originals in the Bodleian Library, there is a curious letter, undated, but of sixteen fifty two or sixteen fifty three, from Susan Crane, the widow of Sir Robert Crane, who was the second wife of Isaac Appleton of Buckman Vall, Norfolk. Writing to her husband, Isaac Appleton, at his chamber in Grayes Inn, as his "Afextinat wife," the good Susan, whose spelling is marvellous, tells her "Sweet Hart"--"I have done all the tobakcre you left mee; I pray send mee sum this weeke; and some angelleco c e e d d and sum cerret s e d." How much tobacco mr Appleton had provisioned his wife with cannot be known, but it looks as if she were a regular smoker and did not care to be long without a supply.	false	456.44	498.1	20
2652_157644_000018_000001	In 1631 Edmond Howes, who edited Stow's "Chronicles," and continued them "onto the end of this present yeare 1631," wrote that tobacco was "at this day commonly used by most men and many women."	In sixteen thirty one Edmond Howes, who edited Stow's "Chronicles," and continued them "onto the end of this present yeare sixteen thirty one," wrote that tobacco was "at this day commonly used by most men and many women."	false	498.5	511.42	18
2652_157644_000019_000000	Anything like general smoking by women in the seventeenth century would appear to have been confined to certain parts of the country. Celia Fiennes, who travelled about England on horseback in the reign of William and Mary, tells us that at St. Austell in Cornwall ("St. Austins," she calls it) she disliked "the custome of the country which is a universal smoaking; both men, women, and children have all their pipes of tobacco in their mouths and soe sit round the fire smoaking, which was not delightful to me when I went down to talk with my Landlady for information of any matter and customes amongst them." What would King James have thought of these depraved Cornish folk? Other witnesses bear testimony to the prevalence of smoking among women in the west of England.	Anything like general smoking by women in the seventeenth century would appear to have been confined to certain parts of the country. Celia Fiennes, who travelled about England on horseback in the reign of William and Mary, tells us that at st Austell in Cornwall ("st Austins," she calls it) she disliked "the custome of the country which is a universal smoaking; both men, women, and children have all their pipes of tobacco in their mouths and s o e sit round the fire smoaking, which was not delightful to me when I went down to talk with my Landlady for information of any matter and customes amongst them." What would King james have thought of these depraved Cornish folk? Other witnesses bear testimony to the prevalence of smoking among women in the west of England.	false	512.06	553.3	20
2652_157644_000019_000001	Dunton, in that _Athenian Oracle_ which was a kind of early forerunner of _Notes and Queries_, alluded to pipe-smoking by "the good Women and Children in the West." Misson, the French traveller, who was here in 1698, after remarking that "Tabacco" is very much used in England, says that "the very Women take it in abundance, particularly in the Western Counties.	Dunton, in that underscore Athenian Oracle underscore which was a kind of early forerunner of underscore Notes and Queries underscore, alluded to pipe smoking by "the good Women and Children in the West." Misson, the French traveller, who was here in sixteen ninety eight, after remarking that "Tabacco" is very much used in England, says that "the very Women take it in abundance, particularly in the Western Counties.	false	553.49	573.76	21.328173
2652_157644_000019_000002	But why the _very_ Women?	But why the underscore very underscore Women?	false	574.04	575.55	20.884836
2652_157644_000019_000003	What Occasion is there for that _very_?	What Occasion is there for that underscore very underscore?	false	575.55	577.89	22.985537
2652_157644_000019_000004	We wonder that in certain Places it should be common for Women to take Tabacco; and why should we wonder at it?	We wonder that in certain Places it should be common for Women to take Tabacco; and why should we wonder at it?	true	577.89	583.27	18
2652_157644_000019_000005	The Women of Devonshire and Cornwall wonder that the Women of Middlesex do _not_ take Tabacco: And why should they wonder at it?	The Women of Devonshire and Cornwall wonder that the Women of Middlesex do underscore not underscore take Tabacco: And why should they wonder at it?	false	583.52	590.61	20.404236
2652_157644_000019_000006	In truth, our Wonderments are very pleasant Things!" And with that sage and satisfactory conclusion to his catechism we may leave M. Misson, though he goes on to philosophize about the effect of smoking by the English clergy upon their theology!	In truth, our Wonderments are very pleasant Things!" And with that sage and satisfactory conclusion to his catechism we may leave m Misson, though he goes on to philosophize about the effect of smoking by the English clergy upon their theology!	false	590.61	603.46	22.899029
2652_157644_000020_000000	Another French visitor to our shores, M. Jorevin, whose rare book of travels was published at Paris in 1672, was wandering in the west of England about the year 1666, and in the course of his journey stayed at the Stag Inn at Worcester, where he found he had to make himself quite at home with the family of his hostess.	Another French visitor to our shores, m Jorevin, whose rare book of travels was published at Paris in sixteen seventy two, was wandering in the west of England about the year sixteen sixty six, and in the course of his journey stayed at the Stag Inn at Worcester, where he found he had to make himself quite at home with the family of his hostess.	false	604.16	622.545	19
2652_157644_000020_000001	He tells us that according to the custom of the country the landladies sup with strangers and passengers, and if they have daughters, these also are of the company to entertain the guests at table with pleasant conceits where they drink as much as the men.	He tells us that according to the custom of the country the landladies sup with strangers and passengers, and if they have daughters, these also are of the company to entertain the guests at table with pleasant conceits where they drink as much as the men.	true	622.545	635.71	22.37191
2652_157644_000020_000002	But what quite disgusted our visitor was "that when one drinks the health of any person in company, the custom of the country does not permit you to drink more than half the cup, which is filled up and presented to him or her whose health you have drunk.	But what quite disgusted our visitor was "that when one drinks the health of any person in company, the custom of the country does not permit you to drink more than half the cup, which is filled up and presented to him or her whose health you have drunk.	true	636.74	649.18	21
2652_157644_000020_000003	Moreover, the supper being finished, they set on the table half a dozen pipes, and a packet of tobacco, for smoking, which is a general custom as well among women as men, who think that without tobacco one cannot live in England, because, say they, it dissipates the evil humours of the brain."	Moreover, the supper being finished, they set on the table half a dozen pipes, and a packet of tobacco, for smoking, which is a general custom as well among women as men, who think that without tobacco one cannot live in England, because, say they, it dissipates the evil humours of the brain."	false	649.34	664.06	22
2652_157644_000021_000000	Although, according to M. Misson, the women of Devon and Cornwall might wonder why the women of Middlesex did not take tobacco, it is certain that London and its neighbourhood did contain at least a few female smokers.	Although, according to m Misson, the women of Devon and Cornwall might wonder why the women of Middlesex did not take tobacco, it is certain that London and its neighbourhood did contain at least a few female smokers.	false	664.76	676.36	19
2652_157644_000021_000001	Tom Brown, often dubbed "the facetious," but to whom a sterner epithet might well be applied, writing about the end of the seventeenth century, mentions a vintner's wife who, having "made her pile," as might be said nowadays, retires to a little country-house at Hampstead, where she drinks sack too plentifully, smokes tobacco in an elbow-chair, and snores away the remainder of her life.	Tom Brown, often dubbed "the facetious," but to whom a sterner epithet might well be applied, writing about the end of the seventeenth century, mentions a vintner's wife who, having "made her pile," as might be said nowadays, retires to a little country house at Hampstead, where she drinks sack too plentifully, smokes tobacco in an elbow chair, and snores away the remainder of her life.	false	676.64	697.27	19
2652_157644_000021_000002	And the same writer was responsible for a satirical letter "to an Old Lady that smoak'd Tobacco," which shows that the practice was not general, for the letter begins: "Madam, Tho' the ill-natur'd world censures you for smoaking." Brown advised her to continue the "innocent diversion" because, first, it was good for the toothache, "the constant persecutor of old ladies," and, secondly, it was a great help to meditation, "which is the reason, I suppose," he continues, "that recommends it to your parsons; the generality of whom can no more write a sermon without a pipe in their mouths, than a concordance in their hands."	And the same writer was responsible for a satirical letter "to an Old Lady that smoak'd Tobacco," which shows that the practice was not general, for the letter begins: "Madam, Tho' the ill natur'd world censures you for smoaking." Brown advised her to continue the "innocent diversion" because, first, it was good for the toothache, "the constant persecutor of old ladies," and, secondly, it was a great help to meditation, "which is the reason, I suppose," he continues, "that recommends it to your parsons; the generality of whom can no more write a sermon without a pipe in their mouths, than a concordance in their hands."	false	697.43	729.91	20.959074
2652_157644_000022_000000	From the evidence so far adduced it may fairly be concluded, I think, that during the seventeenth century smoking was not fashionable, or indeed anything but rare, among the women of the more well-to-do classes, while among women of humbler rank it was an occasional, and in a few districts a fairly general habit.	From the evidence so far adduced it may fairly be concluded, I think, that during the seventeenth century smoking was not fashionable, or indeed anything but rare, among the women of the more well to do classes, while among women of humbler rank it was an occasional, and in a few districts a fairly general habit.	false	730.31	746.17	17
2652_157644_000023_000000	The same conclusion holds good for the eighteenth century.	The same conclusion holds good for the eighteenth century.	true	746.81	750.01	18.646355
2652_157644_000023_000001	Among women of the lowest class smoking was probably common enough.	Among women of the lowest class smoking was probably common enough.	true	750.08	753.91	22
2652_157644_000023_000002	In Fielding's "Amelia," a woman of the lowest character is spoken of as "smoking tobacco, drinking punch, talking obscenely and swearing and cursing"--which accomplishments are all carefully noted, because none of them would be applicable to the ordinary respectable female.	In Fielding's "Amelia," a woman of the lowest character is spoken of as "smoking tobacco, drinking punch, talking obscenely and swearing and cursing"--which accomplishments are all carefully noted, because none of them would be applicable to the ordinary respectable female.	false	754.07	768.09	19
2652_157644_000024_000000	The fine lady disliked tobacco.	The fine lady disliked tobacco.	false	768.09	771.06	20.996262
2652_157644_000024_000001	The author of "A Pipe of Tobacco," in Dodsley's well-known "Collection," to which reference has already been made, wrote:	The author of "A Pipe of Tobacco," in Dodsley's well-known "Collection," to which reference has already been made, wrote:	false	771.06	777.06	23.49974
2652_157644_000025_000000	_Ladies, when pipes are brought, affect to swoon; They love no smoke, except the smoke of Town.	underscore Ladies, when pipes are brought, affect to swoon; They love no smoke, except the smoke of Town.	false	777.06	782.62	20.278519
2652_157644_000026_000000	Citronia vows it has an odious stink; She will not smoke (ye gods!)--but she will drink;_	Citronia vows it has an odious stink; She will not smoke (ye gods!)--but she will drink;underscore	false	782.78	789.81	21.087425
2652_157644_000027_000000	and the same writer describes tobacco as "By ladies hated, hated by the beaux." Although the fine lady may have affected to swoon at the sight of pipes, and belles generally, like the beaux, may have disdained tobacco as vulgar, yet there were doubtless still to be found here and there respectable women who occasionally indulged in a smoke.	and the same writer describes tobacco as "By ladies hated, hated by the beaux." Although the fine lady may have affected to swoon at the sight of pipes, and belles generally, like the beaux, may have disdained tobacco as vulgar, yet there were doubtless still to be found here and there respectable women who occasionally indulged in a smoke.	false	789.81	806.59	21
2652_157644_000027_000001	In an early _Spectator_, Addison gives the rules of a "Twopenny Club, erected in this Place, for the Preservation of Friendship and good Neighbourhood," which met in a little ale-house and was frequented by artisans and mechanics.	In an early underscore Spectator underscore, Addison gives the rules of a "Twopenny Club, erected in this Place, for the Preservation of Friendship and good Neighbourhood," which met in a little ale house and was frequented by artisans and mechanics.	false	806.72	818.23	20.352053
2652_157644_000027_000002	Rule II was, "Every member shall fill his pipe out of his own box"; and Rule VII was, "If any member brings his wife into the club, he shall pay for whatever she drinks or smokes."	Rule two was, "Every member shall fill his pipe out of his own box"; and Rule seven was, "If any member brings his wife into the club, he shall pay for whatever she drinks or smokes."	true	818.42	828.3	19
2652_157644_000028_000000	In one of the valuable volumes issued by the Georgian Society of Dublin a year or two ago, Dr. Mahaffy, writing on the mid-eighteenth century society of the Irish capital, quotes an advertisement by a Dublin tobacconist of "mild pigtail for ladies" which suggests the alarming question--Did Irish ladies chew?	In one of the valuable volumes issued by the Georgian Society of Dublin a year or two ago, dr Mahaffy, writing on the mid eighteenth century society of the Irish capital, quotes an advertisement by a Dublin tobacconist of "mild pigtail for ladies" which suggests the alarming question-Did Irish ladies chew?	false	828.3	847.44	21.729822
2652_157644_000029_000000	It has sometimes been supposed that the companion of Swift's Stella, Mrs. Rebecca Dingley, was addicted to smoking.	It has sometimes been supposed that the companion of Swift's Stella, mrs Rebecca Dingley, was addicted to smoking.	false	847.44	853.92	20
2652_157644_000029_000001	In the letters which make up the famous "Journal to Stella," there are several references by Swift to the presents of tobacco which he was in the habit of sending to Mrs. Dingley.	In the letters which make up the famous "Journal to Stella," there are several references by Swift to the presents of tobacco which he was in the habit of sending to mrs Dingley.	false	853.92	862.93	20.667294
2652_157644_000029_000002	On September 21, 1710, he wrote: "I have the finest piece of Brazil tobacco for Dingley that ever was born." In the following month he again had a great piece of Brazil tobacco for the same lady, and again in November: "I have made Delaval promise to send me some Brazil tobacco from Portugal for you, Madam Dingley." In December, Swift was expressing his hope that Dingley's tobacco had not spoiled the chocolate which he had sent for Stella in the same parcel; and three months later he wrote: "No news of your box?	On september twenty first seventeen ten, he wrote: "I have the finest piece of Brazil tobacco for Dingley that ever was born." In the following month he again had a great piece of Brazil tobacco for the same lady, and again in November: "I have made Delaval promise to send me some Brazil tobacco from Portugal for you, Madam Dingley." In December, Swift was expressing his hope that Dingley's tobacco had not spoiled the chocolate which he had sent for Stella in the same parcel; and three months later he wrote: "No news of your box?	false	863.48	892.545	22.020199
2652_157644_000029_000003	I hope you have it, and are this minute drinking the chocolate, and that the smell of the Brazil tobacco has not affected it." The explanation of all this tobacco for Mistress Dingley is to be found in Swift's letter to Stella of October 23, 1711.	I hope you have it, and are this minute drinking the chocolate, and that the smell of the Brazil tobacco has not affected it." The explanation of all this tobacco for Mistress Dingley is to be found in Swift's letter to Stella of october twenty third seventeen eleven.	false	892.545	906.16	21.886276
2652_157644_000029_000004	"Then there's the miscellany," he writes, "an apron for Stella, a pound of chocolate, without sugar, for Stella, a fine snuff-rasp of ivory, given me by Mrs. St. John for Dingley, and a large roll of tobacco which she must hide or cut shorter out of modesty, and four pair of spectacles for the Lord knows who." The tobacco was clearly not for smoking, but for Dingley to operate upon with the snuff-rasp, and so supply herself with snuff--a luxury, which in those days, was as much enjoyed and as universally used by women as by men.	"Then there's the miscellany," he writes, "an apron for Stella, a pound of chocolate, without sugar, for Stella, a fine snuff rasp of ivory, given me by mrs saint John for Dingley, and a large roll of tobacco which she must hide or cut shorter out of modesty, and four pair of spectacles for the Lord knows who." The tobacco was clearly not for smoking, but for Dingley to operate upon with the snuff rasp, and so supply herself with snuff-a luxury, which in those days, was as much enjoyed and as universally used by women as by men.	false	906.56	936.76	21.913027
2652_157644_000030_000000	Even Quakeresses sometimes smoked.	Even Quakeresses sometimes smoked.	true	937.58	939.99	23.240875
2652_157644_000030_000001	A list of the sea-stores put on board the ship in which certain friends--Samuel Fothergill, Mary Peisly, Katherine Payton and others--sailed from Philadelphia for England in June 1756, is still extant.	A list of the sea stores put on board the ship in which certain friends-Samuel Fothergill, Mary Peisly, Katherine Payton and others-sailed from Philadelphia for England in june seventeen fifty six, is still extant.	true	939.99	952.03	19
2652_157644_000030_000002	In those days Atlantic passages were long, and might last for an indefinite period, and passengers provisioned themselves accordingly.	In those days Atlantic passages were long, and might last for an indefinite period, and passengers provisioned themselves accordingly.	true	952.19	959.32	17
2652_157644_000030_000003	On this occasion the passage though stormy was very quick, for it lasted only thirty-four days.	On this occasion the passage though stormy was very quick, for it lasted only thirty four days.	true	959.69	964.72	22.623163
2652_157644_000030_000004	The list of provisions taken is truly formidable.	The list of provisions taken is truly formidable.	true	964.91	967.68	20.34041
2652_157644_000030_000005	It includes all sorts of eatables and drinkables in astonishing quantities.	It includes all sorts of eatables and drinkables in astonishing quantities.	false	967.68	972.16	19.662
