2272_152265_000000_000000	Years of peace and prosperity followed for Alfred's kingdom.	Years of peace and prosperity followed for Alfred's kingdom.	false	0.63	4.32	13
2272_152265_000024_000000	"I accept the terms in the king's name," responded the chief.	"I accept the terms in the king's name," responded the chief.	true	240.53	243.645	19
2272_152265_000024_000001	The prince was, therefore, given up and the Magyars withdrew.	The prince was, therefore, given up and the Magyars withdrew.	true	243.645	247.18	17
2272_152265_000025_000000	During the nine years of truce King Henry paid great attention to the organization of an army.	During the nine years of truce King Henry paid great attention to the organization of an army.	true	247.55	252.31	12
2272_152265_000025_000001	Before this the German soldiers had fought chiefly on foot, not, as the Magyars did, on horseback. For this reason they were at a great disadvantage in battle.	Before this the German soldiers had fought chiefly on foot, not, as the Magyars did, on horseback. For this reason they were at a great disadvantage in battle.	true	252.32	261.21	19.765356
2272_152265_000025_000002	The king now raised a strong force of horsemen and had them drilled so thoroughly that they became almost invincible.	The king now raised a strong force of horsemen and had them drilled so thoroughly that they became almost invincible.	false	261.21	267.25	16
2272_152265_000025_000003	The infantry also were carefully drilled.	The infantry also were carefully drilled.	true	267.26	269.68	22
2272_152265_000026_000000	Besides this, Henry built a number of forts in different parts of his kingdom and had all the fortified cities made stronger.	Besides this, Henry built a number of forts in different parts of his kingdom and had all the fortified cities made stronger.	true	269.81	276.52	19
2272_152265_000027_000000	The following year the Magyar chief appeared at the German court and demanded a tenth payment.	The following year the Magyar chief appeared at the German court and demanded a tenth payment.	true	276.74	281.53	14
2272_152265_000028_000000	"Not a piece of gold will be given you," replied King Henry.	"Not a piece of gold will be given you," replied King Henry.	true	281.72	284.58	11
2272_152265_000028_000001	"Our truce is ended."	"Our truce is ended."	true	284.58	286.12	25.902208
2272_152265_000029_000000	In less than a week a vast body of Magyars entered Germany to renew the war.	In less than a week a vast body of Magyars entered Germany to renew the war.	false	286.31	290.71	12
2272_152265_000029_000001	Henry held his army in waiting until lack of food compelled the barbarians to divide their forces into two separate bodies. One division was sent to one part of the country, the other to another part.	Henry held his army in waiting until lack of food compelled the barbarians to divide their forces into two separate bodies. One division was sent to one part of the country, the other to another part.	true	290.75	301.12	16
2272_152265_000030_000000	Henry completely routed both divisions, and the power of the Magyars in Germany was broken.	Henry completely routed both divisions, and the power of the Magyars in Germany was broken.	true	301.55	306.43	14
2272_152265_000031_000000	The Danes also invaded Henry's kingdom, but he defeated them and drove them back.	The Danes also invaded Henry's kingdom, but he defeated them and drove them back.	true	306.74	311.26	17
2272_152265_000032_000000	Henry reigned for eighteen years; and when he died all Germany was peaceful and prosperous.	Henry reigned for eighteen years; and when he died all Germany was peaceful and prosperous.	true	311.42	316.53	13
2272_152265_000032_000001	His son Otto succeeded him.	His son Otto succeeded him.	true	316.53	318.51	20
2272_152265_000032_000002	He assumed the title of "Emperor," which Charlemagne had borne more than a hundred years before.	He assumed the title of "Emperor," which Charlemagne had borne more than a hundred years before.	true	318.51	323.29	14
2272_152265_000033_000000	From that time on, for nearly one thousand years, all the German emperors claimed to be the successors of Charlemagne.	From that time on, for nearly one thousand years, all the German emperors claimed to be the successors of Charlemagne.	true	323.45	329.88	15
2272_152265_000033_000001	They called their domain "the Holy Roman Empire," and took the title "Emperor" or "Emperor of the Romans," until the year 1806, when Francis II resigned it.	They called their domain "the Holy Roman Empire," and took the title "Emperor" or "Emperor of the romans," until the year eighteen o six, when Francis the second resigned it.	false	329.88	350.76	21.230719
