3825_134160_000000_000000	"And it wants only two hours to sunset!" I said as I strolled on.	"And it wants only two hours to sunset!" I said as I strolled on.	false	2.04	12.84	20.707958
3825_134160_000031_000000	The father, in order to do his part in a conversation that seemed only fit for lunatics, replied "Whisper it to me, dear."	The father, in order to do his part in a conversation that seemed only fit for lunatics, replied "Whisper it to me, dear."	true	559.16	566.14	15
3825_134160_000032_000000	But she didn't whisper (these children never did anything they were told): she said, quite loud, "Of course not!	But she didn't whisper (these children never did anything they were told): she said, quite loud, "Of course not!	true	566.27	572.28	17
3825_134160_000032_000001	Everybody knows what Dotty wants!"	Everybody knows what Dotty wants!"	false	572.28	574.065	11
3825_134160_000033_000000	And little Dolly shrugged her shoulders, and said, with a pretty pettishness, "Now, Father, you're not to tease!	And little Dolly shrugged her shoulders, and said, with a pretty pettishness, "Now, Father, you're not to tease!	true	574.065	579.81	9
3825_134160_000033_000001	You know I don't want to be bride's-maid to anybody!"	You know I don't want to be bride's maid to anybody!"	true	579.81	582.525	9
3825_134160_000034_000000	"And Dolly's to be the fourth," was her father's idiotic reply.	"And Dolly's to be the fourth," was her father's idiotic reply.	true	582.525	586	15
3825_134160_000035_000000	Here Number Three put in her oar.	Here Number Three put in her oar.	true	586.07	588.075	16
3825_134160_000035_000001	"Oh, it is settled, Mother dear, really and truly!	"Oh, it is settled, Mother dear, really and truly!	true	588.075	590.745	9
3825_134160_000035_000002	Mary told us all about it.	Mary told us all about it.	true	590.745	592.125	12
3825_134160_000035_000003	It's to be next Tuesday four weeks--and three of her cousins are coming; to be bride's-maids--and--"	It's to be next Tuesday four weeks-and three of her cousins are coming; to be bride's maids-and-"	true	592.125	597.12	12
3825_134160_000036_000000	"She doesn't forget it, Minnie!" the Mother laughingly replied.	"She doesn't forget it, Minnie!" the Mother laughingly replied.	true	597.12	600.28	12
3825_134160_000036_000001	"I do wish they'd get it settled!	"I do wish they'd get it settled!	true	600.41	602.28	12
3825_134160_000036_000002	I don't like long engagements."	I don't like long engagements."	true	602.28	604	10
3825_134160_000037_000000	And Minnie wound up the conversation--if so chaotic a series of remarks deserves the name--with "Only think!	And Minnie wound up the conversation-if so chaotic a series of remarks deserves the name-with "Only think!	true	604.22	610.935	14
3825_134160_000037_000001	We passed the Cedars this morning, just exactly as Mary Davenant was standing at the gate, wishing good-bye to Mister---I forget his name.	We passed the Cedars this morning, just exactly as Mary Davenant was standing at the gate, wishing good bye to Mister---I forget his name.	false	610.935	618.855	15
3825_134160_000037_000002	Of course we looked the other way."	Of course we looked the other way."	true	618.855	620.59	14
3825_134160_000038_000000	By this time I was so hopelessly confused that I gave up listening, and followed the dinner down into the kitchen.	By this time I was so hopelessly confused that I gave up listening, and followed the dinner down into the kitchen.	true	621.08	627.01	17
3825_134160_000039_000000	But to you, O hypercritical reader, resolute to believe no item of this weird adventure, what need to tell how the mutton was placed on the spit, and slowly unroasted--how the potatoes were wrapped in their skins, and handed over to the gardener to be buried--how, when the mutton had at length attained to rawness, the fire, which had gradually changed from red-heat to a mere blaze, died down so suddenly that the cook had only just time to catch its last flicker on the end of a match--or how the maid, having taken the mutton off the spit, carried it (backwards, of course) out of the house, to meet the butcher, who was coming (also backwards) down the road?	But to you, O hypercritical reader, resolute to believe no item of this weird adventure, what need to tell how the mutton was placed on the spit, and slowly unroasted-how the potatoes were wrapped in their skins, and handed over to the gardener to be buried-how, when the mutton had at length attained to rawness, the fire, which had gradually changed from red heat to a mere blaze, died down so suddenly that the cook had only just time to catch its last flicker on the end of a match-or how the maid, having taken the mutton off the spit, carried it (backwards, of course) out of the house, to meet the butcher, who was coming (also backwards) down the road?	true	627.2	665.14	22
3825_134160_000040_000000	The longer I thought over this strange adventure, the more hopelessly tangled the mystery became: and it was a real relief to meet Arthur in the road, and get him to go with me up to the Hall, to learn what news the telegraph had brought.	The longer I thought over this strange adventure, the more hopelessly tangled the mystery became: and it was a real relief to meet Arthur in the road, and get him to go with me up to the Hall, to learn what news the telegraph had brought.	true	665.27	677.59	21
3825_134160_000040_000001	I told him, as we went, what had happened at the Station, but as to my further adventures I thought it best, for the present, to say nothing.	I told him, as we went, what had happened at the Station, but as to my further adventures I thought it best, for the present, to say nothing.	true	677.75	685.54	22.32721
3825_134160_000041_000000	The Earl was sitting alone when we entered.	The Earl was sitting alone when we entered.	true	686.03	688.305	18
3825_134160_000041_000001	"I am glad you are come in to keep me company," he said.	"I am glad you are come in to keep me company," he said.	false	688.305	691.665	18
3825_134160_000041_000002	"Muriel is gone to bed--the excitement of that terrible scene was too much for her--and Eric has gone to the hotel to pack his things, to start for London by the early train."	"Muriel is gone to bed-the excitement of that terrible scene was too much for her-and Eric has gone to the hotel to pack his things, to start for London by the early train."	true	691.665	701.925	25.652187
3825_134160_000042_000000	"Then the telegram has come?" I said.	"Then the telegram has come?" I said.	true	701.925	703.785	19
3825_134160_000043_000000	"Did you not hear?	"Did you not hear?	true	703.785	704.83	24.799234
3825_134160_000043_000001	Oh, I had forgotten: it came in after you left the Station.	Oh, I had forgotten: it came in after you left the Station.	true	704.87	708.6	25.06315
3825_134160_000043_000002	Yes, it's all right: Eric has got his commission; and, now that he has arranged matters with Muriel, he has business in town that must be seen to at once."	Yes, it's all right: Eric has got his commission; and, now that he has arranged matters with Muriel, he has business in town that must be seen to at once."	true	708.6	717.36	24.149994
3825_134160_000044_000000	"What arrangement do you mean?" I asked with a sinking heart, as the thought of Arthur's crushed hopes came to my mind.	"What arrangement do you mean?" I asked with a sinking heart, as the thought of Arthur's crushed hopes came to my mind.	true	717.36	723.34	17.337523
3825_134160_000044_000001	"Do you mean that they are engaged?"	"Do you mean that they are engaged?"	true	723.5	725.055	23.273525
3825_134160_000045_000000	"They have been engaged--in a sense--for two years," the old man gently replied: "that is, he has had my promise to consent to it, so soon as he could secure a permanent and settled line in life.	"They have been engaged-in a sense-for two years," the old man gently replied: "that is, he has had my promise to consent to it, so soon as he could secure a permanent and settled line in life.	true	725.055	735.57	19
3825_134160_000045_000001	I could never be happy with my child married to a man without an object to live for--without even an object to die for!"	I could never be happy with my child married to a man without an object to live for-without even an object to die for!"	true	735.57	742.29	22.079052
3825_134160_000046_000000	"I hope they will be happy," a strange voice said.	"I hope they will be happy," a strange voice said.	true	742.29	745.18	25.242193
3825_134160_000046_000001	The speaker was evidently in the room, but I had not heard the door open, and I looked round in some astonishment.	The speaker was evidently in the room, but I had not heard the door open, and I looked round in some astonishment.	false	745.22	750.81	15
3825_134160_000046_000002	The Earl seemed to share my surprise.	The Earl seemed to share my surprise.	true	750.81	752.985	17
3825_134160_000046_000003	"Who spoke?" he exclaimed.	"Who spoke?" he exclaimed.	true	752.985	754.635	27.093554
3825_134160_000047_000000	"It was I," said Arthur, looking at us with a worn, haggard face, and eyes from which the light of life seemed suddenly to have faded.	"It was I," said Arthur, looking at us with a worn, haggard face, and eyes from which the light of life seemed suddenly to have faded.	true	754.635	761.985	16
3825_134160_000047_000001	"And let me wish you joy also, dear friend," he added, looking sadly at the Earl, and speaking in the same hollow tones that had startled us so much.	"And let me wish you joy also, dear friend," he added, looking sadly at the Earl, and speaking in the same hollow tones that had startled us so much.	true	761.985	770.115	15
3825_134160_000048_000000	"Thank you," the old man said, simply and heartily.	"Thank you," the old man said, simply and heartily.	true	770.115	773.02	22.796385
3825_134160_000049_000000	A silence followed: then I rose, feeling sure that Arthur would wish to be alone, and bade our gentle host 'Good night': Arthur took his hand, but said nothing: nor did he speak again, as we went home till we were in the house and had lit our bed-room candles.	A silence followed: then I rose, feeling sure that Arthur would wish to be alone, and bade our gentle host 'Good night': Arthur took his hand, but said nothing: nor did he speak again, as we went home till we were in the house and had lit our bed room candles.	true	773.33	787.21	20.920647
3825_134160_000049_000001	Then he said more to himself than to me, "The heart knoweth its own bitterness.	Then he said more to himself than to me, "The heart knoweth its own bitterness.	false	787.25	792.25	22.761185
3825_134160_000049_000002	I never understood those words till now."	I never understood those words till now."	true	792.38	794.59	24.68561
3825_134160_000050_000000	The next few days passed wearily enough.	The next few days passed wearily enough.	true	794.78	797.17	25.095713
3825_134160_000050_000001	I felt no inclination to call by myself at the Hall; still less to propose that Arthur should go with me: it seemed better to wait till Time--that gentle healer of our bitterest sorrows should have helped him to recover from the first shock of the disappointment that had blighted his life.	I felt no inclination to call by myself at the Hall; still less to propose that Arthur should go with me: it seemed better to wait till Time-that gentle healer of our bitterest sorrows should have helped him to recover from the first shock of the disappointment that had blighted his life.	true	797.24	813.375	21.747784
3825_134160_000051_000000	Business however soon demanded my presence in town; and I had to announce to Arthur that I must leave him for a while.	Business however soon demanded my presence in town; and I had to announce to Arthur that I must leave him for a while.	true	813.375	819.36	17
3825_134160_000051_000001	"But I hope to run down again in a month," I added.	"But I hope to run down again in a month," I added.	true	819.36	821.745	26.255379
3825_134160_000051_000002	"I would stay now, if I could.	"I would stay now, if I could.	true	821.745	823.26	24.804625
3825_134160_000051_000003	I don't think it's good for you to be alone."	I don't think it's good for you to be alone."	true	823.26	825.165	16
3825_134160_000052_000000	"No, I ca'n't face solitude, here, for long," said Arthur.	"No, I ca'n't face solitude, here, for long," said Arthur.	false	825.165	828.555	18
3825_134160_000052_000001	"But don't think about me.	"But don't think about me.	true	828.555	829.93	24.168798
3825_134160_000052_000002	I have made up my mind to accept a post in India, that has been offered me.	I have made up my mind to accept a post in India, that has been offered me.	true	829.94	833.83	22
3825_134160_000052_000003	Out there, I suppose I shall find something to live for; I ca'n't see anything at present.	Out there, I suppose I shall find something to live for; I ca'n't see anything at present.	false	834.17	838.95	23.842903
3825_134160_000052_000004	'This life of mine I guard, as God's high gift, from scathe and wrong, Not greatly care to lose!'"	'This life of mine I guard, as God's high gift, from scathe and wrong, Not greatly care to lose!'"	true	838.95	845.235	20
3825_134160_000053_000000	"Yes," I said: "your name-sake bore as heavy a blow, and lived through it."	"Yes," I said: "your name sake bore as heavy a blow, and lived through it."	true	845.235	848.925	16
3825_134160_000054_000000	"A far heavier one than mine," said Arthur.	"A far heavier one than mine," said Arthur.	true	848.925	851.62	19.362051
3825_134160_000054_000001	"The woman he loved proved false.	"The woman he loved proved false.	false	851.66	853.65	23.36889
3825_134160_000054_000002	There is no such cloud as that on my memory of--of--" He left the name unuttered, and went on hurriedly.	There is no such cloud as that on my memory of-of-" He left the name unuttered, and went on hurriedly.	true	853.65	859.71	19
3825_134160_000054_000003	"But you will return, will you not?"	"But you will return, will you not?"	true	859.71	861.285	20
3825_134160_000055_000000	"Yes, I shall come back for a short time."	"Yes, I shall come back for a short time."	false	861.285	863.595	16
3825_134160_000056_000000	"Do," said Arthur: "and you shall write and tell me of our friends.	"Do," said Arthur: "and you shall write and tell me of our friends.	true	863.595	866.805	20.89159
3825_134160_000056_000001	I'll send you my address when I'm settled down."	I'll send you my address when I'm settled down."	false	866.805	877.56	22.609936
