8758_291170_000001_000000	CHAPTER XVI.	CHAPTER sixteen.
8758_291170_000010_000002	He killed most of them with his paws, seldom putting a tooth in one.	He killed most of them with his paws, seldom putting a tooth in one.
8758_291170_000010_000005	Indeed, high-bred cats seldom care to eat mice unless they are very hungry; they much prefer fish to anything else, and the flesh of birds they consider a greater luxury than even that of rabbits.	Indeed, high bred cats seldom care to eat mice unless they are very hungry; they much prefer fish to anything else, and the flesh of birds they consider a greater luxury than even that of rabbits.
8758_291170_000011_000001	They are very wise too, and this wisdom is especially displayed in the number of doors they have in each of their dwellings; so that should an enemy, in the shape of a pussy, or a ferret, pop in at one door, Bunny would just pop out at the other.	They are very wise too, and this wisdom is especially displayed in the number of doors they have in each of their dwellings; so that should an enemy, in the shape of a pussy, or a ferret, pop in at one door, Bunny would just pop out at the other.
8758_291170_000011_000004	Of course, Bunny by this time was scampering off to the opposite hole, and there at the door pussy would nab him just as he came out.	Of course, Bunny by this time was scampering off to the opposite hole, and there at the door pussy would nab him just as he came out.
8758_291170_000012_000000	Cats almost invariably bring home their prey to be either leisurely eaten, given to their kittens, or presented to their owners.	Cats almost invariably bring home their prey to be either leisurely eaten, given to their kittens, or presented to their owners.
8758_291170_000013_000000	A man in Banffshire rented a small farm from a game-preserving laird.	A man in Banffshire rented a small farm from a game preserving laird.
8758_291170_000013_000001	This man was ruined by rabbits, and turned out of house and home by them.	This man was ruined by rabbits, and turned out of house and home by them.
8758_291170_000013_000002	They first ate up all his oats, his grass, and turnips, so that only potatoes could be grown on the place.	They first ate up all his oats, his grass, and turnips, so that only potatoes could be grown on the place.
8758_291170_000013_000004	She also took a few youthful prisoners, whom she brought home to play with and amuse a fine family of kittens, which she had in the cottage garret.	She also took a few youthful prisoners, whom she brought home to play with and amuse a fine family of kittens, which she had in the cottage garret.
8758_291170_000013_000005	These young rabbits lived and grew, and burrowed and made nests in the thatch.	These young rabbits lived and grew, and burrowed and made nests in the thatch.
8758_291170_000013_000006	It was the awful row this happy family used to make every night which first led to the discovery.	It was the awful row this happy family used to make every night which first led to the discovery.
8758_291170_000013_000007	When the farmer found out one night the cause of the disturbance, he came down and awakened his wife and--	When the farmer found out one night the cause of the disturbance, he came down and awakened his wife and-
8758_291170_000014_000000	"Jane," said he, and he looked almost sublime as he stood on the cold damp floor with a penny candle in one hand, in rather scanty shirt-tails and red Kilmarnock night cap--he was a study for a Rembrandt, "Jane, I've been a duffer too long.	"Jane," said he, and he looked almost sublime as he stood on the cold damp floor with a penny candle in one hand, in rather scanty shirt tails and red Kilmarnock night cap-he was a study for a Rembrandt, "Jane, I've been a duffer too long.
8758_291170_000015_000000	Gamekeepers do all they can to destroy the life of poor pussy by setting traps for, and shooting her wherever met.	Gamekeepers do all they can to destroy the life of poor pussy by setting traps for, and shooting her wherever met.
8758_291170_000015_000001	But some cats come to know all about the treacherous wires and how to avoid them.	But some cats come to know all about the treacherous wires and how to avoid them.
8758_291170_000015_000002	They know too that hares and rabbits often fall into these snares, and accordingly they turn this knowledge to good account; and when they find a half-strangled animal in the gin, they quietly despatch, and if possible carry it home.	They know too that hares and rabbits often fall into these snares, and accordingly they turn this knowledge to good account; and when they find a half strangled animal in the gin, they quietly despatch, and if possible carry it home.
8758_291170_000016_000000	Cats are great enemies to birds in the breeding season; but it is surprising with what terrible fierceness even the smallest birds will defend their nests from the inroads of predatory cats, whose evil intentions are thus often frustrated.	Cats are great enemies to birds in the breeding season; but it is surprising with what terrible fierceness even the smallest birds will defend their nests from the inroads of predatory cats, whose evil intentions are thus often frustrated.
8758_291170_000018_000000	A poacher, the other day, was returning home in the grey light of early morning, when he observed a large fox coming in his direction, with what the man took to be a hare over his shoulder.	A poacher, the other day, was returning home in the grey light of early morning, when he observed a large fox coming in his direction, with what the man took to be a hare over his shoulder.
8758_291170_000018_000001	The man fired, and Reynard dropped.	The man fired, and Reynard dropped.
8758_291170_000018_000002	His burden was a fine large cat.	His burden was a fine large cat.
8758_291170_000018_000004	"There's many a slip 'twixt the cup and the lip;" and the poacher's gun brought matters to quite a different conclusion.	"There's many a slip 'twixt the cup and the lip;" and the poacher's gun brought matters to quite a different conclusion.
8758_291170_000019_000001	They were no doubt sitting cheek-by-jowl when pussy made the spring.	They were no doubt sitting cheek by jowl when pussy made the spring.
8758_291170_000020_000000	If I tell the reader of a cat that is so clever that she can catch swallows on the wing, I suppose I may be allowed to close this chapter in peace.	If I tell the reader of a cat that is so clever that she can catch swallows on the wing, I suppose I may be allowed to close this chapter in peace.
8758_291170_000021_000000	At the foot of a certain post-master's garden, flows a stream in which his cat takes many a good salmon-trout.	At the foot of a certain post master's garden, flows a stream in which his cat takes many a good salmon trout.
8758_291170_000021_000002	On this bridge crouches this sagacious cat, and often secures a swallow, as it skims out from under.	On this bridge crouches this sagacious cat, and often secures a swallow, as it skims out from under.
