5400_34478_000001_000000	Chapter 3	Chapter three
5400_34478_000027_000000	"That remains to be proved....	"That remains to be proved....
5400_34478_000028_000001	And mending the highroads is an impossibility; and as soon as they put up bridges they're stolen."	And mending the highroads is an impossibility; and as soon as they put up bridges they're stolen."
5400_34478_000029_000000	"Still, that's not the point," said Sergey Ivanovitch, frowning.	"Still, that's not the point," said Sergey Ivanovitch, frowning.
5400_34478_000029_000002	"Do you admit that education is a benefit for the people?"	"Do you admit that education is a benefit for the people?"
5400_34478_000030_000000	"Yes, I admit it," said Levin without thinking, and he was conscious immediately that he had said what he did not think.	"Yes, I admit it," said Levin without thinking, and he was conscious immediately that he had said what he did not think.
5400_34478_000030_000001	He felt that if he admitted that, it would be proved that he had been talking meaningless rubbish.	He felt that if he admitted that, it would be proved that he had been talking meaningless rubbish.
5400_34478_000030_000002	How it would be proved he could not tell, but he knew that this would inevitably be logically proved to him, and he awaited the proofs.	How it would be proved he could not tell, but he knew that this would inevitably be logically proved to him, and he awaited the proofs.
5400_34478_000031_000000	The argument turned out to be far simpler than he had expected.	The argument turned out to be far simpler than he had expected.
5400_34478_000032_000000	"If you admit that it is a benefit," said Sergey Ivanovitch, "then, as an honest man, you cannot help caring about it and sympathizing with the movement, and so wishing to work for it."	"If you admit that it is a benefit," said Sergey Ivanovitch, "then, as an honest man, you cannot help caring about it and sympathizing with the movement, and so wishing to work for it."
5400_34478_000033_000000	"But I still do not admit this movement to be just," said Konstantin Levin, reddening a little.	"But I still do not admit this movement to be just," said Konstantin Levin, reddening a little.
5400_34478_000034_000000	"What!	"What!
5400_34478_000034_000001	But you said just now..."	But you said just now..."
5400_34478_000035_000000	"That's to say, I don't admit it's being either good or possible."	"That's to say, I don't admit it's being either good or possible."
5400_34478_000036_000000	"That you can't tell without making the trial."	"That you can't tell without making the trial."
5400_34478_000038_000000	"How so?"	"How so?"
5400_34478_000040_000000	"I can't see where philosophy comes in," said Sergey Ivanovitch, in a tone, Levin fancied, as though he did not admit his brother's right to talk about philosophy.	"I can't see where philosophy comes in," said Sergey Ivanovitch, in a tone, Levin fancied, as though he did not admit his brother's right to talk about philosophy.
5400_34478_000040_000001	And that irritated Levin.	And that irritated Levin.
5400_34478_000041_000000	"I'll tell you, then," he said with heat, "I imagine the mainspring of all our actions is, after all, self-interest.	"I'll tell you, then," he said with heat, "I imagine the mainspring of all our actions is, after all, self interest.
5400_34478_000041_000002	Doctors and dispensaries are no use to me.	Doctors and dispensaries are no use to me.
5400_34478_000041_000003	An arbitrator of disputes is no use to me.	An arbitrator of disputes is no use to me.
5400_34478_000041_000004	I never appeal to him, and never shall appeal to him.	I never appeal to him, and never shall appeal to him.
5400_34478_000041_000005	The schools are no good to me, but positively harmful, as I told you.	The schools are no good to me, but positively harmful, as I told you.
5400_34478_000041_000006	For me the district institutions simply mean the liability to pay fourpence halfpenny for every three acres, to drive into the town, sleep with bugs, and listen to all sorts of idiocy and loathsomeness, and self-interest offers me no inducement."	For me the district institutions simply mean the liability to pay fourpence halfpenny for every three acres, to drive into the town, sleep with bugs, and listen to all sorts of idiocy and loathsomeness, and self interest offers me no inducement."
5400_34478_000042_000000	"Excuse me," Sergey Ivanovitch interposed with a smile, "self-interest did not induce us to work for the emancipation of the serfs, but we did work for it."	"Excuse me," Sergey Ivanovitch interposed with a smile, "self interest did not induce us to work for the emancipation of the serfs, but we did work for it."
5400_34478_000043_000000	"No!" Konstantin Levin broke in with still greater heat; "the emancipation of the serfs was a different matter.	"No!" Konstantin Levin broke in with still greater heat; "the emancipation of the serfs was a different matter.
5400_34478_000043_000001	There self-interest did come in.	There self interest did come in.
5400_34478_000043_000002	One longed to throw off that yoke that crushed us, all decent people among us.	One longed to throw off that yoke that crushed us, all decent people among us.
5400_34478_000044_000000	Konstantin Levin had warmed to his subject, and began mimicking the president and the half-witted Alioshka: it seemed to him that it was all to the point.	Konstantin Levin had warmed to his subject, and began mimicking the president and the half witted Alioshka: it seemed to him that it was all to the point.
5400_34478_000045_000000	But Sergey Ivanovitch shrugged his shoulders.	But Sergey Ivanovitch shrugged his shoulders.
5400_34478_000048_000000	Konstantin Levin spoke as though the floodgates of his speech had burst open.	Konstantin Levin spoke as though the floodgates of his speech had burst open.
5400_34478_000048_000001	Sergey Ivanovitch smiled.	Sergey Ivanovitch smiled.
5400_34478_000050_000000	"I'm not going to be tried.	"I'm not going to be tried.
5400_34478_000052_000000	"Excuse me, but you know one really can't argue in that way," he observed.	"Excuse me, but you know one really can't argue in that way," he observed.
5400_34478_000053_000000	But Konstantin Levin wanted to justify himself for the failing, of which he was conscious, of lack of zeal for the public welfare, and he went on.	But Konstantin Levin wanted to justify himself for the failing, of which he was conscious, of lack of zeal for the public welfare, and he went on.
5400_34478_000055_000000	Sergey Ivanovitch smiled.	Sergey Ivanovitch smiled.
5400_34478_000055_000001	"He too has a philosophy of his own at the service of his natural tendencies," he thought.	"He too has a philosophy of his own at the service of his natural tendencies," he thought.
5400_34478_000056_000000	"Come, you'd better let philosophy alone," he said.	"Come, you'd better let philosophy alone," he said.
5400_34478_000056_000001	"The chief problem of the philosophy of all ages consists just in finding the indispensable connection which exists between individual and social interests.	"The chief problem of the philosophy of all ages consists just in finding the indispensable connection which exists between individual and social interests.
5400_34478_000056_000003	The birches are not simply stuck in, but some are sown and some are planted, and one must deal carefully with them. It's only those peoples that have an intuitive sense of what's of importance and significance in their institutions, and know how to value them, that have a future before them--it's only those peoples that one can truly call historical."	The birches are not simply stuck in, but some are sown and some are planted, and one must deal carefully with them. It's only those peoples that have an intuitive sense of what's of importance and significance in their institutions, and know how to value them, that have a future before them-it's only those peoples that one can truly call historical."
5400_34478_000058_000000	"As for your dislike of it, excuse my saying so, that's simply our Russian sloth and old serf-owner's ways, and I'm convinced that in you it's a temporary error and will pass."	"As for your dislike of it, excuse my saying so, that's simply our Russian sloth and old serf owner's ways, and I'm convinced that in you it's a temporary error and will pass."
5400_34478_000059_000000	Konstantin was silent.	Konstantin was silent.
5400_34478_000059_000001	He felt himself vanquished on all sides, but he felt at the same time that what he wanted to say was unintelligible to his brother.	He felt himself vanquished on all sides, but he felt at the same time that what he wanted to say was unintelligible to his brother.
5400_34478_000060_000000	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.
