176_123269_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	34.05	35.55	24.934622
176_123269_000009_000002	Here we are at the top of Snaefell and here are two peaks, one north and one south.	Here we are at the top of Snaefell and here are two peaks, one north and one south.	false	191.96	197.71	24.692663
176_123269_000009_000003	Hans will tell us the name of that on which we are now standing."	Hans will tell us the name of that on which we are now standing."	true	197.75	201.61	23
176_123269_000010_000000	The question being put, Hans replied:	The question being put, Hans replied:	true	201.89	204.3	24.246006
176_123269_000011_000000	"Scartaris."	"Scartaris."	true	204.3	205.42	24.012407
176_123269_000012_000000	My uncle shot a triumphant glance at me.	My uncle shot a triumphant glance at me.	true	205.79	208.18	23.933105
176_123269_000013_000000	"Now for the crater!" he cried.	"Now for the crater!" he cried.	true	208.31	210.52	22.433306
176_123269_000014_000000	The crater of Snaefell resembled an inverted cone, the opening of which might be half a league in diameter.	The crater of Snaefell resembled an inverted cone, the opening of which might be half a league in diameter.	true	210.83	217	20.715113
176_123269_000014_000001	Its depth appeared to be about two thousand feet.	Its depth appeared to be about two thousand feet.	true	217.19	220.15	24.179585
176_123269_000014_000002	Imagine the aspect of such a reservoir, brim full and running over with liquid fire amid the rolling thunder.	Imagine the aspect of such a reservoir, brim full and running over with liquid fire amid the rolling thunder.	true	220.25	226.96	22.02669
176_123269_000014_000003	The bottom of the funnel was about 250 feet in circuit, so that the gentle slope allowed its lower brim to be reached without much difficulty.	The bottom of the funnel was about two hundred fifty feet in circuit, so that the gentle slope allowed its lower brim to be reached without much difficulty.	true	227.21	235.51	22.708914
176_123269_000014_000004	Involuntarily I compared the whole crater to an enormous erected mortar, and the comparison put me in a terrible fright.	Involuntarily I compared the whole crater to an enormous erected mortar, and the comparison put me in a terrible fright.	true	235.73	242.86	24.132635
176_123269_000015_000000	"What madness," I thought, "to go down into a mortar, perhaps a loaded mortar, to be shot up into the air at a moment's notice!"	"What madness," I thought, "to go down into a mortar, perhaps a loaded mortar, to be shot up into the air at a moment's notice!"	true	243.41	251.23	20.054312
176_123269_000016_000000	But I did not try to back out of it.	But I did not try to back out of it.	true	251.66	253.78	21.855993
176_123269_000016_000001	Hans with perfect coolness resumed the lead, and I followed him without a word.	Hans with perfect coolness resumed the lead, and I followed him without a word.	true	253.91	258.31	21.139498
176_123269_000017_000000	In order to facilitate the descent, Hans wound his way down the cone by a spiral path.	In order to facilitate the descent, Hans wound his way down the cone by a spiral path.	true	258.74	263.58	16
176_123269_000017_000001	Our route lay amidst eruptive rocks, some of which, shaken out of their loosened beds, rushed bounding down the abyss, and in their fall awoke echoes remarkable for their loud and well-defined sharpness.	Our route lay amidst eruptive rocks, some of which, shaken out of their loosened beds, rushed bounding down the abyss, and in their fall awoke echoes remarkable for their loud and well defined sharpness.	false	263.58	276.31	21.714048
176_123269_000018_000000	In certain parts of the cone there were glaciers.	In certain parts of the cone there were glaciers.	true	276.89	279.4	21.828932
176_123269_000018_000001	Here Hans advanced only with extreme precaution, sounding his way with his iron-pointed pole, to discover any crevasses in it.	Here Hans advanced only with extreme precaution, sounding his way with his iron pointed pole, to discover any crevasses in it.	true	279.56	287.68	20.353786
176_123269_000018_000002	At particularly dubious passages we were obliged to connect ourselves with each other by a long cord, in order that any man who missed his footing might be held up by his companions.	At particularly dubious passages we were obliged to connect ourselves with each other by a long cord, in order that any man who missed his footing might be held up by his companions.	true	287.9	298.05	19
176_123269_000018_000003	This solid formation was prudent, but did not remove all danger.	This solid formation was prudent, but did not remove all danger.	false	298.05	301.93	22.584026
176_123269_000019_000000	Yet, notwithstanding the difficulties of the descent, down steeps unknown to the guide, the journey was accomplished without accidents, except the loss of a coil of rope, which escaped from the hands of an Icelander, and took the shortest way to the bottom of the abyss.	Yet, notwithstanding the difficulties of the descent, down steeps unknown to the guide, the journey was accomplished without accidents, except the loss of a coil of rope, which escaped from the hands of an Icelander, and took the shortest way to the bottom of the abyss.	true	302.27	317.47	23.334034
176_123269_000020_000000	At mid-day we arrived.	At mid day we arrived.	true	318.17	320.01	18.280508
176_123269_000020_000001	I raised my head and saw straight above me the upper aperture of the cone, framing a bit of sky of very small circumference, but almost perfectly round.	I raised my head and saw straight above me the upper aperture of the cone, framing a bit of sky of very small circumference, but almost perfectly round.	false	320.01	329.83	21.366247
176_123269_000020_000002	Just upon the edge appeared the snowy peak of Saris, standing out sharp and clear against endless space.	Just upon the edge appeared the snowy peak of Saris, standing out sharp and clear against endless space.	true	330.26	336.61	22.962732
176_123269_000021_000000	At the bottom of the crater were three chimneys, through which, in its eruptions, Snaefell had driven forth fire and lava from its central furnace.	At the bottom of the crater were three chimneys, through which, in its eruptions, Snaefell had driven forth fire and lava from its central furnace.	true	337.22	345.7	23.488132
176_123269_000021_000001	Each of these chimneys was a hundred feet in diameter.	Each of these chimneys was a hundred feet in diameter.	true	346.07	349.21	21.13661
176_123269_000021_000002	They gaped before us right in our path.	They gaped before us right in our path.	true	349.31	351.94	24.725473
176_123269_000021_000003	I had not the courage to look down either of them.	I had not the courage to look down either of them.	true	352.28	354.88	24.236654
176_123269_000021_000004	But Professor Liedenbrock had hastily surveyed all three; he was panting, running from one to the other, gesticulating, and uttering incoherent expressions.	But Professor Liedenbrock had hastily surveyed all three; he was panting, running from one to the other, gesticulating, and uttering incoherent expressions.	true	355.16	364.6	23.100595
176_123269_000021_000005	Hans and his comrades, seated upon loose lava rocks, looked at him with as much wonder as they knew how to express, and perhaps taking him for an escaped lunatic.	Hans and his comrades, seated upon loose lava rocks, looked at him with as much wonder as they knew how to express, and perhaps taking him for an escaped lunatic.	true	365.12	375.4	21.698622
176_123269_000022_000000	Suddenly my uncle uttered a cry.	Suddenly my uncle uttered a cry.	true	376.19	378.4	24.630638
176_123269_000022_000001	I thought his foot must have slipped and that he had fallen down one of the holes.	I thought his foot must have slipped and that he had fallen down one of the holes.	true	378.56	382.36	20.979244
176_123269_000022_000002	But, no; I saw him, with arms outstretched and legs straddling wide apart, erect before a granite rock that stood in the centre of the crater, just like a pedestal made ready to receive a statue of Pluto.	But, no; I saw him, with arms outstretched and legs straddling wide apart, erect before a granite rock that stood in the centre of the crater, just like a pedestal made ready to receive a statue of Pluto.	true	382.58	395.17	24.170084
176_123269_000022_000003	He stood like a man stupefied, but the stupefaction soon gave way to delirious rapture.	He stood like a man stupefied, but the stupefaction soon gave way to delirious rapture.	false	395.36	401.2	22.367334
176_123269_000023_000000	"Axel, Axel," he cried.	"Axel, Axel," he cried.	true	401.36	403.575	24.717464
176_123269_000023_000001	"Come, come!"	"Come, come!"	true	403.575	404.92	25.444843
176_123269_000024_000000	I ran.	I ran.	true	405.11	406.03	20.70835
176_123269_000024_000001	Hans and the Icelanders never stirred.	Hans and the Icelanders never stirred.	true	406.19	408.67	17.5369
176_123269_000025_000000	"Look!" cried the Professor.	"Look!" cried the Professor.	true	408.71	410.77	24.215189
176_123269_000026_000000	And, sharing his astonishment, but I think not his joy, I read on the western face of the block, in Runic characters, half mouldered away with lapse of ages, this thrice-accursed name:	And, sharing his astonishment, but I think not his joy, I read on the western face of the block, in Runic characters, half mouldered away with lapse of ages, this thrice accursed name:	true	411.17	424.03	22.665234
176_123269_000027_000000	[At this point a Runic text appears]	[At this point a Runic text appears]	true	424.28	426.51	27.68562
176_123269_000028_000000	"Arne Saknussemm!" replied my uncle.	"Arne Saknussemm!" replied my uncle.	false	426.51	429.855	22.998568
176_123269_000028_000001	"Do you yet doubt?"	"Do you yet doubt?"	true	429.855	431.2	28.492033
176_123269_000029_000000	I made no answer; and I returned in silence to my lava seat in a state of utter speechless consternation.	I made no answer; and I returned in silence to my lava seat in a state of utter speechless consternation.	true	431.69	438.55	23.176434
176_123269_000029_000001	Here was crushing evidence.	Here was crushing evidence.	true	438.74	440.74	21.243614
176_123269_000030_000000	How long I remained plunged in agonizing reflections I cannot tell; all that I know is, that on raising my head again, I saw only my uncle and Hans at the bottom of the crater.	How long I remained plunged in agonizing reflections I cannot tell; all that I know is, that on raising my head again, I saw only my uncle and Hans at the bottom of the crater.	true	441.29	451.87	21.71963
176_123269_000030_000001	The Icelanders had been dismissed, and they were now descending the outer slopes of Snaefell to return to Stapi.	The Icelanders had been dismissed, and they were now descending the outer slopes of Snaefell to return to Stapi.	true	452.09	458.56	20.09162
176_123269_000031_000000	Hans slept peaceably at the foot of a rock, in a lava bed, where he had found a suitable couch for himself; but my uncle was pacing around the bottom of the crater like a wild beast in a cage.	Hans slept peaceably at the foot of a rock, in a lava bed, where he had found a suitable couch for himself; but my uncle was pacing around the bottom of the crater like a wild beast in a cage.	true	459.2	470.34	22.75984
176_123269_000031_000001	I had neither the wish nor the strength to rise, and following the guide's example I went off into an unhappy slumber, fancying I could hear ominous noises or feel tremblings within the recesses of the mountain.	I had neither the wish nor the strength to rise, and following the guide's example I went off into an unhappy slumber, fancying I could hear ominous noises or feel tremblings within the recesses of the mountain.	false	470.34	483.4	18.815266
176_123269_000032_000000	Thus the first night in the crater passed away.	Thus the first night in the crater passed away.	true	484.25	487.09	24.434519
176_123269_000033_000000	The next morning, a grey, heavy, cloudy sky seemed to droop over the summit of the cone.	The next morning, a grey, heavy, cloudy sky seemed to droop over the summit of the cone.	true	487.7	493.09	20
176_123269_000033_000001	I did not know this first from the appearances of nature, but I found it out by my uncle's impetuous wrath.	I did not know this first from the appearances of nature, but I found it out by my uncle's impetuous wrath.	true	493.37	499.93	21.197226
176_123269_000034_000000	I soon found out the cause, and hope dawned again in my heart.	I soon found out the cause, and hope dawned again in my heart.	true	500.24	504.075	21.399797
176_123269_000034_000001	For this reason.	For this reason.	true	504.075	505.24	20.051199
176_123269_000035_000000	Of the three ways open before us, one had been taken by Saknussemm. The indications of the learned Icelander hinted at in the cryptogram, pointed to this fact that the shadow of Scartaris came to touch that particular way during the latter days of the month of June.	Of the three ways open before us, one had been taken by Saknussemm. The indications of the learned Icelander hinted at in the cryptogram, pointed to this fact that the shadow of Scartaris came to touch that particular way during the latter days of the month of June.	false	505.73	521.65	20.855776
176_123269_000036_000000	That sharp peak might hence be considered as the gnomon of a vast sun dial, the shadow projected from which on a certain day would point out the road to the centre of the earth.	That sharp peak might hence be considered as the gnomon of a vast sun dial, the shadow projected from which on a certain day would point out the road to the centre of the earth.	false	522.02	532.03	22.105566
176_123269_000037_000000	Now, no sun no shadow, and therefore no guide.	Now, no sun no shadow, and therefore no guide.	true	532.52	536.98	21.031233
176_123269_000037_000001	Here was June 25.	Here was june twenty fifth.	true	537.35	539.2	23.97516
176_123269_000037_000002	If the sun was clouded for six days we must postpone our visit till next year.	If the sun was clouded for six days we must postpone our visit till next year.	true	539.21	543.97	22.580616
176_123269_000038_000000	My limited powers of description would fail, were I to attempt a picture of the Professor's angry impatience.	My limited powers of description would fail, were I to attempt a picture of the Professor's angry impatience.	true	544.88	551.17	22.602222
176_123269_000038_000001	The day wore on, and no shadow came to lay itself along the bottom of the crater.	The day wore on, and no shadow came to lay itself along the bottom of the crater.	true	551.6	556.33	21.322308
176_123269_000038_000002	Hans did not move from the spot he had selected; yet he must be asking himself what were we waiting for, if he asked himself anything at all.	Hans did not move from the spot he had selected; yet he must be asking himself what were we waiting for, if he asked himself anything at all.	true	556.73	565.42	22.986937
176_123269_000038_000003	My uncle spoke not a word to me.	My uncle spoke not a word to me.	true	565.82	567.94	25.82287
176_123269_000038_000004	His gaze, ever directed upwards, was lost in the grey and misty space beyond.	His gaze, ever directed upwards, was lost in the grey and misty space beyond.	true	568.07	573.28	23.120243
176_123269_000039_000000	On the 26th nothing yet.	On the twenty sixth nothing yet.	true	574.04	576.28	24.801758
176_123269_000039_000001	Rain mingled with snow was falling all day long.	Rain mingled with snow was falling all day long.	true	576.65	580.03	18.049152
176_123269_000039_000002	Hans built a hut of pieces of lava.	Hans built a hut of pieces of lava.	true	580.07	582.7	23.124647
176_123269_000039_000003	I felt a malicious pleasure in watching the thousand rills and cascades that came tumbling down the sides of the cone, and the deafening continuous din awaked by every stone against which they bounded.	I felt a malicious pleasure in watching the thousand rills and cascades that came tumbling down the sides of the cone, and the deafening continuous din awaked by every stone against which they bounded.	false	582.83	594.85	21
176_123269_000040_000000	My uncle's rage knew no bounds.	My uncle's rage knew no bounds.	true	595.19	597.55	19.143394
176_123269_000040_000001	It was enough to irritate a meeker man than he; for it was foundering almost within the port.	It was enough to irritate a meeker man than he; for it was foundering almost within the port.	true	597.68	603.13	22.539389
176_123269_000041_000000	But Heaven never sends unmixed grief, and for Professor Liedenbrock there was a satisfaction in store proportioned to his desperate anxieties.	But Heaven never sends unmixed grief, and for Professor Liedenbrock there was a satisfaction in store proportioned to his desperate anxieties.	true	603.41	612.52	22.126568
176_123269_000042_000000	The next day the sky was again overcast; but on the 29th of June, the last day but one of the month, with the change of the moon came a change of weather.	The next day the sky was again overcast; but on the twenty ninth of June, the last day but one of the month, with the change of the moon came a change of weather.	false	613.46	623.14	20.709923
176_123269_000042_000001	The sun poured a flood of light down the crater. Every hillock, every rock and stone, every projecting surface, had its share of the beaming torrent, and threw its shadow on the ground. Amongst them all, Scartaris laid down his sharp-pointed angular shadow which began to move slowly in the opposite direction to that of the radiant orb.	The sun poured a flood of light down the crater. Every hillock, every rock and stone, every projecting surface, had its share of the beaming torrent, and threw its shadow on the ground. Amongst them all, Scartaris laid down his sharp pointed angular shadow which began to move slowly in the opposite direction to that of the radiant orb.	false	623.39	644.5	23.3986
176_123269_000043_000000	My uncle turned too, and followed it.	My uncle turned too, and followed it.	true	644.78	647.11	22.634283
176_123269_000044_000000	At noon, being at its least extent, it came and softly fell upon the edge of the middle chimney.	At noon, being at its least extent, it came and softly fell upon the edge of the middle chimney.	true	647.45	653.67	24.524437
176_123269_000045_000000	"There it is!	"There it is!	false	653.67	654.87	23.651346
176_123269_000045_000001	there it is!" shouted the Professor.	there it is!" shouted the Professor.	false	654.87	657.43	22.870749
176_123269_000046_000000	"Now for the centre of the globe!" he added in Danish.	"Now for the centre of the globe!" he added in Danish.	true	657.53	661.21	19.50703
176_123269_000047_000000	I looked at Hans, to hear what he would say.	I looked at Hans, to hear what he would say.	true	661.37	663.6	20.88093
176_123269_000048_000000	"_Foruet!_" was his tranquil answer.	"underscore Foruet!underscore" was his tranquil answer.	false	663.6	667.23	34.496845
176_123269_000049_000000	"Forward!" replied my uncle.	"Forward!" replied my uncle.	false	667.23	669.07	24.347462
176_123269_000050_000000	It was thirteen minutes past one.	It was thirteen minutes past one.	false	669.38	673.29	24.148746
176_123269_000051_000000	CHAPTER XVII.	CHAPTER seventeen.	false	673.29	673.8	30.463308
176_123269_000052_000000	VERTICAL DESCENT	VERTICAL DESCENT	false	673.8	673.92	10
176_123269_000053_000000	Now began our real journey.	Now began our real journey.	false	673.92	674.19	22
176_123269_000053_000001	Hitherto our toil had overcome all difficulties, now difficulties would spring up at every step.	Hitherto our toil had overcome all difficulties, now difficulties would spring up at every step.	false	674.19	675.03	19.91793
