6080_58025_000001_000000	CHAPTER XIV	CHAPTER fourteen
6080_58025_000016_000001	His fame, up to a moment ago, was unknown to Rockland, but he now grasps his hand cordially and says,--"I am delighted to know you, Mr. Munting.	His fame, up to a moment ago, was unknown to Rockland, but he now grasps his hand cordially and says,--"I am delighted to know you, mr Munting.
6080_58025_000016_000002	I recall the address you made a few years ago when you gave a library to Muntingville.	I recall the address you made a few years ago when you gave a library to Muntingville.
6080_58025_000017_000000	When Munting leaves he is stepping on air.	When Munting leaves he is stepping on air.
6080_58025_000017_000001	He sees visions of visits to Washington to consult the President upon matters of state, and perhaps he sees an ambassadorship in the misty future.	He sees visions of visits to Washington to consult the President upon matters of state, and perhaps he sees an ambassadorship in the misty future.
6080_58025_000017_000002	He becomes Rockland's ardent supporter, and his purse is open and his influence is used to the fullest extent.	He becomes Rockland's ardent supporter, and his purse is open and his influence is used to the fullest extent.
6080_58025_000018_000000	And this was Selwyn's way.	And this was Selwyn's way.
6080_58025_000018_000001	It was all so simple.	It was all so simple.
6080_58025_000019_000001	The pay-roll of the opposition was filled with incompetent political hacks, that had been fastened upon the management by men of influence.	The pay roll of the opposition was filled with incompetent political hacks, that had been fastened upon the management by men of influence.
6080_58025_000019_000002	Selwyn's force, from end to end, was composed of able men who did a full day's work under the eye of their watchful taskmaster.	Selwyn's force, from end to end, was composed of able men who did a full day's work under the eye of their watchful taskmaster.
6080_58025_000021_000000	There followed in orderly succession the inauguration, the selection of cabinet officers and the new administration was launched.	There followed in orderly succession the inauguration, the selection of cabinet officers and the new administration was launched.
6080_58025_000022_000000	Drunk with power and the adulation of sycophants, once or twice Rockland asserted himself, and acted upon important matters without having first conferred with Selwyn.	Drunk with power and the adulation of sycophants, once or twice Rockland asserted himself, and acted upon important matters without having first conferred with Selwyn.
6080_58025_000022_000001	But, after he had been bitterly assailed by Selwyn's papers and by his senators, he made no further attempts at independence.	But, after he had been bitterly assailed by Selwyn's papers and by his senators, he made no further attempts at independence.
6080_58025_000022_000002	He felt that he was utterly helpless in that strong man's hands, and so, indeed, he was.	He felt that he was utterly helpless in that strong man's hands, and so, indeed, he was.
6080_58025_000023_000000	One of the Supreme Court justices died, two retired because of age, and all were replaced by men suggested by Selwyn.	One of the Supreme Court justices died, two retired because of age, and all were replaced by men suggested by Selwyn.
6080_58025_000024_000000	He now had the Senate, the Executive and a majority of the Court of last resort.	He now had the Senate, the Executive and a majority of the Court of last resort.
6080_58025_000024_000001	The government was in his hands.	The government was in his hands.
6080_58025_000024_000002	He had reached the summit of his ambition, and the joy of it made all his work seem worth while.	He had reached the summit of his ambition, and the joy of it made all his work seem worth while.
6080_58025_000025_000001	He did not know, could not know, what force was working to his ruin and to the ruin of his system.	He did not know, could not know, what force was working to his ruin and to the ruin of his system.
