6167_73972_000000_000000	CHAPTER XX	CHAPTER twenty	false	0.84	28.665	27.137316
6167_73972_000006_000000	Then the poor Pansies have single blooms laid flat on white papers, and are only approved if they will lie quite flat and show an outline of a perfect circle.	Then the poor Pansies have single blooms laid flat on white papers, and are only approved if they will lie quite flat and show an outline of a perfect circle.	true	307.88	317.77	24.572456
6167_73972_000006_000001	All that is most beautiful in a Pansy, the wing-like curves, the waved or slightly fluted radiations, the scarcely perceptible undulation of surface that displays to perfection the admirable delicacy of velvety texture; all the little tender tricks and ways that make the Pansy one of the best-loved of garden flowers; all this is overlooked, and not only passively overlooked, but overtly contemned.	All that is most beautiful in a Pansy, the wing like curves, the waved or slightly fluted radiations, the scarcely perceptible undulation of surface that displays to perfection the admirable delicacy of velvety texture; all the little tender tricks and ways that make the Pansy one of the best loved of garden flowers; all this is overlooked, and not only passively overlooked, but overtly contemned.	true	318.71	348.34	24.271725
6167_73972_000006_000002	The show-pansy judge appears to have no eye, or brain, or heart, but to have in their place a pair of compasses with which to describe a circle!	The show pansy judge appears to have no eye, or brain, or heart, but to have in their place a pair of compasses with which to describe a circle!	true	348.71	358.33	25.00688
6167_73972_000006_000003	All idea of garden delight seems to be excluded, as this kind of judging appeals to no recognition of beauty for beauty's sake, but to hard systems of measurement and rigid arrangement and computation that one would think more applicable to astronomy or geometry than to any matter relating to horticulture.	All idea of garden delight seems to be excluded, as this kind of judging appeals to no recognition of beauty for beauty's sake, but to hard systems of measurement and rigid arrangement and computation that one would think more applicable to astronomy or geometry than to any matter relating to horticulture.	true	358.97	378.61	22.001654
6167_73972_000007_000000	I do most strongly urge that beauty of the highest class should be the aim, and not anything of the nature of fashion or "fancy," and that every effort should be made towards the raising rather than the lowering of the standard of taste.	I do most strongly urge that beauty of the highest class should be the aim, and not anything of the nature of fashion or "fancy," and that every effort should be made towards the raising rather than the lowering of the standard of taste.	true	379.61	394	21.963076
6167_73972_000008_000000	The Societies which exist throughout the country are well organised; many have existed for a great number of years; they are the local sources of horticultural education, to which large circles of people naturally look for guidance; and though they produce--and especially the Rose shows--quantities of beautiful things, it cannot but be perceived by all who have had the benefit of some refinement of education, that in very many cases they either deliberately teach, or at any rate allow to be seen with their sanction, what cannot fail to be debasing to public taste.	The Societies which exist throughout the country are well organised; many have existed for a great number of years; they are the local sources of horticultural education, to which large circles of people naturally look for guidance; and though they produce-and especially the Rose shows-quantities of beautiful things, it cannot but be perceived by all who have had the benefit of some refinement of education, that in very many cases they either deliberately teach, or at any rate allow to be seen with their sanction, what cannot fail to be debasing to public taste.	true	395.12	433.03	23.523159
6167_73972_000009_000000	I will just take two examples to show how obvious methods of leading taste are not only overlooked, but even perverted; for it is not only in the individual blooms that much of the show-teaching is unworthy, but also in the training of the plants; so that a plant that by nature has some beauty of form, is not encouraged or even allowed to develop that beauty, but is trained into some shape that is not only foreign to its own nature, but is absolutely ugly and ungraceful, and entirely stupid. The natural habit of the Chrysanthemum is to grow in the form of several upright stems.	I will just take two examples to show how obvious methods of leading taste are not only overlooked, but even perverted; for it is not only in the individual blooms that much of the show teaching is unworthy, but also in the training of the plants; so that a plant that by nature has some beauty of form, is not encouraged or even allowed to develop that beauty, but is trained into some shape that is not only foreign to its own nature, but is absolutely ugly and ungraceful, and entirely stupid. The natural habit of the Chrysanthemum is to grow in the form of several upright stems.	true	434.51	474.31	24.322252
6167_73972_000009_000001	They spring up sheaf-wise, straight upright for a time, and only bending a little outwards above, to give room for the branching heads of bloom.	They spring up sheaf wise, straight upright for a time, and only bending a little outwards above, to give room for the branching heads of bloom.	true	474.65	483.37	26.761965
6167_73972_000009_000002	The stems are rather stiff, because they are half woody at the base.	The stems are rather stiff, because they are half woody at the base.	true	483.95	488.77	23.107733
6167_73972_000009_000003	In the case of pot-plants it would seem right only so far to stake or train them as to give the necessary support by a few sticks set a little outwards at the top, so that each stem may lean a little over, after the manner of a Bamboo, when their clustered heads of flower would be given enough room, and be seen to the greatest advantage.	In the case of pot plants it would seem right only so far to stake or train them as to give the necessary support by a few sticks set a little outwards at the top, so that each stem may lean a little over, after the manner of a Bamboo, when their clustered heads of flower would be given enough room, and be seen to the greatest advantage.	false	489.86	512.56	25.173212
6167_73972_000010_000000	But at shows, the triumph of the training art seems to be to drag the poor thing round and round over an internal scaffolding of sticks, with an infinite number of ties and cross-braces, so that it makes a sort of shapeless ball, and to arrange the flowers so that they are equally spotted all over it, by tying back some almost to snapping-point, and by dragging forward others to the verge of dislocation.	But at shows, the triumph of the training art seems to be to drag the poor thing round and round over an internal scaffolding of sticks, with an infinite number of ties and cross braces, so that it makes a sort of shapeless ball, and to arrange the flowers so that they are equally spotted all over it, by tying back some almost to snapping point, and by dragging forward others to the verge of dislocation.	false	513.08	539.17	24.919342
6167_73972_000010_000001	I have never seen anything so ugly in the way of potted plants as a certain kind of Chrysanthemum that has incurved flowers of a heavy sort of dull leaden-looking red-purple colour trained in this manner.	I have never seen anything so ugly in the way of potted plants as a certain kind of Chrysanthemum that has incurved flowers of a heavy sort of dull leaden looking red purple colour trained in this manner.	true	539.66	552.49	25.538404
6167_73972_000010_000002	Such a sight gives me a feeling of shame, not unmixed with wrathful indignation.	Such a sight gives me a feeling of shame, not unmixed with wrathful indignation.	true	552.92	558.79	26.361032
6167_73972_000010_000003	I ask myself, What is it for? and I get no answer.	I ask myself, What is it for? and I get no answer.	true	560.09	564.33	23.954514
6167_73972_000010_000004	I ask a practical gardener what it is for, and he says, "Oh, it is one of the ways they are trained for shows." I ask him, Does he think it pretty, or is it any use? and he says, "Well, they think it makes a nice variety;" and when I press him further, and say I consider it a very nasty variety, and does he think nasty varieties are better than none, the question is beyond him, and he smiles vaguely and edges away, evidently thinking my conversation perplexing, and my company undesirable.	I ask a practical gardener what it is for, and he says, "Oh, it is one of the ways they are trained for shows." I ask him, Does he think it pretty, or is it any use? and he says, "Well, they think it makes a nice variety;" and when I press him further, and say I consider it a very nasty variety, and does he think nasty varieties are better than none, the question is beyond him, and he smiles vaguely and edges away, evidently thinking my conversation perplexing, and my company undesirable.	false	564.33	601.21	22.204288
6167_73972_000010_000005	I look again at the unhappy plant, and see its poor leaves fat with an unwholesome obesity, and seeming to say, We were really a good bit mildewed, but have been doctored up for the show by being crammed and stuffed with artificial aliment!	I look again at the unhappy plant, and see its poor leaves fat with an unwholesome obesity, and seeming to say, We were really a good bit mildewed, but have been doctored up for the show by being crammed and stuffed with artificial aliment!	true	602.33	617.05	22.856344
6167_73972_000011_000000	My second example is that of _Azalea indica_.	My second example is that of underscore Azalea indica underscore.	false	618.17	623.31	23.902946
6167_73972_000011_000001	What is prettier in a room than one of these in its little tree form, a true tree, with tiny trunk and wide-spreading branches, and its absurdly large and lovely flowers? Surely it is the most perfect room ornament that we can have in tree shape in a moderate-sized pot; and where else can one see a tree loaded with lovely bloom whose individual flowers have a diameter equal to five times that of the trunk?	What is prettier in a room than one of these in its little tree form, a true tree, with tiny trunk and wide spreading branches, and its absurdly large and lovely flowers? Surely it is the most perfect room ornament that we can have in tree shape in a moderate sized pot; and where else can one see a tree loaded with lovely bloom whose individual flowers have a diameter equal to five times that of the trunk?	true	623.31	652.45	24.09461
6167_73972_000012_000000	But the show decrees that all this is wrong, and that the tiny, brittle branches must be trained stiffly round till the shape of the plant shows as a sort of cylinder.	But the show decrees that all this is wrong, and that the tiny, brittle branches must be trained stiffly round till the shape of the plant shows as a sort of cylinder.	true	652.88	662.83	23.451166
6167_73972_000012_000001	Again I ask myself, What is this for?	Again I ask myself, What is this for?	true	663.11	665.86	25.141607
6167_73972_000012_000002	What does it teach?	What does it teach?	true	666.23	667.36	34.288696
6167_73972_000012_000003	Can it be really to teach with deliberate intention that instead of displaying its natural and graceful tree form it should aim at a more desirable kind of beauty, such as that of the chimney-pot or drain-pipe, and that this is so important that it is right and laudable to devote to it much time and delicate workmanship?	Can it be really to teach with deliberate intention that instead of displaying its natural and graceful tree form it should aim at a more desirable kind of beauty, such as that of the chimney pot or drain pipe, and that this is so important that it is right and laudable to devote to it much time and delicate workmanship?	true	667.88	688.45	24.896732
6167_73972_000013_000000	I cannot but think, as well as hope, that the strong influences for good that are now being brought to bear on all departments of gardening may reach this class of show, for there are already more hopeful signs in the admission of classes for groups arranged for decoration.	I cannot but think, as well as hope, that the strong influences for good that are now being brought to bear on all departments of gardening may reach this class of show, for there are already more hopeful signs in the admission of classes for groups arranged for decoration.	true	689.6	706.75	24.155687
6167_73972_000014_000000	The prize-show system no doubt creates its own evils, because the judges, and those who frame the schedules, have been in most cases men who have a knowledge of flowers, but who are not people of cultivated taste, and in deciding what points are to constitute the merits of a flower they have to take such qualities as are within the clearest understanding of people of average intelligence and average education--such, for instance, as size that can be measured, symmetry that can be easily estimated, thickness of petal that can be felt, and such qualities of colour as appeal most strongly to the uneducated eye; so that a flower may possess features or qualities that endow it with the highest beauty, but that exclude it, because the hard and narrow limits of the show-laws provide no means of dealing with it.	The prize show system no doubt creates its own evils, because the judges, and those who frame the schedules, have been in most cases men who have a knowledge of flowers, but who are not people of cultivated taste, and in deciding what points are to constitute the merits of a flower they have to take such qualities as are within the clearest understanding of people of average intelligence and average education-such, for instance, as size that can be measured, symmetry that can be easily estimated, thickness of petal that can be felt, and such qualities of colour as appeal most strongly to the uneducated eye; so that a flower may possess features or qualities that endow it with the highest beauty, but that exclude it, because the hard and narrow limits of the show laws provide no means of dealing with it.	false	707.42	760.45	23.70961
6167_73972_000014_000001	It is, therefore, thrown out, not because they have any fault to find with it, but because it does not concern them; and the ordinary gardener, to whose practice it might be of the highest value, accepting the verdict of the show-judge as an infallible guide, also treats it with contempt and neglect.	It is, therefore, thrown out, not because they have any fault to find with it, but because it does not concern them; and the ordinary gardener, to whose practice it might be of the highest value, accepting the verdict of the show judge as an infallible guide, also treats it with contempt and neglect.	true	761.03	780.67	24.961372
6167_73972_000015_000000	Now, all this would not so much matter if it did not delude those whose taste is not sufficiently educated to enable them to form an opinion of their own in accordance with the best and truest standards of beauty; for I venture to repeat that what we have to look for for the benefit of our gardens, and for our own bettering and increase of happiness in those gardens, are things that are beautiful, rather than things that are round, or straight, or thick, still less than for those that are new, or curious, or astonishing.	Now, all this would not so much matter if it did not delude those whose taste is not sufficiently educated to enable them to form an opinion of their own in accordance with the best and truest standards of beauty; for I venture to repeat that what we have to look for for the benefit of our gardens, and for our own bettering and increase of happiness in those gardens, are things that are beautiful, rather than things that are round, or straight, or thick, still less than for those that are new, or curious, or astonishing.	false	781.19	812.47	24.360216
6167_73972_000015_000001	For all these false gods are among us, and many are they who are willing to worship.	For all these false gods are among us, and many are they who are willing to worship.	false	813.32	821.34	20.784939
6167_73972_000016_000000	CHAPTER XXI	CHAPTER twenty one	false	821.34	822.45	29.972662
6167_73972_000017_000000	NOVELTY AND VARIETY	NOVELTY AND VARIETY	false	822.45	822.9	-20
6167_73972_000018_000000	When I look back over thirty years of gardening, I see what an extraordinary progress there has been, not only in the introduction of good plants new to general cultivation, but also in the home production of improved kinds of old favourites.	When I look back over thirty years of gardening, I see what an extraordinary progress there has been, not only in the introduction of good plants new to general cultivation, but also in the home production of improved kinds of old favourites.	false	822.9	827.55	23.203915
6167_73972_000018_000001	In annual plants alone there has been a remarkable advance.	In annual plants alone there has been a remarkable advance.	false	827.55	828.48	-20
6167_73972_000018_000002	And here again, though many really beautiful things are being brought forward, there seems always to be an undue value assigned to a fresh development, on the score of its novelty.	And here again, though many really beautiful things are being brought forward, there seems always to be an undue value assigned to a fresh development, on the score of its novelty.	false	828.48	831.39	-20
