3483_119637_000002_000000	CHAPTER VIII	CHAPTER eight
3483_119637_000012_000000	I have since thought that I was greatly aided by my newness to this age. I have never, as a matter of fact, become entirely attuned to it.	I have since thought that I was greatly aided by my newness to this age. I have never, as a matter of fact, become entirely attuned to it.
3483_119637_000012_000002	Now that my Wilma has been at rest these many years, I wish that I might go back to the year 1927, and take up my old life where I left it off, in the abandoned mine near Scranton.	Now that my Wilma has been at rest these many years, I wish that I might go back to the year nineteen twenty seven, and take up my old life where I left it off, in the abandoned mine near Scranton.
3483_119637_000013_000000	And at the period of which I speak, I was less attuned than now to the modern world.	And at the period of which I speak, I was less attuned than now to the modern world.
3483_119637_000013_000001	Real as my life was, and my love for my wife, there was much about it all that was like a dream, and in the midst of my tortures by the Hans, this complex--this habit of many months--helped me to tell myself that this, too, was all a dream, that I must not succumb, for I would wake up in a moment.	Real as my life was, and my love for my wife, there was much about it all that was like a dream, and in the midst of my tortures by the Hans, this complex-this habit of many months-helped me to tell myself that this, too, was all a dream, that I must not succumb, for I would wake up in a moment.
3483_119637_000014_000000	And so they failed.	And so they failed.
3483_119637_000016_000000	Among these was San-Lan himself, the ruler.	Among these was San Lan himself, the ruler.
3483_119637_000016_000002	Instead of having me executed, he continued to shower luxuries and attentions on me, and frequently commanded my attendance upon him.	Instead of having me executed, he continued to shower luxuries and attentions on me, and frequently commanded my attendance upon him.
3483_119637_000017_000001	This creature, his most prized possession, San-Lan with the utmost moral callousness ordered to seduce me, urging her to apply without stint and to its fullest extent, her knowledge of evil arts.	This creature, his most prized possession, San Lan with the utmost moral callousness ordered to seduce me, urging her to apply without stint and to its fullest extent, her knowledge of evil arts.
3483_119637_000018_000000	Had San-Lan only known it, he might have had a better chance of breaking down my resistance through another bit of femininity in his household, the little nine-year-old Princess Lu-Yan, his daughter.	Had San Lan only known it, he might have had a better chance of breaking down my resistance through another bit of femininity in his household, the little nine year old Princess Lu Yan, his daughter.
3483_119637_000019_000001	But he did not realize this, and could not; for even the most natural and fundamental affection of the human race, that of parents for their offspring, had been so degraded and suppressed in this vicious Han civilization as to be unrecognizable.	But he did not realize this, and could not; for even the most natural and fundamental affection of the human race, that of parents for their offspring, had been so degraded and suppressed in this vicious Han civilization as to be unrecognizable.
3483_119637_000019_000002	Naturally San-Lan could not understand the nature of my pity for this poor child, nor the fact that it might have proved a weak spot in my armor.	Naturally San Lan could not understand the nature of my pity for this poor child, nor the fact that it might have proved a weak spot in my armor.
3483_119637_000019_000003	But had he done so, I truly believe he would have been ready to inflict degradation, torture and even death upon her, to make me surrender the information he wanted.	But had he done so, I truly believe he would have been ready to inflict degradation, torture and even death upon her, to make me surrender the information he wanted.
3483_119637_000020_000001	There were times when he seemed to sense vaguely, gropingly, wonderingly, that he might have a soul.	There were times when he seemed to sense vaguely, gropingly, wonderingly, that he might have a soul.
3483_119637_000021_000001	Its conception embraced nothing but electrons, protons and molecules, and still was struggling desperately for some shred of evidence that thoughts, will power and consciousness of self were nothing but chemical reactions.	Its conception embraced nothing but electrons, protons and molecules, and still was struggling desperately for some shred of evidence that thoughts, will power and consciousness of self were nothing but chemical reactions.
3483_119637_000021_000003	They had succeeded in producing, by synthesis, what appeared to be living tissues, and even animals of moderately complex structure and rudimentary brains, but they could not give these creatures the full complement of life's characteristics, nor raise the brains to more than mechanical control of muscular tissues.	They had succeeded in producing, by synthesis, what appeared to be living tissues, and even animals of moderately complex structure and rudimentary brains, but they could not give these creatures the full complement of life's characteristics, nor raise the brains to more than mechanical control of muscular tissues.
3483_119637_000022_000000	It was my own opinion that they never could succeed in doing so.	It was my own opinion that they never could succeed in doing so.
3483_119637_000022_000001	This opinion impressed San-Lan greatly.	This opinion impressed San Lan greatly.
3483_119637_000022_000002	I had expected him to snort his disgust, as the extreme school of evolutionists would have done in the Twentieth Century.	I had expected him to snort his disgust, as the extreme school of evolutionists would have done in the Twentieth Century.
3483_119637_000022_000003	But the idea was as new to him and the scientists of his court as Darwinism was to the late Nineteenth and early Twentieth Centuries.	But the idea was as new to him and the scientists of his court as Darwinism was to the late Nineteenth and early Twentieth Centuries.
3483_119637_000022_000004	So it was received with much respect.	So it was received with much respect.
3483_119637_000022_000005	Painfully and with enforced mental readjustments, they began a philosophical search for excuses and justifications for the idea.	Painfully and with enforced mental readjustments, they began a philosophical search for excuses and justifications for the idea.
3483_119637_000023_000002	But the prestige I had gained among them, and the novelty of my expressed opinion carried much weight with them.	But the prestige I had gained among them, and the novelty of my expressed opinion carried much weight with them.
3483_119637_000024_000000	Yet, did not even brilliant scientists frequently exhibit the same lack of logic back in the Twentieth Century?	Yet, did not even brilliant scientists frequently exhibit the same lack of logic back in the Twentieth Century?
3483_119637_000024_000001	Did not the historians, the philosophers of ancient Greece and Rome show themselves to be the same shrewd observers as those of succeeding centuries, the same masters of the logical and slaves of the illogical?	Did not the historians, the philosophers of ancient Greece and Rome show themselves to be the same shrewd observers as those of succeeding centuries, the same masters of the logical and slaves of the illogical?
3483_119637_000025_000000	After all, I reflected, man makes little progress within himself. Through succeeding generations he piles up those resources which he possesses outside of himself, the tools of his hands, and the warehouses of knowledge for his brain, whether they be parchment manuscripts, printed book, or electronorecordographs.	After all, I reflected, man makes little progress within himself. Through succeeding generations he piles up those resources which he possesses outside of himself, the tools of his hands, and the warehouses of knowledge for his brain, whether they be parchment manuscripts, printed book, or electronorecordographs.
3483_119637_000025_000001	For the rest he is born today, as in ancient Greece, with a blank brain, and struggles through to his grave, with a more or less beclouded understanding, and with distinct limitations to what we used to call his "think tank."	For the rest he is born today, as in ancient Greece, with a blank brain, and struggles through to his grave, with a more or less beclouded understanding, and with distinct limitations to what we used to call his "think tank."
3483_119637_000026_000000	This particular reflection of mine proved unpopular with them, for it stabbed their vanity, and neither my prestige nor the novelty of the idea was sufficient salve.	This particular reflection of mine proved unpopular with them, for it stabbed their vanity, and neither my prestige nor the novelty of the idea was sufficient salve.
3483_119637_000026_000002	Yet through these same centuries they had been busily engaged in the extermination of "weaklings," whom, by their very persecutions, they had turned into "super men," now rising in mighty wrath to destroy them; and in reducing themselves to the depths of softening vice and flabby moral fiber.	Yet through these same centuries they had been busily engaged in the extermination of "weaklings," whom, by their very persecutions, they had turned into "super men," now rising in mighty wrath to destroy them; and in reducing themselves to the depths of softening vice and flabby moral fiber.
