1025_92820_000000_000000	"Who are they?" I asked.	"Who are they?" I asked.	false	0	1.59	27.76625
1025_92820_000010_000000	His Highness arose and went to the young man's bench.	His Highness arose and went to the young man's bench.	true	255.02	258.03	18
1025_92820_000011_000000	"I beg your pardon for addressing you," he said, "but I perceive that you are disturbed in mind.	"I beg your pardon for addressing you," he said, "but I perceive that you are disturbed in mind.	true	258.03	263.055	22
1025_92820_000011_000001	If it may serve to mitigate the liberty I have taken I will add that I am Prince Michael, heir to the throne of the Electorate of Valleluna.	If it may serve to mitigate the liberty I have taken I will add that I am Prince Michael, heir to the throne of the Electorate of Valleluna.	true	263.055	270.375	20
1025_92820_000011_000002	I appear incognito, of course, as you may gather from my appearance.	I appear incognito, of course, as you may gather from my appearance.	true	270.375	274.27	20
1025_92820_000011_000003	It is a fancy of mine to render aid to others whom I think worthy of it.	It is a fancy of mine to render aid to others whom I think worthy of it.	true	274.28	278.34	21
1025_92820_000011_000004	Perhaps the matter that seems to distress you is one that would more readily yield to our mutual efforts."	Perhaps the matter that seems to distress you is one that would more readily yield to our mutual efforts."	true	278.34	284.205	16
1025_92820_000012_000000	The young man looked up brightly at the Prince.	The young man looked up brightly at the Prince.	true	284.205	286.57	25
1025_92820_000012_000001	Brightly, but the perpendicular line of perplexity between his brows was not smoothed away.	Brightly, but the perpendicular line of perplexity between his brows was not smoothed away.	true	286.73	292.14	18
1025_92820_000012_000002	He laughed, and even then it did not.	He laughed, and even then it did not.	true	292.14	294.31	26.361647
1025_92820_000012_000003	But he accepted the momentary diversion.	But he accepted the momentary diversion.	true	294.35	296.74	20
1025_92820_000013_000000	"Glad to meet you, Prince," he said, good humouredly.	"Glad to meet you, Prince," he said, good humouredly.	true	296.75	299.68	22.804192
1025_92820_000013_000001	"Yes, I'd say you were incog. all right.	"Yes, I'd say you were incog. all right.	true	299.93	302.58	19
1025_92820_000013_000002	Thanks for your offer of assistance--but I don't see where your butting-in would help things any.	Thanks for your offer of assistance-but I don't see where your butting in would help things any.	false	302.58	307.17	17
1025_92820_000013_000003	It's a kind of private affair, you know--but thanks all the same."	It's a kind of private affair, you know-but thanks all the same."	false	307.17	310.905	23.74482
1025_92820_000014_000000	Prince Michael sat at the young man's side.	Prince Michael sat at the young man's side.	false	310.905	313.44	24.243261
1025_92820_000014_000001	He was often rebuffed but never offensively.	He was often rebuffed but never offensively.	true	313.44	316.035	24
1025_92820_000014_000002	His courteous manner and words forbade that.	His courteous manner and words forbade that.	true	316.035	318.48	22
1025_92820_000015_000000	"Clocks," said the Prince, "are shackles on the feet of mankind.	"Clocks," said the Prince, "are shackles on the feet of mankind.	false	318.48	322.17	23.703094
1025_92820_000015_000001	I have observed you looking persistently at that clock.	I have observed you looking persistently at that clock.	true	322.17	325.2	24.464403
1025_92820_000015_000002	Its face is that of a tyrant, its numbers are false as those on a lottery ticket; its hands are those of a bunco steerer, who makes an appointment with you to your ruin.	Its face is that of a tyrant, its numbers are false as those on a lottery ticket; its hands are those of a bunco steerer, who makes an appointment with you to your ruin.	true	325.2	334.6	19
1025_92820_000015_000003	Let me entreat you to throw off its humiliating bonds and to cease to order your affairs by that insensate monitor of brass and steel."	Let me entreat you to throw off its humiliating bonds and to cease to order your affairs by that insensate monitor of brass and steel."	true	334.67	342.315	17
1025_92820_000016_000000	"I don't usually," said the young man.	"I don't usually," said the young man.	true	342.315	344.14	16.996262
1025_92820_000016_000001	"I carry a watch except when I've got my radiant rags on."	"I carry a watch except when I've got my radiant rags on."	true	344.15	347.68	21
1025_92820_000017_000000	"I know human nature as I do the trees and grass," said the Prince, with earnest dignity.	"I know human nature as I do the trees and grass," said the Prince, with earnest dignity.	false	347.84	352.51	21
1025_92820_000017_000001	"I am a master of philosophy, a graduate in art, and I hold the purse of a Fortunatus.	"I am a master of philosophy, a graduate in art, and I hold the purse of a Fortunatus.	true	352.55	357.94	20.563631
1025_92820_000017_000002	There are few mortal misfortunes that I cannot alleviate or overcome.	There are few mortal misfortunes that I cannot alleviate or overcome.	true	358.01	362.055	20
1025_92820_000017_000003	I have read your countenance, and found in it honesty and nobility as well as distress.	I have read your countenance, and found in it honesty and nobility as well as distress.	true	362.055	367.21	17
1025_92820_000017_000004	I beg of you to accept my advice or aid.	I beg of you to accept my advice or aid.	true	367.28	370.125	22.329199
1025_92820_000017_000005	Do not belie the intelligence I see in your face by judging from my appearance of my ability to defeat your troubles."	Do not belie the intelligence I see in your face by judging from my appearance of my ability to defeat your troubles."	true	370.125	376.51	17
1025_92820_000018_000000	The young man glanced at the clock again and frowned darkly.	The young man glanced at the clock again and frowned darkly.	true	376.82	379.995	23
1025_92820_000018_000001	When his gaze strayed from the glowing horologue of time it rested intently upon a four-story red brick house in the row of dwellings opposite to where he sat.	When his gaze strayed from the glowing horologue of time it rested intently upon a four story red brick house in the row of dwellings opposite to where he sat	true	379.995	388.755	17
1025_92820_000018_000002	The shades were drawn, and the lights in many rooms shone dimly through them.	The shades were drawn, and the lights in many rooms shone dimly through them.	true	388.755	392.53	20
1025_92820_000019_000000	"Ten minutes to nine!" exclaimed the young man, with an impatient gesture of despair.	"Ten minutes to nine!" exclaimed the young man, with an impatient gesture of despair.	true	392.57	397.2	22
1025_92820_000019_000001	He turned his back upon the house and took a rapid step or two in a contrary direction.	He turned his back upon the house and took a rapid step or two in a contrary direction.	false	397.2	401.95	21
1025_92820_000020_000000	"Remain!" commanded Prince Michael, in so potent a voice that the disturbed one wheeled around with a somewhat chagrined laugh.	"Remain!" commanded Prince Michael, in so potent a voice that the disturbed one wheeled around with a somewhat chagrined laugh.	true	401.99	409.305	20
1025_92820_000021_000000	"I'll give her the ten minutes and then I'm off," he muttered, and then aloud to the Prince: "I'll join you in confounding all clocks, my friend, and throw in women, too."	"I'll give her the ten minutes and then I'm off," he muttered, and then aloud to the Prince: "I'll join you in confounding all clocks, my friend, and throw in women, too."	false	409.305	418.02	21
1025_92820_000022_000000	"Sit down," said the Prince calmly.	"Sit down," said the Prince calmly.	true	418.02	419.925	24.255083
1025_92820_000022_000001	"I do not accept your addition. Women are the natural enemies of clocks, and, therefore, the allies of those who would seek liberation from these monsters that measure our follies and limit our pleasures.	"I do not accept your addition. Women are the natural enemies of clocks, and, therefore, the allies of those who would seek liberation from these monsters that measure our follies and limit our pleasures.	false	419.925	430.36	20
1025_92820_000022_000002	If you will so far confide in me I would ask you to relate to me your story."	If you will so far confide in me I would ask you to relate to me your story."	true	430.37	434.745	20
1025_92820_000023_000000	The young man threw himself upon the bench with a reckless laugh.	The young man threw himself upon the bench with a reckless laugh.	true	434.745	438.15	27.008537
1025_92820_000024_000000	"Your Royal Highness, I will," he said, in tones of mock deference.	"Your Royal Highness, I will," he said, in tones of mock deference.	true	438.15	441.915	20
1025_92820_000024_000001	"Do you see yonder house--the one with three upper windows lighted?	"Do you see yonder house-the one with three upper windows lighted?	true	441.915	445.38	20
1025_92820_000024_000002	Well, at 6 o'clock I stood in that house with the young lady I am--that is, I was--engaged to.	Well, at six o'clock I stood in that house with the young lady I am-that is, I was-engaged to.	true	445.38	451.93	19.025204
1025_92820_000024_000003	I had been doing wrong, my dear Prince--I had been a naughty boy, and she had heard of it.	I had been doing wrong, my dear Prince-I had been a naughty boy, and she had heard of it.	true	451.97	457.09	20.75646
1025_92820_000024_000004	I wanted to be forgiven, of course--we are always wanting women to forgive us, aren't we, Prince?"	I wanted to be forgiven, of course-we are always wanting women to forgive us, aren't we, Prince?"	true	457.16	462.82	22.88858
1025_92820_000025_000000	"'I want time to think it over,' said she.	"'I want time to think it over,' said she.	true	462.83	465.03	25.760939
1025_92820_000025_000001	'There is one thing certain; I will either fully forgive you, or I will never see your face again. There will be no half-way business.	'There is one thing certain; I will either fully forgive you, or I will never see your face again. There will be no half-way business.	true	465.03	472.29	21.984192
1025_92820_000025_000002	At half-past eight,' she said, 'at exactly half-past eight you may be watching the middle upper window of the top floor.	At half past eight,' she said, 'at exactly half past eight you may be watching the middle upper window of the top floor.	true	472.29	479.235	21
1025_92820_000025_000003	If I decide to forgive I will hang out of that window a white silk scarf.	If I decide to forgive I will hang out of that window a white silk scarf.	true	479.235	483.825	21
1025_92820_000025_000004	You will know by that that all is as was before, and you may come to me.	You will know by that that all is as was before, and you may come to me.	true	483.825	488.505	21.885405
1025_92820_000025_000005	If you see no scarf you may consider that everything between us is ended forever.' That," concluded the young man bitterly, "is why I have been watching that clock.	If you see no scarf you may consider that everything between us is ended forever.' That," concluded the young man bitterly, "is why I have been watching that clock.	false	488.505	497.325	23
1025_92820_000025_000006	The time for the signal to appear has passed twenty-three minutes ago.	The time for the signal to appear has passed twenty three minutes ago.	true	497.325	500.97	24
1025_92820_000025_000007	Do you wonder that I am a little disturbed, my Prince of Rags and Whiskers?"	Do you wonder that I am a little disturbed, my Prince of Rags and Whiskers?"	true	500.97	504.79	21
1025_92820_000026_000000	"Let me repeat to you," said Prince Michael, in his even, well-modulated tones, "that women are the natural enemies of clocks.	"Let me repeat to you," said Prince Michael, in his even, well modulated tones, "that women are the natural enemies of clocks.	true	504.95	511.965	20
1025_92820_000026_000001	Clocks are an evil, women a blessing.	Clocks are an evil, women a blessing.	true	511.965	514.605	21
1025_92820_000026_000002	The signal may yet appear."	The signal may yet appear."	false	514.605	516.39	21
1025_92820_000027_000000	"Never, on your principality!" exclaimed the young man, hopelessly.	"Never, on your principality!" exclaimed the young man, hopelessly.	true	516.39	520.065	20.182806
1025_92820_000027_000001	"You don't know Marian--of course.	"You don't know Marian-of course.	true	520.065	521.955	20.99827
1025_92820_000027_000002	She's always on time, to the minute.	She's always on time, to the minute.	true	521.955	523.905	20
1025_92820_000027_000003	That was the first thing about her that attracted me.	That was the first thing about her that attracted me.	true	523.905	526.455	25
1025_92820_000027_000004	I've got the mitten instead of the scarf.	I've got the mitten instead of the scarf.	true	526.455	528.735	24.118834
1025_92820_000027_000005	I ought to have known at 8.31 that my goose was cooked.	I ought to have known at eight point three one that my goose was cooked.	false	528.735	532.02	24
1025_92820_000027_000006	I'll go West on the 11.45 to-night with Jack Milburn.	I'll go West on the eleven point four five to night with Jack Milburn.	false	532.02	535.635	24.41983
1025_92820_000027_000007	The jig's up.	The jig's up.	true	535.635	536.595	31.948696
1025_92820_000027_000008	I'll try Jack's ranch awhile and top off with the Klondike and whiskey.	I'll try Jack's ranch awhile and top off with the Klondike and whiskey.	true	536.595	540.675	26
1025_92820_000027_000009	Good-night--er--er--Prince."	Good night-er-er-Prince."	false	540.675	542.83	25.452179
1025_92820_000028_000000	Prince Michael smiled his enigmatic, gentle, comprehending smile and caught the coat sleeve of the other.	Prince Michael smiled his enigmatic, gentle, comprehending smile and caught the coat sleeve of the other.	true	542.9	549.015	21
1025_92820_000028_000001	The brilliant light in the Prince's eyes was softening to a dreamier, cloudy translucence.	The brilliant light in the Prince's eyes was softening to a dreamier, cloudy translucence.	true	549.015	554.23	16
1025_92820_000029_000000	"Wait," he said solemnly, "till the clock strikes.	"Wait," he said solemnly, "till the clock strikes.	true	554.48	557.595	26.493761
1025_92820_000029_000001	I have wealth and power and knowledge above most men, but when the clock strikes I am afraid.	I have wealth and power and knowledge above most men, but when the clock strikes I am afraid.	true	557.595	563.11	22.903725
1025_92820_000029_000002	Stay by me until then.	Stay by me until then.	true	563.27	564.84	24.584019
1025_92820_000029_000003	This woman shall be yours.	This woman shall be yours.	true	564.84	566.59	22
1025_92820_000029_000004	You have the word of the hereditary Prince of Valleluna.	You have the word of the hereditary Prince of Valleluna.	true	566.72	569.835	20
1025_92820_000029_000005	On the day of your marriage I will give you $100,000 and a palace on the Hudson.	On the day of your marriage I will give you one hundred thousand dollars and a palace on the Hudson.	true	569.835	574.71	17
1025_92820_000029_000006	But there must be no clocks in that palace--they measure our follies and limit our pleasures.	But there must be no clocks in that palace-they measure our follies and limit our pleasures.	true	574.71	579.54	21
1025_92820_000029_000007	Do you agree to that?"	Do you agree to that?"	true	579.54	580.74	22.337084
1025_92820_000030_000000	"Of course," said the young man, cheerfully, "they're a nuisance, anyway--always ticking and striking and getting you late for dinner."	"Of course," said the young man, cheerfully, "they're a nuisance, anyway-always ticking and striking and getting you late for dinner."	true	580.74	587.65	19.269423
1025_92820_000031_000000	He glanced again at the clock in the tower.	He glanced again at the clock in the tower.	true	587.75	589.965	21.218006
1025_92820_000031_000001	The hands stood at three minutes to nine.	The hands stood at three minutes to nine.	true	589.965	592.245	21
1025_92820_000032_000000	"I think," said Prince Michael, "that I will sleep a little.	"I think," said Prince Michael, "that I will sleep a little.	true	592.245	594.885	21.393223
1025_92820_000032_000001	The day has been fatiguing."	The day has been fatiguing."	true	594.885	596.56	22.337618
1025_92820_000033_000000	He stretched himself upon a bench with the manner of one who had slept thus before.	He stretched himself upon a bench with the manner of one who had slept thus before.	false	596.75	601.14	22
1025_92820_000034_000000	"You will find me in this park on any evening when the weather is suitable," said the Prince, sleepily.	"You will find me in this park on any evening when the weather is suitable," said the Prince, sleepily.	true	601.14	605.55	15
1025_92820_000034_000001	"Come to me when your marriage day is set and I will give you a cheque for the money."	"Come to me when your marriage day is set and I will give you a cheque for the money."	true	605.55	609.51	22
1025_92820_000035_000000	"Thanks, Your Highness," said the young man, seriously.	"Thanks, Your Highness," said the young man, seriously.	true	609.51	611.92	17.6907
1025_92820_000035_000001	"It doesn't look as if I would need that palace on the Hudson, but I appreciate your offer, just the same."	"It doesn't look as if I would need that palace on the Hudson, but I appreciate your offer, just the same."	true	611.99	617.355	25.811789
1025_92820_000036_000000	Prince Michael sank into deep slumber.	Prince Michael sank into deep slumber.	false	617.355	619.66	21.359468
1025_92820_000036_000001	His battered hat rolled from the bench to the ground.	His battered hat rolled from the bench to the ground.	true	619.76	622.66	21.04923
1025_92820_000036_000002	The young man lifted it, placed it over the frowsy face and moved one of the grotesquely relaxed limbs into a more comfortable position.	The young man lifted it, placed it over the frowsy face and moved one of the grotesquely relaxed limbs into a more comfortable position.	true	622.79	630.09	21
1025_92820_000036_000003	"Poor devil!" he said, as he drew the tattered clothes closer about the Prince's breast.	"Poor devil!" he said, as he drew the tattered clothes closer about the Prince's breast.	false	630.09	634.84	23.866264
1025_92820_000037_000000	Sonorous and startling came the stroke of 9 from the clock tower.	Sonorous and startling came the stroke of nine from the clock tower.	true	635.15	639.04	23.452347
1025_92820_000037_000001	The young man sighed again, turned his face for one last look at the house of his relinquished hopes--and cried aloud profane words of holy rapture.	The young man sighed again, turned his face for one last look at the house of his relinquished hopes-and cried aloud profane words of holy rapture.	true	639.17	647.79	23.544313
1025_92820_000038_000000	From the middle upper window blossomed in the dusk a waving, snowy, fluttering, wonderful, divine emblem of forgiveness and promised joy.	From the middle upper window blossomed in the dusk a waving, snowy, fluttering, wonderful, divine emblem of forgiveness and promised joy.	true	647.79	655.905	18
1025_92820_000039_000000	By came a citizen, rotund, comfortable, home-hurrying, unknowing of the delights of waving silken scarfs on the borders of dimly-lit parks.	By came a citizen, rotund, comfortable, home hurrying, unknowing of the delights of waving silken scarfs on the borders of dimly lit parks.	false	655.905	664.68	21
1025_92820_000040_000000	"Will you oblige me with the time, sir?" asked the young man; and the citizen, shrewdly conjecturing his watch to be safe, dragged it out and announced:	"Will you oblige me with the time, sir?" asked the young man; and the citizen, shrewdly conjecturing his watch to be safe, dragged it out and announced:	true	664.68	672.405	17
1025_92820_000041_000000	"Twenty-nine and a half minutes past eight, sir."	"Twenty nine and a half minutes past eight, sir."	true	672.405	674.89	20.716442
1025_92820_000042_000000	And then, from habit, he glanced at the clock in the tower, and made further oration.	And then, from habit, he glanced at the clock in the tower, and made further oration.	true	675.38	679.51	20
1025_92820_000043_000000	"By George! that clock's half an hour fast!	"By George! that clock's half an hour fast!	true	679.79	682.425	21.895975
1025_92820_000043_000001	First time in ten years I've known it to be off.	First time in ten years I've known it to be off.	false	682.425	685.12	21.123905
1025_92820_000043_000002	This watch of mine never varies a--"	This watch of mine never varies a-"	true	685.13	687.21	21
1025_92820_000044_000000	But the citizen was talking to vacancy.	But the citizen was talking to vacancy.	true	687.21	689.46	19
1025_92820_000044_000001	He turned and saw his hearer, a fast receding black shadow, flying in the direction of a house with three lighted upper windows.	He turned and saw his hearer, a fast receding black shadow, flying in the direction of a house with three lighted upper windows.	true	689.46	696.4	17
1025_92820_000045_000000	And in the morning came along two policemen on their way to the beats they owned.	And in the morning came along two policemen on their way to the beats they owned.	true	696.53	700.245	17
1025_92820_000045_000001	The park was deserted save for one dilapidated figure that sprawled, asleep, on a bench.	The park was deserted save for one dilapidated figure that sprawled, asleep, on a bench.	true	700.245	705.06	20
1025_92820_000045_000002	They stopped and gazed upon it.	They stopped and gazed upon it.	true	705.06	706.99	26.588594
1025_92820_000046_000000	"It's Dopy Mike," said one.	"It's Dopy Mike," said one.	true	707.06	708.795	23.231596
1025_92820_000046_000001	"He hits the pipe every night.	"He hits the pipe every night.	true	708.795	710.52	24.395329
1025_92820_000046_000002	Park bum for twenty years.	Park bum for twenty years.	true	710.52	712.26	21.402107
1025_92820_000046_000003	On his last legs, I guess."	On his last legs, I guess."	true	712.26	714.06	19
1025_92820_000047_000000	The other policeman stooped and looked at something crumpled and crisp in the hand of the sleeper.	The other policeman stooped and looked at something crumpled and crisp in the hand of the sleeper.	true	714.06	718.54	22
1025_92820_000048_000000	"Gee!" he remarked.	"Gee!" he remarked.	true	718.73	719.895	19.651539
1025_92820_000048_000001	"He's doped out a fifty-dollar bill, anyway.	"He's doped out a fifty dollar bill, anyway.	true	719.895	722.26	21
1025_92820_000048_000002	Wish I knew the brand of hop that he smokes."	Wish I knew the brand of hop that he smokes."	true	722.27	724.51	20.55789
1025_92820_000049_000000	And then "Rap, rap, rap!" went the club of realism against the shoe soles of Prince Michael, of the Electorate of Valleluna.	And then "Rap, rap, rap!" went the club of realism against the shoe soles of Prince Michael, of the Electorate of Valleluna.	false	724.61	733.77	21.812252
