175_127696_000000_000000	The Two-Leaved Pine	The Two Leaved Pine	true	29.595	31.3	18.75397
175_127696_000005_000003	About two-thirds of the trunk is commonly free of limbs, but close, fringy tufts of spray occur nearly all the way down to the ground.	About two thirds of the trunk is commonly free of limbs, but close, fringy tufts of spray occur nearly all the way down to the ground.	true	331.82	339.4	22
175_127696_000005_000004	On trees that occupy exposed situations near its upper limit the bark is deep reddish-brown and rather deeply furrowed, the main furrows running nearly parallel to each other and connected on the old trees by conspicuous cross-furrows.	On trees that occupy exposed situations near its upper limit the bark is deep reddish brown and rather deeply furrowed, the main furrows running nearly parallel to each other and connected on the old trees by conspicuous cross furrows.	true	340.4	353.5	24
175_127696_000005_000005	The cones are from four to eight inches long, smooth, slender, cylindrical and somewhat curved. They grow in clusters of from three to six or seven and become pendulous as they increase in weight.	The cones are from four to eight inches long, smooth, slender, cylindrical and somewhat curved. They grow in clusters of from three to six or seven and become pendulous as they increase in weight.	true	354.5	366.94	22.961048
175_127696_000005_000006	This species is nearly related to the sugar pine and, though not half so tall, it suggests its noble relative in the way that it extends its long branches in general habit.	This species is nearly related to the sugar pine and, though not half so tall, it suggests its noble relative in the way that it extends its long branches in general habit.	true	367.91	377.71	22.52296
175_127696_000005_000007	It is first met on the upper margin of the silver fir zone, singly, in what appears as chance situations without making much impression on the general forest. Continuing up through the forests of the two-leaved pine it begins to show its distinguishing characteristic in the most marked way at an elevation of about 10,000 feet extending its tough, rather slender arms in the frosty air, welcoming the storms and feeding on them and reaching sometimes to the grand old age of 1000 years.	It is first met on the upper margin of the silver fir zone, singly, in what appears as chance situations without making much impression on the general forest. Continuing up through the forests of the two leaved pine it begins to show its distinguishing characteristic in the most marked way at an elevation of about ten thousand feet extending its tough, rather slender arms in the frosty air, welcoming the storms and feeding on them and reaching sometimes to the grand old age of one thousand years.	false	378.62	408.49	22.129416
175_127696_000006_000000	The Western Juniper	The Western Juniper	true	410.96	412.48	21.405718
175_127696_000007_000000	The Juniper or Red Cedar (Juniperus occidentalis) is preeminently a rock tree, occupying the baldest domes and pavements in the upper silver fir and alpine zones, at a height of from 7000 to 9500 feet.	The Juniper or Red Cedar (Juniperus occidentalis) is preeminently a rock tree, occupying the baldest domes and pavements in the upper silver fir and alpine zones, at a height of from seven thousand to nine thousand five hundred feet.	true	414.11	429.91	22.15107
175_127696_000007_000001	In such situations, rooted in narrow cracks or fissures, where there is scarcely a handful of soil, it is frequently over eight feet in diameter and not much more in height.	In such situations, rooted in narrow cracks or fissures, where there is scarcely a handful of soil, it is frequently over eight feet in diameter and not much more in height.	true	430.91	441.67	22.029783
175_127696_000007_000002	The tops of old trees are almost always dead, and large stubborn-looking limbs push out horizontally, most of them broken and dead at the end, but densely covered, and imbedded here and there with tufts or mounds of gray-green scalelike foliage.	The tops of old trees are almost always dead, and large stubborn looking limbs push out horizontally, most of them broken and dead at the end, but densely covered, and imbedded here and there with tufts or mounds of gray green scalelike foliage.	true	442.76	456.88	22
175_127696_000007_000003	Some trees are mere storm-beaten stumps about as broad as long, decorated with a few leafy sprays, reminding one of the crumbling towers of old castles scantily draped with ivy.	Some trees are mere storm beaten stumps about as broad as long, decorated with a few leafy sprays, reminding one of the crumbling towers of old castles scantily draped with ivy.	true	457.91	468.76	22.550898
175_127696_000007_000004	Its homes on bare, barren dome and ridge-top seem to have been chosen for safety against fire, for, on isolated mounds of sand and gravel free from grass and bushes on which fire could feed, it is often found growing tall and unscathed to a height of forty to sixty feet, with scarce a trace of the rocky angularity and broken limbs so characteristic a feature throughout the greater part of its range.	Its homes on bare, barren dome and ridge top seem to have been chosen for safety against fire, for, on isolated mounds of sand and gravel free from grass and bushes on which fire could feed, it is often found growing tall and unscathed to a height of forty to sixty feet, with scarce a trace of the rocky angularity and broken limbs so characteristic a feature throughout the greater part of its range.	true	470	493.3	22
175_127696_000007_000005	It never makes anything like a forest; seldom even a grove. Usually it stands out separate and independent, clinging by slight joints to the rocks, living chiefly on snow and thin air and maintaining sound health on this diet for 2000 years or more.	It never makes anything like a forest; seldom even a grove. Usually it stands out separate and independent, clinging by slight joints to the rocks, living chiefly on snow and thin air and maintaining sound health on this diet for two thousand years or more.	true	494.21	510.31	21.969944
175_127696_000007_000006	Every feature or every gesture it makes expresses steadfast, dogged endurance.	Every feature or every gesture it makes expresses steadfast, dogged endurance.	true	511.61	516.67	23.358988
175_127696_000007_000007	The bark is of a bright cinnamon color and is handsomely braided and reticulated on thrifty trees, flaking off in thin, shining ribbons that are sometimes used by the Indians for tent matting.	The bark is of a bright cinnamon color and is handsomely braided and reticulated on thrifty trees, flaking off in thin, shining ribbons that are sometimes used by the Indians for tent matting.	true	517.82	528.4	20
175_127696_000007_000008	Its fine color and picturesqueness are appreciated by artists, but to me the juniper seems a singularly strange and taciturn tree.	Its fine color and picturesqueness are appreciated by artists, but to me the juniper seems a singularly strange and taciturn tree.	true	529.73	537.61	20.876377
175_127696_000007_000009	I have spent many a day and night in its company and always have found it silent and rigid.	I have spent many a day and night in its company and always have found it silent and rigid.	false	538.46	543.49	22
175_127696_000007_000010	It seems to be a survivor of some ancient race, wholly unacquainted with its neighbors. Its broad stumpiness, of course, makes wind-waving or even shaking out of the question, but it is not this rocky rigidity that constitutes its silence.	It seems to be a survivor of some ancient race, wholly unacquainted with its neighbors. Its broad stumpiness, of course, makes wind waving or even shaking out of the question, but it is not this rocky rigidity that constitutes its silence.	true	544.13	558.85	22.53531
175_127696_000007_000011	In calm, sun-days the sugar pine preaches like an enthusiastic apostle without moving a leaf.	In calm, sun days the sugar pine preaches like an enthusiastic apostle without moving a leaf.	true	559.46	565.12	20
175_127696_000007_000012	On level rocks the juniper dies standing and wastes insensibly out of existence like granite, the wind exerting about as little control over it, alive or dead, as is does over a glacier boulder.	On level rocks the juniper dies standing and wastes insensibly out of existence like granite, the wind exerting about as little control over it, alive or dead, as is does over a glacier boulder.	false	565.79	577.9	21.911547
175_127696_000008_000000	I have spent a good deal of time trying to determine the age of these wonderful trees, but as all of the very old ones are honey-combed with dry rot I never was able to get a complete count of the largest.	I have spent a good deal of time trying to determine the age of these wonderful trees, but as all of the very old ones are honey combed with dry rot I never was able to get a complete count of the largest.	true	578.99	589.6	21.820599
175_127696_000008_000001	Some are undoubtedly more than 2000 years old, for though on deep moraine soil they grow about as fast as some of the pines, on bare pavements and smoothly glaciated, overswept ridges in the dome region they grow very slowly.	Some are undoubtedly more than two thousand years old, for though on deep moraine soil they grow about as fast as some of the pines, on bare pavements and smoothly glaciated, overswept ridges in the dome region they grow very slowly.	true	590.42	604.3	21.500214
175_127696_000008_000002	One on the Starr King Ridge only two feet eleven inches in diameter was 1140 years old forty years ago.	One on the Starr King Ridge only two feet eleven inches in diameter was one thousand one hundred forty years old forty years ago.	true	605.21	613.42	19.884594
175_127696_000008_000003	Another on the same ridge, only one foot seven and a half inches in diameter, had reached the age of 834 years.	Another on the same ridge, only one foot seven and a half inches in diameter, had reached the age of eight hundred thirty four years.	true	614.12	621.22	19.747177
175_127696_000008_000004	The first fifteen inches from the bark of a medium-size tree six feet in diameter, on the north Tenaya pavement, had 859 layers of wood.	The first fifteen inches from the bark of a medium size tree six feet in diameter, on the north Tenaya pavement, had eight hundred fifty nine layers of wood.	true	622.31	631.3	21
175_127696_000008_000005	Beyond this the count was stopped by dry rot and scars.	Beyond this the count was stopped by dry rot and scars.	true	631.91	635.23	23.117012
175_127696_000008_000006	The largest examined was thirty-three feet in girth, or nearly ten feet in diameter and, although I have failed to get anything like a complete count, I learned enough from this and many other specimens to convince me that most of the trees eight or ten feet thick, standing on pavements, are more than twenty centuries old rather than less.	The largest examined was thirty three feet in girth, or nearly ten feet in diameter and, although I have failed to get anything like a complete count, I learned enough from this and many other specimens to convince me that most of the trees eight or ten feet thick, standing on pavements, are more than twenty centuries old rather than less.	false	636.08	655.27	22.643494
175_127696_000008_000007	Barring accidents, for all I can see they would live forever; even then overthrown by avalanches, they refuse to lie at rest, lean stubbornly on their big branches as if anxious to rise, and while a single root holds to the rock, put forth fresh leaves with a grim, never-say-die expression.	Barring accidents, for all I can see they would live forever; even then overthrown by avalanches, they refuse to lie at rest, lean stubbornly on their big branches as if anxious to rise, and while a single root holds to the rock, put forth fresh leaves with a grim, never say die expression.	true	656.45	674.16	21.416445
175_127696_000009_000000	The Mountain Hemlock	The Mountain Hemlock	false	674.16	675	-20
175_127696_000010_000000	As the juniper is the most stubborn and unshakeable of trees in the Yosemite region, the Mountain Hemlock (Tsuga Mertensiana) is the most graceful and pliant and sensitive.	As the juniper is the most stubborn and unshakeable of trees in the Yosemite region, the Mountain Hemlock (Tsuga Mertensiana) is the most graceful and pliant and sensitive.	false	675	677.7	15.609677
175_127696_000010_000001	Until it reaches a height of fifty or sixty feet it is sumptuously clothed down to the ground with drooping branches, which are divided again and again into delicate waving sprays, grouped and arranged in ways that are indescribably beautiful, and profusely adorned with small brown cones.	Until it reaches a height of fifty or sixty feet it is sumptuously clothed down to the ground with drooping branches, which are divided again and again into delicate waving sprays, grouped and arranged in ways that are indescribably beautiful, and profusely adorned with small brown cones.	false	677.7	677.88	11
175_127696_000010_000002	The flowers also are peculiarly beautiful and effective; the female dark rich purple, the male blue, of so fine and pure a tone.	The flowers also are peculiarly beautiful and effective; the female dark rich purple, the male blue, of so fine and pure a tone.	false	677.88	678	100
175_127696_000010_000003	What the best azure of the mountain sky seems to be condensed in them.	What the best azure of the mountain sky seems to be condensed in them.	false	678	678	
175_127696_000010_000004	Though apparently the most delicate and feminine of all the mountain trees, it grows best where the snow lies deepest, at a height of from 9000 to 9500 feet, in hollows on the northern slopes of mountains and ridges.	Though apparently the most delicate and feminine of all the mountain trees, it grows best where the snow lies deepest, at a height of from nine thousand to nine thousand five hundred feet, in hollows on the northern slopes of mountains and ridges.	false	678	678	
175_127696_000010_000005	But under all circumstances, sheltered from heavy winds or in bleak exposure to them, well fed or starved, even at its highest limit, 10,500 feet above the sea, on exposed ridge-tops where it has to crouch and huddle close in low thickets, it still contrives to put forth its sprays and branches in forms of invincible beauty, while on moist, well-drained moraines it displays a perfectly tropical luxuriance of foliage, flowers and fruit. The snow of the first winter storm is frequently soft, and lodges in due dense leafy branches, weighing them down against the trunk, and the slender, drooping axis, bending lower and lower as the load increases, at length reaches the ground, forming an ornamental arch.	But under all circumstances, sheltered from heavy winds or in bleak exposure to them, well fed or starved, even at its highest limit, ten thousand five hundred feet above the sea, on exposed ridge tops where it has to crouch and huddle close in low thickets, it still contrives to put forth its sprays and branches in forms of invincible beauty, while on moist, well drained moraines it displays a perfectly tropical luxuriance of foliage, flowers and fruit. The snow of the first winter storm is frequently soft, and lodges in due dense leafy branches, weighing them down against the trunk, and the slender, drooping axis, bending lower and lower as the load increases, at length reaches the ground, forming an ornamental arch.	false	678	678	
175_127696_000010_000006	Then, as storm succeeds storm and snow is heaped on snow, the whole tree is at last buried, not again to see the light of day or move leaf or limb until set free by the spring thaws in June or July.	Then, as storm succeeds storm and snow is heaped on snow, the whole tree is at last buried, not again to see the light of day or move leaf or limb until set free by the spring thaws in June or July.	false	678	678	
175_127696_000010_000007	Not only the young saplings are thus carefully covered and put to sleep in the whitest of white beds for five or six months of the year, but trees thirty feet high or more. From April to May, when the snow by repeated thawing and freezing is firmly compacted, you may ride over the prostrate groves without seeing a single branch or leaf of them.	Not only the young saplings are thus carefully covered and put to sleep in the whitest of white beds for five or six months of the year, but trees thirty feet high or more. From April to May, when the snow by repeated thawing and freezing is firmly compacted, you may ride over the prostrate groves without seeing a single branch or leaf of them.	false	678	679.32	22.972761
175_127696_000010_000008	No other of our alpine conifers so finely veils its strength; poised in thin, white sunshine, clad with branches from head to foot, it towers in unassuming majesty, drooping as if unaffected with the aspiring tendencies of its race, loving the ground, conscious of heaven and joyously receptive of its blessings, reaching out its branches like sensitive tentacles, feeling the light and reveling in it.	No other of our alpine conifers so finely veils its strength; poised in thin, white sunshine, clad with branches from head to foot, it towers in unassuming majesty, drooping as if unaffected with the aspiring tendencies of its race, loving the ground, conscious of heaven and joyously receptive of its blessings, reaching out its branches like sensitive tentacles, feeling the light and reveling in it.	false	679.32	680.46	11.068697
175_127696_000010_000009	The largest specimen I ever found was nineteen feet seven inches in circumference.	The largest specimen I ever found was nineteen feet seven inches in circumference.	false	680.46	680.67	-20
175_127696_000010_000010	It was growing on the edge of Lake Hollow, north of Mount Hoffman, at an elevation of 9250 feet above the level of the sea, and was probably about a hundred feet in height.	It was growing on the edge of Lake Hollow, north of Mount Hoffman, at an elevation of nine thousand two hundred fifty feet above the level of the sea, and was probably about a hundred feet in height.	false	680.67	681.33	-20
175_127696_000010_000011	Fine groves of mature trees, ninety to a hundred feet in height, are growing near the base of Mount Conness.	Fine groves of mature trees, ninety to a hundred feet in height, are growing near the base of Mount Conness.	false	681.33	681.66	-20
175_127696_000010_000012	It is widely distributed from near the south extremity of the high Sierra northward along the Cascade Mountains of Oregon and Washington and the coast ranges of British Columbia to Alaska, where it was first discovered in 1827.	It is widely distributed from near the south extremity of the high Sierra northward along the Cascade Mountains of Oregon and Washington and the coast ranges of British Columbia to Alaska, where it was first discovered in eighteen twenty seven.	false	681.66	682.35	-20
175_127696_000010_000013	Its northernmost limit, so far as I have observed, is in the icy fiords of Prince William Sound in latitude 61 degrees, where it forms pure forests at the level of the sea, growing tall and majestic on the banks of glaciers.	Its northernmost limit, so far as I have observed, is in the icy fiords of Prince William Sound in latitude sixty one degrees, where it forms pure forests at the level of the sea, growing tall and majestic on the banks of glaciers.	false	682.35	683.07	-20
175_127696_000010_000014	There, as in the Yosemite region, it is ineffably beautiful, the very loveliest of all the American conifers.	There, as in the Yosemite region, it is ineffably beautiful, the very loveliest of all the American conifers.	false	683.07	683.4	-20
