2240_148521_000000_000000	Section 2: Influence of Democracy on the Feelings of Americans	Section two: Influence of Democracy on the Feelings of Americans	false	13.74	61.27	22.629519
2240_148521_000007_000000	That political freedom may compromise in its excesses the tranquillity, the property, the lives of individuals, is obvious to the narrowest and most unthinking minds.	That political freedom may compromise in its excesses the tranquillity, the property, the lives of individuals, is obvious to the narrowest and most unthinking minds.	true	416.48	429.28	23.912033
2240_148521_000007_000001	But, on the contrary, none but attentive and clear-sighted men perceive the perils with which equality threatens us, and they commonly avoid pointing them out.	But, on the contrary, none but attentive and clear sighted men perceive the perils with which equality threatens us, and they commonly avoid pointing them out.	false	430.01	442.36	24.686699
2240_148521_000007_000002	They know that the calamities they apprehend are remote, and flatter themselves that they will only fall upon future generations, for which the present generation takes but little thought.	They know that the calamities they apprehend are remote, and flatter themselves that they will only fall upon future generations, for which the present generation takes but little thought.	true	443.18	457.6	20.718773
2240_148521_000007_000003	The evils which freedom sometimes brings with it are immediate; they are apparent to all, and all are more or less affected by them.	The evils which freedom sometimes brings with it are immediate; they are apparent to all, and all are more or less affected by them.	true	458.45	468.85	19.624376
2240_148521_000007_000004	The evils which extreme equality may produce are slowly disclosed; they creep gradually into the social frame; they are only seen at intervals, and at the moment at which they become most violent habit already causes them to be no longer felt.	The evils which extreme equality may produce are slowly disclosed; they creep gradually into the social frame; they are only seen at intervals, and at the moment at which they become most violent habit already causes them to be no longer felt.	true	469.61	490.51	21.821402
2240_148521_000007_000005	The advantages which freedom brings are only shown by length of time; and it is always easy to mistake the cause in which they originate.	The advantages which freedom brings are only shown by length of time; and it is always easy to mistake the cause in which they originate.	true	491.72	501.52	18.78687
2240_148521_000007_000006	The advantages of equality are instantaneous, and they may constantly be traced from their source. Political liberty bestows exalted pleasures, from time to time, upon a certain number of citizens.	The advantages of equality are instantaneous, and they may constantly be traced from their source. Political liberty bestows exalted pleasures, from time to time, upon a certain number of citizens.	false	502.49	518.77	23.886963
2240_148521_000007_000007	Equality every day confers a number of small enjoyments on every man.	Equality every day confers a number of small enjoyments on every man.	true	519.62	526.81	19.67838
2240_148521_000007_000008	The charms of equality are every instant felt, and are within the reach of all; the noblest hearts are not insensible to them, and the most vulgar souls exult in them.	The charms of equality are every instant felt, and are within the reach of all; the noblest hearts are not insensible to them, and the most vulgar souls exult in them.	false	527.6	540.88	22.037102
2240_148521_000007_000009	The passion which equality engenders must therefore be at once strong and general.	The passion which equality engenders must therefore be at once strong and general.	false	542.18	548.5	21.111109
2240_148521_000007_000010	Men cannot enjoy political liberty unpurchased by some sacrifices, and they never obtain it without great exertions.	Men cannot enjoy political liberty unpurchased by some sacrifices, and they never obtain it without great exertions.	true	549.14	558.58	20.28646
2240_148521_000007_000011	But the pleasures of equality are self-proffered: each of the petty incidents of life seems to occasion them, and in order to taste them nothing is required but to live.	But the pleasures of equality are self proffered: each of the petty incidents of life seems to occasion them, and in order to taste them nothing is required but to live.	true	559.25	572.38	22.005068
2240_148521_000008_000000	Democratic nations are at all times fond of equality, but there are certain epochs at which the passion they entertain for it swells to the height of fury.	Democratic nations are at all times fond of equality, but there are certain epochs at which the passion they entertain for it swells to the height of fury.	true	573.26	585.25	24.300163
2240_148521_000008_000001	This occurs at the moment when the old social system, long menaced, completes its own destruction after a last intestine struggle, and when the barriers of rank are at length thrown down.	This occurs at the moment when the old social system, long menaced, completes its own destruction after a last intestine struggle, and when the barriers of rank are at length thrown down.	true	586.1	600.37	21.167067
2240_148521_000008_000002	At such times men pounce upon equality as their booty, and they cling to it as to some precious treasure which they fear to lose.	At such times men pounce upon equality as their booty, and they cling to it as to some precious treasure which they fear to lose.	false	601.16	610.27	22.962214
2240_148521_000008_000003	The passion for equality penetrates on every side into men's hearts, expands there, and fills them entirely.	The passion for equality penetrates on every side into men's hearts, expands there, and fills them entirely.	true	610.67	618.76	22.10561
2240_148521_000008_000004	Tell them not that by this blind surrender of themselves to an exclusive passion they risk their dearest interests: they are deaf.	Tell them not that by this blind surrender of themselves to an exclusive passion they risk their dearest interests: they are deaf.	false	619.55	629.05	22.095213
2240_148521_000008_000005	Show them not freedom escaping from their grasp, whilst they are looking another way: they are blind--or rather, they can discern but one sole object to be desired in the universe.	Show them not freedom escaping from their grasp, whilst they are looking another way: they are blind-or rather, they can discern but one sole object to be desired in the universe.	true	629.75	643.87	22.902512
2240_148521_000009_000000	What I have said is applicable to all democratic nations: what I am about to say concerns the French alone.	What I have said is applicable to all democratic nations: what I am about to say concerns the French alone.	true	645.23	653.89	24.431149
2240_148521_000009_000001	Amongst most modern nations, and especially amongst all those of the Continent of Europe, the taste and the idea of freedom only began to exist and to extend themselves at the time when social conditions were tending to equality, and as a consequence of that very equality.	Amongst most modern nations, and especially amongst all those of the Continent of Europe, the taste and the idea of freedom only began to exist and to extend themselves at the time when social conditions were tending to equality, and as a consequence of that very equality.	false	654.47	673.66	22.29582
2240_148521_000009_000002	Absolute kings were the most efficient levellers of ranks amongst their subjects.	Absolute kings were the most efficient levellers of ranks amongst their subjects.	true	674.57	679.78	21.26114
2240_148521_000009_000003	Amongst these nations equality preceded freedom: equality was therefore a fact of some standing when freedom was still a novelty: the one had already created customs, opinions, and laws belonging to it, when the other, alone and for the first time, came into actual existence.	Amongst these nations equality preceded freedom: equality was therefore a fact of some standing when freedom was still a novelty: the one had already created customs, opinions, and laws belonging to it, when the other, alone and for the first time, came into actual existence.	false	680.48	702.7	21.579706
2240_148521_000009_000004	Thus the latter was still only an affair of opinion and of taste, whilst the former had already crept into the habits of the people, possessed itself of their manners, and given a particular turn to the smallest actions of their lives.	Thus the latter was still only an affair of opinion and of taste, whilst the former had already crept into the habits of the people, possessed itself of their manners, and given a particular turn to the smallest actions of their lives.	false	703.55	720.15	23.005814
2240_148521_000009_000005	Can it be wondered that the men of our own time prefer the one to the other?	Can it be wondered that the men of our own time prefer the one to the other?	false	720.15	727.3	22.313751
2240_148521_000010_000000	I think that democratic communities have a natural taste for freedom: left to themselves, they will seek it, cherish it, and view any privation of it with regret.	I think that democratic communities have a natural taste for freedom: left to themselves, they will seek it, cherish it, and view any privation of it with regret.	true	728.99	741.85	23.021181
2240_148521_000010_000001	But for equality, their passion is ardent, insatiable, incessant, invincible: they call for equality in freedom; and if they cannot obtain that, they still call for equality in slavery. They will endure poverty, servitude, barbarism--but they will not endure aristocracy.	But for equality, their passion is ardent, insatiable, incessant, invincible: they call for equality in freedom; and if they cannot obtain that, they still call for equality in slavery. They will endure poverty, servitude, barbarism-but they will not endure aristocracy.	true	742.88	773.92	21.630253
2240_148521_000010_000002	This is true at all times, and especially true in our own. All men and all powers seeking to cope with this irresistible passion, will be overthrown and destroyed by it.	This is true at all times, and especially true in our own. All men and all powers seeking to cope with this irresistible passion, will be overthrown and destroyed by it.	true	774.89	789.46	24.00937
2240_148521_000010_000003	In our age, freedom cannot be established without it, and despotism itself cannot reign without its support.	In our age, freedom cannot be established without it, and despotism itself cannot reign without its support.	true	790.19	799.66	23.93523
2240_148521_000011_000000	Chapter II: Of Individualism In Democratic Countries	Chapter two: Of Individualism In Democratic Countries	true	802.79	808.75	29.256716
2240_148521_000012_000000	I have shown how it is that in ages of equality every man seeks for his opinions within himself: I am now about to show how it is that, in the same ages, all his feelings are turned towards himself alone. Individualism *a is a novel expression, to which a novel idea has given birth.	I have shown how it is that in ages of equality every man seeks for his opinions within himself: I am now about to show how it is that, in the same ages, all his feelings are turned towards himself alone. Individualism asterisk a is a novel expression, to which a novel idea has given birth.	false	811.43	871.51	23.957577
2240_148521_000012_000001	Our fathers were only acquainted with egotism.	Our fathers were only acquainted with egotism.	true	872.45	876.07	23.910372
2240_148521_000012_000002	Egotism is a passionate and exaggerated love of self, which leads a man to connect everything with his own person, and to prefer himself to everything in the world.	Egotism is a passionate and exaggerated love of self, which leads a man to connect everything with his own person, and to prefer himself to everything in the world.	true	877.37	889.81	24.214075
2240_148521_000012_000003	Individualism is a mature and calm feeling, which disposes each member of the community to sever himself from the mass of his fellow-creatures; and to draw apart with his family and his friends; so that, after he has thus formed a little circle of his own, he willingly leaves society at large to itself.	Individualism is a mature and calm feeling, which disposes each member of the community to sever himself from the mass of his fellow creatures; and to draw apart with his family and his friends; so that, after he has thus formed a little circle of his own, he willingly leaves society at large to itself.	false	890.6	913.24	23.670805
2240_148521_000012_000004	Egotism originates in blind instinct: individualism proceeds from erroneous judgment more than from depraved feelings; it originates as much in the deficiencies of the mind as in the perversity of the heart.	Egotism originates in blind instinct: individualism proceeds from erroneous judgment more than from depraved feelings; it originates as much in the deficiencies of the mind as in the perversity of the heart.	false	913.55	929.5	22.7967
2240_148521_000012_000005	Egotism blights the germ of all virtue; individualism, at first, only saps the virtues of public life; but, in the long run, it attacks and destroys all others, and is at length absorbed in downright egotism.	Egotism blights the germ of all virtue; individualism, at first, only saps the virtues of public life; but, in the long run, it attacks and destroys all others, and is at length absorbed in downright egotism.	true	930.35	948.85	25.182604
2240_148521_000012_000006	Egotism is a vice as old as the world, which does not belong to one form of society more than to another: individualism is of democratic origin, and it threatens to spread in the same ratio as the equality of conditions.	Egotism is a vice as old as the world, which does not belong to one form of society more than to another: individualism is of democratic origin, and it threatens to spread in the same ratio as the equality of conditions.	false	950.24	967.02	24.705393
2240_148521_000013_000000	[Footnote a: [I adopt the expression of the original, however strange it may seem to the English ear, partly because it illustrates the remark on the introduction of general terms into democratic language which was made in a preceding chapter, and partly because I know of no English word exactly equivalent to the expression.	[Footnote a: [I adopt the expression of the original, however strange it may seem to the English ear, partly because it illustrates the remark on the introduction of general terms into democratic language which was made in a preceding chapter, and partly because I know of no English word exactly equivalent to the expression.	false	967.02	969.36	15.826903
2240_148521_000013_000001	The chapter itself defines the meaning attached to it by the author.--Translator's Note.]]	The chapter itself defines the meaning attached to it by the author.--Translator's Note.]]	false	969.36	969.96	31
2240_148521_000014_000000	Amongst aristocratic nations, as families remain for centuries in the same condition, often on the same spot, all generations become as it were contemporaneous.	Amongst aristocratic nations, as families remain for centuries in the same condition, often on the same spot, all generations become as it were contemporaneous.	false	969.96	982.75	23.853642
2240_148521_000014_000001	A man almost always knows his forefathers, and respects them: he thinks he already sees his remote descendants, and he loves them.	A man almost always knows his forefathers, and respects them: he thinks he already sees his remote descendants, and he loves them.	true	983.45	992.62	22.73913
2240_148521_000014_000002	He willingly imposes duties on himself towards the former and the latter; and he will frequently sacrifice his personal gratifications to those who went before and to those who will come after him.	He willingly imposes duties on himself towards the former and the latter; and he will frequently sacrifice his personal gratifications to those who went before and to those who will come after him.	true	993.05	1005.49	24.214285
2240_148521_000014_000003	Aristocratic institutions have, moreover, the effect of closely binding every man to several of his fellow-citizens.	Aristocratic institutions have, moreover, the effect of closely binding every man to several of his fellow citizens.	true	1006.7	1015.51	23.933123
2240_148521_000014_000004	As the classes of an aristocratic people are strongly marked and permanent, each of them is regarded by its own members as a sort of lesser country, more tangible and more cherished than the country at large.	As the classes of an aristocratic people are strongly marked and permanent, each of them is regarded by its own members as a sort of lesser country, more tangible and more cherished than the country at large.	false	1016.51	1030.06	26.01873
2240_148521_000014_000005	As in aristocratic communities all the citizens occupy fixed positions, one above the other, the result is that each of them always sees a man above himself whose patronage is necessary to him, and below himself another man whose co-operation he may claim.	As in aristocratic communities all the citizens occupy fixed positions, one above the other, the result is that each of them always sees a man above himself whose patronage is necessary to him, and below himself another man whose co-operation he may claim.	true	1030.49	1049.35	24.320694
2240_148521_000014_000006	Men living in aristocratic ages are therefore almost always closely attached to something placed out of their own sphere, and they are often disposed to forget themselves.	Men living in aristocratic ages are therefore almost always closely attached to something placed out of their own sphere, and they are often disposed to forget themselves.	true	1049.51	1060.66	24.748325
2240_148521_000014_000007	It is true that in those ages the notion of human fellowship is faint, and that men seldom think of sacrificing themselves for mankind; but they often sacrifice themselves for other men.	It is true that in those ages the notion of human fellowship is faint, and that men seldom think of sacrificing themselves for mankind; but they often sacrifice themselves for other men.	true	1061.39	1074.19	25.201128
2240_148521_000014_000008	In democratic ages, on the contrary, when the duties of each individual to the race are much more clear, devoted service to any one man becomes more rare; the bond of human affection is extended, but it is relaxed.	In democratic ages, on the contrary, when the duties of each individual to the race are much more clear, devoted service to any one man becomes more rare; the bond of human affection is extended, but it is relaxed.	true	1075.01	1091.17	22.142277
2240_148521_000015_000000	Amongst democratic nations new families are constantly springing up, others are constantly falling away, and all that remain change their condition; the woof of time is every instant broken, and the track of generations effaced.	Amongst democratic nations new families are constantly springing up, others are constantly falling away, and all that remain change their condition; the woof of time is every instant broken, and the track of generations effaced.	false	1093.01	1109.56	23.24136
2240_148521_000015_000001	Those who went before are soon forgotten; of those who will come after no one has any idea: the interest of man is confined to those in close propinquity to himself.	Those who went before are soon forgotten; of those who will come after no one has any idea: the interest of man is confined to those in close propinquity to himself.	true	1110.29	1122.16	23.473139
2240_148521_000015_000002	As each class approximates to other classes, and intermingles with them, its members become indifferent and as strangers to one another.	As each class approximates to other classes, and intermingles with them, its members become indifferent and as strangers to one another.	true	1122.89	1132.81	25.39212
2240_148521_000015_000003	Aristocracy had made a chain of all the members of the community, from the peasant to the king: democracy breaks that chain, and severs every link of it.	Aristocracy had made a chain of all the members of the community, from the peasant to the king: democracy breaks that chain, and severs every link of it.	true	1133.36	1145.47	25.245846
2240_148521_000015_000004	As social conditions become more equal, the number of persons increases who, although they are neither rich enough nor powerful enough to exercise any great influence over their fellow-creatures, have nevertheless acquired or retained sufficient education and fortune to satisfy their own wants.	As social conditions become more equal, the number of persons increases who, although they are neither rich enough nor powerful enough to exercise any great influence over their fellow creatures, have nevertheless acquired or retained sufficient education and fortune to satisfy their own wants.	false	1146.17	1167.21	22.856937
2240_148521_000015_000005	They owe nothing to any man, they expect nothing from any man; they acquire the habit of always considering themselves as standing alone, and they are apt to imagine that their whole destiny is in their own hands.	They owe nothing to any man, they expect nothing from any man; they acquire the habit of always considering themselves as standing alone, and they are apt to imagine that their whole destiny is in their own hands.	false	1167.21	1183.11	24.626934
2240_148521_000015_000006	Thus not only does democracy make every man forget his ancestors, but it hides his descendants, and separates his contemporaries from him; it throws him back forever upon himself alone, and threatens in the end to confine him entirely within the solitude of his own heart.	Thus not only does democracy make every man forget his ancestors, but it hides his descendants, and separates his contemporaries from him; it throws him back forever upon himself alone, and threatens in the end to confine him entirely within the solitude of his own heart.	false	1183.11	1206.45	23.756292
2240_148521_000016_000000	Chapter III: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	Chapter three: Individualism Stronger At The Close Of A Democratic Revolution Than At Other Periods	false	1206.45	1211.43	19.44745
2240_148521_000017_000000	The period when the construction of democratic society upon the ruins of an aristocracy has just been completed, is especially that at which this separation of men from one another, and the egotism resulting from it, most forcibly strike the observation.	The period when the construction of democratic society upon the ruins of an aristocracy has just been completed, is especially that at which this separation of men from one another, and the egotism resulting from it, most forcibly strike the observation.	false	1211.43	1216.29	20.955978
2240_148521_000017_000001	Democratic communities not only contain a large number of independent citizens, but they are constantly filled with men who, having entered but yesterday upon their independent condition, are intoxicated with their new power.	Democratic communities not only contain a large number of independent citizens, but they are constantly filled with men who, having entered but yesterday upon their independent condition, are intoxicated with their new power.	false	1216.29	1217.88	23.838142
2240_148521_000017_000002	They entertain a presumptuous confidence in their strength, and as they do not suppose that they can henceforward ever have occasion to claim the assistance of their fellow-creatures, they do not scruple to show that they care for nobody but themselves.	They entertain a presumptuous confidence in their strength, and as they do not suppose that they can henceforward ever have occasion to claim the assistance of their fellow creatures, they do not scruple to show that they care for nobody but themselves.	false	1217.88	1227.21	22.474993
