5261_19373_000000_000000	LECTURE XV	LECTURE fifteen	true	19.53	20.8	25.50369
5261_19373_000003_000006	Wherein, then, lies the difference? How comes it that some classes of prediction--such as that if you put your finger in fire it will get burnt--are childishly easy and commonplace, while others excite in the keenest intellects the highest feelings of admiration?	Wherein, then, lies the difference? How comes it that some classes of prediction-such as that if you put your finger in fire it will get burnt-are childishly easy and commonplace, while others excite in the keenest intellects the highest feelings of admiration?	false	136.16	151.66	23.995516
5261_19373_000003_000007	Mainly, the difference lies, first, in the grounds on which the prediction is based; second, on the difficulty of the investigation whereby it is accomplished; third, in the completeness and the accuracy with which it can be verified.	Mainly, the difference lies, first, in the grounds on which the prediction is based; second, on the difficulty of the investigation whereby it is accomplished; third, in the completeness and the accuracy with which it can be verified.	true	151.91	166.42	22.340479
5261_19373_000003_000008	In all these points, the discovery of Neptune stands out pre-eminently among the verified predictions of science, and the circumstances surrounding it are of singular interest.	In all these points, the discovery of Neptune stands out pre eminently among the verified predictions of science, and the circumstances surrounding it are of singular interest.	false	166.73	177.1	24.748383
5261_19373_000004_000000	In 1781, Sir William Herschel discovered the planet Uranus.	In seventeen eighty one, Sir William Herschel discovered the planet Uranus.	true	177.86	182.08	21.943937
5261_19373_000004_000001	Now you know that three distinct observations suffice to determine the orbit of a planet completely, and that it is well to have the three observations as far apart as possible so as to minimize the effects of minute but necessary errors of observation. (See p. 298.) Directly Uranus was found, therefore, old records of stellar observations were ransacked, with the object of discovering whether it had ever been unwittingly seen before.	Now you know that three distinct observations suffice to determine the orbit of a planet completely, and that it is well to have the three observations as far apart as possible so as to minimize the effects of minute but necessary errors of observation. (See p. two hundred ninety eight.) Directly Uranus was found, therefore, old records of stellar observations were ransacked, with the object of discovering whether it had ever been unwittingly seen before.	false	182.48	205.99	22.97672
5261_19373_000004_000002	If seen, it had been thought of course to be a star (for it shines like a star of the sixth magnitude, and can therefore be just seen without a telescope if one knows precisely where to look for it, and if one has good sight), but if it had been seen and catalogued as a star it would have moved from its place, and the catalogue would by that entry be wrong.	If seen, it had been thought of course to be a star (for it shines like a star of the sixth magnitude, and can therefore be just seen without a telescope if one knows precisely where to look for it, and if one has good sight), but if it had been seen and catalogued as a star it would have moved from its place, and the catalogue would by that entry be wrong.	true	206.24	226.78	24.529055
5261_19373_000004_000003	The thing to detect, therefore, was errors in the catalogues: to examine all entries, and see if the stars entered actually existed, or were any of them missing.	The thing to detect, therefore, was errors in the catalogues: to examine all entries, and see if the stars entered actually existed, or were any of them missing.	false	227.09	236.32	22.060389
5261_19373_000004_000004	If a wrong entry were discovered, it might of course have been due to some clerical error, though that is hardly probable considering the care taken over these things, or it might have been some tailless comet or other, or it might have been the newly found planet.	If a wrong entry were discovered, it might of course have been due to some clerical error, though that is hardly probable considering the care taken over these things, or it might have been some tailless comet or other, or it might have been the newly found planet.	true	236.6	250.27	23.599907
5261_19373_000005_000000	So the next thing was to calculate backwards, and see if by any possibility the planet could have been in that place at that time. Examined in this way the tabulated observations of Flamsteed showed that he had unwittingly observed Uranus five distinct times, the first time in 1690, nearly a century before Herschel discovered its true nature. But more remarkable still, Le Monnier, of Paris, had observed it eight times in one month, cataloguing it each time as a different star.	So the next thing was to calculate backwards, and see if by any possibility the planet could have been in that place at that time. Examined in this way the tabulated observations of Flamsteed showed that he had unwittingly observed Uranus five distinct times, the first time in sixteen ninety, nearly a century before Herschel discovered its true nature. But more remarkable still, Le Monnier, of Paris, had observed it eight times in one month, cataloguing it each time as a different star.	true	251.03	280.42	24.184973
5261_19373_000005_000001	If only he had reduced and compared his observations, he would have anticipated Herschel by twelve years.	If only he had reduced and compared his observations, he would have anticipated Herschel by twelve years.	true	280.73	286.81	23.44105
5261_19373_000005_000002	As it was, he missed it altogether.	As it was, he missed it altogether.	true	287.18	289.57	23.13655
5261_19373_000005_000003	It was seen once by Bradley also.	It was seen once by Bradley also.	true	289.82	292.05	24.609484
5261_19373_000005_000004	Altogether it had been seen twenty times.	Altogether it had been seen twenty times.	true	292.05	295.18	25.46562
5261_19373_000006_000000	These old observations of Flamsteed and those of Le Monnier, combined with those made after Herschel's discovery, were very useful in determining an exact orbit for the new planet, and its motion was considered thoroughly known.	These old observations of Flamsteed and those of Le Monnier, combined with those made after Herschel's discovery, were very useful in determining an exact orbit for the new planet, and its motion was considered thoroughly known.	true	295.79	308.2	22.410225
5261_19373_000006_000001	It was not an _exact_ ellipse, of course: none of the planets describe _exact_ ellipses--each perturbs all the rest, and these small perturbations must be taken into account, those of Jupiter and Saturn being by far the most important.	It was not an underscore exact underscore ellipse, of course: none of the planets describe underscore exact underscore ellipses-each perturbs all the rest, and these small perturbations must be taken into account, those of Jupiter and Saturn being by far the most important.	false	308.51	321.52	24.148994
5261_19373_000007_000000	For a time Uranus seemed to travel regularly and as expected, in the orbit which had been calculated for it; but early in the present century it began to be slightly refractory, and by 1820 its actual place showed quite a distinct discrepancy from its position as calculated with the aid of the old observations.	For a time Uranus seemed to travel regularly and as expected, in the orbit which had been calculated for it; but early in the present century it began to be slightly refractory, and by eighteen twenty its actual place showed quite a distinct discrepancy from its position as calculated with the aid of the old observations.	true	322.28	341.02	23.437061
5261_19373_000007_000001	It was at first thought that this discrepancy must be due to inaccuracies in the older observations, and they were accordingly rejected, and tables prepared for the planet based on the newer and more accurate observations only.	It was at first thought that this discrepancy must be due to inaccuracies in the older observations, and they were accordingly rejected, and tables prepared for the planet based on the newer and more accurate observations only.	true	341.39	352.96	25.353878
5261_19373_000007_000002	But by 1830 it became apparent that it would not accurately obey even these.	But by eighteen thirty it became apparent that it would not accurately obey even these.	true	353.24	358.21	26.88009
5261_19373_000007_000003	The error amounted to some 20".	The error amounted to some twenty inches.	false	358.58	361.59	22.319307
5261_19373_000007_000004	By 1840 it was as much as 90', or a minute and a half.	By eighteen forty it was as much as ninety feet, or a minute and a half.	false	361.59	366.25	24.246876
5261_19373_000007_000005	This discrepancy is quite distinct, but still it is very small, and had two objects been in the heavens at once, the actual Uranus and the theoretical Uranus, no unaided eye could possibly have distinguished them or detected that they were other than a single star.	This discrepancy is quite distinct, but still it is very small, and had two objects been in the heavens at once, the actual Uranus and the theoretical Uranus, no unaided eye could possibly have distinguished them or detected that they were other than a single star.	true	366.5	381.36	25.28545
5261_19373_000008_000000	[Illustration: FIG.	[Illustration: FIG.	false	381.36	381.6	-20
5261_19373_000008_000001	93.--Perturbations of Uranus.	ninety three.--Perturbations of Uranus.	false	381.6	382.215	-20
5261_19373_000009_000000	The chance observations by Flamsteed, by Le Monnier, and others, are plotted in this diagram, as well as the modern determinations made after Herschel had discovered the nature of the planet.	The chance observations by Flamsteed, by Le Monnier, and others, are plotted in this diagram, as well as the modern determinations made after Herschel had discovered the nature of the planet.	false	382.215	383.1	28.95995
5261_19373_000009_000001	The decades are laid off horizontally.	The decades are laid off horizontally.	false	383.1	383.1	
5261_19373_000009_000002	Vertical distance represents the difference between observed and subsequently calculated longitudes--in other words, the principal perturbations caused by Neptune.	Vertical distance represents the difference between observed and subsequently calculated longitudes-in other words, the principal perturbations caused by Neptune.	false	383.1	383.1	
5261_19373_000009_000003	To show the scale, a number of standard things are represented too by lengths measured upwards from the line of time, viz: the smallest quantity perceptible to the naked eye,--the maximum angle of aberration, of nutation, and of stellar parallax; though this last is too small to be properly indicated.	To show the scale, a number of standard things are represented too by lengths measured upwards from the line of time, viz: the smallest quantity perceptible to the naked eye,--the maximum angle of aberration, of nutation, and of stellar parallax; though this last is too small to be properly indicated.	false	383.1	383.1	
5261_19373_000009_000004	The perturbations are much bigger than these; but compared with what can be seen without a telescope they are small--the distance between the component pairs of [epsilon] Lyrae (210") (see fig.	The perturbations are much bigger than these; but compared with what can be seen without a telescope they are small-the distance between the component pairs of [epsilon] Lyrae (two hundred ten") (see fig.	false	383.1	383.43	15.139826
5261_19373_000009_000005	86, page 288), which a few keen-eyed persons can see as a simple double star, being about twice the greatest perturbation.]	eighty six, page two hundred eighty eight), which a few keen eyed persons can see as a simple double star, being about twice the greatest perturbation.]	false	383.43	384.3	23
5261_19373_000010_000000	The diagram shows all the irregularities plotted in the light of our present knowledge; and, to compare with their amounts, a few standard things are placed on the same scale, such as the smallest interval capable of being detected with the unaided eye, the distance of the component stars in [epsilon] Lyrae, the constants of aberration, of nutation, and of stellar parallax.	The diagram shows all the irregularities plotted in the light of our present knowledge; and, to compare with their amounts, a few standard things are placed on the same scale, such as the smallest interval capable of being detected with the unaided eye, the distance of the component stars in [epsilon] Lyrae, the constants of aberration, of nutation, and of stellar parallax.	false	384.3	405.19	24.841335
5261_19373_000011_000000	The errors of Uranus therefore, though small, were enormously greater than things which had certainly been observed; there was an unmistakable discrepancy between theory and observation.	The errors of Uranus therefore, though small, were enormously greater than things which had certainly been observed; there was an unmistakable discrepancy between theory and observation.	false	406.01	416.62	23.553017
5261_19373_000011_000001	Some cause was evidently at work on this distant planet, causing it to disagree with its motion as calculated according to the law of gravitation.	Some cause was evidently at work on this distant planet, causing it to disagree with its motion as calculated according to the law of gravitation.	true	416.93	424.84	25.086184
5261_19373_000011_000002	Some thought that the exact law of gravitation did not apply to so distant a body.	Some thought that the exact law of gravitation did not apply to so distant a body.	true	425.15	429.79	28.066675
5261_19373_000011_000003	Others surmised the presence of some foreign and unknown body, some comet, or some still more distant planet perhaps, whose gravitative attraction for Uranus was the cause of the whole difficulty--some perturbations, in fact, which had not been taken into account because of our ignorance of the existence of the body which caused them.	Others surmised the presence of some foreign and unknown body, some comet, or some still more distant planet perhaps, whose gravitative attraction for Uranus was the cause of the whole difficulty-some perturbations, in fact, which had not been taken into account because of our ignorance of the existence of the body which caused them.	true	430.07	447.97	24.066957
5261_19373_000012_000000	But though such an idea was mentioned among astronomers, it was not regarded with any special favour, and was considered merely as one among a number of hypotheses which could be suggested as fairly probable.	But though such an idea was mentioned among astronomers, it was not regarded with any special favour, and was considered merely as one among a number of hypotheses which could be suggested as fairly probable.	true	448.61	459.67	22.110146
5261_19373_000013_000000	It is perfectly right not to attach much importance to unelaborated guesses.	It is perfectly right not to attach much importance to unelaborated guesses.	true	460.22	464.62	25.077099
5261_19373_000013_000001	Not until the consequences of an hypothesis have been laboriously worked out--not until it can be shown capable of producing the effect quantitatively as well as qualitatively--does its statement rise above the level of a guess, and attain the dignity of a theory.	Not until the consequences of an hypothesis have been laboriously worked out-not until it can be shown capable of producing the effect quantitatively as well as qualitatively-does its statement rise above the level of a guess, and attain the dignity of a theory.	false	464.96	480.04	24.865839
5261_19373_000013_000002	A later stage still occurs when the theory has been actually and completely verified by agreement with observation.	A later stage still occurs when the theory has been actually and completely verified by agreement with observation.	true	480.32	486.52	24.072844
5261_19373_000014_000000	Now the errors in the motion of Uranus, _i.e._ the discrepancy between its observed and calculated longitudes--all known disturbing causes, such as Jupiter and Saturn, being allowed for--are as follows (as quoted by Dr. Haughton) in seconds of arc:--	Now the errors in the motion of Uranus, underscore i e underscore the discrepancy between its observed and calculated longitudes-all known disturbing causes, such as Jupiter and Saturn, being allowed for-are as follows (as quoted by dr Haughton) in seconds of arc:--	false	487.19	502.36	23.354597
5261_19373_000015_000000	ANCIENT OBSERVATIONS (casually made, as of a star).	ANCIENT OBSERVATIONS (casually made, as of a star).	true	503.06	506.89	23.741968
5261_19373_000016_000000	Flamsteed 1690 +61.2 " 1712 +92.7 " 1715 +73.8 Le Monnier 1750 -47.6 Bradley 1753 -39.5 Mayer 1756 -45.7 Le Monnier 1764 -34.9 " 1769 -19.3 " 1771 -2.3	Flamsteed sixteen ninety plus sixty one point two " seventeen twelve plus ninety two point seven " seventeen fifteen plus seventy three point eight Le Monnier seventeen fifty minus forty seven point six Bradley seventeen fifty three minus thirty nine point five Mayer seventeen fifty six minus forty five point seven Le Monnier seventeen sixty four minus thirty four point nine " seventeen sixty nine minus nineteen point three " seventeen seventy one minus two point three	false	507.23	552.28	23.501875
5261_19373_000017_000000	MODERN OBSERVATIONS.	MODERN OBSERVATIONS.	true	552.98	554.47	28.091549
5261_19373_000018_000000	1780 +3.46 1783 +8.45 1786 +12.36 1789 +19.02 1801 +22.21 1810 +23.16 1822 +20.97 1825 +18.16 1828 +10.82 1831 -3.98 1834 -20.80 1837 -42.66 1840 -66.64	seventeen eighty plus three point four six seventeen eighty three plus eight point four five seventeen eighty six plus twelve point three six seventeen eighty nine plus nineteen point zero two eighteen o one plus twenty two point two one eighteen ten plus twenty three point one six eighteen twenty two plus twenty point nine seven eighteen twenty five plus eighteen point one six eighteen twenty eight plus ten point eight two eighteen thirty one minus three point nine eight eighteen thirty four minus twenty point eight zero eighteen thirty seven minus forty two point six six eighteen forty minus sixty six point six four	true	554.78	607.06	24.455753
5261_19373_000019_000000	These are the numbers plotted in the above diagram (Fig. 92), where H marks the discovery of the planet and the beginning of its regular observation.	These are the numbers plotted in the above diagram (Fig. ninety two), where H marks the discovery of the planet and the beginning of its regular observation.	false	607.67	616.6	25.534685
5261_19373_000020_000000	Something was evidently the matter with the planet.	Something was evidently the matter with the planet.	true	617.3	620.05	23.753521
5261_19373_000020_000001	If the law of gravitation held exactly at so great a distance from the sun, there must be some perturbing force acting on it besides all those known ones which had been fully taken into account.	If the law of gravitation held exactly at so great a distance from the sun, there must be some perturbing force acting on it besides all those known ones which had been fully taken into account.	false	620.36	631.18	24.649767
5261_19373_000020_000002	Could it be an outer planet?	Could it be an outer planet?	true	631.43	633.13	27.233852
5261_19373_000020_000003	The question occurred to several, and one or two tried if they could solve the problem, but were soon stopped by the tremendous difficulties of calculation.	The question occurred to several, and one or two tried if they could solve the problem, but were soon stopped by the tremendous difficulties of calculation.	false	633.47	641.23	27.094124
5261_19373_000021_000000	The ordinary problem of perturbation is difficult enough: Given a disturbing planet in such and such a position, to find the perturbations it produces.	The ordinary problem of perturbation is difficult enough: Given a disturbing planet in such and such a position, to find the perturbations it produces.	true	641.96	650.5	24.463112
5261_19373_000021_000001	This problem it was that Laplace worked out in the _Mecanique Celeste_.	This problem it was that Laplace worked out in the underscore Mecanique Celeste underscore.	false	650.81	655.56	25.622164
5261_19373_000022_000000	But the inverse problem: Given the perturbations, to find the planet which causes them--such a problem had never yet been attacked, and by only a few had its possibility been conceived.	But the inverse problem: Given the perturbations, to find the planet which causes them-such a problem had never yet been attacked, and by only a few had its possibility been conceived.	true	655.56	666.13	24.224224
5261_19373_000022_000001	Bessel made preparations for trying what he could do at it in 1840, but he was prevented by fatal illness.	Bessel made preparations for trying what he could do at it in eighteen forty, but he was prevented by fatal illness.	true	666.29	673.33	21.886166
5261_19373_000023_000000	In 1841 the difficulties of the problem presented by these residual perturbations of Uranus excited the imagination of a young student, an undergraduate of St. John's College, Cambridge--John Couch Adams by name--and he determined to have a try at it as soon as he was through his Tripos.	In eighteen forty one the difficulties of the problem presented by these residual perturbations of Uranus excited the imagination of a young student, an undergraduate of saint John's College, Cambridge-john Couch Adams by name-and he determined to have a try at it as soon as he was through his Tripos.	false	673.73	690.49	24.610857
5261_19373_000023_000001	In January, 1843, he graduated as Senior Wrangler, and shortly afterwards he set to work.	In January, eighteen forty three, he graduated as Senior Wrangler, and shortly afterwards he set to work.	true	690.86	697.6	21.537895
5261_19373_000023_000002	In less than two years he reached a definite conclusion; and in October, 1845, he wrote to the Astronomer-Royal, at Greenwich, Professor Airy, saying that the perturbations of Uranus would be explained by assuming the existence of an outer planet, which he reckoned was now situated in a specified latitude and longitude.	In less than two years he reached a definite conclusion; and in October, eighteen forty five, he wrote to the Astronomer Royal, at Greenwich, Professor Airy, saying that the perturbations of Uranus would be explained by assuming the existence of an outer planet, which he reckoned was now situated in a specified latitude and longitude.	false	697.85	717.19	24.608904
5261_19373_000024_000000	We know now that had the Astronomer-Royal put sufficient faith in this result to point his big telescope to the spot indicated and commence sweeping for a planet, he would have detected it within 1-3/4 deg. of the place assigned to it by Mr. Adams.	We know now that had the Astronomer Royal put sufficient faith in this result to point his big telescope to the spot indicated and commence sweeping for a planet, he would have detected it within one minus three quarters d e g. of the place assigned to it by mr Adams.	false	717.77	731.74	25.992628
5261_19373_000024_000001	But any one in the position of the Astronomer-Royal knows that almost every post brings an absurd letter from some ambitious correspondent or other, some of them having just discovered perpetual motion, or squared the circle, or proved the earth flat, or discovered the constitution of the moon, or of ether, or of electricity; and out of this mass of rubbish it requires great skill and patience to detect such gems of value as there may be.	But any one in the position of the Astronomer Royal knows that almost every post brings an absurd letter from some ambitious correspondent or other, some of them having just discovered perpetual motion, or squared the circle, or proved the earth flat, or discovered the constitution of the moon, or of ether, or of electricity; and out of this mass of rubbish it requires great skill and patience to detect such gems of value as there may be.	true	731.99	756.91	23.756569
5261_19373_000025_000000	Now this letter of Mr. Adams's was indeed a jewel of the first water, and no doubt bore on its face a very different appearance from the chaff of which I have spoken; but still Mr. Adams was an unknown man: he had graduated as Senior Wrangler it is true, but somebody must graduate as Senior Wrangler every year, and every year by no means produces a first-rate mathematician.	Now this letter of mr Adams's was indeed a jewel of the first water, and no doubt bore on its face a very different appearance from the chaff of which I have spoken; but still mr Adams was an unknown man: he had graduated as Senior Wrangler it is true, but somebody must graduate as Senior Wrangler every year, and every year by no means produces a first rate mathematician.	false	757.64	779.62	22.632322
5261_19373_000025_000001	Those behind the scenes, as Professor Airy of course was, having been a Senior Wrangler himself, knew perfectly well that the labelling of a young man on taking his degree is much more worthless as a testimony to his genius and ability than the general public are apt to suppose.	Those behind the scenes, as Professor Airy of course was, having been a Senior Wrangler himself, knew perfectly well that the labelling of a young man on taking his degree is much more worthless as a testimony to his genius and ability than the general public are apt to suppose.	false	779.9	795.43	23.747412
5261_19373_000026_000000	Was it likely that a young and unknown man should have successfully solved so extremely difficult a problem?	Was it likely that a young and unknown man should have successfully solved so extremely difficult a problem?	true	795.83	801.61	23.20536
5261_19373_000026_000001	It was altogether unlikely. Still, he would test him: he would ask for further explanations concerning some of the perturbations which he himself had specially noticed, and see if Mr. Adams could explain these also by his hypothesis.	It was altogether unlikely. Still, he would test him: he would ask for further explanations concerning some of the perturbations which he himself had specially noticed, and see if mr Adams could explain these also by his hypothesis.	true	801.83	814.78	22.685211
5261_19373_000026_000002	If he could, there might be something in his theory.	If he could, there might be something in his theory.	true	815.03	817.78	27.575073
5261_19373_000026_000003	If he failed--well, there was an end of it.	If he failed-well, there was an end of it.	true	818.06	821.05	26.685234
5261_19373_000026_000004	The questions were not difficult. They concerned the error of the radius vector.	The questions were not difficult. They concerned the error of the radius vector.	true	821.39	825.67	24.26068
5261_19373_000026_000005	Mr. Adams could have answered them with perfect ease; but sad to say, though a brilliant mathematician, he was not a man of business.	mr Adams could have answered them with perfect ease; but sad to say, though a brilliant mathematician, he was not a man of business.	false	825.92	833.11	26.212723
5261_19373_000026_000006	He did not answer Professor Airy's letter.	He did not answer Professor Airy's letter.	true	833.48	835.9	22.15971
5261_19373_000027_000000	It may to many seem a pity that the Greenwich Equatoreal was not pointed to the place, just to see whether any foreign object did happen to be in that neighbourhood; but it is no light matter to derange the work of an Observatory, and alter the work mapped out for the staff into a sudden sweep for a new planet, on the strength of a mathematical investigation just received by post.	It may to many seem a pity that the Greenwich Equatoreal was not pointed to the place, just to see whether any foreign object did happen to be in that neighbourhood; but it is no light matter to derange the work of an Observatory, and alter the work mapped out for the staff into a sudden sweep for a new planet, on the strength of a mathematical investigation just received by post.	false	836.54	856.39	26.537874
5261_19373_000027_000001	If observatories were conducted on these unsystematic and spasmodic principles, they would not be the calm, accurate, satisfactory places they are.	If observatories were conducted on these unsystematic and spasmodic principles, they would not be the calm, accurate, satisfactory places they are.	true	856.64	864.76	24.615124
5261_19373_000028_000000	Of course, if any one could have known that a new planet was to be had for the looking, _any_ course would have been justified; but no one could know this.	Of course, if any one could have known that a new planet was to be had for the looking, underscore any underscore course would have been justified; but no one could know this.	false	865.46	873.22	24.736814
5261_19373_000028_000001	I do not suppose that Mr. Adams himself could feel all that confidence in his attempted prediction.	I do not suppose that mr Adams himself could feel all that confidence in his attempted prediction.	true	873.56	878.58	23.337042
5261_19373_000028_000002	So there the matter dropped.	So there the matter dropped.	true	878.58	880.39	28.2441
5261_19373_000028_000003	Mr. Adams's communication was pigeon-holed, and remained in seclusion for eight or nine months.	mr Adams's communication was pigeon holed, and remained in seclusion for eight or nine months.	true	880.58	886.45	21.64519
5261_19373_000029_000000	Meanwhile, and quite independently, something of the same sort was going on in France.	Meanwhile, and quite independently, something of the same sort was going on in France.	true	886.52	891.25	26.283695
5261_19373_000029_000001	A brilliant young mathematician, born in Normandy in 1811, had accepted the post of Astronomical Professor at the Ecole Polytechnique, then recently founded by Napoleon.	A brilliant young mathematician, born in Normandy in eighteen eleven, had accepted the post of Astronomical Professor at the Ecole Polytechnique, then recently founded by Napoleon.	true	891.65	901.57	23.885141
5261_19373_000029_000002	His first published papers directed attention to his wonderful powers; and the official head of astronomy in France, the famous Arago, suggested to him the unexplained perturbations of Uranus as a worthy object for his fresh and well-armed vigour.	His first published papers directed attention to his wonderful powers; and the official head of astronomy in France, the famous Arago, suggested to him the unexplained perturbations of Uranus as a worthy object for his fresh and well armed vigour.	true	901.91	915.61	24.528917
5261_19373_000030_000000	At once he set to work in a thorough and systematic way.	At once he set to work in a thorough and systematic way.	true	916.13	919.36	25.776655
5261_19373_000030_000001	He first considered whether the discrepancies could be due to errors in the tables or errors in the old observations.	He first considered whether the discrepancies could be due to errors in the tables or errors in the old observations.	true	919.67	925.39	21.839685
5261_19373_000030_000002	He discussed them with minute care, and came to the conclusion that they were not thus to be explained away.	He discussed them with minute care, and came to the conclusion that they were not thus to be explained away.	false	925.73	931.03	24.352488
5261_19373_000030_000003	This part of the work he published in November, 1845.	This part of the work he published in November, eighteen forty five.	true	931.31	935.02	25.47195
5261_19373_000031_000000	He then set to work to consider the perturbations produced by Jupiter and Saturn, to see if they had been with perfect accuracy allowed for, or whether some minute improvements could be made sufficient to destroy the irregularities.	He then set to work to consider the perturbations produced by Jupiter and Saturn, to see if they had been with perfect accuracy allowed for, or whether some minute improvements could be made sufficient to destroy the irregularities.	false	935.72	947.02	26.228685
5261_19373_000031_000001	He introduced several fresh terms into these perturbations, but none of them of sufficient magnitude to do more than slightly lessen the unexplained perturbations.	He introduced several fresh terms into these perturbations, but none of them of sufficient magnitude to do more than slightly lessen the unexplained perturbations.	true	947.39	955.48	21.760162
5261_19373_000032_000000	He next examined the various hypotheses that had been suggested to account for them:--Was it a failure in the law of gravitation?	He next examined the various hypotheses that had been suggested to account for them:--Was it a failure in the law of gravitation?	true	956.24	963.07	22.69577
5261_19373_000032_000001	Was it due to the presence of a resisting medium?	Was it due to the presence of a resisting medium?	true	963.35	965.89	25.919157
5261_19373_000032_000002	Was it due to some unseen but large satellite?	Was it due to some unseen but large satellite?	false	966.14	968.77	21.567905
5261_19373_000032_000003	Or was it due to a collision with some comet?	Or was it due to a collision with some comet?	true	969.08	971.53	27.130737
5261_19373_000033_000000	All these he examined and dismissed for various reasons one after the other.	All these he examined and dismissed for various reasons one after the other.	true	972.29	976.42	20.956253
5261_19373_000033_000001	It was due to some steady continuous cause--for instance, some unknown planet.	It was due to some steady continuous cause-for instance, some unknown planet.	true	976.64	981.94	24.133427
5261_19373_000033_000002	Could this planet be inside the orbit of Uranus?	Could this planet be inside the orbit of Uranus?	true	982.25	984.88	24.195917
5261_19373_000033_000003	No, for then it would perturb Saturn and Jupiter also, and they were not perturbed by it.	No, for then it would perturb Saturn and Jupiter also, and they were not perturbed by it.	true	985.22	990.49	22.697975
5261_19373_000033_000004	It must, therefore, be some planet outside the orbit of Uranus, and in all probability, according to Bode's empirical law, at nearly double the distance from the sun that Uranus is.	It must, therefore, be some planet outside the orbit of Uranus, and in all probability, according to Bode's empirical law, at nearly double the distance from the sun that Uranus is.	true	990.77	1000.6	24.886837
5261_19373_000033_000005	Lastly he proceeded to examine where this planet was, and what its orbit must be to produce the observed disturbances.	Lastly he proceeded to examine where this planet was, and what its orbit must be to produce the observed disturbances.	true	1000.97	1007.73	24.44577
5261_19373_000034_000000	[Illustration: FIG.	[Illustration: FIG.	false	1007.73	1007.73	
5261_19373_000034_000001	94.--Uranus's and Neptune's relative positions.	ninety four.--Uranus's and Neptune's relative positions.	false	1007.73	1007.79	-20
5261_19373_000035_000000	The above diagram, drawn to scale by Dr. Haughton, shows the paths of Uranus and Neptune, and their positions from 1781 to 1840, and illustrates the _direction_ of their mutual perturbing force.	The above diagram, drawn to scale by dr Haughton, shows the paths of Uranus and Neptune, and their positions from seventeen eighty one to eighteen forty, and illustrates the underscore direction underscore of their mutual perturbing force.	false	1007.79	1008.15	-20
