5635_44582_000000_000000	--EDWARD EVERETT.	--EDWARD EVERETT.	false	7.77	18.87	24.044191
5635_44582_000014_000004	To concentrate is simply to attend to one thing, and attend to nothing else.	To concentrate is simply to attend to one thing, and attend to nothing else.	true	390.71	395.5	21.801924
5635_44582_000014_000005	If you find that you cannot do that, there is something wrong--attend to that first.	If you find that you cannot do that, there is something wrong-attend to that first.	true	395.72	400.48	22.16963
5635_44582_000014_000006	Remove the cause and the symptom will disappear.	Remove the cause and the symptom will disappear.	true	401.3	403.69	24.525475
5635_44582_000014_000007	Read the chapter on "Will Power." Cultivate your will by willing and then doing, at all costs. Concentrate--and you will win.	Read the chapter on "Will Power." Cultivate your will by willing and then doing, at all costs. Concentrate-and you will win.	true	404.57	412.9	21.553814
5635_44582_000015_000000	QUESTIONS AND EXERCISES	QUESTIONS AND EXERCISES	true	415.04	416.8	27.15101
5635_44582_000016_000000	1.	one.	true	418.46	419.17	20.505892
5635_44582_000016_000001	Select from any source several sentences suitable for speaking aloud; deliver them first in the manner condemned in this chapter, and second with due regard for emphasis toward the close of each sentence.	Select from any source several sentences suitable for speaking aloud; deliver them first in the manner condemned in this chapter, and second with due regard for emphasis toward the close of each sentence.	true	419.6	429.81	23.178604
5635_44582_000017_000000	2.	two.	false	429.81	433.14	20.4677
5635_44582_000017_000001	Put into about one hundred words your impression of the effect produced.	Put into about one hundred words your impression of the effect produced.	true	433.14	436.75	20.825531
5635_44582_000018_000000	3.	three.	true	438.5	439.18	30.02221
5635_44582_000018_000001	Tell of any peculiar methods you may have observed or heard of by which speakers have sought to aid their powers of concentration, such as looking fixedly at a blank spot in the ceiling, or twisting a watch charm.	Tell of any peculiar methods you may have observed or heard of by which speakers have sought to aid their powers of concentration, such as looking fixedly at a blank spot in the ceiling, or twisting a watch charm.	true	439.88	451.14	22.882557
5635_44582_000019_000000	4.	four.	false	451.14	454.08	18.274527
5635_44582_000019_000001	What effect do such habits have on the audience?	What effect do such habits have on the audience?	true	454.08	456.43	21.660334
5635_44582_000020_000000	5.	five.	true	458.18	459.01	26.302563
5635_44582_000020_000001	What relation does pause bear to concentration?	What relation does pause bear to concentration?	true	459.26	462.1	24.883018
5635_44582_000021_000000	6.	six.	true	463.64	464.41	26.860704
5635_44582_000021_000001	Tell why concentration naturally helps a speaker to change pitch, tempo, and emphasis.	Tell why concentration naturally helps a speaker to change pitch, tempo, and emphasis.	true	465.02	469.9	25.195465
5635_44582_000022_000000	7.	seven.	true	471.86	472.63	24.913328
5635_44582_000022_000001	Read the following selection through to get its meaning and spirit clearly in your mind.	Read the following selection through to get its meaning and spirit clearly in your mind.	true	473	477.01	22.855799
5635_44582_000022_000002	Then read it aloud, concentrating solely on the thought that you are expressing--do not trouble about the sentence or thought that is coming.	Then read it aloud, concentrating solely on the thought that you are expressing-do not trouble about the sentence or thought that is coming.	true	477.38	484.24	23.215593
5635_44582_000022_000003	Half the troubles of mankind arise from anticipating trials that never occur.	Half the troubles of mankind arise from anticipating trials that never occur.	false	484.88	488.89	21.877937
5635_44582_000022_000004	Avoid this in speaking.	Avoid this in speaking.	true	489.11	490.57	17.493616
5635_44582_000022_000005	Make the end of your sentences just as strong as the beginning.	Make the end of your sentences just as strong as the beginning.	true	490.91	493.59	19
5635_44582_000022_000006	_CONCENTRATE._	underscore CONCENTRATE.underscore	false	493.59	497.07	18.576025
5635_44582_000023_000000	_WAR!_	underscore WAR!underscore	false	497.07	500.34	17.28046
5635_44582_000024_000000	The last of the savage instincts is war.	The last of the savage instincts is war.	false	500.34	502.78	22.876516
5635_44582_000024_000001	The cave man's club made law and procured food.	The cave man's club made law and procured food.	true	503.39	506.38	22.005558
5635_44582_000024_000002	Might decreed right.	Might decreed right.	true	506.57	508.24	30.520742
5635_44582_000024_000003	Warriors were saviours.	Warriors were saviours.	true	508.58	510.19	21.75615
5635_44582_000025_000000	In Nazareth a carpenter laid down the saw and preached the brotherhood of man.	In Nazareth a carpenter laid down the saw and preached the brotherhood of man.	true	511.19	515.65	21.726767
5635_44582_000025_000001	Twelve centuries afterwards his followers marched to the Holy Land to destroy all who differed with them in the worship of the God of Love.	Twelve centuries afterwards his followers marched to the Holy Land to destroy all who differed with them in the worship of the God of Love.	true	516.23	523.45	22.449556
5635_44582_000025_000002	Triumphantly they wrote "In Solomon's Porch and in his temple our men rode in the blood of the Saracens up to the knees of their horses."	Triumphantly they wrote "In Solomon's Porch and in his temple our men rode in the blood of the Saracens up to the knees of their horses."	true	523.88	531.04	22.05691
5635_44582_000026_000000	History is an appalling tale of war.	History is an appalling tale of war.	true	532.25	534.91	24.77712
5635_44582_000026_000001	In the seventeenth century Germany, France, Sweden, and Spain warred for thirty years.	In the seventeenth century Germany, France, Sweden, and Spain warred for thirty years.	true	535.43	540.49	21.720493
5635_44582_000026_000002	At Magdeburg 30,000 out of 36,000 were killed regardless of sex or age.	At Magdeburg thirty thousand out of thirty six thousand were killed regardless of sex or age.	true	541.07	546.49	21.99875
5635_44582_000026_000003	In Germany schools were closed for a third of a century, homes burned, women outraged, towns demolished, and the untilled land became a wilderness.	In Germany schools were closed for a third of a century, homes burned, women outraged, towns demolished, and the untilled land became a wilderness.	true	546.83	556.45	23.147799
5635_44582_000027_000000	Two-thirds of Germany's property was destroyed and 18,000,000 of her citizens were killed, because men quarrelled about the way to glorify "The Prince of Peace." Marching through rain and snow, sleeping on the ground, eating stale food or starving, contracting diseases and facing guns that fire six hundred times a minute, for fifty cents a day--this is the soldier's life.	Two thirds of Germany's property was destroyed and eighteen million of her citizens were killed, because men quarrelled about the way to glorify "The Prince of Peace." Marching through rain and snow, sleeping on the ground, eating stale food or starving, contracting diseases and facing guns that fire six hundred times a minute, for fifty cents a day-this is the soldier's life.	true	557.78	579.76	22.90695
5635_44582_000028_000000	At the window sits the widowed mother crying.	At the window sits the widowed mother crying.	true	580.88	583.63	24.344921
5635_44582_000028_000001	Little children with tearful faces pressed against the pane watch and wait. Their means of livelihood, their home, their happiness is gone. Fatherless children, broken-hearted women, sick, disabled and dead men--this is the wage of war.	Little children with tearful faces pressed against the pane watch and wait. Their means of livelihood, their home, their happiness is gone. Fatherless children, broken hearted women, sick, disabled and dead men-this is the wage of war.	true	584.21	600.04	21.436348
5635_44582_000029_000000	We spend more money preparing men to kill each other than we do in teaching them to live.	We spend more money preparing men to kill each other than we do in teaching them to live.	true	601.25	606.01	27.442316
5635_44582_000029_000001	We spend more money building one battleship than in the annual maintenance of all our state universities.	We spend more money building one battleship than in the annual maintenance of all our state universities.	true	606.47	611.74	20.650778
5635_44582_000029_000002	The financial loss resulting from destroying one another's homes in the civil war would have built 15,000,000 houses, each costing $2,000.	The financial loss resulting from destroying one another's homes in the civil war would have built fifteen million houses, each costing two thousand dollars.	true	612.5	620.53	22.904957
5635_44582_000029_000003	We pray for love but prepare for hate.	We pray for love but prepare for hate.	true	621.47	624.79	20.416712
5635_44582_000029_000004	We preach peace but equip for war.	We preach peace but equip for war.	false	625.43	628.39	25.241089
5635_44582_000030_000000	Were half the power that fills the world with terror, Were half the wealth bestowed on camp and court Given to redeem this world from error, There would be no need of arsenal and fort.	Were half the power that fills the world with terror, Were half the wealth bestowed on camp and court Given to redeem this world from error, There would be no need of arsenal and fort.	false	629.75	640.45	22.657024
5635_44582_000031_000000	War only defers a question.	War only defers a question.	true	642.32	644.23	22.184175
5635_44582_000031_000001	No issue will ever really be settled until it is settled rightly.	No issue will ever really be settled until it is settled rightly.	true	644.6	648.04	19.29133
5635_44582_000031_000002	Like rival "gun gangs" in a back alley, the nations of the world, through the bloody ages, have fought over their differences.	Like rival "gun gangs" in a back alley, the nations of the world, through the bloody ages, have fought over their differences.	true	648.47	654.52	21.087269
5635_44582_000031_000003	Denver cannot fight Chicago and Iowa cannot fight Ohio.	Denver cannot fight Chicago and Iowa cannot fight Ohio.	true	655.46	659.8	24.12743
5635_44582_000031_000004	Why should Germany be permitted to fight France, or Bulgaria fight Turkey?	Why should Germany be permitted to fight France, or Bulgaria fight Turkey?	true	660.38	664.66	20.10435
5635_44582_000032_000000	When mankind rises above creeds, colors and countries, when we are citizens, not of a nation, but of the world, the armies and navies of the earth will constitute an international police force to preserve the peace and the dove will take the eagle's place.	When mankind rises above creeds, colors and countries, when we are citizens, not of a nation, but of the world, the armies and navies of the earth will constitute an international police force to preserve the peace and the dove will take the eagle's place.	true	665.48	679.72	21.625097
5635_44582_000033_000000	Our differences will be settled by an international court with the power to enforce its mandates.	Our differences will be settled by an international court with the power to enforce its mandates.	true	680.99	685.99	21.637999
5635_44582_000033_000001	In times of peace prepare for peace.	In times of peace prepare for peace.	true	686.84	690.46	24.038687
5635_44582_000033_000002	The wages of war are the wages of sin, and the "wages of sin is death."	The wages of war are the wages of sin, and the "wages of sin is death."	true	691.46	696.21	21.712791
5635_44582_000034_000000	--_Editorial by D.C., Leslie's Weekly; used by permission._	--underscore Editorial by d c, Leslie's Weekly; used by permission.underscore	false	696.21	702.51	19.768633
5635_44582_000035_000000	CHAPTER IX	CHAPTER nine	false	702.51	703.29	-20
5635_44582_000036_000000	FORCE	FORCE	false	703.29	703.68	100
5635_44582_000037_000000	However, 'tis expedient to be wary: Indifference, certes, don't produce distress; And rash enthusiasm in good society Were nothing but a moral inebriety.	However, 'tis expedient to be wary: Indifference, certes, don't produce distress; And rash enthusiasm in good society Were nothing but a moral inebriety.	false	703.68	712.83	21.901945
