5635_44582_000002_000000	CONCENTRATION IN DELIVERY	CONCENTRATION IN DELIVERY
5635_44582_000012_000001	Such speeches lose nothing by repetition for the perfectly patent reason that they arise from concentrated thought and feeling and not a mere necessity for saying something--which usually means anything, and that, in turn, is tantamount to nothing.	Such speeches lose nothing by repetition for the perfectly patent reason that they arise from concentrated thought and feeling and not a mere necessity for saying something-which usually means anything, and that, in turn, is tantamount to nothing.
5635_44582_000012_000003	Words are only a result.	Words are only a result.
5635_44582_000012_000004	Do not try to get the result without stimulating the cause.	Do not try to get the result without stimulating the cause.
5635_44582_000013_000002	Think of how a lens gathers and concenters the rays of light within a given circle.	Think of how a lens gathers and concenters the rays of light within a given circle.
5635_44582_000013_000003	It centers them by a process of withdrawal.	It centers them by a process of withdrawal.
5635_44582_000013_000004	It may seem like a harsh saying, but the man who cannot concentrate is either weak of will, a nervous wreck, or has never learned what will-power is good for.	It may seem like a harsh saying, but the man who cannot concentrate is either weak of will, a nervous wreck, or has never learned what will power is good for.
5635_44582_000014_000000	You must concentrate by resolutely withdrawing your attention from everything else.	You must concentrate by resolutely withdrawing your attention from everything else.
5635_44582_000014_000001	If you concentrate your thought on a pain which may be afflicting you, that pain will grow more intense.	If you concentrate your thought on a pain which may be afflicting you, that pain will grow more intense.
5635_44582_000014_000002	"Count your blessings" and they will multiply.	"Count your blessings" and they will multiply.
5635_44582_000014_000003	Center your thought on your strokes and your tennis play will gradually improve.	Center your thought on your strokes and your tennis play will gradually improve.
5635_44582_000014_000004	To concentrate is simply to attend to one thing, and attend to nothing else.	To concentrate is simply to attend to one thing, and attend to nothing else.
5635_44582_000014_000005	If you find that you cannot do that, there is something wrong--attend to that first.	If you find that you cannot do that, there is something wrong-attend to that first.
5635_44582_000014_000006	Remove the cause and the symptom will disappear.	Remove the cause and the symptom will disappear.
5635_44582_000014_000007	Read the chapter on "Will Power." Cultivate your will by willing and then doing, at all costs. Concentrate--and you will win.	Read the chapter on "Will Power." Cultivate your will by willing and then doing, at all costs. Concentrate-and you will win.
5635_44582_000015_000000	QUESTIONS AND EXERCISES	QUESTIONS AND EXERCISES
5635_44582_000016_000000	1.	one.
5635_44582_000016_000001	Select from any source several sentences suitable for speaking aloud; deliver them first in the manner condemned in this chapter, and second with due regard for emphasis toward the close of each sentence.	Select from any source several sentences suitable for speaking aloud; deliver them first in the manner condemned in this chapter, and second with due regard for emphasis toward the close of each sentence.
5635_44582_000017_000001	Put into about one hundred words your impression of the effect produced.	Put into about one hundred words your impression of the effect produced.
5635_44582_000018_000000	3.	three.
5635_44582_000018_000001	Tell of any peculiar methods you may have observed or heard of by which speakers have sought to aid their powers of concentration, such as looking fixedly at a blank spot in the ceiling, or twisting a watch charm.	Tell of any peculiar methods you may have observed or heard of by which speakers have sought to aid their powers of concentration, such as looking fixedly at a blank spot in the ceiling, or twisting a watch charm.
5635_44582_000019_000001	What effect do such habits have on the audience?	What effect do such habits have on the audience?
5635_44582_000020_000000	5.	five.
5635_44582_000020_000001	What relation does pause bear to concentration?	What relation does pause bear to concentration?
5635_44582_000021_000000	6.	six.
5635_44582_000021_000001	Tell why concentration naturally helps a speaker to change pitch, tempo, and emphasis.	Tell why concentration naturally helps a speaker to change pitch, tempo, and emphasis.
5635_44582_000022_000000	7.	seven.
5635_44582_000022_000001	Read the following selection through to get its meaning and spirit clearly in your mind.	Read the following selection through to get its meaning and spirit clearly in your mind.
5635_44582_000022_000002	Then read it aloud, concentrating solely on the thought that you are expressing--do not trouble about the sentence or thought that is coming.	Then read it aloud, concentrating solely on the thought that you are expressing-do not trouble about the sentence or thought that is coming.
5635_44582_000024_000001	The cave man's club made law and procured food.	The cave man's club made law and procured food.
5635_44582_000024_000002	Might decreed right.	Might decreed right.
5635_44582_000024_000003	Warriors were saviours.	Warriors were saviours.
5635_44582_000025_000000	In Nazareth a carpenter laid down the saw and preached the brotherhood of man.	In Nazareth a carpenter laid down the saw and preached the brotherhood of man.
5635_44582_000025_000001	Twelve centuries afterwards his followers marched to the Holy Land to destroy all who differed with them in the worship of the God of Love.	Twelve centuries afterwards his followers marched to the Holy Land to destroy all who differed with them in the worship of the God of Love.
5635_44582_000025_000002	Triumphantly they wrote "In Solomon's Porch and in his temple our men rode in the blood of the Saracens up to the knees of their horses."	Triumphantly they wrote "In Solomon's Porch and in his temple our men rode in the blood of the Saracens up to the knees of their horses."
5635_44582_000026_000000	History is an appalling tale of war.	History is an appalling tale of war.
5635_44582_000026_000001	In the seventeenth century Germany, France, Sweden, and Spain warred for thirty years.	In the seventeenth century Germany, France, Sweden, and Spain warred for thirty years.
5635_44582_000026_000002	At Magdeburg 30,000 out of 36,000 were killed regardless of sex or age.	At Magdeburg thirty thousand out of thirty six thousand were killed regardless of sex or age.
5635_44582_000026_000003	In Germany schools were closed for a third of a century, homes burned, women outraged, towns demolished, and the untilled land became a wilderness.	In Germany schools were closed for a third of a century, homes burned, women outraged, towns demolished, and the untilled land became a wilderness.
5635_44582_000027_000000	Two-thirds of Germany's property was destroyed and 18,000,000 of her citizens were killed, because men quarrelled about the way to glorify "The Prince of Peace." Marching through rain and snow, sleeping on the ground, eating stale food or starving, contracting diseases and facing guns that fire six hundred times a minute, for fifty cents a day--this is the soldier's life.	Two thirds of Germany's property was destroyed and eighteen million of her citizens were killed, because men quarrelled about the way to glorify "The Prince of Peace." Marching through rain and snow, sleeping on the ground, eating stale food or starving, contracting diseases and facing guns that fire six hundred times a minute, for fifty cents a day-this is the soldier's life.
5635_44582_000028_000000	At the window sits the widowed mother crying.	At the window sits the widowed mother crying.
5635_44582_000028_000001	Little children with tearful faces pressed against the pane watch and wait. Their means of livelihood, their home, their happiness is gone. Fatherless children, broken-hearted women, sick, disabled and dead men--this is the wage of war.	Little children with tearful faces pressed against the pane watch and wait. Their means of livelihood, their home, their happiness is gone. Fatherless children, broken hearted women, sick, disabled and dead men-this is the wage of war.
5635_44582_000029_000000	We spend more money preparing men to kill each other than we do in teaching them to live.	We spend more money preparing men to kill each other than we do in teaching them to live.
5635_44582_000029_000001	We spend more money building one battleship than in the annual maintenance of all our state universities.	We spend more money building one battleship than in the annual maintenance of all our state universities.
5635_44582_000029_000002	The financial loss resulting from destroying one another's homes in the civil war would have built 15,000,000 houses, each costing $2,000.	The financial loss resulting from destroying one another's homes in the civil war would have built fifteen million houses, each costing two thousand dollars.
5635_44582_000029_000003	We pray for love but prepare for hate.	We pray for love but prepare for hate.
5635_44582_000031_000000	War only defers a question.	War only defers a question.
5635_44582_000031_000002	Like rival "gun gangs" in a back alley, the nations of the world, through the bloody ages, have fought over their differences.	Like rival "gun gangs" in a back alley, the nations of the world, through the bloody ages, have fought over their differences.
5635_44582_000031_000003	Denver cannot fight Chicago and Iowa cannot fight Ohio.	Denver cannot fight Chicago and Iowa cannot fight Ohio.
5635_44582_000031_000004	Why should Germany be permitted to fight France, or Bulgaria fight Turkey?	Why should Germany be permitted to fight France, or Bulgaria fight Turkey?
5635_44582_000032_000000	When mankind rises above creeds, colors and countries, when we are citizens, not of a nation, but of the world, the armies and navies of the earth will constitute an international police force to preserve the peace and the dove will take the eagle's place.	When mankind rises above creeds, colors and countries, when we are citizens, not of a nation, but of the world, the armies and navies of the earth will constitute an international police force to preserve the peace and the dove will take the eagle's place.
5635_44582_000033_000000	Our differences will be settled by an international court with the power to enforce its mandates.	Our differences will be settled by an international court with the power to enforce its mandates.
5635_44582_000033_000001	In times of peace prepare for peace.	In times of peace prepare for peace.
5635_44582_000033_000002	The wages of war are the wages of sin, and the "wages of sin is death."	The wages of war are the wages of sin, and the "wages of sin is death."
