6643_67858_000004_000000	CHAPTER XV	CHAPTER fifteen
6643_67858_000036_000001	"My father will come and find me, I know he will," she said aloud, almost ready to cry. "I'll wait here, and keep calling 'Estralla,' so he will hear me."	"My father will come and find me, I know he will," she said aloud, almost ready to cry. "I'll wait here, and keep calling 'Estralla,' so he will hear me."
6643_67858_000037_000001	"Tell Sylvia I won't be gone long," she had said to Grace.	"Tell Sylvia I won't be gone long," she had said to Grace.
6643_67858_000038_000000	Grace did not mind being alone until Sylvia returned.	Grace did not mind being alone until Sylvia returned.
6643_67858_000038_000001	She helped herself to the rich creamy chocolate and the little frosted cakes, and then curled up on a broad couch near the window with a book full of wonderful pictures.	She helped herself to the rich creamy chocolate and the little frosted cakes, and then curled up on a broad couch near the window with a book full of wonderful pictures.
6643_67858_000038_000002	The pictures were of a tall man on horseback, and a short, fat man on a donkey.	The pictures were of a tall man on horseback, and a short, fat man on a donkey.
6643_67858_000038_000003	"The Adventures of Don Quixote," was the title of the book, and after Grace began to read she entirely forgot Sylvia, Estralla, and Mrs. Carleton.	"The Adventures of Don Quixote," was the title of the book, and after Grace began to read she entirely forgot Sylvia, Estralla, and mrs Carleton.
6643_67858_000039_000000	"All ready to start!" said Mr. Fulton, "and it will be dusk before we reach home.	"All ready to start!" said mr Fulton, "and it will be dusk before we reach home.
6643_67858_000040_000000	"Oh!" exclaimed Grace, looking up in surprise.	"Oh!" exclaimed Grace, looking up in surprise.
6643_67858_000040_000002	Mrs. Carleton has just gone to the next house."	mrs Carleton has just gone to the next house."
6643_67858_000041_000000	"Well, put on your things and run after them, that's a good girl," said Mr. Fulton.	"Well, put on your things and run after them, that's a good girl," said mr Fulton.
6643_67858_000041_000001	"Why, here is Estralla now," he added, as the little colored girl appeared at the door.	"Why, here is Estralla now," he added, as the little colored girl appeared at the door.
6643_67858_000043_000000	"Where is Sylvia?" echoed Mrs. Carleton, who came in at that moment. "Has she gone to the boat?"	"Where is Sylvia?" echoed mrs Carleton, who came in at that moment. "Has she gone to the boat?"
6643_67858_000044_000000	"Why, I don't know.	"Why, I don't know.
6643_67858_000044_000001	Perhaps she has.	Perhaps she has.
6643_67858_000044_000002	Mr. Fulton said for us to come right to the landing," said Grace, her thoughts still full of the faithful Sancho Panza of whom she had been reading.	mr Fulton said for us to come right to the landing," said Grace, her thoughts still full of the faithful Sancho Panza of whom she had been reading.
6643_67858_000045_000000	"I will go to the wharf with you.	"I will go to the wharf with you.
6643_67858_000045_000001	It was too bad to leave you.	It was too bad to leave you.
6643_67858_000045_000003	Perhaps I may not be permitted to have visitors much longer," said Mrs. Carleton, and she and Grace left the pleasant room and, followed closely by Estralla, made their way over the bridge to the landing-place.	Perhaps I may not be permitted to have visitors much longer," said mrs Carleton, and she and Grace left the pleasant room and, followed closely by Estralla, made their way over the bridge to the landing place.
6643_67858_000046_000000	"Where is Sylvia?" asked Mr. Fulton, looking at his watch.	"Where is Sylvia?" asked mr Fulton, looking at his watch.
6643_67858_000046_000001	"We really ought to have started an hour ago." For a moment the little group looked at each other in silence.	"We really ought to have started an hour ago." For a moment the little group looked at each other in silence.
6643_67858_000046_000002	Then with a sudden cry Estralla darted off.	Then with a sudden cry Estralla darted off.
6643_67858_000048_000000	"She must be somewhere about the fort," declared Captain Carleton.	"She must be somewhere about the fort," declared Captain Carleton.
6643_67858_000049_000000	"Oh, yes," agreed Mr. Fulton, "but we had best lose no time in finding her."	"Oh, yes," agreed mr Fulton, "but we had best lose no time in finding her."
6643_67858_000050_000000	While Captain Carleton questioned the soldiers, Mr. Fulton and Mrs. Carleton and Grace hastened back to the officers' quarters, and a thorough search for the little girl was begun at once.	While Captain Carleton questioned the soldiers, mr Fulton and mrs Carleton and Grace hastened back to the officers' quarters, and a thorough search for the little girl was begun at once.
