1160_139336_000005_000000	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION	OF THE ORIGIN AND DESIGN OF GOVERNMENT IN GENERAL, WITH CONCISE REMARKS ON THE ENGLISH CONSTITUTION
1160_139336_000015_000000	I know it is difficult to get over local or long standing prejudices, yet if we will suffer ourselves to examine the component parts of the English constitution, we shall find them to be the base remains of two ancient tyrannies, compounded with some new republican materials.	I know it is difficult to get over local or long standing prejudices, yet if we will suffer ourselves to examine the component parts of the English constitution, we shall find them to be the base remains of two ancient tyrannies, compounded with some new republican materials.
1160_139336_000016_000000	FIRST.	FIRST.
1160_139336_000016_000001	The remains of monarchical tyranny in the person of the king.	The remains of monarchical tyranny in the person of the king.
1160_139336_000017_000000	SECONDLY.	SECONDLY.
1160_139336_000018_000001	The new republican materials, in the persons of the commons, on whose virtue depends the freedom of England.	The new republican materials, in the persons of the commons, on whose virtue depends the freedom of England.
1160_139336_000020_000000	To say that the constitution of England is a UNION of three powers reciprocally CHECKING each other, is farcical, either the words have no meaning, or they are flat contradictions.	To say that the constitution of England is a UNION of three powers reciprocally CHECKING each other, is farcical, either the words have no meaning, or they are flat contradictions.
1160_139336_000021_000000	To say that the commons is a check upon the king, presupposes two things.	To say that the commons is a check upon the king, presupposes two things.
1160_139336_000022_000000	FIRST.	FIRST.
1160_139336_000022_000001	That the king is not to be trusted without being looked after, or in other words, that a thirst for absolute power is the natural disease of monarchy.	That the king is not to be trusted without being looked after, or in other words, that a thirst for absolute power is the natural disease of monarchy.
1160_139336_000023_000000	SECONDLY.	SECONDLY.
1160_139336_000023_000001	That the commons, by being appointed for that purpose, are either wiser or more worthy of confidence than the crown.	That the commons, by being appointed for that purpose, are either wiser or more worthy of confidence than the crown.
1160_139336_000024_000000	But as the same constitution which gives the commons a power to check the king by withholding the supplies, gives afterwards the king a power to check the commons, by empowering him to reject their other bills; it again supposes that the king is wiser than those whom it has already supposed to be wiser than him.	But as the same constitution which gives the commons a power to check the king by withholding the supplies, gives afterwards the king a power to check the commons, by empowering him to reject their other bills; it again supposes that the king is wiser than those whom it has already supposed to be wiser than him.
1160_139336_000026_000001	HOW CAME THE KING BY A POWER WHICH THE PEOPLE ARE AFRAID TO TRUST, AND ALWAYS OBLIGED TO CHECK?	HOW CAME THE KING BY A POWER WHICH THE PEOPLE ARE AFRAID TO TRUST, AND ALWAYS OBLIGED TO CHECK?
1160_139336_000026_000002	Such a power could not be the gift of a wise people, neither can any power, WHICH NEEDS CHECKING, be from God; yet the provision, which the constitution makes, supposes such a power to exist.	Such a power could not be the gift of a wise people, neither can any power, WHICH NEEDS CHECKING, be from God; yet the provision, which the constitution makes, supposes such a power to exist.
1160_139336_000028_000000	That the crown is this overbearing part in the English constitution needs not be mentioned, and that it derives its whole consequence merely from being the giver of places and pensions is self-evident; wherefore, though we have been wise enough to shut and lock a door against absolute monarchy, we at the same time have been foolish enough to put the crown in possession of the key.	That the crown is this overbearing part in the English constitution needs not be mentioned, and that it derives its whole consequence merely from being the giver of places and pensions is self evident; wherefore, though we have been wise enough to shut and lock a door against absolute monarchy, we at the same time have been foolish enough to put the crown in possession of the key.
1160_139336_000029_000001	Individuals are undoubtedly safer in England than in some other countries, but the WILL of the king is as much the LAW of the land in Britain as in France, with this difference, that instead of proceeding directly from his mouth, it is handed to the people under the more formidable shape of an act of parliament.	Individuals are undoubtedly safer in England than in some other countries, but the WILL of the king is as much the LAW of the land in Britain as in France, with this difference, that instead of proceeding directly from his mouth, it is handed to the people under the more formidable shape of an act of parliament.
