1160_139336_000000_000000	THE AUTHOR	THE AUTHOR	false	0	0.48	2
1160_139336_000011_000002	If the colony continues increasing, it will become necessary to augment the number of the representatives, and that the interest of every part of the colony may be attended to, it will be found best to divide the whole into convenient parts, each part sending its proper number; and that the ELECTED might never form to themselves an interest separate from the ELECTORS, prudence will point out the propriety of having elections often; because as the ELECTED might by that means return and mix again with the general body of the ELECTORS in a few months, their fidelity to the public will be secured by the prudent reflexion of not making a rod for themselves.	If the colony continues increasing, it will become necessary to augment the number of the representatives, and that the interest of every part of the colony may be attended to, it will be found best to divide the whole into convenient parts, each part sending its proper number; and that the ELECTED might never form to themselves an interest separate from the ELECTORS, prudence will point out the propriety of having elections often; because as the ELECTED might by that means return and mix again with the general body of the ELECTORS in a few months, their fidelity to the public will be secured by the prudent reflexion of not making a rod for themselves.	true	318.86	362.74	20
1160_139336_000011_000003	And as this frequent interchange will establish a common interest with every part of the community, they will mutually and naturally support each other, and on this (not on the unmeaning name of king) depends the STRENGTH OF GOVERNMENT, AND THE HAPPINESS OF THE GOVERNED.	And as this frequent interchange will establish a common interest with every part of the community, they will mutually and naturally support each other, and on this (not on the unmeaning name of king) depends the STRENGTH OF GOVERNMENT, AND THE HAPPINESS OF THE GOVERNED.	true	362.84	380.86	21
1160_139336_000012_000000	Here then is the origin and rise of government; namely, a mode rendered necessary by the inability of moral virtue to govern the world; here too is the design and end of government, viz. freedom and security.	Here then is the origin and rise of government; namely, a mode rendered necessary by the inability of moral virtue to govern the world; here too is the design and end of government, viz. freedom and security.	false	381.68	397.03	19.245636
1160_139336_000012_000001	And however our eyes may be dazzled with snow, or our ears deceived by sound; however prejudice may warp our wills, or interest darken our understanding, the simple voice of nature and of reason will say, it is right.	And however our eyes may be dazzled with snow, or our ears deceived by sound; however prejudice may warp our wills, or interest darken our understanding, the simple voice of nature and of reason will say, it is right.	false	397.07	411.61	19
1160_139336_000013_000000	I draw my idea of the form of government from a principle in nature, which no art can overturn, viz. that the more simple any thing is, the less liable it is to be disordered, and the easier repaired when disordered; and with this maxim in view, I offer a few remarks on the so much boasted constitution of England.	I draw my idea of the form of government from a principle in nature, which no art can overturn, viz. that the more simple any thing is, the less liable it is to be disordered, and the easier repaired when disordered; and with this maxim in view, I offer a few remarks on the so much boasted constitution of England.	false	412.07	435.07	20
1160_139336_000013_000001	That it was noble for the dark and slavish times in which it was erected, is granted.	That it was noble for the dark and slavish times in which it was erected, is granted.	false	435.23	441.01	22
1160_139336_000013_000002	When the world was over run with tyranny the least remove therefrom was a glorious rescue.	When the world was over run with tyranny the least remove therefrom was a glorious rescue.	true	441.17	447.52	19.833221
1160_139336_000013_000003	But that it is imperfect, subject to convulsions, and incapable of producing what it seems to promise, is easily demonstrated.	But that it is imperfect, subject to convulsions, and incapable of producing what it seems to promise, is easily demonstrated.	true	447.65	456.67	21
1160_139336_000014_000000	Absolute governments (tho' the disgrace of human nature) have this advantage with them, that they are simple; if the people suffer, they know the head from which their suffering springs, know likewise the remedy, and are not bewildered by a variety of causes and cures.	Absolute governments (tho' the disgrace of human nature) have this advantage with them, that they are simple; if the people suffer, they know the head from which their suffering springs, know likewise the remedy, and are not bewildered by a variety of causes and cures.	true	456.98	473.35	20.947514
1160_139336_000014_000001	But the constitution of England is so exceedingly complex, that the nation may suffer for years together without being able to discover in which part the fault lies, some will say in one and some in another, and every political physician will advise a different medicine.	But the constitution of England is so exceedingly complex, that the nation may suffer for years together without being able to discover in which part the fault lies, some will say in one and some in another, and every political physician will advise a different medicine.	true	473.48	489.43	18
1160_139336_000015_000000	I know it is difficult to get over local or long standing prejudices, yet if we will suffer ourselves to examine the component parts of the English constitution, we shall find them to be the base remains of two ancient tyrannies, compounded with some new republican materials.	I know it is difficult to get over local or long standing prejudices, yet if we will suffer ourselves to examine the component parts of the English constitution, we shall find them to be the base remains of two ancient tyrannies, compounded with some new republican materials.	true	489.56	507.7	21.274426
1160_139336_000016_000000	FIRST.	FIRST.	true	507.86	508.605	20.535551
1160_139336_000016_000001	The remains of monarchical tyranny in the person of the king.	The remains of monarchical tyranny in the person of the king.	true	508.605	512.35	21
1160_139336_000017_000000	SECONDLY.	SECONDLY.	true	512.39	513.435	22.853508
1160_139336_000017_000001	The remains of aristocratical tyranny in the persons of the peers.	The remains of aristocratical tyranny in the persons of the peers.	true	513.435	517.69	17
1160_139336_000018_000000	THIRDLY.	THIRDLY.	true	517.91	518.92	17.705135
1160_139336_000018_000001	The new republican materials, in the persons of the commons, on whose virtue depends the freedom of England.	The new republican materials, in the persons of the commons, on whose virtue depends the freedom of England.	true	518.93	525.96	20.043922
1160_139336_000019_000000	The two first, by being hereditary, are independent of the people; wherefore in a CONSTITUTIONAL SENSE they contribute nothing towards the freedom of the state.	The two first, by being hereditary, are independent of the people; wherefore in a CONSTITUTIONAL SENSE they contribute nothing towards the freedom of the state.	false	525.96	536.35	18
1160_139336_000020_000000	To say that the constitution of England is a UNION of three powers reciprocally CHECKING each other, is farcical, either the words have no meaning, or they are flat contradictions.	To say that the constitution of England is a UNION of three powers reciprocally CHECKING each other, is farcical, either the words have no meaning, or they are flat contradictions.	true	536.57	548.56	21.111439
1160_139336_000021_000000	To say that the commons is a check upon the king, presupposes two things.	To say that the commons is a check upon the king, presupposes two things.	true	548.75	553.3	22
1160_139336_000022_000000	FIRST.	FIRST.	true	553.4	553.98	23.166262
1160_139336_000022_000001	That the king is not to be trusted without being looked after, or in other words, that a thirst for absolute power is the natural disease of monarchy.	That the king is not to be trusted without being looked after, or in other words, that a thirst for absolute power is the natural disease of monarchy.	true	553.98	562.93	21.585941
1160_139336_000023_000000	SECONDLY.	SECONDLY.	true	563.21	564.16	22.697857
1160_139336_000023_000001	That the commons, by being appointed for that purpose, are either wiser or more worthy of confidence than the crown.	That the commons, by being appointed for that purpose, are either wiser or more worthy of confidence than the crown.	true	564.2	570.76	22.096586
1160_139336_000024_000000	But as the same constitution which gives the commons a power to check the king by withholding the supplies, gives afterwards the king a power to check the commons, by empowering him to reject their other bills; it again supposes that the king is wiser than those whom it has already supposed to be wiser than him.	But as the same constitution which gives the commons a power to check the king by withholding the supplies, gives afterwards the king a power to check the commons, by empowering him to reject their other bills; it again supposes that the king is wiser than those whom it has already supposed to be wiser than him.	true	571.1	589.81	20
1160_139336_000024_000001	A mere absurdity!	A mere absurdity!	true	589.97	591.43	16.295586
1160_139336_000025_000000	There is something exceedingly ridiculous in the composition of monarchy; it first excludes a man from the means of information, yet empowers him to act in cases where the highest judgment is required. The state of a king shuts him from the world, yet the business of a king requires him to know it thoroughly; wherefore the different parts, by unnaturally opposing and destroying each other, prove the whole character to be absurd and useless.	There is something exceedingly ridiculous in the composition of monarchy; it first excludes a man from the means of information, yet empowers him to act in cases where the highest judgment is required. The state of a king shuts him from the world, yet the business of a king requires him to know it thoroughly; wherefore the different parts, by unnaturally opposing and destroying each other, prove the whole character to be absurd and useless.	true	591.83	617.5	20.679554
1160_139336_000026_000000	Some writers have explained the English constitution thus; the king, say they, is one, the people another; the peers are an house in behalf of the king; the commons in behalf of the people; but this hath all the distinctions of an house divided against itself; and though the expressions be pleasantly arranged, yet when examined they appear idle and ambiguous; and it will always happen, that the nicest construction that words are capable of, when applied to the description of some thing which either cannot exist, or is too incomprehensible to be within the compass of description, will be words of sound only, and though they may amuse the ear, they cannot inform the mind, for this explanation includes a previous question, viz.	Some writers have explained the English constitution thus; the king, say they, is one, the people another; the peers are an house in behalf of the king; the commons in behalf of the people; but this hath all the distinctions of an house divided against itself; and though the expressions be pleasantly arranged, yet when examined they appear idle and ambiguous; and it will always happen, that the nicest construction that words are capable of, when applied to the description of some thing which either cannot exist, or is too incomprehensible to be within the compass of description, will be words of sound only, and though they may amuse the ear, they cannot inform the mind, for this explanation includes a previous question, viz.	false	618.05	663.96	20.14403
1160_139336_000026_000001	HOW CAME THE KING BY A POWER WHICH THE PEOPLE ARE AFRAID TO TRUST, AND ALWAYS OBLIGED TO CHECK?	HOW CAME THE KING BY A POWER WHICH THE PEOPLE ARE AFRAID TO TRUST, AND ALWAYS OBLIGED TO CHECK?	true	663.96	670.12	21.345507
1160_139336_000026_000002	Such a power could not be the gift of a wise people, neither can any power, WHICH NEEDS CHECKING, be from God; yet the provision, which the constitution makes, supposes such a power to exist.	Such a power could not be the gift of a wise people, neither can any power, WHICH NEEDS CHECKING, be from God; yet the provision, which the constitution makes, supposes such a power to exist.	true	670.22	683.67	22.242834
1160_139336_000027_000000	But the provision is unequal to the task; the means either cannot or will not accomplish the end, and the whole affair is a felo de se; for as the greater weight will always carry up the less, and as all the wheels of a machine are put in motion by one, it only remains to know which power in the constitution has the most weight, for that will govern; and though the others, or a part of them, may clog, or, as the phrase is, check the rapidity of its motion, yet so long as they cannot stop it, their endeavors will be ineffectual; the first moving power will at last have its way, and what it wants in speed is supplied by time.	But the provision is unequal to the task; the means either cannot or will not accomplish the end, and the whole affair is a felo de se; for as the greater weight will always carry up the less, and as all the wheels of a machine are put in motion by one, it only remains to know which power in the constitution has the most weight, for that will govern; and though the others, or a part of them, may clog, or, as the phrase is, check the rapidity of its motion, yet so long as they cannot stop it, their endeavors will be ineffectual; the first moving power will at last have its way, and what it wants in speed is supplied by time.	false	683.67	723.16	20.743689
1160_139336_000028_000000	That the crown is this overbearing part in the English constitution needs not be mentioned, and that it derives its whole consequence merely from being the giver of places and pensions is self-evident; wherefore, though we have been wise enough to shut and lock a door against absolute monarchy, we at the same time have been foolish enough to put the crown in possession of the key.	That the crown is this overbearing part in the English constitution needs not be mentioned, and that it derives its whole consequence merely from being the giver of places and pensions is self evident; wherefore, though we have been wise enough to shut and lock a door against absolute monarchy, we at the same time have been foolish enough to put the crown in possession of the key.	true	723.26	746.89	20
1160_139336_000029_000000	The prejudice of Englishmen, in favour of their own government by king, lords and commons, arises as much or more from national pride than reason.	The prejudice of Englishmen, in favour of their own government by king, lords and commons, arises as much or more from national pride than reason.	false	747.32	756.58	19
1160_139336_000029_000001	Individuals are undoubtedly safer in England than in some other countries, but the WILL of the king is as much the LAW of the land in Britain as in France, with this difference, that instead of proceeding directly from his mouth, it is handed to the people under the more formidable shape of an act of parliament.	Individuals are undoubtedly safer in England than in some other countries, but the WILL of the king is as much the LAW of the land in Britain as in France, with this difference, that instead of proceeding directly from his mouth, it is handed to the people under the more formidable shape of an act of parliament.	true	756.77	776.98	20.126059
1160_139336_000029_000002	For the fate of Charles the first, hath only made kings more subtle--not more just.	For the fate of Charles the first, hath only made kings more subtle-not more just.	false	777.14	782.92	19.59667
1160_139336_000030_000000	Wherefore, laying aside all national pride and prejudice in favour of modes and forms, the plain truth is, that IT IS WHOLLY OWING TO THE CONSTITUTION OF THE PEOPLE, AND NOT TO THE CONSTITUTION OF THE GOVERNMENT that the crown is not as oppressive in England as in Turkey.	Wherefore, laying aside all national pride and prejudice in favour of modes and forms, the plain truth is, that i t IS WHOLLY OWING TO THE CONSTITUTION OF THE PEOPLE, AND NOT TO THE CONSTITUTION OF THE GOVERNMENT that the crown is not as oppressive in England as in Turkey.	false	783.29	799.66	19
1160_139336_000031_000000	An inquiry into the CONSTITUTIONAL ERRORS in the English form of government is at this time highly necessary; for as we are never in a proper condition of doing justice to others, while we continue under the influence of some leading partiality, so neither are we capable of doing it to ourselves while we remain fettered by any obstinate prejudice.	An inquiry into the CONSTITUTIONAL ERRORS in the English form of government is at this time highly necessary; for as we are never in a proper condition of doing justice to others, while we continue under the influence of some leading partiality, so neither are we capable of doing it to ourselves while we remain fettered by any obstinate prejudice.	true	799.97	823.06	18
1160_139336_000031_000001	And as a man, who is attached to a prostitute, is unfitted to choose or judge of a wife, so any prepossession in favour of a rotten constitution of government will disable us from discerning a good one.	And as a man, who is attached to a prostitute, is unfitted to choose or judge of a wife, so any prepossession in favour of a rotten constitution of government will disable us from discerning a good one.	false	823.25	841.47	22.298613
