6458_61323_000000_000000	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	true	24.27	28.725	16
6458_61323_000003_000005	The Eagle resumed its flight, and when another two hours had elapsed, it again asked Etana to look downwards.	The Eagle resumed its flight, and when another two hours had elapsed, it again asked Etana to look downwards.	true	236.81	242.05	17
6458_61323_000003_000006	Then the hero saw that the sea resembled a girdle which clasped the land.	Then the hero saw that the sea resembled a girdle which clasped the land.	false	242.42	246.04	18
6458_61323_000003_000007	Two hours later Etana found that he had been raised to a height from which the sea appeared to be no larger than a pond.	Two hours later Etana found that he had been raised to a height from which the sea appeared to be no larger than a pond.	true	246.68	252.46	18
6458_61323_000003_000008	By this time he had reached the heaven of Anu, Bel, and Ea, and found there rest and shelter.	By this time he had reached the heaven of Anu, Bel, and Ea, and found there rest and shelter.	false	252.8	258.49	20.960037
6458_61323_000004_000000	Here the text becomes fragmentary.	Here the text becomes fragmentary.	true	259.13	261.07	23.917145
6458_61323_000004_000001	Further on it is gathered from the narrative that Etana is being carried still higher by the Eagle towards the heaven of Ishtar, "Queen of Heaven", the supreme mother goddess.	Further on it is gathered from the narrative that Etana is being carried still higher by the Eagle towards the heaven of Ishtar, "Queen of Heaven", the supreme mother goddess.	true	261.32	269.92	19
6458_61323_000004_000002	Three times, at intervals of two hours, the Eagle asks Etana to look downwards towards the shrinking earth.	Three times, at intervals of two hours, the Eagle asks Etana to look downwards towards the shrinking earth.	false	270.5	275.68	20.63751
6458_61323_000004_000003	Then some disaster happens, for further onwards the broken tablet narrates that the Eagle is falling.	Then some disaster happens, for further onwards the broken tablet narrates that the Eagle is falling.	true	275.9	281.08	20
6458_61323_000004_000004	Down and down eagle and man fall together until they strike the earth, and the Eagle's body is shattered.	Down and down eagle and man fall together until they strike the earth, and the Eagle's body is shattered.	false	281.27	286.42	19
6458_61323_000005_000000	The Indian Garuda eagle[192] never met with such a fate, but on one occasion Vishnu overpowered it with his right arm, which was heavier than the whole universe, and caused many feathers to fall _off_.	The Indian Garuda eagle[one hundred ninety two] never met with such a fate, but on one occasion Vishnu overpowered it with his right arm, which was heavier than the whole universe, and caused many feathers to fall underscore off underscore.	false	286.85	296.61	20.017748
6458_61323_000005_000001	In the story of Rama's wanderings, however, as told in the _Ramayana_ and the _Mahabharata_, there are interesting references in this connection to Garuda's two "sons".	In the story of Rama's wanderings, however, as told in the underscore Ramayana underscore and the underscore Mahabharata underscore, there are interesting references in this connection to Garuda's two "sons".	false	296.61	305.2	19
6458_61323_000005_000002	One was mortally wounded by Ravana, the demon king of Ceylon.	One was mortally wounded by Ravana, the demon king of Ceylon.	true	305.45	309.07	17.340263
6458_61323_000005_000003	The other bird related to Rama, who found it disabled: "Once upon a time we two (brothers), with the desire of outstripping each other, flew towards the sun.	The other bird related to Rama, who found it disabled: "Once upon a time we two (brothers), with the desire of outstripping each other, flew towards the sun	false	309.41	318.28	19.65641
6458_61323_000005_000004	My wings were burnt, but those of my brother were not....	My wings were burnt, but those of my brother were not....	true	318.59	321.4	21.556437
6458_61323_000005_000005	I fell down on the top of this great mountain, where I still am."[193]	I fell down on the top of this great mountain, where I still am."[one hundred ninety three]	false	321.77	325.17	19.557287
6458_61323_000006_000000	Another version of the Etana story survives among the Arabian Moslems. In the "Al Fatihat" chapter of the _Koran_ it is related that a Babylonian king held a dispute with Abraham "concerning his Lord". Commentators identify the monarch with Nimrod, who afterwards caused the Hebrew patriarch to be cast into a fire from which he had miraculous deliverance.	Another version of the Etana story survives among the Arabian Moslems. In the "Al Fatihat" chapter of the underscore Koran underscore it is related that a Babylonian king held a dispute with Abraham "concerning his Lord". Commentators identify the monarch with Nimrod, who afterwards caused the Hebrew patriarch to be cast into a fire from which he had miraculous deliverance.	false	325.17	343.27	20
6458_61323_000006_000001	Nimrod then built a tower so as to ascend to heaven "to see Abraham's god", and make war against Him, but the tower was overthrown.	Nimrod then built a tower so as to ascend to heaven "to see Abraham's god", and make war against Him, but the tower was overthrown.	true	343.88	351.49	20.848476
6458_61323_000006_000002	He, however, persisted in his design.	He, however, persisted in his design.	true	352.04	354.37	24.412918
6458_61323_000006_000003	The narrative states that he was "carried to heaven in a chest borne by four monstrous birds; but after wandering for some time through the air, he fell down on a mountain with such a force that he made it shake".	The narrative states that he was "carried to heaven in a chest borne by four monstrous birds; but after wandering for some time through the air, he fell down on a mountain with such a force that he made it shake".	false	354.53	364.36	21
6458_61323_000006_000004	A reference in the _Koran_ to "contrivances ... which make mountains tremble" is believed to allude to Nimrod's vain attempt.[194]	A reference in the underscore Koran underscore to "contrivances ... which make mountains tremble" is believed to allude to Nimrod's vain attempt.[one hundred ninety four]	false	364.88	372.06	20.032867
6458_61323_000007_000000	Alexander the Great was also reputed to have ascended on the back of an eagle.	Alexander the Great was also reputed to have ascended on the back of an eagle.	true	372.06	375.49	18
6458_61323_000007_000001	Among the myths attached to his memory in the Ethiopic "history" is one which explains how "he knew and comprehended the length and breadth of the earth", and how he obtained knowledge regarding the seas and mountains he would have to cross.	Among the myths attached to his memory in the Ethiopic "history" is one which explains how "he knew and comprehended the length and breadth of the earth", and how he obtained knowledge regarding the seas and mountains he would have to cross.	true	375.74	387.7	20
6458_61323_000007_000002	"He made himself small and flew through the air on an eagle, and he arrived in the heights of the heavens and he explored them." Another Alexandrian version of the Etana myth resembles the Arabic legend of Nimrod.	"He made himself small and flew through the air on an eagle, and he arrived in the heights of the heavens and he explored them." Another Alexandrian version of the Etana myth resembles the Arabic legend of Nimrod.	true	387.98	398.44	17.958399
6458_61323_000007_000003	"In the Country of Darkness" Alexander fed and tamed great birds which were larger than eagles.	"In the Country of Darkness" Alexander fed and tamed great birds which were larger than eagles.	true	398.54	403.48	21.10013
6458_61323_000007_000004	Then he ordered four of his soldiers to mount them.	Then he ordered four of his soldiers to mount them.	true	403.76	406.09	19.639948
6458_61323_000007_000005	The men were carried to the "Country of the Living", and when they returned they told Alexander "all that had happened and all that they had seen".[195]	The men were carried to the "Country of the Living", and when they returned they told Alexander "all that had happened and all that they had seen".[one hundred ninety five]	false	406.13	413.1	22.173206
6458_61323_000008_000000	In a Gaelic story a hero is carried off by a Cromhineach, "a vast bird like an eagle".	In a Gaelic story a hero is carried off by a Cromhineach, "a vast bird like an eagle".	false	413.1	418.54	24.136599
6458_61323_000008_000001	He tells that it "sprang to the clouds with me, and I was a while that I did not know which was heaven or earth for me".	He tells that it "sprang to the clouds with me, and I was a while that I did not know which was heaven or earth for me".	false	418.73	424.87	21.35843
6458_61323_000008_000002	The hero died, but, curiously enough, remained conscious of what was happening.	The hero died, but, curiously enough, remained conscious of what was happening.	true	425.39	429.43	21.745958
6458_61323_000008_000003	Apparently exhausted, the eagle flew to an island in the midst of the ocean.	Apparently exhausted, the eagle flew to an island in the midst of the ocean.	true	429.83	433.6	18.322657
6458_61323_000008_000004	It laid the hero on the sunny side.	It laid the hero on the sunny side.	true	433.64	435.58	18.59131
6458_61323_000008_000005	The hero proceeds: "Sleep came upon herself (the eagle) and she slept.	The hero proceeds: "Sleep came upon herself (the eagle) and she slept.	true	435.8	440.32	24.165545
6458_61323_000008_000006	The sun was enlivening me pretty well though I was dead." Afterwards the eagle bathed in a healing well, and as it splashed in the water, drops fell on the hero and he came to life.	The sun was enlivening me pretty well though I was dead." Afterwards the eagle bathed in a healing well, and as it splashed in the water, drops fell on the hero and he came to life.	true	440.57	449.47	20.897516
6458_61323_000008_000007	"I grew stronger and more active", he adds, "than I had ever been before."[196]	"I grew stronger and more active", he adds, "than I had ever been before."[one hundred ninety six]	false	449.78	454.26	21.809965
6458_61323_000009_000000	The eagle figures in various mythologies, and appears to have been at one time worshipped as the god or goddess of fertility, and storm and lightning, as the bringer of children, and the deity who carried souls to Hades.	The eagle figures in various mythologies, and appears to have been at one time worshipped as the god or goddess of fertility, and storm and lightning, as the bringer of children, and the deity who carried souls to Hades.	true	454.26	464.71	19
6458_61323_000009_000001	It was also the symbol of royalty, because the earthly ruler represented the controlling deity.	It was also the symbol of royalty, because the earthly ruler represented the controlling deity.	true	465.11	469.45	19.530598
6458_61323_000009_000002	Nin-Girsu, the god of Lagash, who was identified with Tammuz, was depicted as a lion-headed eagle.	Nin Girsu, the god of Lagash, who was identified with Tammuz, was depicted as a lion headed eagle.	true	470.24	476.83	21.137812
6458_61323_000009_000003	Zeus, the Greek sky and air god, was attended by an eagle, and may, at one time, have been simply an eagle.	Zeus, the Greek sky and air god, was attended by an eagle, and may, at one time, have been simply an eagle.	false	477.08	482.95	18.280516
6458_61323_000009_000004	In Egypt the place of the eagle is taken by Nekhebit, the vulture goddess whom the Greeks identified with "Eileithyia, the goddess of birth; she was usually represented as a vulture hovering over the king".[197]	In Egypt the place of the eagle is taken by Nekhebit, the vulture goddess whom the Greeks identified with "Eileithyia, the goddess of birth; she was usually represented as a vulture hovering over the king".[one hundred ninety seven]	false	483.35	493.86	21.250841
6458_61323_000010_000000	The double-headed eagle of the Hittites, which figures in the royal arms of Germany and Russia, appears to have symbolized the deity of whom the king was an incarnation or son.	The double headed eagle of the Hittites, which figures in the royal arms of Germany and Russia, appears to have symbolized the deity of whom the king was an incarnation or son.	true	493.86	502.72	17
6458_61323_000010_000001	In Indian mythology Garuda, the eagle giant, which destroyed serpents like the Babylonian Etana eagle, issued from its egg like a flame of fire; its eyes flashed the lightning and its voice was the thunder.	In Indian mythology Garuda, the eagle giant, which destroyed serpents like the Babylonian Etana eagle, issued from its egg like a flame of fire; its eyes flashed the lightning and its voice was the thunder.	true	503.12	514.15	20.87868
6458_61323_000010_000002	This bird is identified in a hymn with Agni, god of fire, who has the attributes of Tammuz and Mithra, with Brahma, the creator, with Indra, god of thunder and fertility, and with Yama, god of the dead, who carries off souls to Hades.	This bird is identified in a hymn with Agni, god of fire, who has the attributes of Tammuz and Mithra, with Brahma, the creator, with Indra, god of thunder and fertility, and with Yama, god of the dead, who carries off souls to Hades.	false	514.34	528.94	21.544838
6458_61323_000010_000003	It is also called "the steed-necked incarnation of Vishnu", the "Preserver" of the Hindu trinity who rode on its back.	It is also called "the steed necked incarnation of Vishnu", the "Preserver" of the Hindu trinity who rode on its back.	true	529.25	535.84	20.270672
6458_61323_000010_000004	The hymn referred to lauds Garuda as "the bird of life, the presiding spirit of the animate and inanimate universe ... destroyer of all, creator of all".	The hymn referred to lauds Garuda as "the bird of life, the presiding spirit of the animate and inanimate universe ... destroyer of all, creator of all".	true	535.97	544.06	22.987501
6458_61323_000010_000005	It burns all "as the sun in his anger burneth all creatures".[198]	It burns all "as the sun in his anger burneth all creatures".[one hundred ninety eight]	false	544.25	548.97	21.100988
6458_61323_000011_000000	Birds were not only fates, from whose movements in flight omens were drawn, but also spirits of fertility.	Birds were not only fates, from whose movements in flight omens were drawn, but also spirits of fertility.	true	548.97	554.955	21.571363
6458_61323_000011_000001	When the childless Indian sage Mandapala of the _Mahabharata_ was refused admittance to heaven until a son was born to him, he "pondered deeply" and "came to know that of all creatures birds alone were blest with fecundity"; so he became a bird.	When the childless Indian sage Mandapala of the underscore Mahabharata underscore was refused admittance to heaven until a son was born to him, he "pondered deeply" and "came to know that of all creatures birds alone were blest with fecundity"; so he became a bird.	false	554.955	569.83	20.492346
6458_61323_000012_000000	It is of interest, therefore, to find the Etana eagle figuring as a symbol of royalty at Rome.	It is of interest, therefore, to find the Etana eagle figuring as a symbol of royalty at Rome.	false	569.93	574.72	19
6458_61323_000012_000001	The deified Roman Emperor's waxen image was burned on a pyre after his death, and an eagle was let loose from the great pile to carry his soul to heaven.[199] This custom was probably a relic of seasonal fire worship, which may have been introduced into Northern and Western Syria and Asia Minor by the mysterious Mitanni rulers, if it was not an archaic Babylonian custom[200] associated with fire-and-water magical ceremonies, represented in the British Isles by May-Day and Midsummer fire-and-water festivals.	The deified Roman Emperor's waxen image was burned on a pyre after his death, and an eagle was let loose from the great pile to carry his soul to heaven.[one hundred ninety nine] This custom was probably a relic of seasonal fire worship, which may have been introduced into Northern and Western Syria and Asia Minor by the mysterious Mitanni rulers, if it was not an archaic Babylonian custom[two hundred] associated with fire and water magical ceremonies, represented in the British Isles by May Day and Midsummer fire and water festivals.	false	575.03	601.27	20
6458_61323_000012_000002	Sandan, the mythical founder of Tarsus, was honoured each year at that city by burning a great bonfire, and he was identified with Hercules.	Sandan, the mythical founder of Tarsus, was honoured each year at that city by burning a great bonfire, and he was identified with Hercules.	true	601.58	608.65	19
6458_61323_000012_000003	Probably he was a form of Moloch and Melkarth.[201] Doves were burned to Adonis.	Probably he was a form of Moloch and Melkarth.[two hundred one] Doves were burned to Adonis.	false	608.9	613.93	19.84889
6458_61323_000012_000004	The burning of straw figures, representing gods of fertility, on May-Day bonfires may have been a fertility rite, and perhaps explains the use of straw birth-girdles.	The burning of straw figures, representing gods of fertility, on May Day bonfires may have been a fertility rite, and perhaps explains the use of straw birth girdles.	true	614.12	622.42	20
6458_61323_000013_000000	According to the commentators of the _Koran_, Nimrod, the Babylonian king, who cast victims in his annual bonfires at Cuthah, died on the eighth day of the Tammuz month, which, according to the Syrian calendar, fell on 13th July.[202] It is related that gnats entered Nimrod's brain, causing the membrane to grow larger.	According to the commentators of the underscore Koran underscore, Nimrod, the Babylonian king, who cast victims in his annual bonfires at Cuthah, died on the eighth day of the Tammuz month, which, according to the Syrian calendar, fell on the thirteenth of july.[two hundred two] It is related that gnats entered Nimrod's brain, causing the membrane to grow larger.	false	622.91	641.98	22.054226
6458_61323_000013_000001	He suffered great pain, and to relieve it had his head beaten with a mallet.	He suffered great pain, and to relieve it had his head beaten with a mallet.	true	642.17	646.15	19.026354
6458_61323_000013_000002	Although he lived for several hundred years, like other agricultural patriarchs, including the Tammuz of Berosus, it is possible that he was ultimately sacrificed and burned.	Although he lived for several hundred years, like other agricultural patriarchs, including the Tammuz of Berosus, it is possible that he was ultimately sacrificed and burned.	false	646.37	656.04	21.593143
6458_61323_000013_000003	The beating of Nimrod recalls the beating of the corn spirit of the agricultural legend utilized by Burns in his ballad of "John Barleycorn", which gives a jocular account of widespread ancient customs that are not yet quite extinct even in Scotland:[203]	The beating of Nimrod recalls the beating of the corn spirit of the agricultural legend utilized by Burns in his ballad of "john Barleycorn", which gives a jocular account of widespread ancient customs that are not yet quite extinct even in Scotland:[two hundred three]	false	656.04	669.3	20.972483
6458_61323_000014_000000	They laid him down upon his back And cudgelled him full sore; They hung him up before a storm And turned him o'er and o'er.	They laid him down upon his back And cudgelled him full sore; They hung him up before a storm And turned him o'er and o'er.	true	669.3	676.51	19
6458_61323_000015_000000	They filled up a darksome pit With water to the brim, They heaved in John Barleycorn-- There let him sink or swim.	They filled up a darksome pit With water to the brim, They heaved in john Barleycorn- There let him sink or swim.	true	676.73	684.97	22
6458_61323_000016_000000	They wasted o'er a scorching flame The marrow of his bones, But the miller used him worst of all, For he crushed him between two stones.	They wasted o'er a scorching flame The marrow of his bones, But the miller used him worst of all, For he crushed him between two stones.	true	685.34	693.25	20.404633
6458_61323_000017_000000	Hercules, after performing many mythical exploits, had himself burned alive on the pyre which he built upon Mount Oeta, and was borne to Olympus amidst peals of thunder.	Hercules, after performing many mythical exploits, had himself burned alive on the pyre which he built upon Mount o e t a, and was borne to Olympus amidst peals of thunder.	false	693.65	702.1	21
6458_61323_000018_000000	Gilgamesh, the Babylonian Hercules, who links with Etana, Nimrod, and Sandan, is associated with the eagle, which in India, as has been shown, was identified with the gods of fertility, fire, and death. According to a legend related by Aelian,[204] "the guards of the citadel of Babylon threw down to the ground a child who had been conceived and brought forth in secret, and who afterwards became known as Gilgamos".	Gilgamesh, the Babylonian Hercules, who links with Etana, Nimrod, and Sandan, is associated with the eagle, which in India, as has been shown, was identified with the gods of fertility, fire, and death. According to a legend related by Aelian,[two hundred four] "the guards of the citadel of Babylon threw down to the ground a child who had been conceived and brought forth in secret, and who afterwards became known as Gilgamos".	false	702.26	725.68	19.901478
6458_61323_000018_000001	This appears to be another version of the Sargon-Tammuz myth, and may also refer to the sacrifice of children to Melkarth and Moloch, who were burned or slain "in the valleys under the clefts of the rocks"[205] to ensure fertility and feed the corn god.	This appears to be another version of the Sargon Tammuz myth, and may also refer to the sacrifice of children to Melkarth and Moloch, who were burned or slain "in the valleys under the clefts of the rocks"[two hundred five] to ensure fertility and feed the corn god.	false	726.02	740.62	20.635328
6458_61323_000018_000002	Gilgamesh, however, did not perish.	Gilgamesh, however, did not perish.	true	740.81	742.89	19.829687
6458_61323_000018_000003	"A keen-eyed eagle saw the child falling, and before it touched the ground the bird flew under it and received it on its back, and carried it away to a garden and laid it down gently." Here we have, it would appear, Tammuz among the flowers, and Sargon, the gardener, in the "Garden of Adonis".	"A keen eyed eagle saw the child falling, and before it touched the ground the bird flew under it and received it on its back, and carried it away to a garden and laid it down gently." Here we have, it would appear, Tammuz among the flowers, and Sargon, the gardener, in the "Garden of Adonis".	false	742.89	758.47	20.942175
6458_61323_000018_000004	Mimic Adonis gardens were cultivated by women.	Mimic Adonis gardens were cultivated by women.	true	758.54	761.2	22.733877
6458_61323_000018_000005	Corn, &c., was forced in pots and baskets, and thrown, with an image of the god, into streams.	Corn, and c., was forced in pots and baskets, and thrown, with an image of the god, into streams.	false	761.51	766.18	21.219522
6458_61323_000018_000006	"Ignorant people", writes Professor Frazer, "suppose that by mimicking the effect which they desire to produce they actually help to produce it: thus by sprinkling water they make rain, by lighting a fire they make sunshine, and so on."[206] Evidently Gilgamesh was a heroic form of the god Tammuz, the slayer of the demons of winter and storm, who passed one part of the year in the world and another in Hades (Chapter VI).	"Ignorant people", writes Professor Frazer, "suppose that by mimicking the effect which they desire to produce they actually help to produce it: thus by sprinkling water they make rain, by lighting a fire they make sunshine, and so on."[two hundred six] Evidently Gilgamesh was a heroic form of the god Tammuz, the slayer of the demons of winter and storm, who passed one part of the year in the world and another in Hades (Chapter six).	false	766.55	787.23	20.369013
6458_61323_000019_000000	Like Hercules, Gilgamesh figured chiefly in legendary narrative as a mighty hero.	Like Hercules, Gilgamesh figured chiefly in legendary narrative as a mighty hero.	true	787.23	791.86	16
6458_61323_000019_000001	He was apparently of great antiquity, so that it is impossible to identify him with any forerunner of Sargon of Akkad, or Alexander the Great.	He was apparently of great antiquity, so that it is impossible to identify him with any forerunner of Sargon of Akkad, or Alexander the Great.	true	792.14	800.32	21
6458_61323_000019_000002	His exploits were depicted on cylinder seals of the Sumerian period, and he is shown wrestling with a lion as Hercules wrestled with the monstrous lion in the valley of Nemea.	His exploits were depicted on cylinder seals of the Sumerian period, and he is shown wrestling with a lion as Hercules wrestled with the monstrous lion in the valley of Nemea.	true	800.6	808.84	18
6458_61323_000019_000003	The story of his adventures was narrated on twelve clay tablets, which were preserved in the library of Ashur-banipal, the Assyrian emperor.	The story of his adventures was narrated on twelve clay tablets, which were preserved in the library of Ashur banipal, the Assyrian emperor.	true	809	816.4	19
6458_61323_000019_000004	In the first tablet, which is badly mutilated, Gilgamesh is referred to as the man who beheld the world, and had great wisdom because he peered into the mysteries.	In the first tablet, which is badly mutilated, Gilgamesh is referred to as the man who beheld the world, and had great wisdom because he peered into the mysteries.	true	816.56	824.74	18
6458_61323_000019_000005	He travelled to distant places, and was informed regarding the flood and the primitive race which the gods destroyed; he also obtained the plant of life, which his enemy, the earth-lion, in the form of a serpent or well demon, afterwards carried away.	He travelled to distant places, and was informed regarding the flood and the primitive race which the gods destroyed; he also obtained the plant of life, which his enemy, the earth lion, in the form of a serpent or well demon, afterwards carried away.	true	825.56	837.61	21.32977
6458_61323_000020_000000	Gilgamesh was associated with Erech, where he reigned as "the lord". There Ishtar had a great temple, but her worldly wealth had decreased. The fortifications of the city were crumbling, and for three years the Elamites besieged it.	Gilgamesh was associated with Erech, where he reigned as "the lord". There Ishtar had a great temple, but her worldly wealth had decreased. The fortifications of the city were crumbling, and for three years the Elamites besieged it.	false	837.86	850.39	23.224854
6458_61323_000020_000001	The gods had turned to flies and the winged bulls had become like mice.	The gods had turned to flies and the winged bulls had become like mice.	true	850.55	854.17	18.899052
6458_61323_000020_000002	Men wailed like wild beasts and maidens moaned like doves.	Men wailed like wild beasts and maidens moaned like doves.	true	854.48	857.68	17.954237
6458_61323_000020_000003	Ultimately the people prayed to the goddess Aruru to create a liberator.	Ultimately the people prayed to the goddess Aruru to create a liberator.	true	858.14	861.88	20.944054
6458_61323_000020_000004	Bel, Shamash, and Ishtar also came to their aid.	Bel, Shamash, and Ishtar also came to their aid.	true	862.13	865.5	17
6458_61323_000021_000000	Aruru heard the cries of her worshippers.	Aruru heard the cries of her worshippers.	false	865.5	868.27	18.090395
6458_61323_000021_000001	She dipped her hands in water and then formed a warrior with clay.	She dipped her hands in water and then formed a warrior with clay.	true	868.46	871.66	19.456947
6458_61323_000021_000002	He was named Ea-bani, which signifies "Ea is my creator".	He was named Ea bani, which signifies "Ea is my creator".	true	871.88	875.62	21.256123
