6643_67851_000001_000000	A TWILIGHT TEA-PARTY	A TWILIGHT TEA PARTY
6643_67851_000042_000001	I wouldn't have believed that a Charleston girl would do such a mean trick," declared Grace.	I wouldn't have believed that a Charleston girl would do such a mean trick," declared Grace.
6643_67851_000043_000001	She thought it would make us laugh."	She thought it would make us laugh."
6643_67851_000044_000000	"Well, then why didn't she?" asked Grace.	"Well, then why didn't she?" asked Grace.
6643_67851_000046_000003	Flora will tell us just as soon as we see her again."	Flora will tell us just as soon as we see her again."
6643_67851_000047_000000	There was a little note of entreaty in Sylvia's voice, as if she were pleading with Grace not to blame Flora.	There was a little note of entreaty in Sylvia's voice, as if she were pleading with Grace not to blame Flora.
6643_67851_000048_000000	"I know one thing, Sylvia.	"I know one thing, Sylvia.
6643_67851_000049_000001	As Grace spoke they both turned quickly, for there was a sudden noise of an overturned chair in the further corner of the room, and they could see a dark figure sprawling on the floor.	As Grace spoke they both turned quickly, for there was a sudden noise of an overturned chair in the further corner of the room, and they could see a dark figure sprawling on the floor.
6643_67851_000050_000000	Before Sylvia could speak she heard the little wailing cry which Estralla always gave when in trouble, and then: "Don't be skeered, Missy!	Before Sylvia could speak she heard the little wailing cry which Estralla always gave when in trouble, and then: "Don't be skeered, Missy!
6643_67851_000052_000001	Grace lit the candles on Sylvia's bureau, while Sylvia picked up her treasured dolls, "Molly" and "Polly," which her Grandmother Fulton had sent her on her last birthday.	Grace lit the candles on Sylvia's bureau, while Sylvia picked up her treasured dolls, "Molly" and "Polly," which her Grandmother Fulton had sent her on her last birthday.
6643_67851_000053_000004	I 'spec' now I'll get whipped."	I 'spec' now I'll get whipped."
6643_67851_000054_000000	"Keep still, Estralla.	"Keep still, Estralla.
6643_67851_000055_000000	"You ought to tell her mother to whip her.	"You ought to tell her mother to whip her.
6643_67851_000055_000001	She's no business up here," said Grace.	She's no business up here," said Grace.
6643_67851_000056_000000	"Don't, Grace!" Sylvia exclaimed.	"Don't, Grace!" Sylvia exclaimed.
6643_67851_000056_000001	"We don't get whipped every time we make a mistake.	"We don't get whipped every time we make a mistake.
6643_67851_000056_000003	Just think, your Uncle Robert can sell her away from her own mother.	Just think, your Uncle Robert can sell her away from her own mother.
6643_67851_000057_000000	Estralla had scrambled to her feet and now stood looking at the little white girls with a half-frightened look in her big eyes.	Estralla had scrambled to her feet and now stood looking at the little white girls with a half frightened look in her big eyes.
6643_67851_000058_000000	"Oh, Missy!	"Oh, Missy!
6643_67851_000059_000003	We will have a tea-party for Molly and Polly, and you shall wait on them.	We will have a tea party for Molly and Polly, and you shall wait on them.
6643_67851_000059_000004	Run down and ask your mother to give us some little cakes."	Run down and ask your mother to give us some little cakes."
6643_67851_000060_000000	Estralla was off in an instant, and while she was away Sylvia and Grace spread the little table, brought cushions from the window-seats and advised Molly and Polly to forgive the disturbance.	Estralla was off in an instant, and while she was away Sylvia and Grace spread the little table, brought cushions from the window seats and advised Molly and Polly to forgive the disturbance.
6643_67851_000061_000000	When Mrs. Fulton came up-stairs a little later to tell Grace that her black Mammy had come to take her home she found three very happy little girls.	When mrs Fulton came up stairs a little later to tell Grace that her black Mammy had come to take her home she found three very happy little girls.
6643_67851_000061_000001	Sylvia and Grace were being entertained at tea by Misses Molly and Polly, while Estralla with shining eyes and a wide smile carried tiny cups and little cakes to the guests, and chuckled delightedly over the clever things which Sylvia and Grace declared Molly and Polly had said.	Sylvia and Grace were being entertained at tea by Misses Molly and Polly, while Estralla with shining eyes and a wide smile carried tiny cups and little cakes to the guests, and chuckled delightedly over the clever things which Sylvia and Grace declared Molly and Polly had said.
6643_67851_000064_000001	Not a bit," replied Sylvia laughingly.	Not a bit," replied Sylvia laughingly.
6643_67851_000065_000000	Estralla, who was carefully putting the little table in order, heard Sylvia's defense of her, and for a moment she stood very straight, holding one of the tiny cups in each hand.	Estralla, who was carefully putting the little table in order, heard Sylvia's defense of her, and for a moment she stood very straight, holding one of the tiny cups in each hand.
