4629_19366_000000_000000	LECTURE VIII	LECTURE eight	false	0.96	20.59	20.924397
4629_19366_000004_000001	This acute critic at a later stage did a good deal to popularise it throughout Europe and to overturn that of his own countryman Descartes. Cambridge rapidly became Newtonian, but Oxford remained Cartesian for fifty years or more.	This acute critic at a later stage did a good deal to popularise it throughout Europe and to overturn that of his own countryman Descartes. Cambridge rapidly became Newtonian, but Oxford remained Cartesian for fifty years or more.	false	128.06	143.2	22.90907
4629_19366_000004_000002	It is curious what little hold science and mathematics have ever secured in the older and more ecclesiastical University.	It is curious what little hold science and mathematics have ever secured in the older and more ecclesiastical University.	true	143.63	150.73	16
4629_19366_000004_000003	The pride of possessing Newton has however no doubt been the main stimulus to the special pursuits of Cambridge.	The pride of possessing Newton has however no doubt been the main stimulus to the special pursuits of Cambridge.	true	150.98	157.27	19
4629_19366_000005_000000	He now began to turn his attention to optics, and, as was usual with him, his whole mind became absorbed in this subject as if nothing else had ever occupied him.	He now began to turn his attention to optics, and, as was usual with him, his whole mind became absorbed in this subject as if nothing else had ever occupied him.	true	157.97	167.98	21.449774
4629_19366_000005_000001	His cash-book for this time has been discovered, and the entries show that he is buying prisms and lenses and polishing powder at the beginning of 1667.	His cash book for this time has been discovered, and the entries show that he is buying prisms and lenses and polishing powder at the beginning of sixteen sixty seven.	false	168.14	177.91	20
4629_19366_000005_000002	He was anxious to improve telescopes by making more perfect lenses than had ever been used before.	He was anxious to improve telescopes by making more perfect lenses than had ever been used before.	true	178.4	183.97	19
4629_19366_000005_000003	Accordingly he calculated out their proper curves, just as Descartes had also done, and then proceeded to grind them as near as he could to those figures. But the images did not please him; they were always blurred and rather indistinct.	Accordingly he calculated out their proper curves, just as Descartes had also done, and then proceeded to grind them as near as he could to those figures. But the images did not please him; they were always blurred and rather indistinct.	true	184.25	198.255	21.64727
4629_19366_000006_000000	At length, it struck him that perhaps it was not the lenses but the light which was at fault.	At length, it struck him that perhaps it was not the lenses but the light which was at fault.	true	198.255	203.77	21.782652
4629_19366_000006_000001	Perhaps light was so composed that it _could_ not be focused accurately to a sharp and definite point.	Perhaps light was so composed that it underscore could underscore not be focused accurately to a sharp and definite point.	false	203.96	210.16	22.398973
4629_19366_000006_000002	Perhaps the law of refraction was not quite accurate, but only an approximation.	Perhaps the law of refraction was not quite accurate, but only an approximation.	true	210.53	215.86	21.850443
4629_19366_000006_000003	So he bought a prism to try the law.	So he bought a prism to try the law.	true	216.08	218.53	20.218445
4629_19366_000006_000004	He let in sunlight through a small round hole in a window shutter, inserted the prism in the light, and received the deflected beam on a white screen; turning the prism about till it was deviated as little as possible.	He let in sunlight through a small round hole in a window shutter, inserted the prism in the light, and received the deflected beam on a white screen; turning the prism about till it was deviated as little as possible.	false	218.6	231.37	20.858732
4629_19366_000006_000005	The patch on the screen was not a round disk, as it would have been without the prism, but was an elongated oval and was coloured at its extremities.	The patch on the screen was not a round disk, as it would have been without the prism, but was an elongated oval and was coloured at its extremities.	true	231.44	241.3	20.380209
4629_19366_000006_000006	Evidently refraction was not a simple geometrical deflection of a ray, there was a spreading out as well.	Evidently refraction was not a simple geometrical deflection of a ray, there was a spreading out as well.	true	241.58	248.07	22.592943
4629_19366_000007_000000	[Illustration: FIG.	[Illustration: FIG.	false	248.07	248.07	
4629_19366_000007_000001	63.--A prism not only _deviates_ a beam of sunlight, but also spreads it out or _disperses_ it.]	sixty three.--A prism not only underscore deviates underscore a beam of sunlight, but also spreads it out or underscore disperses underscore it.]	false	248.07	248.37	-10
4629_19366_000008_000000	Why did the image thus spread out?	Why did the image thus spread out?	true	248.37	250.51	24.125967
4629_19366_000008_000001	If it were due to irregularities in the glass a second prism should rather increase them, but a second prism when held in appropriate position was able to neutralise the dispersion and to reproduce the simple round white spot without deviation. Evidently the spreading out of the beam was connected in some definite way with its refraction.	If it were due to irregularities in the glass a second prism should rather increase them, but a second prism when held in appropriate position was able to neutralise the dispersion and to reproduce the simple round white spot without deviation. Evidently the spreading out of the beam was connected in some definite way with its refraction.	true	251.03	271.12	20.917376
4629_19366_000008_000002	Could it be that the light particles after passing through the prism travelled in variously curved lines, as spinning racquet balls do?	Could it be that the light particles after passing through the prism travelled in variously curved lines, as spinning racquet balls do?	true	271.73	278.98	19
4629_19366_000008_000003	To examine this he measured the length of the oval patch when the screen was at different distances from the prism, and found that the two things were directly proportional to each other. Doubling the distance of the screen doubled the length of the patch. Hence the rays travelled in straight lines from the prism, and the spreading out was due to something that occurred within its substance. Could it be that white light was compound, was a mixture of several constituents, and that its different constituents were differently bent? No sooner thought than tried.	To examine this he measured the length of the oval patch when the screen was at different distances from the prism, and found that the two things were directly proportional to each other. Doubling the distance of the screen doubled the length of the patch. Hence the rays travelled in straight lines from the prism, and the spreading out was due to something that occurred within its substance. Could it be that white light was compound, was a mixture of several constituents, and that its different constituents were differently bent? No sooner thought than tried.	true	279.23	312.165	21.816586
4629_19366_000008_000004	Pierce the screen to let one of the constituents through and interpose a second prism in its path.	Pierce the screen to let one of the constituents through and interpose a second prism in its path.	true	312.165	317.895	25.005861
4629_19366_000008_000005	If the spreading out depended on the prism only it should spread out just as much as before, but if it depended on the complex character of white light, this isolated simple constituent should be able to spread out no more.	If the spreading out depended on the prism only it should spread out just as much as before, but if it depended on the complex character of white light, this isolated simple constituent should be able to spread out no more.	true	317.895	330.19	22.186459
4629_19366_000008_000006	It did not spread out any more: a prism had no more dispersive power over it; it was deflected by the appropriate amount, but it was not analysed into constituents.	It did not spread out any more: a prism had no more dispersive power over it; it was deflected by the appropriate amount, but it was not analysed into constituents.	false	330.41	340.6	22.190845
4629_19366_000008_000007	It differed from sunlight in being simple.	It differed from sunlight in being simple.	true	340.7	343.275	21.380358
4629_19366_000008_000008	With many ingenious and beautifully simple experiments, which are quoted in full in several books on optics, he clinched the argument and established his discovery.	With many ingenious and beautifully simple experiments, which are quoted in full in several books on optics, he clinched the argument and established his discovery.	true	343.275	352.51	18
4629_19366_000008_000009	White light was not simple but compound. It could be sorted out by a prism into an infinite number of constituent parts which were differently refracted, and the most striking of which Newton named violet, indigo, blue, green, yellow, orange, and red.	White light was not simple but compound. It could be sorted out by a prism into an infinite number of constituent parts which were differently refracted, and the most striking of which Newton named violet, indigo, blue, green, yellow, orange, and red.	true	352.61	368.55	21.266539
4629_19366_000009_000000	[Illustration: FIG.	[Illustration: FIG.	false	368.55	368.61	-20
4629_19366_000009_000001	64.--A single constituent of white light, obtained by the use of perforated screens is capable of no more dispersion.]	sixty four.--A single constituent of white light, obtained by the use of perforated screens is capable of no more dispersion.]	false	368.61	369.51	0
4629_19366_000010_000000	At once the true nature of colour became manifest.	At once the true nature of colour became manifest.	true	369.51	372.21	20
4629_19366_000010_000001	Colour resided not in the coloured object as had till now been thought, but in the light which illuminated it.	Colour resided not in the coloured object as had till now been thought, but in the light which illuminated it.	false	372.21	378.91	18.701399
4629_19366_000010_000002	Red glass for instance adds nothing to sunlight.	Red glass for instance adds nothing to sunlight.	true	379.04	382.24	20.481947
4629_19366_000010_000003	The light does not get dyed red by passing through the glass; all that the red glass does is to stop and absorb a large part of the sunlight; it is opaque to the larger portion, but it is transparent to that particular portion which affects our eyes with the sensation of red.	The light does not get dyed red by passing through the glass; all that the red glass does is to stop and absorb a large part of the sunlight; it is opaque to the larger portion, but it is transparent to that particular portion which affects our eyes with the sensation of red.	true	382.34	399.13	22.464588
4629_19366_000010_000004	The prism acts like a sieve sorting out the different kinds of light.	The prism acts like a sieve sorting out the different kinds of light.	false	399.65	403.63	21.050508
4629_19366_000010_000005	Coloured media act like filters, stopping certain kinds but allowing the rest to go through.	Coloured media act like filters, stopping certain kinds but allowing the rest to go through.	true	403.85	409.45	21.12538
4629_19366_000010_000006	Leonardo's and all the ancient doctrines of colour had been singularly wrong; colour is not in the object but in the light.	Leonardo's and all the ancient doctrines of colour had been singularly wrong; colour is not in the object but in the light.	true	409.67	417.85	21.977768
4629_19366_000011_000000	Goethe, in his _Farbenlehre_, endeavoured to controvert Newton, and to reinstate something more like the old views; but his failure was complete.	Goethe, in his underscore Farbenlehre underscore, endeavoured to controvert Newton, and to reinstate something more like the old views; but his failure was complete.	false	418.52	427.42	23.380383
4629_19366_000012_000000	Refraction analysed out the various constituents of white light and displayed them in the form of a series of overlapping images of the aperture, each of a different colour; this series of images we call a spectrum, and the operation we now call spectrum analysis.	Refraction analysed out the various constituents of white light and displayed them in the form of a series of overlapping images of the aperture, each of a different colour; this series of images we call a spectrum, and the operation we now call spectrum analysis.	true	427.91	444.46	20.946472
4629_19366_000012_000001	The reason of the defect of lenses was now plain: it was not so much a defect of the lens as a defect of light.	The reason of the defect of lenses was now plain: it was not so much a defect of the lens as a defect of light.	false	445.34	452.19	21.646435
4629_19366_000012_000002	A lens acts by refraction and brings rays to a focus.	A lens acts by refraction and brings rays to a focus.	false	452.19	455.77	22
4629_19366_000012_000003	If light be simple it acts well, but if ordinary white light fall upon a lens, its different constituents have different foci; every bright object is fringed with colour, and nothing like a clear image can be obtained.	If light be simple it acts well, but if ordinary white light fall upon a lens, its different constituents have different foci; every bright object is fringed with colour, and nothing like a clear image can be obtained.	true	456.05	469.89	21.375204
4629_19366_000013_000000	[Illustration: FIG.	[Illustration: FIG.	false	469.89	470.16	-20
4629_19366_000013_000001	65.--Showing the boundary rays of a parallel beam passing through a lens.]	sixty five.--Showing the boundary rays of a parallel beam passing through a lens.]	false	470.16	473.13	14.645976
4629_19366_000014_000000	A parallel beam passing through a lens becomes conical; but instead of a single cone it is a sheaf or nest of cones, all having the edge of the lens as base, but each having a different vertex.	A parallel beam passing through a lens becomes conical; but instead of a single cone it is a sheaf or nest of cones, all having the edge of the lens as base, but each having a different vertex.	false	473.13	483.73	20.493456
4629_19366_000014_000001	The violet cone is innermost, near the lens, the red cone outermost, while the others lie between.	The violet cone is innermost, near the lens, the red cone outermost, while the others lie between.	false	483.92	490.39	21.64227
4629_19366_000014_000002	Beyond the crossing point or focus the order of cones is reversed, as the above figure shows.	Beyond the crossing point or focus the order of cones is reversed, as the above figure shows.	true	490.61	497.41	21.079435
4629_19366_000014_000003	Only the two marginal rays of the beam are depicted.	Only the two marginal rays of the beam are depicted.	true	498.11	501.6	19.390999
4629_19366_000015_000000	If a screen be held anywhere nearer the lens than the place marked 1 there will be a whitish centre to the patch of light and a red and orange fringe or border.	If a screen be held anywhere nearer the lens than the place marked one there will be a whitish centre to the patch of light and a red and orange fringe or border.	true	501.6	511.87	20.480474
4629_19366_000015_000001	Held anywhere beyond the region 2, the border of the patch will be blue and violet.	Held anywhere beyond the region two, the border of the patch will be blue and violet.	true	512.18	517.815	20.611094
4629_19366_000015_000002	Held about 3 the colour will be less marked than elsewhere, but nowhere can it be got rid of.	Held about three the colour will be less marked than elsewhere, but nowhere can it be got rid of.	false	517.815	523.96	23.648863
4629_19366_000015_000003	Each point of an object will be represented in the image not by a point but by a coloured patch: a fact which amply explains the observed blurring and indistinctness.	Each point of an object will be represented in the image not by a point but by a coloured patch: a fact which amply explains the observed blurring and indistinctness.	true	524.21	535.06	20.957848
4629_19366_000016_000000	Newton measured and calculated the distance between the violet and red foci--VR in the diagram--and showed that it was 1/50th the diameter of the lens.	Newton measured and calculated the distance between the violet and red foci-v r in the diagram-and showed that it was one fiftieth the diameter of the lens.	false	535.94	546.96	20.723078
4629_19366_000016_000001	To overcome this difficulty (called chromatic aberration) telescope glasses were made small and of very long focus: some of them so long that they had no tube, all of them egregiously cumbrous.	To overcome this difficulty (called chromatic aberration) telescope glasses were made small and of very long focus: some of them so long that they had no tube, all of them egregiously cumbrous.	false	546.96	559.83	21.71384
4629_19366_000016_000002	Yet it was with such instruments that all the early discoveries were made.	Yet it was with such instruments that all the early discoveries were made.	true	559.83	563.56	18
4629_19366_000016_000003	With such an instrument, for instance, Huyghens discovered the real shape of Saturn's ring.	With such an instrument, for instance, Huyghens discovered the real shape of Saturn's ring.	false	564.26	570.18	21.58775
4629_19366_000017_000000	The defects of refractors seemed irremediable, being founded in the nature of light itself.	The defects of refractors seemed irremediable, being founded in the nature of light itself.	true	570.18	575.235	17
4629_19366_000017_000001	So he gave up his "glass works"; and proceeded to think of reflexion from metal specula.	So he gave up his "glass works"; and proceeded to think of reflexion from metal specula.	true	575.235	581.17	22.848043
4629_19366_000017_000002	A concave mirror forms an image just as a lens does, but since it does so without refraction or transmission through any substance, there is no accompanying dispersion or chromatic aberration.	A concave mirror forms an image just as a lens does, but since it does so without refraction or transmission through any substance, there is no accompanying dispersion or chromatic aberration.	true	581.69	592.57	20
4629_19366_000018_000000	The first reflecting telescope he made was 1 in. diameter and 6 in. long, and magnified forty times.	The first reflecting telescope he made was one in. diameter and six in. long, and magnified forty times.	false	593.42	601.51	22.011839
4629_19366_000018_000001	It acted as well as a three or four feet refractor of that day, and showed Jupiter's moons.	It acted as well as a three or four feet refractor of that day, and showed Jupiter's moons.	true	602.09	607.6	20
4629_19366_000018_000002	So he made a larger one, now in the library of the Royal Society, London, with an inscription:	So he made a larger one, now in the library of the Royal Society, London, with an inscription:	true	607.73	613.99	16.861105
4629_19366_000019_000000	"The first reflecting telescope, invented by Sir Isaac Newton, and made with his own hands."	"The first reflecting telescope, invented by Sir Isaac Newton, and made with his own hands."	true	614.51	619.6	17
4629_19366_000020_000000	This has been the parent of most of the gigantic telescopes of the present day.	This has been the parent of most of the gigantic telescopes of the present day.	true	620.36	625	19.74359
4629_19366_000020_000001	Fifty years elapsed before it was much improved on, and then, first by Hadley and afterwards by Herschel and others, large and good reflectors were constructed.	Fifty years elapsed before it was much improved on, and then, first by Hadley and afterwards by Herschel and others, large and good reflectors were constructed.	true	625.25	634.78	20.46032
4629_19366_000021_000000	The largest telescope ever made, that of Lord Rosse, is a Newtonian reflector, fifty feet long, six feet diameter, with a mirror weighing four tons.	The largest telescope ever made, that of Lord Rosse, is a Newtonian reflector, fifty feet long, six feet diameter, with a mirror weighing four tons.	true	635.33	645.34	21.157745
4629_19366_000021_000001	The sextant, as used by navigators, was also invented by Newton.	The sextant, as used by navigators, was also invented by Newton.	true	645.56	650.05	20.526722
4629_19366_000022_000000	The year after the plague, in 1667, Newton returned to Trinity College, and there continued his experiments on optics.	The year after the plague, in sixteen sixty seven, Newton returned to Trinity College, and there continued his experiments on optics.	true	652.01	659.71	20.957415
4629_19366_000022_000001	It is specially to be noted that at this time, at the age of twenty-four, Newton had laid the foundations of all his greatest discoveries:--	It is specially to be noted that at this time, at the age of twenty four, Newton had laid the foundations of all his greatest discoveries:--	false	659.75	667.05	16
4629_19366_000023_000000	[Illustration: FIG.	[Illustration: FIG.	false	667.05	667.17	-20
4629_19366_000023_000001	66.--Newton's telescope.]	sixty six.--Newton's telescope.]	false	667.17	667.41	-20
4629_19366_000024_000000	The Theory of Fluxions; or, the Differential Calculus.	The Theory of Fluxions; or, the Differential Calculus.	false	667.41	670.75	20.998085
4629_19366_000025_000000	The Law of Gravitation; or, the complete theory of astronomy.	The Law of Gravitation; or, the complete theory of astronomy.	true	671.42	674.83	19.563112
4629_19366_000026_000000	The compound nature of white light; or, the beginning of Spectrum Analysis.	The compound nature of white light; or, the beginning of Spectrum Analysis.	true	675.11	679.38	17
4629_19366_000027_000000	[Illustration: FIG.	[Illustration: FIG.	false	679.38	679.56	-20
4629_19366_000027_000001	67.--The sextant, as now made.]	sixty seven.--The sextant, as now made.]	false	679.56	680.28	-2
4629_19366_000028_000000	His later life was to be occupied in working these incipient discoveries out.	His later life was to be occupied in working these incipient discoveries out.	true	680.28	684.91	19
4629_19366_000028_000001	But the most remarkable thing is that no one knew about any one of them.	But the most remarkable thing is that no one knew about any one of them.	true	685.28	689.61	18
4629_19366_000028_000002	However, he was known as an accomplished young mathematician, and was made a fellow of his college.	However, he was known as an accomplished young mathematician, and was made a fellow of his college.	true	689.61	695.11	23.048489
4629_19366_000028_000003	You remember that he had a friend there in the person of Dr. Isaac Barrow, first Lucasian Professor of Mathematics in the University.	You remember that he had a friend there in the person of dr Isaac Barrow, first Lucasian Professor of Mathematics in the University.	true	695.54	702.97	18.943573
4629_19366_000028_000004	It happened, about 1669, that a mathematical discovery of some interest was being much discussed, and Dr. Barrow happened to mention it to Newton, who said yes, he had worked out that and a few other similar things some time ago.	It happened, about sixteen sixty nine, that a mathematical discovery of some interest was being much discussed, and dr Barrow happened to mention it to Newton, who said yes, he had worked out that and a few other similar things some time ago.	true	703.25	716.89	20
4629_19366_000028_000005	He accordingly went and fetched some papers to Dr. Barrow, who forwarded them to other distinguished mathematicians, and it thus appeared that Newton had discovered theorems much more general than this special case that was exciting so much interest.	He accordingly went and fetched some papers to dr Barrow, who forwarded them to other distinguished mathematicians, and it thus appeared that Newton had discovered theorems much more general than this special case that was exciting so much interest.	true	717.29	730.12	18
4629_19366_000028_000006	Dr. Barrow, being anxious to devote his time more particularly to theology, resigned his chair the same year in favour of Newton, who was accordingly elected to the Lucasian Professorship, which he held for thirty years.	dr Barrow, being anxious to devote his time more particularly to theology, resigned his chair the same year in favour of Newton, who was accordingly elected to the Lucasian Professorship, which he held for thirty years.	false	730.79	742.84	18
4629_19366_000028_000007	This chair is now the most famous in the University, and it is commonly referred to as the chair of Newton.	This chair is now the most famous in the University, and it is commonly referred to as the chair of Newton.	false	743.3	748.72	13
4629_19366_000029_000000	Still, however, his method of fluxions was unknown, and still he did not publish it.	Still, however, his method of fluxions was unknown, and still he did not publish it.	true	749	753.91	21.66868
4629_19366_000029_000001	He lectured first on optics, giving an account of his experiments.	He lectured first on optics, giving an account of his experiments.	true	754.19	757.93	21.165493
4629_19366_000029_000002	His lectures were afterwards published both in Latin and English, and are highly valued to this day.	His lectures were afterwards published both in Latin and English, and are highly valued to this day.	true	758.21	764.08	22.52263
4629_19366_000030_000000	The fame of his mathematical genius came to the ears of the Royal Society, and a motion was made to get him elected a fellow of that body. The Royal Society, the oldest and most famous of all scientific societies with a continuous existence, took its origin in some private meetings, got up in London by the Hon.	The fame of his mathematical genius came to the ears of the Royal Society, and a motion was made to get him elected a fellow of that body. The Royal Society, the oldest and most famous of all scientific societies with a continuous existence, took its origin in some private meetings, got up in London by the honorable	true	764.72	784.545	18.488297
4629_19366_000030_000001	Robert Boyle and a few scientific friends, during all the trouble of the Commonwealth.	Robert Boyle and a few scientific friends, during all the trouble of the Commonwealth.	true	784.545	790.45	18.878218
4629_19366_000031_000000	After the restoration, Charles II. in 1662 incorporated it under Royal Charter; among the original members being Boyle, Hooke, Christopher Wren, and other less famous names.	After the restoration, Charles the second. in sixteen sixty two incorporated it under Royal Charter; among the original members being Boyle, Hooke, Christopher Wren, and other less famous names.	false	790.49	802.03	17.958483
4629_19366_000031_000001	Boyle was a great experimenter, a worthy follower of Dr. Gilbert.	Boyle was a great experimenter, a worthy follower of dr Gilbert.	true	802.13	806.17	20.668354
4629_19366_000031_000002	Hooke began as his assistant, but being of a most extraordinary ingenuity he rapidly rose so as to exceed his master in importance.	Hooke began as his assistant, but being of a most extraordinary ingenuity he rapidly rose so as to exceed his master in importance.	true	806.39	814.96	21.727365
4629_19366_000031_000003	Fate has been a little unkind to Hooke in placing him so near to Newton; had he lived in an ordinary age he would undoubtedly have shone as a star of the first magnitude.	Fate has been a little unkind to Hooke in placing him so near to Newton; had he lived in an ordinary age he would undoubtedly have shone as a star of the first magnitude.	true	815.3	825.94	17.506205
4629_19366_000031_000004	With great ingenuity, remarkable scientific insight, and consummate experimental skill, he stands in many respects almost on a level with Galileo.	With great ingenuity, remarkable scientific insight, and consummate experimental skill, he stands in many respects almost on a level with Galileo.	true	826.25	835.42	20.565014
4629_19366_000031_000005	But it is difficult to see stars even of the first magnitude when the sun is up, and thus it happens that the name and fame of this brilliant man are almost lost in the blaze of Newton.	But it is difficult to see stars even of the first magnitude when the sun is up, and thus it happens that the name and fame of this brilliant man are almost lost in the blaze of Newton.	true	835.88	845.68	17
4629_19366_000031_000006	Of Christopher Wren I need not say much.	Of Christopher Wren I need not say much.	true	846.53	849.31	20.502628
4629_19366_000031_000007	He is well known as an architect, but he was a most accomplished all-round man, and had a considerable taste and faculty for science.	He is well known as an architect, but he was a most accomplished all round man, and had a considerable taste and faculty for science.	true	849.38	857.26	20.477636
4629_19366_000032_000000	These then were the luminaries of the Royal Society at the time we are speaking of, and to them Newton's first scientific publication was submitted.	These then were the luminaries of the Royal Society at the time we are speaking of, and to them Newton's first scientific publication was submitted.	true	858.11	865.515	17.939806
4629_19366_000032_000001	He communicated to them an account of his reflecting telescope, and presented them with the instrument.	He communicated to them an account of his reflecting telescope, and presented them with the instrument.	true	865.515	870.76	20
4629_19366_000033_000000	Their reception of it surprised him; they were greatly delighted with it, and wrote specially thanking him for the communication, and assuring him that all right should be done him in the matter of the invention. The Bishop of Salisbury (Bishop Burnet) proposed him for election as a fellow, and elected he was.	Their reception of it surprised him; they were greatly delighted with it, and wrote specially thanking him for the communication, and assuring him that all right should be done him in the matter of the invention. The Bishop of Salisbury (Bishop Burnet) proposed him for election as a fellow, and elected he was.	true	871.16	888.39	19.257223
4629_19366_000034_000000	In reply, he expressed his surprise at the value they set on the telescope, and offered, if they cared for it, to send them an account of a discovery which he doubts not will prove much more grateful than the communication of that instrument, "being in my judgment the oddest, if not the most considerable detection that has recently been made into the operations of Nature."	In reply, he expressed his surprise at the value they set on the telescope, and offered, if they cared for it, to send them an account of a discovery which he doubts not will prove much more grateful than the communication of that instrument, "being in my judgment the oddest, if not the most considerable detection that has recently been made into the operations of Nature."	false	888.39	913.47	19.948877
4629_19366_000035_000000	So he tells them about his optical researches and his discovery of the nature of white light, writing them a series of papers which were long afterwards incorporated and published as his _Optics_.	So he tells them about his optical researches and his discovery of the nature of white light, writing them a series of papers which were long afterwards incorporated and published as his underscore Optics underscore.	false	913.47	923.73	19.242512
4629_19366_000035_000001	A magnificent work, which of itself suffices to place its author in the first rank of the world's men of science.	A magnificent work, which of itself suffices to place its author in the first rank of the world's men of science.	true	923.73	929.62	16
4629_19366_000036_000000	The nature of white light, the true doctrine of colour, and the differential calculus! besides a good number of minor results--binomial theorem, reflecting telescope, sextant, and the like; one would think it enough for one man's life-work, but the masterpiece remains still to be mentioned.	The nature of white light, the true doctrine of colour, and the differential calculus! besides a good number of minor results-binomial theorem, reflecting telescope, sextant, and the like; one would think it enough for one man's life work, but the masterpiece remains still to be mentioned.	false	930.14	947.26	19.410278
4629_19366_000036_000001	It is as when one is considering Shakspeare: _King Lear_, _Macbeth_, _Othello_,--surely a sufficient achievement,--but the masterpiece remains.	It is as when one is considering Shakspeare: underscore King Lear underscore, underscore Macbeth underscore, underscore Othello underscore,--surely a sufficient achievement,--but the masterpiece remains.	false	948.35	957.1	22.112755
4629_19366_000037_000000	Comparisons in different departments are but little help perhaps, nevertheless it seems to me that in his own department, and considered simply as a man of science, Newton towers head and shoulders over, not only his contemporaries--that is a small matter--but over every other scientific man who has ever lived, in a way that we can find no parallel for in other departments.	Comparisons in different departments are but little help perhaps, nevertheless it seems to me that in his own department, and considered simply as a man of science, Newton towers head and shoulders over, not only his contemporaries-that is a small matter-but over every other scientific man who has ever lived, in a way that we can find no parallel for in other departments.	true	957.71	979.635	20
4629_19366_000037_000001	Other nations admit his scientific pre-eminence with as much alacrity as we do.	Other nations admit his scientific pre eminence with as much alacrity as we do.	true	979.635	984.22	17.839247
4629_19366_000038_000000	Well, we have arrived at the year 1672 and his election to the Royal Society.	Well, we have arrived at the year sixteen seventy two and his election to the Royal Society.	false	984.35	989.11	17
4629_19366_000038_000001	During the first year of his membership there was read at one of the meetings a paper giving an account of a very careful determination of the length of a degree (_i.e._ of the size of the earth), which had been made by Picard near Paris.	During the first year of his membership there was read at one of the meetings a paper giving an account of a very careful determination of the length of a degree (underscore i e underscore of the size of the earth), which had been made by Picard near Paris.	false	989.3	1003.66	19.70037
4629_19366_000038_000002	The length of the degree turned out to be not sixty miles, but nearly seventy miles.	The length of the degree turned out to be not sixty miles, but nearly seventy miles.	true	1004.87	1009.48	19
4629_19366_000038_000003	How soon Newton heard of this we do not learn--probably not for some years,--Cambridge was not so near London then as it is now, but ultimately it was brought to his notice.	How soon Newton heard of this we do not learn-probably not for some years,--Cambridge was not so near London then as it is now, but ultimately it was brought to his notice.	true	1009.79	1020.43	19.165577
4629_19366_000038_000004	Armed with this new datum, his old speculation concerning gravity occurred to him.	Armed with this new datum, his old speculation concerning gravity occurred to him.	true	1020.83	1025.02	21.536852
4629_19366_000038_000005	He had worked out the mechanics of the solar system on a certain hypothesis, but it had remained a hypothesis somewhat out of harmony with apparent fact.	He had worked out the mechanics of the solar system on a certain hypothesis, but it had remained a hypothesis somewhat out of harmony with apparent fact.	false	1025.42	1033.42	17
4629_19366_000038_000006	What if it should turn out to be true after all!	What if it should turn out to be true after all!	true	1034.15	1036.66	25
4629_19366_000039_000000	He took out his old papers and began again the calculation.	He took out his old papers and began again the calculation.	true	1037.48	1040.5	19
4629_19366_000039_000001	If gravity were the force keeping the moon in its orbit, it would fall toward the earth sixteen feet every minute.	If gravity were the force keeping the moon in its orbit, it would fall toward the earth sixteen feet every minute.	true	1040.9	1047.21	21.756306
