7245_104890_000000_000000	TIME AND ETERNITY.	TIME AND ETERNITY.	true	12.51	13.83	17
7245_104890_000055_000000	XV.	fifteen.	true	459.86	460.99	24.806072
7245_104890_000056_000000	Their height in heaven comforts not, Their glory nought to me; 'T was best imperfect, as it was; I 'm finite, I can't see.	Their height in heaven comforts not, Their glory nought to me; 'T was best imperfect, as it was; I 'm finite, I can't see.	false	461.69	470.14	24.158237
7245_104890_000057_000000	The house of supposition, The glimmering frontier That skirts the acres of perhaps, To me shows insecure.	The house of supposition, The glimmering frontier That skirts the acres of perhaps, To me shows insecure.	true	470.81	478.24	22.3791
7245_104890_000058_000000	The wealth I had contented me; If 't was a meaner size, Then I had counted it until It pleased my narrow eyes	The wealth I had contented me; If 't was a meaner size, Then I had counted it until It pleased my narrow eyes	false	478.94	486.55	21.319435
7245_104890_000059_000000	Better than larger values, However true their show; This timid life of evidence Keeps pleading, "I don't know."	Better than larger values, However true their show; This timid life of evidence Keeps pleading, "I don't know."	true	487.1	494.5	21.891556
7245_104890_000060_000000	XVI.	sixteen.	true	499.25	500.32	21.773182
7245_104890_000061_000000	There is a shame of nobleness Confronting sudden pelf, -- A finer shame of ecstasy Convicted of itself.	There is a shame of nobleness Confronting sudden pelf, -- A finer shame of ecstasy Convicted of itself.	true	501.38	509.05	22.899872
7245_104890_000062_000000	A best disgrace a brave man feels, Acknowledged of the brave, -- One more "Ye Blessed" to be told; But this involves the grave.	A best disgrace a brave man feels, Acknowledged of the brave, -- One more "Ye Blessed" to be told; But this involves the grave.	true	509.69	520.18	19.394327
7245_104890_000063_000000	XVII.	seventeen.	true	523.67	524.92	19.103724
7245_104890_000064_000000	TRIUMPH.	TRIUMPH.	true	525.08	526.12	17.941885
7245_104890_000065_000000	Triumph may be of several kinds. There 's triumph in the room When that old imperator, Death, By faith is overcome.	Triumph may be of several kinds. There 's triumph in the room When that old imperator, Death, By faith is overcome.	false	527.03	534.52	22.610348
7245_104890_000066_000000	There 's triumph of the finer mind When truth, affronted long, Advances calm to her supreme, Her God her only throng.	There 's triumph of the finer mind When truth, affronted long, Advances calm to her supreme, Her God her only throng.	false	535.13	542.83	22.264393
7245_104890_000067_000000	A triumph when temptation's bribe Is slowly handed back, One eye upon the heaven renounced And one upon the rack.	A triumph when temptation's bribe Is slowly handed back, One eye upon the heaven renounced And one upon the rack.	true	543.38	550.5	21.767387
7245_104890_000068_000000	Severer triumph, by himself Experienced, who can pass Acquitted from that naked bar, Jehovah's countenance!	Severer triumph, by himself Experienced, who can pass Acquitted from that naked bar, Jehovah's countenance!	false	550.5	558.49	22.845705
7245_104890_000069_000000	XVIII.	eighteen.	true	561.59	562.57	26.540192
7245_104890_000070_000000	Pompless no life can pass away; The lowliest career To the same pageant wends its way As that exalted here. How cordial is the mystery! The hospitable pall A "this way" beckons spaciously, -- A miracle for all!	Pompless no life can pass away; The lowliest career To the same pageant wends its way As that exalted here. How cordial is the mystery! The hospitable pall A "this way" beckons spaciously, -- A miracle for all!	false	563.18	578.32	22.92858
7245_104890_000071_000000	XIX.	nineteen.	true	580.37	581.41	24.776772
7245_104890_000072_000000	I noticed people disappeared, When but a little child, -- Supposed they visited remote, Or settled regions wild.	I noticed people disappeared, When but a little child, -- Supposed they visited remote, Or settled regions wild.	true	582.29	589.36	20.572327
7245_104890_000073_000000	Now know I they both visited And settled regions wild, But did because they died, -- a fact Withheld the little child!	Now know I they both visited And settled regions wild, But did because they died, -- a fact Withheld the little child!	false	590	597.48	19.6948
7245_104890_000074_000000	XX.	x x.	false	597.48	602.07	16.772413
7245_104890_000075_000000	FOLLOWING.	FOLLOWING.	true	602.07	602.95	23.271791
7245_104890_000076_000000	I had no cause to be awake, My best was gone to sleep, And morn a new politeness took, And failed to wake them up,	I had no cause to be awake, My best was gone to sleep, And morn a new politeness took, And failed to wake them up,	true	603.77	611.2	23.047596
7245_104890_000077_000000	But called the others clear, And passed their curtains by. Sweet morning, when I over-sleep, Knock, recollect, for me!	But called the others clear, And passed their curtains by. Sweet morning, when I over sleep, Knock, recollect, for me!	true	611.6	618.49	21.239315
7245_104890_000078_000000	I looked at sunrise once, And then I looked at them, And wishfulness in me arose For circumstance the same.	I looked at sunrise once, And then I looked at them, And wishfulness in me arose For circumstance the same.	true	619.1	625.65	21.832354
7245_104890_000079_000000	'T was such an ample peace, It could not hold a sigh, -- 'T was Sabbath with the bells divorced, 'T was sunset all the day.	'T was such an ample peace, It could not hold a sigh, -- 'T was Sabbath with the bells divorced, 'T was sunset all the day.	false	625.65	633.85	23.286081
7245_104890_000080_000000	So choosing but a gown And taking but a prayer, The only raiment I should need, I struggled, and was there.	So choosing but a gown And taking but a prayer, The only raiment I should need, I struggled, and was there.	true	634.49	641.47	21.270708
7245_104890_000081_000000	XXI.	twenty one.	true	644.63	645.64	22.504225
7245_104890_000082_000000	If anybody's friend be dead, It 's sharpest of the theme The thinking how they walked alive, At such and such a time.	If anybody's friend be dead, It 's sharpest of the theme The thinking how they walked alive, At such and such a time.	false	646.37	653.29	23.18401
7245_104890_000083_000000	Their costume, of a Sunday, Some manner of the hair, -- A prank nobody knew but them, Lost, in the sepulchre.	Their costume, of a Sunday, Some manner of the hair, -- A prank nobody knew but them, Lost, in the sepulchre.	true	654.08	661	20.622559
7245_104890_000084_000000	How warm they were on such a day: You almost feel the date, So short way off it seems; and now, They 're centuries from that.	How warm they were on such a day: You almost feel the date, So short way off it seems; and now, They 're centuries from that.	false	661.76	669.49	19.75357
7245_104890_000085_000000	How pleased they were at what you said; You try to touch the smile, And dip your fingers in the frost: When was it, can you tell,	How pleased they were at what you said; You try to touch the smile, And dip your fingers in the frost: When was it, can you tell,	false	669.89	677.77	21.885067
7245_104890_000086_000000	You asked the company to tea, Acquaintance, just a few, And chatted close with this grand thing That don't remember you?	You asked the company to tea, Acquaintance, just a few, And chatted close with this grand thing That don't remember you?	true	678.38	685.87	22.995256
7245_104890_000087_000000	Past bows and invitations, Past interview, and vow, Past what ourselves can estimate, -- That makes the quick of woe!	Past bows and invitations, Past interview, and vow, Past what ourselves can estimate, -- That makes the quick of woe!	true	686.48	694.33	23.139294
7245_104890_000088_000000	XXII.	twenty two.	false	699.14	700.35	25.23107
7245_104890_000089_000000	THE JOURNEY.	THE JOURNEY.	true	700.35	701.17	27.053564
7245_104890_000090_000000	Our journey had advanced; Our feet were almost come To that odd fork in Being's road, Eternity by term.	Our journey had advanced; Our feet were almost come To that odd fork in Being's road, Eternity by term.	true	702.26	709.57	22.242958
7245_104890_000091_000000	Our pace took sudden awe, Our feet reluctant led. Before were cities, but between, The forest of the dead.	Our pace took sudden awe, Our feet reluctant led. Before were cities, but between, The forest of the dead.	true	710.03	717.67	23.1906
7245_104890_000092_000000	Retreat was out of hope, -- Behind, a sealed route, Eternity's white flag before, And God at every gate.	Retreat was out of hope, -- Behind, a sealed route, Eternity's white flag before, And God at every gate.	false	718.16	726.01	21.651329
7245_104890_000093_000000	XXIII.	twenty three.	true	729.71	730.78	24.46836
7245_104890_000094_000000	A COUNTRY BURIAL.	A COUNTRY BURIAL.	true	731.18	732.52	21.656677
7245_104890_000095_000000	Ample make this bed. Make this bed with awe; In it wait till judgment break Excellent and fair.	Ample make this bed. Make this bed with awe; In it wait till judgment break Excellent and fair.	false	733.19	739.9	24.251003
7245_104890_000096_000000	Be its mattress straight, Be its pillow round; Let no sunrise' yellow noise Interrupt this ground.	Be its mattress straight, Be its pillow round; Let no sunrise' yellow noise Interrupt this ground.	true	740.39	747.52	20.595556
7245_104890_000097_000000	XXIV.	twenty four.	true	751.34	752.41	24.542454
7245_104890_000098_000000	GOING.	GOING.	true	752.72	753.52	23.360407
7245_104890_000099_000000	On such a night, or such a night, Would anybody care If such a little figure Slipped quiet from its chair,	On such a night, or such a night, Would anybody care If such a little figure Slipped quiet from its chair,	true	754.28	760.78	24.846107
7245_104890_000100_000000	So quiet, oh, how quiet! That nobody might know But that the little figure Rocked softer, to and fro?	So quiet, oh, how quiet! That nobody might know But that the little figure Rocked softer, to and fro?	true	761.09	768.07	23.339298
7245_104890_000101_000000	On such a dawn, or such a dawn, Would anybody sigh That such a little figure Too sound asleep did lie	On such a dawn, or such a dawn, Would anybody sigh That such a little figure Too sound asleep did lie	true	768.62	775.33	22
7245_104890_000102_000000	For chanticleer to wake it, -- Or stirring house below, Or giddy bird in orchard, Or early task to do?	For chanticleer to wake it, -- Or stirring house below, Or giddy bird in orchard, Or early task to do?	true	775.7	782.26	23.58943
7245_104890_000103_000000	There was a little figure plump For every little knoll, Busy needles, and spools of thread, And trudging feet from school.	There was a little figure plump For every little knoll, Busy needles, and spools of thread, And trudging feet from school.	true	783.02	790.3	21.216148
7245_104890_000104_000000	Playmates, and holidays, and nuts, And visions vast and small. Strange that the feet so precious charged Should reach so small a goal!	Playmates, and holidays, and nuts, And visions vast and small. Strange that the feet so precious charged Should reach so small a goal!	true	790.79	799.96	23.386919
7245_104890_000105_000000	XXV.	twenty five.	true	803.51	804.79	21.100773
7245_104890_000106_000000	Essential oils are wrung: The attar from the rose Is not expressed by suns alone, It is the gift of screws.	Essential oils are wrung: The attar from the rose Is not expressed by suns alone, It is the gift of screws.	true	805.4	813.43	19.947447
7245_104890_000107_000000	The general rose decays; But this, in lady's drawer, Makes summer when the lady lies In ceaseless rosemary.	The general rose decays; But this, in lady's drawer, Makes summer when the lady lies In ceaseless rosemary.	true	813.89	821.59	20.075466
7245_104890_000108_000000	XXVI.	twenty six.	true	825.11	826.21	26.750013
7245_104890_000109_000000	I lived on dread; to those who know The stimulus there is In danger, other impetus Is numb and vital-less.	I lived on dread; to those who know The stimulus there is In danger, other impetus Is numb and vital less.	true	826.73	834.58	22.229359
7245_104890_000110_000000	As 't were a spur upon the soul, A fear will urge it where To go without the spectre's aid Were challenging despair.	As 't were a spur upon the soul, A fear will urge it where To go without the spectre's aid Were challenging despair.	false	835.58	842.8	23.280283
7245_104890_000111_000000	XXVII.	twenty seven.	true	847.46	848.62	18.928705
7245_104890_000112_000000	If I should die, And you should live, And time should gurgle on, And morn should beam, And noon should burn, As it has usual done; If birds should build as early, And bees as bustling go, -- One might depart at option From enterprise below! 'T is sweet to know that stocks will stand When we with daisies lie, That commerce will continue, And trades as briskly fly. It makes the parting tranquil And keeps the soul serene, That gentlemen so sprightly Conduct the pleasing scene!	If I should die, And you should live, And time should gurgle on, And morn should beam, And noon should burn, As it has usual done; If birds should build as early, And bees as bustling go, -- One might depart at option From enterprise below! 'T is sweet to know that stocks will stand When we with daisies lie, That commerce will continue, And trades as briskly fly. It makes the parting tranquil And keeps the soul serene, That gentlemen so sprightly Conduct the pleasing scene!	false	849.38	882.28	22.251331
7245_104890_000113_000000	XXVIII.	twenty eight.	true	886.46	887.53	26.829102
7245_104890_000114_000000	AT LENGTH.	AT LENGTH.	true	887.81	888.88	22.713484
7245_104890_000115_000000	Her final summer was it, And yet we guessed it not; If tenderer industriousness Pervaded her, we thought	Her final summer was it, And yet we guessed it not; If tenderer industriousness Pervaded her, we thought	true	889.4	896.65	21.75985
7245_104890_000116_000000	A further force of life Developed from within, -- When Death lit all the shortness up, And made the hurry plain.	A further force of life Developed from within, -- When Death lit all the shortness up, And made the hurry plain.	true	897.02	904.18	21.96617
7245_104890_000117_000000	We wondered at our blindness, -- When nothing was to see But her Carrara guide-post, -- At our stupidity,	We wondered at our blindness, -- When nothing was to see But her Carrara guide post, -- At our stupidity,	true	904.79	911.53	23.138443
7245_104890_000118_000000	When, duller than our dulness, The busy darling lay, So busy was she, finishing, So leisurely were we!	When, duller than our dulness, The busy darling lay, So busy was she, finishing, So leisurely were we!	true	912.17	919.15	21.62548
7245_104890_000119_000000	XXIX.	twenty nine.	true	922.31	923.37	22.8475
7245_104890_000120_000000	GHOSTS.	GHOSTS.	false	923.37	925.29	16.528584
7245_104890_000121_000000	One need not be a chamber to be haunted, One need not be a house; The brain has corridors surpassing Material place.	One need not be a chamber to be haunted, One need not be a house; The brain has corridors surpassing Material place.	true	925.29	933.4	21.644068
7245_104890_000122_000000	Far safer, of a midnight meeting External ghost, Than an interior confronting That whiter host.	Far safer, of a midnight meeting External ghost, Than an interior confronting That whiter host.	true	934.37	941.65	23.05162
7245_104890_000123_000000	Far safer through an Abbey gallop, The stones achase, Than, moonless, one's own self encounter In lonesome place.	Far safer through an Abbey gallop, The stones achase, Than, moonless, one's own self encounter In lonesome place.	true	942.23	950.17	21.830616
7245_104890_000124_000000	Ourself, behind ourself concealed, Should startle most; Assassin, hid in our apartment, Be horror's least.	Ourself, behind ourself concealed, Should startle most; Assassin, hid in our apartment, Be horror's least.	true	951.14	959.14	22.188982
7245_104890_000125_000000	The prudent carries a revolver, He bolts the door, O'erlooking a superior spectre More near.	The prudent carries a revolver, He bolts the door, O'erlooking a superior spectre More near.	true	960.08	971.46	19.040909
7245_104890_000126_000000	XXX.	x x x.	false	971.46	973.38	16.357096
7245_104890_000127_000000	VANISHED.	VANISHED.	true	973.38	974.32	20.124033
7245_104890_000128_000000	She died, -- this was the way she died; And when her breath was done, Took up her simple wardrobe And started for the sun.	She died, -- this was the way she died; And when her breath was done, Took up her simple wardrobe And started for the sun	true	974.72	982.24	21.863962
7245_104890_000129_000000	Her little figure at the gate The angels must have spied, Since I could never find her Upon the mortal side.	Her little figure at the gate The angels must have spied, Since I could never find her Upon the mortal side.	true	982.64	989.29	23.10314
7245_104890_000130_000000	XXXI.	thirty one.	true	993.65	994.69	22.957333
7245_104890_000131_000000	PRECEDENCE.	PRECEDENCE.	true	994.79	995.8	22.017624
7245_104890_000132_000000	Wait till the majesty of Death Invests so mean a brow! Almost a powdered footman Might dare to touch it now!	Wait till the majesty of Death Invests so mean a brow! Almost a powdered footman Might dare to touch it now!	true	996.29	1003.24	21.993162
7245_104890_000133_000000	Wait till in everlasting robes This democrat is dressed, Then prate about "preferment" And "station" and the rest!	Wait till in everlasting robes This democrat is dressed, Then prate about "preferment" And "station" and the rest!	true	1003.73	1010.59	22.087383
7245_104890_000134_000000	Around this quiet courtier Obsequious angels wait! Full royal is his retinue, Full purple is his state!	Around this quiet courtier Obsequious angels wait! Full royal is his retinue, Full purple is his state!	true	1010.87	1017.78	22.200403
7245_104890_000135_000000	A lord might dare to lift the hat To such a modest clay, Since that my Lord, "the Lord of lords" Receives unblushingly!	A lord might dare to lift the hat To such a modest clay, Since that my Lord, "the Lord of lords" Receives unblushingly!	false	1017.78	1026.13	23.509502
7245_104890_000136_000000	XXXII.	thirty two.	false	1030.01	1031.4	21.052807
7245_104890_000137_000000	GONE.	GONE.	true	1031.4	1032.13	20.48041
7245_104890_000138_000000	Went up a year this evening! I recollect it well! Amid no bells nor bravos The bystanders will tell! Cheerful, as to the village, Tranquil, as to repose, Chastened, as to the chapel, This humble tourist rose. Did not talk of returning, Alluded to no time When, were the gales propitious, We might look for him; Was grateful for the roses In life's diverse bouquet, Talked softly of new species To pick another day.	Went up a year this evening! I recollect it well! Amid no bells nor bravos The bystanders will tell! Cheerful, as to the village, Tranquil, as to repose, Chastened, as to the chapel, This humble tourist rose. Did not talk of returning, Alluded to no time When, were the gales propitious, We might look for him; Was grateful for the roses In life's diverse bouquet, Talked softly of new species To pick another day.	true	1032.74	1061.17	22.241074
7245_104890_000139_000000	Beguiling thus the wonder, The wondrous nearer drew; Hands bustled at the moorings -- The crowd respectful grew. Ascended from our vision To countenances new! A difference, a daisy, Is all the rest I knew!	Beguiling thus the wonder, The wondrous nearer drew; Hands bustled at the moorings -- The crowd respectful grew. Ascended from our vision To countenances new! A difference, a daisy, Is all the rest I knew!	true	1061.84	1076.11	22.056595
7245_104890_000140_000000	XXXIII.	thirty three.	true	1079.57	1080.7	23.793062
7245_104890_000141_000000	REQUIEM.	REQUIEM.	true	1080.8	1081.72	24.87141
7245_104890_000142_000000	Taken from men this morning, Carried by men to-day, Met by the gods with banners Who marshalled her away.	Taken from men this morning, Carried by men to day, Met by the gods with banners Who marshalled her away.	true	1082.27	1089.43	22.099133
7245_104890_000143_000000	One little maid from playmates, One little mind from school, -- There must be guests in Eden; All the rooms are full.	One little maid from playmates, One little mind from school, -- There must be guests in Eden; All the rooms are full.	true	1089.89	1097.17	21.259756
7245_104890_000144_000000	Far as the east from even, Dim as the border star, -- Courtiers quaint, in kingdoms, Our departed are.	Far as the east from even, Dim as the border star, -- Courtiers quaint, in kingdoms, Our departed are.	false	1097.72	1108.74	20.1038
7245_104890_000145_000000	XXXIV.	thirty four.	true	1108.74	1109.68	24.572565
7245_104890_000146_000000	What inn is this Where for the night Peculiar traveller comes? Who is the landlord? Where the maids? Behold, what curious rooms! No ruddy fires on the hearth, No brimming tankards flow. Necromancer, landlord, Who are these below?	What inn is this Where for the night Peculiar traveller comes? Who is the landlord? Where the maids? Behold, what curious rooms! No ruddy fires on the hearth, No brimming tankards flow. Necromancer, landlord, Who are these below?	true	1110.14	1126.93	21.175406
7245_104890_000147_000000	XXXV.	thirty five.	true	1129.52	1130.68	21.463848
7245_104890_000148_000000	It was not death, for I stood up, And all the dead lie down; It was not night, for all the bells Put out their tongues, for noon.	It was not death, for I stood up, And all the dead lie down; It was not night, for all the bells Put out their tongues, for noon.	true	1131.83	1140.07	22.839443
