835_130876_000005_000000	The Lightning Bolts of Captain Nemo	The Lightning Bolts of Captain Nemo
835_130876_000095_000000	"Then, sir, you assume they'll board the ship?"	"Then, sir, you assume they'll board the ship?"
835_130876_000096_000000	"I'm certain of it."	"I'm certain of it."
835_130876_000097_000000	"Well, sir, let them come aboard.	"Well, sir, let them come aboard.
835_130876_000097_000001	I see no reason to prevent them. Deep down they're just poor devils, these Papuans, and I don't want my visit to Gueboroa Island to cost the life of a single one of these unfortunate people!"	I see no reason to prevent them. Deep down they're just poor devils, these Papuans, and I don't want my visit to Gueboroa Island to cost the life of a single one of these unfortunate people!"
835_130876_000098_000000	On this note I was about to withdraw; but Captain Nemo detained me and invited me to take a seat next to him.	On this note I was about to withdraw; but Captain Nemo detained me and invited me to take a seat next to him.
835_130876_000098_000001	He questioned me with interest on our excursions ashore and on our hunting, but seemed not to understand the Canadian's passionate craving for red meat. Then our conversation skimmed various subjects, and without being more forthcoming, Captain Nemo proved more affable.	He questioned me with interest on our excursions ashore and on our hunting, but seemed not to understand the Canadian's passionate craving for red meat. Then our conversation skimmed various subjects, and without being more forthcoming, Captain Nemo proved more affable.
835_130876_000099_000000	Among other things, we came to talk of the Nautilus's circumstances, aground in the same strait where Captain Dumont d'Urville had nearly miscarried.	Among other things, we came to talk of the Nautilus's circumstances, aground in the same strait where Captain Dumont d'Urville had nearly miscarried.
835_130876_000099_000001	Then, pertinent to this:	Then, pertinent to this:
835_130876_000100_000000	"He was one of your great seamen," the captain told me, "one of your shrewdest navigators, that d'Urville!	"He was one of your great seamen," the captain told me, "one of your shrewdest navigators, that d'Urville!
835_130876_000100_000001	He was the Frenchman's Captain Cook.	He was the Frenchman's Captain Cook.
835_130876_000100_000002	A man wise but unlucky! Braving the ice banks of the South Pole, the coral of Oceania, the cannibals of the Pacific, only to perish wretchedly in a train wreck! If that energetic man was able to think about his life in its last seconds, imagine what his final thoughts must have been!"	A man wise but unlucky! Braving the ice banks of the South Pole, the coral of Oceania, the cannibals of the Pacific, only to perish wretchedly in a train wreck! If that energetic man was able to think about his life in its last seconds, imagine what his final thoughts must have been!"
835_130876_000101_000000	As he spoke, Captain Nemo seemed deeply moved, an emotion I felt was to his credit.	As he spoke, Captain Nemo seemed deeply moved, an emotion I felt was to his credit.
835_130876_000103_000000	"What your d'Urville did on the surface of the sea," Captain Nemo told me, "I've done in the ocean's interior, but more easily, more completely than he.	"What your d'Urville did on the surface of the sea," Captain Nemo told me, "I've done in the ocean's interior, but more easily, more completely than he.
835_130876_000104_000000	"Even so, captain," I said, "there is one major similarity between Dumont d'Urville's sloops of war and the Nautilus."	"Even so, captain," I said, "there is one major similarity between Dumont d'Urville's sloops of war and the Nautilus."
835_130876_000105_000000	"What's that, sir?"	"What's that, sir?"
835_130876_000106_000000	"Like them, the Nautilus has run aground!"	"Like them, the Nautilus has run aground!"
835_130876_000107_000000	"The Nautilus is not aground, sir," Captain Nemo replied icily. "The Nautilus was built to rest on the ocean floor, and I don't need to undertake the arduous labors, the maneuvers d'Urville had to attempt in order to float off his sloops of war. The Zealous and the new Astrolabe wellnigh perished, but my Nautilus is in no danger.	"The Nautilus is not aground, sir," Captain Nemo replied icily. "The Nautilus was built to rest on the ocean floor, and I don't need to undertake the arduous labors, the maneuvers d'Urville had to attempt in order to float off his sloops of war. The Zealous and the new Astrolabe wellnigh perished, but my Nautilus is in no danger.
835_130876_000107_000001	Tomorrow, on the day stated and at the hour stated, the tide will peacefully lift it off, and it will resume its navigating through the seas."	Tomorrow, on the day stated and at the hour stated, the tide will peacefully lift it off, and it will resume its navigating through the seas."
835_130876_000108_000000	"Captain," I said, "I don't doubt--"	"Captain," I said, "I don't doubt-"
835_130876_000109_000000	"Tomorrow," Captain Nemo added, standing up, "tomorrow at 2:40 in the afternoon, the Nautilus will float off and exit the Torres Strait undamaged."	"Tomorrow," Captain Nemo added, standing up, "tomorrow at two forty in the afternoon, the Nautilus will float off and exit the Torres Strait undamaged."
835_130876_000110_000000	Pronouncing these words in an extremely sharp tone, Captain Nemo gave me a curt bow.	Pronouncing these words in an extremely sharp tone, Captain Nemo gave me a curt bow.
835_130876_000110_000001	This was my dismissal, and I reentered my stateroom.	This was my dismissal, and I reentered my stateroom.
835_130876_000112_000000	"My boy," I replied, "when I expressed the belief that these Papuan natives were a threat to his Nautilus, the captain answered me with great irony.	"My boy," I replied, "when I expressed the belief that these Papuan natives were a threat to his Nautilus, the captain answered me with great irony.
835_130876_000112_000001	So I've just one thing to say to you: have faith in him and sleep in peace."	So I've just one thing to say to you: have faith in him and sleep in peace."
835_130876_000113_000000	"Master has no need for my services?"	"Master has no need for my services?"
835_130876_000114_000000	"No, my friend.	"No, my friend.
835_130876_000114_000001	What's Ned Land up to?"	What's Ned Land up to?"
835_130876_000115_000000	"Begging master's indulgence," Conseil replied, "but our friend Ned is concocting a kangaroo pie that will be the eighth wonder!"	"Begging master's indulgence," Conseil replied, "but our friend Ned is concocting a kangaroo pie that will be the eighth wonder!"
835_130876_000117_000000	I got up at six o'clock in the morning.	I got up at six o'clock in the morning.
835_130876_000117_000001	The hatches weren't open. So the air inside hadn't been renewed; but the air tanks were kept full for any eventuality and would function appropriately to shoot a few cubic meters of oxygen into the Nautilus's thin atmosphere.	The hatches weren't open. So the air inside hadn't been renewed; but the air tanks were kept full for any eventuality and would function appropriately to shoot a few cubic meters of oxygen into the Nautilus's thin atmosphere.
835_130876_000118_000000	I worked in my stateroom until noon without seeing Captain Nemo even for an instant.	I worked in my stateroom until noon without seeing Captain Nemo even for an instant.
835_130876_000118_000001	Nobody on board seemed to be making any preparations for departure.	Nobody on board seemed to be making any preparations for departure.
835_130876_000119_000000	I still waited for a while, then I made my way to the main lounge. Its timepiece marked 2:30.	I still waited for a while, then I made my way to the main lounge. Its timepiece marked two thirty.
835_130876_000119_000001	In ten minutes the tide would reach its maximum elevation, and if Captain Nemo hadn't made a rash promise, the Nautilus would immediately break free.	In ten minutes the tide would reach its maximum elevation, and if Captain Nemo hadn't made a rash promise, the Nautilus would immediately break free.
835_130876_000119_000002	If not, many months might pass before it could leave its coral bed.	If not, many months might pass before it could leave its coral bed.
835_130876_000120_000000	But some preliminary vibrations could soon be felt over the boat's hull. I heard its plating grind against the limestone roughness of that coral base.	But some preliminary vibrations could soon be felt over the boat's hull. I heard its plating grind against the limestone roughness of that coral base.
835_130876_000121_000000	At 2:35 Captain Nemo appeared in the lounge.	At two thirty five Captain Nemo appeared in the lounge.
835_130876_000122_000000	"We're about to depart," he said.	"We're about to depart," he said.
835_130876_000123_000000	"Ah!" I put in.	"Ah!" I put in.
835_130876_000124_000000	"I've given orders to open the hatches."	"I've given orders to open the hatches."
835_130876_000125_000000	"What about the Papuans?"	"What about the Papuans?"
835_130876_000127_000000	"Won't they come inside the Nautilus?"	"Won't they come inside the Nautilus?"
835_130876_000128_000000	"How will they manage that?"	"How will they manage that?"
835_130876_000129_000000	"By jumping down the hatches you're about to open."	"By jumping down the hatches you're about to open."
835_130876_000130_000000	"Professor Aronnax," Captain Nemo replied serenely, "the Nautilus's hatches aren't to be entered in that fashion even when they're open."	"Professor Aronnax," Captain Nemo replied serenely, "the Nautilus's hatches aren't to be entered in that fashion even when they're open."
835_130876_000131_000000	I gaped at the captain.	I gaped at the captain.
835_130876_000133_000000	"Not in the least."	"Not in the least."
835_130876_000134_000000	"Well, come along and you'll see!"	"Well, come along and you'll see!"
835_130876_000135_000000	I headed to the central companionway.	I headed to the central companionway.
835_130876_000136_000000	The hatch lids fell back onto the outer plating. Twenty horrible faces appeared.	The hatch lids fell back onto the outer plating. Twenty horrible faces appeared.
835_130876_000136_000001	But when the first islander laid hands on the companionway railing, he was flung backward by some invisible power, lord knows what!	But when the first islander laid hands on the companionway railing, he was flung backward by some invisible power, lord knows what!
835_130876_000136_000002	He ran off, howling in terror and wildly prancing around.	He ran off, howling in terror and wildly prancing around.
835_130876_000137_000000	Ten of his companions followed him.	Ten of his companions followed him.
835_130876_000137_000001	All ten met the same fate.	All ten met the same fate.
835_130876_000138_000001	Carried away by his violent instincts, Ned Land leaped up the companionway.	Carried away by his violent instincts, Ned Land leaped up the companionway.
835_130876_000138_000002	But as soon as his hands seized the railing, he was thrown backward in his turn.	But as soon as his hands seized the railing, he was thrown backward in his turn.
835_130876_000139_000000	"Damnation!" he exclaimed.	"Damnation!" he exclaimed.
835_130876_000139_000001	"I've been struck by a lightning bolt!"	"I've been struck by a lightning bolt!"
835_130876_000140_000002	Anyone who touched it got a fearsome shock-- and such a shock would have been fatal if Captain Nemo had thrown the full current from his equipment into this conducting cable! It could honestly be said that he had stretched between himself and his assailants a network of electricity no one could clear with impunity.	Anyone who touched it got a fearsome shock- and such a shock would have been fatal if Captain Nemo had thrown the full current from his equipment into this conducting cable! It could honestly be said that he had stretched between himself and his assailants a network of electricity no one could clear with impunity.
835_130876_000141_000000	Meanwhile, crazed with terror, the unhinged Papuans beat a retreat. As for us, half laughing, we massaged and comforted poor Ned Land, who was swearing like one possessed.	Meanwhile, crazed with terror, the unhinged Papuans beat a retreat. As for us, half laughing, we massaged and comforted poor Ned Land, who was swearing like one possessed.
