1289_288043_000000_000000	APPENDIX	APPENDIX
1289_288043_000022_000000	When Mosheim declares that "The prevalent opinion among early Christians was that Christ existed in appearance only," he could not have meant by 'Christ' only a title.	When Mosheim declares that "The prevalent opinion among early Christians was that Christ existed in appearance only," he could not have meant by 'Christ' only a title.
1289_288043_000024_000001	The Hebrew illusion said, Christ was coming; the Christian illusion says, Christ has come.	The Hebrew illusion said, Christ was coming; the Christian illusion says, Christ has come.
1289_288043_000026_000000	The minister of the South Congregational Church, who heard the debate, has publicly called your lecturer an "unscrupulous sophist," who "practices imposition upon a popular audience" and who "put forth sentence after sentence which every scholar present knew to be a perversion of the facts so outrageous as to be laughable."	The minister of the South Congregational Church, who heard the debate, has publicly called your lecturer an "unscrupulous sophist," who "practices imposition upon a popular audience" and who "put forth sentence after sentence which every scholar present knew to be a perversion of the facts so outrageous as to be laughable."
1289_288043_000028_000000	Invited by several people to prove these charges, the Reverend replies: "In the absence of any full report of what he (M.	Invited by several people to prove these charges, the Reverend replies: "In the absence of any full report of what he (M.
1289_288043_000029_000000	One instance, however, he is able to remember which "when it fell upon my ears," he writes, "it struck me with such amazement, that it completely drove from my mind a series of most astonishing statements of various sorts which had just preceded it."	One instance, however, he is able to remember which "when it fell upon my ears," he writes, "it struck me with such amazement, that it completely drove from my mind a series of most astonishing statements of various sorts which had just preceded it."
1289_288043_000030_000000	We refrain from commenting on the excuse given to explain so significant a failure of memory.	We refrain from commenting on the excuse given to explain so significant a failure of memory.
1289_288043_000031_000000	And what was the statement which, while it crippled his memory, it did not moderate his zeal?	And what was the statement which, while it crippled his memory, it did not moderate his zeal?
1289_288043_000032_000000	This is his most serious complaint.	This is his most serious complaint.
1289_288043_000032_000001	Does it justify hasty language?	Does it justify hasty language?
1289_288043_000033_000001	All church historians admit the existence of sects that denied the New Testament Jesus--the Gnostics, the Essenes, the Ebionites, the Marcionites, the Cerinthians, etc.	All church historians admit the existence of sects that denied the New Testament Jesus-the Gnostics, the Essenes, the Ebionites, the Marcionites, the Cerinthians, etc
1289_288043_000034_000000	As the debate is now in print, further comment on this would not be necessary.	As the debate is now in print, further comment on this would not be necessary.
1289_288043_000035_000000	Incidents like the above, however, should change every lukewarm rationalist into a devoted soldier of truth and honor.	Incidents like the above, however, should change every lukewarm rationalist into a devoted soldier of truth and honor.
1289_288043_000036_000000	To us, more important than anything presented on this subject, is this evidence of the existence of a very early dispute among the first disciples of Jesus on the question of whether he was real or merely an apparition.	To us, more important than anything presented on this subject, is this evidence of the existence of a very early dispute among the first disciples of Jesus on the question of whether he was real or merely an apparition.
1289_288043_000036_000002	As early as John's time, if he is the writer of the epistle, Jesus' historicity was questioned.	As early as John's time, if he is the writer of the epistle, Jesus' historicity was questioned.
1289_288043_000037_000000	The gospel of John also hints at the existence in the primitive church of Christians who did not accept the reality of Jesus.	The gospel of john also hints at the existence in the primitive church of Christians who did not accept the reality of Jesus.
1289_288043_000038_000000	III	three
1289_288043_000040_000000	The strength of a given criticism is determined by asking: Does it in any way impair the soundness of the argument against which it is directed?	The strength of a given criticism is determined by asking: Does it in any way impair the soundness of the argument against which it is directed?
1289_288043_000040_000001	Critics have discovered mistakes in Darwin and Haeckel, but are these mistakes of such a nature as to prove fatal to the theory of evolution?	Critics have discovered mistakes in Darwin and Haeckel, but are these mistakes of such a nature as to prove fatal to the theory of evolution?
1289_288043_000041_000002	It is the blow that disables which counts.	It is the blow that disables which counts.
1289_288043_000042_000000	To charge that we have said 'Gospel,' where we should have said 'Epistle,' or 'Trullum' instead of 'Trullo'; that it was not Barnabas, but Nicholas who denied the Gospel Jesus, and that there were variations of this denial, does not at all disprove the fact that, according to the Christian scriptures themselves, among the apostolic followers there were those to whom Jesus Christ was only a phantom.	To charge that we have said 'Gospel,' where we should have said 'Epistle,' or 'Trullum' instead of 'Trullo'; that it was not Barnabas, but Nicholas who denied the Gospel Jesus, and that there were variations of this denial, does not at all disprove the fact that, according to the Christian scriptures themselves, among the apostolic followers there were those to whom Jesus Christ was only a phantom.
1289_288043_000043_000001	Was ever such a view entertained of Caesar, Socrates or of any other historical character?	Was ever such a view entertained of Caesar, Socrates or of any other historical character?
1289_288043_000045_000000	"The Apostle John never made any such complaint.	"The Apostle john never made any such complaint.
1289_288043_000045_000001	Critical scholarship is pretty well agreed that he did not write the epistles ascribed to him."	Critical scholarship is pretty well agreed that he did not write the epistles ascribed to him."
1289_288043_000047_000001	In his recent letter he denies that the apostle ever made such a complaint.	In his recent letter he denies that the apostle ever made such a complaint.
1289_288043_000048_000000	John did not write the epistles, then, which the Christian church for two thousand years, and at a cost of millions of dollars, and at the greater sacrifice of truth and progress has been proclaiming to the world as the work of the inspired John!	john did not write the epistles, then, which the Christian church for two thousand years, and at a cost of millions of dollars, and at the greater sacrifice of truth and progress has been proclaiming to the world as the work of the inspired john!
1289_288043_000049_000002	Our desire, in engaging in this argument, is to turn the thought and love of the world from a mythical being, to humanity, which is both real and present.	Our desire, in engaging in this argument, is to turn the thought and love of the world from a mythical being, to humanity, which is both real and present.
1289_288043_000050_000001	Paul tells us that he lived in Jerusalem at a time when Jesus must have been holding the attention of the city; yet he never met him." To this the clergyman replies:	Paul tells us that he lived in Jerusalem at a time when Jesus must have been holding the attention of the city; yet he never met him." To this the clergyman replies:
1289_288043_000051_000000	"Paul tells us nothing of the kind.	"Paul tells us nothing of the kind.
1289_288043_000051_000002	John did not write the epistles, and Paul's speech in the Book of Acts was put into his mouth!	john did not write the epistles, and Paul's speech in the Book of Acts was put into his mouth!
1289_288043_000053_000000	In other words, only those passages in the bible are authentic which the clergy quote; those which the rationalists quote are spurious.	In other words, only those passages in the bible are authentic which the clergy quote; those which the rationalists quote are spurious.
1289_288043_000055_000001	I personally believe Jesus lived.	I personally believe Jesus lived.
1289_288043_000055_000002	But I have no proof for this beyond my feeling that the movement with which the name is associated could even for Paul not have taken its nomenclature without a personal substratum.	But I have no proof for this beyond my feeling that the movement with which the name is associated could even for Paul not have taken its nomenclature without a personal substratum.
1289_288043_000055_000004	The News reports the Rabbi as saying, "But we know through the Rabbinical Books that Jesus lived."	The News reports the Rabbi as saying, "But we know through the Rabbinical Books that Jesus lived."
1289_288043_000056_000001	The editor promised to locate the responsibility for the contradiction.	The editor promised to locate the responsibility for the contradiction.
1289_288043_000057_000001	But it is with pleasure that the Independent Religious Society gives Rabbi Hirsch this opportunity to explain his position.	But it is with pleasure that the Independent Religious Society gives Rabbi Hirsch this opportunity to explain his position.
1289_288043_000057_000003	It is a stock argument and not to the point."	It is a stock argument and not to the point."
1289_288043_000057_000004	This is extraordinary; and as the Rabbi does not question the statement, we infer that it is a correct report of what he said.	This is extraordinary; and as the Rabbi does not question the statement, we infer that it is a correct report of what he said.
