6550_53343_000000_000000	The church-door was open and I stepped in.	The church door was open and I stepped in.	false	0	1.35	22.252844
6550_53343_000020_000007	From the centre of the chamber hung a model of a ship, of his own workmanship.	From the centre of the chamber hung a model of a ship, of his own workmanship.	true	954.74	959.23	21.861065
6550_53343_000020_000008	Two or three chairs, a table, and a large sea-chest formed the principal movables. About the wall were stuck up naval ballads, such as "Admiral Hosier's Ghost,"	Two or three chairs, a table, and a large sea chest formed the principal movables. About the wall were stuck up naval ballads, such as "Admiral Hosier's Ghost,"	true	959.39	970.03	22.923206
6550_53343_000020_000009	"All in the Downs," and "Tom Bowling," intermingled with pictures of sea-fights, among which the battle of Camperdown held a distinguished place.	"All in the Downs," and "Tom Bowling," intermingled with pictures of sea fights, among which the battle of Camperdown held a distinguished place.	true	970.07	978.67	22.683144
6550_53343_000020_000010	The mantelpiece was decorated with sea-shells, over which hung a quadrant, flanked by two wood-cuts of most bitter-looking naval commanders.	The mantelpiece was decorated with sea shells, over which hung a quadrant, flanked by two wood cuts of most bitter looking naval commanders.	true	980.51	988.63	23.682507
6550_53343_000020_000011	His implements for angling were carefully disposed on nails and hooks about the room.	His implements for angling were carefully disposed on nails and hooks about the room.	true	989.66	995.2	23.42087
6550_53343_000020_000012	On a shelf was arranged his library, containing a work on angling, much worn, a Bible covered with canvas, an odd volume or two of voyages, a nautical almanac, and a book of songs.	On a shelf was arranged his library, containing a work on angling, much worn, a Bible covered with canvas, an odd volume or two of voyages, a nautical almanac, and a book of songs.	true	995.36	1007.16	22.880438
6550_53343_000021_000000	* J. Davors.	asterisk j Davors.	false	1007.16	1008.42	-2
6550_53343_000022_000000	His family consisted of a large black cat with one eye, and a parrot which he had caught and tamed and educated himself in the course of one of his voyages, and which uttered a variety of sea-phrases with the hoarse brattling tone of a veteran boatswain.	His family consisted of a large black cat with one eye, and a parrot which he had caught and tamed and educated himself in the course of one of his voyages, and which uttered a variety of sea phrases with the hoarse brattling tone of a veteran boatswain.	false	1008.42	1022.08	21
6550_53343_000022_000001	The establishment reminded me of that of the renowned Robinson Crusoe; it was kept in neat order, everything being "stowed away" with the regularity of a ship of war; and he informed me that he "scoured the deck every morning and swept it between meals."	The establishment reminded me of that of the renowned Robinson Crusoe; it was kept in neat order, everything being "stowed away" with the regularity of a ship of war; and he informed me that he "scoured the deck every morning and swept it between meals."	true	1023.86	1037.89	21.955915
6550_53343_000023_000000	I found him seated on a bench before the door, smoking his pipe in the soft evening sunshine.	I found him seated on a bench before the door, smoking his pipe in the soft evening sunshine.	true	1039.16	1044.25	22.215734
6550_53343_000023_000001	His cat was purring soberly on the threshold, and his parrot describing some strange evolutions in an iron ring that swung in the centre of his cage.	His cat was purring soberly on the threshold, and his parrot describing some strange evolutions in an iron ring that swung in the centre of his cage.	true	1044.29	1052.92	20.832684
6550_53343_000023_000002	He had been angling all day, and gave me a history of his sport with as much minuteness as a general would talk over a campaign, being particularly animated in relating the manner in which he had taken a large trout, which had completely tasked all his skill and wariness, and which he had sent as a trophy to mine hostess of the inn.	He had been angling all day, and gave me a history of his sport with as much minuteness as a general would talk over a campaign, being particularly animated in relating the manner in which he had taken a large trout, which had completely tasked all his skill and wariness, and which he had sent as a trophy to mine hostess of the inn.	false	1053.23	1073.61	21.150667
6550_53343_000024_000000	How comforting it is to see a cheerful and contented old age, and to behold a poor fellow like this, after being tempest-tost through life, safely moored in a snug and quiet harbor in the evening of his days!	How comforting it is to see a cheerful and contented old age, and to behold a poor fellow like this, after being tempest tost through life, safely moored in a snug and quiet harbor in the evening of his days!	true	1073.61	1085.65	22.101656
6550_53343_000024_000001	His happiness, however, sprung from within himself and was independent of external circumstances, for he had that inexhaustible good-nature which is the most precious gift of Heaven, spreading itself like oil over the troubled sea of thought, and keeping the mind smooth and equable in the roughest weather.	His happiness, however, sprung from within himself and was independent of external circumstances, for he had that inexhaustible good nature which is the most precious gift of Heaven, spreading itself like oil over the troubled sea of thought, and keeping the mind smooth and equable in the roughest weather.	true	1085.99	1103.44	22.983103
6550_53343_000025_000000	On inquiring further about him, I learnt that he was a universal favorite in the village and the oracle of the tap-room, where he delighted the rustics with his songs, and, like Sindbad, astonished them with his stories of strange lands and shipwrecks and sea-fights.	On inquiring further about him, I learnt that he was a universal favorite in the village and the oracle of the tap room, where he delighted the rustics with his songs, and, like Sindbad, astonished them with his stories of strange lands and shipwrecks and sea fights.	true	1105.43	1120.54	21.956934
