4044_9010_000000_000000	'Stay.	'Stay.	false	0	0.15	-7
4044_9010_000005_000000	For two days the young monk held on, paddling and floating rapidly down the Nile-stream, leaving city after city to right and left with longing eyes, and looking back to one villa after another, till the reaches of the banks hid them from his sight, with many a yearning to know what sort of places those gay buildings and gardens would look like on a nearer view, and what sort of life the thousands led who crowded the busy quays, and walked and drove, in an endless stream, along the great highroads which ran along either bank.	For two days the young monk held on, paddling and floating rapidly down the Nile stream, leaving city after city to right and left with longing eyes, and looking back to one villa after another, till the reaches of the banks hid them from his sight, with many a yearning to know what sort of places those gay buildings and gardens would look like on a nearer view, and what sort of life the thousands led who crowded the busy quays, and walked and drove, in an endless stream, along the great highroads which ran along either bank.	true	19.7	48.25	14
4044_9010_000005_000001	He carefully avoided every boat that passed him, from the gilded barge of the wealthy landlord or merchant, to the tiny raft buoyed up with empty jars, which was floating down to be sold at some market in the Delta.	He carefully avoided every boat that passed him, from the gilded barge of the wealthy landlord or merchant, to the tiny raft buoyed up with empty jars, which was floating down to be sold at some market in the Delta.	true	48.68	59.95	16
4044_9010_000005_000002	Here and there he met and hailed a crew of monks, drawing their nets in a quiet bay, or passing along the great watery highway from monastery to monastery: but all the news he received from them was, that the canal of Alexandria was still several days' journey below him.	Here and there he met and hailed a crew of monks, drawing their nets in a quiet bay, or passing along the great watery highway from monastery to monastery: but all the news he received from them was, that the canal of Alexandria was still several days' journey below him.	true	60.11	74.47	12
4044_9010_000005_000003	It seemed endless, that monotonous vista of the two high clay banks, with their sluices and water-wheels, their knots of palms and date-trees; endless seemed that wearisome succession of bars of sand and banks of mud, every one like the one before it, every one dotted with the same line of logs and stones strewn along the water's edge, which turned out as he approached them to be basking crocodiles and sleeping pelicans.	It seemed endless, that monotonous vista of the two high clay banks, with their sluices and water wheels, their knots of palms and date trees; endless seemed that wearisome succession of bars of sand and banks of mud, every one like the one before it, every one dotted with the same line of logs and stones strewn along the water's edge, which turned out as he approached them to be basking crocodiles and sleeping pelicans.	false	74.93	99.61	15
4044_9010_000005_000004	His eye, wearied with the continual confinement and want of distance, longed for the boundless expanse of the desert, for the jagged outlines of those far-off hills, which he had watched from boyhood rising mysteriously at morn out of the eastern sky, and melting mysteriously into it again at even, beyond which dwelt a whole world of wonders, elephants and dragons, satyrs and anthropophagi,--ay, and the phoenix itself.	His eye, wearied with the continual confinement and want of distance, longed for the boundless expanse of the desert, for the jagged outlines of those far off hills, which he had watched from boyhood rising mysteriously at morn out of the eastern sky, and melting mysteriously into it again at even, beyond which dwelt a whole world of wonders, elephants and dragons, satyrs and anthropophagi,--ay, and the phoenix itself.	false	100.79	126.43	16
4044_9010_000005_000005	Tired and melancholy, his mind returned inward to prey on itself, and the last words of Arsenius rose again and again to his thoughts.	Tired and melancholy, his mind returned inward to prey on itself, and the last words of Arsenius rose again and again to his thoughts.	false	127.04	135.04	16
4044_9010_000005_000006	'Was his call of the spirit or of the flesh?' How should he test that problem?	'Was his call of the spirit or of the flesh?' How should he test that problem?	true	135.38	141.16	21.849571
4044_9010_000005_000007	He wished to seethe world that might be carnal.	He wished to seethe world that might be carnal.	false	141.5	144.52	21.45942
4044_9010_000005_000008	True; but, he wished to convert the world.... was not that spiritual?	True; but, he wished to convert the world.... was not that spiritual?	true	144.56	148.87	20.534729
4044_9010_000005_000009	Was he not going on a noble errand?.... thirsting for toil, for saintship, for martyrdom itself, if it would but come and cut the Gordian knot of all temptations, and save him-for he dimly felt that it would save him--a whole sea of trouble in getting safe and triumphant out of that world into which he had not yet entered .... and his heart shrank back from the untried homeless wilderness before him.	Was he not going on a noble errand?.... thirsting for toil, for saintship, for martyrdom itself, if it would but come and cut the Gordian knot of all temptations, and save him for he dimly felt that it would save him-a whole sea of trouble in getting safe and triumphant out of that world into which he had not yet entered .... and his heart shrank back from the untried homeless wilderness before him.	true	149.18	172.96	17
4044_9010_000005_000010	But no! the die was cast, and he must down and onward, whether in obedience to the spirit or the flesh.	But no! the die was cast, and he must down and onward, whether in obedience to the spirit or the flesh.	true	173.48	180.31	19
4044_9010_000005_000011	Oh, for one hour of the quiet of that dear Laura and the old familiar faces!	Oh, for one hour of the quiet of that dear Laura and the old familiar faces!	false	180.95	185.56	13
4044_9010_000006_000000	At last, a sudden turn of the bank brought him in sight of a gaudily-painted barge, oil board of which armed men, in uncouth and foreign dresses, were chasing with barbaric shouts some large object in the water.	At last, a sudden turn of the bank brought him in sight of a gaudily painted barge, oil board of which armed men, in uncouth and foreign dresses, were chasing with barbaric shouts some large object in the water.	true	187.31	199.93	16
4044_9010_000006_000001	In the bows stood a man of gigantic stature, brandishing a harpoon in his right hand, and in his left holding the line of a second, the head of which was fixed in the huge purple sides of a hippopotamus, who foamed and wallowed a few yards down the stream.	In the bows stood a man of gigantic stature, brandishing a harpoon in his right hand, and in his left holding the line of a second, the head of which was fixed in the huge purple sides of a hippopotamus, who foamed and wallowed a few yards down the stream.	false	200.42	214.54	16
4044_9010_000006_000002	An old grizzled warrior at the stern, with a rudder in either hand, kept the boat's head continually towards the monster, in spite of its sudden and frantic wheelings; and when it dashed madly across the stream, some twenty oars flashed through the water in pursuit.	An old grizzled warrior at the stern, with a rudder in either hand, kept the boat's head continually towards the monster, in spite of its sudden and frantic wheelings; and when it dashed madly across the stream, some twenty oars flashed through the water in pursuit.	false	215.09	229.87	16
4044_9010_000006_000003	All was activity and excitement; and it was no wonder if Philammon's curiosity had tempted him to drift down almost abreast of the barge ere he descried, peeping from under a decorated awning in the afterpart, some dozen pairs of languishing black eyes, turned alternately to the game and to himself.	All was activity and excitement; and it was no wonder if Philammon's curiosity had tempted him to drift down almost abreast of the barge ere he descried, peeping from under a decorated awning in the afterpart, some dozen pairs of languishing black eyes, turned alternately to the game and to himself.	true	230.42	247.24	15
4044_9010_000006_000004	The serpents!--chattering and smiling, with pretty little shrieks and shaking of glossy curls and gold necklaces, and fluttering of muslin dresses, within a dozen yards of him!	The serpents!--chattering and smiling, with pretty little shrieks and shaking of glossy curls and gold necklaces, and fluttering of muslin dresses, within a dozen yards of him!	true	247.28	257.41	12
4044_9010_000006_000005	Blushing scarlet, he knew not why, he seized his paddle, and tried to back out of the snare.... but somehow, his very efforts to escape those sparkling eyes diverted his attention from everything else: the hippopotamus had caught sight of him, and furious with pain, rushed straight at the unoffending canoe; the harpoon line became entangled round his body, and in a moment he and his frail bark were overturned, and the monster, with his huge white tusks gaping wide, close on him as he struggled in the stream.	Blushing scarlet, he knew not why, he seized his paddle, and tried to back out of the snare.... but somehow, his very efforts to escape those sparkling eyes diverted his attention from everything else: the hippopotamus had caught sight of him, and furious with pain, rushed straight at the unoffending canoe; the harpoon line became entangled round his body, and in a moment he and his frail bark were overturned, and the monster, with his huge white tusks gaping wide, close on him as he struggled in the stream.	false	258.23	288.37	18
4044_9010_000007_000000	Luckily Philammon, contrary to the wont of monks, was a bather, and swam like a water-fowl: fear he had never known: death from childhood had been to him, as to the other inmates of the Laura, a contemplation too perpetual to have any paralysing terror in it, even then, when life seemed just about to open on him anew.	Luckily Philammon, contrary to the wont of monks, was a bather, and swam like a water fowl: fear he had never known: death from childhood had been to him, as to the other inmates of the Laura, a contemplation too perpetual to have any paralysing terror in it, even then, when life seemed just about to open on him anew.	false	288.71	307.51	17
4044_9010_000007_000001	But the monk was a man, and a young one, and had no intention of dying tamely or unavenged.	But the monk was a man, and a young one, and had no intention of dying tamely or unavenged.	true	307.94	313.48	15
4044_9010_000007_000002	In an instant he had freed himself from the line; drawn the short knife which was his only weapon; and diving suddenly, avoided the monster's rush, and attacked him from behind with stabs, which, though not deep, still dyed the waters with gore at every stroke.	In an instant he had freed himself from the line; drawn the short knife which was his only weapon; and diving suddenly, avoided the monster's rush, and attacked him from behind with stabs, which, though not deep, still dyed the waters with gore at every stroke.	true	313.64	328.3	18
4044_9010_000007_000003	The barbarians shouted with delight.	The barbarians shouted with delight.	true	328.85	330.97	20
4044_9010_000007_000004	The hippopotamus turned furiously against his new assailant, crushing, alas! the empty canoe to fragments with a single snap of his enormous jaws; but the turn was fatal to him; the barge was close upon him, and as he presented his broad side to the blow, the sinewy arm of the giant drove a harpoon through his heart, and with one convulsive shudder the huge blue mass turned over on its side and floated dead.	The hippopotamus turned furiously against his new assailant, crushing, alas! the empty canoe to fragments with a single snap of his enormous jaws; but the turn was fatal to him; the barge was close upon him, and as he presented his broad side to the blow, the sinewy arm of the giant drove a harpoon through his heart, and with one convulsive shudder the huge blue mass turned over on its side and floated dead.	true	331.22	356.11	19
4044_9010_000008_000000	Poor Philammon!	Poor Philammon!	true	356.96	358.03	18.753935
4044_9010_000008_000001	He alone was silent, amid the yells of triumph; sorrowfully he swam round and round his little paper wreck.... it would not have floated a mouse.	He alone was silent, amid the yells of triumph; sorrowfully he swam round and round his little paper wreck.... it would not have floated a mouse.	false	358.58	366.91	16
4044_9010_000008_000002	Wistfully be eyed the distant banks, half minded to strike out for them and escape,.... and thought of the crocodiles,.... and paddled round again,.... and thought of the basilisk eyes;.... he might escape the crocodiles, but who could escape women?.... and he struck out valiantly for shore.... when he was brought to a sudden stop by finding the stem of the barge close on him, a noose thrown over him by some friendly barbarian, and himself hauled on board, amid the laughter, praise, astonishment, and grumbling of the good-natured crew, who had expected him, as a matter of course, to avail himself at once of their help, and could not conceive the cause of his reluctance.	Wistfully be eyed the distant banks, half minded to strike out for them and escape,.... and thought of the crocodiles,.... and paddled round again,.... and thought of the basilisk eyes;.... he might escape the crocodiles, but who could escape women?.... and he struck out valiantly for shore.... when he was brought to a sudden stop by finding the stem of the barge close on him, a noose thrown over him by some friendly barbarian, and himself hauled on board, amid the laughter, praise, astonishment, and grumbling of the good-natured crew, who had expected him, as a matter of course, to avail himself at once of their help, and could not conceive the cause of his reluctance.	false	367.34	406.87	19.96385
4044_9010_000009_000000	Philammon gazed with wonder on his strange hosts, their pale complexions, globular heads and faces, high cheek-bones, tall and sturdy figures; their red beards, and yellow hair knotted fantastically above the head; their awkward dresses, half Roman or Egyptian, and half of foreign fur, soiled and stained in many a storm and fight, but tastelessly bedizened with classic jewels, brooches, and Roman coins, strung like necklaces.	Philammon gazed with wonder on his strange hosts, their pale complexions, globular heads and faces, high cheek bones, tall and sturdy figures; their red beards, and yellow hair knotted fantastically above the head; their awkward dresses, half Roman or Egyptian, and half of foreign fur, soiled and stained in many a storm and fight, but tastelessly bedizened with classic jewels, brooches, and Roman coins, strung like necklaces.	true	408.02	435.97	18
4044_9010_000009_000001	Only the steersman, who had come forward to wonder at the hippopotamus, and to help in dragging the unwieldy brute on board, seemed to keep genuine and unornamented the costume of his race, the white linen leggings, strapped with thongs of deerskin, the quilted leather cuirass, the bears'-fur cloak, the only ornaments of which were the fangs and claws of the beast itself, and a fringe of grizzled tufts, which looked but too like human hair.	Only the steersman, who had come forward to wonder at the hippopotamus, and to help in dragging the unwieldy brute on board, seemed to keep genuine and unornamented the costume of his race, the white linen leggings, strapped with thongs of deerskin, the quilted leather cuirass, the bears'-fur cloak, the only ornaments of which were the fangs and claws of the beast itself, and a fringe of grizzled tufts, which looked but too like human hair.	true	436.55	463.06	17
4044_9010_000009_000002	The language which they spoke was utterly unintelligible to Philammon, though it need not be so to us.	The language which they spoke was utterly unintelligible to Philammon, though it need not be so to us.	true	464.12	470.05	18
4044_9010_000010_000000	'A well-grown lad and a brave one, Wulf the son of Ovida,' said the giant to the old hero of the bearskin cloak; 'and understands wearing skins, in this furnace-mouth of a climate, rather better than you do.'	'A well grown lad and a brave one, Wulf the son of Ovida,' said the giant to the old hero of the bearskin cloak; 'and understands wearing skins, in this furnace mouth of a climate, rather better than you do.'	true	471.17	482.77	18
4044_9010_000011_000000	'I keep to the dress of my forefathers, Amalric the Amal.	'I keep to the dress of my forefathers, Amalric the Amal.	true	483.53	486.94	16
4044_9010_000011_000001	What did to sack Rome in, may do to find Asgard in.'	What did to sack Rome in, may do to find Asgard in.'	true	487.34	491.02	15
4044_9010_000012_000000	The giant, who was decked out with helmet, cuirass, and senatorial boots, in a sort of mongrel mixture of the Roman military and civil dress, his neck wreathed with a dozen gold chains, and every finger sparkling with jewels, turned away with an impatient sneer.	The giant, who was decked out with helmet, cuirass, and senatorial boots, in a sort of mongrel mixture of the Roman military and civil dress, his neck wreathed with a dozen gold chains, and every finger sparkling with jewels, turned away with an impatient sneer.	false	491.45	505.87	14
4044_9010_000013_000000	'Asgard--Asgard!	'Asgard-Asgard!	true	506.51	507.81	19.488598
4044_9010_000013_000001	If you are in such a hurry to get to Asgard up this ditch in the sand, you had better ask the fellow how far it is thither.'	If you are in such a hurry to get to Asgard up this ditch in the sand, you had better ask the fellow how far it is thither.'	false	507.81	514.65	21
4044_9010_000014_000000	Wulf took him quietly at his word, and addressed a question to the young monk, which he could only answer by a shake of the head.	Wulf took him quietly at his word, and addressed a question to the young monk, which he could only answer by a shake of the head.	true	514.65	520.57	16
4044_9010_000015_000000	'Ask him in Greek, man.'	'Ask him in Greek, man.'	true	521.03	522.91	17
4044_9010_000016_000000	'Greek is a slave's tongue.	'Greek is a slave's tongue.	true	523.4	524.895	17
4044_9010_000016_000001	Make a slave talk to him in it, not me.'	Make a slave talk to him in it, not me.'	true	524.895	527.17	17
4044_9010_000017_000000	'Here--some of you girls!	'Here-some of you girls!	true	528.08	529.69	19.624947
4044_9010_000017_000001	Pelagia! you understand this fellow's talk. Ask him how far it is to Asgard.'	Pelagia! you understand this fellow's talk. Ask him how far it is to Asgard.'	true	529.76	534.55	19.439938
4044_9010_000018_000000	'You must ask me more civilly, my rough hero,' replied a soft voice from underneath the awning.	'You must ask me more civilly, my rough hero,' replied a soft voice from underneath the awning.	true	535.49	541.03	15
4044_9010_000018_000001	'Beauty must be sued, and not commanded.'	'Beauty must be sued, and not commanded.'	true	541.25	543.91	18
4044_9010_000019_000000	'Come, then, my olive-tree, my gazelle, my lotus-flower, my--what was the last nonsense you taught me?--and ask this wild man of the sands how far it is from these accursed endless rabbit-burrows to Asgard.'	'Come, then, my olive tree, my gazelle, my lotus flower, my-what was the last nonsense you taught me?--and ask this wild man of the sands how far it is from these accursed endless rabbit burrows to Asgard.'	true	544.67	558.04	19
4044_9010_000020_000000	The awning was raised, and lying luxuriously on a soft mattress, fanned with peacock's feathers, and glittering with rubies and topazes, appeared such a vision as Philammon had never seen before.	The awning was raised, and lying luxuriously on a soft mattress, fanned with peacock's feathers, and glittering with rubies and topazes, appeared such a vision as Philammon had never seen before.	true	559.43	570.79	14
4044_9010_000021_000000	A woman of some two-and-twenty summers, formed in the most voluptuous mould of Grecian beauty, whose complexion showed every violet vein through its veil of luscious brown.	A woman of some two and twenty summers, formed in the most voluptuous mould of Grecian beauty, whose complexion showed every violet vein through its veil of luscious brown.	true	571.7	581.83	14
4044_9010_000021_000001	Her little bare feet, as they dimpled the cushions, were more perfect than Aphrodite's, softer than a swan's bosom.	Her little bare feet, as they dimpled the cushions, were more perfect than Aphrodite's, softer than a swan's bosom.	true	582.29	588.88	16
4044_9010_000021_000002	Every swell of her bust and arms showed through the thin gauze robe, while her lower limbs were wrapped in a shawl of orange silk, embroidered with wreaths of shells and roses.	Every swell of her bust and arms showed through the thin gauze robe, while her lower limbs were wrapped in a shawl of orange silk, embroidered with wreaths of shells and roses.	true	589.22	598.54	14
4044_9010_000021_000003	Her dark hair lay carefully spread out upon the pillow, in a thousand ringlets entwined with gold and jewels; her languishing eyes blazed like diamonds from a cavern, under eyelids darkened and deepened with black antimony; her lips pouted of themselves, by habit or by nature, into a perpetual kiss; slowly she raised one little lazy hand; slowly the ripe lips opened; and in most pure and melodious Attic, she lisped her huge lover's question to the monk, and repeated it before the boy could shake off the spell, and answer....	Her dark hair lay carefully spread out upon the pillow, in a thousand ringlets entwined with gold and jewels; her languishing eyes blazed like diamonds from a cavern, under eyelids darkened and deepened with black antimony; her lips pouted of themselves, by habit or by nature, into a perpetual kiss; slowly she raised one little lazy hand; slowly the ripe lips opened; and in most pure and melodious Attic, she lisped her huge lover's question to the monk, and repeated it before the boy could shake off the spell, and answer....	true	598.97	632.89	18
4044_9010_000022_000000	'Asgard?	'Asgard?	true	633.47	634.51	26.278688
4044_9010_000022_000001	What is Asgard?'	What is Asgard?'	true	634.79	636.16	18.584827
4044_9010_000023_000000	The beauty looked at the giant for further instructions.	The beauty looked at the giant for further instructions.	true	636.98	639.7	16
4044_9010_000024_000000	'The City of the immortal Gods,' interposed the old warrior, hastily and sternly, to the lady.	'The City of the immortal Gods,' interposed the old warrior, hastily and sternly, to the lady.	false	640.19	646.06	17
4044_9010_000025_000000	'The city of God is in heaven,' said Philammon to the interpreter, turning his head away from those gleaming, luscious, searching glances.	'The city of God is in heaven,' said Philammon to the interpreter, turning his head away from those gleaming, luscious, searching glances.	true	647.24	655.27	17
4044_9010_000026_000000	His answer was received with a general laugh by all except the leader, who shrugged his shoulders.	His answer was received with a general laugh by all except the leader, who shrugged his shoulders.	false	656.99	661.75	16
4044_9010_000027_000000	'It may as well be up in the skies as up the Nile.	'It may as well be up in the skies as up the Nile.	true	662.39	665.34	17
4044_9010_000027_000001	We shall be just as likely, I believe, to reach it by flying, as by rowing up this big ditch.	We shall be just as likely, I believe, to reach it by flying, as by rowing up this big ditch.	true	665.34	670.99	16
4044_9010_000027_000002	Ask him where the river comes from, Pelagia.'	Ask him where the river comes from, Pelagia.'	true	671.3	673.51	19
4044_9010_000028_000000	Pelagia obeyed.... and thereon followed a confusion worse confounded, composed of all the impossible wonders of that mythic fairyland with which Philammon had gorged himself from boyhood in his walks with the old monks, and of the equally trustworthy traditions which the Goths had picked up at Alexandria.	Pelagia obeyed.... and thereon followed a confusion worse confounded, composed of all the impossible wonders of that mythic fairyland with which Philammon had gorged himself from boyhood in his walks with the old monks, and of the equally trustworthy traditions which the Goths had picked up at Alexandria.	true	673.58	691.45	17
4044_9010_000028_000001	There was nothing which that river did not do. It rose in the Caucasus.	There was nothing which that river did not do. It rose in the Caucasus.	true	691.94	696.43	19.346867
4044_9010_000028_000002	Where was the Caucasus?	Where was the Caucasus?	true	696.71	697.99	22.071836
4044_9010_000028_000003	He did not know.	He did not know.	true	698	699.1	18.625132
4044_9010_000028_000004	In Paradise--in Indian Aethiopia--in Aethiopian India.	In Paradise-in Indian Aethiopia-in Aethiopian India.	true	699.32	703.81	20
4044_9010_000028_000005	Where were they?	Where were they?	true	704.03	704.98	21.37701
4044_9010_000028_000006	He did not know.	He did not know.	true	704.99	706.15	17.715223
4044_9010_000028_000007	Nobody knew.	Nobody knew.	true	706.19	707.22	15
4044_9010_000028_000008	It ran for a hundred and fifty days' journey through deserts where nothing but flying serpents and satyrs lived, and the very lions' manes were burnt off by the heat....	It ran for a hundred and fifty days' journey through deserts where nothing but flying serpents and satyrs lived, and the very lions' manes were burnt off by the heat....	false	707.22	717.04	16
4044_9010_000029_000000	'Good sporting there, at all events, among these dragons,' quoth Smid the son of Troll, armourer to the party.	'Good sporting there, at all events, among these dragons,' quoth Smid the son of Troll, armourer to the party.	true	717.92	725.11	18
4044_9010_000030_000000	'As good as Thor's when he caught Snake Midgard with the bullock's head,' said Wulf.	'As good as Thor's when he caught Snake Midgard with the bullock's head,' said Wulf.	true	725.72	730.93	23.000818
4044_9010_000031_000000	It turned to the east for a hundred days' journey more, all round Arabia and India, among forests full of elephants and dog-headed women.	It turned to the east for a hundred days' journey more, all round Arabia and India, among forests full of elephants and dog headed women.	true	731.9	739.57	16
4044_9010_000032_000000	'Better and better, Smid!' growled Wulf, approvingly.	'Better and better, Smid!' growled Wulf, approvingly.	true	740.15	743.38	19.451338
4044_9010_000033_000000	'Fresh beef cheap there, Prince Wulf, eh?' quoth Smid; 'I must look over the arrow-heads.'	'Fresh beef cheap there, Prince Wulf, eh?' quoth Smid; 'I must look over the arrow heads.'	true	743.96	750.79	20.030975
4044_9010_000034_000000	--To the mountains of the Hyperboreans, where there was eternal night, and the air was full of feathers....	--To the mountains of the Hyperboreans, where there was eternal night, and the air was full of feathers....	true	751.7	757.75	18
4044_9010_000034_000001	That is, one-third of it came from thence, and another third came from the Southern ocean, over the Moon mountains, where no one had ever been, and the remaining third from the country where the phoenix lived, and nobody knew where that was.	That is, one third of it came from thence, and another third came from the Southern ocean, over the Moon mountains, where no one had ever been, and the remaining third from the country where the phoenix lived, and nobody knew where that was.	true	757.85	770.47	14
4044_9010_000034_000002	And then there were the cataracts, and the inundations-and-and-and above the cataracts, nothing but sand-hills and ruins, as full of devils as they could hold.... and as for Asgard, no one had ever heard of it.... till every face grew longer and longer, as Pelagia went on interpreting and misinterpreting; and at last the giant smote his hand upon his knee, and swore a great oath that Asgard might rot till the twilight of the gods before he went a step farther up the Nile.	And then there were the cataracts, and the inundations and and and above the cataracts, nothing but sand hills and ruins, as full of devils as they could hold.... and as for Asgard, no one had ever heard of it.... till every face grew longer and longer, as Pelagia went on interpreting and misinterpreting; and at last the giant smote his hand upon his knee, and swore a great oath that Asgard might rot till the twilight of the gods before he went a step farther up the Nile.	true	771.41	801.61	18
4044_9010_000035_000000	'Curse the monk!' growled Wulf.	'Curse the monk!' growled Wulf.	true	802.31	804.735	21.505186
4044_9010_000035_000001	'How should such a poor beast know anything about the matter?'	'How should such a poor beast know anything about the matter?'	true	804.735	807.7	16
4044_9010_000036_000000	'Why should not he know as well as that ape of a Roman governor?' asked Smid.	'Why should not he know as well as that ape of a Roman governor?' asked Smid.	false	808.58	813.04	20
4044_9010_000037_000000	'Oh, the monks know everything,' said Pelagia. 'They go hundreds and thousands of miles up the river, and cross the deserts among fiends and monsters, where any one else would be eaten up, or go mad at once.'	'Oh, the monks know everything,' said Pelagia. 'They go hundreds and thousands of miles up the river, and cross the deserts among fiends and monsters, where any one else would be eaten up, or go mad at once.'	true	813.41	826.24	15
4044_9010_000038_000000	'Ah, the dear holy men!	'Ah, the dear holy men!	true	827.18	828.735	16
4044_9010_000038_000001	It's all by the sign of the blessed cross!' exclaimed all the girls together, devoutly crossing themselves, while two or three of the most enthusiastic were half-minded to go forward and kneel to Philammon for his blessing; but hesitated, their Gothic lovers being heathenishly stupid and prudish on such points.	It's all by the sign of the blessed cross!' exclaimed all the girls together, devoutly crossing themselves, while two or three of the most enthusiastic were half minded to go forward and kneel to Philammon for his blessing; but hesitated, their Gothic lovers being heathenishly stupid and prudish on such points.	false	828.735	846.19	19
4044_9010_000039_000000	'Why should he not know as well as the prefect?	'Why should he not know as well as the prefect?	true	847.25	849.91	20.623877
4044_9010_000039_000001	Well said, Smid!	Well said, Smid!	true	850.28	851.77	18.973738
4044_9010_000039_000002	I believe that prefect's quill-driver was humbugging us when he said Asgard was only ten days' sail up.'	I believe that prefect's quill driver was humbugging us when he said Asgard was only ten days' sail up.'	true	851.78	857.77	15
4044_9010_000040_000000	'Why?' asked Wulf.	'Why?' asked Wulf.	true	858.2	860.17	18.801544
4044_9010_000041_000000	'I never give any reasons.	'I never give any reasons.	true	860.57	862.185	15
4044_9010_000041_000001	What's the use of being an Amal, and a son of Odin, if one has always to be giving reasons like a rascally Roman lawyer?	What's the use of being an Amal, and a son of Odin, if one has always to be giving reasons like a rascally Roman lawyer?	false	862.185	869.89	15
4044_9010_000041_000002	I say the governor looked like a liar; and I say this monk looks like an honest fellow; and I choose to believe him, and there is an end of it.'	I say the governor looked like a liar; and I say this monk looks like an honest fellow; and I choose to believe him, and there is an end of it.'	true	870.17	877.84	18.733173
4044_9010_000042_000000	'Don't look so cross at me, Prince Wulf; I'm sure it's not my fault; I could only say what the monk told me,' whispered poor Pelagia.	'Don't look so cross at me, Prince Wulf; I'm sure it's not my fault; I could only say what the monk told me,' whispered poor Pelagia.	true	878.75	887.775	20.749556
4044_9010_000043_000000	'Who looks cross at you, my queen?' roared the Amal. 'Let me have him out here, and by Thor's hammer, I'll--'	'Who looks cross at you, my queen?' roared the Amal. 'Let me have him out here, and by Thor's hammer, I'll-'	true	887.775	894.48	20.178259
4044_9010_000044_000000	'Who spoke to you, you stupid darling?' answered Pelagia, who lived in hourly fear of thunderstorms.	'Who spoke to you, you stupid darling?' answered Pelagia, who lived in hourly fear of thunderstorms.	false	894.48	901.57	21.115322
4044_9010_000044_000001	'Who is going to be cross with any one, except I with you, for mishearing and misunderstanding, and meddling, as you are always doing?	'Who is going to be cross with any one, except I with you, for mishearing and misunderstanding, and meddling, as you are always doing?	true	901.76	909.46	12
4044_9010_000044_000002	I shall do as I threatened, and run away with Prince Wulf, if you are not good.	I shall do as I threatened, and run away with Prince Wulf, if you are not good.	true	909.71	913.72	20
4044_9010_000044_000003	Don't you see that the whole crew are expecting you to make them an oration?'	Don't you see that the whole crew are expecting you to make them an oration?'	false	913.97	917.95	17
4044_9010_000045_000000	Whereupon the Amal rose.	Whereupon the Amal rose.	true	918.8	920.59	15
4044_9010_000046_000000	'See you here, Wulf the son of Ovida, and warriors all!	'See you here, Wulf the son of Ovida, and warriors all!	true	920.84	925.12	20
4044_9010_000046_000001	If we want wealth, we shan't find it among the sand-hills.	If we want wealth, we shan't find it among the sand hills.	true	925.4	928.695	18
4044_9010_000046_000002	If we want women, we shall find nothing prettier than these among dragons and devils.	If we want women, we shall find nothing prettier than these among dragons and devils.	true	928.695	933.34	11
4044_9010_000046_000003	Don't look angry, Wulf.	Don't look angry, Wulf.	true	933.62	935.295	20.294132
