5984_56837_000003_000000	CHAPTER XXIV.	CHAPTER twenty four.
5984_56837_000015_000001	She curtseyed as she passed, and, with the bewitching smile of modest cheerfulness, cried--"Do you bury yourselves in the house this fine evening, gents?" There was something in the voice! the manner!	She curtseyed as she passed, and, with the bewitching smile of modest cheerfulness, cried-"Do you bury yourselves in the house this fine evening, gents?" There was something in the voice! the manner!
5984_56837_000015_000002	the look! that was altogether irresistible.	the look! that was altogether irresistible.
5984_56837_000015_000004	Belcour drew Mr. Franklin on one side and entered into a political discourse: they walked faster than the young people, and Belcour by some means contrived entirely to lose sight of them.	Belcour drew mr Franklin on one side and entered into a political discourse: they walked faster than the young people, and Belcour by some means contrived entirely to lose sight of them.
5984_56837_000015_000006	Julia was leaning on his arm: he took her hand in his, and pressing it tenderly, sighed deeply, but continued silent.	Julia was leaning on his arm: he took her hand in his, and pressing it tenderly, sighed deeply, but continued silent.
5984_56837_000015_000007	Julia was embarrassed; she wished to break a silence so unaccountable, but was unable; she loved Montraville, she saw he was unhappy, and wished to know the cause of his uneasiness, but that innate modesty, which nature has implanted in the female breast, prevented her enquiring.	Julia was embarrassed; she wished to break a silence so unaccountable, but was unable; she loved Montraville, she saw he was unhappy, and wished to know the cause of his uneasiness, but that innate modesty, which nature has implanted in the female breast, prevented her enquiring.
5984_56837_000016_000000	"I am sorry," she replied, "that you have any cause of inquietude.	"I am sorry," she replied, "that you have any cause of inquietude.
5984_56837_000016_000001	I am sure if you were as happy as you deserve, and as all your friends wish you--" She hesitated.	I am sure if you were as happy as you deserve, and as all your friends wish you-" She hesitated.
5984_56837_000017_000000	"Certainly," said she, "the service you have rendered me, the knowledge of your worth, all combine to make me esteem you."	"Certainly," said she, "the service you have rendered me, the knowledge of your worth, all combine to make me esteem you."
5984_56837_000018_000000	"Esteem, my lovely Julia," said he passionately, "is but a poor cold word.	"Esteem, my lovely Julia," said he passionately, "is but a poor cold word.
5984_56837_000018_000001	I would if I dared, if I thought I merited your attention--but no, I must not--honour forbids.	I would if I dared, if I thought I merited your attention-but no, I must not-honour forbids.
5984_56837_000018_000002	I am beneath your notice, Julia, I am miserable and cannot hope to be otherwise." "Alas!" said Julia, "I pity you."	I am beneath your notice, Julia, I am miserable and cannot hope to be otherwise." "Alas!" said Julia, "I pity you."
5984_56837_000019_000001	Indeed if you knew all, you would pity; but at the same time I fear you would despise me."	Indeed if you knew all, you would pity; but at the same time I fear you would despise me."
5984_56837_000020_000000	Just then they were again joined by Mr. Franklin and Belcour.	Just then they were again joined by mr Franklin and Belcour.
5984_56837_000020_000001	It had interrupted an interesting discourse.	It had interrupted an interesting discourse.
5984_56837_000020_000002	They found it impossible to converse on indifferent subjects, and proceeded home in silence.	They found it impossible to converse on indifferent subjects, and proceeded home in silence.
