3228_4690_000001_000001	And then he came into a fair meadow, and there was a fair lodge of boughs.	And then he came into a fair meadow, and there was a fair lodge of boughs.
3228_4690_000006_000001	Sir, said a good man, for his sin he was thus wounded; and I marvel, said the good man, how ye durst take upon you so rich a thing as the high order of knighthood without clean confession, and that was the cause ye were bitterly wounded.	Sir, said a good man, for his sin he was thus wounded; and I marvel, said the good man, how ye durst take upon you so rich a thing as the high order of knighthood without clean confession, and that was the cause ye were bitterly wounded.
3228_4690_000006_000002	For the way on the right hand betokeneth the highway of our Lord Jesu Christ, and the way of a good true good liver.	For the way on the right hand betokeneth the highway of our Lord Jesu Christ, and the way of a good true good liver.
3228_4690_000006_000003	And the other way betokeneth the way of sinners and of misbelievers.	And the other way betokeneth the way of sinners and of misbelievers.
3228_4690_000006_000004	And when the devil saw your pride and presumption, for to take you in the quest of the Sangreal, that made you to be overthrown, for it may not be enchieved but by virtuous living. Also, the writing on the cross was a signification of heavenly deeds, and of knightly deeds in God's works, and no knightly deeds in worldly works.	And when the devil saw your pride and presumption, for to take you in the quest of the Sangreal, that made you to be overthrown, for it may not be enchieved but by virtuous living. Also, the writing on the cross was a signification of heavenly deeds, and of knightly deeds in God's works, and no knightly deeds in worldly works.
3228_4690_000006_000005	And pride is head of all deadly sins, that caused this knight to depart from Galahad.	And pride is head of all deadly sins, that caused this knight to depart from Galahad.
3228_4690_000006_000006	And where thou tookest the crown of gold thou sinnest in covetise and in theft: all this were no knightly deeds.	And where thou tookest the crown of gold thou sinnest in covetise and in theft: all this were no knightly deeds.
3228_4690_000006_000007	And this Galahad, the holy knight, the which fought with the two knights, the two knights signify the two deadly sins which were wholly in this knight Melias; and they might not withstand you, for ye are without deadly sin.	And this Galahad, the holy knight, the which fought with the two knights, the two knights signify the two deadly sins which were wholly in this knight Melias; and they might not withstand you, for ye are without deadly sin.
3228_4690_000007_000001	Sir Melias said: My lord Galahad, as soon as I may ride I shall seek you. God send you health, said Galahad, and so took his horse and departed, and rode many journeys forward and backward, as adventure would lead him.	Sir Melias said: My lord Galahad, as soon as I may ride I shall seek you. God send you health, said Galahad, and so took his horse and departed, and rode many journeys forward and backward, as adventure would lead him.
3228_4690_000007_000002	And at the last it happened him to depart from a place or a castle the which was named Abblasoure; and he had heard no mass, the which he was wont ever to hear or ever he departed out of any castle or place, and kept that for a custom.	And at the last it happened him to depart from a place or a castle the which was named Abblasoure; and he had heard no mass, the which he was wont ever to hear or ever he departed out of any castle or place, and kept that for a custom.
3228_4690_000008_000000	CHAPTER XV.	CHAPTER fifteen.
3228_4690_000009_000003	Therefore, I counsel you, sir knight, to turn again.	Therefore, I counsel you, sir knight, to turn again.
3228_4690_000009_000004	Sir, said Galahad, wit you well I shall not turn again.	Sir, said Galahad, wit you well I shall not turn again.
3228_4690_000009_000005	Then looked Sir Galahad on his arms that nothing failed him, and then he put his shield afore him; and anon there met him seven fair maidens, the which said unto him: Sir knight, ye ride here in a great folly, for ye have the water to pass over.	Then looked Sir Galahad on his arms that nothing failed him, and then he put his shield afore him; and anon there met him seven fair maidens, the which said unto him: Sir knight, ye ride here in a great folly, for ye have the water to pass over.
3228_4690_000009_000006	Why should I not pass the water? said Galahad.	Why should I not pass the water? said Galahad.
3228_4690_000009_000007	So rode he away from them and met with a squire that said: Knight, those knights in the castle defy you, and defenden you ye go no further till that they wit what ye would.	So rode he away from them and met with a squire that said: Knight, those knights in the castle defy you, and defenden you ye go no further till that they wit what ye would.
3228_4690_000009_000008	Fair sir, said Galahad, I come for to destroy the wicked custom of this castle.	Fair sir, said Galahad, I come for to destroy the wicked custom of this castle.
3228_4690_000010_000000	Then the squire entered into the castle.	Then the squire entered into the castle.
3228_4690_000010_000002	And when they saw Galahad they cried: Knight, keep thee, for we assure thee nothing but death.	And when they saw Galahad they cried: Knight, keep thee, for we assure thee nothing but death.
3228_4690_000010_000003	Why, said Galahad, will ye all have ado with me at once?	Why, said Galahad, will ye all have ado with me at once?
3228_4690_000010_000005	Then Galahad put forth his spear and smote the foremost to the earth, that near he brake his neck.	Then Galahad put forth his spear and smote the foremost to the earth, that near he brake his neck.
3228_4690_000010_000006	And therewithal the other smote him on his shield great strokes, so that their spears brake.	And therewithal the other smote him on his shield great strokes, so that their spears brake.
3228_4690_000010_000007	Then Sir Galahad drew out his sword, and set upon them so hard that it was marvel to see it, and so through great force he made them to forsake the field; and Galahad chased them till they entered into the castle, and so passed through the castle at another gate.	Then Sir Galahad drew out his sword, and set upon them so hard that it was marvel to see it, and so through great force he made them to forsake the field; and Galahad chased them till they entered into the castle, and so passed through the castle at another gate.
3228_4690_000011_000000	And there met Sir Galahad an old man clothed in religious clothing, and said: Sir, have here the keys of this castle.	And there met Sir Galahad an old man clothed in religious clothing, and said: Sir, have here the keys of this castle.
3228_4690_000011_000001	Then Sir Galahad opened the gates, and saw so much people in the streets that he might not number them, and all said: Sir, ye be welcome, for long have we abiden here our deliverance.	Then Sir Galahad opened the gates, and saw so much people in the streets that he might not number them, and all said: Sir, ye be welcome, for long have we abiden here our deliverance.
3228_4690_000011_000002	Then came to him a gentlewoman and said: These knights be fled, but they will come again this night, and here to begin again their evil custom.	Then came to him a gentlewoman and said: These knights be fled, but they will come again this night, and here to begin again their evil custom.
3228_4690_000011_000003	What will ye that I shall do? said Galahad. Sir, said the gentlewoman, that ye send after all the knights hither that hold their lands of this castle, and make them to swear for to use the customs that were used heretofore of old time.	What will ye that I shall do? said Galahad. Sir, said the gentlewoman, that ye send after all the knights hither that hold their lands of this castle, and make them to swear for to use the customs that were used heretofore of old time.
3228_4690_000011_000004	I will well, said Galahad.	I will well, said Galahad.
3228_4690_000011_000005	And there she brought him an horn of ivory, bounden with gold richly, and said: Sir, blow this horn which will be heard two mile about this castle.	And there she brought him an horn of ivory, bounden with gold richly, and said: Sir, blow this horn which will be heard two mile about this castle.
3228_4690_000011_000006	When Sir Galahad had blown the horn he set him down upon a bed.	When Sir Galahad had blown the horn he set him down upon a bed.
3228_4690_000012_000002	And then they took the maiden and the treasure of the castle.	And then they took the maiden and the treasure of the castle.
3228_4690_000012_000003	And then by great force they held all the knights of this castle against their will under their obeissance, and in great service and truage, robbing and pilling the poor common people of all that they had.	And then by great force they held all the knights of this castle against their will under their obeissance, and in great service and truage, robbing and pilling the poor common people of all that they had.
3228_4690_000012_000004	So it happened on a day the duke's daughter said: Ye have done unto me great wrong to slay mine own father, and my brother, and thus to hold our lands: not for then, she said, ye shall not hold this castle for many years, for by one knight ye shall be overcome.	So it happened on a day the duke's daughter said: Ye have done unto me great wrong to slay mine own father, and my brother, and thus to hold our lands: not for then, she said, ye shall not hold this castle for many years, for by one knight ye shall be overcome.
3228_4690_000012_000006	Well, said the seven knights, sithen ye say so, there shall never lady nor knight pass this castle but they shall abide maugre their heads, or die therefore, till that knight be come by whom we shall lose this castle.	Well, said the seven knights, sithen ye say so, there shall never lady nor knight pass this castle but they shall abide maugre their heads, or die therefore, till that knight be come by whom we shall lose this castle.
3228_4690_000012_000007	And therefore is it called the Maidens' Castle, for they have devoured many maidens.	And therefore is it called the Maidens' Castle, for they have devoured many maidens.
3228_4690_000012_000008	Now, said Galahad, is she here for whom this castle was lost? Nay sir, said the priest, she was dead within these three nights after that she was thus enforced; and sithen have they kept her younger sister, which endureth great pains with mo other ladies.	Now, said Galahad, is she here for whom this castle was lost? Nay sir, said the priest, she was dead within these three nights after that she was thus enforced; and sithen have they kept her younger sister, which endureth great pains with mo other ladies.
3228_4690_000013_000000	By this were the knights of the country come, and then he made them do homage and fealty to the king's daughter, and set them in great ease of heart.	By this were the knights of the country come, and then he made them do homage and fealty to the king's daughter, and set them in great ease of heart.
3228_4690_000013_000002	I suppose well, said Sir Galahad, and took his armour and his horse, and commended them unto God.	I suppose well, said Sir Galahad, and took his armour and his horse, and commended them unto God.
