3228_4690_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.57	3.63	27.991213
3228_4690_000006_000001	Sir, said a good man, for his sin he was thus wounded; and I marvel, said the good man, how ye durst take upon you so rich a thing as the high order of knighthood without clean confession, and that was the cause ye were bitterly wounded.	Sir, said a good man, for his sin he was thus wounded; and I marvel, said the good man, how ye durst take upon you so rich a thing as the high order of knighthood without clean confession, and that was the cause ye were bitterly wounded.	true	223.76	236.86	21.247168
3228_4690_000006_000002	For the way on the right hand betokeneth the highway of our Lord Jesu Christ, and the way of a good true good liver.	For the way on the right hand betokeneth the highway of our Lord Jesu Christ, and the way of a good true good liver.	true	237.17	244.54	21.541878
3228_4690_000006_000003	And the other way betokeneth the way of sinners and of misbelievers.	And the other way betokeneth the way of sinners and of misbelievers.	true	244.73	248.77	22.581995
3228_4690_000006_000004	And when the devil saw your pride and presumption, for to take you in the quest of the Sangreal, that made you to be overthrown, for it may not be enchieved but by virtuous living. Also, the writing on the cross was a signification of heavenly deeds, and of knightly deeds in God's works, and no knightly deeds in worldly works.	And when the devil saw your pride and presumption, for to take you in the quest of the Sangreal, that made you to be overthrown, for it may not be enchieved but by virtuous living. Also, the writing on the cross was a signification of heavenly deeds, and of knightly deeds in God's works, and no knightly deeds in worldly works.	true	248.84	268.33	22.984272
3228_4690_000006_000005	And pride is head of all deadly sins, that caused this knight to depart from Galahad.	And pride is head of all deadly sins, that caused this knight to depart from Galahad.	true	268.46	273.16	22.007292
3228_4690_000006_000006	And where thou tookest the crown of gold thou sinnest in covetise and in theft: all this were no knightly deeds.	And where thou tookest the crown of gold thou sinnest in covetise and in theft: all this were no knightly deeds.	true	273.26	279.79	26.670591
3228_4690_000006_000007	And this Galahad, the holy knight, the which fought with the two knights, the two knights signify the two deadly sins which were wholly in this knight Melias; and they might not withstand you, for ye are without deadly sin.	And this Galahad, the holy knight, the which fought with the two knights, the two knights signify the two deadly sins which were wholly in this knight Melias; and they might not withstand you, for ye are without deadly sin.	true	279.92	291.34	22
3228_4690_000007_000000	Now departed Galahad from thence, and betaught them all unto God.	Now departed Galahad from thence, and betaught them all unto God.	false	291.5	295.54	25.45452
3228_4690_000007_000001	Sir Melias said: My lord Galahad, as soon as I may ride I shall seek you. God send you health, said Galahad, and so took his horse and departed, and rode many journeys forward and backward, as adventure would lead him.	Sir Melias said: My lord Galahad, as soon as I may ride I shall seek you. God send you health, said Galahad, and so took his horse and departed, and rode many journeys forward and backward, as adventure would lead him.	true	295.55	308.23	22.305292
3228_4690_000007_000002	And at the last it happened him to depart from a place or a castle the which was named Abblasoure; and he had heard no mass, the which he was wont ever to hear or ever he departed out of any castle or place, and kept that for a custom.	And at the last it happened him to depart from a place or a castle the which was named Abblasoure; and he had heard no mass, the which he was wont ever to hear or ever he departed out of any castle or place, and kept that for a custom.	true	308.57	322.09	20.680542
3228_4690_000007_000003	Then Sir Galahad came unto a mountain where he found an old chapel, and found there nobody, for all, all was desolate; and there he kneeled to-fore the altar, and besought God of wholesome counsel.	Then Sir Galahad came unto a mountain where he found an old chapel, and found there nobody, for all, all was desolate; and there he kneeled to fore the altar, and besought God of wholesome counsel.	false	322.28	333.88	24.45395
3228_4690_000007_000004	So as he prayed he heard a voice that said: Go thou now, thou adventurous knight, to the Castle of Maidens, and there do thou away the wicked customs.	So as he prayed he heard a voice that said: Go thou now, thou adventurous knight, to the Castle of Maidens, and there do thou away the wicked customs.	true	334.1	343.27	19.979816
3228_4690_000008_000000	CHAPTER XV.	CHAPTER fifteen.	true	343.58	344.85	26.443241
3228_4690_000008_000001	How Sir Galahad fought with the knights of the castle, and destroyed the wicked custom.	How Sir Galahad fought with the knights of the castle, and destroyed the wicked custom.	false	344.85	345.15	4
3228_4690_000009_000000	WHEN Sir Galahad heard this he thanked God, and took his horse; and he had not ridden but half a mile, he saw in the valley afore him a strong castle with deep ditches, and there ran beside it a fair river that hight Severn; and there he met with a man of great age, and either saluted other, and Galahad asked him the castle's name.	WHEN Sir Galahad heard this he thanked God, and took his horse; and he had not ridden but half a mile, he saw in the valley afore him a strong castle with deep ditches, and there ran beside it a fair river that hight Severn; and there he met with a man of great age, and either saluted other, and Galahad asked him the castle's name.	false	345.15	364.06	20.659546
3228_4690_000009_000001	Fair sir, said he, it is the Castle of Maidens.	Fair sir, said he, it is the Castle of Maidens.	true	364.4	367.51	19.39028
3228_4690_000009_000002	That is a cursed castle, said Galahad, and all they that be conversant therein, for all pity is out thereof, and all hardiness and mischief is therein.	That is a cursed castle, said Galahad, and all they that be conversant therein, for all pity is out thereof, and all hardiness and mischief is therein.	false	367.7	376.98	24.64249
3228_4690_000009_000003	Therefore, I counsel you, sir knight, to turn again.	Therefore, I counsel you, sir knight, to turn again.	true	376.98	379.87	20
3228_4690_000009_000004	Sir, said Galahad, wit you well I shall not turn again.	Sir, said Galahad, wit you well I shall not turn again.	true	380.12	383.53	24.49293
3228_4690_000009_000005	Then looked Sir Galahad on his arms that nothing failed him, and then he put his shield afore him; and anon there met him seven fair maidens, the which said unto him: Sir knight, ye ride here in a great folly, for ye have the water to pass over.	Then looked Sir Galahad on his arms that nothing failed him, and then he put his shield afore him; and anon there met him seven fair maidens, the which said unto him: Sir knight, ye ride here in a great folly, for ye have the water to pass over.	true	383.72	397.54	23.454521
3228_4690_000009_000006	Why should I not pass the water? said Galahad.	Why should I not pass the water? said Galahad.	true	397.88	400.48	22.514915
3228_4690_000009_000007	So rode he away from them and met with a squire that said: Knight, those knights in the castle defy you, and defenden you ye go no further till that they wit what ye would.	So rode he away from them and met with a squire that said: Knight, those knights in the castle defy you, and defenden you ye go no further till that they wit what ye would.	true	400.64	411.13	24.497425
3228_4690_000009_000008	Fair sir, said Galahad, I come for to destroy the wicked custom of this castle.	Fair sir, said Galahad, I come for to destroy the wicked custom of this castle.	true	411.41	416.05	22.101841
3228_4690_000009_000009	Sir, an ye will abide by that ye shall have enough to do.	Sir, an ye will abide by that ye shall have enough to do.	false	416.27	420.25	23
3228_4690_000009_000010	Go you now, said Galahad, and haste my needs.	Go you now, said Galahad, and haste my needs.	true	420.29	423.4	18.988972
3228_4690_000010_000000	Then the squire entered into the castle.	Then the squire entered into the castle.	true	424.1	426.405	27.10819
3228_4690_000010_000001	And anon after there came out of the castle seven knights, and all were brethren.	And anon after there came out of the castle seven knights, and all were brethren.	true	426.405	430.9	19
3228_4690_000010_000002	And when they saw Galahad they cried: Knight, keep thee, for we assure thee nothing but death.	And when they saw Galahad they cried: Knight, keep thee, for we assure thee nothing but death.	true	431.18	436.33	24.93537
3228_4690_000010_000003	Why, said Galahad, will ye all have ado with me at once?	Why, said Galahad, will ye all have ado with me at once?	true	436.55	440.22	21.736832
3228_4690_000010_000004	Yea, said they, thereto mayst thou trust.	Yea, said they, thereto mayst thou trust.	false	440.22	443.77	24.235456
3228_4690_000010_000005	Then Galahad put forth his spear and smote the foremost to the earth, that near he brake his neck.	Then Galahad put forth his spear and smote the foremost to the earth, that near he brake his neck.	true	443.99	449.62	27.865204
3228_4690_000010_000006	And therewithal the other smote him on his shield great strokes, so that their spears brake.	And therewithal the other smote him on his shield great strokes, so that their spears brake.	true	449.75	454.89	24.796022
3228_4690_000010_000007	Then Sir Galahad drew out his sword, and set upon them so hard that it was marvel to see it, and so through great force he made them to forsake the field; and Galahad chased them till they entered into the castle, and so passed through the castle at another gate.	Then Sir Galahad drew out his sword, and set upon them so hard that it was marvel to see it, and so through great force he made them to forsake the field; and Galahad chased them till they entered into the castle, and so passed through the castle at another gate.	true	454.89	468.91	22.947046
3228_4690_000011_000000	And there met Sir Galahad an old man clothed in religious clothing, and said: Sir, have here the keys of this castle.	And there met Sir Galahad an old man clothed in religious clothing, and said: Sir, have here the keys of this castle.	true	469.16	476.77	23.419893
3228_4690_000011_000001	Then Sir Galahad opened the gates, and saw so much people in the streets that he might not number them, and all said: Sir, ye be welcome, for long have we abiden here our deliverance.	Then Sir Galahad opened the gates, and saw so much people in the streets that he might not number them, and all said: Sir, ye be welcome, for long have we abiden here our deliverance.	true	477.05	487.48	21.481606
3228_4690_000011_000002	Then came to him a gentlewoman and said: These knights be fled, but they will come again this night, and here to begin again their evil custom.	Then came to him a gentlewoman and said: These knights be fled, but they will come again this night, and here to begin again their evil custom.	true	487.64	495.82	22.969526
3228_4690_000011_000003	What will ye that I shall do? said Galahad. Sir, said the gentlewoman, that ye send after all the knights hither that hold their lands of this castle, and make them to swear for to use the customs that were used heretofore of old time.	What will ye that I shall do? said Galahad. Sir, said the gentlewoman, that ye send after all the knights hither that hold their lands of this castle, and make them to swear for to use the customs that were used heretofore of old time.	true	496.07	509.17	23.218193
3228_4690_000011_000004	I will well, said Galahad.	I will well, said Galahad.	true	509.39	511.3	23.856268
3228_4690_000011_000005	And there she brought him an horn of ivory, bounden with gold richly, and said: Sir, blow this horn which will be heard two mile about this castle.	And there she brought him an horn of ivory, bounden with gold richly, and said: Sir, blow this horn which will be heard two mile about this castle.	true	511.31	519.88	23
3228_4690_000011_000006	When Sir Galahad had blown the horn he set him down upon a bed.	When Sir Galahad had blown the horn he set him down upon a bed.	true	520.19	523.755	20.66245
3228_4690_000012_000000	Then came a priest to Galahad, and said: Sir, it is past a seven year agone that these seven brethren came into this castle, and harboured with the lord of this castle that hight the Duke Lianour, and he was lord of all this country.	Then came a priest to Galahad, and said: Sir, it is past a seven year agone that these seven brethren came into this castle, and harboured with the lord of this castle that hight the Duke Lianour, and he was lord of all this country.	false	523.755	537.1	24.816004
3228_4690_000012_000001	And when they espied the duke's daughter, that was a full fair woman, then by their false covin they made debate betwixt themself, and the duke of his goodness would have departed them, and there they slew him and his eldest son.	And when they espied the duke's daughter, that was a full fair woman, then by their false covin they made debate betwixt themself, and the duke of his goodness would have departed them, and there they slew him and his eldest son.	false	537.14	549.76	23.381706
3228_4690_000012_000002	And then they took the maiden and the treasure of the castle.	And then they took the maiden and the treasure of the castle.	true	550.1	553.12	25.976187
3228_4690_000012_000003	And then by great force they held all the knights of this castle against their will under their obeissance, and in great service and truage, robbing and pilling the poor common people of all that they had.	And then by great force they held all the knights of this castle against their will under their obeissance, and in great service and truage, robbing and pilling the poor common people of all that they had.	true	553.28	564.43	21.238594
3228_4690_000012_000004	So it happened on a day the duke's daughter said: Ye have done unto me great wrong to slay mine own father, and my brother, and thus to hold our lands: not for then, she said, ye shall not hold this castle for many years, for by one knight ye shall be overcome.	So it happened on a day the duke's daughter said: Ye have done unto me great wrong to slay mine own father, and my brother, and thus to hold our lands: not for then, she said, ye shall not hold this castle for many years, for by one knight ye shall be overcome.	true	564.62	579.48	21.048347
3228_4690_000012_000005	Thus she prophesied seven years agone.	Thus she prophesied seven years agone.	false	579.48	582.55	22.15178
3228_4690_000012_000006	Well, said the seven knights, sithen ye say so, there shall never lady nor knight pass this castle but they shall abide maugre their heads, or die therefore, till that knight be come by whom we shall lose this castle.	Well, said the seven knights, sithen ye say so, there shall never lady nor knight pass this castle but they shall abide maugre their heads, or die therefore, till that knight be come by whom we shall lose this castle.	true	583.01	595.24	20
3228_4690_000012_000007	And therefore is it called the Maidens' Castle, for they have devoured many maidens.	And therefore is it called the Maidens' Castle, for they have devoured many maidens.	true	595.43	599.98	20.284334
3228_4690_000012_000008	Now, said Galahad, is she here for whom this castle was lost? Nay sir, said the priest, she was dead within these three nights after that she was thus enforced; and sithen have they kept her younger sister, which endureth great pains with mo other ladies.	Now, said Galahad, is she here for whom this castle was lost? Nay sir, said the priest, she was dead within these three nights after that she was thus enforced; and sithen have they kept her younger sister, which endureth great pains with mo other ladies.	true	600.2	614.89	24.126543
3228_4690_000013_000000	By this were the knights of the country come, and then he made them do homage and fealty to the king's daughter, and set them in great ease of heart.	By this were the knights of the country come, and then he made them do homage and fealty to the king's daughter, and set them in great ease of heart.	true	615.2	622.92	23.406898
3228_4690_000013_000001	And in the morn there came one to Galahad and told him how that Gawaine, Gareth, and Uwaine, had slain the seven brethren.	And in the morn there came one to Galahad and told him how that Gawaine, Gareth, and Uwaine, had slain the seven brethren.	false	622.92	630.13	20
3228_4690_000013_000002	I suppose well, said Sir Galahad, and took his armour and his horse, and commended them unto God.	I suppose well, said Sir Galahad, and took his armour and his horse, and commended them unto God.	true	630.29	635.7	22.94046
3228_4690_000014_000000	CHAPTER XVI.	CHAPTER sixteen.	false	635.7	638.64	22.364096
3228_4690_000014_000001	How Sir Gawaine came to the abbey for to follow Galahad, and how he was shriven to a hermit.	How Sir Gawaine came to the abbey for to follow Galahad, and how he was shriven to a hermit.	false	638.64	644.31	29.235172
