6139_58868_000013_000000	CHAPTER I.	CHAPTER one
6139_58868_000038_000001	Jolly for you!" before he answered more politely, "Thank you, Lloyd, you can count on me for my part.	Jolly for you!" before he answered more politely, "Thank you, Lloyd, you can count on me for my part.
6139_58868_000038_000002	I'll be on hand every time you turn around, if you want me. Who all's coming?"	I'll be on hand every time you turn around, if you want me. Who all's coming?"
6139_58868_000041_000000	"Well, who is she?" he asked, reading it aloud.	"Well, who is she?" he asked, reading it aloud.
6139_58868_000042_000000	"Eugenia is a sort of cousin of mine," explained Lloyd.	"Eugenia is a sort of cousin of mine," explained Lloyd.
6139_58868_000042_000004	She was dreadfully spoiled.	She was dreadfully spoiled.
6139_58868_000043_000000	"Then what did you do?" asked Rob, with a grin.	"Then what did you do?" asked Rob, with a grin.
6139_58868_000043_000001	He had experimented with Lloyd's temper himself in the past.	He had experimented with Lloyd's temper himself in the past.
6139_58868_000044_000007	He is always so busy there's no one to pay any attention to her but her maid.	He is always so busy there's no one to pay any attention to her but her maid.
6139_58868_000044_000009	I imagine she's stuck up, too.	I imagine she's stuck up, too.
6139_58868_000044_000010	She used to be, and she's always had her own way about everything."	She used to be, and she's always had her own way about everything."
6139_58868_000045_000000	"Number one doesn't sound very inviting," said Rob, with a sour grimace. "Who is your number two?" Lloyd held out the second envelope.	"Number one doesn't sound very inviting," said Rob, with a sour grimace. "Who is your number two?" Lloyd held out the second envelope.
6139_58868_000047_000007	Oh, it was just like a fairy tale, all the things that Joyce did when she was in Touraine."	Oh, it was just like a fairy tale, all the things that Joyce did when she was in Touraine."
6139_58868_000048_000000	"How old is she?" interrupted Rob.	"How old is she?" interrupted Rob.
6139_58868_000049_000000	"Just Eugenia's age, I believe, and she must be an interestin' sort of girl, for she draws beautifully.	"Just Eugenia's age, I believe, and she must be an interestin' sort of girl, for she draws beautifully.
6139_58868_000050_000000	"Number two is all right," said Rob, with an approving nod.	"Number two is all right," said Rob, with an approving nod.
6139_58868_000050_000001	"Next!"	"Next!"
6139_58868_000050_000002	The Little Colonel held out the third envelope.	The Little Colonel held out the third envelope.
6139_58868_000051_000000	"One flew east and one flew west, so I s'pose this will fly into the cuckoo's nest," said Rob, as he read the address:	"One flew east and one flew west, so I s'pose this will fly into the cuckoo's nest," said Rob, as he read the address:
6139_58868_000053_000005	Mother is her godmothah.	Mother is her godmothah.
6139_58868_000053_000006	That's why she is named Elizabeth Lloyd.	That's why she is named Elizabeth Lloyd.
6139_58868_000053_000008	That's why she invited them."	That's why she invited them."
6139_58868_000054_000000	"And you don't know anything about this one?" questioned Rob.	"And you don't know anything about this one?" questioned Rob.
6139_58868_000055_000000	"Not a thing.	"Not a thing.
6139_58868_000055_000001	I shouldn't be su'prised if she's mighty countrified, for the farm is several miles from a railroad, and the people she lives with don't think of anything but work, yeah in and yeah out."	I shouldn't be su'prised if she's mighty countrified, for the farm is several miles from a railroad, and the people she lives with don't think of anything but work, yeah in and yeah out."
6139_58868_000056_000000	They had reached the post-office by this time, and Rob held out his hand for the letters.	They had reached the post office by this time, and Rob held out his hand for the letters.
6139_58868_000056_000001	"I'll put them in for you," he said.	"I'll put them in for you," he said.
6139_58868_000056_000002	Then, dropping them into the box, one by one, he repeated the rhyme:	Then, dropping them into the box, one by one, he repeated the rhyme:
6139_58868_000057_000000	"One flew east and one flew west. And one flew into the cuckoo's nest."	"One flew east and one flew west. And one flew into the cuckoo's nest."
6139_58868_000058_000000	Lloyd added, quickly:	Lloyd added, quickly:
6139_58868_000060_000000	"Joyce," said Rob, promptly.	"Joyce," said Rob, promptly.
6139_58868_000061_000000	"I think so, too," agreed the Little Colonel, stooping to fasten the locust blossoms more securely behind the pony's ears.	"I think so, too," agreed the Little Colonel, stooping to fasten the locust blossoms more securely behind the pony's ears.
6139_58868_000062_000000	"Well, the invitations are off now.	"Well, the invitations are off now.
6139_58868_000062_000001	Come on, Tarbaby, and see if you can't beat Bobby Moore's old gray hawse so bad it will be ashamed to evah race again."	Come on, Tarbaby, and see if you can't beat Bobby Moore's old gray hawse so bad it will be ashamed to evah race again."
6139_58868_000064_000000	The dust flew, dogs barked, and chickens ran squawking across the road out of the way.	The dust flew, dogs barked, and chickens ran squawking across the road out of the way.
6139_58868_000064_000001	Heads were thrust out of the windows as the two vanished up the dusty pike, and an old graybeard loafing in front of the corner grocery gave an amused chuckle.	Heads were thrust out of the windows as the two vanished up the dusty pike, and an old graybeard loafing in front of the corner grocery gave an amused chuckle.
6139_58868_000064_000002	"Beats all how them two do get over the ground," he said.	"Beats all how them two do get over the ground," he said.
6139_58868_000065_000000	A little while later the three white envelopes were jogging sociably along, side by side in a mail-bag, on their way to Louisville.	A little while later the three white envelopes were jogging sociably along, side by side in a mail bag, on their way to Louisville.
6139_58868_000065_000001	But their course did not lie together long.	But their course did not lie together long.
