7286_92930_000000_000000	CHAPTER XX	CHAPTER twenty	true	22.86	24.13	31.899662
7286_92930_000007_000001	Fate, thought Molly, had made a sad mistake, in making her a woman, for she knew that in spite of her petticoats she could soldier as well as the men,--and if she had only been a man she believed she could have risen to an important position in the army.	Fate, thought Molly, had made a sad mistake, in making her a woman, for she knew that in spite of her petticoats she could soldier as well as the men,--and if she had only been a man she believed she could have risen to an important position in the army.	true	180.53	195.67	23.391504
7286_92930_000008_000000	The tide of the struggle wavered and battles with the red coats were fought and won.	The tide of the struggle wavered and battles with the red coats were fought and won.	true	196.88	201.31	23.541357
7286_92930_000008_000001	It was hard to get the newspapers in those times and news of the armies and their doings was often weeks behind the actual events.	It was hard to get the newspapers in those times and news of the armies and their doings was often weeks behind the actual events.	true	201.65	209.41	21
7286_92930_000008_000002	Molly hoped and waited, but for weeks at a time she went without word from her husband and did not know whether he were alive or dead.	Molly hoped and waited, but for weeks at a time she went without word from her husband and did not know whether he were alive or dead.	true	209.84	218.17	23.345402
7286_92930_000009_000000	One day a messenger called for her at the Irving household.	One day a messenger called for her at the Irving household.	false	218.66	222.52	19.017115
7286_92930_000009_000001	He had a letter from John Hays for Molly, and it not only told her that he was alive and well, but was in camp not far off from her former home in Trenton, New Jersey, where her aged parents were still living.	He had a letter from john Hays for Molly, and it not only told her that he was alive and well, but was in camp not far off from her former home in trenton new jersey, where her aged parents were still living.	true	222.77	236.02	22.57263
7286_92930_000009_000002	The letter ended by telling her to come to Trenton and live with her parents, for he would be able without doubt to get leave from his command and see her often.	The letter ended by telling her to come to Trenton and live with her parents, for he would be able without doubt to get leave from his command and see her often.	true	236.36	245.86	24.301987
7286_92930_000010_000000	Soon the war itself was being fought in the neighborhood of her home. The Americans attacked the British near Princeton killing and capturing a large number.	Soon the war itself was being fought in the neighborhood of her home. The Americans attacked the British near Princeton killing and capturing a large number.	true	246.74	256.74	24.25371
7286_92930_000010_000001	Then Washington with his small force withdrew from that region before reenforcements could be brought against him.	Then Washington with his small force withdrew from that region before reenforcements could be brought against him.	false	256.74	263.5	21.4524
7286_92930_000011_000000	And now Molly found that there was something that she could do--namely, go and care for the wounded who were still lying where they had fallen on the field of battle.	And now Molly found that there was something that she could do-namely, go and care for the wounded who were still lying where they had fallen on the field of battle.	true	264.38	273.97	21.321577
7286_92930_000011_000001	The British General Cornwallis and his men were approaching, but that did not worry her a whit, and she went to and fro upon the battlefield carrying water for parched throats and binding wounds until the British soldiers were actually upon her.	The British General Cornwallis and his men were approaching, but that did not worry her a whit, and she went to and fro upon the battlefield carrying water for parched throats and binding wounds until the British soldiers were actually upon her.	false	274.73	289.75	23.362047
7286_92930_000012_000000	Then Molly saw a cannon pointed in the direction of the British, and to her surprise it was loaded and there was a fuse still smoldering and lying near at hand.	Then Molly saw a cannon pointed in the direction of the British, and to her surprise it was loaded and there was a fuse still smoldering and lying near at hand.	false	290.75	300.43	23.394772
7286_92930_000012_000001	She studied the cannon carefully and it seemed to be aimed right at a group of the enemy that was approaching.	She studied the cannon carefully and it seemed to be aimed right at a group of the enemy that was approaching.	true	300.8	307.06	24.18158
7286_92930_000012_000002	The brave girl dropped the pail of water that she had been carrying, picked up the fuse and applied it to the touch hole.	The brave girl dropped the pail of water that she had been carrying, picked up the fuse and applied it to the touch hole.	true	307.73	315.1	25.732748
7286_92930_000012_000003	With a loud roar the charge was fired and the cannon leaped backward on its wheels.	With a loud roar the charge was fired and the cannon leaped backward on its wheels.	false	315.47	320.53	24.930988
7286_92930_000013_000000	At this the British halted in amazement.	At this the British halted in amazement.	false	321.47	324.22	26.554691
7286_92930_000013_000001	They had believed that the Americans were far away, and here this gun gave warning that they were still near at hand, or at any rate had left a strong rear guard with artillery to delay them in their pursuit.	They had believed that the Americans were far away, and here this gun gave warning that they were still near at hand, or at any rate had left a strong rear guard with artillery to delay them in their pursuit.	false	324.5	336.91	21.709787
7286_92930_000013_000002	Hastily they crossed over the field and surrounded the gun which was deserted.	Hastily they crossed over the field and surrounded the gun which was deserted.	true	337.55	342.34	19.911093
7286_92930_000013_000003	Molly had left and had taken with her a wounded American soldier whom she carried on her shoulder.	Molly had left and had taken with her a wounded American soldier whom she carried on her shoulder.	true	342.71	348.48	23.280586
7286_92930_000014_000000	[Illustration: THE CANNON BALLS FIRED BY MOLLY PITCHER FELL SQUARELY IN THE BRITISH LINES]	[Illustration: THE CANNON BALLS FIRED BY MOLLY PITCHER FELL SQUARELY IN THE BRITISH LINES]	false	348.48	350.61	28.189432
7286_92930_000015_000000	The British had seen her go, but it had not occurred to them that a woman had fired the shot that caused so much disturbance among them and aided the retreating Americans so greatly by delaying their pursuers. If they had realized that Molly herself was the cannoneer, she would have had but little chance of mercy at their hands, and would at once have faced a firing squad or been hung to the nearest tree.	The British had seen her go, but it had not occurred to them that a woman had fired the shot that caused so much disturbance among them and aided the retreating Americans so greatly by delaying their pursuers. If they had realized that Molly herself was the cannoneer, she would have had but little chance of mercy at their hands, and would at once have faced a firing squad or been hung to the nearest tree.	false	350.61	375.76	24.35604
7286_92930_000015_000001	As it was they thought she was only some country girl who had perhaps lost some relative in the recent battle and was carrying his dead body back to her home.	As it was they thought she was only some country girl who had perhaps lost some relative in the recent battle and was carrying his dead body back to her home.	true	376.52	385.93	21.7317
7286_92930_000015_000002	And so they paid no attention to her.	And so they paid no attention to her.	true	386.06	388.45	25.978642
7286_92930_000016_000000	Molly, however, by firing this shot had materially aided General Washington, for any delay of the British, even a slight one, gave a great advantage to the Americans who were hurrying from superior numbers to put themselves in a good tactical position as soon as they could.	Molly, however, by firing this shot had materially aided General Washington, for any delay of the British, even a slight one, gave a great advantage to the Americans who were hurrying from superior numbers to put themselves in a good tactical position as soon as they could.	false	388.67	406.63	22.558271
7286_92930_000017_000000	On a hot day of July in the following summer it chanced that Washington's forces were again not far away from Molly's home, and she took a difficult journey on the chance of seeing her husband.	On a hot day of July in the following summer it chanced that Washington's forces were again not far away from Molly's home, and she took a difficult journey on the chance of seeing her husband.	true	407.63	419.14	23.592491
7286_92930_000017_000001	Her first step in soldiering had been taken when she fired the cannon at the British in the preceding year.	Her first step in soldiering had been taken when she fired the cannon at the British in the preceding year.	true	419.69	425.41	23.464006
7286_92930_000017_000002	A far greater adventure lay before her, for she fell in with the American soldiers just as they commenced the severe battle of Monmouth.	A far greater adventure lay before her, for she fell in with the American soldiers just as they commenced the severe battle of Monmouth.	true	425.78	433.99	23.7237
7286_92930_000018_000000	This battle had considerable importance, as a comparatively large number of troops were engaged in it.	This battle had considerable importance, as a comparatively large number of troops were engaged in it.	true	434.84	441.07	23.146505
7286_92930_000018_000001	General Washington was in command of the Americans and the English were led by Sir Henry Clinton.	General Washington was in command of the Americans and the English were led by Sir Henry Clinton.	false	441.56	447.25	23.167574
7286_92930_000018_000002	The English had been retreating from Philadelphia, across New Jersey, followed by Washington, and the American general had decided to launch an attack on the left wing of the retreating forces and General Lee was ordered by Washington to attack the English on the flank and hold them in battle until he himself could come up with the bulk of the American Army.	The English had been retreating from Philadelphia, across New Jersey, followed by Washington, and the American general had decided to launch an attack on the left wing of the retreating forces and General Lee was ordered by Washington to attack the English on the flank and hold them in battle until he himself could come up with the bulk of the American Army.	true	448.04	469.63	22.508339
7286_92930_000019_000000	General Lee, however, proved to be a poor man for this task and his indecision and semi-cowardice left Washington exposed to the brunt of the enemy's attack before he was prepared to meet it and against the intentions of the American commander.	General Lee, however, proved to be a poor man for this task and his indecision and semi cowardice left Washington exposed to the brunt of the enemy's attack before he was prepared to meet it and against the intentions of the American commander.	true	470.39	485.35	22.2786
7286_92930_000019_000001	The situation was saved by General Greene, who saw what had happened, changed his own plans and diverted the attack of the British to his own position from which he poured in a heavy artillery fire that caused them terrible losses.	The situation was saved by General Greene, who saw what had happened, changed his own plans and diverted the attack of the British to his own position from which he poured in a heavy artillery fire that caused them terrible losses.	true	485.81	499.33	22.598797
7286_92930_000020_000000	John Hays was one of the cannoneers of Greene's artillery and he worked all day loading and firing his piece.	john Hays was one of the cannoneers of Greene's artillery and he worked all day loading and firing his piece.	true	500.3	507.1	20.311089
7286_92930_000020_000001	It was a terribly hot day and many men in both the British and the American armies fell exhausted and even died from the heat of the sun.	It was a terribly hot day and many men in both the British and the American armies fell exhausted and even died from the heat of the sun	true	507.44	515.62	24.264263
7286_92930_000021_000000	All this time Molly Hays had been caring for the wounded and carrying water to the thirsty gunners, using for the purpose the bucket that was attached to her husband's cannon for cleaning purposes.	All this time Molly Hays had been caring for the wounded and carrying water to the thirsty gunners, using for the purpose the bucket that was attached to her husband's cannon for cleaning purposes.	true	516.41	527.65	21.566448
7286_92930_000021_000001	Tirelessly she continued her efforts to care for the wounded and comfort the fighting soldiers, heedless of the bullets that came her way or of the general turmoil of battle.	Tirelessly she continued her efforts to care for the wounded and comfort the fighting soldiers, heedless of the bullets that came her way or of the general turmoil of battle.	true	528.17	538.24	23.331236
7286_92930_000021_000002	As the day wore on the men would greet her coming with: "Here comes Molly with her pitcher!" And gradually this was changed to "Here comes Molly Pitcher." And this was the name that history has adopted in regard to the brave woman for whom it was so used.	As the day wore on the men would greet her coming with: "Here comes Molly with her pitcher!" And gradually this was changed to "Here comes Molly Pitcher." And this was the name that history has adopted in regard to the brave woman for whom it was so used.	true	538.64	554.59	21.406096
7286_92930_000022_000000	At last John Hays succumbed to the heat and fell unconscious beside his gun.	At last john Hays succumbed to the heat and fell unconscious beside his gun.	false	555.35	560.44	23.900877
7286_92930_000022_000001	The sun had proved too much for him.	The sun had proved too much for him.	true	560.78	563.11	21.62175
7286_92930_000023_000000	Molly stopped carrying water to care for her husband.	Molly stopped carrying water to care for her husband.	true	563.45	566.65	22.569458
7286_92930_000023_000001	She bathed his head and moved him into the shade, returning to her duties just in time to hear General Knox give orders that the cannon be removed, because he had no other gunner cool enough and skilful enough to work it in its present exposed position.	She bathed his head and moved him into the shade, returning to her duties just in time to hear General Knox give orders that the cannon be removed, because he had no other gunner cool enough and skilful enough to work it in its present exposed position.	true	566.81	581.83	24.55909
7286_92930_000023_000002	At this Molly sprang forward crying out:	At this Molly sprang forward crying out:	true	582.26	585.19	26.649471
7286_92930_000024_000000	"Leave the gun where it is.	"Leave the gun where it is.	true	585.26	587.08	23.918081
7286_92930_000024_000001	I can fire it.	I can fire it.	true	587.24	588.58	27.194197
7286_92930_000024_000002	I am a gunner's wife and know how to load and fire a cannon.	I am a gunner's wife and know how to load and fire a cannon.	true	588.71	592.63	21.567207
7286_92930_000024_000003	I'll take the place that my brave husband has left!" And running to the gun Molly commenced to load and fire so determinedly and skilfully that a gasp of amazement ran through the men that saw her.	I'll take the place that my brave husband has left!" And running to the gun Molly commenced to load and fire so determinedly and skilfully that a gasp of amazement ran through the men that saw her.	true	593	605.92	22.602646
7286_92930_000025_000000	For many weary hours she toiled at the gun, until the British were driven back and the battle was claimed as an American victory.	For many weary hours she toiled at the gun, until the British were driven back and the battle was claimed as an American victory.	true	606.77	615.045	22.65905
7286_92930_000025_000001	And then the young woman found herself the darling of all the soldiers in the army, for word of her actions ran like wildfire through the ranks and cheers reechoed wherever she went.	And then the young woman found herself the darling of all the soldiers in the army, for word of her actions ran like wildfire through the ranks and cheers reechoed wherever she went.	false	615.045	625.69	22.471937
7286_92930_000025_000002	Before she left her cannon General Greene himself came over to where she stood and grasping her hand thanked her in the name of the American Army.	Before she left her cannon General Greene himself came over to where she stood and grasping her hand thanked her in the name of the American Army.	true	626.24	635.38	21.596281
7286_92930_000026_000000	This was not all the triumph she received, however, for word was soon brought to her that General Washington himself wished to see her.	This was not all the triumph she received, however, for word was soon brought to her that General Washington himself wished to see her.	true	636.26	644.38	23.99303
7286_92930_000026_000001	She was in her ragged grimy clothes in which she had fought and succored the wounded through the whole of that hot day, and she now put on a soldier's coat in which to meet the General.	She was in her ragged grimy clothes in which she had fought and succored the wounded through the whole of that hot day, and she now put on a soldier's coat in which to meet the General.	false	644.87	655.78	21.769379
7286_92930_000027_000000	Washington praised her highly and before a large number of his officers and men, and more cheering reechoed through the ranks when he gave her the brevet rank of Captain in the American Army.	Washington praised her highly and before a large number of his officers and men, and more cheering reechoed through the ranks when he gave her the brevet rank of Captain in the American Army.	true	656.24	667.21	22.881836
7286_92930_000028_000000	And not only the Americans did her honor, but the French as well, for the Marquis de Lafayette with his own hand presented her with a purse of golden crowns.	And not only the Americans did her honor, but the French as well, for the Marquis de Lafayette with his own hand presented her with a purse of golden crowns.	true	667.91	676.99	24.946169
7286_92930_000029_000000	In this strange way Molly Hays' desire to be a soldier came true, and the name of Molly Pitcher, as she was ever after called, became one of the great names of American History.	In this strange way Molly Hays' desire to be a soldier came true, and the name of Molly Pitcher, as she was ever after called, became one of the great names of American History.	false	677.75	712.92	21.39771
