8592_285135_000000_000000	"Ah, ha!" said at length the infuriated jester.	"Ah, ha!" said at length the infuriated jester.	false	0	0.39	-20
8592_285135_000008_000003	Now and then, alas, the conscience of man takes up a burthen so heavy in horror that it can be thrown down only into the grave.	Now and then, alas, the conscience of man takes up a burthen so heavy in horror that it can be thrown down only into the grave.	true	67.13	75.07	17
8592_285135_000008_000004	And thus the essence of all crime is undivulged.	And thus the essence of all crime is undivulged.	true	75.17	78.73	17
8592_285135_000009_000000	Not long ago, about the closing in of an evening in autumn, I sat at the large bow window of the D----- Coffee-House in London.	Not long ago, about the closing in of an evening in autumn, I sat at the large bow window of the D----- Coffee House in London.	true	80.48	87.85	12
8592_285135_000009_000001	For some months I had been ill in health, but was now convalescent, and, with returning strength, found myself in one of those happy moods which are so precisely the converse of ennui--moods of the keenest appetency, when the film from the mental vision departs--the [Greek phrase]--and the intellect, electrified, surpasses as greatly its every-day condition, as does the vivid yet candid reason of Leibnitz, the mad and flimsy rhetoric of Gorgias.	For some months I had been ill in health, but was now convalescent, and, with returning strength, found myself in one of those happy moods which are so precisely the converse of ennui-moods of the keenest appetency, when the film from the mental vision departs-the [Greek phrase]--and the intellect, electrified, surpasses as greatly its every day condition, as does the vivid yet candid reason of Leibnitz, the mad and flimsy rhetoric of Gorgias.	false	88.25	115.72	16
8592_285135_000009_000002	Merely to breathe was enjoyment; and I derived positive pleasure even from many of the legitimate sources of pain.	Merely to breathe was enjoyment; and I derived positive pleasure even from many of the legitimate sources of pain.	true	116.57	123.28	11
8592_285135_000009_000003	I felt a calm but inquisitive interest in every thing.	I felt a calm but inquisitive interest in every thing.	true	123.74	127.96	18.917076
8592_285135_000009_000004	With a cigar in my mouth and a newspaper in my lap, I had been amusing myself for the greater part of the afternoon, now in poring over advertisements, now in observing the promiscuous company in the room, and now in peering through the smoky panes into the street.	With a cigar in my mouth and a newspaper in my lap, I had been amusing myself for the greater part of the afternoon, now in poring over advertisements, now in observing the promiscuous company in the room, and now in peering through the smoky panes into the street.	true	128.12	143.02	15
8592_285135_000010_000000	This latter is one of the principal thoroughfares of the city, and had been very much crowded during the whole day.	This latter is one of the principal thoroughfares of the city, and had been very much crowded during the whole day.	true	146.18	151.84	13
8592_285135_000010_000001	But, as the darkness came on, the throng momently increased; and, by the time the lamps were well lighted, two dense and continuous tides of population were rushing past the door.	But, as the darkness came on, the throng momently increased; and, by the time the lamps were well lighted, two dense and continuous tides of population were rushing past the door.	true	152.09	163	16
8592_285135_000010_000002	At this particular period of the evening I had never before been in a similar situation, and the tumultuous sea of human heads filled me, therefore, with a delicious novelty of emotion.	At this particular period of the evening I had never before been in a similar situation, and the tumultuous sea of human heads filled me, therefore, with a delicious novelty of emotion.	true	163.43	173.5	11
8592_285135_000010_000003	I gave up, at length, all care of things within the hotel, and became absorbed in contemplation of the scene without.	I gave up, at length, all care of things within the hotel, and became absorbed in contemplation of the scene without.	true	173.66	180.31	13
8592_285135_000011_000000	At first my observations took an abstract and generalizing turn. I looked at the passengers in masses, and thought of them in their aggregate relations.	At first my observations took an abstract and generalizing turn. I looked at the passengers in masses, and thought of them in their aggregate relations.	true	181.46	190.3	16
8592_285135_000011_000001	Soon, however, I descended to details, and regarded with minute interest the innumerable varieties of figure, dress, air, gait, visage, and expression of countenance.	Soon, however, I descended to details, and regarded with minute interest the innumerable varieties of figure, dress, air, gait, visage, and expression of countenance.	false	190.88	201.67	16
8592_285135_000012_000000	By far the greater number of those who went by had a satisfied business-like demeanor, and seemed to be thinking only of making their way through the press.	By far the greater number of those who went by had a satisfied business like demeanor, and seemed to be thinking only of making their way through the press.	true	202.76	210.73	12
8592_285135_000012_000001	Their brows were knit, and their eyes rolled quickly; when pushed against by fellow-wayfarers they evinced no symptom of impatience, but adjusted their clothes and hurried on.	Their brows were knit, and their eyes rolled quickly; when pushed against by fellow wayfarers they evinced no symptom of impatience, but adjusted their clothes and hurried on.	true	211.16	220.78	13
8592_285135_000012_000002	Others, still a numerous class, were restless in their movements, had flushed faces, and talked and gesticulated to themselves, as if feeling in solitude on account of the very denseness of the company around.	Others, still a numerous class, were restless in their movements, had flushed faces, and talked and gesticulated to themselves, as if feeling in solitude on account of the very denseness of the company around.	true	221.48	232.36	11
8592_285135_000012_000003	When impeded in their progress, these people suddenly ceased muttering, but re-doubled their gesticulations, and awaited, with an absent and overdone smile upon the lips, the course of the persons impeding them.	When impeded in their progress, these people suddenly ceased muttering, but re doubled their gesticulations, and awaited, with an absent and overdone smile upon the lips, the course of the persons impeding them.	true	232.97	244.66	14
8592_285135_000012_000004	If jostled, they bowed profusely to the jostlers, and appeared overwhelmed with confusion.--There was nothing very distinctive about these two large classes beyond what I have noted.	If jostled, they bowed profusely to the jostlers, and appeared overwhelmed with confusion.--There was nothing very distinctive about these two large classes beyond what I have noted.	true	245.15	255.37	19
8592_285135_000012_000005	Their habiliments belonged to that order which is pointedly termed the decent.	Their habiliments belonged to that order which is pointedly termed the decent.	true	255.92	260.11	15
8592_285135_000012_000006	They were undoubtedly noblemen, merchants, attorneys, tradesmen, stock-jobbers--the Eupatrids and the common-places of society--men of leisure and men actively engaged in affairs of their own--conducting business upon their own responsibility.	They were undoubtedly noblemen, merchants, attorneys, tradesmen, stock jobbers-the Eupatrids and the common places of society-men of leisure and men actively engaged in affairs of their own-conducting business upon their own responsibility.	false	260.45	275.71	17
8592_285135_000012_000007	They did not greatly excite my attention.	They did not greatly excite my attention.	true	276.32	278.74	18
8592_285135_000013_000000	The tribe of clerks was an obvious one and here I discerned two remarkable divisions.	The tribe of clerks was an obvious one and here I discerned two remarkable divisions.	true	279.62	284.65	14
8592_285135_000013_000001	There were the junior clerks of flash houses--young gentlemen with tight coats, bright boots, well-oiled hair, and supercilious lips.	There were the junior clerks of flash houses-young gentlemen with tight coats, bright boots, well oiled hair, and supercilious lips.	true	284.87	292.54	18
8592_285135_000013_000002	Setting aside a certain dapperness of carriage, which may be termed deskism for want of a better word, the manner of these persons seemed to me an exact fac-simile of what had been the perfection of bon ton about twelve or eighteen months before.	Setting aside a certain dapperness of carriage, which may be termed deskism for want of a better word, the manner of these persons seemed to me an exact fac simile of what had been the perfection of bon ton about twelve or eighteen months before.	false	292.91	306.82	16
8592_285135_000013_000003	They wore the cast-off graces of the gentry;--and this, I believe, involves the best definition of the class.	They wore the cast off graces of the gentry;--and this, I believe, involves the best definition of the class.	false	307.19	313.48	19
8592_285135_000014_000000	The division of the upper clerks of staunch firms, or of the "steady old fellows," it was not possible to mistake.	The division of the upper clerks of staunch firms, or of the "steady old fellows," it was not possible to mistake.	false	313.61	320.29	19
8592_285135_000014_000001	These were known by their coats and pantaloons of black or brown, made to sit comfortably, with white cravats and waistcoats, broad solid-looking shoes, and thick hose or gaiters.--They had all slightly bald heads, from which the right ears, long used to pen-holding, had an odd habit of standing off on end.	These were known by their coats and pantaloons of black or brown, made to sit comfortably, with white cravats and waistcoats, broad solid looking shoes, and thick hose or gaiters.--They had all slightly bald heads, from which the right ears, long used to pen holding, had an odd habit of standing off on end.	true	320.36	339.37	20.333488
8592_285135_000014_000002	I observed that they always removed or settled their hats with both hands, and wore watches, with short gold chains of a substantial and ancient pattern.	I observed that they always removed or settled their hats with both hands, and wore watches, with short gold chains of a substantial and ancient pattern.	true	339.65	348.16	12
8592_285135_000014_000003	Theirs was the affectation of respectability;--if indeed there be an affectation so honorable.	Theirs was the affectation of respectability;--if indeed there be an affectation so honorable.	true	348.53	354.46	20.627636
8592_285135_000015_000000	There were many individuals of dashing appearance, whom I easily understood as belonging to the race of swell pick-pockets with which all great cities are infested.	There were many individuals of dashing appearance, whom I easily understood as belonging to the race of swell pick pockets with which all great cities are infested.	true	355.04	364.33	18.504904
8592_285135_000015_000001	I watched these gentry with much inquisitiveness, and found it difficult to imagine how they should ever be mistaken for gentlemen by gentlemen themselves.	I watched these gentry with much inquisitiveness, and found it difficult to imagine how they should ever be mistaken for gentlemen by gentlemen themselves.	true	364.37	372.7	14
8592_285135_000015_000002	Their voluminousness of wristband, with an air of excessive frankness, should betray them at once.	Their voluminousness of wristband, with an air of excessive frankness, should betray them at once.	true	373.07	378.55	15
8592_285135_000016_000000	The gamblers, of whom I descried not a few, were still more easily recognisable.	The gamblers, of whom I descried not a few, were still more easily recognisable.	true	380.06	385.69	20.255798
8592_285135_000016_000001	They wore every variety of dress, from that of the desperate thimble-rig bully, with velvet waistcoat, fancy neckerchief, gilt chains, and filagreed buttons, to that of the scrupulously inornate clergyman, than which nothing could be less liable to suspicion.	They wore every variety of dress, from that of the desperate thimble rig bully, with velvet waistcoat, fancy neckerchief, gilt chains, and filagreed buttons, to that of the scrupulously inornate clergyman, than which nothing could be less liable to suspicion.	false	385.79	402.52	21
8592_285135_000016_000002	Still all were distinguished by a certain sodden swarthiness of complexion, a filmy dimness of eye, and pallor and compression of lip.	Still all were distinguished by a certain sodden swarthiness of complexion, a filmy dimness of eye, and pallor and compression of lip.	true	403.1	412.06	20.059048
8592_285135_000016_000003	There were two other traits, moreover, by which I could always detect them;--a guarded lowness of tone in conversation, and a more than ordinary extension of the thumb in a direction at right angles with the fingers.--Very often, in company with these sharpers, I observed an order of men somewhat different in habits, but still birds of a kindred feather.	There were two other traits, moreover, by which I could always detect them;--a guarded lowness of tone in conversation, and a more than ordinary extension of the thumb in a direction at right angles with the fingers.--Very often, in company with these sharpers, I observed an order of men somewhat different in habits, but still birds of a kindred feather.	true	412.34	431.325	17
8592_285135_000016_000004	They may be defined as the gentlemen who live by their wits.	They may be defined as the gentlemen who live by their wits.	true	431.325	434.59	17
8592_285135_000016_000005	They seem to prey upon the public in two battalions--that of the dandies and that of the military men.	They seem to prey upon the public in two battalions-that of the dandies and that of the military men.	true	434.84	441.16	22.079277
8592_285135_000016_000006	Of the first grade the leading features are long locks and smiles; of the second frogged coats and frowns.	Of the first grade the leading features are long locks and smiles; of the second frogged coats and frowns.	true	441.65	448.63	22.367702
8592_285135_000017_000000	Descending in the scale of what is termed gentility, I found darker and deeper themes for speculation.	Descending in the scale of what is termed gentility, I found darker and deeper themes for speculation.	true	449.45	455.32	18
8592_285135_000017_000001	I saw Jew pedlars, with hawk eyes flashing from countenances whose every other feature wore only an expression of abject humility; sturdy professional street beggars scowling upon mendicants of a better stamp, whom despair alone had driven forth into the night for charity; feeble and ghastly invalids, upon whom death had placed a sure hand, and who sidled and tottered through the mob, looking every one beseechingly in the face, as if in search of some chance consolation, some lost hope; modest young girls returning from long and late labor to a cheerless home, and shrinking more tearfully than indignantly from the glances of ruffians, whose direct contact, even, could not be avoided; women of the town of all kinds and of all ages--the unequivocal beauty in the prime of her womanhood, putting one in mind of the statue in Lucian, with the surface of Parian marble, and the interior filled with filth--the loathsome and utterly lost leper in rags--the wrinkled, bejewelled and paint-begrimed beldame, making a last effort at youth--the mere child of immature form, yet, from long association, an adept in the dreadful coquetries of her trade, and burning with a rabid ambition to be ranked the equal of her elders in vice; drunkards innumerable and indescribable--some in shreds and patches, reeling, inarticulate, with bruised visage and lack-lustre eyes--some in whole although filthy garments, with a slightly unsteady swagger, thick sensual lips, and hearty-looking rubicund faces--others clothed in materials which had once been good, and which even now were scrupulously well brushed--men who walked with a more than naturally firm and springy step, but whose countenances were fearfully pale, whose eyes hideously wild and red, and who clutched with quivering fingers, as they strode through the crowd, at every object which came within their reach; beside these, pie-men, porters, coal--heavers, sweeps; organ-grinders, monkey-exhibiters and ballad mongers, those who vended with those who sang; ragged artizans and exhausted laborers of every description, and all full of a noisy and inordinate vivacity which jarred discordantly upon the ear, and gave an aching sensation to the eye.	I saw Jew pedlars, with hawk eyes flashing from countenances whose every other feature wore only an expression of abject humility; sturdy professional street beggars scowling upon mendicants of a better stamp, whom despair alone had driven forth into the night for charity; feeble and ghastly invalids, upon whom death had placed a sure hand, and who sidled and tottered through the mob, looking every one beseechingly in the face, as if in search of some chance consolation, some lost hope; modest young girls returning from long and late labor to a cheerless home, and shrinking more tearfully than indignantly from the glances of ruffians, whose direct contact, even, could not be avoided; women of the town of all kinds and of all ages-the unequivocal beauty in the prime of her womanhood, putting one in mind of the statue in Lucian, with the surface of Parian marble, and the interior filled with filth-the loathsome and utterly lost leper in rags-the wrinkled, bejewelled and paint begrimed beldame, making a last effort at youth-the mere child of immature form, yet, from long association, an adept in the dreadful coquetries of her trade, and burning with a rabid ambition to be ranked the equal of her elders in vice; drunkards innumerable and indescribable-some in shreds and patches, reeling, inarticulate, with bruised visage and lack lustre eyes-some in whole although filthy garments, with a slightly unsteady swagger, thick sensual lips, and hearty looking rubicund faces-others clothed in materials which had once been good, and which even now were scrupulously well brushed-men who walked with a more than naturally firm and springy step, but whose countenances were fearfully pale, whose eyes hideously wild and red, and who clutched with quivering fingers, as they strode through the crowd, at every object which came within their reach; beside these, pie men, porters, coal-heavers, sweeps; organ grinders, monkey exhibiters and ballad mongers, those who vended with those who sang; ragged artizans and exhausted laborers of every description, and all full of a noisy and inordinate vivacity which jarred discordantly upon the ear, and gave an aching sensation to the eye.	false	455.45	584.73	19
8592_285135_000018_000000	As the night deepened, so deepened to me the interest of the scene; for not only did the general character of the crowd materially alter (its gentler features retiring in the gradual withdrawal of the more orderly portion of the people, and its harsher ones coming out into bolder relief, as the late hour brought forth every species of infamy from its den,) but the rays of the gas-lamps, feeble at first in their struggle with the dying day, had now at length gained ascendancy, and threw over every thing a fitful and garish lustre.	As the night deepened, so deepened to me the interest of the scene; for not only did the general character of the crowd materially alter (its gentler features retiring in the gradual withdrawal of the more orderly portion of the people, and its harsher ones coming out into bolder relief, as the late hour brought forth every species of infamy from its den,) but the rays of the gas lamps, feeble at first in their struggle with the dying day, had now at length gained ascendancy, and threw over every thing a fitful and garish lustre.	true	584.73	614.5	14
8592_285135_000018_000001	All was dark yet splendid--as that ebony to which has been likened the style of Tertullian.	All was dark yet splendid-as that ebony to which has been likened the style of Tertullian.	true	614.57	620.29	20
8592_285135_000019_000000	The wild effects of the light enchained me to an examination of individual faces; and although the rapidity with which the world of light flitted before the window, prevented me from casting more than a glance upon each visage, still it seemed that, in my then peculiar mental state, I could frequently read, even in that brief interval of a glance, the history of long years.	The wild effects of the light enchained me to an examination of individual faces; and although the rapidity with which the world of light flitted before the window, prevented me from casting more than a glance upon each visage, still it seemed that, in my then peculiar mental state, I could frequently read, even in that brief interval of a glance, the history of long years.	true	621.35	642.76	13
8592_285135_000020_000000	With my brow to the glass, I was thus occupied in scrutinizing the mob, when suddenly there came into view a countenance (that of a decrepid old man, some sixty-five or seventy years of age,)--a countenance which at once arrested and absorbed my whole attention, on account of the absolute idiosyncrasy of its expression.	With my brow to the glass, I was thus occupied in scrutinizing the mob, when suddenly there came into view a countenance (that of a decrepid old man, some sixty five or seventy years of age,)--a countenance which at once arrested and absorbed my whole attention, on account of the absolute idiosyncrasy of its expression.	true	643.55	662.17	15
8592_285135_000020_000001	Any thing even remotely resembling that expression I had never seen before.	Any thing even remotely resembling that expression I had never seen before.	true	662.63	667.45	18
8592_285135_000020_000002	I well remember that my first thought, upon beholding it, was that Retzch, had he viewed it, would have greatly preferred it to his own pictural incarnations of the fiend.	I well remember that my first thought, upon beholding it, was that Retzch, had he viewed it, would have greatly preferred it to his own pictural incarnations of the fiend.	true	667.55	677.71	22.093157
8592_285135_000020_000003	As I endeavored, during the brief minute of my original survey, to form some analysis of the meaning conveyed, there arose confusedly and paradoxically within my mind, the ideas of vast mental power, of caution, of penuriousness, of avarice, of coolness, of malice, of blood thirstiness, of triumph, of merriment, of excessive terror, of intense--of supreme despair.	As I endeavored, during the brief minute of my original survey, to form some analysis of the meaning conveyed, there arose confusedly and paradoxically within my mind, the ideas of vast mental power, of caution, of penuriousness, of avarice, of coolness, of malice, of blood thirstiness, of triumph, of merriment, of excessive terror, of intense-of supreme despair.	true	677.96	703.39	19
8592_285135_000020_000004	I felt singularly aroused, startled, fascinated.	I felt singularly aroused, startled, fascinated.	true	703.67	707.34	20
8592_285135_000020_000005	"How wild a history," I said to myself, "is written within that bosom!" Then came a craving desire to keep the man in view--to know more of him.	"How wild a history," I said to myself, "is written within that bosom!" Then came a craving desire to keep the man in view-to know more of him.	true	707.34	716.23	20.480833
8592_285135_000020_000006	Hurriedly putting on an overcoat, and seizing my hat and cane, I made my way into the street, and pushed through the crowd in the direction which I had seen him take; for he had already disappeared. With some little difficulty I at length came within sight of him, approached, and followed him closely, yet cautiously, so as not to attract his attention.	Hurriedly putting on an overcoat, and seizing my hat and cane, I made my way into the street, and pushed through the crowd in the direction which I had seen him take; for he had already disappeared. With some little difficulty I at length came within sight of him, approached, and followed him closely, yet cautiously, so as not to attract his attention.	true	716.36	735.73	20
8592_285135_000021_000000	I had now a good opportunity of examining his person.	I had now a good opportunity of examining his person.	true	737.06	740.14	21
8592_285135_000021_000001	He was short in stature, very thin, and apparently very feeble.	He was short in stature, very thin, and apparently very feeble.	true	740.33	744.31	21.726189
8592_285135_000021_000002	His clothes, generally, were filthy and ragged; but as he came, now and then, within the strong glare of a lamp, I perceived that his linen, although dirty, was of beautiful texture; and my vision deceived me, or, through a rent in a closely-buttoned and evidently second-handed roquelaire which enveloped him, I caught a glimpse both of a diamond and of a dagger.	His clothes, generally, were filthy and ragged; but as he came, now and then, within the strong glare of a lamp, I perceived that his linen, although dirty, was of beautiful texture; and my vision deceived me, or, through a rent in a closely buttoned and evidently second handed roquelaire which enveloped him, I caught a glimpse both of a diamond and of a dagger.	false	744.44	764.98	18
8592_285135_000021_000003	These observations heightened my curiosity, and I resolved to follow the stranger whithersoever he should go.	These observations heightened my curiosity, and I resolved to follow the stranger whithersoever he should go.	true	765.14	771.85	17
8592_285135_000022_000000	It was now fully night-fall, and a thick humid fog hung over the city, soon ending in a settled and heavy rain.	It was now fully night fall, and a thick humid fog hung over the city, soon ending in a settled and heavy rain.	true	772.82	780.19	20.04566
8592_285135_000022_000001	This change of weather had an odd effect upon the crowd, the whole of which was at once put into new commotion, and overshadowed by a world of umbrellas.	This change of weather had an odd effect upon the crowd, the whole of which was at once put into new commotion, and overshadowed by a world of umbrellas.	true	780.35	789.16	15
8592_285135_000022_000002	The waver, the jostle, and the hum increased in a tenfold degree.	The waver, the jostle, and the hum increased in a tenfold degree.	true	789.5	793.51	18.402416
8592_285135_000022_000003	For my own part I did not much regard the rain--the lurking of an old fever in my system rendering the moisture somewhat too dangerously pleasant.	For my own part one did not much regard the rain-the lurking of an old fever in my system rendering the moisture somewhat too dangerously pleasant.	false	793.61	801.61	17
8592_285135_000022_000004	Tying a handkerchief about my mouth, I kept on.	Tying a handkerchief about my mouth, I kept on.	false	802.01	804.79	21.546743
8592_285135_000022_000005	For half an hour the old man held his way with difficulty along the great thoroughfare; and I here walked close at his elbow through fear of losing sight of him.	For half an hour the old man held his way with difficulty along the great thoroughfare; and I here walked close at his elbow through fear of losing sight of him.	true	804.83	813.76	20
8592_285135_000022_000006	Never once turning his head to look back, he did not observe me.	Never once turning his head to look back, he did not observe me.	true	813.95	817.36	19.899603
8592_285135_000022_000007	By and bye he passed into a cross street, which, although densely filled with people, was not quite so much thronged as the main one he had quitted.	By and bye he passed into a cross street, which, although densely filled with people, was not quite so much thronged as the main one he had quitted.	true	817.37	825.52	21.409231
8592_285135_000022_000008	Here a change in his demeanor became evident.	Here a change in his demeanor became evident.	true	825.83	828.58	21.89344
8592_285135_000022_000009	He walked more slowly and with less object than before--more hesitatingly.	He walked more slowly and with less object than before-more hesitatingly.	true	828.59	833.38	18
8592_285135_000022_000010	He crossed and re-crossed the way repeatedly without apparent aim; and the press was still so thick that, at every such movement, I was obliged to follow him closely. The street was a narrow and long one, and his course lay within it for nearly an hour, during which the passengers had gradually diminished to about that number which is ordinarily seen at noon in Broadway near the Park--so vast a difference is there between a London populace and that of the most frequented American city.	He crossed and re crossed the way repeatedly without apparent aim; and the press was still so thick that, at every such movement, I was obliged to follow him closely. The street was a narrow and long one, and his course lay within it for nearly an hour, during which the passengers had gradually diminished to about that number which is ordinarily seen at noon in Broadway near the Park-so vast a difference is there between a London populace and that of the most frequented American city.	false	833.75	860.71	16
8592_285135_000022_000011	A second turn brought us into a square, brilliantly lighted, and overflowing with life.	A second turn brought us into a square, brilliantly lighted, and overflowing with life.	true	861.65	866.92	20
8592_285135_000022_000012	The old manner of the stranger re-appeared.	The old manner of the stranger re appeared.	true	867.38	870.285	14
8592_285135_000022_000013	His chin fell upon his breast, while his eyes rolled wildly from under his knit brows, in every direction, upon those who hemmed him in.	His chin fell upon his breast, while his eyes rolled wildly from under his knit brows, in every direction, upon those who hemmed him in.	true	870.285	878.5	15
8592_285135_000022_000014	He urged his way steadily and perseveringly.	He urged his way steadily and perseveringly.	true	878.9	881.83	21
8592_285135_000022_000015	I was surprised, however, to find, upon his having made the circuit of the square, that he turned and retraced his steps.	I was surprised, however, to find, upon his having made the circuit of the square, that he turned and retraced his steps.	true	882.11	887.86	16
8592_285135_000022_000016	Still more was I astonished to see him repeat the same walk several times--once nearly detecting me as he came round with a sudden movement.	Still more was I astonished to see him repeat the same walk several times-once nearly detecting me as he came round with a sudden movement.	true	888.05	895.3	15
8592_285135_000023_000000	In this exercise he spent another hour, at the end of which we met with far less interruption from passengers than at first.	In this exercise he spent another hour, at the end of which we met with far less interruption from passengers than at first.	true	895.85	902.53	16
8592_285135_000023_000001	The rain fell fast; the air grew cool; and the people were retiring to their homes.	The rain fell fast; the air grew cool; and the people were retiring to their homes.	true	902.99	908.29	21.775639
8592_285135_000023_000002	With a gesture of impatience, the wanderer passed into a bye-street comparatively deserted.	With a gesture of impatience, the wanderer passed into a bye street comparatively deserted.	true	908.45	913.24	18
8592_285135_000023_000003	Down this, some quarter of a mile long, he rushed with an activity I could not have dreamed of seeing in one so aged, and which put me to much trouble in pursuit.	Down this, some quarter of a mile long, he rushed with an activity I could not have dreamed of seeing in one so aged, and which put me to much trouble in pursuit.	true	913.76	922.87	19
8592_285135_000023_000004	A few minutes brought us to a large and busy bazaar, with the localities of which the stranger appeared well acquainted, and where his original demeanor again became apparent, as he forced his way to and fro, without aim, among the host of buyers and sellers.	A few minutes brought us to a large and busy bazaar, with the localities of which the stranger appeared well acquainted, and where his original demeanor again became apparent, as he forced his way to and fro, without aim, among the host of buyers and sellers.	true	923.21	936.4	14
8592_285135_000024_000000	During the hour and a half, or thereabouts, which we passed in this place, it required much caution on my part to keep him within reach without attracting his observation.	During the hour and a half, or thereabouts, which we passed in this place, it required much caution on my part to keep him within reach without attracting his observation.	true	938.78	947.53	14
8592_285135_000024_000001	Luckily I wore a pair of caoutchouc over-shoes, and could move about in perfect silence.	Luckily I wore a pair of caoutchouc over shoes, and could move about in perfect silence.	false	947.69	952.96	13
8592_285135_000024_000002	At no moment did he see that I watched him.	At no moment did he see that I watched him.	true	953.33	955.9	20.822676
8592_285135_000024_000003	He entered shop after shop, priced nothing, spoke no word, and looked at all objects with a wild and vacant stare. I was now utterly amazed at his behavior, and firmly resolved that we should not part until I had satisfied myself in some measure respecting him.	He entered shop after shop, priced nothing, spoke no word, and looked at all objects with a wild and vacant stare. I was now utterly amazed at his behavior, and firmly resolved that we should not part until I had satisfied myself in some measure respecting him.	true	955.91	971.8	13
8592_285135_000025_000000	A loud-toned clock struck eleven, and the company were fast deserting the bazaar.	A loud toned clock struck eleven, and the company were fast deserting the bazaar.	true	973.61	978.34	7
8592_285135_000025_000001	A shop-keeper, in putting up a shutter, jostled the old man, and at the instant I saw a strong shudder come over his frame.	A shop keeper, in putting up a shutter, jostled the old man, and at the instant I saw a strong shudder come over his frame.	false	978.47	985.42	13
