2618_138042_000001_000000	CHAPTER XXXII.	CHAPTER thirty two.
2618_138042_000014_000002	The duke and duchess, who had not known anything about this, waited to see what came of this strange washing.	The duke and duchess, who had not known anything about this, waited to see what came of this strange washing.
2618_138042_000014_000003	The barber damsel, when she had him a hand's breadth deep in lather, pretended that there was no more water, and bade the one with the jug go and fetch some, while Senor Don Quixote waited.	The barber damsel, when she had him a hand's breadth deep in lather, pretended that there was no more water, and bade the one with the jug go and fetch some, while Senor Don Quixote waited.
2618_138042_000014_000004	She did so, and Don Quixote was left the strangest and most ludicrous figure that could be imagined.	She did so, and Don Quixote was left the strangest and most ludicrous figure that could be imagined.
2618_138042_000014_000005	All those present, and there were a good many, were watching him, and as they saw him there with half a yard of neck, and that uncommonly brown, his eyes shut, and his beard full of soap, it was a great wonder, and only by great discretion, that they were able to restrain their laughter.	All those present, and there were a good many, were watching him, and as they saw him there with half a yard of neck, and that uncommonly brown, his eyes shut, and his beard full of soap, it was a great wonder, and only by great discretion, that they were able to restrain their laughter.
2618_138042_000016_000000	Sancho observed the ceremony of the washing very attentively, and said to himself, "God bless me, if it were only the custom in this country to wash squires' beards too as well as knights'.	Sancho observed the ceremony of the washing very attentively, and said to himself, "God bless me, if it were only the custom in this country to wash squires' beards too as well as knights'.
2618_138042_000016_000001	For by God and upon my soul I want it badly; and if they gave me a scrape of the razor besides I'd take it as a still greater kindness."	For by God and upon my soul I want it badly; and if they gave me a scrape of the razor besides I'd take it as a still greater kindness."
2618_138042_000017_000000	"What are you saying to yourself, Sancho?" asked the duchess.	"What are you saying to yourself, Sancho?" asked the duchess.
2618_138042_000023_000000	The duchess begged Don Quixote, as he seemed to have a retentive memory, to describe and portray to her the beauty and features of the lady Dulcinea del Toboso, for, judging by what fame trumpeted abroad of her beauty, she felt sure she must be the fairest creature in the world, nay, in all La Mancha.	The duchess begged Don Quixote, as he seemed to have a retentive memory, to describe and portray to her the beauty and features of the lady Dulcinea del Toboso, for, judging by what fame trumpeted abroad of her beauty, she felt sure she must be the fairest creature in the world, nay, in all La Mancha.
2618_138042_000027_000000	"True," said the duke; "you must have lost your wits to ask such a question.	"True," said the duke; "you must have lost your wits to ask such a question.
2618_138042_000027_000001	Nevertheless, Senor Don Quixote would greatly gratify us if he would depict her to us; for never fear, even in an outline or sketch she will be something to make the fairest envious."	Nevertheless, Senor Don Quixote would greatly gratify us if he would depict her to us; for never fear, even in an outline or sketch she will be something to make the fairest envious."
2618_138042_000028_000000	"I would do so certainly," said Don Quixote, "had she not been blurred to my mind's eye by the misfortune that fell upon her a short time since, one of such a nature that I am more ready to weep over it than to describe it.	"I would do so certainly," said Don Quixote, "had she not been blurred to my mind's eye by the misfortune that fell upon her a short time since, one of such a nature that I am more ready to weep over it than to describe it.
2618_138042_000029_000000	"God bless me!" said the duke aloud at this, "who can have done the world such an injury?	"God bless me!" said the duke aloud at this, "who can have done the world such an injury?
2618_138042_000029_000001	Who can have robbed it of the beauty that gladdened it, of the grace and gaiety that charmed it, of the modesty that shed a lustre upon it?"	Who can have robbed it of the beauty that gladdened it, of the grace and gaiety that charmed it, of the modesty that shed a lustre upon it?"
2618_138042_000030_000000	"Who?" replied Don Quixote; "who could it be but some malignant enchanter of the many that persecute me out of envy--that accursed race born into the world to obscure and bring to naught the achievements of the good, and glorify and exalt the deeds of the wicked?	"Who?" replied Don Quixote; "who could it be but some malignant enchanter of the many that persecute me out of envy-that accursed race born into the world to obscure and bring to naught the achievements of the good, and glorify and exalt the deeds of the wicked?
2618_138042_000030_000002	For to deprive a knight-errant of his lady is to deprive him of the eyes he sees with, of the sun that gives him light, of the food whereby he lives.	For to deprive a knight errant of his lady is to deprive him of the eyes he sees with, of the sun that gives him light, of the food whereby he lives.
2618_138042_000032_000000	"There is a good deal to be said on that point," said Don Quixote; "God knows whether there be any Dulcinea or not in the world, or whether she is imaginary or not imaginary; these are things the proof of which must not be pushed to extreme lengths.	"There is a good deal to be said on that point," said Don Quixote; "God knows whether there be any Dulcinea or not in the world, or whether she is imaginary or not imaginary; these are things the proof of which must not be pushed to extreme lengths.
2618_138042_000034_000001	Dulcinea, besides, has that within her that may raise her to be a crowned and sceptred queen; for the merit of a fair and virtuous woman is capable of performing greater miracles; and virtually, though not formally, she has in herself higher fortunes."	Dulcinea, besides, has that within her that may raise her to be a crowned and sceptred queen; for the merit of a fair and virtuous woman is capable of performing greater miracles; and virtually, though not formally, she has in herself higher fortunes."
2618_138042_000035_000001	But I cannot help entertaining a doubt, and having a certain grudge against Sancho Panza; the doubt is this, that the aforesaid history declares that the said Sancho Panza, when he carried a letter on your worship's behalf to the said lady Dulcinea, found her sifting a sack of wheat; and more by token it says it was red wheat; a thing which makes me doubt the loftiness of her lineage."	But I cannot help entertaining a doubt, and having a certain grudge against Sancho Panza; the doubt is this, that the aforesaid history declares that the said Sancho Panza, when he carried a letter on your worship's behalf to the said lady Dulcinea, found her sifting a sack of wheat; and more by token it says it was red wheat; a thing which makes me doubt the loftiness of her lineage."
2618_138042_000036_000005	And so, as I am not and, so far as one can judge, cannot be enchanted, she it is that is enchanted, that is smitten, that is altered, changed, and transformed; in her have my enemies revenged themselves upon me, and for her shall I live in ceaseless tears, until I see her in her pristine state.	And so, as I am not and, so far as one can judge, cannot be enchanted, she it is that is enchanted, that is smitten, that is altered, changed, and transformed; in her have my enemies revenged themselves upon me, and for her shall I live in ceaseless tears, until I see her in her pristine state.
2618_138042_000036_000006	I have mentioned this lest anybody should mind what Sancho said about Dulcinea's winnowing or sifting; for, as they changed her to me, it is no wonder if they changed her to him.	I have mentioned this lest anybody should mind what Sancho said about Dulcinea's winnowing or sifting; for, as they changed her to me, it is no wonder if they changed her to him.
2618_138042_000036_000007	Dulcinea is illustrious and well-born, and of one of the gentle families of El Toboso, which are many, ancient, and good.	Dulcinea is illustrious and well born, and of one of the gentle families of El Toboso, which are many, ancient, and good.
2618_138042_000036_000012	My advice to him will be to take no bribe and surrender no right, and I have some other little matters in reserve, that shall be produced in due season for Sancho's benefit and the advantage of the island he is to govern."	My advice to him will be to take no bribe and surrender no right, and I have some other little matters in reserve, that shall be produced in due season for Sancho's benefit and the advantage of the island he is to govern."
2618_138042_000037_000001	The one with the trough pursued him and followed him everywhere he went, endeavouring with the utmost persistence to thrust it under his chin, while another kitchen-boy seemed anxious to wash his beard.	The one with the trough pursued him and followed him everywhere he went, endeavouring with the utmost persistence to thrust it under his chin, while another kitchen boy seemed anxious to wash his beard.
2618_138042_000038_000000	"What is all this, brothers?" asked the duchess.	"What is all this, brothers?" asked the duchess.
2618_138042_000038_000001	"What is it?	"What is it?
2618_138042_000038_000002	What do you want to do to this good man?	What do you want to do to this good man?
2618_138042_000038_000003	Do you forget he is a governor-elect?"	Do you forget he is a governor elect?"
2618_138042_000039_000000	To which the barber kitchen-boy replied, "The gentleman will not let himself be washed as is customary, and as my lord and the senor his master have been."	To which the barber kitchen boy replied, "The gentleman will not let himself be washed as is customary, and as my lord and the senor his master have been."
2618_138042_000040_000001	The customs of countries and princes' palaces are only good so long as they give no annoyance; but the way of washing they have here is worse than doing penance.	The customs of countries and princes' palaces are only good so long as they give no annoyance; but the way of washing they have here is worse than doing penance.
2618_138042_000042_000001	Let them bring me a comb here, or what they please, and curry this beard of mine, and if they get anything out of it that offends against cleanliness, let them clip me to the skin."	Let them bring me a comb here, or what they please, and curry this beard of mine, and if they get anything out of it that offends against cleanliness, let them clip me to the skin."
2618_138042_000044_000001	I am a labouring man, my name is Sancho Panza, I am married, I have children, and I am serving as a squire; if in any one of these ways I can serve your highness, I will not be longer in obeying than your grace in commanding."	I am a labouring man, my name is Sancho Panza, I am married, I have children, and I am serving as a squire; if in any one of these ways I can serve your highness, I will not be longer in obeying than your grace in commanding."
2618_138042_000045_000002	Rise, Sancho, my friend; I will repay your courtesy by taking care that my lord the duke makes good to you the promised gift of the government as soon as possible."	Rise, Sancho, my friend; I will repay your courtesy by taking care that my lord the duke makes good to you the promised gift of the government as soon as possible."
2618_138042_000046_000000	With this, the conversation came to an end, and Don Quixote retired to take his midday sleep; but the duchess begged Sancho, unless he had a very great desire to go to sleep, to come and spend the afternoon with her and her damsels in a very cool chamber.	With this, the conversation came to an end, and Don Quixote retired to take his midday sleep; but the duchess begged Sancho, unless he had a very great desire to go to sleep, to come and spend the afternoon with her and her damsels in a very cool chamber.
2618_138042_000046_000001	Sancho replied that, though he certainly had the habit of sleeping four or five hours in the heat of the day in summer, to serve her excellence he would try with all his might not to sleep even one that day, and that he would come in obedience to her command, and with that he went off.	Sancho replied that, though he certainly had the habit of sleeping four or five hours in the heat of the day in summer, to serve her excellence he would try with all his might not to sleep even one that day, and that he would come in obedience to her command, and with that he went off.
