5914_52088_000000_000000	HINTS ON SHOOTING.	HINTS ON SHOOTING.	true	21.585	23.08	21.247175
5914_52088_000006_000001	Mr. Andersson, who has had very great experience, ties the paper, not round the smooth barrel, but over the sight and all; and, if the sight does not happen to be a large one, he ties a piece of thick string round the barrel, or uses other similar contrivance, to tilt up the fore end of the paper.	mr Andersson, who has had very great experience, ties the paper, not round the smooth barrel, but over the sight and all; and, if the sight does not happen to be a large one, he ties a piece of thick string round the barrel, or uses other similar contrivance, to tilt up the fore end of the paper.	true	154.61	173.62	21.054401
5914_52088_000006_000002	By this means, the paper is not entirely lost sight of at the moment when the aim is being taken.	By this means, the paper is not entirely lost sight of at the moment when the aim is being taken.	true	173.75	180.13	21.414095
5914_52088_000006_000003	Mr. Andersson also pinches the paper into a ridge along the middle of the gun, to ensure a more defined foresight.	mr Andersson also pinches the paper into a ridge along the middle of the gun, to ensure a more defined foresight.	true	180.26	188.65	20.501999
5914_52088_000007_000000	Nocturnal Animals.--There are a large number of night-feeding animals, upon whose flesh a traveller might easily support himself, but of whose existence he would have few indications by daylight observation only.	Nocturnal Animals.--There are a large number of night feeding animals, upon whose flesh a traveller might easily support himself, but of whose existence he would have few indications by daylight observation only.	true	188.81	202.27	22.394081
5914_52088_000007_000001	The following remarks of Professor Owen, in respect to Australia are very suggestive:--"All the marsupial animals--and it is one of their curious peculiarities--are nocturnal.	The following remarks of Professor Owen, in respect to Australia are very suggestive:--"All the marsupial animals-and it is one of their curious peculiarities-are nocturnal.	true	202.52	214.065	23.430464
5914_52088_000007_000002	Even the kangaroo, which is the least so, is scarcely ever seen feeding out on the plains in broad daylight: it prefers the early morning dawn, or the short twilight; and, above all, the bright moonlight nights.	Even the kangaroo, which is the least so, is scarcely ever seen feeding out on the plains in broad daylight: it prefers the early morning dawn, or the short twilight; and, above all, the bright moonlight nights.	false	214.065	228.28	21.28417
5914_52088_000007_000003	With regard to most of the other Australian forms of marsupial animals, they are most strictly nocturnal; so that, if a traveller were not aware of that peculiarity, he might fancy himself traversing a country destitute of the mammalian grade of animal life.	With regard to most of the other Australian forms of marsupial animals, they are most strictly nocturnal; so that, if a traveller were not aware of that peculiarity, he might fancy himself traversing a country destitute of the mammalian grade of animal life.	true	228.5	244.9	21.152082
5914_52088_000007_000004	If, however, after a weary day's journey, he could be awakened, and were to look out about the moonlight glade or scrub, or if he were to set traps by night, he would probably be surprised to find how great a number of interesting forms of mammalian animals were to Be met with, in places where there was not the slightest appearance of them in the daytime."	If, however, after a weary day's journey, he could be awakened, and were to look out about the moonlight glade or scrub, or if he were to set traps by night, he would probably be surprised to find how great a number of interesting forms of mammalian animals were to Be met with, in places where there was not the slightest appearance of them in the daytime."	true	245	265.83	20.459654
5914_52088_000008_000000	Battues.--In Sweden, where hundreds of people are marshalled, each man has a number, and the number is chalked upon his hat.	Battues.--In Sweden, where hundreds of people are marshalled, each man has a number, and the number is chalked upon his hat.	false	265.83	275.2	20.744446
5914_52088_000009_000000	Scarecrows.--A string with feathers tied to it at intervals, like the tail of a boy's kite, will scare most animals of the deer tribe, by their fluttering; and, in want of a sufficient force of men, passes may be closed by this contrivance.	Scarecrows.--A string with feathers tied to it at intervals, like the tail of a boy's kite, will scare most animals of the deer tribe, by their fluttering; and, in want of a sufficient force of men, passes may be closed by this contrivance.	true	275.96	291.31	20.633625
5914_52088_000009_000001	The Swedes use "lappar," viz.	The Swedes use "lappar," viz.	false	291.62	294.12	22.624317
5914_52088_000009_000002	Pieces of canvas, of half the height of a man, painted in glaring colours and left to flutter from a line.	Pieces of canvas, of half the height of a man, painted in glaring colours and left to flutter from a line.	false	294.12	301.12	20.733332
5914_52088_000010_000000	Mr. Lloyd tells us of a peasant who, when walking without a gun, saw a glutton up in a tree.	mr Lloyd tells us of a peasant who, when walking without a gun, saw a glutton up in a tree.	true	301.34	307.48	22.386963
5914_52088_000010_000001	He at once took off his hat and coat and rigged out a scarecrow, the counterpart of himself, which he fixed close by, for the purpose of frightening the beast from coming down; he then went leisurely home, to fetch his gun: this notable expedient succeeded perfectly.	He at once took off his hat and coat and rigged out a scarecrow, the counterpart of himself, which he fixed close by, for the purpose of frightening the beast from coming down; he then went leisurely home, to fetch his gun: this notable expedient succeeded perfectly.	false	307.55	324.16	22.188114
5914_52088_000011_000000	Stalking-horses.--Artificial.--A stalking-horse, or cow, is made by cutting out a piece of strong canvas into the shape of the animal, and painting it properly.	Stalking horses.--Artificial.--A stalking horse, or cow, is made by cutting out a piece of strong canvas into the shape of the animal, and painting it properly.	true	324.89	335.53	22.33126
5914_52088_000011_000001	Loops are sewn in different places, through which sticks are passed, to stretch the curves into shape: a stake, planted in the ground serves as a buttress to support the apparatus: at a proper height, there is a loophole to fire through.	Loops are sewn in different places, through which sticks are passed, to stretch the curves into shape: a stake, planted in the ground serves as a buttress to support the apparatus: at a proper height, there is a loophole to fire through.	true	335.69	350.8	21.339714
5914_52088_000011_000002	It packs up into a roll of canvas and a bundle of five or six sticks.	It packs up into a roll of canvas and a bundle of five or six sticks.	true	350.84	355.59	23.588133
5914_52088_000012_000000	[Sketch of stalking-horse as described below].	[Sketch of stalking horse as described below].	false	355.59	356.43	20
5914_52088_000013_000000	Bushes are used much in the same way.	Bushes are used much in the same way.	true	356.43	358.86	19.869366
5914_52088_000013_000001	Colonel Hawker made a contrivance upon wheels which he pushed before him.	Colonel Hawker made a contrivance upon wheels which he pushed before him.	true	358.86	363.19	21.458435
5914_52088_000013_000002	The Esquimaux shoot seals by pushing a white screen before them over the ice, on a sledge.	The Esquimaux shoot seals by pushing a white screen before them over the ice, on a sledge.	true	363.8	369.57	20
5914_52088_000013_000003	See figure. - (Kane.)	See figure. - (Kane.)	false	369.57	370.215	-20
5914_52088_000014_000000	Real.--Both horses and oxen can be trained to shield a sportsman: they are said to enter into the spirit of the Thing; and to show wonderful craft, walking round and round the object in narrowing circles, and stopping to graze unconcernedly, on witnessing the least sign of alarm. Oxen are taught to obey a touch on the horn: the common but cruel way of training them is to hammer and batter the horns for hours together, and on many days successively: they then become inflamed at the root and are highly sensitive.	Real.--Both horses and oxen can be trained to shield a sportsman: they are said to enter into the spirit of the Thing; and to show wonderful craft, walking round and round the object in narrowing circles, and stopping to graze unconcernedly, on witnessing the least sign of alarm. Oxen are taught to obey a touch on the horn: the common but cruel way of training them is to hammer and batter the horns for hours together, and on many days successively: they then become inflamed at the root and are highly sensitive.	false	370.215	403.63	21.5386
5914_52088_000015_000000	Pan-hunting (used at salt-licks).--"Pan-hunting is a method of hunting deer at night.	Pan hunting (used at salt licks).--"Pan hunting is a method of hunting deer at night.	true	404.12	409.9	22.517498
5914_52088_000015_000001	An iron pan attached to a long stick, serving as a handle, is carried in the left hand over the left shoulder; near where the hand grasps the handle, in a small projecting stick, forming a fork on which to rest the rifle, when firing.	An iron pan attached to a long stick, serving as a handle, is carried in the left hand over the left shoulder; near where the hand grasps the handle, in a small projecting stick, forming a fork on which to rest the rifle, when firing.	true	410.03	425.71	22.732395
5914_52088_000015_000002	The pan is filled with burning pine-knots, which, being saturated with turpentine, shed a brilliant and constant light all around; shining into the eyes of any deer that may come in that direction, and making them look like two balls of fire.	The pan is filled with burning pine knots, which, being saturated with turpentine, shed a brilliant and constant light all around; shining into the eyes of any deer that may come in that direction, and making them look like two balls of fire.	true	426.11	440.92	20.069874
5914_52088_000015_000003	The effect is most curious to those unaccumstomed to it.	The effect is most curious to those unaccumstomed to it.	true	441.05	444.61	23.876879
5914_52088_000015_000004	The distance between the eyes of the deer as he approaches, appears gradually to increase, reminding one of the lamps of a travelling carriage." (Palliser.)	The distance between the eyes of the deer as he approaches, appears gradually to increase, reminding one of the lamps of a travelling carriage." (Palliser.)	false	444.71	454.59	20.256762
5914_52088_000016_000000	The rush of an enraged Animal is far more easily avoided than is usually supposed.	The rush of an enraged Animal is far more easily avoided than is usually supposed.	true	454.59	460.12	20.416904
5914_52088_000016_000001	The way the Spanish bull-fighters play with the bull, is well known: any man can avoid a mere headlong charge.	The way the Spanish bull fighters play with the bull, is well known: any man can avoid a mere headlong charge.	true	460.16	466.81	21.008595
5914_52088_000016_000002	Even the speed of a racer, which is undeniably far greater than any wild quadruped, does not exceed 30 miles an hour or four times the speed of a man.	Even the speed of a racer, which is undeniably far greater than any wild quadruped, does not exceed thirty miles an hour or four times the speed of a man.	false	466.91	477.31	21.953802
5914_52088_000016_000003	The speed of an ordinary horse is not more than 24 miles an hour: now even the fastest wild beast is unable to catch an ordinary horse, except by crawling unobserved close to his side, and springing upon him; therefore I am convinced that the rush of no wild animal exceeds 24 miles an hour, or three times the speed of a man. (See Measurements of the rate of an animal's gallop, p. 37.) It is perfectly easy for a person who is cool, to avoid an animal, by dodging to one side or other of a bush.	The speed of an ordinary horse is not more than twenty four miles an hour: now even the fastest wild beast is unable to catch an ordinary horse, except by crawling unobserved close to his side, and springing upon him; therefore I am convinced that the rush of no wild animal exceeds twenty four miles an hour, or three times the speed of a man. (See Measurements of the rate of an animal's gallop, p. thirty seven.) It is perfectly easy for a person who is cool, to avoid an animal, by dodging to one side or other of a bush.	false	477.47	510.97	21.949886
5914_52088_000016_000004	Few animals turn, if the rush be unsuccessful.	Few animals turn, if the rush be unsuccessful.	true	510.98	514.3	20.151682
5914_52088_000016_000005	The buffalo is an exception; he regularly hunts a man, and is therefore peculiarly dangerous. Unthinking persons talk of the fearful rapidity of a lion or tiger's spring.	The buffalo is an exception; he regularly hunts a man, and is therefore peculiarly dangerous. Unthinking persons talk of the fearful rapidity of a lion or tiger's spring.	true	514.31	525.49	20.945415
5914_52088_000016_000006	It is not rapid at all: it is a slow movement, as must be evident from The following consideration.	It is not rapid at all: it is a slow movement, as must be evident from The following consideration.	true	525.53	531.55	21.123215
5914_52088_000016_000007	No wild animal can leap ten yards, and they all make a high trajectory in their leaps.	No wild animal can leap ten yards, and they all make a high trajectory in their leaps.	true	531.8	537.07	22.042173
5914_52088_000016_000008	Now, think of the speed of a ball thrown, or rather pitched, with just sufficient force to be caught by a person ten yards off: it is a mere nothing.	Now, think of the speed of a ball thrown, or rather pitched, with just sufficient force to be caught by a person ten yards off: it is a mere nothing.	false	537.17	547.08	24.220436
5914_52088_000016_000009	The catcher can play with it as he likes; he has even time to turn after it, if thrown wide.	The catcher can play with it as he likes; he has even time to turn after it, if thrown wide.	true	547.08	553	22.602669
5914_52088_000016_000010	But the speed of a springing animal is undeniably the same as that of a ball, thrown so as to make a flight of equal length and height in the air.	But the speed of a springing animal is undeniably the same as that of a ball, thrown so as to make a flight of equal length and height in the air.	true	553.04	562.36	20.827625
5914_52088_000016_000011	The corollary to all this is, that, if charged, you must keep cool and watchful, and your chance of escape is far greater than non-sportsmen would imagine.	The corollary to all this is, that, if charged, you must keep cool and watchful, and your chance of escape is far greater than non sportsmen would imagine.	true	562.61	572.29	22.006344
5914_52088_000016_000012	The blow of the free paw is far swifter than the bound.	The blow of the free paw is far swifter than the bound.	true	572.48	576.49	20.436508
5914_52088_000017_000000	Dogs kept at bay.--A correspondent assures me that "a dog flying at a man may be successfully repelled by means of a stout stick held horizontally, a hand at each end, and used to thrust the dog backwards over, by meeting him across the throat or breast.	Dogs kept at bay.--A correspondent assures me that "a dog flying at a man may be successfully repelled by means of a stout stick held horizontally, a hand at each end, and used to thrust the dog backwards over, by meeting him across the throat or breast.	true	577.01	594.97	21.52684
5914_52088_000017_000001	If followed by a blow on the nose, as the brute is falling, the result will be sooner attained."	If followed by a blow on the nose, as the brute is falling, the result will be sooner attained."	true	594.98	601	21.49502
5914_52088_000018_000000	A watch-dog usually desists from flying at a stranger when he seats himself quietly on the ground, like Ulysses.	A watch dog usually desists from flying at a stranger when he seats himself quietly on the ground, like Ulysses.	true	601.52	609.67	19.903078
5914_52088_000018_000001	The dog then contents himself with barking and keeping guard until his master arrives.	The dog then contents himself with barking and keeping guard until his master arrives.	true	609.83	615.46	20.343277
5914_52088_000019_000000	Hiding Game.--In hiding game from birds of prey, brush it over, and they will seldom find it out; birds cannot smell well, but they have keen eyes.	Hiding Game.--In hiding game from birds of prey, brush it over, and they will seldom find it out; birds cannot smell well, but they have keen eyes.	true	615.56	625.96	22.047152
5914_52088_000019_000001	The meat should be hung from an overhanging bough; then, if the birds find it out, there will be no place for them to stand on and tear it.	The meat should be hung from an overhanging bough; then, if the birds find it out, there will be no place for them to stand on and tear it.	false	626.09	634.84	20.61997
5914_52088_000019_000002	Leaving a handkerchief or a short to flutter from a tree, will scare animals of prey for a short time.	Leaving a handkerchief or a short to flutter from a tree, will scare animals of prey for a short time.	true	634.88	641.47	23.45597
5914_52088_000019_000003	(See "Scarecrows."_	(See "Scarecrows."underscore	false	641.57	643.68	23.082788
5914_52088_000020_000000	Tying up your Horse.--You may tie your horse, on a bare plain, to the horns of an animal that you have shot, while you are skinning him, but it is better to hobble the horse with a stirrup-leather. (See "Shooting-horse.")	Tying up your Horse.--You may tie your horse, on a bare plain, to the horns of an animal that you have shot, while you are skinning him, but it is better to hobble the horse with a stirrup leather. (See "Shooting horse.")	true	643.68	656.53	24.182087
5914_52088_000021_000000	Division of Game.--Some rules are necessary in these matters, to avoid disputes, especially between whites and natives; and therefore the custom of the country must be attended to.	Division of Game.--Some rules are necessary in these matters, to avoid disputes, especially between whites and natives; and therefore the custom of the country must be attended to.	true	656.99	668.8	21.200632
5914_52088_000021_000001	But it is a very general and convenient rule (though, like all fixed rules, often unfair) that the animal should belong to the Man who first wounded him, however slight the wound might have been; but that he or they who actually killed the animal, should have a right to a slice of the meat: it must however, be understood, that the man who gave the first wound should not thenceforward withdraw from the chase; if he does so, his claim is lost. In America the skin belongs to the first shot, the carcase is divided equally among the whole party.	But it is a very general and convenient rule (though, like all fixed rules, often unfair) that the animal should belong to the Man who first wounded him, however slight the wound might have been; but that he or they who actually killed the animal, should have a right to a slice of the meat: it must however, be understood, that the man who gave the first wound should not thenceforward withdraw from the chase; if he does so, his claim is lost. In America the skin belongs to the first shot, the carcase is divided equally among the whole party.	true	668.96	702.91	21.389877
5914_52088_000021_000002	Whaling crews are bound by similar customs, in which nice distinctions are made, and which have all the force of laws.	Whaling crews are bound by similar customs, in which nice distinctions are made, and which have all the force of laws.	false	703.1	711.51	20.3518
5914_52088_000022_000000	Duck-shooting.--Wooden ducks, ballasted with lead, and painted, may be used at night as decoy-ducks; or the skins of birds already shot, may be stuffed and employed for the same purpose.	Duck shooting.--Wooden ducks, ballasted with lead, and painted, may be used at night as decoy ducks; or the skins of birds already shot, may be stuffed and employed for the same purpose.	true	711.51	723.1	22.217789
5914_52088_000022_000001	They should be anchored in the water, or made fast to a frame attached to the shooting-punt, and dressed with sedge.	They should be anchored in the water, or made fast to a frame attached to the shooting punt, and dressed with sedge.	true	723.2	730.27	20.043612
5914_52088_000022_000002	It is convenient to sink a large barrel into the flat marsh or mud, as a dry place to stand or sit in, when waiting for the birds to come.	It is convenient to sink a large barrel into the flat marsh or mud, as a dry place to stand or sit in, when waiting for the birds to come.	true	730.46	739.3	21.604887
5914_52088_000022_000003	A lady suggests to me, that if the sportsman took a bottle of hot water to put under his feet, it would be a great comfort to him, and in this I quite agree; I would take a keg of hot water, when about it.	A lady suggests to me, that if the sportsman took a bottle of hot water to put under his feet, it would be a great comfort to him, and in this I quite agree; I would take a keg of hot water, when about it.	true	739.4	751.57	20.777573
5914_52088_000022_000004	If real ducks be used as decoy-birds, the males should be tied in one place and the females in another, to induce them to quack.	If real ducks be used as decoy birds, the males should be tied in one place and the females in another, to induce them to quack.	true	751.7	760.03	21.34116
5914_52088_000022_000005	An artificial island may be made to attract ducks, when there is no real one.	An artificial island may be made to attract ducks, when there is no real one.	true	760.04	764.98	21.259233
5914_52088_000023_000000	Crocodile-shooting.--Mr.	Crocodile shooting.--mr	true	765.44	767.64	22.09204
5914_52088_000023_000001	Gilby says, speaking of Egypt, "I killed several crocodiles by digging pits on the sand-islands and sleeping a part of the night in them; a dry shred of palm-branch, the colour of the sand, round the hole, formed a screen to put the gun through.	Gilby says, speaking of Egypt, "I killed several crocodiles by digging pits on the sand islands and sleeping a part of the night in them; a dry shred of palm branch, the colour of the sand, round the hole, formed a screen to put the gun through.	true	767.64	782.86	22.046741
5914_52088_000023_000002	Their flesh was most excellent eating--half-way between meat and fish: I had it several times.	Their flesh was most excellent eating-half-way between meat and fish: I had it several times.	true	782.99	789.16	22.163208
5914_52088_000023_000003	The difficulty of shooting them was, that the falcons and spurwing-plovers would hover round the pit, when the crocodiles invariably took to the water.	The difficulty of shooting them was, that the falcons and spurwing plovers would hover round the pit, when the crocodiles invariably took to the water.	true	789.29	798.34	22.052965
5914_52088_000023_000004	Their sight and hearing were good, but their scent indifferent.	Their sight and hearing were good, but their scent indifferent.	true	798.5	802.38	21.300058
5914_52088_000023_000005	I generally got a shot or two at daybreak after sleeping in the pit."	I generally got a shot or two at daybreak after sleeping in the pit."	true	802.38	806.59	22
5914_52088_000024_000000	Tracks.--When the neighbourhood of a drinking-place is trodden down with tracks, "describe a circle a little distance From it, to ascertain if it be much frequented.	Tracks.--When the neighbourhood of a drinking place is trodden down with tracks, "describe a circle a little distance From it, to ascertain if it be much frequented.	true	807.38	817.83	20.682503
5914_52088_000024_000001	This is the manner in which spoor should at all times be sought for." (Cumming's 'Life in South Africa.') To know if a burrow be tenanted, go to work on the same principle; but, if the ground be hard, sprinkle sand over it, in order to show the tracks more clearly.	This is the manner in which spoor should at all times be sought for." (Cumming's 'Life in South Africa.') To know if a burrow be tenanted, go to work on the same principle; but, if the ground be hard, sprinkle sand over it, in order to show the tracks more clearly.	true	817.83	834.31	22.330181
5914_52088_000024_000002	It is related in the Apocrypha, that the prophet Daniel did this, when he wished to learn who it really was who every night consumed the meat which was placed before the idol of Bel, and which the idol itself was supposed to eat: he thus discovered that the priests and their families had a secret door by which they entered the temple; and convinced the king of the matter, by showing him their footprints.	It is related in the Apocrypha, that the prophet Daniel did this, when he wished to learn who it really was who every night consumed the meat which was placed before the idol of Bel, and which the idol itself was supposed to eat: he thus discovered that the priests and their families had a secret door by which they entered the temple; and convinced the king of the matter, by showing him their footprints.	true	834.38	858.43	21.727049
5914_52088_000025_000000	Carrying Game.--To carry small Game, as Fallow Deer.--Make a long slit with your knife between the back sinew and the bone of both of the hind-legs.	Carrying Game.--To carry small Game, as Fallow Deer.--Make a long slit with your knife between the back sinew and the bone of both of the hind legs.	true	858.95	868.69	20.3829
5914_52088_000025_000001	Cut a thick pole of wood and a stout wooden skewer 8 inches long.	Cut a thick pole of wood and a stout wooden skewer eight inches long.	true	868.91	873.24	25.78064
5914_52088_000025_000002	Now thrust the right fore-leg through the slit in the left hind one, and then the left fore-leg through the slit in the right hind one, and holding these firmly in their places, push the skewer right through the left fore-leg, so as to peg it from drawing back.	Now thrust the right fore leg through the slit in the left hind one, and then the left fore leg through the slit in the right hind one, and holding these firmly in their places, push the skewer right through the left fore leg, so as to peg it from drawing back.	true	873.24	888.25	23.237442
5914_52088_000025_000003	Lastly run the pole between the animal's legs and its body, and let two men carry it on their shoulders, one at each end of the pole; or, if a beast of burden be at hand, the carcase is in a very convenient shape for being packed.	Lastly run the pole between the animal's legs and its body, and let two men carry it on their shoulders, one at each end of the pole; or, if a beast of burden be at hand, the carcase is in a very convenient shape for being packed.	true	888.41	903.22	22.680326
5914_52088_000025_000004	In animals whose back sinew is not very prominent, it is best to cross the legs as above, and to lash them together.	In animals whose back sinew is not very prominent, it is best to cross the legs as above, and to lash them together.	true	903.29	911.05	24.163183
5914_52088_000025_000005	Always take the bowels out of game, before carrying it; it is so much weight saved.	Always take the bowels out of game, before carrying it; it is so much weight saved.	true	911.18	916.99	23.11726
5914_52088_000025_000006	"I rode out accompanied by an after-rider, and shot two springboks, which we bore to camp secured on our horses behind our saddles, by passing the buckles of the girths on each side through the fore and hind legs of the antelopes, having first performed an incision between the bone and the sinews with the couteau de chasse, according to colonial usage." (Cumming's 'Life in South Africa.') "After he had skinned and gutted the animal, he cut away the flesh from the bones, in one piece, without separating the limbs, so as to leave suspended from the tree merely the skeleton of the deer. This, it appeared, was the Turkish fashion in use upon long Journeys, in order to relieve travellers from the useless burden of bones." (Huc's 'Tartary.') See also the section on "Heavy weights, to raise and carry," especially Mr. Wyndham's plan.	"I rode out accompanied by an after rider, and shot two springboks, which we bore to camp secured on our horses behind our saddles, by passing the buckles of the girths on each side through the fore and hind legs of the antelopes, having first performed an incision between the bone and the sinews with the couteau de chasse, according to colonial usage." (Cumming's 'Life in South Africa.') "After he had skinned and gutted the animal, he cut away the flesh from the bones, in one piece, without separating the limbs, so as to leave suspended from the tree merely the skeleton of the deer. This, it appeared, was the Turkish fashion in use upon long Journeys, in order to relieve travellers from the useless burden of bones." (Huc's 'Tartary.') See also the section on "Heavy weights, to raise and carry," especially mr Wyndham's plan.	false	917.33	971.2	22.446842
5914_52088_000026_000000	To float carcases of Game across a river.--Sir S. Baker recommends stripping off the skin of the animal, as though it were intended to make a water-skin of it: putting a stone up the neck end of the skin; thus forming a water-tight sack, open at one end only.	To float carcases of Game across a river.--Sir s Baker recommends stripping off the skin of the animal, as though it were intended to make a water skin of it: putting a stone up the neck end of the skin; thus forming a water tight sack, open at one end only.	true	971.99	989.02	21.233578
5914_52088_000026_000001	All the flesh is now to be cut off the bones, and packed into the sack; which is then to be inflated, and secured by tying up the open end.	All the flesh is now to be cut off the bones, and packed into the sack; which is then to be inflated, and secured by tying up the open end.	true	989.12	997.99	21.65746
5914_52088_000026_000002	The skin of a large antelope thus inflated, will not only float the whole of the flesh, but will also support several swimmers.	The skin of a large antelope thus inflated, will not only float the whole of the flesh, but will also support several swimmers.	true	998.3	1006.06	20.53905
5914_52088_000027_000000	"To carry Ivory on pack-animals, the North African traders use nets, slinging two large teeth on each side of an ass.	"To carry Ivory on pack animals, the North African traders use nets, slinging two large teeth on each side of an ass.	true	1006.4	1014.4	22.407227
5914_52088_000027_000001	Small teeth are wrapped up in skins and secured with rope." (Mungo Park.)	Small teeth are wrapped up in skins and secured with rope." (Mungo Park.)	true	1014.5	1019.83	25.480587
5914_52088_000028_000000	Setting a gun as a spring-gun.--General Remarks.--The string that goes across the pathway should be dark coloured, and so fine that, if the beast struggles against it, it should break rather than cause injury to the gun.	Setting a gun as a spring gun.--General Remarks.--The string that goes across the pathway should be dark coloured, and so fine that, if the beast struggles against it, it should break rather than cause injury to the gun.	true	1019.96	1033.75	22.679176
5914_52088_000028_000001	I must however, add, that in the numerous cases in which I have witnessed or heard of guns being set with success, for large beasts of prey, I have never known of injury occurring to the gun.	I must however, add, that in the numerous cases in which I have witnessed or heard of guns being set with success, for large beasts of prey, I have never known of injury occurring to the gun.	false	1033.85	1045.44	20.206627
5914_52088_000028_000002	The height of the muzzle should be properly arranged with regard to the height of the expected animal; thus, the heart of a hyena is the height of a man's knee above the ground; that of a lion, is a span higher.	The height of the muzzle should be properly arranged with regard to the height of the expected animal; thus, the heart of a hyena is the height of a man's knee above the ground; that of a lion, is a span higher.	false	1045.44	1058.95	22.672323
5914_52088_000028_000003	The string should not be tight, but hang in a bow, or the animal will cause the gun to go off on first touching the string, and will only receive a flesh-wound across the front of his chest.	The string should not be tight, but hang in a bow, or the animal will cause the gun to go off on first touching the string, and will only receive a flesh wound across the front of his chest.	false	1059.11	1071.37	20.98286
5914_52088_000029_000000	1st Method.--The annexed sketch (p. 258) explains the method I have described in previous editions of this book.	first Method.--The annexed sketch (p. two hundred fifty eight) explains the method I have described in previous editions of this book.	false	1071.5	1078.45	21.943438
5914_52088_000029_000001	The stock is firmly lashed to a tree, and the muzzle to a stake planted in the ground.	The stock is firmly lashed to a tree, and the muzzle to a stake planted in the ground.	true	1078.49	1084	22.391296
5914_52088_000029_000002	A "lever-stick," 8 inches long, is bound across the grip of the gun so as to stand upright; but it is not bound so tightly as to prevent a slight degree of movement.	A "lever stick," eight inches long, is bound across the grip of the gun so as to stand upright; but it is not bound so tightly as to prevent a slight degree of movement.	true	1084.04	1094.92	22.912182
5914_52088_000029_000003	The bottom of the "lever-stick" is tied to the trigger, and the top of it to a long, fine, dark-coloured string, which is passed through the empty ramrod tubes, and is fixed to a tree on the other side of the pathway.	The bottom of the "lever stick" is tied to the trigger, and the top of it to a long, fine, dark coloured string, which is passed through the empty ramrod tubes, and is fixed to a tree on the other side of the pathway.	true	1095.14	1107.76	20.99554
