8113_117384_000002_000000	"So dear!	"So dear!
8113_117384_000019_000004	He delayed burning the brush-heap from the spring pruning, back of the orchard, until fall, when he found it housed a pair of fine thrushes; for the song of the thrush delighted him almost as much as that of the lark.	He delayed burning the brush heap from the spring pruning, back of the orchard, until fall, when he found it housed a pair of fine thrushes; for the song of the thrush delighted him almost as much as that of the lark.
8113_117384_000019_000005	He left a hollow limb on the old red pearmain apple-tree, because when he came to cut it there was a pair of bluebirds twittering around, frantic with anxiety.	He left a hollow limb on the old red pearmain apple tree, because when he came to cut it there was a pair of bluebirds twittering around, frantic with anxiety.
8113_117384_000020_000000	His pockets were bulgy with wheat and crumbs, and his heart was big with happiness.	His pockets were bulgy with wheat and crumbs, and his heart was big with happiness.
8113_117384_000020_000004	His very muscles seemed to relax, and new strength arose to meet the demands of his uplifted spirit.	His very muscles seemed to relax, and new strength arose to meet the demands of his uplifted spirit.
8113_117384_000021_000000	Then he hunted a sign painter, and came home bearing a number of pine boards on which gleamed in big, shiny black letters:	Then he hunted a sign painter, and came home bearing a number of pine boards on which gleamed in big, shiny black letters:
8113_117384_000024_000000	Maria studied the signs meditatively.	Maria studied the signs meditatively.
8113_117384_000025_000000	Abram caught Maria, and planted a resounding smack on her cheek, where the roses of girlhood yet bloomed for him.	Abram caught Maria, and planted a resounding smack on her cheek, where the roses of girlhood yet bloomed for him.
8113_117384_000025_000001	Then he filled his pockets with crumbs and grain, and strolled to the river to set the Cardinal's table.	Then he filled his pockets with crumbs and grain, and strolled to the river to set the Cardinal's table.
8113_117384_000025_000002	He could hear the sharp incisive "Chip!" and the tender mellow love-notes as he left the barn; and all the way to the sumac they rang in his ears.	He could hear the sharp incisive "Chip!" and the tender mellow love notes as he left the barn; and all the way to the sumac they rang in his ears.
8113_117384_000026_000000	The Cardinal met him at the corner of the field, and hopped over bushes and the fence only a few yards from him.	The Cardinal met him at the corner of the field, and hopped over bushes and the fence only a few yards from him.
8113_117384_000026_000001	When Abram had scattered his store on the rail, the bird came tipping and tilting, daintily caught up a crumb, and carried it to the sumac.	When Abram had scattered his store on the rail, the bird came tipping and tilting, daintily caught up a crumb, and carried it to the sumac.
8113_117384_000026_000002	His mate was pleased to take it; and he carried her one morsel after another until she refused to open her beak for more.	His mate was pleased to take it; and he carried her one morsel after another until she refused to open her beak for more.
8113_117384_000026_000003	He made a light supper himself; and then swinging on the grape-vine, he closed the day with an hour of music. He repeatedly turned a bright questioning eye toward Abram, but he never for a moment lost sight of the nest and the plump gray figure of his little mate.	He made a light supper himself; and then swinging on the grape vine, he closed the day with an hour of music. He repeatedly turned a bright questioning eye toward Abram, but he never for a moment lost sight of the nest and the plump gray figure of his little mate.
8113_117384_000026_000005	So dear!"	So dear!"
8113_117384_000027_000001	He had overstayed his time, chasing a fat moth he particularly wanted for his mate, and she, growing thirsty past endurance, left the nest and went to the river.	He had overstayed his time, chasing a fat moth he particularly wanted for his mate, and she, growing thirsty past endurance, left the nest and went to the river.
8113_117384_000027_000002	Seeing her there, he made all possible haste to take his turn at brooding, so he arrived just in time to see a pilfering red squirrel starting away with an egg.	Seeing her there, he made all possible haste to take his turn at brooding, so he arrived just in time to see a pilfering red squirrel starting away with an egg.
8113_117384_000028_000000	With a vicious scream the Cardinal struck him full force.	With a vicious scream the Cardinal struck him full force.
8113_117384_000028_000002	The Cardinal mournfully carried away the tell-tale bits of shell, so that any one seeing them would not look up and discover his treasures.	The Cardinal mournfully carried away the tell tale bits of shell, so that any one seeing them would not look up and discover his treasures.
