4039_184265_000000_000000	"The fifth is ambition.	"The fifth is ambition.	false	0	0.39	13
4039_184265_000015_000001	"We have had that before!" The Bellman indignantly said. And the Baker replied "Let me say it once more. It is this, it is this that I dread!	"We have had that before!" The Bellman indignantly said. And the Baker replied "Let me say it once more. It is this, it is this that I dread!	true	187.25	199.06	22.595877
4039_184265_000016_000000	"I engage with the Snark--every night after dark-- In a dreamy delirious fight: I serve it with greens in those shadowy scenes, And I use it for striking a light:	"I engage with the Snark-every night after dark- In a dreamy delirious fight: I serve it with greens in those shadowy scenes, And I use it for striking a light:	false	200.12	218.02	21.154888
4039_184265_000017_000000	"But if ever I meet with a Boojum, that day, In a moment (of this I am sure), I shall softly and suddenly vanish away-- And the notion I cannot endure!"	"But if ever I meet with a Boojum, that day, In a moment (of this I am sure), I shall softly and suddenly vanish away- And the notion I cannot endure!"	true	219.08	233.98	22.168331
4039_184265_000018_000000	Fit the fourth	Fit the fourth	true	238.49	240.645	26.880552
4039_184265_000019_000000	THE HUNTING	THE HUNTING	false	240.645	243.15	22.977596
4039_184265_000020_000000	The Bellman looked uffish, and wrinkled his brow. "If only you'd spoken before! It's excessively awkward to mention it now, With the Snark, so to speak, at the door!	The Bellman looked uffish, and wrinkled his brow. "If only you'd spoken before! It's excessively awkward to mention it now, With the Snark, so to speak, at the door!	true	243.15	256.21	24.820156
4039_184265_000021_000000	"We should all of us grieve, as you well may believe, If you never were met with again-- But surely, my man, when the voyage began, You might have suggested it then?	"We should all of us grieve, as you well may believe, If you never were met with again- But surely, my man, when the voyage began, You might have suggested it then?	false	256.82	268.5	18.996664
4039_184265_000022_000000	"It's excessively awkward to mention it now-- As I think I've already remarked." And the man they called "Hi!" replied, with a sigh, "I informed you the day we embarked.	"It's excessively awkward to mention it now- As I think I've already remarked." And the man they called "Hi!" replied, with a sigh, "I informed you the day we embarked.	true	268.5	281.65	21.648022
4039_184265_000023_000000	"You may charge me with murder--or want of sense-- (We are all of us weak at times): But the slightest approach to a false pretence Was never among my crimes!	"You may charge me with murder-or want of sense- (We are all of us weak at times): But the slightest approach to a false pretence Was never among my crimes!	true	281.75	293.17	25.021297
4039_184265_000024_000000	"I said it in Hebrew--I said it in Dutch-- I said it in German and Greek: But I wholly forgot (and it vexes me much) That English is what you speak!"	"I said it in Hebrew-I said it in Dutch- I said it in German and Greek: But I wholly forgot (and it vexes me much) That English is what you speak!"	true	293.39	307.66	23.248665
4039_184265_000025_000000	"'Tis a pitiful tale," said the Bellman, whose face Had grown longer at every word: "But, now that you've stated the whole of your case, More debate would be simply absurd.	"'tis a pitiful tale," said the Bellman, whose face Had grown longer at every word: "But, now that you've stated the whole of your case, More debate would be simply absurd.	true	308.87	322.12	21.216389
4039_184265_000026_000000	"The rest of my speech" (he explained to his men) "You shall hear when I've leisure to speak it. But the Snark is at hand, let me tell you again! 'Tis your glorious duty to seek it!	"The rest of my speech" (he explained to his men) "You shall hear when I've leisure to speak it. But the Snark is at hand, let me tell you again! 'tis your glorious duty to seek it!	false	323.18	336.43	21.621222
4039_184265_000027_000000	"To seek it with thimbles, to seek it with care; To pursue it with forks and hope; To threaten its life with a railway-share; To charm it with smiles and soap!	"To seek it with thimbles, to seek it with care; To pursue it with forks and hope; To threaten its life with a railway share; To charm it with smiles and soap!	true	336.8	351.25	24.164421
4039_184265_000028_000000	"For the Snark's a peculiar creature, that won't Be caught in a commonplace way. Do all that you know, and try all that you don't: Not a chance must be wasted to-day!	"For the Snark's a peculiar creature, that won't Be caught in a commonplace way. Do all that you know, and try all that you don't: Not a chance must be wasted to day!	true	351.56	363.31	21
4039_184265_000029_000000	"For England expects--I forbear to proceed: 'Tis a maxim tremendous, but trite: And you'd best be unpacking the things that you need To rig yourselves out for the fight."	"For England expects-I forbear to proceed: 'tis a maxim tremendous, but trite: And you'd best be unpacking the things that you need To rig yourselves out for the fight."	true	363.5	376.63	24.562975
4039_184265_000030_000000	Then the Banker endorsed a blank cheque (which he crossed), And changed his loose silver for notes. The Baker with care combed his whiskers and hair, And shook the dust out of his coats.	Then the Banker endorsed a blank cheque (which he crossed), And changed his loose silver for notes. The Baker with care combed his whiskers and hair, And shook the dust out of his coats.	true	377.18	391.9	23.21971
4039_184265_000031_000000	The Boots and the Broker were sharpening a spade-- Each working the grindstone in turn: But the Beaver went on making lace, and displayed No interest in the concern:	The Boots and the Broker were sharpening a spade- Each working the grindstone in turn: But the Beaver went on making lace, and displayed No interest in the concern:	true	392.39	404.59	21.81373
4039_184265_000032_000000	Though the Barrister tried to appeal to its pride, And vainly proceeded to cite A number of cases, in which making laces Had been proved an infringement of right.	Though the Barrister tried to appeal to its pride, And vainly proceeded to cite A number of cases, in which making laces Had been proved an infringement of right.	false	405.2	416.77	22
4039_184265_000033_000000	The maker of Bonnets ferociously planned A novel arrangement of bows: While the Billiard-marker with quivering hand Was chalking the tip of his nose.	The maker of Bonnets ferociously planned A novel arrangement of bows: While the Billiard marker with quivering hand Was chalking the tip of his nose.	true	417.38	427.51	20.718071
4039_184265_000034_000000	But the Butcher turned nervous, and dressed himself fine, With yellow kid gloves and a ruff-- Said he felt it exactly like going to dine, Which the Bellman declared was all "stuff."	But the Butcher turned nervous, and dressed himself fine, With yellow kid gloves and a ruff- Said he felt it exactly like going to dine, Which the Bellman declared was all "stuff."	true	428.45	441.19	22.14064
4039_184265_000035_000000	"Introduce me, now there's a good fellow," he said, "If we happen to meet it together!" And the Bellman, sagaciously nodding his head, Said "That must depend on the weather."	"Introduce me, now there's a good fellow," he said, "If we happen to meet it together!" And the Bellman, sagaciously nodding his head, Said "That must depend on the weather."	false	441.47	454.63	21.861055
4039_184265_000036_000000	The Beaver went simply galumphing about, At seeing the Butcher so shy: And even the Baker, though stupid and stout, Made an effort to wink with one eye.	The Beaver went simply galumphing about, At seeing the Butcher so shy: And even the Baker, though stupid and stout, Made an effort to wink with one eye.	false	455.48	467.37	24.197147
4039_184265_000037_000000	"Be a man!" said the Bellman in wrath, as he heard The Butcher beginning to sob. "Should we meet with a Jubjub, that desperate bird, We shall need all our strength for the job!"	"Be a man!" said the Bellman in wrath, as he heard The Butcher beginning to sob. "Should we meet with a Jubjub, that desperate bird, We shall need all our strength for the job!"	false	467.37	489.27	20.490614
